irac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,level3_description,level4,irac_code
14,CARTAP HYDROCHLORIDE,A,NERVE ACTION,A14,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) CHANNEL BLOCKERS,A1414A,NEREISTOXIN ANALOGUES,A1414A2,14
15,THIOCYCLAM,A,NERVE ACTION,A14,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) CHANNEL BLOCKERS,A1414A,NEREISTOXIN ANALOGUES,A1414A3,14
16,THIOSULTAP-SODIUM,A,NERVE ACTION,A14,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) CHANNEL BLOCKERS,A1414A,NEREISTOXIN ANALOGUES,A1414A4,14
17,BISTRIFLURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A1,15
18,CHLORFLUAZURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A2,15
19,DIFLUBENZURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A3,15
20,FLUCYCLOXURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A4,15
21,FLUFENOXURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A5,15
22,HEXAFLUMURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A6,15
23,LUFENURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A7,15
24,NOVALURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A8,15
25,NOVIFLUMURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A9,15
26,TEFLUBENZURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A10,15
27,TRIFLUMURON,C,GROWTH REGULATION,C15,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 0",C1515A,BENZOYLUREAS,C1515A11,15
28,BUPROFEZIN,C,GROWTH REGULATION,C16,"INHIBITORS OF CHITIN BIOSYNTHESIS, TYPE 1",C1616A,BUPROFEZIN,C1616A1,16
29,CYROMAZINE,C,GROWTH REGULATION,C17,"MOULTING DISRUPTOR, DIPTERAN",C1717A,CYROMAZINE,C1717A1,17
30,CHROMAFENOZIDE,C,GROWTH REGULATION,C18,ECDYSONE RECEPTOR AGONISTS,C1818A,DIACYLHYDRAZINES,C1818A1,18
31,HALOFENOZIDE,C,GROWTH REGULATION,C18,ECDYSONE RECEPTOR AGONISTS,C1818A,DIACYLHYDRAZINES,C1818A2,18
32,METHOXYFENOZIDE,C,GROWTH REGULATION,C18,ECDYSONE RECEPTOR AGONISTS,C1818A,DIACYLHYDRAZINES,C1818A3,18
33,TEBUFENOZIDE,C,GROWTH REGULATION,C18,ECDYSONE RECEPTOR AGONISTS,C1818A,DIACYLHYDRAZINES,C1818A4,18
34,AMITRAZ,A,NERVE ACTION,A19,OCTOPAMINE RECEPTOR AGONISTS,A1919A,AMITRAZ,A1919A1,19
35,HYDRAMETHYLNON,D,ENERGY METABOLISM,D20,MITOCHONDRIAL COMPLEX III ELECTRON TRANSPORT INHIBITORS,D2020A,HYDRAMETHYLNON,D2020A1,20A
36,ACEQUINOCYL,D,ENERGY METABOLISM,D20,MITOCHONDRIAL COMPLEX III ELECTRON TRANSPORT INHIBITORS,D2020B,ACEQUINOCYL,D2020B1,20B
37,FLUACRYPYRIM,D,ENERGY METABOLISM,D20,MITOCHONDRIAL COMPLEX III ELECTRON TRANSPORT INHIBITORS,D2020C,FLUACRYPYRIM,D2020C1,20C
38,FENAZAQUIN,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121A,METI ACARICIDES AND INSECTICIDES,D2121A1,21A
39,FENPYROXIMATE,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121A,METI ACARICIDES AND INSECTICIDES,D2121A2,21A
40,PYRIMIDIFEN,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121A,METI ACARICIDES AND INSECTICIDES,D2121A3,21A
41,PYRIDABEN,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121A,METI ACARICIDES AND INSECTICIDES,D2121A4,21A
42,TEBUFENPYRAD,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121A,METI ACARICIDES AND INSECTICIDES,D2121A5,21A
43,TOLFENPYRAD,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121A,METI ACARICIDES AND INSECTICIDES,D2121A6,21A
44,ROTENONE,D,ENERGY METABOLISM,D21,MITOCHONDRIAL COMPLEX I ELECTRON TRANSPORT INHIBITORS,D2121B,ROTENONE,D2121B1,21B
45,INDOXACARB,A,NERVE ACTION,A22,VOLTAGE-DEPENDENT SODIUM CHANNEL BLOCKERS,A2222A,INDOXACARB,A2222A1,22A
46,METAFLUMIZONE,A,NERVE ACTION,A22,VOLTAGE-DEPENDENT SODIUM CHANNEL BLOCKERS,A2222B,METAFLUMIZONE,A2222B1,22B
47,SPIRODICLOFEN,E,"LIPID SYNTHESIS, GROWTH REGULATION",E23,INHIBITORS OF ACETYL COA CARBOXYLASE,E2323A,TETRONIC AND TETRAMIC ACID DERIVATIVES,E2323A1,23
48,SPIROMESIFEN,E,"LIPID SYNTHESIS, GROWTH REGULATION",E23,INHIBITORS OF ACETYL COA CARBOXYLASE,E2323A,TETRONIC AND TETRAMIC ACID DERIVATIVES,E2323A2,23
49,SPIROTETRAMAT,E,"LIPID SYNTHESIS, GROWTH REGULATION",E23,INHIBITORS OF ACETYL COA CARBOXYLASE,E2323A,TETRONIC AND TETRAMIC ACID DERIVATIVES,E2323A3,23
50,ALUMINIUM PHOSPHIDE,D,ENERGY METABOLISM,D24,MITOCHONDRIAL COMPLEX IV ELECTRON TRANSPORT INHIBITORS,D2424A,PHOSPHINE,D2424A1,24A
51,CALCIUM PHOSPHIDE,D,ENERGY METABOLISM,D24,MITOCHONDRIAL COMPLEX IV ELECTRON TRANSPORT INHIBITORS,D2424A,PHOSPHINE,D2424A2,24A
52,PHOSPHINE,D,ENERGY METABOLISM,D24,MITOCHONDRIAL COMPLEX IV ELECTRON TRANSPORT INHIBITORS,D2424A,PHOSPHINE,D2424A3,24A
53,ZINC PHOSPHIDE,D,ENERGY METABOLISM,D24,MITOCHONDRIAL COMPLEX IV ELECTRON TRANSPORT INHIBITORS,D2424A,PHOSPHINE,D2424A4,24A
54,CYANIDE,D,ENERGY METABOLISM,D24,MITOCHONDRIAL COMPLEX IV ELECTRON TRANSPORT INHIBITORS,D2424B,CYANIDE,D2424B1,24B
55,CYENOPYRAFEN,D,ENERGY METABOLISM,D25,MITOCHONDRIAL COMPLEX II ELECTRON TRANSPORT INHIBITORS,D2525A,BETA-KETONITRILE DERIVATIVES,D2525A1,25
56,CYFLUMETOFEN,D,ENERGY METABOLISM,D25,MITOCHONDRIAL COMPLEX II ELECTRON TRANSPORT INHIBITORS,D2525A,BETA-KETONITRILE DERIVATIVES,D2525A2,25
57,CHLORANTRANILIPROLE,B,NERVE AND MUSCLE ACTION,B28,RYANODINE RECEPTOR MODULATORS,B2828A,DIAMIDES,B2828A1,28
58,CYANTRANILIPROLE,B,NERVE AND MUSCLE ACTION,B28,RYANODINE RECEPTOR MODULATORS,B2828A,DIAMIDES,B2828A2,28
59,FLUBENDIAMIDE,B,NERVE AND MUSCLE ACTION,B28,RYANODINE RECEPTOR MODULATORS,B2828A,DIAMIDES,B2828A3,28
60,AZADIRACHTIN,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNA,AZADIRACHTIN,UUNUNA1,UN
61,BENZOXIMATE,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNB,BENZOXIMATE,UUNUNB1,UN
62,BIFENAZATE,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNC,BIFENAZATE,UUNUNC1,UN
63,CHINOMETHIONAT,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUND,CHINOMETHIONAT,UUNUND1,UN
64,CRYOLITE,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNE,CRYOLITE,UUNUNE1,UN
65,DICOFOL,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNF,DICOFOL,UUNUNF1,UN
66,PYRIDALYL,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNG,PYRIDALYL,UUNUNG1,UN
67,PYRIFLUQUINAZON,U,UNKNOWN,UUN,COMPOUNDS OF UNKNOWN OR UNCERTAIN MOA,UUNUNH,PYRIFLUQUINAZON,UUNUNH1,UN
68,OTHER ALKYL HALIDES,M,MISCELLANEOUS,M8,MISCELLANEOUS NONSPECIFIC (MULTI-SITE) INHIBITORS,M88A,ALKYL HALIDES,M88A2,8A
69,BACILLUS THURINGIENSIS SUBSP. ISRAELENSIS,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A1,11A
70,BACILLUS THURINGIENSIS SUBSP. AIZAWAI,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A2,11A
71,BACILLUS THURINGIENSIS SUBSP. KURSTAKI,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A3,11A
72,BACILLUS THURINGIENSIS SUBSP. TENEBRIONIS,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A4,11A
73,B.T. CROP PROTEINS: CRY1AB,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A5,11A
74,CRY1AC,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A6,11A
75,CRY1FA,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A7,11A
76,CRY1A.105,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A8,11A
77,CRY2AB,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A9,11A
78,VIP3A,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A10,11A
79,MCRY3A,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A11,11A
80,CRY3AB,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A12,11A
81,CRY3BB,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A13,11A
82,CRY34AB1/CRY35AB1,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111A,BACILLUS THURINGIENSIS AND THE INSECTICIDAL PROTEINS THEY PRODUCE,U1111A14,11A
83,BACILLUS SPHAERICUS,U,UNKNOWN,U11,MICROBIAL DISRUPTORS OF INSECT MIDGUT MEMBRANES,U1111B,BACILLUS SPHAERICUS,U1111B1,11B
84,ALANYCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A1,1A
85,ALDICARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A2,1A
86,BENDIOCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A3,1A
87,BENFURACARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A4,1A
88,BUTOCARBOXIM,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A5,1A
89,BUTOXYCARBOXIM,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A6,1A
90,CARBARYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A7,1A
91,CARBOFURAN,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A8,1A
92,CARBOSULFAN,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A9,1A
93,ETHIOFENCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A10,1A
94,FENOBUCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A11,1A
95,FORMETANATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A12,1A
96,FURATHIOCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A13,1A
97,ISOPROCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A14,1A
98,METHIOCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A15,1A
99,METHOMYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A16,1A
100,METOLCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A17,1A
101,OXAMYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A18,1A
102,PIRIMICARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A19,1A
103,PROPOXUR,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A20,1A
104,THIODICARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A21,1A
105,THIOFANOX,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A22,1A
106,TRIAZAMATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A23,1A
107,TRIMETHACARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A24,1A
108,XMC,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A25,1A
109,XYLYLCARB,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11A,CARBAMATES,A11A26,1A
110,ACEPHATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B1,1B
111,AZAMETHIPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B2,1B
112,AZINPHOS-ETHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B3,1B
113,AZINPHOSMETHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B4,1B
114,CADUSAFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B5,1B
115,CHLORETHOXYFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B6,1B
116,CHLORFENVINPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B7,1B
117,CHLORMEPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B8,1B
118,CHLORPYRIFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B9,1B
119,CHLORPYRIFOS-METHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B10,1B
120,COUMAPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B11,1B
121,CYANOPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B12,1B
122,DEMETON-S-METHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B13,1B
123,DIAZINON,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B14,1B
124,DICHLORVOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B15,1B
125,DICROTOPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B16,1B
126,DIMETHOATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B17,1B
127,DIMETHYLVINPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B18,1B
128,DISULFOTON,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B19,1B
129,EPN,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B20,1B
130,ETHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B21,1B
131,ETHOPROPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B22,1B
132,FAMPHUR,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B23,1B
133,FENAMIPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B24,1B
134,FENITROTHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B25,1B
135,FENTHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B26,1B
136,FOSTHIAZATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B27,1B
137,HEPTENOPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B28,1B
138,IMICYAFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B29,1B
139,ISOFENPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B30,1B
140,ISOPROPYL O-(METHOXYAMINOTHIO-PHOSPHORYL) SALICYLATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B31,1B
141,ISOXATHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B32,1B
142,MALATHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B33,1B
143,MECARBAM,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B34,1B
144,METHAMIDOPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B35,1B
145,METHIDATHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B36,1B
146,MEVINPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B37,1B
147,MONOCROTOPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B38,1B
148,NALED,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B39,1B
149,OMETHOATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B40,1B
150,OXYDEMETON-METHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B41,1B
151,PARATHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B42,1B
152,PARATHION-METHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B43,1B
153,PHENTHOATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B44,1B
154,PHORATE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B45,1B
155,PHOSALONE,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B46,1B
156,PHOSMET,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B47,1B
157,PHOSPHAMIDON,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B48,1B
