usan_stem_id,stem,subgroup,annotation,stem_class,major_class,who_extra
183,-fenine,-,analgesics (fenamic acid subgroup),Suffix,,0
184,-eridine,-,analgesics (meperidine type),Suffix,,0
186,-orex,-,anorexiants,Suffix,,0
187,-prazan,-,"acid pump inhibitors, not dependent on acid activation",Suffix,,0
188,-prazole,-maprazole,antiulcer agents (benzimidazole derivatives): acid pump inhibitors,Suffix,,0
189,-aldrate,-,antiacid aluminum salts,Suffix,,0
190,-prazole,-,antiulcer agents (benzimidazole derivatives),Suffix,,0
191,-bendazole,-,anthelmintics (tibendazole type),Suffix,,0
192,-antel,-,anthelmintics (undefined group),Suffix,,0
193,-ac,-,anti-inflammatory agents (acetic acid derivatives),Suffix,,0
194,-nixin,-,anti-inflammatory agents (anilinonicotinic acid derivatives),Suffix,,0
195,-fenamic acid,-,anti-inflammatory agents (anthranilic acid derivatives) and their salts or esters,Suffix,,0
196,-coxib,-,cyclooxygenase-2 inhibitors,Suffix,,0
197,-fenamate,-,anti-inflammatory agents (anthranilic acid derivatives) and their salts or esters,Suffix,,0
198,-bufen,-,"non-steroidal anti-inflammatory agents, fenbufen derivatives",Suffix,,0
199,-metacin,-,anti-inflammatory agents (indomethacin type),Suffix,,0
200,-icam,-,anti-inflammatory agents (isoxicam type),Suffix,,0
202,-sal-,-,anti-inflammatory agents (salicylic acid derivatives),Infix,,0
203,sal-,-,anti-inflammatory agents (salicylic acid derivatives),Prefix,,0
204,-nidap,-,nonsteroidal anti-inflammatory agents (tenidap type),Suffix,,0
205,-profen,-,anti-inflammatory/analgesic agents (ibuprofen type),Suffix,,0
206,-butazone,-,anti-inflammatory analgesics (phenylbutazone type),Suffix,,0
208,-cromil,-,antiallergics (cromoglicic acid derivatives),Suffix,,0
209,-xanox,-,antiallergic respiratory tract drugs (xanoxic acid derivatives),Suffix,,0
210,-lutamide,-,non-steroid antiandrogens,Suffix,,0
211,-sidomine,-,antianginals (sydnone derivatives),Suffix,,0
212,-ast,-zolast,antiasthmatics/antiallergics: leukotriene biosynthesis inhibitors,Suffix,,0
213,-ast,-,antiasthmatics/antiallergics (not acting primarily as antihistamines),Suffix,,0
214,-planin,-,antibacterials (Actinoplanes strains),Suffix,,0
215,-penem,-,"antibacterial antibiotics, carbapenem derivatives",Suffix,,0
216,cef-,-,cephalosporins,Prefix,,0
218,-cillin,-,penicillins,Suffix,,0
219,-mulin,-,"antibacterials, pleuromulin derivatives",Suffix,,0
220,-pristin,-,"antibacterials, pristinamycin derivatives",Suffix,,0
221,-adox,-,antibacterials (quinoline dioxide derivatives),Suffix,,0
222,-oxacin,-,antibacterials (quinolone derivatives),Suffix,,0
223,-prim,-,antibacterials (trimethoprim type),Suffix,,0
224,-gillin,-,antibiotics (Aspergillus strains),Suffix,,0
225,-carbef,-,antibiotics (carbacephem derivatives),Suffix,,0
226,-micin,-,antibiotics (Micromonospora strains),Suffix,,0
227,-monam,-,monobactam antibiotics,Suffix,,0
228,-cidin,-,natural antibiotics (undefined group),Suffix,,0
229,-oxef,-,antibiotics (oxacefalosporanic acid derivatives),Suffix,,0
230,-tricin,-,antibiotics (polyene derivatives),Suffix,,0
231,-kacin,-,antibiotics obtained from Streptomyces kanamyceticus (related to kanamycin),Suffix,,0
232,-mycin,-,antibiotics (Streptomyces strains),Suffix,,0
233,-cycline,-,antibiotics (tetracycline derivatives),Suffix,,0
234,rifa-,-,antibiotics (rifamycin derivatives),Prefix,,0
235,-arol,-,anticoagulants (dicumarol type),Suffix,,0
236,-irudin,-,anticoagulants (hirudin type),Suffix,,0
237,-bersat,-,"anticonvulsants,antimigraine (benzoylamino-benzpyran derivatives)",Suffix,,0
238,-triptyline,-,"antidepressants (dibenzo[a,d]cycloheptane derivatives)",Suffix,,0
239,-oxetine,-,antidepressants (fluoxetine type),Suffix,,0
240,-pramine,-,antidepressants (imipramine type),Suffix,,0
241,-formin,-,hypoglycemics (phenformin type),Suffix,,0
242,-glinide,-,"antidiabetic, SGLT2 inhibitors, not phlorozin derivatives",Suffix,,0
243,-toin,-,antiepileptics (hydantoin derivatives),Suffix,,0
244,-conazole,-,systemic antifungals (miconazole type),Suffix,,0
245,-fungin,-,antifungal antibiotics (undefined group),Suffix,,0
246,gli-,-,antihyperglycemics,Prefix,,0
250,-dralazine,-,antihypertensives (hydrazine-phthalazines),Suffix,,0
251,guan-,-,antihypertensives (guanidine derivatives),Prefix,,0
252,arte-,-,antimalarials (artemisin dervatives),Prefix,,0
253,-trexate,-,antimetabolites (folic acid derivatives),Suffix,,0
254,-ganan,-,"antimicrobial, bactericidal permeability increasing polypeptide",Suffix,,0
255,sulfa-,-,antimicrobials (sulfonamides derivatives),Prefix,,0
256,-dapsone,-,antimycobacterials (diaminodiphenylsulfone derivatives),Suffix,,0
257,-pirox,-,antimycotics (pyridone derivatives),Suffix,,0
258,-amidis,-,antimyloidotics,Suffix,,0
259,-fulven,-,"antineoplastic, acylfulven derivatives",Suffix,,0
260,-sulfan,-,"antineoplastics, alkylating agents (methanesulfonate derivatives)",Suffix,,0
261,-antrone,-,"antineoplastics, anthraquinone derivatives",Suffix,,0
262,-sulam,-,"antineoplastics, apoptosis inducing sulfonamide",Suffix,,0
263,-arabine,-,antineoplastics (arabinofuranosyl derivatives),Suffix,,0
264,-mestane,-,antineoplastics (aromatase inhibitors),Suffix,,0
265,-toclax,-,BCL-2 (B-cell lymphoma 2) inhibitors,Suffix,,0
266,-tecan,-,antineoplastics (camptothecine derivatives),Suffix,,0
267,-mustine,-,antineoplastics (chloroethylamine derivatives),Suffix,,0
269,-bulin,-,"antineoplastics (mitotic inhibitors,tubulin binders",Suffix,,0
271,-platin,-,antineoplastics (platinum derivatives),Suffix,,0
272,-tecarin,-,antineoplastics (rebeccamycin derivatives),Suffix,,0
274,-taxel,-,"antineoplastics, taxane derivatives",Suffix,,0
275,-tepa,-,antineoplastics (thiotepa derivatives),Suffix,,0
276,-trexed,-,antineoplastic thymidylate synthetase inhibitors,Suffix,,0
277,-rubicin,-,antineoplastic antibiotics (daunorubicin type),Suffix,,0
278,-vudine,-,"antineoplastics,antivirals (zidovudine group) (exception: edoxudine)",Suffix,,0
279,-ectin,-,antiparasitics (ivermectin type),Suffix,,0
280,-oxanide,-,antiparasitics (salicylanilide derivatives),Suffix,,0
281,-nidazole,-,antiprotozoal substances (metronidazole type),Suffix,,0
282,-arit,-,antirheumatics (lobenzarit type),Suffix,,0
283,-rsen,-,antisense oligonucleotides,Suffix,,0
284,-butan,-,antiseptics (dapabutan type),Suffix,,0
286,-paroid,-,antithrombotics (heparinoid type),Suffix,,0
287,-parinux,-,antithrombotyic indirect selective synthetic factor Xa inhibitors,Suffix,,0
288,-vir-,-,antivirals,Infix,,0
289,vir-,-,antivirals,Prefix,,0
290,-vir,-ciclovir,antivirals: antivirals (acyclovir type),Suffix,,0
291,-vir,-cyclovir,antivirals: antivirals (acyclovir type),Suffix,,0
292,-uridine,-,"antivirals, antineoplastics (uridine derivatives)",Suffix,,0
293,-rsen,-virsen,antisense oligonucleotides: antivirals,Suffix,,0
294,-aril-,-,antiviral (arildone derivatives),Infix,,0
295,aril-,-,antiviral (arildone derivatives),Prefix,,0
296,-aril,-,antiviral (arildone derivatives),Suffix,,0
298,-vir,-tegravir,antivirals: integrase inhibitors,Suffix,,0
299,-camra,-,"antivirals (intracellular adhesion molecules, icam-1 derivatives)",Suffix,,0
300,-vir,-amivir,antivirals: neuraminidase inhibitors,Suffix,,0
301,-vir-,-virenz,antivirals: non-nucleoside reverse transcriptase inhibitors; benzoxazinone derivatives,Infix,,0
303,-motine,-,antivirals (quinoline derivatives),Suffix,,0
304,-vir,-buvir,antivirals: RNA polymerase (NS5B) inhibitor,Suffix,,0
305,-citabine,-,"nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives",Suffix,,0
306,-mantadine,-,antivirals/antiparkinsonians (adamantane derivatives),Suffix,,0
307,-mantine,-,antivirals/antiparkinsonians (adamantane derivatives),Suffix,,0
309,-perone,-,antianxiety agents/neuroleptics (4-fluoro-4-piperidinobutyrophenone derivatives),Suffix,,0
310,-plon,-,"non-benzodiazepine anxiolytics, sedatives, hypnotics",Suffix,,0
312,-rozole,-,aromatase inhibitors (imidazole/triazole derivatives),Suffix,,0
313,-arsin,-,organoarsenic compounds,Suffix,,0
315,-porfin,-,benzoporphyrin derivatives,Suffix,,0
316,-bactam,-,beta-lactamase inhibitors,Suffix,,0
322,perflu-,-,blood substitutes and/or diagnostics (perfluorochemicals),Prefix,,0
323,-ermin,-otermin,growth factors: bone morphogenetic proteins,Suffix,,0
325,-dronate,-,calcium metabolism regulators,Suffix,,0
328,-caleret,-,calcium receptor antagonists,Suffix,,0
329,-camsule,-,camphorsulfonic acid derivatives used as UVA sunscreens,Suffix,,0
330,-vir,-cavir,antivirals: carbocyclic nucleosides,Suffix,,0
331,-zolamide,-,carbonic anhydrase inhibitors,Suffix,,0
332,-capone,-,catechol-O-methyltransferase (COMT) inhibitors,Suffix,,0
333,-cetrapib,-,cholesterol ester transfer protein inhibitors,Suffix,,0
334,-queside,-,cholesterol sequestrants (glycosides),Suffix,,0
335,-meline,-,cholinergic agonists (arecoline derivatives used in treatment of Alzheimer disease),Suffix,,0
336,-stigmine,-,cholinesterase inhibitors (physostigmine type),Suffix,,0
337,-stim,-,colony-stimulating factors,Suffix,,0
338,-cerfont,-,CRF-1 (corticotropin releasing factor) receptor antagonists,Suffix,GPCR,0
340,-depsin,-,depsipeptide derivatives,Suffix,,0
341,-fenin,-,diagnostic aids ((phenylcarbamoyl)methyl iminodiacetic acid derivatives),Suffix,,0
344,-crinat,-,diuretics (ethacrynic acid derivatives),Suffix,,0
345,-semide,-,diuretics (furosemide type),Suffix,,0
346,-etanide,-,diuretics (piretanide type),Suffix,,0
347,-pamide,-,diuretics (sulfamoylbenzoic acid derivatives),Suffix,,0
348,-thiazide,-,diuretics (thiazide derivatives),Suffix,,0
349,-dotin,-,synthetic analogs of the dolastatin series,Suffix,,0
350,-stat,-castat,enzyme inhibitors: dopamine beta-hydrolase (DBH) inhibitors,Suffix,,0
351,-ectedin,-,ecteinascodin derivatives,Suffix,,0
352,-stat-,-,enzyme inhibitors,Infix,,0
353,-stat,-,enzyme inhibitors,Suffix,,0
354,-ermin,-dermin,growth factors: epidermal growth factors,Suffix,,0
355,-opilone,-,epothilones,Suffix,,0
356,-emcinal,-,"erythromycin derivatives lacking antibiotic activity, motilin agonists",Suffix,,0
357,-poetin,-,erythropoietins,Suffix,,0
358,-farnib,-,farnesyl transferase inhibitor,Suffix,,0
359,-fiban,-,fibrinogen receptor antagonists (glycoprotein IIb/IIIa receptor antagonists),Suffix,,0
360,-ermin,-fermin,growth factors: fibroblast growth factors,Suffix,,0
361,gado-,-,gadolinium derivatives (principally for diagnostic use),Prefix,,0
362,-flurane,-,general inhalation anesthetics (halogenated alkane derivatives),Suffix,,0
363,-corat,-,glucocorticoid receptor agonists (not glucocorticoids),Suffix,NR,0
364,-gliatin,-,glucokinase activator,Suffix,,0
365,-vir,-gosivir,antivirals: glucosidase inhibitor,Suffix,,0
366,-parcin,-,glycopeptide antibiotics,Suffix,,0
367,-ermin,-,growth factors,Suffix,,0
368,som-,-,growth hormone derivatives,Prefix,,0
369,-relin,-morelin,prehormones or hormone-release stimulating peptides: growth hormone-release stimulating peptides,Suffix,,0
370,-ciguat,-,guanaline cyclase activator,Suffix,,0
372,-clomol,-,"heat-shock protein inducers, bimoclomal type",Suffix,,0
373,-degib,-,hedgehog signaling inhibitors,Suffix,,0
374,-parin,-,heparin derivatives and low molecular weight (or depolymerized) heparins,Suffix,,0
375,-otilate,-,"hepatoprotectants, di-isopropyl-1,3-dithiol-malonate derivatives",Suffix,,0
376,-cic,-,hepatoprotectives (timonacic type),Suffix,,0
377,-stat,-inostat,enzyme inhibitors: inhibitors of histone deacetylase,Suffix,,0
378,-relix,-,hormone-release inhibiting peptides,Suffix,,0
379,-filcon,-,hydrophilic contact lens materials,Suffix,,0
380,-focon,-,hydrophobic contact lens materials,Suffix,,0
382,-imod,-,immunomodulators,Suffix,,0
383,-imex,-,immunostimulants,Suffix,,0
384,-imus,-,immunosuppressives,Suffix,,0
386,-imus,-rolimus,"immunosuppressives: immunosuppressant, rapamycin derivatives",Suffix,,0
387,-basib,-,inhibitors of the ADAM (A disintegrin and A metalloprotease) enzymes (sheddases),Suffix,,0
388,-imepodib,-,inosine monophosphate dehydrogenase inhibitors,Suffix,,0
389,-ermin,-sermin,growth factors: insulin-like growth factors,Suffix,,0
391,-kinra,-nakinra,interleukin-1 (IL-1) receptor antagonists,Suffix,,0
392,-kinra,-,interleukin receptor antagonists,Suffix,,0
393,-kin,-,interleukins,Suffix,,0
394,io-,-,iodine-containing contrast media,Prefix,,0
397,-nesib,-,kinesin inhibitors,Suffix,,0
398,-leptin,-,leptin derivatives,Suffix,,0
400,-lipim,-,lipoprotein lipase activators,Suffix,,0
401,-moxin,-,monoamine oxidase inhibitors (hydrazine derivatives),Suffix,,0
402,-giline,-,"MAO inhibitors, type B",Suffix,,0
403,-dar,-,multidrug resistance inhibitors,Suffix,,0
404,-dar,-cridar,multidrug resistance inhibitors: acridine carboxamide derivatives,Suffix,,0
405,-dar,-spodar,multidrug resistance inhibitors: ciclosporin D derivatives,Suffix,,0
407,-dar,-quidar,multidrug resistance inhibitors: quinoline derivatives,Suffix,,0
408,-tapide,-,microsomal triglyceride transfer protein (MTP) inhibitors,Suffix,,0
412,-multin,-,mucosal tolerance inductors,Suffix,,0
415,-imod,-tirimod,immunomodulators: napthyridine analogs,Suffix,,0
418,-gapil,-,"neuronal apoptosis inhibitors,GAPDH",Suffix,,0
422,-moren,-,non-peptidic growth hormone secretagogues,Suffix,,0
423,-nepag,-,non-prostanoid prostaglandin receptor agonists,Suffix,,0
424,-racetam,-,nootropes (piracetam type),Suffix,,0
425,-prinim,-,"nootropic agents, purine derivatives",Suffix,,0
427,-zolid,-,oxazolidinone antibacterials,Suffix,,0
428,-apsel,-,P-selectin antagonists,Suffix,,0
429,peg-,-,PEGylated compounds,Prefix,,0
432,-tide,-,peptides,Suffix,,0
433,-tide,-pultide,peptides: peptides used as pulmonary surfactants,Suffix,,0
434,-tide,-murtide,peptides: peptides with muranic acid present,Suffix,,0
435,-tide,-potide,peptides: peptides with prostate cancer indications,Suffix,,0
436,-gliflozin,-,"phlorozin derivatives, phenolic glycosides",Suffix,,0
437,-pladib,-,phospholipase A2 inhibitors,Suffix,,0
439,-plasinin,-,inhibitors of plasminogen activator inhibitors - type 1,Suffix,,0
440,-grel-,-,platelet aggregation inhibitors,Infix,,0
441,-tide,-fibatide,peptides: platelet aggregation inhibitors (glycoprotein IIb/IIIa receptor antagonists),Suffix,,0
442,-ermin,-plermin,growth factors: platelet derived growth factors,Suffix,,0
443,-parib,-,poly-ADP-ribose polymerase inhibitors,Suffix,,0
444,-mer,-,polymers,Suffix,,0
445,-dan,-,positive inotropic agents (pimobendan type),Suffix,,0
446,-relin,-,prehormones or hormone-release stimulating peptides,Suffix,,0
447,-protafib,-,protein tyrosine phosphatase 1B inhibitors,Suffix,,0
448,-zomib,-,proteozome inhibitors,Suffix,,0
449,-ium,-,quaternary ammonium derivatives,Suffix,,0
450,-onium,-,quaternary ammonium derivatives,Suffix,,0
452,-ribine,-,ribofuranil derivatives (pyrazofurin type),Suffix,,0
453,-traline,-,selective serotonin reuptake inhibitors (SSRI),Suffix,,0
454,-mesine,-,sigma receptor ligands,Suffix,,0
456,-verine,-,spasmolytic agents (papaverine type),Suffix,,0
457,-fingol,-,sphingosine derivatives,Suffix,,0
458,-ase,-dismase,enzymes: superoxide dismutase activity,Suffix,,0
459,-drine,-,sympathomimetics,Suffix,,1
461,-rocin,-,t-RNA synthetase inhibitors,Suffix,,0
462,-steride,-,testosterone reductase inhibitors,Suffix,,0
463,-pertin,-,glycine transporter/reuptake inhibitors,Suffix,,0
464,-rian,-,ryanodine receptor modulators ,Suffix,,0
465,-sarm,-,selective androgen receptor modulator (non-steroidal),Suffix,,0
468,-domide,-,thalidomide derivatives,Suffix,,0
470,-trombopag,-,thrombopoetin agonists,Suffix,,0
471,-tesind,-,thymidilate synthetase inhibitors (benzindole derivatives),Suffix,,0
472,-ase,-teplase,enzymes: tissue-type plasminogen activators,Suffix,,0
473,-toran,-,TLR4 receptor antagonists,Suffix,,0
475,-mab,-toxa-,monoclonal antibodies: toxin as a target,Suffix,,0
476,-bamate,-,tranquilizers/antiepileptics (propanediol and pentanediol groups),Suffix,,0
477,-ermin,-termin,growth factors: transforming growth factors,Suffix,,0
478,-ermin,-nermin,growth factors: tumor necrosis factors,Suffix,,0
480,-uracil,-,uracil derivatives used as thyroid antagonists and as antineoplastics,Suffix,,0
