molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
51,620.88,9.21,2,2,31.82,0,N,2,,,1.25,1.25,NEUTRAL,620.88,6,47,0.17,620.3868,C43H48N4+2,4,2,2
52,480.62,5.40,2,2,59.80,4,N,1,11.44,,-2.75,-2.75,NEUTRAL,480.62,6,37,0.33,480.2303,C33H28N4+2,4,4,1
53,468.60,5.50,2,2,59.80,5,N,1,,,-2.87,-2.87,NEUTRAL,468.60,6,36,0.33,468.2303,C32H28N4+2,4,4,1
54,376.20,2.77,5,1,84.82,3,N,0,6.48,,4.23,3.30,ACID,376.20,3,25,0.71,375.0177,C17H11Cl2N3O3,6,1,0
55,618.87,9.19,2,2,31.82,0,N,2,11.44,,0.92,0.92,NEUTRAL,618.87,6,47,0.17,618.3712,C43H46N4+2,4,2,2
56,482.63,5.42,2,2,59.80,6,N,1,,,-2.43,-2.43,NEUTRAL,482.63,6,37,0.31,482.2459,C33H30N4+2,4,4,1
58,576.65,2.96,10,2,149.21,11,N,1,,7.24,3.70,3.48,NEUTRAL,576.65,3,42,0.20,576.2696,C30H36N6O6,12,3,2
59,421.50,2.51,7,1,93.81,6,N,0,,7.24,3.02,2.79,NEUTRAL,421.50,3,31,0.65,421.2114,C23H27N5O3,8,2,0
60,449.51,2.60,8,1,103.04,6,N,0,,7.24,2.94,2.71,NEUTRAL,449.51,3,33,0.57,449.2063,C24H27N5O4,9,2,0
61,437.48,2.73,7,1,93.81,5,N,0,,7.24,3.24,3.01,NEUTRAL,437.48,3,32,0.61,437.1863,C23H24FN5O3,8,2,0
62,409.49,2.09,7,1,93.81,4,N,0,,7.24,2.15,1.93,NEUTRAL,409.49,2,30,0.77,409.2114,C22H27N5O3,8,2,0
63,383.45,2.01,7,1,93.81,5,N,0,,7.24,2.41,2.18,NEUTRAL,383.45,2,28,0.62,383.1957,C20H25N5O3,8,2,0
64,419.49,2.59,7,1,93.81,5,N,0,,7.24,3.10,2.87,NEUTRAL,419.49,3,31,0.64,419.1957,C23H25N5O3,8,2,0
65,437.48,2.73,7,1,93.81,5,N,0,,7.24,3.24,3.01,NEUTRAL,437.48,3,32,0.61,437.1863,C23H24FN5O3,8,2,0
66,453.93,3.24,7,1,93.81,5,N,0,,7.24,3.70,3.47,NEUTRAL,453.93,3,32,0.59,453.1568,C23H24ClN5O3,8,2,0
67,437.48,2.89,7,1,93.81,5,N,0,,7.24,3.02,2.80,NEUTRAL,437.48,3,32,0.61,437.1863,C23H24FN5O3,8,2,0
68,408.46,2.58,7,2,105.84,4,N,0,13.41,7.24,2.64,2.42,NEUTRAL,408.46,3,30,0.68,408.1910,C21H24N6O3,9,3,0
69,546.58,2.26,10,2,149.21,8,N,1,,7.24,2.89,2.67,NEUTRAL,546.58,3,40,0.32,546.2227,C28H30N6O6,12,3,2
70,430.58,2.97,7,2,89.10,4,N,0,1.25,13.95,4.55,4.50,ZWITTERION,430.58,2,30,0.44,430.2151,C21H30N6O2S,8,2,0
71,421.50,2.40,7,1,93.81,4,N,0,,7.24,2.45,2.22,NEUTRAL,421.50,2,31,0.76,421.2114,C23H27N5O3,8,2,0
72,443.53,2.05,8,1,110.88,5,N,0,,7.24,2.86,2.63,NEUTRAL,443.53,3,31,0.64,443.1627,C21H25N5O4S,9,2,0
73,424.53,2.97,7,2,89.10,4,N,0,-0.43,15.00,5.21,5.16,ZWITTERION,424.53,3,30,0.38,424.1681,C21H24N6O2S,8,2,0
74,299.31,1.21,6,1,84.82,3,N,0,6.33,,2.42,1.37,ACID,299.31,3,21,0.74,299.0365,C14H9N3O3S,6,1,0
75,293.33,1.82,4,1,67.75,3,N,0,6.33,,3.65,2.60,ACID,293.33,3,22,0.80,293.1164,C17H15N3O2,5,1,0
76,376.20,2.77,5,1,84.82,3,N,0,6.48,,4.23,3.30,ACID,376.20,3,25,0.71,375.0177,C17H11Cl2N3O3,6,1,0
77,293.28,1.15,5,1,84.82,3,N,0,6.33,,2.51,1.46,ACID,293.28,3,22,0.73,293.0800,C16H11N3O3,6,1,0
78,355.78,2.42,5,1,84.82,3,N,0,6.33,,4.14,3.09,ACID,355.78,3,25,0.73,355.0724,C18H14ClN3O3,6,1,0
79,355.78,2.42,5,1,84.82,3,N,0,6.33,,4.14,3.09,ACID,355.78,3,25,0.73,355.0724,C18H14ClN3O3,6,1,0
80,265.66,0.78,5,1,84.82,2,N,0,6.48,,1.21,0.28,ACID,265.66,2,18,0.81,265.0254,C11H8ClN3O3,6,1,0
81,327.73,1.81,5,1,84.82,3,N,0,6.48,,3.11,2.18,ACID,327.73,3,23,0.74,327.0411,C16H10ClN3O3,6,1,0
82,335.36,2.08,5,1,84.82,3,N,0,6.33,,4.05,3.00,ACID,335.36,3,25,0.74,335.1270,C19H17N3O3,6,1,0
83,327.73,1.81,5,1,84.82,3,N,0,6.33,,3.11,2.06,ACID,327.73,3,23,0.74,327.0411,C16H10ClN3O3,6,1,0
84,343.77,1.96,5,2,87.98,3,N,0,6.33,,3.18,2.13,ACID,343.77,3,24,0.76,343.0724,C17H14ClN3O3,6,2,0
85,274.41,1.34,4,1,31.40,4,N,0,,9.99,1.09,-1.50,BASE,274.41,1,20,0.90,274.2157,C16H26N4,4,1,0
86,274.41,1.34,4,1,31.40,4,N,0,,9.99,1.09,-1.52,BASE,274.41,1,20,0.90,274.2157,C16H26N4,4,1,0
87,288.44,1.68,4,0,22.61,4,N,0,,9.06,1.47,-0.24,BASE,288.44,1,21,0.84,288.2314,C17H28N4,4,0,0
88,288.44,1.68,4,0,22.61,4,N,0,,9.06,1.47,-0.23,BASE,288.44,1,21,0.84,288.2314,C17H28N4,4,0,0
89,498.38,3.35,7,1,93.81,5,N,0,,7.24,3.86,3.64,NEUTRAL,498.38,3,32,0.54,497.1063,C23H24BrN5O3,8,2,0
90,259.26,0.90,5,1,84.82,4,N,0,6.33,,1.75,0.70,ACID,259.26,2,19,0.83,259.0957,C13H13N3O3,6,1,0
91,231.21,0.12,5,1,84.82,2,N,0,6.33,,0.61,-0.45,ACID,231.21,2,17,0.74,231.0644,C11H9N3O3,6,1,0
92,417.81,3.50,6,1,97.96,2,N,0,6.33,,4.29,3.23,ACID,417.81,5,30,0.44,417.0516,C22H12ClN3O4,7,1,0
93,576.42,3.53,9,1,106.17,5,N,1,,7.24,4.54,4.32,NEUTRAL,576.42,3,33,0.28,576.0441,C22H21IN6O3S,9,2,1
94,524.68,2.98,8,3,104.14,5,N,1,-0.03,15.05,5.28,5.23,ZWITTERION,524.68,3,36,0.15,524.1777,C24H28N8O2S2,10,3,1
95,274.41,1.29,4,0,22.61,4,N,0,,9.18,1.03,-0.80,BASE,274.41,1,20,0.83,274.2157,C16H26N4,4,0,0
96,274.41,1.29,4,0,22.61,4,N,0,,9.18,1.03,-0.79,BASE,274.41,1,20,0.83,274.2157,C16H26N4,4,0,0
97,383.41,1.78,8,1,106.95,4,N,0,,7.24,1.65,1.43,NEUTRAL,383.41,3,28,0.73,383.1594,C19H21N5O4,9,2,0
98,427.46,1.16,9,1,120.11,6,N,0,,7.24,1.82,1.60,NEUTRAL,427.46,2,31,0.41,427.1856,C21H25N5O5,10,2,0
99,435.48,2.02,8,1,106.34,5,N,0,,7.24,2.39,2.16,NEUTRAL,435.48,3,32,0.61,435.1907,C23H25N5O4,9,2,0
100,447.50,2.32,8,1,110.88,6,N,0,,7.24,2.67,2.45,NEUTRAL,447.50,3,33,0.45,447.1907,C24H25N5O4,9,2,0
101,443.51,3.34,7,1,93.81,4,N,0,,7.24,3.58,3.35,NEUTRAL,443.51,4,33,0.52,443.1957,C25H25N5O3,8,2,0
102,465.54,3.91,8,2,137.86,5,N,0,-12.17,14.51,5.04,5.17,ZWITTERION,465.54,3,33,0.15,465.1695,C21H23N9O2S,11,2,1
103,441.92,2.93,7,1,93.81,5,N,0,,7.24,3.18,2.95,NEUTRAL,441.92,3,31,0.61,441.1568,C22H24ClN5O3,8,2,0
104,476.56,3.33,9,1,106.17,6,N,0,,7.24,4.12,3.89,NEUTRAL,476.56,3,34,0.33,476.1631,C24H24N6O3S,9,2,0
105,555.43,2.92,8,2,122.91,7,N,1,13.69,7.24,3.06,2.83,NEUTRAL,555.43,3,36,0.34,554.1277,C25H27BrN6O4,10,3,1
106,244.20,2.06,5,3,90.90,0,N,0,7.24,,2.66,2.24,NEUTRAL,244.20,3,18,0.32,244.0372,C13H8O5,5,3,0
107,196.21,2.95,2,0,30.21,0,Y,0,,,2.93,2.93,,196.21,3,15,0.41,196.0524,C13H8O2,2,0,0
108,228.20,2.36,4,2,70.67,0,N,0,7.89,,2.97,2.85,NEUTRAL,228.20,3,17,0.35,228.0423,C13H8O4,4,2,0
109,228.20,2.36,4,2,70.67,0,N,0,7.44,,2.32,2.04,NEUTRAL,228.20,3,17,0.35,228.0423,C13H8O4,4,2,0
110,260.20,1.77,6,4,111.13,0,N,0,7.28,,1.71,1.29,NEUTRAL,260.20,3,19,0.28,260.0321,C13H8O6,6,4,0
111,291.73,2.85,3,1,59.30,4,N,0,3.83,,3.33,0.08,ACID,313.72,2,20,0.88,291.0662,C15H13ClNNaO3,4,1,0
112,423.47,1.96,8,1,103.04,6,N,0,,7.24,2.25,2.03,NEUTRAL,423.47,3,31,0.64,423.1907,C22H25N5O4,9,2,0
114,895.10,5.47,14,1,155.90,3,N,3,13.84,,3.67,3.67,NEUTRAL,895.10,0,64,0.16,894.4766,C50H70O14,14,1,3
115,162.24,1.85,2,0,16.13,1,Y,0,,8.58,1.16,-0.04,BASE,162.24,1,12,0.63,162.1157,C10H14N2,2,0,0
116,148.21,1.51,2,1,24.92,1,Y,0,,9.92,0.78,-1.67,BASE,148.21,1,11,0.65,148.1000,C9H12N2,2,1,0
117,617.70,3.62,10,1,134.33,12,N,1,13.88,,2.53,2.53,NEUTRAL,617.70,2,44,0.38,617.2948,C31H43N3O10,13,1,2
118,631.72,3.87,10,1,134.33,13,N,1,,,2.98,2.98,NEUTRAL,631.72,2,45,0.35,631.3105,C32H45N3O10,13,1,2
119,617.70,3.62,10,1,134.33,13,N,1,,,2.69,2.69,NEUTRAL,617.70,2,44,0.36,617.2948,C31H43N3O10,13,1,2
120,288.40,0.87,4,1,48.47,3,N,0,,8.89,0.34,-1.18,BASE,288.40,1,21,0.90,288.1950,C16H24N4O,5,1,0
121,260.38,0.95,4,1,31.40,4,N,0,,10.93,0.65,-2.50,BASE,260.38,1,19,0.87,260.2001,C15H24N4,4,1,0
122,260.39,0.95,4,1,31.40,4,N,0,,10.93,0.65,-2.52,BASE,260.39,1,19,0.87,260.2001,C15H24N4,4,1,0
123,246.19,2.50,4,2,70.67,0,N,0,7.83,,3.11,2.98,NEUTRAL,246.19,3,18,0.36,246.0328,C13H7FO4,4,2,0
124,297.09,3.66,4,2,70.67,0,N,0,7.42,,3.53,3.24,NEUTRAL,297.09,3,19,0.38,295.9643,C13H6Cl2O4,4,2,0
125,260.22,2.80,4,2,70.67,0,N,0,7.94,,3.62,3.51,NEUTRAL,260.22,3,19,0.37,260.0485,C14H9FO4,4,2,0
126,261.23,1.56,6,6,113.18,1,N,1,8.79,2.55,1.45,1.43,NEUTRAL,261.23,2,19,0.34,261.0637,C13H11NO5,6,6,1
127,244.20,1.72,5,4,97.99,0,N,0,7.48,,1.89,1.60,NEUTRAL,244.20,2,18,0.45,244.0372,C13H8O5,5,4,0
128,264.18,2.64,4,2,70.67,0,N,0,7.42,,2.60,2.31,NEUTRAL,264.18,3,19,0.37,264.0234,C13H6F2O4,4,2,0
129,246.19,2.50,4,2,70.67,0,N,0,7.71,,2.46,2.29,NEUTRAL,246.19,3,18,0.36,246.0328,C13H7FO4,4,2,0
130,358.52,4.09,3,1,38.69,2,N,0,,,2.76,2.76,NEUTRAL,358.52,0,26,0.76,358.2508,C23H34O3,3,1,0
131,342.48,4.24,3,0,43.37,2,N,0,,,3.81,3.81,NEUTRAL,342.48,0,25,0.75,342.2195,C22H30O3,3,0,0
132,260.20,1.77,6,4,111.13,0,N,0,7.32,,2.36,1.98,NEUTRAL,260.20,3,19,0.28,260.0321,C13H8O6,6,4,0
133,617.70,3.48,10,1,134.33,11,N,1,,,2.58,2.58,NEUTRAL,617.70,2,44,0.40,617.2948,C31H43N3O10,13,1,2
134,603.67,3.23,10,1,134.33,10,N,1,13.91,,2.01,2.01,NEUTRAL,603.67,2,43,0.43,603.2792,C30H41N3O10,13,1,2
135,630.73,4.61,10,0,122.30,16,N,1,,,3.99,3.99,NEUTRAL,630.73,2,45,0.19,630.3152,C33H46N2O10,12,0,2
136,658.79,5.39,10,0,122.30,18,N,2,,,4.88,4.88,NEUTRAL,658.79,2,47,0.15,658.3465,C35H50N2O10,12,0,3
138,546.57,2.27,10,0,122.30,10,N,1,,,1.06,1.06,NEUTRAL,546.57,2,39,0.41,546.2213,C27H34N2O10,12,0,2
139,659.78,4.79,10,1,134.33,17,N,1,,,4.06,4.06,NEUTRAL,659.78,2,47,0.24,659.3418,C34H49N3O10,13,1,2
140,771.00,8.51,10,0,122.30,26,N,2,,,8.43,8.43,NEUTRAL,771.00,2,55,0.07,770.4717,C43H66N2O10,12,0,3
141,307.73,2.03,4,2,79.53,5,N,0,3.66,,2.05,-1.27,ACID,307.73,2,21,0.83,307.0611,C15H14ClNO4,5,2,0
142,673.12,3.98,11,0,131.53,13,N,2,,,3.19,3.19,NEUTRAL,673.12,3,47,0.24,672.2086,C33H37ClN2O11,13,0,2
143,656.66,3.47,11,0,131.53,13,N,2,,,2.72,2.72,NEUTRAL,656.66,3,47,0.25,656.2381,C33H37FN2O11,13,0,2
144,328.50,5.07,2,0,26.30,2,N,1,,,4.47,4.47,NEUTRAL,328.50,0,24,0.71,328.2402,C22H32O2,2,0,1
145,358.57,5.49,2,1,29.46,2,N,1,,,4.65,4.65,NEUTRAL,358.57,0,26,0.66,358.2872,C24H38O2,2,1,1
146,361.37,1.54,6,1,75.01,2,N,0,5.29,6.16,0.51,-0.47,ACID,361.37,2,26,0.87,361.1438,C18H20FN3O4,7,1,0
147,232.24,1.42,4,1,72.19,2,N,0,4.37,6.06,0.79,-0.45,ACID,232.24,2,17,0.85,232.0848,C12H12N2O3,5,1,0
148,302.19,1.31,8,4,141.34,0,N,0,5.54,,2.32,-0.53,ACID,302.19,4,22,0.22,302.0063,C14H6O8,8,4,0
149,274.23,2.08,6,4,111.13,0,N,0,7.36,,2.87,2.52,NEUTRAL,274.23,3,20,0.28,274.0477,C14H10O6,6,4,0
150,614.69,3.83,10,0,122.30,11,N,1,,,3.18,3.18,NEUTRAL,614.69,2,44,0.35,614.2839,C32H42N2O10,12,0,2
151,602.68,3.68,10,0,122.30,13,N,1,,,3.20,3.20,NEUTRAL,602.68,2,43,0.31,602.2839,C31H42N2O10,12,0,2
152,315.35,-0.03,5,1,108.82,4,N,0,3.19,,-0.01,-3.46,ACID,315.35,0,21,0.58,315.0777,C13H17NO6S,7,1,0
153,377.39,2.51,5,2,74.57,6,N,0,5.39,10.33,-0.14,-0.14,ZWITTERION,377.39,2,27,0.81,377.1551,C19H21F2N3O3,6,2,0
154,666.79,7.22,6,0,58.44,13,N,2,,8.31,7.31,6.34,NEUTRAL,666.79,4,47,0.09,666.2652,C36H38F4N4O2S,6,0,2
155,1081.39,,,,,,,,,,,,,1081.39,,,,1080.6498,C60H92N2O15,,,
156,744.93,1.77,10,7,251.67,23,N,2,3.52,9.99,0.03,0.03,ZWITTERION,744.93,1,53,0.06,744.4534,C37H60N8O8,16,8,3
157,687.83,5.52,10,0,125.54,18,N,2,,,4.71,4.71,NEUTRAL,687.83,2,49,0.18,687.3731,C36H53N3O10,13,0,3
158,659.78,4.74,10,0,125.54,16,N,1,,,3.83,3.83,NEUTRAL,659.78,2,47,0.25,659.3418,C34H49N3O10,13,0,2
159,574.63,3.05,10,0,122.30,12,N,1,,,2.21,2.21,NEUTRAL,574.63,2,41,0.35,574.2526,C29H38N2O10,12,0,2
160,631.72,3.96,10,0,125.54,14,N,1,,,2.94,2.94,NEUTRAL,631.72,2,45,0.30,631.3105,C32H45N3O10,13,0,2
161,603.67,3.18,10,0,125.54,12,N,1,,,1.89,1.89,NEUTRAL,603.67,2,43,0.36,603.2792,C30H41N3O10,13,0,2
162,713.74,3.98,13,1,162.02,14,N,2,12.93,,2.50,2.50,NEUTRAL,713.74,3,51,0.26,713.2796,C35H43N3O13,16,1,2
163,617.70,3.62,10,1,134.33,13,N,1,,,2.77,2.77,NEUTRAL,617.70,2,44,0.36,617.2948,C31H43N3O10,13,1,2
164,617.70,3.48,10,1,134.33,13,N,1,,,2.64,2.64,NEUTRAL,617.70,2,44,0.36,617.2948,C31H43N3O10,13,1,2
165,659.78,4.65,10,1,134.33,16,N,1,,,3.98,3.98,NEUTRAL,659.78,2,47,0.27,659.3418,C34H49N3O10,13,1,2
166,617.70,3.48,10,1,134.33,13,N,1,,,2.57,2.57,NEUTRAL,617.70,2,44,0.36,617.2948,C31H43N3O10,13,1,2
167,617.70,3.48,10,1,134.33,12,N,1,,,2.62,2.62,NEUTRAL,617.70,2,44,0.38,617.2948,C31H43N3O10,13,1,2
168,643.09,4.22,10,0,122.30,11,N,1,,,3.72,3.72,NEUTRAL,643.09,3,45,0.28,642.1980,C32H35ClN2O10,12,0,2
169,602.68,3.83,10,0,122.30,14,N,1,,,3.10,3.10,NEUTRAL,602.68,2,43,0.23,602.2839,C31H42N2O10,12,0,2
170,588.84,5.72,6,3,102.40,18,N,2,,10.05,5.72,3.07,BASE,588.84,3,43,0.17,588.4039,C36H52N4O3,7,4,2
171,588.65,3.29,10,0,122.30,10,N,1,,,2.86,2.86,NEUTRAL,588.65,2,42,0.38,588.2683,C30H40N2O10,12,0,2
173,357.79,3.93,4,1,68.53,4,N,0,3.79,,3.53,0.26,ACID,357.79,3,25,0.77,357.0768,C19H16ClNO4,5,1,0
174,288.40,0.87,4,1,48.47,3,N,0,,8.89,0.34,-1.18,BASE,288.40,1,21,0.90,288.1950,C16H24N4O,5,1,0
175,288.39,0.87,4,1,48.47,3,N,0,,8.89,0.42,-1.10,BASE,288.39,1,21,0.90,288.1950,C16H24N4O,5,1,0
176,274.37,0.48,4,1,48.47,3,N,0,,9.82,-0.10,-2.48,BASE,274.37,1,20,0.87,274.1794,C15H22N4O,5,1,0
177,274.37,0.48,4,1,48.47,3,N,0,,9.82,-0.02,-2.40,BASE,274.37,1,20,0.87,274.1794,C15H22N4O,5,1,0
178,602.68,3.68,10,0,122.30,11,N,1,,,2.80,2.80,NEUTRAL,602.68,2,43,0.35,602.2839,C31H42N2O10,12,0,2
179,330.51,4.86,2,1,29.46,2,N,0,,,3.91,3.91,NEUTRAL,330.51,0,24,0.73,330.2559,C22H34O2,2,1,0
180,356.51,4.30,3,0,35.53,2,N,0,,,3.62,3.62,NEUTRAL,356.51,0,26,0.74,356.2351,C23H32O3,3,0,0
181,574.72,4.40,10,0,88.16,15,N,1,,6.81,4.48,4.38,NEUTRAL,574.72,2,41,0.29,574.3254,C31H46N2O8,10,0,1
182,418.49,3.06,8,0,61.86,8,N,0,,2.46,2.87,2.87,NEUTRAL,418.49,2,30,0.65,418.2104,C22H30N2O6,8,0,0
183,474.51,2.34,8,0,96.00,8,N,0,,,1.25,1.25,NEUTRAL,474.51,2,34,0.58,474.2002,C24H30N2O8,10,0,0
184,602.86,6.11,6,3,102.40,19,N,2,,10.21,6.17,3.40,BASE,602.86,3,44,0.14,602.4196,C37H54N4O3,7,4,2
185,588.84,5.72,6,3,102.40,18,N,2,,10.05,5.72,3.07,BASE,588.84,3,43,0.17,588.4039,C36H52N4O3,7,4,2
186,603.67,3.23,10,1,134.33,13,N,1,,,2.28,2.28,NEUTRAL,603.67,2,43,0.34,603.2792,C30H41N3O10,13,1,2
187,267.24,0.73,5,3,135.56,6,N,0,1.48,9.31,-1.82,-1.83,ZWITTERION,267.24,1,19,0.51,267.0855,C11H13N3O5,8,4,0
188,119.12,-1.52,4,2,72.55,2,N,0,,6.82,-1.48,-1.58,NEUTRAL,119.12,0,8,0.43,119.0582,C4H9NO3,4,3,0
189,268.23,0.13,5,4,147.59,5,N,0,1.40,8.50,-2.33,-2.36,ZWITTERION,304.69,1,19,0.44,268.0808,C10H13ClN4O5,9,5,0
190,283.24,0.64,7,2,133.79,5,N,0,12.45,6.49,0.81,0.76,NEUTRAL,319.70,1,20,0.46,283.0804,C11H14ClN3O6,9,3,0
191,281.27,0.81,6,2,124.56,6,N,0,13.06,7.18,0.59,0.38,NEUTRAL,317.73,1,20,0.45,281.1012,C12H16ClN3O5,8,3,0
192,344.39,-0.27,5,1,104.22,5,N,0,3.30,,-0.65,-4.08,ACID,344.39,0,23,0.42,344.1042,C14H20N2O6S,8,1,0
193,301.32,-0.42,5,1,108.82,4,N,0,3.26,,-0.50,-3.93,ACID,301.32,0,20,0.43,301.0620,C12H15NO6S,7,1,0
194,233.25,-0.79,4,1,91.75,1,N,0,3.09,,-0.89,-4.35,ACID,233.25,0,15,0.60,233.0358,C8H11NO5S,6,1,0
195,381.38,1.47,6,2,83.80,6,N,0,5.26,10.33,-0.50,-0.50,ZWITTERION,381.38,2,27,0.79,381.1500,C18H21F2N3O4,7,2,0
196,405.45,2.99,5,2,74.57,6,N,0,5.55,10.33,0.18,0.18,ZWITTERION,405.45,2,29,0.77,405.1864,C21H25F2N3O3,6,2,0
197,851.02,-3.61,13,13,359.52,27,N,3,8.08,22.56,-4.36,-6.75,BASE,851.02,1,60,0.04,850.4913,C39H66N10O11,21,16,3
198,596.82,2.93,7,5,151.37,19,N,1,12.20,10.20,2.39,-0.38,BASE,596.82,2,43,0.16,596.4050,C33H52N6O4,10,6,2
199,282.26,0.22,6,3,136.59,5,N,0,12.46,6.38,0.08,0.04,NEUTRAL,318.72,1,20,0.40,282.0964,C11H15ClN4O5,9,4,0
200,315.35,-0.03,5,1,108.82,4,N,0,3.19,,-0.01,-3.46,ACID,315.35,0,21,0.58,315.0777,C13H17NO6S,7,1,0
201,331.35,-0.45,6,1,118.05,4,N,0,3.14,,0.04,-3.41,ACID,331.35,0,22,0.42,331.0726,C13H17NO7S,8,1,0
202,393.43,2.99,5,2,74.57,6,N,0,5.55,10.33,0.13,0.12,ZWITTERION,393.43,2,28,0.79,393.1864,C20H25F2N3O3,6,2,0
203,419.47,3.53,5,2,74.57,6,N,0,5.64,10.33,0.71,0.70,ZWITTERION,419.47,2,30,0.75,419.2020,C22H27F2N3O3,6,2,0
204,445.44,3.54,5,2,74.57,6,N,0,5.43,10.33,1.20,1.20,ZWITTERION,445.44,3,32,0.61,445.1613,C23H22F3N3O3,6,2,0
205,399.40,2.72,5,1,65.78,3,N,0,5.48,6.42,2.23,1.44,ACID,399.40,3,29,0.73,399.1394,C21H19F2N3O3,6,1,0
