oc_id,tax_id,l1,l2,l3
320,536,Bacteria,Gram-Negative,Betaproteobacteria
321,544,Bacteria,Gram-Negative,Citrobacter
322,546,Bacteria,Gram-Negative,Citrobacter
323,545,Bacteria,Gram-Negative,Other
324,636,Bacteria,Gram-Negative,Edwardsiella
325,539,Bacteria,Gram-Negative,Other
326,238,Bacteria,Gram-Negative,Elizabethkingia
327,547,Bacteria,Gram-Negative,Enterobacter
328,548,Bacteria,Gram-Negative,Enterobacter
329,550,Bacteria,Gram-Negative,Enterobacter
330,42895,Bacteria,Gram-Negative,Enterobacter
331,543,Bacteria,Gram-Negative,Other
332,556,Bacteria,Gram-Negative,Dickeya
333,561,Bacteria,Gram-Negative,Escherichia
334,562,Bacteria,Gram-Negative,Escherichia
335,83333,Bacteria,Gram-Negative,Escherichia
336,37762,Bacteria,Gram-Negative,Escherichia
337,199310,Bacteria,Gram-Negative,Escherichia
339,83334,Bacteria,Gram-Negative,Escherichia
340,217992,Bacteria,Gram-Negative,Escherichia
341,32066,Bacteria,Gram-Negative,Fusobacteria
342,848,Bacteria,Gram-Negative,Fusobacteria
343,850,Bacteria,Gram-Negative,Fusobacteria
344,859,Bacteria,Gram-Negative,Fusobacteria
345,851,Bacteria,Gram-Negative,Fusobacteria
346,68766,Bacteria,Gram-Negative,Fusobacteria
347,856,Bacteria,Gram-Negative,Fusobacteria
348,724,Bacteria,Gram-Negative,Haemophilus
349,730,Bacteria,Gram-Negative,Haemophilus
350,727,Bacteria,Gram-Negative,Haemophilus
351,729,Bacteria,Gram-Negative,Haemophilus
352,210,Bacteria,Gram-Negative,Epsilonproteobacteria
353,570,Bacteria,Gram-Negative,Klebsiella
355,571,Bacteria,Gram-Negative,Klebsiella
356,573,Bacteria,Gram-Negative,Klebsiella
357,574,Bacteria,Gram-Negative,Klebsiella
358,576,Bacteria,Gram-Negative,Klebsiella
359,446,Bacteria,Gram-Negative,Legionella
360,55601,Bacteria,Gram-Negative,Other
361,75985,Bacteria,Gram-Negative,Other
362,476,Bacteria,Gram-Negative,Other
363,480,Bacteria,Gram-Negative,Moraxella
364,581,Bacteria,Gram-Negative,Other
365,582,Bacteria,Gram-Negative,Morganella
366,485,Bacteria,Gram-Negative,Neisseria
367,487,Bacteria,Gram-Negative,Neisseria
368,33053,Bacteria,Gram-Negative,Neisseria
369,490,Bacteria,Gram-Negative,Neisseria
370,310518,Bacteria,Gram-Negative,Other
371,823,Bacteria,Gram-Negative,Other
372,266,Bacteria,Gram-Negative,Alphaproteobacteria
373,747,Bacteria,Gram-Negative,Other
374,759,Bacteria,Gram-Negative,Other
375,657,Bacteria,Gram-Negative,Other
376,1160,Bacteria,Gram-Negative,Cyanobacteria
377,703,Bacteria,Gram-Negative,Other
378,36875,Bacteria,Gram-Negative,Other
379,837,Bacteria,Gram-Negative,Other
380,28125,Bacteria,Gram-Negative,Prevotella
381,28126,Bacteria,Gram-Negative,Prevotella
382,28130,Bacteria,Gram-Negative,Prevotella
383,840,Bacteria,Gram-Negative,Prevotella
384,28132,Bacteria,Gram-Negative,Prevotella
385,28134,Bacteria,Gram-Negative,Prevotella
386,583,Bacteria,Gram-Negative,Proteus
387,84631,Bacteria,Gram-Negative,Proteus
388,584,Bacteria,Gram-Negative,Proteus
389,585,Bacteria,Gram-Negative,Proteus
390,586,Bacteria,Gram-Negative,Providencia
391,126385,Bacteria,Gram-Negative,Providencia
392,587,Bacteria,Gram-Negative,Providencia
393,589,Bacteria,Gram-Negative,Providencia
394,588,Bacteria,Gram-Negative,Providencia
395,286,Bacteria,Gram-Negative,Pseudomonas
396,287,Bacteria,Gram-Negative,Pseudomonas
397,294,Bacteria,Gram-Negative,Pseudomonas
399,303,Bacteria,Gram-Negative,Pseudomonas
400,306,Bacteria,Gram-Negative,Pseudomonas
401,305,Bacteria,Gram-Negative,Betaproteobacteria
402,382,Bacteria,Gram-Negative,Other
403,590,Bacteria,Gram-Negative,Salmonella
405,28901,Bacteria,Gram-Negative,Salmonella
406,29482,Bacteria,Gram-Negative,Salmonella
407,58712,Bacteria,Gram-Negative,Salmonella
408,594,Bacteria,Gram-Negative,Salmonella
409,220341,Bacteria,Gram-Negative,Salmonella
411,54388,Bacteria,Gram-Negative,Salmonella
412,599,Bacteria,Gram-Negative,Salmonella
414,90370,Bacteria,Gram-Negative,Salmonella
416,90371,Bacteria,Gram-Negative,Salmonella
417,613,Bacteria,Gram-Negative,Other
418,614,Bacteria,Gram-Negative,Other
419,615,Bacteria,Gram-Negative,Serratia
420,620,Bacteria,Gram-Negative,Shigella
421,621,Bacteria,Gram-Negative,Shigella
422,622,Bacteria,Gram-Negative,Shigella
423,623,Bacteria,Gram-Negative,Shigella
424,624,Bacteria,Gram-Negative,Shigella
425,625,Bacteria,Gram-Negative,Shigella
427,13689,Bacteria,Gram-Negative,Other
428,40324,Bacteria,Gram-Negative,Stenotrophomonas
429,1148,Bacteria,Gram-Negative,Other
430,663,Bacteria,Gram-Negative,Vibrio
431,666,Bacteria,Gram-Negative,Vibrio
432,668,Bacteria,Gram-Negative,Vibrio
433,676,Bacteria,Gram-Negative,Vibrio
434,338187,Bacteria,Gram-Negative,Vibrio
435,674,Bacteria,Gram-Negative,Vibrio
436,670,Bacteria,Gram-Negative,Vibrio
437,671,Bacteria,Gram-Negative,Vibrio
438,672,Bacteria,Gram-Negative,Vibrio
439,339,Bacteria,Gram-Negative,Xanthomonas
440,347,Bacteria,Gram-Negative,Xanthomonas
441,629,Bacteria,Gram-Negative,Yersinia
442,630,Bacteria,Gram-Negative,Yersinia
443,632,Bacteria,Gram-Negative,Yersinia
444,187410,Bacteria,Gram-Negative,Yersinia
445,41315,Bacteria,Gram-Negative,Yersinia
446,542,Bacteria,Gram-Negative,Other
447,2148,Bacteria,Gram-Positive,Other
448,1989,Bacteria,Gram-Positive,Other
449,1659,Bacteria,Gram-Positive,Actinomyces
450,52773,Bacteria,Gram-Positive,Actinomyces
451,1655,Bacteria,Gram-Positive,Actinomyces
452,29317,Bacteria,Gram-Positive,Actinomyces
453,1656,Bacteria,Gram-Positive,Actinomyces
454,1388,Bacteria,Gram-Positive,Other
455,33034,Bacteria,Gram-Positive,Other
456,1661,Bacteria,Gram-Positive,Other
457,1671,Bacteria,Gram-Positive,Other
458,1386,Bacteria,Gram-Positive,Bacillus
459,1392,Bacteria,Gram-Positive,Bacillus
460,1396,Bacteria,Gram-Positive,Bacillus
461,1398,Bacteria,Gram-Positive,Bacillus
462,1467,Bacteria,Gram-Positive,Bacillus
463,1402,Bacteria,Gram-Positive,Bacillus
464,1404,Bacteria,Gram-Positive,Bacillus
465,1408,Bacteria,Gram-Positive,Bacillus
466,1409,Bacteria,Gram-Positive,Bacillus
467,1421,Bacteria,Gram-Positive,Lysinibacillus
469,1423,Bacteria,Gram-Positive,Bacillus
470,1427,Bacteria,Gram-Positive,Bacillus
471,1428,Bacteria,Gram-Positive,Bacillus
472,1393,Bacteria,Gram-Positive,Other
473,1703,Bacteria,Gram-Positive,Other
474,44001,Bacteria,Gram-Positive,Other
476,1707,Bacteria,Gram-Positive,Other
477,28447,Bacteria,Gram-Positive,Clavibacter
478,1488,Bacteria,Gram-Positive,Clostridium
479,1490,Bacteria,Gram-Positive,Clostridium
480,1491,Bacteria,Gram-Positive,Clostridium
481,36826,Bacteria,Gram-Positive,Clostridium
482,1492,Bacteria,Gram-Positive,Clostridium
483,1529,Bacteria,Gram-Positive,Clostridium
484,1496,Bacteria,Gram-Positive,Clostridium
485,1498,Bacteria,Gram-Positive,Clostridium
486,1542,Bacteria,Gram-Positive,Clostridium
487,1502,Bacteria,Gram-Positive,Clostridium
488,1547,Bacteria,Gram-Positive,Clostridium
489,1504,Bacteria,Gram-Positive,Clostridium
490,1505,Bacteria,Gram-Positive,Clostridium
491,1509,Bacteria,Gram-Positive,Clostridium
492,1559,Bacteria,Gram-Positive,Clostridium
493,1513,Bacteria,Gram-Positive,Clostridium
494,74426,Bacteria,Gram-Positive,Other
495,1716,Bacteria,Gram-Positive,Corynebacterium
496,1697,Bacteria,Gram-Positive,Corynebacterium
497,1717,Bacteria,Gram-Positive,Corynebacterium
498,1718,Bacteria,Gram-Positive,Corynebacterium
499,1720,Bacteria,Gram-Positive,Corynebacterium
500,1725,Bacteria,Gram-Positive,Corynebacterium
501,84112,Bacteria,Gram-Positive,Other
502,1350,Bacteria,Gram-Positive,Enterococcus
503,33945,Bacteria,Gram-Positive,Enterococcus
504,53345,Bacteria,Gram-Positive,Enterococcus
505,1351,Bacteria,Gram-Positive,Enterococcus
506,226185,Bacteria,Gram-Positive,Enterococcus
507,1352,Bacteria,Gram-Positive,Enterococcus
508,1353,Bacteria,Gram-Positive,Enterococcus
509,1354,Bacteria,Gram-Positive,Enterococcus
510,35783,Bacteria,Gram-Positive,Enterococcus
511,1648,Bacteria,Gram-Positive,Other
512,1736,Bacteria,Gram-Positive,Other
513,1260,Bacteria,Gram-Positive,Other
514,2702,Bacteria,Gram-Positive,Other
515,1422,Bacteria,Gram-Positive,Geobacillus
516,1275,Bacteria,Gram-Positive,Other
517,1582,Bacteria,Gram-Positive,Lactobacillus
518,1613,Bacteria,Gram-Positive,Lactobacillus
519,33962,Bacteria,Gram-Positive,Lactobacillus
520,1590,Bacteria,Gram-Positive,Lactobacillus
521,1358,Bacteria,Gram-Positive,Other
522,1360,Bacteria,Gram-Positive,Other
523,1642,Bacteria,Gram-Positive,Other
524,1639,Bacteria,Gram-Positive,Listeria
525,1270,Bacteria,Gram-Positive,Micrococcus
526,1763,Bacteria,Gram-Positive,Mycobacterium
527,1764,Bacteria,Gram-Positive,Mycobacterium
528,1770,Bacteria,Gram-Positive,Mycobacterium
529,1765,Bacteria,Gram-Positive,Mycobacterium
530,1774,Bacteria,Gram-Positive,Mycobacterium
531,1776,Bacteria,Gram-Positive,Mycobacterium
532,1766,Bacteria,Gram-Positive,Mycobacterium
533,1778,Bacteria,Gram-Positive,Mycobacterium
534,1767,Bacteria,Gram-Positive,Mycobacterium
535,1768,Bacteria,Gram-Positive,Mycobacterium
536,29312,Bacteria,Gram-Positive,Mycobacterium
537,1780,Bacteria,Gram-Positive,Mycobacterium
538,1781,Bacteria,Gram-Positive,Mycobacterium
539,1771,Bacteria,Gram-Positive,Mycobacterium
540,1783,Bacteria,Gram-Positive,Mycobacterium
541,1784,Bacteria,Gram-Positive,Mycobacterium
542,1772,Bacteria,Gram-Positive,Mycobacterium
543,1773,Bacteria,Gram-Positive,Mycobacterium
544,1789,Bacteria,Gram-Positive,Mycobacterium
545,2096,Bacteria,Gram-Positive,Other
546,2104,Bacteria,Gram-Positive,Other
547,1258,Bacteria,Gram-Positive,Other
548,1257,Bacteria,Gram-Positive,Peptostreptococcus
549,1261,Bacteria,Gram-Positive,Peptostreptococcus
550,33033,Bacteria,Gram-Positive,Peptostreptococcus
551,1262,Bacteria,Gram-Positive,Peptostreptococcus
552,1743,Bacteria,Gram-Positive,Other
553,1748,Bacteria,Gram-Positive,Other
554,1747,Bacteria,Gram-Positive,Other
555,33887,Bacteria,Gram-Positive,Other
556,43767,Bacteria,Gram-Positive,Rhodococcus
557,1266,Bacteria,Gram-Positive,Other
558,2136,Bacteria,Gram-Positive,Other
559,1569,Bacteria,Gram-Positive,Other
560,1279,Bacteria,Gram-Positive,Staphylococcus
561,1280,Bacteria,Gram-Positive,Staphylococcus
562,93062,Bacteria,Gram-Positive,Staphylococcus
563,282458,Bacteria,Gram-Positive,Staphylococcus
564,282459,Bacteria,Gram-Positive,Staphylococcus
565,158878,Bacteria,Gram-Positive,Staphylococcus
566,196620,Bacteria,Gram-Positive,Staphylococcus
567,158879,Bacteria,Gram-Positive,Staphylococcus
570,29388,Bacteria,Gram-Positive,Staphylococcus
571,1281,Bacteria,Gram-Positive,Staphylococcus
572,1282,Bacteria,Gram-Positive,Staphylococcus
573,176279,Bacteria,Gram-Positive,Staphylococcus
574,310516,Bacteria,Gram-Positive,Staphylococcus
575,1283,Bacteria,Gram-Positive,Staphylococcus
576,1290,Bacteria,Gram-Positive,Staphylococcus
577,1284,Bacteria,Gram-Positive,Staphylococcus
578,1285,Bacteria,Gram-Positive,Staphylococcus
579,29385,Bacteria,Gram-Positive,Staphylococcus
580,1286,Bacteria,Gram-Positive,Staphylococcus
581,29387,Bacteria,Gram-Positive,Staphylococcus
582,1292,Bacteria,Gram-Positive,Staphylococcus
583,1301,Bacteria,Gram-Positive,Streptococcus
584,1311,Bacteria,Gram-Positive,Streptococcus
