assay_class_id,l1,l2,l3,class_type,bao_id,source
67,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,Hypoglycemic Seizures in Mice,In vivo efficacy,,Vogel_2008
68,ALIMENTARY TRACT AND METABOLISM,Measurement of Glucose Absorption,Evaluation of Glucose Absorption In Vivo,In vivo efficacy,,Vogel_2008
69,ALIMENTARY TRACT AND METABOLISM,Monitoring of Diabetic Late Complications,Electroretinogram,In vivo efficacy,,Vogel_2008
70,ALIMENTARY TRACT AND METABOLISM,Monitoring of Diabetic Late Complications,Naphthalene Induced Cataract,In vivo efficacy,,Vogel_2008
71,ALIMENTARY TRACT AND METABOLISM,Monitoring of Diabetic Late Complications,Nerve Blood Flow Doppler Flux,In vivo efficacy,,Vogel_2008
72,ALIMENTARY TRACT AND METABOLISM,Monitoring of Diabetic Late Complications,Nerve Conduction Velocity Aldose Reductase Inhibitors,In vivo efficacy,,Vogel_2008
73,ALIMENTARY TRACT AND METABOLISM,Monitoring of Diabetic Late Complications,Streptozotocin Induced Cataract,In vivo efficacy,,Vogel_2008
74,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Acute Experimental Pancreatitis,In vivo efficacy,,Vogel_2008
75,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Acute Pancreatic Fistula in Rats,In vivo efficacy,,Vogel_2008
76,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Chronic Pancreatic Fistula in Rats,In vivo efficacy,,Vogel_2008
77,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Chronic Pancreatitis,In vivo efficacy,,Vogel_2008
78,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Exocrine Secretion of Isolated Pancreas,In vivo efficacy,,Vogel_2008
79,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Somatostatin Activity,In vivo efficacy,,Vogel_2008
80,ALIMENTARY TRACT AND METABOLISM,Pancreatic Function,Taurocholate Induced Pancreatitis in the Rat,In vivo efficacy,,Vogel_2008
81,ALIMENTARY TRACT AND METABOLISM,Test on Salivary Glands,Measurement of Salivation,In vivo efficacy,,Hock_2016
82,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Carcinoma Oncology Models,Carcinoma,In vivo efficacy,,phenotype
83,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Carcinoma Oncology Models,Erhlich ascites carcinoma,In vivo efficacy,,phenotype
84,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Carcinoma Oncology Models,Lewis Lung Carcinoma,In vivo efficacy,,phenotype
85,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Carcinoma Oncology Models,Non Small Cell Lung Carcinoma,In vivo efficacy,,phenotype
86,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Carcinoma Oncology Models,Walker 256 Carcinoma,In vivo efficacy,,phenotype
87,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Leukemia Oncology Models,General Leukemia,In vivo efficacy,,phenotype
88,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Leukemia Oncology Models,L1210 Experimental Leukemia,In vivo efficacy,,Hock_2016
89,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Leukemia Oncology Models,P388 Experimental Leukemia,In vivo efficacy,,phenotype
90,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Lymphoma Oncology Models,Lymphoma,In vivo efficacy,,phenotype
91,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Melanoma Oncology Models,Experimental Melanoma,In vivo efficacy,,phenotype
92,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Melanoma Oncology Models,General Melanoma,In vivo efficacy,,phenotype
93,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Metastatic Oncology Models,Metastatic Activity,In vivo efficacy,,phenotype
94,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Acute Graft Versus Host Disease GVHD in Rats,In vivo efficacy,,Vogel_2008
95,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Acute Systemic Anaphylaxis in Rats,In vivo efficacy,,Vogel_2008
96,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Adjuvant Arthritis in Rats,In vivo efficacy,,Hock_2016
97,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Arthus Type Immediate Hypersensitivity,In vivo efficacy,,Vogel_2008
98,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Collagen Type II Induced Arthritis in Rats,In vivo efficacy,,Hock_2016
99,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Coxsackie virus B3 Induced Myocarditis,In vivo efficacy,,Vogel_2008
100,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Delayed Type Hypersensitivity,In vivo efficacy,,Vogel_2008
101,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Experimental Allergic Encephalomyelitis,In vivo efficacy,,Hock_2016
102,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Experimental Autoimmune Thyroiditis,In vivo efficacy,,Vogel_2008
103,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,General Autoimmune Activity,In vivo efficacy,,phenotype
104,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,General Immunosuppressive Activity,In vivo efficacy,,phenotype
105,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,General Rheumatoid Arthritis Models,In vivo efficacy,,phenotype
106,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Glomerulonephritis Induced by Antibasement Membrane Antibody in Rats,In vivo efficacy,,Vogel_2008
107,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Influence on Systemic Lupus Erythematosus SLE Like Disorder in MRL/lpr Mice,In vivo efficacy,,Vogel_2008
108,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Passive Cutaneous Anaphylaxis,In vivo efficacy,,Vogel_2008
109,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Porcine Cardiac Myosin Induced Autoimmune Myocarditis in Rats,In vivo efficacy,,Vogel_2008
110,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Prevention of Experimentally Induced Myasthenia Gravis in Rats,In vivo efficacy,,Vogel_2008
111,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Pristane Induced Arthritis in Mice,In vivo efficacy,,Vogel_2008
112,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Proteoglycan Induced Progressive Polyarthritis in Mice,In vivo efficacy,,Vogel_2008
113,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Reversed Passive Arthus Reaction,In vivo efficacy,,Hock_2016
114,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Methods for Testing Immunological Factors,Spontaneous Autoimmune Diseases In Animals,In vivo efficacy,,Vogel_2008
115,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Neoplasm Oncology Models,Neoplasms,In vivo efficacy,,phenotype
116,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Sarcoma Oncology Models,Fibrosarcoma,In vivo efficacy,,phenotype
117,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Sarcoma Oncology Models,Sarcoma,In vivo efficacy,,phenotype
118,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Sarcoma Oncology Models,Sarcoma 180,In vivo efficacy,,phenotype
119,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Xenograft Oncology Models,Xenograft Models of Anti-Tumor Assays,In vivo efficacy,,phenotype
120,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",Malarial Activity,General Anti-Malarial Activity,In vivo efficacy,,phenotype
121,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",Trypanosomal Activity,General Anti-Trypanosomal Activity,In vivo efficacy,,phenotype
122,BLOOD AND BLOOD FORMING ORGANS,Genetic Models of Hemostasis and Thrombosis,Knock-out Mouse Models of Hemostasis and Thrombosis,In vivo efficacy,,Vogel_2008
123,BLOOD AND BLOOD FORMING ORGANS,Hemostasis Bleeding Models,Arterial Bleeding Time in Mesentery,In vivo efficacy,,Vogel_2008
124,BLOOD AND BLOOD FORMING ORGANS,Hemostasis Bleeding Models,General Bleeding Models,In vivo efficacy,,phenotype
125,BLOOD AND BLOOD FORMING ORGANS,Hemostasis Bleeding Models,Subaqueous Tail Bleeding Time in Rodents,In vivo efficacy,,Vogel_2008
126,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Arteriovenous Shunt Thrombosis,In vivo efficacy,,Vogel_2008
127,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Collagenase Induced Thrombocytopenia ,In vivo efficacy,,Vogel_2008
128,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Disseminated Intravascular Coagulation DIC Model,In vivo efficacy,,Vogel_2008
129,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Experimental Thrombocytopenia or Leucocytopenia,In vivo efficacy,,Vogel_2008
130,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,FeCl3 Induced Thrombosis,In vivo efficacy,,Vogel_2008
131,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,General Thrombosis Models,In vivo efficacy,,phenotype
132,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Laser Induced Thrombosis,In vivo efficacy,,Hock_2016
133,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Microvascular Thrombosis in Trauma Models,In vivo efficacy,,Vogel_2008
134,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Photochemical Induced Thrombosis,In vivo efficacy,,Hock_2016
135,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Reversible Intravital Aggregation of Platelets,In vivo efficacy,,Vogel_2008
136,BLOOD AND BLOOD FORMING ORGANS,Models of Thrombosis,Wire Coil Induced Thrombosis,In vivo efficacy,,Vogel_2008
137,CARDIOVASCULAR SYSTEM,Anti-Arrhythmic Activity,Aconitine Antagonism in Rats,In vivo efficacy,,Hock_2016
138,CARDIOVASCULAR SYSTEM,Anti-Arrhythmic Activity,"Coronary Artery Ligation, Reperfusion Arrhythmia and Infarct Size in Rats",In vivo efficacy,,Hock_2016
139,CARDIOVASCULAR SYSTEM,Anti-Arrhythmic Activity,Electrocardiography in Animals,In vivo efficacy,,Hock_2016
140,CARDIOVASCULAR SYSTEM,Anti-Arrhythmic Activity,General Anti-Arrhythmic Activity,In vivo efficacy,,phenotype
141,CARDIOVASCULAR SYSTEM,Calcium Uptake Inhibiting Activity,Evaluation of Calcium Blockers in the Pithed Rat,In vivo efficacy,,Vogel_2008
142,CARDIOVASCULAR SYSTEM,Cardiac Hypertrophy and Insufficiency,Aortic Banding,In vivo efficacy,,Hock_2016
143,CARDIOVASCULAR SYSTEM,Cardiac Hypertrophy and Insufficiency,Cardiac Hypertrophy,In vivo efficacy,,Hock_2016
144,CARDIOVASCULAR SYSTEM,Cardiac Hypertrophy and Insufficiency,Chronic Heart Failure,In vivo efficacy,,Vogel_2008
145,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Activity at beta1 and beta2 Adrenoreceptors in Rat,In vivo efficacy,,Vogel_2008
146,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Angiotensin Converting Enzyme ACE Inhibition Measured in Vivo in Rat,In vivo efficacy,,Vogel_2008
147,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Angiotensin II Antagonism in Vivo,In vivo efficacy,,Hock_2016
148,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Anti-Hypertensive Vasodilator Activity in Ganglion Blocked Angiotensin II Supported Rats,In vivo efficacy,,Vogel_2008
149,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Bezold Jarisch Reflex,In vivo efficacy,,Hock_2016
150,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Blood Pressure in Conscious Hypertensive Rats Tail Cuff Method,In vivo efficacy,,Hock_2016
151,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Blood Pressure in Pithed Rats,In vivo efficacy,,Vogel_2008
152,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Cardiovascular Analysis in Anesthetized Mice,In vivo efficacy,,Vogel_2008
153,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Cardiovascular Effects After Intracerebroventricular icv Administration,In vivo efficacy,,Vogel_2008
154,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Direct Measurement of Blood Pressure in Conscious Rats with Indwelling Catheter,In vivo efficacy,,Vogel_2008
155,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Endothelin Receptor Antagonism in Vivo,In vivo efficacy,,Vogel_2008
156,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Endotoxin Induced Shock,In vivo efficacy,,Hock_2016
157,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,General Anti-Hypertensive Activity,In vivo efficacy,,phenotype
158,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,General Cardioprotective Activity,In vivo efficacy,,phenotype
159,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Heart Rate Measurement,In vivo efficacy,,Hock_2016
160,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Heat Stroke,In vivo efficacy,,Vogel_2008
161,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Hemodynamic Screening,In vivo efficacy,,Hock_2016
162,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Hemorrhagic Shock,In vivo efficacy,,Vogel_2008
163,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Influence on Orthostatic Hypotension,In vivo efficacy,,Hock_2016
164,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Measurement of Cardiac Output and Regional Blood Flow with Microspheres ,In vivo efficacy,,Vogel_2008
165,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Telemetric Monitoring of Cardiovascular Parameters in Rats,In vivo efficacy,,Vogel_2008
166,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,Tourniquet Shock,In vivo efficacy,,Vogel_2008
167,CARDIOVASCULAR SYSTEM,Cardiovascular Analysis,alpha and beta Adrenoreceptors in the Mouse Iris,In vivo efficacy,,Vogel_2008
168,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Cardiac Output,In vivo efficacy,,Vogel_2013_SafetyPharmacology
169,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Diastolic Blood Pressure,In vivo efficacy,,Vogel_2013_SafetyPharmacology
170,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Ejection Fraction,In vivo efficacy,,Vogel_2013_SafetyPharmacology
171,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: End Diastolic Volume,In vivo efficacy,,Vogel_2013_SafetyPharmacology
172,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Mean Blood Pressure or Mean Arteral Blood Pressure,In vivo efficacy,,Vogel_2013_SafetyPharmacology
173,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Pulse Pressure,In vivo efficacy,,Vogel_2013_SafetyPharmacology
174,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Stroke Volume,In vivo efficacy,,Vogel_2013_SafetyPharmacology
175,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Systolic Blood Pressure,In vivo efficacy,,Vogel_2013_SafetyPharmacology
176,CARDIOVASCULAR SYSTEM,Cardiovascular Safety Pharmacology,Cardiovascular Safety Pharmacology: Total Peripheral Resistance,In vivo efficacy,,Vogel_2013_SafetyPharmacology
177,CARDIOVASCULAR SYSTEM,Coronary Drugs,Isoproterenol Induced Myocardial Necrosis in Rats,In vivo efficacy,,Vogel_2008
178,CARDIOVASCULAR SYSTEM,Coronary Drugs,MRI Studies After Heart and Lung Transplantation,In vivo efficacy,,Vogel_2008
179,CARDIOVASCULAR SYSTEM,Coronary Drugs,MRI Studies of Cardiac Function,In vivo efficacy,,Vogel_2008
180,CARDIOVASCULAR SYSTEM,Coronary Drugs,Myocardial Infarction After Coronary Ligation,In vivo efficacy,,Hock_2016
181,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Angiotensin II Induced Aortic Aneurysm in Mice,In vivo efficacy,,Vogel_2008
182,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Cerebral Blood Flow Measured by NMRI,In vivo efficacy,,Vogel_2008
