assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,activity_count,assay_source,src_id,src_assay_id,chembl_id,updated_on,updated_by,orig_description,mc_tax_id,mc_organism,mc_target_type,mc_target_name,mc_target_accession,cell_id,bao_format,tissue_id,curation_comment,variant_id,aidx,job_id,log_id,ridx,tid_fixed
13,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280,,,,,50185,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL857900,2006-04-20 15:44:13,admin_actype,"The compound was tested for minimum inhibitory concentration in S. aureus,147N penicillin sensitive S. aureus",,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
14,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280,,,,,50185,N,1,Intermediate,3,ORIGINAL,1,,CHEMBL615129,2006-04-20 15:44:13,admin_actype,"The compound was tested for minimum inhibitory concentration in S. aureus,147N penicillin sensitive S. aureus",,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
15,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280,,,,,50185,N,1,Intermediate,14,ORIGINAL,1,,CHEMBL615130,2006-04-20 15:44:13,admin_actype,"The compound was tested for minimum inhibitory concentration in S. aureus,147N penicillin sensitive S. aureus",,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
16,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280,,,,,50185,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL615131,2006-04-20 15:44:13,admin_actype,"The compound was tested for minimum inhibitory concentration in S. aureus,147N penicillin sensitive S. aureus",,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
17,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,Rattus norvegicus,10116,,,,,100122,D,9,Expert,4,ORIGINAL,1,,CHEMBL884521,2010-03-29 10:09:01,P450-type_corr,Inhibitory activity against cytochrome P450 enzyme(15 alpha hydroxylase hepatic progesterone) involved in hepatic drug metabolism,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
18,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,,,,12054,H,8,Autocuration,5,ORIGINAL,1,,CHEMBL615132,2004-10-31 12:48:03,admin,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
19,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,,,,,12054,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615133,2006-04-20 15:42:47,admin_actype,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
20,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,,,,12054,H,8,Autocuration,9,ORIGINAL,1,,CHEMBL615134,2006-04-20 15:42:47,admin_actype,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
21,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,,,,12054,H,8,Autocuration,5,ORIGINAL,1,,CHEMBL615135,2006-04-20 15:43:24,admin_actype,Compound was evaluated for the percent incerase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
22,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,,,,12054,H,8,Autocuration,5,ORIGINAL,1,,CHEMBL615136,2006-04-20 15:43:24,admin_actype,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
23,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,,,,,12054,H,8,Autocuration,4,ORIGINAL,1,,CHEMBL615137,2006-04-20 15:43:24,admin_actype,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO) ;NI is no inhibition,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
24,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,,,,,12054,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615138,2006-04-20 15:43:24,admin_actype,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
25,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,,,Endothelial cell,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL836324,2006-11-28 17:05:38,BautoJPO,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5M.",,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
26,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,9986,,,,,12054,H,8,Autocuration,7,ORIGINAL,1,,CHEMBL615139,2006-04-20 15:42:47,admin_actype,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
27,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,9986,,,,,12054,H,8,Autocuration,8,ORIGINAL,1,,CHEMBL615140,2011-01-19 17:05:05,LJB Desc Spelling,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 microM),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
28,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,,,,,12426,H,8,Autocuration,10,ORIGINAL,1,,CHEMBL615141,2010-10-26 17:10:29,SQL-abbr-desc,Inhibitory activity of the compound against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
29,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847,,,,,12054,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615142,2006-04-20 15:42:47,admin_actype,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
30,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847,,,,,12054,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615143,2010-10-26 17:10:29,SQL-abbr-desc,Inhibitory activity of the compound against soyabean 15-lipoxygenase was evaluated,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
31,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,3847,,,,,12054,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615144,2011-01-19 17:04:21,LJB Desc Spelling,Inhibitory activity of the compound against soyabean 15-lipoxygenase was evaluated at 100 uM,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
32,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,3847,,,,,12054,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL872867,2011-01-19 17:05:11,LJB Desc Spelling,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soyabean at a concentration of 10 microM.,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
33,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,3847,,,,,12054,H,8,Autocuration,4,ORIGINAL,1,,CHEMBL615145,2011-01-19 17:04:36,LJB Desc Spelling,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soyabean at a concentration of 100 microM.,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
34,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847,,,,,12054,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615146,2006-04-20 15:42:47,admin_actype,Compound was tested in vitro for inhibition of 15-lipoxygenase soyabean,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
35,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847,,,,,12054,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615147,2011-01-19 17:05:04,LJB Desc Spelling,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soyabean,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
36,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116,,,,,22224,U,0,Autocuration,4,ORIGINAL,1,,CHEMBL615148,2010-03-29 10:09:01,P450-type_corr,Inhibitory activity against cytochrome P450 enzyme(16 alpha hydroxylase hepatic progesterone) involved in hepatic drug metabolism,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
37,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562,,,,,22226,U,0,Autocuration,26,ORIGINAL,1,,CHEMBL615149,2006-04-20 15:43:43,admin_actype,Binding affinity of the compound against bacterial 16S rRNA using mass spectrometry based assay,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
38,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,,,,,22226,U,0,Autocuration,9,ORIGINAL,1,,CHEMBL615150,2010-10-26 17:10:29,SQL-abbr-desc,Dissociation constant of the compound with dimeric 16S rRNA RNA construct B,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
39,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,,,,,22222,M,3,Intermediate,6,ORIGINAL,1,,CHEMBL615151,2010-10-26 17:10:29,SQL-abbr-desc,Dissociation constant of the compound towards 16S rRNA construct A,,,,,,,BAO_0000225,,,,CLD0,0,0,CLD0,
40,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,,,,,22222,M,3,Intermediate,6,ORIGINAL,1,,CHEMBL615152,2010-10-26 17:10:29,SQL-abbr-desc,Dissociation constant of the compound towards 16S rRNA construct B,,,,,,,BAO_0000225,,,,CLD0,0,0,CLD0,
41,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562,,,,,100263,M,3,Expert,14,ORIGINAL,1,,CHEMBL615153,2013-04-15 16:29:30,reset_complex,Compound was evaluated for the binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,,,,,BAO_0000225,,,,CLD0,0,0,CLD0,
42,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562,,,,,100263,M,3,Expert,48,ORIGINAL,1,,CHEMBL615154,2006-04-20 15:43:44,admin_actype,Tested for binding affinity of the compound towards 16S ribosomal RNA A-site of Escherichia coli,,,,,,,BAO_0000225,,,,CLD0,0,0,CLD0,
43,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,,,,13053,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615155,2006-11-28 16:58:32,BautoJPO,Inhibitory activity against human placenta 17beta-hydroxysteroid dehydrogenase type 2 (17beta-HSD type 2),,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
44,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,,,,13053,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615156,2006-11-23 12:25:28,BautoJPO,Inhibitory constant against human placenta 17beta-hydroxysteroid dehydrogenase type 2 (17beta-HSD type 2),,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
45,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606,,,,,20001,H,8,Autocuration,10,ORIGINAL,1,,CHEMBL615157,2006-11-28 16:58:32,BautoJPO,The compound was tested at a concentration of 1microM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
46,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606,,,,,20001,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615158,2006-11-23 12:25:28,BautoJPO,The compound was tested at a concentration of 1uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
47,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116,,Testis,,,12971,D,9,Expert,1,ORIGINAL,1,,CHEMBL615159,2006-04-20 15:42:47,admin_actype,"Inhibition of 117-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,,,BAO_0000221,473,,,CLD0,0,0,CLD0,
48,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116,,Testis,,,12971,D,9,Expert,3,ORIGINAL,1,,CHEMBL615172,2006-04-20 15:42:47,admin_actype,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,,,BAO_0000221,473,,,CLD0,0,0,CLD0,
49,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116,,,,,12971,D,9,Expert,8,ORIGINAL,1,,CHEMBL615173,2006-11-28 16:58:32,BautoJPO,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase at 100 microM from rat testes microsomal preparation",,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
50,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116,,,,,12971,D,9,Expert,1,ORIGINAL,1,,CHEMBL615174,2006-11-28 16:58:32,BautoJPO,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase at 100 microM from rat testes microsomal preparation",,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
51,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,,,,13053,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL884518,2006-11-23 12:26:19,BautoJPO,Inhibitory activity against human placenta 17beta-hydroxysteroid dehydrogenase type 2 (17beta-HSD type 2),,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
52,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,,,,,11512,H,8,Autocuration,5,ORIGINAL,1,,CHEMBL615175,2006-11-28 16:58:32,BautoJPO,Compound was tested for the inhibition of 17beta-hydroxysteroid dehydrogenase type 1(17beta-HSD type 1),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
53,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,,,,,11512,H,8,Autocuration,8,ORIGINAL,1,,CHEMBL615176,2011-01-19 17:04:32,LJB Desc Spelling,Compound was tested for the inhibition of 17beta-hydroxysteroid dehydrogenase type 1(17beta-HSD type 1) at 1 microM concentration,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
54,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,,,,,11512,H,8,Autocuration,8,ORIGINAL,1,,CHEMBL615177,2011-01-19 17:05:00,LJB Desc Spelling,Compound was tested for the inhibition of 17beta-hydroxysteroid dehydrogenase type 1(17beta-HSD type 1) at 10 microM concentration,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
55,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116,,,,Membrane,104740,D,5,Autocuration,8,ORIGINAL,1,,CHEMBL615178,2005-02-28 00:00:00,paustin,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,,,,,BAO_0000249,,,,CLD0,0,0,CLD0,
56,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,4,ORIGINAL,1,,CHEMBL615179,2013-02-14 14:00:47,set cell-type from tid,Cytotoxicity of the compound against ovarian cancer cell line (1A-9) of humans was determined,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
57,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116,,,Oocyte,,104835,D,7,Autocuration,13,ORIGINAL,1,,CHEMBL615180,2006-04-24 00:00:00,ylight,Functional antagonism of the compound evaluated by electrical assays in Xenopus oocytes expressing the 1A/2A NMDA receptor subtype.,,,,,,1758,BAO_0000219,,,,CLD0,0,0,CLD0,
58,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116,,,Oocyte,,104821,D,7,Autocuration,13,ORIGINAL,1,,CHEMBL615181,2006-04-24 00:00:00,ylight,Functional antagonism of the compound evaluated by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor subtype.,,,,,,1758,BAO_0000219,,,,CLD0,0,0,CLD0,
59,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116,,,Oocyte,,104848,D,7,Autocuration,13,ORIGINAL,1,,CHEMBL615182,2006-04-24 00:00:00,ylight,Functional antagonism of the compound evaluated by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor subtype.,,,,,,1758,BAO_0000219,,,,CLD0,0,0,CLD0,
60,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Expert,10,ORIGINAL,1,,CHEMBL615183,2013-02-14 14:00:47,set cell-type from tid,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
61,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL615184,2013-02-14 14:00:47,set cell-type from tid,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
62,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,4,ORIGINAL,1,,CHEMBL615185,2013-02-14 14:00:47,set cell-type from tid,Cytotoxic activity of the compound against human ovarian cancer (1A9) cell line,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
63,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,4,ORIGINAL,1,,CHEMBL615186,2013-02-14 14:00:47,set cell-type from tid,Cytotoxic activity of the compound against human ovarian cancer (1A9) cell line; ND=Not determined,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
64,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,2,ORIGINAL,1,,CHEMBL615187,2013-02-14 14:00:47,set cell-type from tid,Effective dose of compound against replication of 1A9 cell line was evaluated,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
65,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Expert,26,ORIGINAL,1,,CHEMBL885343,2013-02-14 14:00:47,set cell-type from tid,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
66,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,6,ORIGINAL,1,,CHEMBL615188,2013-02-14 14:00:47,set cell-type from tid,In vitro cytotoxicity of the compound evaluated against human ovarian cancer (1A9 cell line),,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
67,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL615189,2013-02-14 14:00:47,set cell-type from tid,In vitro cytotoxicity of the compound evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
68,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,3,ORIGINAL,1,,CHEMBL615190,2013-02-14 14:00:47,set cell-type from tid,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20microg/mL,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
69,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Intermediate,6,ORIGINAL,1,,CHEMBL615191,2013-02-14 14:00:47,set cell-type from tid,Inhibitory activity against Taxol resistant 1A9 cell lines,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
70,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Expert,6,ORIGINAL,1,,CHEMBL615192,2013-02-14 14:00:47,set cell-type from tid,Cytotoxicity against human ovarian cancer(1A9) cell lines.,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
71,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606,,,1A9,,80002,N,1,Expert,1,ORIGINAL,1,,CHEMBL827083,2013-02-14 14:00:47,set cell-type from tid,Percentage inhibition of human ovarian cancer(1A9) cell lines.,,,,,,506,BAO_0000219,,,,CLD0,0,0,CLD0,
