drugind_id,record_id,molregno,max_phase_for_ind,mesh_id,mesh_heading,efo_id,efo_term
22661,1344205,395607,4,D008223,Lymphoma,EFO:0000574,lymphoma
22663,1702472,377715,4,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22664,1344282,27648,4,D016584,Panic Disorder,EFO:0004262,panic disorder
22666,1344218,675431,3,D000038,Abscess,EFO:0003030,abscess
22667,1344218,675431,4,D011655,Pulmonary Embolism,EFO:0003827,pulmonary embolism
22668,1344218,675431,4,D020521,Stroke,EFO:0000712,stroke
22671,1344320,154051,3,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22673,1344857,822010,4,D006973,Hypertension,EFO:0000537,hypertension
22678,1343826,674353,4,D006973,Hypertension,EFO:0000537,hypertension
22682,1344804,8838,4,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22684,1344593,543,1,D019970,Cocaine-Related Disorders,EFO:0002610,cocaine dependence
22685,1343128,674710,4,D013920,"Thrombocythemia, Essential",EFO:0000479,essential thrombocythemia
22686,1344211,675577,2,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus
22687,1344211,675577,2,D003922,"Diabetes Mellitus, Type 1",EFO:0001359,type I diabetes mellitus
22688,1344595,337366,4,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22689,1344595,337366,2,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22690,1706042,397524,4,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation
22691,1705039,458773,2,D003876,"Dermatitis, Atopic",EFO:0000274,atopic eczema
22695,1344597,399361,3,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22696,1344597,399361,3,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22697,1344597,399361,4,D020250,Postoperative Nausea and Vomiting,EFO:0004888,post operative nausea and vomiting
22698,1343282,1280054,4,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22699,1343887,155006,3,D000437,Alcoholism,EFO:0003829,alcohol dependence
22700,1343887,155006,3,D000544,Alzheimer Disease,EFO:0000249,Alzheimer's disease
22701,1343887,155006,2,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22702,1343887,155006,4,D001321,Autistic Disorder,EFO:0003758,autism
22703,1343887,155006,4,D001714,Bipolar Disorder,EFO:0000289,bipolar disorder
22704,1343887,155006,4,D012559,Schizophrenia,EFO:0000692,schizophrenia
22705,1343887,155006,4,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22706,1343365,675143,2,D004938,Esophageal Neoplasms,EFO:0002916,esophageal carcinoma
22707,1343365,675143,3,D006970,Disorders of Excessive Somnolence,EFO:0005246,hypersomnia
22708,1343365,675143,2,D007319,Sleep Initiation and Maintenance Disorders,EFO:0004698,insomnia
22709,1343365,675143,2,D012559,Schizophrenia,EFO:0000692,schizophrenia
22710,1343644,1539205,3,D007938,Leukemia,EFO:0000565,leukemia
22711,1343144,1926823,4,D001714,Bipolar Disorder,EFO:0000289,bipolar disorder
22712,1343144,1926823,4,D012559,Schizophrenia,EFO:0000692,schizophrenia
22713,1343081,1280,3,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation
22714,1343081,1280,3,D020520,Brain Infarction,EFO:0004277,brain infarction
22715,1343081,1280,3,D003324,Coronary Artery Disease,EFO:0000378,coronary artery disease
22716,1343081,1280,2,D004381,Duodenal Ulcer,EFO:0004607,duodenal ulcer
22717,1343081,1280,4,D005334,Fever,HP:0001945,fever
22718,1343081,1280,3,D006973,Hypertension,EFO:0000537,hypertension
22719,1343081,1280,1,D010437,Peptic Ulcer,HP:0004398,Peptic ulcer
22720,1343081,1280,3,D058729,Peripheral Arterial Disease,EFO:0004265,peripheral arterial disease
22721,1343081,1280,3,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22722,1344114,1279,4,D000787,Angina Pectoris,EFO:0003913,angina pectoris
22723,1344114,1279,4,D006973,Hypertension,EFO:0000537,hypertension
22724,1344114,1279,4,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22725,1343140,547576,4,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22726,1344888,407354,2,D001249,Asthma,EFO:0000270,asthma
22727,1344888,407354,2,D009369,Neoplasms,EFO:0000311,cancer
22728,1344888,407354,3,D006950,"Hyperlipidemia, Familial Combined",Orphanet:79211,Combined hyperlipidemia
22729,1344888,407354,3,D052439,Lipid Metabolism Disorders,Orphanet:309005,Disorder of lipid metabolism
22730,1344888,407354,4,D006937,Hypercholesterolemia,HP:0003124,hypercholesterolemia
22731,1344888,407354,4,D006949,Hyperlipidemias,EFO:0003774,hyperlipidemia
22732,1344888,407354,2,D009103,Multiple Sclerosis,EFO:0003885,multiple sclerosis
22733,1344888,407354,2,D011085,Polycystic Ovary Syndrome,EFO:0000660,polycystic ovary syndrome
22734,1344888,407354,3,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma
22735,1344888,407354,2,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22736,1344888,407354,2,D014652,Vascular Diseases,EFO:0004264,vascular disease
22739,1583657,716337,4,D009369,Neoplasms,EFO:0000616,neoplasm
22740,1583657,716337,4,D002292,"Carcinoma, Renal Cell",EFO:0000681,renal cell carcinoma
22741,1343167,418401,3,D015470,"Leukemia, Myeloid, Acute",EFO:0000222,acute myeloid leukemia
22743,1343167,418401,4,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22744,1343926,431141,3,D009157,Myasthenia Gravis,EFO:0004991,Myasthenia gravis
22748,1583655,1376065,4,D006973,Hypertension,EFO:0000537,hypertension
22749,1343184,32869,4,D009103,Multiple Sclerosis,EFO:0003885,multiple sclerosis
22750,1343414,674451,4,D001249,Asthma,EFO:0000270,asthma
22752,1394675,1153494,4,D008180,"Lupus Erythematosus, Systemic",EFO:0002690,systemic lupus erythematosus
22755,1343565,27152,2,D003876,"Dermatitis, Atopic",EFO:0000274,atopic eczema
22756,1344293,674489,4,D005128,Eye Diseases,EFO:0005752,eye inflammation
22757,1344998,675483,3,D008268,Macular Degeneration,EFO:0001365,age-related macular degeneration
22758,1344998,675483,2,D001932,Brain Neoplasms,EFO:0003833,brain neoplasm
22759,1344998,675483,3,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22760,1344998,675483,2,D002277,Carcinoma,EFO:0000313,carcinoma
22761,1344998,675483,4,D015179,Colorectal Neoplasms,EFO:0000365,colorectal adenocarcinoma
22763,1344998,675483,3,D003930,Diabetic Retinopathy,EFO:0003770,diabetic retinopathy
22764,1344998,675483,2,D004938,Esophageal Neoplasms,EFO:0002916,esophageal carcinoma
22765,1344998,675483,3,D005901,Glaucoma,EFO:0000516,glaucoma
22766,1344998,675483,4,D005909,Glioblastoma,EFO:0000519,glioblastoma multiforme
22767,1344998,675483,3,D013683,"Telangiectasia, Hereditary Hemorrhagic",Orphanet:774,Hereditary hemorrhagic telangiectasia
22768,1344998,675483,4,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22769,1344998,675483,3,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma
22770,1344998,675483,3,D011625,Pterygium,EFO:0000678,pterygium
22771,1344998,675483,4,D002292,"Carcinoma, Renal Cell",EFO:0000681,renal cell carcinoma
22773,1344853,119498,3,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22774,1344580,717,3,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma
22775,1343342,674914,4,D007039,Hypotrichosis,Orphanet:55654,Hypotrichosis simplex
22778,1392876,1121863,3,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
22779,1344581,187372,3,D028226,"Amyloidosis, Familial",Orphanet:85443,AL amyloidosis
22780,1344581,187372,2,D007938,Leukemia,EFO:0000565,leukemia
22781,1344581,187372,2,D008175,Lung Neoplasms,EFO:0001071,lung carcinoma
22782,1344581,187372,4,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22783,1344581,187372,4,D009369,Neoplasms,EFO:0000616,neoplasm
22784,1343869,93617,3,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22785,1343869,93617,3,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22786,1679379,62111,2,D005909,Glioblastoma,EFO:0000519,glioblastoma multiforme
22787,1679379,62111,4,D009369,Neoplasms,EFO:0000616,neoplasm
22788,1696456,675360,3,D002547,Cerebral Palsy,EFO:1000632,cerebral palsy
22790,1696456,675360,2,D009765,Obesity,EFO:0001073,obesity
22792,1392878,1121865,4,D006689,Hodgkin Disease,EFO:0000183,Hodgkins lymphoma
22793,1702682,1378030,4,D012559,Schizophrenia,EFO:0000692,schizophrenia
22794,1702682,1378030,3,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22795,1343112,674454,4,D010300,Parkinson Disease,EFO:0002508,Parkinson's disease
22796,1343112,674454,4,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22797,1343876,313314,4,D006255,"Rhinitis, Allergic, Seasonal",EFO:0005854,allergic rhinitis
22798,1343876,313314,4,D001249,Asthma,EFO:0000270,asthma
22799,1343876,313314,4,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22800,1343876,313314,2,D008175,Lung Neoplasms,EFO:0001071,lung carcinoma
22801,1343876,313314,4,D003093,"Colitis, Ulcerative",EFO:0000729,ulcerative colitis
22802,1343888,139281,4,D006333,Heart Failure,EFO:0000373,congestive heart failure
22803,1343888,139281,4,D007674,Kidney Diseases,EFO:0003086,kidney disease
22804,1343888,139281,4,D009404,Nephrotic Syndrome,EFO:0004255,nephrotic syndrome
22806,1435097,150882,2,D007022,Hypotension,EFO:0005251,hypotension
22808,1343889,674347,2,D006552,"Hernia, Inguinal",HP:0000023,Inguinal hernia
22810,1343889,674347,4,D010146,Pain,EFO:0003843,pain
22811,1435097,150882,4,D010146,Pain,EFO:0003843,pain
22812,1343316,446784,3,D006556,Heroin Dependence,EFO:0004240,heroin dependence
22813,1343637,1543312,3,D009293,Opioid-Related Disorders,EFO:0005611,opioid dependence
22816,1343316,446784,4,D010146,Pain,EFO:0003843,pain
22817,1343619,545956,3,D001714,Bipolar Disorder,EFO:0000289,bipolar disorder
22819,1343619,545956,3,D014029,Tobacco Use Disorder,EFO:0003768,nicotine dependence
22821,1343619,545956,3,D016540,Smoking Cessation,EFO:0004319,smoking cessation
22823,1343619,545956,4,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22824,1344899,675699,2,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22826,1344899,675699,2,D008080,Liposarcoma,EFO:0003085,dedifferentiated liposarcoma
22827,1344899,675699,4,D009369,Neoplasms,EFO:0000616,neoplasm
22828,1344899,675699,3,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
22829,1344899,675699,2,D055752,Small Cell Lung Carcinoma,EFO:0000702,small cell lung carcinoma
22830,1344159,675038,4,D010300,Parkinson Disease,EFO:0002508,Parkinson's disease
22832,1343920,674617,4,D011565,Psoriasis,EFO:0000676,psoriasis
22833,1344395,63252,2,D002280,"Carcinoma, Basal Cell",EFO:0004193,basal cell carcinoma
22834,1344395,63252,1,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22835,1344395,63252,4,D011565,Psoriasis,EFO:0000676,psoriasis
22836,1344395,63252,2,D008180,"Lupus Erythematosus, Systemic",EFO:0002690,systemic lupus erythematosus
22837,1390838,675785,4,D001171,"Arthritis, Juvenile",EFO:0002609,juvenile idiopathic arthritis
22838,1390838,675785,4,D054078,Mevalonate Kinase Deficiency,Orphanet:309025,Mevalonate kinase deficiency
22840,1344584,116349,4,D006973,Hypertension,EFO:0000537,hypertension
22841,1343623,598447,4,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22842,1343623,598447,4,D009369,Neoplasms,EFO:0000311,cancer
22843,1343623,598447,3,D015179,Colorectal Neoplasms,EFO:0000365,colorectal adenocarcinoma
22844,1343623,598447,3,D004938,Esophageal Neoplasms,EFO:0002916,esophageal carcinoma
22845,1343623,598447,3,D013274,Stomach Neoplasms,EFO:0000178,gastric carcinoma
22846,1343623,598447,4,D009369,Neoplasms,EFO:0000616,neoplasm
22847,1343623,598447,3,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma
22848,1343623,598447,3,D002294,"Carcinoma, Squamous Cell",EFO:0000707,squamous cell carcinoma
22849,1343623,598447,3,D013274,Stomach Neoplasms,EFO:0003897,stomach neoplasm
22850,1344353,444750,4,D006333,Heart Failure,EFO:0000373,congestive heart failure
22851,1344353,444750,2,D006331,Heart Diseases,EFO:0003777,heart disease
22852,1344353,444750,4,D006973,Hypertension,EFO:0000537,hypertension
22853,1344353,444750,4,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22854,1344571,15086,4,D004827,Epilepsy,EFO:0000474,epilepsy
22855,1344571,15086,4,D004828,"Epilepsies, Partial",EFO:0004263,partial epilepsy
22856,1679370,520664,1,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
22857,1679370,520664,4,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22858,1679370,520664,2,D002292,"Carcinoma, Renal Cell",EFO:0002890,renal carcinoma
22859,1702644,1339907,4,D001714,Bipolar Disorder,EFO:0000289,bipolar disorder
22860,1343600,10840,4,D001254,Astrocytoma,EFO:0000272,astrocytoma
22861,1343600,10840,2,D001932,Brain Neoplasms,EFO:0003833,brain neoplasm
22862,1344102,36662,4,D006333,Heart Failure,EFO:0003144,heart failure
22863,1344235,675118,4,D006973,Hypertension,EFO:0000537,hypertension
22864,1344102,36662,4,D006973,Hypertension,EFO:0000537,hypertension
22865,1344102,36662,2,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22866,1344122,18694,4,D013167,"Spondylitis, Ankylosing",EFO:0003898,ankylosing spondylitis
22867,1344122,18694,3,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22868,1344122,18694,4,D001171,"Arthritis, Juvenile",EFO:0002609,juvenile idiopathic arthritis
22869,1344122,18694,3,D008175,Lung Neoplasms,EFO:0001071,lung carcinoma
22870,1344122,18694,4,D010003,Osteoarthritis,EFO:0002506,osteoarthritis
22871,1344122,18694,3,D020370,"Osteoarthritis, Knee",EFO:0004616,"osteoarthritis, knee"
22872,1344122,18694,4,D010146,Pain,EFO:0003843,pain
22873,1344122,18694,4,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22875,1390836,675782,4,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22876,1344862,1031157,4,D006255,"Rhinitis, Allergic, Seasonal",EFO:0005854,allergic rhinitis
22879,1344036,675579,4,D009369,Neoplasms,EFO:0000311,cancer
22880,1344036,675579,4,D015179,Colorectal Neoplasms,EFO:0000365,colorectal adenocarcinoma
22881,1344036,675579,3,D013274,Stomach Neoplasms,EFO:0000503,gastric adenocarcinoma
22882,1344036,675579,3,D002294,"Carcinoma, Squamous Cell",EFO:0000181,head and neck squamous cell carcinoma
22883,1344036,675579,4,D009369,Neoplasms,EFO:0000616,neoplasm
22884,1344036,675579,3,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22885,1344036,675579,3,D002294,"Carcinoma, Squamous Cell",EFO:0000707,squamous cell carcinoma
22886,1344036,675579,3,D006258,Head and Neck Neoplasms,EFO:0004284,upper aerodigestive tract neoplasm
22887,1343778,404691,2,D043183,Irritable Bowel Syndrome,EFO:0000555,irritable bowel syndrome
22889,1343258,62615,4,D006973,Hypertension,EFO:0000537,hypertension
22890,1343258,62615,4,D009404,Nephrotic Syndrome,EFO:0004255,nephrotic syndrome
22891,1343313,6216,4,D011618,Psychotic Disorders,EFO:0005407,psychosis
22892,1343407,8516,4,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22893,1343337,134333,4,D006973,Hypertension,EFO:0000537,hypertension
22894,1343065,125294,3,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22896,1343065,125294,3,D006333,Heart Failure,EFO:0003144,heart failure
22897,1343065,125294,3,D006526,Hepatitis C,EFO:0003047,hepatitis C infection
22898,1343065,125294,2,D009456,Neurofibromatosis 1,Orphanet:636,Neurofibromatosis type 1
22900,1343065,125294,1,D000755,"Anemia, Sickle Cell",Orphanet:232,Sickle cell anemia
22901,1343065,125294,2,D008180,"Lupus Erythematosus, Systemic",EFO:0002690,systemic lupus erythematosus
22902,1343065,125294,1,D013978,Tibial Fractures,EFO:0003944,tibia fracture
22903,1343065,125294,3,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22905,1344946,1347273,4,D001249,Asthma,EFO:0000270,asthma
22906,1343915,50440,2,D007383,Intermittent Claudication,EFO:0003876,intermittent vascular claudication
22907,1343959,1620,4,D005764,Gastroesophageal Reflux,EFO:0003948,gastroesophageal reflux disease
22911,1343639,674732,4,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22912,1706068,699483,3,D006973,Hypertension,EFO:0000537,hypertension
22913,1343921,674901,4,D004066,Digestive System Diseases,EFO:0000405,digestive system disease
22914,1435098,111390,4,D001007,Anxiety,EFO:0005230,anxiety
22915,1344368,641189,4,D011565,Psoriasis,EFO:0000676,psoriasis
22916,1344222,581569,3,D007938,Leukemia,EFO:0000565,leukemia
22917,1344222,581569,2,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22918,1343314,674661,1,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22920,1344177,27609,3,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22923,1344177,27609,4,D005901,Glaucoma,EFO:0000516,glaucoma
22924,1344177,27609,4,D006973,Hypertension,EFO:0000537,hypertension
22926,1344177,27609,3,D010146,Pain,EFO:0003843,pain
22927,1344704,630396,4,D054058,Acute Coronary Syndrome,EFO:0005672,acute coronary syndrome
22931,1344704,630396,1,D003324,Coronary Artery Disease,EFO:0000378,coronary artery disease
22933,1344704,630396,4,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22934,1344704,630396,4,D058729,Peripheral Arterial Disease,EFO:0004265,peripheral arterial disease
22937,1344626,2261,4,D012559,Schizophrenia,EFO:0000692,schizophrenia
22939,1344298,675050,4,D010146,Pain,EFO:0003843,pain
22940,1343496,2335062,4,D010146,Pain,EFO:0003843,pain
22941,1343971,14440,2,D013281,"Stomatitis, Aphthous",EFO:0003938,aphthous ulcer
22942,1696461,1380975,2,D003286,Contracture,EFO:0003899,contracture
22943,1696461,1380975,4,D012883,Skin Ulcer,HP:0200042,Skin ulcer
22944,1343462,675059,3,D007010,Hyponatremia,HP:0002902,Hyponatremia
22945,1344900,675393,2,D008881,Migraine Disorders,EFO:0003821,migraine disorder
22946,1344900,675393,4,D009103,Multiple Sclerosis,EFO:0003885,multiple sclerosis
22947,1344900,675393,3,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22948,1344638,487711,4,D001249,Asthma,EFO:0000270,asthma
22949,1344638,487711,4,D005128,Eye Diseases,EFO:0005752,eye inflammation
22951,1392861,602271,1,D005909,Glioblastoma,EFO:0000519,glioblastoma multiforme
22953,1392861,602271,4,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22954,1344970,72873,3,D003876,"Dermatitis, Atopic",EFO:0000274,atopic eczema
22956,1344970,72873,2,D006526,Hepatitis C,EFO:0003047,hepatitis C infection
22957,1344970,72873,2,D008223,Lymphoma,EFO:0000574,lymphoma
22958,1344970,72873,3,D000741,"Anemia, Aplastic",HP:0001915,aplastic anemia
22959,1344970,72873,2,D011625,Pterygium,EFO:0000678,pterygium
22961,1343645,51182,4,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
22962,1343645,51182,4,D015470,"Leukemia, Myeloid, Acute",EFO:0000222,acute myeloid leukemia
22963,1344521,1038352,4,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation
22966,1343717,675587,1,D011565,Psoriasis,EFO:0000676,psoriasis
22967,1344725,31289,4,D009103,Multiple Sclerosis,EFO:0003885,multiple sclerosis
22968,1344472,675574,2,D010051,Ovarian Neoplasms,EFO:0001075,ovarian carcinoma
22969,1344472,675574,3,D020521,Stroke,EFO:0000712,stroke
22973,1699758,1376072,4,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22974,1344443,675493,4,D000740,Anemia,EFO:0004272,anemia
22975,1344443,675493,3,D009369,Neoplasms,EFO:0000311,cancer
22976,1344443,675493,3,D016403,"Lymphoma, Large B-Cell, Diffuse",EFO:0000403,diffuse large B-cell lymphoma
22977,1344443,675493,3,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22980,1344476,361469,2,D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",EFO:0000095,chronic lymphocytic leukemia
22981,1344476,361469,3,D007938,Leukemia,EFO:0000565,leukemia
22982,1344476,361469,2,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22983,1344476,361469,1,D008228,"Lymphoma, Non-Hodgkin",EFO:0005952,non-Hodgkins lymphoma
22984,1344476,361469,2,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22985,1344476,361469,2,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma
22986,1344476,361469,2,D002294,"Carcinoma, Squamous Cell",EFO:0000708,squamous cell lung carcinoma
22987,1343231,675080,3,D015470,"Leukemia, Myeloid, Acute",EFO:0000222,acute myeloid leukemia
22988,1343231,675080,4,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22991,1390842,699374,2,D001024,Aortic Valve Stenosis,EFO:0000266,aortic stenosis
22992,1390842,699374,3,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22993,1390842,699374,4,D010024,Osteoporosis,EFO:0003882,osteoporosis
22994,1390842,699374,3,D015663,"Osteoporosis, Postmenopausal",EFO:0003854,postmenopausal osteoporosis
22995,1344688,674684,1,D011183,Postoperative Complications,EFO:0005323,post-operative sign or symptom
22998,1343489,191342,4,D006255,"Rhinitis, Allergic, Seasonal",EFO:0005854,allergic rhinitis
22999,1343489,191342,4,D014581,Urticaria,EFO:0005531,urticaria
23002,1879208,161281,4,D003866,Depressive Disorder,EFO:0003761,unipolar depression
23003,1344146,675679,3,D003866,Depressive Disorder,EFO:0003761,unipolar depression
23007,1344337,365281,4,D005128,Eye Diseases,EFO:0005752,eye inflammation
23008,1344337,365281,3,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
23010,1344337,365281,3,D010146,Pain,EFO:0003843,pain
23011,1344337,365281,3,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
23013,1344178,1337005,4,D005128,Eye Diseases,EFO:0005752,eye inflammation
23016,1343296,1926820,4,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
23017,1343558,2197715,4,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
23023,1343686,123693,3,D055623,"Keratosis, Actinic",EFO:0002496,actinic keratosis
23025,1937947,29890,4,D005128,Eye Diseases,EFO:0005752,eye inflammation
23026,1343686,123693,3,D009135,Muscular Diseases,EFO:0002970,muscular disease
23028,1343686,123693,4,D010003,Osteoarthritis,EFO:0002506,osteoarthritis
23031,1937947,29890,4,D010003,Osteoarthritis,EFO:0002506,osteoarthritis
