cell_id,cell_name,cell_description,cell_source_tissue,cell_source_organism,cell_source_tax_id,clo_id,efo_id,cellosaurus_id,cl_lincs_id,chembl_id,cell_ontology_id
21,G-401,G-401,Kidney Wilm's tumor,Homo sapiens,9606,CLO_0003434,EFO_0002179,CVCL_0270,LCL-1511,CHEMBL3308394,
22,Jensen sarcoma,Jensen sarcoma,fibroblast sarcoma,Rattus norvegicus,10116,CLO_0007018,,CVCL_3531,,CHEMBL3307260,
23,MDA-MB-238,MDA-MB-238,Breast Adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3307261,
24,MKN-5 ,MKN-5 ,Stomach Adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3307262,
25,MOLT-4F,MOLT-4F,Leukaemia,Homo sapiens,9606,,,CVCL_2792,LCL-1031,CHEMBL3307263,
26,N9,N9,Hepatocyte,Homo sapiens,9606,,,,,CHEMBL3307264,
27,NCI-H417,NCI-H417,Lung Carcinoma,Homo sapiens,9606,,,CVCL_1602,,CHEMBL3307265,
28,NRK,NRK,Kidney ,Rattus norvegicus,10116,CLO_0008195,,CVCL_3758,,CHEMBL3307266,
29,NUGC-4,NUGC-4,"gastric lymph node, adenocarcinoma",Homo sapiens,9606,,,CVCL_3082,LCL-2001,CHEMBL3307267,
30,P388/VCR,P388/VCR,Leukaemia,Mus musculus,10090,,,,,CHEMBL3307268,
31,PAXF546,PAXF546,Panreatic Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307269,
32,PLC,PLC,Hepatoma,Homo sapiens,9606,,,,,CHEMBL3307270,
34,SCC-38,SCC-38,Squamous Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307271,
35,SISO,SISO,Cervical Adenocarcinoma,Homo sapiens,9606,CLO_0009021,,CVCL_2193,LCL-1514,CHEMBL3307272,
37,SNU-16,SNU-16,Gastric Carcinoma,Homo sapiens,9606,CLO_0009095,EFO_0002344,CVCL_0076,LCL-1889,CHEMBL3307273,
38,SW 962,SW 962,Vulva Lymphoid Carcinoma,Homo sapiens,9606,CLO_0009205,EFO_0002377,CVCL_1733,,CHEMBL3307274,
39,T84,T84,Colon carcinoma,Homo sapiens,9606,CLO_0009254,EFO_0002084,CVCL_0555,LCL-1166,CHEMBL3307275,
40,AIK-T4,AIK-T4,Lymphocyte,Homo sapiens,9606,,,CVCL_1B42,,CHEMBL3307276,
41,B104,B104,Neuroblastoma,Rattus norvegicus,10116,CLO_0001783,,CVCL_0154,,CHEMBL3307277,
42,CCRF S-180,CCRF S-180,Fibroblast Sarcoma,Mus musculus,10090,CLO_0002333,,CVCL_2874,,CHEMBL3307278,
43,CEM-TK(+),CEM-TK(+),Blood,Homo sapiens,9606,,,,,CHEMBL3307279,
44,COLO 480,COLO 480,Colon adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3307280,
45,DAN-G,DAN-G,Pancreas adenocarcinoma,Homo sapiens,9606,CLO_0002698,,CVCL_0243,LCL-1734,CHEMBL3307281,
46,HOS-TE85,HOS-TE85,Oesteosarcoma,Homo sapiens,9606,CLO_0007814,EFO_0002866,CVCL_0439,,CHEMBL3307282,
47,L1210 (DACH),L1210 (DACH),"lymphoblast, lymphocytic, leukemia (DACH resistant",Mus musculus,10090,,,CVCL_Y419,,CHEMBL3308408,
48,MAC13,MAC13,colon adenocarcinoma,Mus musculus,10090,,,CVCL_S000,,CHEMBL3307283,
50,CEM-TK(-),CEM-TK(-),Blood,Homo sapiens,9606,,,,,CHEMBL3307285,
52,M96,M96,Melanoma,Homo sapiens,9606,,,,,CHEMBL3307286,
53,MKN-74,MKN-74,Stomach Adenocarcinoma,Homo sapiens,9606,,EFO_0002834,CVCL_2791,,CHEMBL3307287,
54,NAMALVA,NAMALVA,Leukocyte/lymphoblastoid,Homo sapiens,9606,CLO_0007939,EFO_0002246,CVCL_0067,,CHEMBL3307288,
55,NCI-H46,NCI-H46,Lung Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307289,
56,QG-95,QG-95,Lung Carcinoma,Homo sapiens,9606,,,CVCL_S847,,CHEMBL3307290,
57,S1B1-20,S1B1-20,Colon Carcinoma,Homo sapiens,9606,,,CVCL_0H85,,CHEMBL3307291,
58,SW48,SW48,Colon Carcinoma,Homo sapiens,9606,CLO_0009216,EFO_0002367,CVCL_1724,LCL-1186,CHEMBL3307292,
59,UT7,UT7,Leukaemia,Homo sapiens,9606,CLO_0009490,,CVCL_2233,,CHEMBL3307293,
60,Detroit 98,Detroit 98,Bone marrow,Homo sapiens,9606,,,CVCL_8188,,CHEMBL3307294,
61,XRS6,XRS6,Ovary,Cricetulus griseus,10029,CLO_0009692,,CVCL_4340,,CHEMBL3307295,
62,SV-28,SV-28,Kidney,Cricetulus griseus,10029,,,CVCL_R994,,CHEMBL3307296,
63,P19,P19,Embryo Teratocarcinoma Epithelial Cells,Mus musculus,10090,CLO_0008302,,CVCL_2153,,CHEMBL3307297,
64,Balb/MK,Balb/MK,Keratinocyte,Mus musculus,10090,,,CVCL_1B29,,CHEMBL3307298,
65,MCF7-VP,MCF7-VP,Breast Carcinoma,Homo sapiens,9606,,,CVCL_5I65,,CHEMBL3307299,
66,MDA-MB-361,MDA-MB-361,Breast Adenocarcinoma,Homo sapiens,9606,CLO_0007636,EFO_0001211,CVCL_0620,LCL-1468,CHEMBL3308405,
67,MM418,MM418,Melanoma,Homo sapiens,9606,,,CVCL_C843,,CHEMBL3307300,
68,Mo/Ma,Mo/Ma,Monocyte,Homo sapiens,9606,,,,,CHEMBL3307301,
69,MOVP-3,MOVP-3,Leukaemia,Homo sapiens,9606,,,CVCL_N031,,CHEMBL3307302,
70,NAKAJIMA,NAKAJIMA,Ovarian Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307303,
71,OM-1,OM-1,Colon Carcinoma,Homo sapiens,9606,,,CVCL_W941,,CHEMBL3307304,
72,P388/DDP,P388/DDP,Leukaemia,Mus musculus,10090,,,CVCL_1B39,,CHEMBL3307305,
73,PC-14,PC-14,Lung Adenocarcinoma,Homo sapiens,9606,CLO_0008394,EFO_0002844,CVCL_1640,LCL-1656,CHEMBL3307306,
74,ptx-10/22,ptx-10/22,Ovary Adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3308409,
75,RT-112,RT-112,Bladder Carcinoma,Homo sapiens,9606,CLO_0008890,,CVCL_1670,LCL-1716,CHEMBL3307307,
76,SBC-3,SBC-3,Small Cell Lung Cancer,Homo sapiens,9606,,EFO_0002854,CVCL_1678,LCL-1879,CHEMBL3307308,
77,SCC-7,SCC-7,Squamous Carcinoma,Mus musculus,10090,,,CVCL_V412,,CHEMBL3307309,
78,SNU-354,SNU-354,Hepatoma,Homo sapiens,9606,,,CVCL_3947,,CHEMBL3307310,
79,MM46,MM46,Breast Carcinoma,Mus musculus,10090,,,CVCL_B429,,CHEMBL3307311,
81,MMQ,MMQ,Pituitary Adenoma,Rattus norvegicus,10116,CLO_0007804,,CVCL_2117,,CHEMBL3307313,
83,MO/Mphi,MO/Mphi,Monocyte,Homo sapiens,9606,,,,,CHEMBL3307314,
84,MOH,MOH,Lymphocyte,Homo sapiens,9606,,,,,CHEMBL3307315,
85,MOPC 315,MOPC 315,Myeloma,Mus musculus,10090,CLO_0007830,,CVCL_2616,,CHEMBL3307316,
86,MPC-11,MPC-11,Myeloma,Mus musculus,10090,CLO_0007854,,CVCL_3857,,CHEMBL3307317,
87,MR4,MR4,Myeloma,Homo sapiens,9606,,,,,CHEMBL3307318,
88,MRC5CV1,MRC5CV1,Fibroblasts,Homo sapiens,9606,,,CVCL_E260,,CHEMBL3307319,
89,MRRL-CH1,MRRL-CH1,Embryonic,Manduca,7129,,,CVCL_Z389,,CHEMBL3307320,
90,MVLN,MVLN,Breast Carcinoma,Homo sapiens,9606,,,CVCL_4Y56,,CHEMBL3307321,
91,NC-37,NC-37,Lymphoblast,Homo sapiens,9606,CLO_0007952,EFO_0002247,CVCL_3042,LCL-2057,CHEMBL3307322,
92,NCC,NCC,germ cell tumour,Homo sapiens,9606,,,,,CHEMBL3308410,
93,NCH82,NCH82,Glioblastoma,Homo sapiens,9606,,,CVCL_S822,,CHEMBL3307323,
95,NCI-H345,NCI-H345,Lung Carcinoma,Homo sapiens,9606,CLO_0008084,,CVCL_1558,LCL-1854,CHEMBL3307324,
96,NCI-H84,NCI-H84,Lung Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307325,
97,NCI-N87,NCI-N87,Stomach Adenocarcinoma,Homo sapiens,9606,CLO_0008129,EFO_0002841,CVCL_1603,LCL-1886,CHEMBL3307326,
98,NFS-60,NFS-60,Leukaemia,Mus musculus,10090,CLO_0007812,,CVCL_3543,,CHEMBL3307327,
99,NHIK3025,NHIK3025,Uterine Carcinoma,Homo sapiens,9606,,,CVCL_U089,,CHEMBL3307328,
100,NPC-TW-039,NPC-TW-039,Nasopharyngeal Carcinoma,Mus musculus,10090,,,CVCL_6008,,CHEMBL3307329,
101,NRK-49F,NRK-49F,Kidney Fibroblast,Rattus norvegicus,10116,CLO_0008197,,CVCL_2144,,CHEMBL3308395,
102,NRKE,NRKE,Kidney Epithelia,Rattus norvegicus,10116,,,,,CHEMBL3307330,
103,NUGC,NUGC,Gastric Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307331,
104,OK-1,OK-1,Neuroblastoma,Homo sapiens,9606,,,,,CHEMBL3307332,
105,OV-1063,OV-1063,Ovarian Carcinoma,Homo sapiens,9606,,,CVCL_4366,,CHEMBL3308411,
106,OVCAR,OVCAR,Ovarian Adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3307333,
108,P388/ADM,P388/ADM,Leukaemia,Mus musculus,10090,,,,,CHEMBL3307335,
109,P388/CPA ,P388/CPA ,Leukaemia,Mus musculus,10090,,,CVCL_4Y58,,CHEMBL3307336,
110,P388/S,P388/S,Leukaemia,Mus musculus,10090,,,CVCL_D640,,CHEMBL3307337,
111,P388CPT,P388CPT,Leukaemia,Mus musculus,10090,,,,,CHEMBL3307338,
112,P388CPT5,P388CPT5,Leukaemia,Mus musculus,10090,,,,,CHEMBL3307339,
113,P388PtR4,P388PtR4,Leukaemia,Mus musculus,10090,,,CVCL_4V15,,CHEMBL3307340,
115,PAM12,PAM12,Keratinocytes,Mus musculus,10090,,,,,CHEMBL3307342,
116,PAM212,PAM212,Keratinocytes,Mus musculus,10090,,,CVCL_7694,,CHEMBL3307343,
117,PAXF736,PAXF736,Panreatic Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307344,
118,PC10,PC10,Lung Squamous-Carcinoma,Homo sapiens,9606,,EFO_0002843,CVCL_7088,,CHEMBL3307345,
119,PO3,PO3,Pancreatic Ductal Adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3308412,
120,PrEC,PrEC,Prostate Epithelial Cell,Homo sapiens,9606,,,CVCL_0061,,CHEMBL3307346,
121,PS,PS,Kidney,Sus scrofa,9823,CLO_0008491,,,,CHEMBL3307347,
122,PSN1,PSN1,Pancreatic Adenocarcinoma,Homo sapiens,9606,CLO_0008512,,CVCL_1644,LCL-1749,CHEMBL3307348,
123,QG-90,QG-90,Lung Carcinoma,Homo sapiens,9606,,,CVCL_S980,,CHEMBL3307349,
124,TCAF,TCAF,Lymphoblastic T-cells,Homo sapiens,9606,,,CVCL_K592,,CHEMBL3307350,
125,U1,U1,Histiocytic Lymphoma,Homo sapiens,9606,,,,,CHEMBL3307351,
127,WEHI3B,WEHI3B,Monomyelocytic Leukaemia,Mus musculus,10090,CLO_0009580,,CVCL_2239,,CHEMBL3307352,
128,YMB-1-E,YMB-1-E,Breast Carcinoma,Homo sapiens,9606,,,CVCL_2815,,CHEMBL3307353,
129,CHO-K1-BH4,CHO-K1-BH4,Ovary,Cricetulus griseus,10029,,,CVCL_Y502,,CHEMBL3307354,
130,CPAE,CPAE,Pulmonary artery,Bos taurus,9913,CLO_0002601,,CVCL_2877,,CHEMBL3307355,
131,DC3F/AD,DC3F/AD,Lung,Cricetulus griseus,10029,,,,,CHEMBL3307356,
132,DC3F/AD-II,DC3F/AD-II,Lung,Cricetulus griseus,10029,,,CVCL_GZ07,,CHEMBL3307357,
133,Detroit 551,Detroit 551,Embryonic skin,Homo sapiens,9606,CLO_0002751,,CVCL_2434,,CHEMBL3307358,
134,Don,Don,Lung,Cricetulus griseus,10029,CLO_0002807,,CVCL_3472,,CHEMBL3307359,
135,E1 SM,E1 SM,Breast carcinoma,Mus musculus,10090,,,,,CHEMBL3307360,
136,E39,E39,Renal carcinoma,Homo sapiens,9606,,,,,CHEMBL3308413,
137,EVSA-T,EVSA-T,Breast carcinoma,Homo sapiens,9606,CLO_0002955,,CVCL_1207,LCL-1313,CHEMBL3307361,
138,G-292 ,G-292 ,Bone osteosarcoma,Homo sapiens,9606,CLO_0003428,,CVCL_2909,,CHEMBL3307362,
140,Manca,Manca,Lymphoma,Homo sapiens,9606,,,CVCL_E051,,CHEMBL3307363,
141,MCF-10A,MCF-10A,mammary epithelial ,Homo sapiens,9606,CLO_0007599,EFO_0001200,CVCL_0598,,CHEMBL3307364,
142,MCF-12A,MCF-12A,mammary epithelial ,Homo sapiens,9606,CLO_0007603,EFO_0001202,CVCL_3744,,CHEMBL3307365,
143,MCF7-2A,MCF7-2A,Breast Carcinoma,Homo sapiens,9606,,,CVCL_4Y54,,CHEMBL3307366,
144,MCF7-CP,MCF7-CP,Breast Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307367,
146,MCF7X,MCF7X,Breast Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307369,
147,MCF9,MCF9,Breast Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307370,
150,Me665/2/21,Me665/2/21,Melanoma,Homo sapiens,9606,,,CVCL_7078,,CHEMBL3307371,
151,ME67.1,ME67.1,Melanoma,Homo sapiens,9606,,,,,CHEMBL3307372,
152,ME67.3,ME67.3,Melanoma,Homo sapiens,9606,,,,,CHEMBL3307373,
153,MG-22A,MG-22A,Osteosarcoma,Mus musculus,10090,,,CVCL_U248,,CHEMBL3307374,
154,MG-63,MG-63,Osteosarcoma,Homo sapiens,9606,CLO_0007701,EFO_0002234,CVCL_0426,LCL-1428,CHEMBL3308498,
155,MH1C1 ,MH1C1 ,Hepatoma,Rattus norvegicus,10116,CLO_0007709,,CVCL_2114,,CHEMBL3307375,
156,MH60,MH60,Hybridoma,Mus musculus,10090,,,CVCL_7201,,CHEMBL3307376,
158,MKN-7,MKN-7,Gastric Carcinoma,Homo sapiens,9606,,EFO_0002895,CVCL_1417,,CHEMBL3307377,
159,QG-96,QG-96,Lung Carcinoma,Homo sapiens,9606,,,CVCL_S981,,CHEMBL3307378,
160,R1,R1,Embryonic Stem Cell,Mus musculus,10090,CLO_0008697,EFO_0002076,CVCL_2167,,CHEMBL3307379,
161,R2,R2,Prostate Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307380,
162,R3230AC,R3230AC,Mammary Tumour,Rattus norvegicus,10116,,,,,CHEMBL3307381,
163,143B,143B,Osteosarcoma,Homo sapiens,9606,CLO_0001088,,CVCL_2270,LCL-1417,CHEMBL3307382,
164,A10,A10,Glioma,Rattus norvegicus,10116,CLO_0001550,,CVCL_0130,,CHEMBL3307383,
165,A673,A673,Rhabdomyosarcoma,Homo sapiens,9606,CLO_0001606,EFO_0002106,CVCL_0080,LCL-1410,CHEMBL3307384,
166,ANN-1,ANN-1,Embryo,Mus musculus,10090,CLO_0001725,,CVCL_9242,,CHEMBL3307385,
167,Anr4,Anr4,Liver,Rattus norvegicus,10116,CLO_0001726,,CVCL_4105,,CHEMBL3308415,
168,Ara-A,Ara-A,Leukaemia,Homo sapiens,9606,,,,,CHEMBL3307386,
169,AtT20,AtT20,Pituitary tumor,Mus musculus,10090,CLO_0001766,,CVCL_2300,,CHEMBL3307387,
170,BeWo,BeWo,Placenta,Homo sapiens,9606,CLO_0001935,EFO_0002050,CVCL_0044,LCL-1293,CHEMBL3308359,
171,BSC-1,BSC-1,Kidney,Chlorocebus aethiops,9534,CLO_0002037,,CVCL_0607,,CHEMBL3307388,
172,C6-BU-1,C6-BU-1,Brain,Rattus norvegicus,10116,CLO_0002144,,CVCL_1970,,CHEMBL3307389,
173,Calu-3,Calu-3,Lung adenocarcinoma,Homo sapiens,9606,CLO_0002192,EFO_0002819,CVCL_0609,LCL-1631,CHEMBL3307390,
174,CC-1,CC-1,Liver,Rattus norvegicus,10116,CLO_0002215,,CVCL_4141,,CHEMBL3307391,
175,CCRF-CEM/ara-C,CCRF-CEM/ara-C,T-cell leukaemia,Homo sapiens,9606,,,,,CHEMBL3307392,
176,CCRF-CEM/VCR-1000,CCRF-CEM/VCR-1000,T-cell leukaemia,Homo sapiens,9606,,,CVCL_D546,,CHEMBL3307393,
178,CEM-c113,CEM-c113,Blood,Homo sapiens,9606,,,CVCL_V186,,CHEMBL3307394,
179,CEM-D9,CEM-D9,Blood,Homo sapiens,9606,,,,,CHEMBL3307395,
180,CEM-DNR,CEM-DNR,Blood,Homo sapiens,9606,,,CVCL_S256,,CHEMBL3307396,
181,CEM-V,CEM-V,Blood,Homo sapiens,9606,,,,,CHEMBL3307397,
182,CEM-VCR 1/D/5,CEM-VCR 1/D/5,Blood,Homo sapiens,9606,,,,,CHEMBL3307398,
183,CEM-VCR 1/F3,CEM-VCR 1/F3,Blood,Homo sapiens,9606,,,,,CHEMBL3307399,
185,CHO-AA8,CHO-AA8,Ovary,Cricetulus griseus,10029,CLO_0001630,,CVCL_4386,,CHEMBL3307400,
186,CHO-FU,CHO-FU,Ovary,Cricetulus griseus,10029,,,,,CHEMBL3308416,
187,CHO-TAX 5-6,CHO-TAX 5-6,Ovary,Cricetulus griseus,10029,,,CVCL_U346,,CHEMBL3307401,
188,CHO-VV 3-2,CHO-VV 3-2,Ovary,Cricetulus griseus,10029,,,CVCL_Y287,,CHEMBL3307402,
189,CX-1,CX-1,Colon adenocarcinoma,Homo sapiens,9606,CLO_0002650,,CVCL_2011,,CHEMBL3307403,
190,GBM,GBM,Glioblastoma,Homo sapiens,9606,CLO_0003456,,,,CHEMBL3307404,
191,H322,H322,Lung carcinoma,Homo sapiens,9606,CLO_0008083,EFO_0002290,CVCL_1556,,CHEMBL3307405,
192,H-81,H-81,Gastric carcinoma,Homo sapiens,9606,,,,,CHEMBL3307406,
193,HCT-116/VM46,HCT-116/VM46,Colon Carcinoma,Homo sapiens,9606,,,CVCL_N508,,CHEMBL3307407,
194,Hs68,Hs68,foreskin fibroblast (aspartoacylase deficiency),Homo sapiens,9606,CLO_0004255,,CVCL_0839,,CHEMBL3307408,
195,HuCCT-1 ,HuCCT-1 ,liver bile duct carcinoma,Homo sapiens,9606,,,CVCL_0324,,CHEMBL3307409,
196,HuTu80,HuTu80,duodenal adenocarcinoma,Homo sapiens,9606,CLO_0004305,,CVCL_1301,LCL-1150,CHEMBL3307410,
198,IM-9,IM-9,"bone marrow, lymphoblastoid, multiple myeloma",Homo sapiens,9606,CLO_0006705,,CVCL_1305,LCL-1958,CHEMBL3307412,
199,KHOS-321H ,KHOS-321H ,Osteosarcoma,Homo sapiens,9606,CLO_0007100,,CVCL_2545,,CHEMBL3308382,
200,R6X-B15,R6X-B15,Mast Cell Megacaryocyte,Mus musculus,10090,,,,,CHEMBL3308417,
201,RAW,RAW,Monocytic-macrophage leukemia,Mus musculus,10090,,,,,CHEMBL3307413,
202,RERF-LC-AI,RERF-LC-AI,Lung Squamous-Carcinoma,Homo sapiens,9606,,EFO_0002850,CVCL_4402,,CHEMBL3307414,
204,L1210 ( R81),L1210 ( R81),"lymphoblast, lymphocytic, leukemia (methotrexate r",Mus musculus,10090,,,CVCL_N028,,CHEMBL3307415,
205,L1210 (PtR4),L1210 (PtR4),"lymphoblast, lymphocytic, leukemia (cis-diamminedi",Mus musculus,10090,,,CVCL_4V14,,CHEMBL3307416,
206,L1210 (R7A),L1210 (R7A),"lymphoblast, lymphocytic, leukemia (overproduction",Mus musculus,10090,,,,,CHEMBL3307417,
207,L1210 (RD1694),L1210 (RD1694),"lymphoblast, lymphocytic, leukemia (ZD1694 resista",Mus musculus,10090,,,CVCL_Y424,,CHEMBL3307418,
208,L1210/2,L1210/2,"lymphoblast, lymphocytic, leukemia (cisplatin resi",Mus musculus,10090,,,,,CHEMBL3307419,
209,L1210/Adr,L1210/Adr,"lymphoblast, lymphocytic, leukemia (adriamycin res",Mus musculus,10090,,,,,CHEMBL3307420,
210,L1210/ara C,L1210/ara C,"lymphoblast, lymphocytic, leukemia (cytosine arabi",Mus musculus,10090,,,CVCL_R996,,CHEMBL3307421,
211,L1210/C,L1210/C,"lymphoblast, lymphocytic, leukemia (CP-PC cytolysi",Mus musculus,10090,,,,,CHEMBL3307422,
212,L1210/LPAM,L1210/LPAM,"lymphoblast, lymphocytic, leukemia (LPAM positive)",Mus musculus,10090,,,,,CHEMBL3307423,
213,L1210/TK-,L1210/TK-,"lymphoblast, lymphocytic, leukemia (thymidine kina",Mus musculus,10090,,,,,CHEMBL3307424,
215,NALL-1,NALL-1,Lymphoma,Homo sapiens,9606,,,CVCL_3039,,CHEMBL3307425,
216,NCH37,NCH37,Glioblastoma,Homo sapiens,9606,,,CVCL_S820,,CHEMBL3307426,
217,NCI-H128,NCI-H128,Lung carcinoma,Homo sapiens,9606,CLO_0007985,,CVCL_1460,,CHEMBL3307427,
218,RMA-S,RMA-S,Lymphoma,Mus musculus,10090,,,CVCL_2180,,CHEMBL3307428,
219,RPMI 6410,RPMI 6410,Myeloblastic Leukemia,Homo sapiens,9606,,,CVCL_8074,,CHEMBL3307429,
220,RT-4,RT-4,Bladder Carcinoma,Homo sapiens,9606,CLO_0008892,,CVCL_0036,,CHEMBL3307430,
221,RWLeu4,RWLeu4,Chronic Myelogenous Leukemia,Homo sapiens,9606,,,CVCL_D591,,CHEMBL3307431,
222,RXF 423,RXF 423,Renal Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307432,
223,RXF 944,RXF 944,Renal Carcinoma,Homo sapiens,9606,,,CVCL_D127,,CHEMBL3307433,
225,S49,S49,Lymphoma,Mus musculus,10090,,EFO_0001234,CVCL_6519,,CHEMBL3307434,
226,S9,S9,Bronchial Epithelium,Homo sapiens,9606,CLO_0008935,,CVCL_4461,,CHEMBL3307435,
227,Sarcoma-180,Sarcoma-180,,Mus musculus,10090,CLO_0008949,,CVCL_3598,,CHEMBL3308362,
228,SBC-5,SBC-5,Small Cell Lung Cancer,Homo sapiens,9606,,EFO_0002855,CVCL_1679,LCL-1821,CHEMBL3308493,
229,SC-3,SC-3,Mammary Carcinoma,Mus musculus,10090,,,,,CHEMBL3307436,
230,SCaBER,SCaBER,Bladder Squamous Carcinoma,Homo sapiens,9606,CLO_0008965,EFO_0002325,CVCL_3599,LCL-1540,CHEMBL3307437,
231,SCC-15,SCC-15,Squamous Carcinoma,Homo sapiens,9606,CLO_0008966,,CVCL_1681,LCL-1222,CHEMBL3307438,
232,SCC-2,SCC-2,Oral Squamous Carcinoma,Canis lupus familiaris,9615,,,,,CHEMBL3307439,
233,SCC-25,SCC-25,Squamous Carcinoma,Homo sapiens,9606,CLO_0008967,,CVCL_1682,LCL-1223,CHEMBL3307440,
235,SCL-1,SCL-1,Squamous Carcinoma,Homo sapiens,9606,,,CVCL_A789,,CHEMBL3307442,
237,SF-126,SF-126,Glioblastoma,Homo sapiens,9606,,EFO_0005450,CVCL_1688,,CHEMBL3307444,
238,SF-188,SF-188,Glioblastoma,Homo sapiens,9606,,,CVCL_6948,,CHEMBL3307445,
240,SK-5,SK-5,Fibroblast,Homo sapiens,9606,,,CVCL_5H87,,CHEMBL3307446,
241,SK-LU-1,SK-LU-1,Lung Adenocarcinoma,Homo sapiens,9606,CLO_0009039,,CVCL_0629,LCL-1659,CHEMBL3307447,
242,SK-MEL19,SK-MEL19,Melanoma,Homo sapiens,9606,,,CVCL_6025,,CHEMBL3307448,
244,SK-MEL3,SK-MEL3,Melanoma,Homo sapiens,9606,CLO_0009044,EFO_0002333,CVCL_0550,,CHEMBL3307449,
246,SK-MES-1,SK-MES-1,Squamous Lung Carcinoma,Homo sapiens,9606,CLO_0009033,EFO_0002334,CVCL_0630,LCL-1583,CHEMBL3307450,
247,SKUT-1A,SKUT-1A,Uterine Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307451,
248,SK-VLB,SK-VLB,Ovarian Carcinoma,Homo sapiens,9606,,,,,CHEMBL3307452,
249,SKW 6.4,SKW 6.4,Blastoid B-Cell,Homo sapiens,9606,CLO_0009067,,CVCL_3796,,CHEMBL3307453,
250,SL-2,SL-2,Small Cell Lung Cancer,Homo sapiens,9606,,,,,CHEMBL3307454,
251,SNB-7,SNB-7,Glioblastoma,Homo sapiens,9606,,,CVCL_IZ73,,CHEMBL3308418,
252,SNU1,SNU1,Gastric Carcinoma,Homo sapiens,9606,CLO_0009094,EFO_0002343,CVCL_0099,LCL-1888,CHEMBL3307455,
253,SNU-308,SNU-308,Gallbladder,Homo sapiens,9606,,,CVCL_5048,,CHEMBL3307456,
254,SNU-C4,SNU-C4,Colorectal Carcinoma,Homo sapiens,9606,,,CVCL_5111,,CHEMBL3307457,
255,SNU-5,SNU-5,Gastric Carcinoma,Homo sapiens,9606,CLO_0009102,EFO_0002351,CVCL_0078,LCL-1890,CHEMBL3307458,
