hrac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,hrac_code
58,FLUMETSULAM,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B3,TRIAZOLOPYRIMIDINE,B34,B
59,METOSULAM,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B3,TRIAZOLOPYRIMIDINE,B35,B
60,PENOXSULAM,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B3,TRIAZOLOPYRIMIDINE,B36,B
61,BISPYRIBAC-NA,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B4,PYRIMIDINYL(THIO)BENZOATE,B41,B
62,PYRIBENZOXIM,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B4,PYRIMIDINYL(THIO)BENZOATE,B42,B
63,PYRIFTALID,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B4,PYRIMIDINYL(THIO)BENZOATE,B43,B
64,PYRITHIOBAC-NA,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B4,PYRIMIDINYL(THIO)BENZOATE,B44,B
65,PYRIMINOBAC-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B4,PYRIMIDINYL(THIO)BENZOATE,B45,B
66,FLUCARBAZONE-NA,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B5,SULFONYLAMINOCARBONYL-TRIAZOLINONE,B51,B
67,PROPOXYCARBAZONE-NA,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B5,SULFONYLAMINOCARBONYL-TRIAZOLINONE,B52,B
68,AMETRYNE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C111,C1
69,ATRAZINE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C112,C1
70,CYANAZINE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C113,C1
71,DESMETRYNE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C114,C1
72,DIMETHAMETRYNE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C115,C1
73,PROMETON,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C116,C1
74,PROMETRYNE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C117,C1
75,PROPAZINE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C118,C1
76,SIMAZINE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C119,C1
77,SIMETRYNE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C1110,C1
78,TERBUMETON,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C1111,C1
79,TERBUTHYLAZINE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C1112,C1
80,TERBUTRYNE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C1113,C1
81,TRIETAZINE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C11,TRIAZINE,C1114,C1
82,HEXAZINONE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C12,TRIAZINONE,C121,C1
83,METAMITRON,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C12,TRIAZINONE,C122,C1
84,METRIBUZIN,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C12,TRIAZINONE,C123,C1
85,AMICARBAZONE,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C13,TRIAZOLINONE,C131,C1
86,BROMACIL,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C14,URACIL,C141,C1
87,LENACIL,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C14,URACIL,C142,C1
88,TERBACIL,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C14,URACIL,C143,C1
89,PYRAZON,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C15,PYRIDAZINONE,C151,C1
90,DESMEDIPHAM,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C16,PHENYL-CARBAMATE,C161,C1
91,PHENMEDIPHAM,C1,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C16,PHENYL-CARBAMATE,C162,C1
92,CHLOROBROMURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C211,C2
93,CHLOROTOLURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C212,C2
94,CHLOROXURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C213,C2
95,DIMEFURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C214,C2
96,DIURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C215,C2
97,ETHIDIMURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C216,C2
98,FENURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C217,C2
99,FLUOMETURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C218,C2
100,ISOPROTURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C219,C2
101,ISOURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2110,C2
102,LINURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2111,C2
103,METHABENZTHIAZURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2112,C2
104,METOBROMURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2113,C2
105,METOXURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2114,C2
106,MONOLINURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2115,C2
107,NEBURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2116,C2
108,SIDURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2117,C2
109,TEBUTHIURON,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C21,UREA,C2118,C2
110,PROPANIL,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C22,AMIDE,C221,C2
111,PENTANOCHLOR,C2,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C22,AMIDE,C222,C2
112,BROMOFENOXIM,C3,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C31,NITRILE,C311,C3
113,BROMOXYNIL,C3,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C31,NITRILE,C312,C3
114,IOXYNIL,C3,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C31,NITRILE,C313,C3
115,BENTAZON,C3,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C32,BENZOTHIADIAZINONE,C321,C3
116,PYRIDATE,C3,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C33,PHENYL-PYRIDAZINE,C331,C3
117,PYRIDAFOL,C3,INHIBITION OF PHOTOSYNTHESIS AT PHOTOSYSTEM II,C33,PHENYL-PYRIDAZINE,C332,C3
118,DIQUAT,D,PHOTOSYSTEM-I-ELECTRON DIVERSION,D1,BIPYRIDYLIUM,D11,D
119,PARAQUAT,D,PHOTOSYSTEM-I-ELECTRON DIVERSION,D1,BIPYRIDYLIUM,D12,D
120,ACIFLUORFEN-NA,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E11,E
121,BIFENOX,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E12,E
122,CHLOMETHOXYFEN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E13,E
123,FLUOROGLYCOFEN-ETHYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E14,E
124,FOMESAFEN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E15,E
125,HALOSAFEN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E16,E
126,LACTOFEN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E17,E
127,OXYFLUORFEN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E1,DIPHENYLETHER,E18,E
128,FLUAZOLATE,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E2,PHENYLPYRAZOLE,E21,E
129,PYRAFLUFEN-ETHYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E2,PHENYLPYRAZOLE,E22,E
130,CINIDON-ETHYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E3,N-PHENYLPHTHALIMIDE,E31,E
131,FLUMIOXAZIN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E3,N-PHENYLPHTHALIMIDE,E32,E
132,FLUMICLORAC-PENTYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E3,N-PHENYLPHTHALIMIDE,E33,E
133,FLUTHIACET-METHYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E4,THIADIAZOLE,E41,E
134,THIDIAZIMIN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E4,THIADIAZOLE,E42,E
135,OXADIAZON,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E5,OXADIAZOLE,E51,E
136,OXADIARGYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E5,OXADIAZOLE,E52,E
137,AZAFENIDIN,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E6,TRIAZOLINONE,E61,E
138,CARFENTRAZONE-ETHYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E6,TRIAZOLINONE,E62,E
139,SULFENTRAZONE,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E6,TRIAZOLINONE,E63,E
140,PENTOXAZONE,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E7,OXAZOLIDINEDIONE,E71,E
141,BENZFENDIZONE,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E8,PYRIMIDINDIONE,E81,E
142,BUTAFENACIL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E8,PYRIMIDINDIONE,E82,E
143,PYRACLONIL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E9,OTHER,E91,E
144,PROFLUAZOL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E9,OTHER,E92,E
145,FLUFENPYR-ETHYL,E,INHIBITION OF PROTOPORPHYRINOGEN OXIDASE (PPO),E9,OTHER,E93,E
146,NORFLURAZON,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F11,PYRIDAZINONE,F111,F1
147,DIFLUFENICAN,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F12,PYRIDINECARBOXAMIDE,F121,F1
148,PICOLINAFEN,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F12,PYRIDINECARBOXAMIDE,F122,F1
149,BEFLUBUTAMID,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F13,OTHER,F131,F1
150,FLURIDONE,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F13,OTHER,F132,F1
151,FLUROCHLORIDONE,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F13,OTHER,F133,F1
152,FLURTAMONE,F1,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS AT THE PHYTOENE DESATURASE STEP (PDS),F13,OTHER,F134,F1
153,MESOTRIONE,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F21,TRIKETONE,F211,F2
154,SULCOTRIONE,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F21,TRIKETONE,F212,F2
155,ISOXACHLORTOLE,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F22,ISOXAZOLE,F221,F2
156,ISOXAFLUTOLE,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F22,ISOXAZOLE,F222,F2
157,BENZOFENAP,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F23,PYRAZOLE,F231,F2
158,PYRAZOLYNATE,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F23,PYRAZOLE,F232,F2
159,PYRAZOXYFEN,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F23,PYRAZOLE,F233,F2
160,BENZOBICYCLON,F2,BLEACHING: INHIBITION OF 4-HYDROXYPHENYL-PYRUVATE-DIOXYGENASE (4-HPPD),F24,OTHER,F241,F2
161,AMITROLE,F3,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS (UNKNOWN TARGET),F31,TRIAZOLE,F311,F3
162,CLOMAZONE,F3,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS (UNKNOWN TARGET),F32,ISOXAZOLIDINONE,F321,F3
163,FLUOMETURON,F3,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS (UNKNOWN TARGET),F33,UREA,F331,F3
164,ACLONIFEN,F3,BLEACHING: INHIBITION OF CAROTENOID BIOSYNTHESIS (UNKNOWN TARGET),F34,DIPHENYLETHER,F341,F3
165,GLYPHOSATE,G,INHIBITION OF EPSP SYNTHASE,G1,GLYCINE,G11,G
166,SULFOSATE,G,INHIBITION OF EPSP SYNTHASE,G1,GLYCINE,G12,G
167,GLUFOSINATE-AMMONIUM,H,INHIBITION OF GLUTAMINE SYNTHETASE,H1,PHOSPHINIC ACID,H11,H
168,BIALAPHOS,H,INHIBITION OF GLUTAMINE SYNTHETASE,H1,PHOSPHINIC ACID,H12,H
169,ASULAM,I,INHIBITION OF DHP (DIHYDROPTEROATE) SYNTHASE,I1,CARBAMATE,I11,I
170,BENEFIN,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K111,K1
171,BUTRALIN,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K112,K1
172,DINITRAMINE,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K113,K1
173,ETHALFLURALIN,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K114,K1
174,ORYZALIN,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K115,K1
175,PENDIMETHALIN,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K116,K1
176,TRIFLURALIN,K1,MICROTUBULE ASSEMBLY INHIBITION,K11,DINITROANILINE,K117,K1
177,AMIPROPHOS-METHYL,K1,MICROTUBULE ASSEMBLY INHIBITION,K12,PHOSPHOROAMIDATE,K121,K1
178,BUTAMIPHOS,K1,MICROTUBULE ASSEMBLY INHIBITION,K12,PHOSPHOROAMIDATE,K122,K1
179,DITHIOPYR,K1,MICROTUBULE ASSEMBLY INHIBITION,K13,PYRIDINE,K131,K1
180,THIAZOPYR,K1,MICROTUBULE ASSEMBLY INHIBITION,K13,PYRIDINE,K132,K1
181,PROPYZAMIDE,K1,MICROTUBULE ASSEMBLY INHIBITION,K14,BENZAMIDE,K141,K1
182,TEBUTAM,K1,MICROTUBULE ASSEMBLY INHIBITION,K14,BENZAMIDE,K142,K1
183,DCPA,K1,MICROTUBULE ASSEMBLY INHIBITION,K15,BENZOIC ACID,K151,K1
184,CHLORPROPHAM,K2,INHIBITION OF MITOSIS / MICROTUBULE ORGANISATION,K21,CARBAMATE,K211,K2
185,PROPHAM,K2,INHIBITION OF MITOSIS / MICROTUBULE ORGANISATION,K21,CARBAMATE,K212,K2
