mecref_id,mec_id,ref_type,ref_id,ref_url
94,47,DailyMed,setid=46e661aa-b1bd-465e-a800-03bd3455d7d1#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=46e661aa-b1bd-465e-a800-03bd3455d7d1#nlm34090-1
95,48,ISBN,9780702034718 PP. 160,http://www.isbnsearch.org/isbn/9780702034718
96,48,PubMed,17222678,http://europepmc.org/abstract/MED/17222678
97,48,PubMed,19275276,http://europepmc.org/abstract/MED/19275276
98,48,PubMed,19446545,http://europepmc.org/abstract/MED/19446545
99,48,PubMed,20590605,http://europepmc.org/abstract/MED/20590605
100,49,ISBN,9780702034718 PP. 160,http://www.isbnsearch.org/isbn/9780702034718
101,49,PubMed,17222678,http://europepmc.org/abstract/MED/17222678
102,49,PubMed,19275276,http://europepmc.org/abstract/MED/19275276
103,49,PubMed,19446545,http://europepmc.org/abstract/MED/19446545
104,49,PubMed,20590605,http://europepmc.org/abstract/MED/20590605
105,50,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
106,50,PubMed,14168823,http://europepmc.org/abstract/MED/14168823
107,50,PubMed,14492109,http://europepmc.org/abstract/MED/14492109
108,51,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
109,51,PubMed,10385241,http://europepmc.org/abstract/MED/10385241
110,51,DailyMed,setid=d200bd44-9856-4104-a29e-a4cca3db6737,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d200bd44-9856-4104-a29e-a4cca3db6737
111,52,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
112,52,PubMed,13473394,http://europepmc.org/abstract/MED/13473394
113,52,PubMed,15446040,http://europepmc.org/abstract/MED/15446040
114,53,PubMed,15723094,http://europepmc.org/abstract/MED/15723094
115,53,PubMed,19029429,http://europepmc.org/abstract/MED/19029429
116,54,DailyMed,setid=80f3b79c-a399-45b3-b755-8535457719af,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=80f3b79c-a399-45b3-b755-8535457719af
117,55,DailyMed,setid=45d03177-5d52-492c-b2e0-01afc7c8d2e0,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=45d03177-5d52-492c-b2e0-01afc7c8d2e0
118,56,DailyMed,setid=de4e66cc-ca05-4dc9-8262-e00e9b41c36d,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=de4e66cc-ca05-4dc9-8262-e00e9b41c36d
119,57,DailyMed,setid=f6725df6-50ee-4b0a-b900-d02ba634395d,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f6725df6-50ee-4b0a-b900-d02ba634395d
120,57,DailyMed,setid=f96cfd69-da34-41ee-90a9-610a4655cd1c,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f96cfd69-da34-41ee-90a9-610a4655cd1c
121,58,PubMed,9377574,http://europepmc.org/abstract/MED/9377574
122,58,DailyMed,setid=939b5d1f-9fb2-4499-80ef-0607aa6b114e,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=939b5d1f-9fb2-4499-80ef-0607aa6b114e
123,59,DailyMed,setid=5a9ef4ea-c76a-4d34-a604-27c5b505f5a4,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5a9ef4ea-c76a-4d34-a604-27c5b505f5a4
125,61,PubMed,22707923,http://europepmc.org/abstract/MED/22707923
127,61,Wikipedia,Lithium_(medication),http://en.wikipedia.org/wiki/Lithium_(medication)
128,62,PubMed,22707923,http://europepmc.org/abstract/MED/22707923
130,62,Wikipedia,Lithium_(medication),http://en.wikipedia.org/wiki/Lithium_(medication)
131,63,IUPHAR,2168,http://www.iuphar-db.org/DATABASE/LigandDisplayForward?tab=biology&ligandId=2168
133,64,DailyMed,setid=5526617c-c7b9-4556-886d-729bbabbc566,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5526617c-c7b9-4556-886d-729bbabbc566
135,66,PubMed,11980628,http://europepmc.org/abstract/MED/11980628
136,66,PubMed,22397653,http://europepmc.org/abstract/MED/22397653
137,66,DailyMed,setid=442f0d9d-5c7d-4b81-b329-d71be8cf2be2,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=442f0d9d-5c7d-4b81-b329-d71be8cf2be2
138,67,DailyMed,setid=f11b1d88-74ca-4a6d-89fb-40d0f51bca95#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f11b1d88-74ca-4a6d-89fb-40d0f51bca95#nlm34090-1
139,68,DailyMed,setid=aae667c5-381f-4f92-93df-2ed6158d07b0,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aae667c5-381f-4f92-93df-2ed6158d07b0
140,69,DailyMed,setid=aae667c5-381f-4f92-93df-2ed6158d07b0,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aae667c5-381f-4f92-93df-2ed6158d07b0
141,70,DailyMed,setid=5bbdc95b-82a1-4ba5-8185-6504ff68cc06#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5bbdc95b-82a1-4ba5-8185-6504ff68cc06#nlm34090-1
142,71,DailyMed,setid=4bf90772-58d5-456d-ad1c-fc448cc5a231,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4bf90772-58d5-456d-ad1c-fc448cc5a231
143,72,DailyMed,setid=ed2caffa-a75c-1c27-ae30-2d8280eaea7d,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ed2caffa-a75c-1c27-ae30-2d8280eaea7d
145,74,DailyMed,setid=799d3b00-809b-4abc-989c-05faccec49f8,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=799d3b00-809b-4abc-989c-05faccec49f8
148,77,DailyMed,setid=ba74e3cd-b06f-4145-b284-5fd6b84ff3c9,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ba74e3cd-b06f-4145-b284-5fd6b84ff3c9
149,78,DailyMed,setid=9c9616c0-a299-4fd5-c8ae-79e6db453595,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9c9616c0-a299-4fd5-c8ae-79e6db453595
151,80,PubMed,9733510,http://europepmc.org/abstract/MED/9733510
152,80,PubMed,14367349,http://europepmc.org/abstract/MED/14367349
153,80,PubMed,14927798,http://europepmc.org/abstract/MED/14927798
154,81,DailyMed,setid=e9ae6656-977c-4105-8528-bee664aab27a#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e9ae6656-977c-4105-8528-bee664aab27a#nlm34090-1
155,82,DailyMed,setid=bfe5cfb9-591d-4df8-12a3-6555cde3185d,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bfe5cfb9-591d-4df8-12a3-6555cde3185d
156,83,DailyMed,setid=8a5982c6-825f-4d05-90f5-1519a7291d15#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8a5982c6-825f-4d05-90f5-1519a7291d15#nlm34090-1
157,84,DailyMed,setid=91ecdef2-95ff-42dd-a31c-c8a09cab3ad9,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=91ecdef2-95ff-42dd-a31c-c8a09cab3ad9
158,85,DailyMed,setid=6e89a7d9-4da4-42aa-b7f8-c602c24eefe5#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6e89a7d9-4da4-42aa-b7f8-c602c24eefe5#nlm34090-1
159,86,DailyMed,setid=2238c70f-b0b5-4755-896b-45b28777b217#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2238c70f-b0b5-4755-896b-45b28777b217#nlm34090-1
160,87,DailyMed,setid=e9ea2ae7-1b98-4034-9fba-8ce2225e0145#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e9ea2ae7-1b98-4034-9fba-8ce2225e0145#nlm34090-1
161,88,DailyMed,setid=8417d162-65a1-4266-bca7-707af1193bf3,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8417d162-65a1-4266-bca7-707af1193bf3
162,89,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
163,90,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
164,90,DailyMed,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207
165,91,PubMed,10768292,http://europepmc.org/abstract/MED/10768292
166,91,DailyMed,setid=21628112-0c47-11df-95b3-498d55d89593#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=21628112-0c47-11df-95b3-498d55d89593#nlm34090-1
167,92,PubMed,20605094,http://europepmc.org/abstract/MED/20605094
168,93,PubMed,20605094,http://europepmc.org/abstract/MED/20605094
169,94,PubMed,11980628,http://europepmc.org/abstract/MED/11980628
170,94,PubMed,22397653,http://europepmc.org/abstract/MED/22397653
171,94,DailyMed,setid=442f0d9d-5c7d-4b81-b329-d71be8cf2be2,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=442f0d9d-5c7d-4b81-b329-d71be8cf2be2
172,95,DailyMed,setid=f11b1d88-74ca-4a6d-89fb-40d0f51bca95#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f11b1d88-74ca-4a6d-89fb-40d0f51bca95#nlm34090-1
173,96,FDA,label/2011/021016s018lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021016s018lbl.pdf
174,97,FDA,label/2009/021001s010s011lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021001s010s011lbl.pdf
177,99,DailyMed,setid=e28c05f0-081f-406d-8bfb-9160a6908307#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e28c05f0-081f-406d-8bfb-9160a6908307#nlm34090-1
178,99,Wikipedia,Type_II_topoisomerase,http://en.wikipedia.org/wiki/Type_II_topoisomerase
180,100,Wikipedia,Daunorubicin,http://en.wikipedia.org/wiki/Daunorubicin
181,200,PubMed,7508675,http://europepmc.org/abstract/MED/7508675
182,200,PubMed,7828655,http://europepmc.org/abstract/MED/7828655
183,200,PubMed,11873706,http://europepmc.org/abstract/MED/11873706
184,200,Wikipedia,Antipsychotic#Mechanism_of_action,http://en.wikipedia.org/wiki/Antipsychotic#Mechanism_of_action
185,300,DailyMed,setid=6093952a-5248-45cb-ad17-33716a411146#section-13,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6093952a-5248-45cb-ad17-33716a411146#section-13
186,400,DailyMed,setid=d8a896c2-b0c2-4b44-a4e3-cb6a8ea472ee#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d8a896c2-b0c2-4b44-a4e3-cb6a8ea472ee#nlm34090-1
187,500,DailyMed,setid=02438044-d6a3-49e9-a1ac-3aad21ef2c8c,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=02438044-d6a3-49e9-a1ac-3aad21ef2c8c
188,500,Wikipedia,Herg,http://en.wikipedia.org/wiki/Herg
189,600,ISBN,0443-059748 PP. 542,http://www.isbnsearch.org/isbn/0443059748
190,600,DailyMed,setid=fd9729c3-545f-4d34-9bc7-72b61e028fc4#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fd9729c3-545f-4d34-9bc7-72b61e028fc4#nlm34090-1
191,600,Wikipedia,Pimozide,http://en.wikipedia.org/wiki/Pimozide
192,700,PubMed,23284812,http://europepmc.org/abstract/MED/23284812
193,700,DailyMed,setid=1a88218c-5b18-4220-8f56-526de1a276cd#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1a88218c-5b18-4220-8f56-526de1a276cd#nlm34090-1
194,800,ISBN,978-1-889788-85-2,http://www.isbnsearch.org/isbn/9781889788852
195,800,PubMed,17132855,http://europepmc.org/abstract/MED/17132855
196,800,Wikipedia,Glucocorticoid,http://en.wikipedia.org/wiki/Glucocorticoid
197,900,KEGG,D07445,http://www.kegg.jp/dbget-bin/www_bget?dr:D07445
198,1000,PubMed,14967191,http://europepmc.org/abstract/MED/14967191
199,1100,PubMed,1241159,http://europepmc.org/abstract/MED/1241159
200,1100,PubMed,22044006,http://europepmc.org/abstract/MED/22044006
201,1100,PubMed,23798344,http://europepmc.org/abstract/MED/23798344
202,1100,DailyMed,setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e
203,1100,DailyMed,setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e#nlm34090-1
204,1200,PubMed,9831331,http://europepmc.org/abstract/MED/9831331
205,1200,PubMed,12065695,http://europepmc.org/abstract/MED/12065695
206,1200,PubMed,15324530,http://europepmc.org/abstract/MED/15324530
207,1200,PubMed,19338579,http://europepmc.org/abstract/MED/19338579
208,1200,PubMed,19952416,http://europepmc.org/abstract/MED/19952416
209,1200,DailyMed,setid=ea1de47e-3101-4414-817c-0a098af8988c,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ea1de47e-3101-4414-817c-0a098af8988c
210,1300,ISBN,9780702034718 PP. 412,http://www.isbnsearch.org/isbn/9780702034718
211,1300,PubMed,9440092,http://europepmc.org/abstract/MED/9440092
212,1300,PubMed,20935564,http://europepmc.org/abstract/MED/20935564
213,1400,PubMed,10196195,http://europepmc.org/abstract/MED/10196195
214,1500,DailyMed,setid=165cff62-b284-4a27-a65d-9ec8a5bfcdd8,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=165cff62-b284-4a27-a65d-9ec8a5bfcdd8
215,1600,PubMed,3034628,http://europepmc.org/abstract/MED/3034628
216,1600,PubMed,6135616,http://europepmc.org/abstract/MED/6135616
217,1600,PubMed,18384456,http://europepmc.org/abstract/MED/18384456
218,1600,Wikipedia,Clonazepam#Mechanism_of_action,http://en.wikipedia.org/wiki/Clonazepam#Mechanism_of_action
219,1700,PubMed,16801430,http://europepmc.org/abstract/MED/16801430
220,1700,PubMed,17540669,http://europepmc.org/abstract/MED/17540669
221,1700,DailyMed,setid=a3262279-1f9e-401b-9b02-6da3ef374b46,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a3262279-1f9e-401b-9b02-6da3ef374b46
222,1700,Wikipedia,Cefdinir#Mechanism_of_action,http://en.wikipedia.org/wiki/Cefdinir#Mechanism_of_action
223,1700,Wikipedia,Penicillin_binding_proteins#Function,http://en.wikipedia.org/wiki/Penicillin_binding_proteins#Function
224,1800,PubMed,17969444,http://europepmc.org/abstract/MED/17969444
225,1800,DailyMed,setid=de61685e-2b8c-4e22-84bb-869e13600440,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=de61685e-2b8c-4e22-84bb-869e13600440
226,1900,FDA,label/2002/18067s29lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/18067s29lbl.pdf
227,1900,ISBN,9780702034718 PP. 613,http://www.isbnsearch.org/isbn/9780702034718
228,2000,PubMed,10722,http://europepmc.org/abstract/MED/10722
229,2100,ISBN,1609133455 PP. 565,http://www.isbnsearch.org/isbn/1609133455
230,2100,PubMed,16171802,http://europepmc.org/abstract/MED/16171802
231,2100,PubMed,17291698,http://europepmc.org/abstract/MED/17291698
232,2200,PubMed,20964457,http://europepmc.org/abstract/MED/20964457
233,2200,PubMed,23416050,http://europepmc.org/abstract/MED/23416050
234,2200,Wikipedia,Ciclopirox#cite_note-pmid12760852-4,http://en.wikipedia.org/wiki/Ciclopirox#cite_note-pmid12760852-4
236,101,Wikipedia,Daunorubicin,http://en.wikipedia.org/wiki/Daunorubicin
238,102,Wikipedia,Type_II_topoisomerase,http://en.wikipedia.org/wiki/Type_II_topoisomerase
239,103,DailyMed,setid=4d0f0f1a-31af-40fa-9c64-e90891fa6ce4,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4d0f0f1a-31af-40fa-9c64-e90891fa6ce4
240,103,Wikipedia,Type_II_topoisomerase,http://en.wikipedia.org/wiki/Type_II_topoisomerase
241,104,DailyMed,setid=e96f30a0-6662-11de-8f80-0002a5d5c51b,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e96f30a0-6662-11de-8f80-0002a5d5c51b
242,104,Wikipedia,Type_II_topoisomerase,http://en.wikipedia.org/wiki/Type_II_topoisomerase
243,105,DailyMed,setid=0a5a6d93-cc1e-4d7f-8da1-446c134503b3,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0a5a6d93-cc1e-4d7f-8da1-446c134503b3
244,105,Wikipedia,Type_II_topoisomerase,http://en.wikipedia.org/wiki/Type_II_topoisomerase
245,106,DailyMed,setid=26614f0c-7187-4acf-805f-9e5c2bdfff7a,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=26614f0c-7187-4acf-805f-9e5c2bdfff7a
246,107,DailyMed,setid=5ad67ea2-409c-4f52-a9b8-38216209609a,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5ad67ea2-409c-4f52-a9b8-38216209609a
247,108,DailyMed,setid=d18108f5-98ca-1220-d145-bcf4e71ceaee,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d18108f5-98ca-1220-d145-bcf4e71ceaee
252,113,DailyMed,setid=2abb091b-a53e-46b0-9b84-e5ee8f2bdd8e,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2abb091b-a53e-46b0-9b84-e5ee8f2bdd8e
257,118,PubMed,16126915,http://europepmc.org/abstract/MED/16126915
258,119,PubMed,23248581,http://europepmc.org/abstract/MED/23248581
259,119,DailyMed,setid=af5da799-76bf-415a-9dc7-99c7ddc62bc4#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=af5da799-76bf-415a-9dc7-99c7ddc62bc4#nlm34090-1
260,120,ISBN,"0443-059748 PP. 216, 445",http://www.isbnsearch.org/isbn/0443059748
262,121,DailyMed,setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13
263,122,DailyMed,setid=5bbdc95b-82a1-4ba5-8185-6504ff68cc06#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5bbdc95b-82a1-4ba5-8185-6504ff68cc06#nlm34090-1
264,123,FDA,label/2012/202799s001lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202799s001lbl.pdf
266,125,PubMed,10318834,http://europepmc.org/abstract/MED/10318834
268,126,PubMed,16107837,http://europepmc.org/abstract/MED/16107837
269,126,Wikipedia,Ribavirin#Mechanisms_of_action,http://en.wikipedia.org/wiki/Ribavirin#Mechanisms_of_action
270,127,DailyMed,setid=492dbdb2-077e-4064-bff3-372d6af0a7a2,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=492dbdb2-077e-4064-bff3-372d6af0a7a2
