who_name,level1,level2,level3,level4,level5,level1_description,level2_description,level3_description,level4_description
natamycin,A,A01,A01A,A01AB,A01AB10,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
various,A,A01,A01A,A01AB,A01AB11,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
hexetidine,A,A01,A01A,A01AB,A01AB12,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
tetracycline,A,A01,A01A,A01AB,A01AB13,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
benzoxonium chloride,A,A01,A01A,A01AB,A01AB14,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
tibezonium iodide,A,A01,A01A,A01AB,A01AB15,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
mepartricin,A,A01,A01A,A01AB,A01AB16,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
metronidazole,A,A01,A01A,A01AB,A01AB17,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
clotrimazole,A,A01,A01A,A01AB,A01AB18,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
sodium perborate,A,A01,A01A,A01AB,A01AB19,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
chlortetracycline,A,A01,A01A,A01AB,A01AB21,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
doxycycline,A,A01,A01A,A01AB,A01AB22,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
minocycline,A,A01,A01A,A01AB,A01AB23,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
triamcinolone,A,A01,A01A,A01AC,A01AC01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
dexamethasone,A,A01,A01A,A01AC,A01AC02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
hydrocortisone,A,A01,A01A,A01AC,A01AC03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
"prednisolone, combinations",A,A01,A01A,A01AC,A01AC54,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
epinephrine,A,A01,A01A,A01AD,A01AD01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
benzydamine,A,A01,A01A,A01AD,A01AD02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
acetylsalicylic acid,A,A01,A01A,A01AD,A01AD05,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
adrenalone,A,A01,A01A,A01AD,A01AD06,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
amlexanox,A,A01,A01A,A01AD,A01AD07,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
becaplermin,A,A01,A01A,A01AD,A01AD08,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
various,A,A01,A01A,A01AD,A01AD11,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
magnesium carbonate,A,A02,A02A,A02AA,A02AA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
magnesium oxide,A,A02,A02A,A02AA,A02AA02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
magnesium peroxide,A,A02,A02A,A02AA,A02AA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
magnesium hydroxide,A,A02,A02A,A02AA,A02AA04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
magnesium silicate,A,A02,A02A,A02AA,A02AA05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
combinations,A,A02,A02A,A02AA,A02AA10,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
aluminium hydroxide,A,A02,A02A,A02AB,A02AB01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
algeldrate,A,A02,A02A,A02AB,A02AB02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
aluminium phosphate,A,A02,A02A,A02AB,A02AB03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
dihydroxialumini sodium carbonate,A,A02,A02A,A02AB,A02AB04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
aluminium acetoacetate,A,A02,A02A,A02AB,A02AB05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
aloglutamol,A,A02,A02A,A02AB,A02AB06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
aluminium glycinate,A,A02,A02A,A02AB,A02AB07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
combinations,A,A02,A02A,A02AB,A02AB10,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
calcium carbonate,A,A02,A02A,A02AC,A02AC01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds
calcium silicate,A,A02,A02A,A02AC,A02AC02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds
combinations,A,A02,A02A,A02AC,A02AC10,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds
ordinary salt combinations,A,A02,A02A,A02AD,A02AD01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
magaldrate,A,A02,A02A,A02AD,A02AD02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
almagate,A,A02,A02A,A02AD,A02AD03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
hydrotalcite,A,A02,A02A,A02AD,A02AD04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
almasilate,A,A02,A02A,A02AD,A02AD05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
magaldrate and antiflatulents,A,A02,A02A,A02AF,A02AF01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Antacids with antiflatulents
ordinary salt combinations and antiflatulents,A,A02,A02A,A02AF,A02AF02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Antacids with antiflatulents
cimetidine,A,A02,A02B,A02BA,A02BA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
ranitidine,A,A02,A02B,A02BA,A02BA02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
famotidine,A,A02,A02B,A02BA,A02BA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
nizatidine,A,A02,A02B,A02BA,A02BA04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
niperotidine,A,A02,A02B,A02BA,A02BA05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
roxatidine,A,A02,A02B,A02BA,A02BA06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
ranitidine bismuth citrate,A,A02,A02B,A02BA,A02BA07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
lafutidine,A,A02,A02B,A02BA,A02BA08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
"cimetidine, combinations",A,A02,A02B,A02BA,A02BA51,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
"famotidine, combinations",A,A02,A02B,A02BA,A02BA53,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
misoprostol,A,A02,A02B,A02BB,A02BB01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins
enprostil,A,A02,A02B,A02BB,A02BB02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins
omeprazole,A,A02,A02B,A02BC,A02BC01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
pantoprazole,A,A02,A02B,A02BC,A02BC02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
lansoprazole,A,A02,A02B,A02BC,A02BC03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
rabeprazole,A,A02,A02B,A02BC,A02BC04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
esomeprazole,A,A02,A02B,A02BC,A02BC05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
dexlansoprazole,A,A02,A02B,A02BC,A02BC06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
dexrabeprazole,A,A02,A02B,A02BC,A02BC07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
"lansoprazole, combinations",A,A02,A02B,A02BC,A02BC53,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
"rabeprazole, combinations",A,A02,A02B,A02BC,A02BC54,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
"omeprazole, amoxicillin and metronidazole",A,A02,A02B,A02BD,A02BD01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"lansoprazole, tetracycline and metronidazole",A,A02,A02B,A02BD,A02BD02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"lansoprazole, amoxicillin and metronidazole",A,A02,A02B,A02BD,A02BD03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"pantoprazole, amoxicillin and clarithromycin",A,A02,A02B,A02BD,A02BD04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"omeprazole, amoxicillin and clarithromycin",A,A02,A02B,A02BD,A02BD05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"esomeprazole, amoxicillin and clarithromycin",A,A02,A02B,A02BD,A02BD06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"lansoprazole, amoxicillin and clarithromycin",A,A02,A02B,A02BD,A02BD07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"bismuth subcitrate, tetracycline and metronidazole",A,A02,A02B,A02BD,A02BD08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"lansoprazole, clarithromycin and tinidazole",A,A02,A02B,A02BD,A02BD09,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"lansoprazole, amoxicillin and levofloxacin",A,A02,A02B,A02BD,A02BD10,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
"pantoprazole, amoxicillin, clarithromycin and metronidazole",A,A02,A02B,A02BD,A02BD11,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
carbenoxolone,A,A02,A02B,A02BX,A02BX01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
sucralfate,A,A02,A02B,A02BX,A02BX02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
pirenzepine,A,A02,A02B,A02BX,A02BX03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
methiosulfonium chloride,A,A02,A02B,A02BX,A02BX04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
bismuth subcitrate,A,A02,A02B,A02BX,A02BX05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
proglumide,A,A02,A02B,A02BX,A02BX06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
gefarnate,A,A02,A02B,A02BX,A02BX07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
sulglicotide,A,A02,A02B,A02BX,A02BX08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
acetoxolone,A,A02,A02B,A02BX,A02BX09,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
zolimidine,A,A02,A02B,A02BX,A02BX10,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
troxipide,A,A02,A02B,A02BX,A02BX11,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
bismuth subnitrate,A,A02,A02B,A02BX,A02BX12,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
alginic acid,A,A02,A02B,A02BX,A02BX13,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
rebamipide,A,A02,A02B,A02BX,A02BX14,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
"carbenoxolone, combinations excl. psycholeptics",A,A02,A02B,A02BX,A02BX51,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
"carbenoxolone, combinations with psycholeptics",A,A02,A02B,A02BX,A02BX71,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
"gefarnate, combinations with psycholeptics",A,A02,A02B,A02BX,A02BX77,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
oxyphencyclimine,A,A03,A03A,A03AA,A03AA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
camylofin,A,A03,A03A,A03AA,A03AA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
mebeverine,A,A03,A03A,A03AA,A03AA04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
