patent_use_code,definition
U-1014,METHOD OF USING RIBAVIRIN IN COMBINATION WITH INTERFERON ALPHA-2B(PEGYLATED AND NONPEGYLATED) TO TREAT PATIENTS WITH CHRONIC HEPATITIS C
U-1015,TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY PERIPHERAL T-CELL LYMPHOMA
U-1016,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT-EXPERIENCED ADULT PATIENTS, WHO HAVE EVIDENCE OF VIRAL REPLICATION AND HIV-1 STRAINS RESISTANT TO AN NNRTI AND OTHER ANTIRETROVIRAL AGENTS"
U-1017,A METHOD OF TREATING NASAL AND NON-NASAL SYMPTOMS OF SEASONAL ALLERGIC RHINITIS
U-1018,TREATMENT OF PULMONARY HYPERTENSION BY INHALATION
U-1019,TREATMENT OF PULMONARY HYPERTENSION
U-102,METHOD OF HORMONALLY TREATING MENOPAUSAL OR POST-MENOPAUSAL DISORDERS IN WOMEN
U-1020,METHOD OF USING COLCHICINE FOR THE PROPHYLAXIS OF GOUT FLARES
U-1021,SHORT-TERM TREATMENT (4-8 WEEKS) OF ACTIVE BENIGN GASTRIC ULCER
U-1022,FOR THE PREPARATION OF SKIN PRIOR TO SURGERY; HELPS REDUCE BACTERIA THAT CAN POTENTIALLY CAUSE SKIN INFECTION
U-1023,TREATMENT OF ATROPHIC VAGINITIS DUE TO MENOPAUSE
U-1024,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE IN PATIENTS WITH GLAUCOMA OR OCULAR HYPERTENSION WHO REQUIRE ADJUNCTIVE OR REPLACEMENT THERAPY DUE TO INADEQUATELY CONTROLLED IOP
U-1025,TREATING FREQUENT HEARTBURN
U-1026,A METHOD OF TREATING HUMAN SUFFERING FROM OR SUSCEPTIBLE TO PSYCHOSIS.
U-1027,REDUCTION OF ELEVATED PLASMA STEROL AND/OR STANOL LEVELS IN A MAMMAL
U-1028,A METHOD OF DISTRIBUTING SODIUM OXYBATE UNDER CONTROL OF A CENTRAL PHARMACY
U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF
U-103,TREATMENT OF OCULAR HYPERTENSION
U-1030,IMPROVEMENT OF WALKING IN PATIENTS WITH MULTIPLE SCLEROSIS (MS)
U-1031,IMPROVE RESPIRATORY SYMPTOMS IN CYSTIC FIBROSIS IN PATIENTS WITH PSEUDOMONAS AERUGINOSA
U-1032,USE OF ROSUVASTATIN CALCIUM FOR THE PRIMARY PREVENTION OF CARDIOVASCULAR DISEASE IN INDIVIDUALS WITHOUT CLINICALLY EVIDENT CORONARY HEART DISEASE BUT WITH INCREASED RISK FACTORS
U-1033,TOPICAL TREATMENT OF ACNE VULGARIS
U-1034,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) IN ADULTS
U-1035,NONSTEROIDAL ANTI-INFLAMMATORY DRUG INDICATED FOR RELIEF OF MILD TO MODERATE ACUTE PAIN
U-1036,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH INSULIN
U-1037,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR IN COMBINATION WITH A PPAR-GAMMA AGONIST
U-1038,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH METFORMIN AND A PPAR-GAMMA AGONIST
U-1039,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH METFORMIN
U-104,TREATMENT OF AQUEOUS HUMOR FORMATION AND INTRAOCULAR PRESSURE
U-1040,INHIBITION OF THROMBIN IN A PATIENT
U-1041,TREATMENT OF DISORDERS RESPONSIVE TO GROWTH HORMONE
U-1042,METHOD FOR STIMULATING CORONARY VASODILATION FOR PURPOSES OF IMAGING THE HEART
U-1043,MANAGEMENT OF MODERATE TO SEVERE PAIN
U-1044,TOPICAL TREATMENT OF SCALP PSORIASIS
U-1045,MAINTENANCE TREATMENT IN PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NSCLC WHO HAVE NOT PROGRESSED ON 1ST-LINE TREATMENT WTH PLATINUM-BASED CHEMOTHERAPY
U-1046,MAINTENANCE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NSCLC WHOSE DISEASE HAS NOT PROGRESSED AFTER FOUR CYCLES PLATINUM-BASED CHEMOTHERAPY
U-1047,"TREATMENT OF BIOPSY-CONFIRMED, PRIMARY SUPERFICIAL BASAL CELL CARCINOMA (SBCC)"
U-1048,WORKS THROUGH THE INDUCTION OF INTERFERON AND OTHER CYTOKINES
U-1049,PROPHYLAXIS OF ORGAN REJECTION IN ADULT PATIENTS AT LOW-MODERATE IMMUNOLOGIC RISK RECEIVING A RENAL TRANSPLANT
U-105,EMESIS
U-1050,USE OF METAXALONE FOR TREATMENT OF MUSCULOSKELETAL CONDITIONS
U-1051,TREATMENT OF OROPHARYNGEAL CANDIDIASIS
U-1052,RELIEF OF SIGNS AND SYMPTOMS OF ARTHRITIS AND RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCER
U-1053,RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCER
U-1054,"ONYCHOMYCOSIS OF THE TOENAIL CAUSED BY TRICOPHYTON RUBRUM OR TRICHOPHYTON MENTAGROPHYTES, ONCE DAILY USE FOR 12 CONSECUTIVE WEEKS"
U-1055,AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS WHO ARE ALREADY TREATED WITH A THIAZOLIDINEDIONE (TZD) AND METFORMIN OR WHO HAVE INADEQUATE GLYCEMIC CONTROL ON A TZD OR METFORMIN ALONE
U-1056,TREATMENT OF PAIN USING A NASAL SPRAY OF KETOROLAC TROMETHAMINE
U-1057,TREATMENT OF INFLAMMATION AND PAIN USING A NASAL SPRAY OF KETOROLAC TROMETHAMINE
U-1058,USE OF THALIDOMIDE IN COMBINATION WITH DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA
U-1059,ADJUNCTIVE THERAPY TO DIET TO PATIENTS WITH HYPERTRIGLYCERIDEMIA
U-106,TREATMENT OF EPILEPSY
U-1060,ADJUNCTIVE THERAPY TO DIET IN PATIENTS WITH ELEVATED CHOLESTEROL AND/OR LIPID LEVELS
U-1061,ADJUNCTIVE THERAPY TO DIET IN PATIENTS WITH MIXED DYSLIPIDEMIA
U-1062,ADMINISTRATION OF APPROVED PRODUCT FOR TREATMENT OF ALZHEIMER'S DISEASE
U-1063,TREATMENT OF ONLY INFLAMMATORY LESIONS (PAPULES AND PUSTULES) OF ROSACEA
U-1064,TREATMENT OF BIPOLAR DISORDER AND SCHIZOPHRENIA
U-1065,METHOD OF TREATING ANDROGEN RESPONSIVE OR MEDICATED CONDITION IN A MAMMAL BY ADMINISTERING A SAFE & EFFECTIVE AMOUNT OF DUTASTERIDE OR A PHARMACEUTICALLY ACCEPTABLE SOLVATE THEREOF.. CONDITIONS INCLUDE BENIGN PROSTATIC HYPERTROPHY
U-1066,METHOD OF TREATING AN ANDROGEN RESPONSE OR MEDIATED DISEASE IN A MAMMAL BY ADMINISTERING AN EFFECTIVE ANDROGEN RESPONSIVE OR MEDICATED DISEASE AMOUNT OF DUTASTERIDE..CONDITIONS INCLUDE BENIGN PROSTATIC HYPERPLASIA
U-1067,TREATMENT OF CANCER
U-1068,TREATMENT OF ASTHMA
U-1069,A METHOD OF TREATING A PATIENT WITH A PRESCRIPTION DRUG USING AN EXCLUSIVE COMPUTER DATABASE IN A COMPUTER SYSTEM FOR DISTRIBUTION
U-107,TREATMENT OF HYPERTENSION AND ANGINA PECTORIS
U-1070,A METHOD TO CONTROL ABUSE OF A SENSITIVE DRUG BY CONTROLLING WITH A COMPUTER PROCESSOR THE DISTRIBUTION OF THE SENSITIVE DRUG VIA AN EXCLUSIVITY CENTRAL PHARMACY THAT MAINTAINS A CENTRAL DATABASE
U-1071,METHOD OF TREATING BLADDER DSYFUNCTION WITH ONCE A DAY TROSPIUM SALT FORMULATION
U-1072,"THE MANAGEMENT OF MODERATE TO SEVERE CHRONIC PAIN IN PATIENTS REQUIRING A CONTINUOUS, AROUND-THE-CLOCK OPIOID ANALGESIC FOR AN EXTENDED PERIOD OF TIME"
U-1073,USE FOR THE TREATMENT OF ASTHMA AND COPD
U-1074,USE OF EXENATIDE MAY RESULT IN REDUCTION IN BODY WEIGHT
U-1075,USE FOR THE TREATMENT OF ASTHMA
U-1076,"REDUCE CHRONIC SEVERE DROOLING (I.E., SIALORRHEA)  IN PATIENTS WITH NEUROLOGIC CONDITIONS ASSOCIATED WITH PROBLEM DROOLING"
U-1077,PRETREATMENT OF PATIENTS WITH VITAMIN B12 AND FOLIC ACID PRIOR TO PEMETREXED DISODIUM ADMINISTRATION
U-1078,TREATMENT OF ACNE
U-1079,REVLIMID (LENALIDOMIDE) IS INDICATED FOR THE TREATMENT OF PATIENTS WITH TRANSFUSION-DEPENDENT ANEMIA IN MYELODYSPLASTIC SYNDROMES (MDS)
U-108,"SHORT-TERM TREATMENT OF ACTIVE DUODENAL ULCER, GASTROESOPHAGEAL REFLUX DISEASE (GERD), SEVERE EROSIVE ESOPHAGITIS, POORLY RESPONSIVE SYMPTOMATIC GERD AND PATHOLOGIAL HYPERSECRETORY CONDITIONS AND MAINTENANCE HEALING OF EROSIVE ESOPHAGITIS"
U-1080,METHOD TO TREAT PULMONARY HYPERTENSION BY ADMINISTERING AMBRISENTAN TO A PATIENT
U-1081,LUMIGAN IS A PROSTAGLANDIN ANALOG INDICATED FOR THE REDUCTION OF ELEVATED INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA OR OCULAR HYPERTENSION
U-1082,USE OF A COMBINATION OF TOBRAMYCIN AND DEXAMETHASONE TO TREAT OCULAR INFLAMMATION WHERE AN INFECTION OR RISK OF INFECTION EXISTS
U-1083,"ACUTE TREATMENT OF MIGRAINE ATTACKS, WITH OR WITHOUT AURA, AND THE TREATMENT OF CLUSTER HEADACHE EPISODES"
U-1084,RELIEF OF THE INFLAMMATORY AND PRURITIC MANIFESTATIONS OF CORTICOSTEROID RESPONSIVE DERMATOSES IN PATIENTS 12 YEARS OF AGE OR OLDER
U-1085,METHOD FOR TREATING IRRITABLE BOWEL SYNDROME AND METHOD FOR TREATING ABDOMINAL DISCOMFORT ASSOCIATED WITH IRRITABLE BOWEL SYNDROME
U-1086,TREATMENT OF AUTOIMMUNE DISEASE
U-1087,DETECTION OF NON-MUSCLE INVASIVE PAPILLARY CANCER OF THE BLADDER BY PHOTODYNAMIC CYSTOSCOPY
U-1088,RELIEF OF MUSCLE SPASM
U-1089,INHIBITION OF THROMBIN
U-109,ADJUNCT DIET IN THE TX OF ELEVATED TOTAL CHOLESTEROL AND LDL-C LEVELS IN PTS W/PRIMARY HYPERCHOLESTEROLEMIA WHOSE RESPONSE TO DIETARY RESTRICTION OF SAT FAT AND CHOLESTEROL AND OTHER NONPHARMACOLOGICAL MEASURES HAS NOT BEEN ADEQUATE
U-1090,LO LOESTRIN FE IS INDICATED FOR THE PREVENTION OF PREGNANCY IN WOMEN WHO ELECT TO USE ORAL CONTRACEPTIVES AS A METHOD OF CONTRACEPTION
U-1091,ASSESSMENT OF BRONCHIAL HYPERRESPONSIVENESS IN PATIENTS 6 YEARS OF AGE OR OLDER WHO DO NOT HAVE CLINICALLY APPARENT ASTHMA
U-1092,TREATMENT OF BREAST CANCER
U-1093,TREATMENT OF PSEUDOBULBAR AFFECT
U-1094,MANAGEMENT OF CHRONIC MUSCULOSKELETAL PAIN
U-1095,METHOD OF TREATING OCULAR INFLAMMATION
U-1096,TREATMENT OF PATIENTS WITH METASTATIC BREAST CANCER
U-1097,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS WHEN TREATMENT  WITH BOTH SAXAGLIPTIN AND METFORMIN IS APPROPRIATE
U-1098,METHOD OF TREATING HYPERPARATHYROIDISM; METHOD OF TREATING HYPERCALCEMIA
U-1099,"TREATMENT OF PAIN, INCLUDING NEUROPATHIC PAIN ASSOCIATED WITH DIABETIC PERIPHERAL NEUROPATHY, POSTHERPETIC NEURALGIA, AND FIBROMYALGIA"
U-11,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS
U-110,USE AS A RETRIEVABLE PESSARY
U-1100,REDUCTION OF EXCESS ABDOMINAL FAT IN HIV-INFECTED PATIENTS WITH LIPODYSTROPHY
U-1101,METHOD OF TREATING EXCESSIVE DAYTIME SLEEPINESS IN PATIENTS WITH NARCOLEPSY
U-1102,METHOD OF TREATING CATAPLEXY IN PATIENTS WITH NARCOLEPSY
U-1103,TESTOSTERONE REPLACEMENT THERAPY IN MALES FOR CONDITIONS ASSOCIATED WITH A DEFICIENCY OR ABSENCE OF ENDOGENOUS TESTOSTERONE
U-1104,USE OF TRAMADOL FOR THE MANAGEMENT OF MODERATE TO MODERATELY SEVERE CHRONIC PAIN
U-1105,TOPICAL TREATMENT OF HEAD LICE INFESTATION IN PATIENTS FOUR (4) YEARS OF AGE AND OLDER
U-1106,TREATING HYPERTRIGLYCERIDEMIAS WITH REDUCTION OF FOOD EFFECT
U-1107,TREATING HYPERCHOLESTEROLEMIAS WITH REDUCTION OF FOOD EFFECT
U-1108,TREATING TYPE 2 DIABETES MELLITUS WITH EXENATIDE BY STIMULATING INSULIN RELEASE
U-1109,TREATMENT OF CUTANEOUS MANIFESTATIONS OF ERYTHEMA NODOSUM LEPROSUM (ENL) IN CONNECTION WITH A SPECIAL PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.E.P.S.)
U-111,DIABETES
U-1110,METHOD OF TREATING A PATIENT WITH A PRESCRIPTION DRUG USING A COMPUTER DATABASE IN A COMPUTER SYSTEM FOR DISTRIBUTION
U-1111,NONSTEROIDAL ANTI-INFLAMMATORY DRUG INDICATED FOR RELIEF OF MILD TO MODERATE ACUTE PAIN
U-1112,METHOD OF MR IMAGING OF A MAMMAL
U-1113,TREATMENT AND PROPHYLAXIS OF INFLUENZA
U-1114,"TREATMENT WITH GABAPENTIN, INCLUDING TREATMENT OF NEUROPATHIC PAIN, INCLUDING NEUROPATHIC PAIN ASSOCIATED WITH POSTHERPETIC NEURALGIA"
U-1115,TREATMENT TO REDUCE THE RISK OF COPD EXACERBATIONS IN PATIENTS WITH SEVERE COPD ASSOCIATED WITH CHRONIC BRONCHITIS AND A HISTORY OF EXACERBATIONS
U-1116,METHOD OF ADMINISTERING COLCHICINE TO FAMILIAL MEDITERRANEAN FEVER PATIENTS
U-1117,TREATMENT OF BREAST CANCER
U-1118,"USE FOR THE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND EMPHYSEMA"
U-1119,CONTRAST AGENT FOR MAGNETIC RESONANCE IMAGING
U-112,CONTRACEPTION
U-1120,TO REDUCE GASTROINTESTINAL SIDE EFFECTS ADMINISTER WITH A MEAL; AS STARTING DOSE ADMINISTER ONCE DAILY WITH EVENING MEAL
U-1121,METHOD OF TREATING TRAVELERS' DIARRHEA
U-1122,TREATMENT OF SECONDARILY INFECTED TRAUMATIC SKIN LESIONS DUE TO S. AUREUS AND S. PYOGENES
U-1123,TREATMENT OF ALCOHOL DEPENDENCE
U-1124,"PREVENTION OF RELAPSE TO OPIOID DEPENDENCE, FOLLOWING OPIOID DETOXIFICATION"
U-1125,METHOD FOR THE DETECTION OF NEUROENDOCRINE TUMORS
U-1126,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAVE RECEIVED PRIOR CHEMOTHERAPY CONTAINING DOCETAXEL
U-1127,TREATMENT OF PATENT DUCTUS ARTERIOSUS
U-1128,TREATMENT OF CHRONIC HEPATITIS C (CHC) GENOTYPE 1 INFECTION IN COMBINATION WITH PEGINTERFERON ALFA AND RIBAVIRIN IN ADULT PATIENTS (>=18 YEARS OF AGE) WITH COMPENSATED LIVER DISEASE
U-1129,"TREATMENT OF HYPERCHOLESTEROLEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-113,METHOD OF CONDUCTING RADIOLOGICAL EXAMINATION OF A PATIENT BY ADMINISTERING TO SAID PATIENT A RADIOPAQUE AMOUNT OF IOPROMIDE
U-1130,SECONDARY PREVENTION OF CARDIOVASCULAR EVENTS BY DOSING ONCE PER DAY IN THE EVENING OR A NIGHT WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN
U-1131,"TREATMENT OF HYPERTRIGLYDERIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-1132,TREATMENT OF HYPERCHOLESTEROLEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1133,SECONDARY PREVENTION OF CARDIOVASCULAR EVENTS BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1134,TREATMENT OF HYPERTRIGLYCERIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1135,"TREATMENT OF HYPERCHOLESTEROLEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION OF LDL-C, TC, TG, LP(A) AND INCREASE OF HDL-C"
U-1136,"SECONDARY PREVENTION OF CARDIOVASCULAR EVENTS BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION OF LDL-C, TC, TG, LP(A), AND INCREASE OF HDL-C"
U-1137,"TREATMENT OF HYPERTRIGLYCERIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION OF LDL-C, TC, TG, LP(A), AND INCREASE OF HDL-C"
U-1138,TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1139,REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-114,USE FOR INHIBITING BONE RESORPTION
U-1140,REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1141,REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1142,"TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-1143,"REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR A T NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-1144,"REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-1145,"REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-1146,REDUCTION IN TG WITH REDUCED FLUSHING BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1147,"TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION OF LDL-C, TC, TG, LP(A), AND INCREASE OF HDL-C"
U-1148,"REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION OF LDL-C, TC, TG, LP(A), AND INCREASE OF HDL-C"
U-1149,"TREATMENT OF HYPERTRIGLYCERIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN"
U-115,"USE OF VASODILATORS TO EFFECT AND ENHANCE AN ERECTION (AND THUS TREAT ERECTILE DYSFUNCTION), BY INJECTION INTO THE PENIS"
U-1150,"TRETMENT OF HYPERCHOLESTEROLEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION IN TOTAL-C, LDL-C, TG, LP(A), AND INCREASE OF HDL-C"
U-1151,"TREATMENT OF HYPERTRIGLYCDERIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, THROUGH REDUCTION IN TOTAL-C, LDL-C, LP(A), AND INCREASE OF HDL-C"
U-1152,CYANOCOBALAMIN ADMINISTRATION THROUGH NASAL INFUSION
U-1153,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, IS INDICATED FOR THE TREATMENT OF HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 (HIV-1) INFECTION IN ANTIRETROVIRAL TREATMENT-NAIVE ADULT PATIENTS, AS SET FORTH IN THE LABELING, INCLUDING I&U SECTION"
U-1154,"TREATMENT OF PROTEIN KINASE RELATED DISORDERS, SUCH AS GASTROINTESTINAL STROMAL TUMORS, RENAL CELL CARCINOMA AND ADVANCED PANCREATIC NEUROENDOCRINE TUMORS, WITH SUNITINIB"
U-1155,USE OF THALIDOMIDE IN TREATMENT OF CUTANEOUS MANIFESTATIONS OF ERYTHEMA NODOSUM LEPROSUM (ENL)
U-1156,TO REDUCE BLOOD PHENYLALANINE (PHE) LEVELS IN PATIENTS WITH HYPERPHENYLALANINEMIA (HPA)
U-1157,RELIEF OF SYMPTOMS ASSOCIATED WITH RESPIRATORY ALLERGIES IN ADULTS AND CHILDREN 2 YEARS OF AGE AND OLDER AND FOR THE RELIEF OF SYMPTOMS ASSOCIATED WITH HIVES (URTICARIA) IN ADULTS  AND CHILDREN 6 YEARS OF AGE AND OLDER
U-1158,RELIEF OF SYMPTOMS ASSOCIATED WITH RESPIRATORY ALLERGIES AND FOR THE RELIEF OF SYMPTOMS ASSOCIATED WITH HIVES (URTICARIA) IN ADULTS AND CHILDREN 6 YEARS OF AGE AND OLDER
U-1159,"RELIEF OF SYMPTOMS ASSOCIATED WITH RESPIRATORY ALLERGIES, SWELLING OF THE NASAL PASSAGES AND SINUS CONGESTION AND PRESSURE IN ADULTS AND CHILDREN 12 YEARS OF AGE AND OLDER"
U-116,METHOD OF MYOCARDIAL IMAGING
U-1160,RELIEF OF SYMPTOMS ASSOCIATED WITH RESPIRATORY ALLERGIES AND FOR THE RELIEF OF SYMPTOMS ASSOCIATED WITH HIVES (URTICARIA) IN ADULTS AND CHILDREN 6 YEARS OF AGE AND OLDER AND 12 YEARS OF AGE AND OLDER
U-1161,FOR THE TREATMENT AND PROPHYLAXIS OF GOUT FLARES & THE TREATMENT OF FAMILIAL MEDITERRANEAN FEVER
U-1162,TREATMENT OF SEBORRHEIC DERMATITIS OF THE SCALP
U-1163,METHOD OF TREATING THROMBOSIS
U-1164,METHOD OF TREATING AN ARGATROBAN TREATABLE CONDITION
U-1165,USE FOR THE TREATMENT OF MULTIPLE MYELOMA
U-1166,A METHOD FOR TREATMENT OF GOUT FLARES DURING PROPHYLAXIS
U-1167,PROPHYLAXIS OF DEEP VEIN THROMBOSIS (DVT)
U-1168,"THE LONG TERM, ONCE-DAILY MAINTENANCE BRONCHODILATOR TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA"
U-1169,MANAGEMENT OF BREAKTHROUGH PAIN IN CANCER PATIENTS 18 YEARS OF AGE AND OLDER WHO ARE RECEIVING AND TOLERANT TO OPIOID THERAPY FOR THEIR UNDERLYING PERSISTENT CANCER PAIN
U-117,TREATMENT OF OCULAR ALLERGIC RESPONSE IN HUMAN EYES
U-1170,TREATMENT OF HIV-1 INFECTION IN PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER
U-1171,REDUCTION OF THE RATE OF THROMBOTIC EVENTS IN PATIENTS WITH ACUTE CORONARY SYNDROME
U-1172,"TO REDUCE ELEVATED TOTAL-C, APO B, AND NON-HDL-C IN PATIENTS WITH PRIMARY HYPERLIPIDEMIA BY ADMINISTRATION OF EZETIMIBE IN COMBINATION WITH A STATIN"
