protein_class_id,protein_class_desc,l1,l2,l3,l4,l5,l6,l7,l8
33,enzyme  protease  metallo  mae  m2,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M2 family,,,
34,enzyme  protease  metallo  mae  m4,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M4 family,,,
35,enzyme  protease  metallo  mf  m17,Enzyme,Protease,Metallo protease,Metallo protease MF clan,Metallo protease M17 family,,,
36,enzyme  protease  metallo  mh  m18,Enzyme,Protease,Metallo protease,Metallo protease MH clan,Metallo protease M18 family,,,
37,enzyme  protease  metallo  mj  m19,Enzyme,Protease,Metallo protease,Metallo protease MJ clan,Metallo protease M19 family,,,
38,enzyme  protease  serine  pas  s1a,Enzyme,Protease,Serine protease,Serine protease PA clan,Serine protease S1A subfamily,,,
40,enzyme  protease  serine  pas  s1b,Enzyme,Protease,Serine protease,Serine protease PA clan,Serine protease S1B subfamily,,,
41,enzyme  protease  serine  pas  s29,Enzyme,Protease,Serine protease,Serine protease PA clan,Serine protease S29 family,,,
43,enzyme  protease  serine  sf  s26a,Enzyme,Protease,Serine protease,Serine protease SF clan,Serine protease S26A subfamily,,,
44,enzyme  protease  serine  sr  s60,Enzyme,Protease,Serine protease,Serine protease SR clan,Serine protease S60 family,,,
45,enzyme  protease  unknown  u-  u48,Enzyme,Protease,Protease unclassified,Protease unclassified U family,Protease unclassified U48 family,,,
47,enzyme  protease  aspartic  aa  a1a,Enzyme,Protease,Aspartic protease,Aspartic protease AA clan,Aspartic protease A1A subfamily,,,
48,enzyme  protease  aspartic  aa  a2a,Enzyme,Protease,Aspartic protease,Aspartic protease AA clan,Aspartic protease A2A subfamily,,,
49,enzyme  protease  cysteine  cm  c18,Enzyme,Protease,Cysteine protease,Cysteine protease CM clan,Cysteine protease C18 family,,,
50,enzyme  protease  cysteine  ca  c1a,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Cysteine protease C1A family,,,
51,enzyme  protease  cysteine  ca  c2a,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Cysteine protease C2A subfamily,,,
52,enzyme  protease  cysteine  cd  c13,Enzyme,Protease,Cysteine protease,Cysteine protease CD clan,Cysteine protease C13 family,,,
53,enzyme  protease  cysteine  cd  c14,Enzyme,Protease,Cysteine protease,Cysteine protease CD clan,Cysteine protease C14 family,,,
54,enzyme  protease  cysteine  cd  c25,Enzyme,Protease,Cysteine protease,Cysteine protease CD clan,Cysteine protease C25 family,,,
55,enzyme  protease  metallo  mae  m13,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M13 family,,,
57,enzyme  protease  metallo  mae  m27,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M27 family,,,
59,enzyme  protease  metallo  mh  m28,Enzyme,Protease,Metallo protease,Metallo protease MH clan,Metallo protease M28 family,,,
60,enzyme  protease  metallo  mae  m34,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M34 family,,,
61,enzyme  protease  metallo  mae  m9b,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M9B subfamily,,,
62,enzyme  protease  metallo  mc  m14a,Enzyme,Protease,Metallo protease,Metallo protease MC clan,Metallo protease M14A subfamily,,,
63,enzyme  protease  metallo  mc  m14b,Enzyme,Protease,Metallo protease,Metallo protease MC clan,Metallo protease M14B subfamily,,,
65,enzyme  protease  metallo  mg  m24a,Enzyme,Protease,Metallo protease,Metallo protease MG clan,Metallo protease M24A subfamily,,,
66,enzyme  protease  metallo  mg  m24b,Enzyme,Protease,Metallo protease,Metallo protease MG clan,Metallo protease M24B subfamily,,,
67,enzyme  protease  metallo  mh  m20a,Enzyme,Protease,Metallo protease,Metallo protease MH clan,Metallo protease M20A subfamily,,,
68,enzyme  protease  metallo  mh  m28  m28a,Enzyme,Protease,Metallo protease,Metallo protease MH clan,Metallo protease M28 family,Metallo protease M28A subfamily,,
69,enzyme  protease  metallo  mh  m28  m28b,Enzyme,Protease,Metallo protease,Metallo protease MH clan,Metallo protease M28 family,Metallo protease M28B subfamily,,
71,enzyme  protease  aspartic  ad  a22a,Enzyme,Protease,Aspartic protease,Aspartic protease AD clan,Aspartic protease A22A subfamily,,,
72,enzyme  protease  aspartic  af  a26,Enzyme,Protease,Aspartic protease,Aspartic protease AF clan,Aspartic protease A26 family,,,
73,enzyme  protease  cysteine  ca  c12,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Cysteine protease C12 family,,,
74,enzyme  protease  cysteine  ca  c19,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Cysteine protease C19 family,,,
76,enzyme  protease  cysteine  cd  c11,Enzyme,Protease,Cysteine protease,Cysteine protease CD clan,Cysteine protease C11 family,,,
77,enzyme  protease  cysteine  cd  c14  c14a,Enzyme,Protease,Cysteine protease,Cysteine protease CD clan,Cysteine protease C14 family,Cysteine protease C14A subfamily,,
78,enzyme  protease  cysteine  pac  c3a,Enzyme,Protease,Cysteine protease,Cysteine protease PAC clan,Cysteine protease C3A subfamily,,,
79,enzyme  protease  cysteine  pcc  c26,Enzyme,Protease,Cysteine protease,Cysteine protease PCC clan,Cysteine protease C26 family,,,
80,enzyme  protease  inhibitor  i-  i49,Enzyme,Protease,Protease inhibitor,Protease inhibitor unclassified clan,Protease inhibitor I49 family,,,
81,enzyme  protease  metallo  mae  m48a,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M48A subfamily,,,
82,enzyme  protease  metallo  mam  m10a,Enzyme,Protease,Metallo protease,Metallo protease MAM clan,Metallo protease M10A subfamily,,,
83,enzyme  protease  metallo  mam  m12a,Enzyme,Protease,Metallo protease,Metallo protease MAM clan,Metallo protease M12A subfamily,,,
84,enzyme  protease  metallo  mam  m12b,Enzyme,Protease,Metallo protease,Metallo protease MAM clan,Metallo protease M12B subfamily,,,
87,enzyme  protease  threonine  pbt  t2,Enzyme,Protease,Threonine protease,Threonine protease PBT clan,Threonine protease T2 family,,,
89,enzyme  protease  threonine  pbt  t1a,Enzyme,Protease,Threonine protease,Threonine protease PBT clan,Threonine protease T1A subfamily,,,
90,enzyme  protease  serine  unclassified,Enzyme,Protease,Serine protease,Serine protease unclassified,,,,
92,enzyme  protease  cysteine  ca  c2  reg,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Cysteine protease C2 family,Cysteine protease C2 regulatory subfamily,,
93,enzyme  protease  serine  pas  s29  reg,Enzyme,Protease,Serine protease,Serine protease PA clan,Serine protease S29 family,Serine protease S29 regulatory subfamily,,
94,enzyme  phosphodiesterase  pde_1  pde_1a,Enzyme,Phosphodiesterase,Phosphodiesterase 1,Phosphodiesterase 1A,,,,
95,enzyme  phosphodiesterase  pde_1  pde_1b,Enzyme,Phosphodiesterase,Phosphodiesterase 1,Phosphodiesterase 1B,,,,
96,enzyme  phosphodiesterase  pde_1  pde_1c,Enzyme,Phosphodiesterase,Phosphodiesterase 1,Phosphodiesterase 1C,,,,
97,enzyme  phosphodiesterase  pde_2  pde_2a,Enzyme,Phosphodiesterase,Phosphodiesterase 2,Phosphodiesterase 2A,,,,
98,enzyme  phosphodiesterase  pde_3  pde_3a,Enzyme,Phosphodiesterase,Phosphodiesterase 3,Phosphodiesterase 3A,,,,
99,enzyme  phosphodiesterase  pde_3  pde_3b,Enzyme,Phosphodiesterase,Phosphodiesterase 3,Phosphodiesterase 3B,,,,
100,enzyme  phosphodiesterase  pde_4  pde_4a,Enzyme,Phosphodiesterase,Phosphodiesterase 4,Phosphodiesterase 4A,,,,
101,enzyme  phosphodiesterase  pde_4  pde_4b,Enzyme,Phosphodiesterase,Phosphodiesterase 4,Phosphodiesterase 4B,,,,
102,enzyme  phosphodiesterase  pde_4  pde_4c,Enzyme,Phosphodiesterase,Phosphodiesterase 4,Phosphodiesterase 4C,,,,
103,enzyme  phosphodiesterase  pde_4  pde_4d,Enzyme,Phosphodiesterase,Phosphodiesterase 4,Phosphodiesterase 4D,,,,
104,enzyme  phosphodiesterase  pde_5  pde_5a,Enzyme,Phosphodiesterase,Phosphodiesterase 5,Phosphodiesterase 5A,,,,
105,enzyme  phosphodiesterase  pde_6  pde_6a,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6A,,,,
106,enzyme  phosphodiesterase  pde_6  pde_6b,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6B,,,,
107,enzyme  phosphodiesterase  pde_6  pde_6c,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6C,,,,
108,enzyme  phosphodiesterase  pde_6  pde_6d,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6D,,,,
109,enzyme  phosphodiesterase  pde_6  pde_6g,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6G,,,,
110,enzyme  phosphodiesterase  pde_6  pde_6h,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6H,,,,
111,enzyme  phosphodiesterase  pde_7  pde_7a,Enzyme,Phosphodiesterase,Phosphodiesterase 7,Phosphodiesterase 7A,,,,
112,enzyme  phosphodiesterase  pde_7  pde_7b,Enzyme,Phosphodiesterase,Phosphodiesterase 7,Phosphodiesterase 7B,,,,
113,enzyme  phosphodiesterase  pde_8  pde_8a,Enzyme,Phosphodiesterase,Phosphodiesterase 8,Phosphodiesterase 8A,,,,
114,enzyme  phosphodiesterase  pde_8  pde_8b,Enzyme,Phosphodiesterase,Phosphodiesterase 8,Phosphodiesterase 8B,,,,
115,enzyme  phosphodiesterase  pde_9  pde_9a,Enzyme,Phosphodiesterase,Phosphodiesterase 9,Phosphodiesterase 9A,,,,
116,enzyme  protease  metallo  mc  m14b  reg,Enzyme,Protease,Metallo protease,Metallo protease MC clan,Metallo protease M14B subfamily,Metallo protease M14B regulatory subfamily,,
118,ion channel  vgc  k  vg k,Ion channel,Voltage-gated ion channel,Potassium channels,Voltage-gated potassium channel,,,,
119,enzyme  kinase  protein kinase  atypical  pdhk,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase PDHK subfamily,,,
120,enzyme  protease  aspartic  ad  a22a  reg,Enzyme,Protease,Aspartic protease,Aspartic protease AD clan,Aspartic protease A22A subfamily,Aspartic protease A22A regulatory subfamily,,
123,enzyme  phosphodiesterase  pde_10  pde_10a,Enzyme,Phosphodiesterase,Phosphodiesterase 10,Phosphodiesterase 10A,,,,
124,enzyme  phosphodiesterase  pde_11  pde_11a,Enzyme,Phosphodiesterase,Phosphodiesterase 11,Phosphodiesterase 11A,,,,
129,enzyme  kinase  reg,Enzyme,Kinase,Protein kinase regulatory subunit,,,,,
130,enzyme  kinase  protein kinase  tk  abl,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Abl family,,,
131,enzyme  kinase  protein kinase  tk  ack,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Ack family,,,
132,enzyme  kinase  protein kinase  tk  alk,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Alk family,,,
133,enzyme  kinase  protein kinase  tk  axl,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Axl family,,,
134,enzyme  kinase  protein kinase  tk  csk,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Csk family,,,
135,enzyme  kinase  protein kinase  tk  eph,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Eph family,,,
136,enzyme  kinase  protein kinase  tk  fak,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Fak family,,,
137,enzyme  kinase  protein kinase  tk  fer,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Fer family,,,
139,enzyme  kinase  protein kinase  tk  met,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Met family,,,
140,enzyme  kinase  protein kinase  tk  ret,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Ret family,,,
141,enzyme  kinase  protein kinase  tk  src,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Src family,,,
142,enzyme  kinase  protein kinase  tk  syk,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Syk family,,,
143,enzyme  kinase  protein kinase  tk  tec,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Tec family,,,
144,enzyme  kinase  protein kinase  tk  tie,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Tie family,,,
146,enzyme  kinase  protein kinase  tk  trk,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Trk family,,,
147,membrane receptor  7tm3  smallmol  neurotransmitter  gaba-b receptor,Membrane receptor,Family C G protein-coupled receptor,Small molecule receptor (family C GPCR),Neurotransmitter receptor (family C GPCR),GABA-B receptor,,,
148,enzyme  kinase  protein kinase  cmgc,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,,,,
149,enzyme  kinase  protein kinase  tk  egfr,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase EGFR family,,,
150,enzyme  kinase  protein kinase  tk  fgfr,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase FGFR family,,,
151,enzyme  kinase  protein kinase  tk  insr,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase InsR family,,,
152,enzyme  kinase  protein kinase  tk  jaka,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase JakA family,,,
153,enzyme  kinase  protein kinase  tk  jakb,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase JakB family,,,
154,enzyme  phosphatase  protein phosphatase  reg,Enzyme,Phosphatase,Protein Phosphatase,Protein phosphatase regulatory subunit,,,,
155,enzyme  phosphatase  protein phosphatase  ser,Enzyme,Phosphatase,Protein Phosphatase,Serine protein phosphatase,,,,
156,enzyme  phosphatase  protein phosphatase  tyr,Enzyme,Phosphatase,Protein Phosphatase,Tyrosine protein phosphatase,,,,
158,enzyme  kinase  protein kinase  other,Enzyme,Kinase,Protein Kinase,Other protein kinase group,,,,
159,enzyme  kinase  protein kinase  tk  pdgfr,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase PDGFR family,,,
160,enzyme  kinase  protein kinase  tk  vegfr,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase VEGFR family,,,
165,membrane receptor  7tm2  peptide  glucagon-like  glucagon receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Glucagon-like receptor,Glucagon receptor,,,
166,membrane receptor  7tm2  peptide  glucagon-like  secretin receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Glucagon-like receptor,Secretin receptor receptor,,,
167,enzyme  cytochrome p450  cyp_1  cyp_1a  cyp_1a1,Enzyme,Cytochrome P450,Cytochrome P450 family 1,Cytochrome P450 family 1A,Cytochrome P450 1A1,,,
168,enzyme  cytochrome p450  cyp_1  cyp_1a  cyp_1a2,Enzyme,Cytochrome P450,Cytochrome P450 family 1,Cytochrome P450 family 1A,Cytochrome P450 1A2,,,
169,enzyme  cytochrome p450  cyp_1  cyp_1b  cyp_1b1,Enzyme,Cytochrome P450,Cytochrome P450 family 1,Cytochrome P450 family 1B,Cytochrome P450 1B1,,,
170,enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a2,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2A,Cytochrome P450 2A2,,,
171,enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a5,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2A,Cytochrome P450 2A5,,,
172,enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a6,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2A,Cytochrome P450 2A6,,,
173,enzyme  cytochrome p450  cyp_2  cyp_2b  cyp_2b1,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2B,Cytochrome P450 2B1,,,
174,enzyme  cytochrome p450  cyp_2  cyp_2b  cyp_2b6,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2B,Cytochrome P450 2B6,,,
175,enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c8,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2C,Cytochrome P450 2C8,,,
176,enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c9,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2C,Cytochrome P450 2C9,,,
177,enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d1,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2D,Cytochrome P450 2D1,,,
178,enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d2,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2D,Cytochrome P450 2D2,,,
179,enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d3,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2D,Cytochrome P450 2D3,,,
180,enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d6,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2D,Cytochrome P450 2D6,,,
181,enzyme  cytochrome p450  cyp_2  cyp_2e  cyp_2e1,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2E,Cytochrome P450 2E1,,,
182,enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a1,Enzyme,Cytochrome P450,Cytochrome P450 family 3,Cytochrome P450 family 3A,Cytochrome P450 3A1,,,
183,enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a2,Enzyme,Cytochrome P450,Cytochrome P450 family 3,Cytochrome P450 family 3A,Cytochrome P450 3A2,,,
184,enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a4,Enzyme,Cytochrome P450,Cytochrome P450 family 3,Cytochrome P450 family 3A,Cytochrome P450 3A4,,,
185,enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a5,Enzyme,Cytochrome P450,Cytochrome P450 family 3,Cytochrome P450 family 3A,Cytochrome P450 3A5,,,
186,enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a1,Enzyme,Cytochrome P450,Cytochrome P450 family 4,Cytochrome P450 family 4A,Cytochrome P450 4A1,,,
187,enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a3,Enzyme,Cytochrome P450,Cytochrome P450 family 4,Cytochrome P450 family 4A,Cytochrome P450 4A3,,,
188,enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a4,Enzyme,Cytochrome P450,Cytochrome P450 family 4,Cytochrome P450 family 4A,Cytochrome P450 4A4,,,
189,enzyme  cytochrome p450  cyp_4  cyp_4f  cyp_4f2,Enzyme,Cytochrome P450,Cytochrome P450 family 4,Cytochrome P450 family 4F,Cytochrome P450 4F2,,,
190,enzyme  cytochrome p450  cyp_5  cyp_5a  cyp_5a1,Enzyme,Cytochrome P450,Cytochrome P450 family 5,Cytochrome P450 family 5A,Cytochrome P450 5A1,,,
191,enzyme  cytochrome p450  cyp_7  cyp_7a  cyp_7a1,Enzyme,Cytochrome P450,Cytochrome P450 family 7,Cytochrome P450 family 7A,Cytochrome P450 7A1,,,
192,enzyme  cytochrome p450  cyp_8  cyp_8a  cyp_8a1,Enzyme,Cytochrome P450,Cytochrome P450 family 8,Cytochrome P450 family 8A,Cytochrome P450 8A1,,,
195,enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c11,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2C,Cytochrome P450 2C11,,,
196,enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c18,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2C,Cytochrome P450 2C18,,,
197,enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c19,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2C,Cytochrome P450 2C19,,,
198,enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c23,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2C,Cytochrome P450 2C23,,,
199,enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d18,Enzyme,Cytochrome P450,Cytochrome P450 family 2,Cytochrome P450 family 2D,Cytochrome P450 2D18,,,
200,enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a11,Enzyme,Cytochrome P450,Cytochrome P450 family 4,Cytochrome P450 family 4A,Cytochrome P450 4A11,,,
202,membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Calcitonin-like receptor,Calcitonin receptor,,,
203,enzyme  kinase  protein kinase  agc  akt,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase AKT family,,,
204,enzyme  kinase  protein kinase  agc  ndr,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase NDR family,,,
205,enzyme  kinase  protein kinase  agc  pka,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKA family,,,
206,enzyme  kinase  protein kinase  agc  pkc,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKC family,,,
207,enzyme  kinase  protein kinase  agc  pkg,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKG family,,,
208,enzyme  kinase  protein kinase  agc  pkn,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKN family,,,
209,enzyme  kinase  protein kinase  agc  sgk,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase SGK family,,,
210,enzyme  kinase  protein kinase  ck1  ck1,Enzyme,Kinase,Protein Kinase,CK1 protein kinase group,CK1 protein kinase CK1 family,,,
211,enzyme  kinase  protein kinase  cmgc  ck,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CK subfamily,,,
219,enzyme  kinase  protein kinase  tk  src  srm,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Src family,Tyrosine protein kinase Srm,,
222,enzyme  phosphatase  protein phosphatase  ser_thr,Enzyme,Phosphatase,Protein Phosphatase,Serine/threonine protein phosphatase,,,,
223,enzyme  cytochrome p450  cyp_11  cyp_11a  cyp_11a1,Enzyme,Cytochrome P450,Cytochrome P450 family 11,Cytochrome P450 family 11A,Cytochrome P450 11A1,,,
224,enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b1,Enzyme,Cytochrome P450,Cytochrome P450 family 11,Cytochrome P450 family 11B,Cytochrome P450 11B1,,,
225,enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b2,Enzyme,Cytochrome P450,Cytochrome P450 family 11,Cytochrome P450 family 11B,Cytochrome P450 11B2,,,
226,enzyme  cytochrome p450  cyp_17  cyp_17a  cyp_17a1,Enzyme,Cytochrome P450,Cytochrome P450 family 17,Cytochrome P450 family 17A,Cytochrome P450 17A1,,,
227,enzyme  cytochrome p450  cyp_19  cyp_19a  cyp_19a1,Enzyme,Cytochrome P450,Cytochrome P450 family 19,Cytochrome P450 family 19A,Cytochrome P450 19A1,,,
228,enzyme  cytochrome p450  cyp_21  cyp_21a  cyp_21a2,Enzyme,Cytochrome P450,Cytochrome P450 family 21,Cytochrome P450 family 21A,Cytochrome P450 21A2,,,
229,enzyme  cytochrome p450  cyp_24  cyp_24a  cyp_24a1,Enzyme,Cytochrome P450,Cytochrome P450 family 24,Cytochrome P450 family 24A,Cytochrome P450 24A1,,,
230,enzyme  cytochrome p450  cyp_26  cyp_26a  cyp_26a1,Enzyme,Cytochrome P450,Cytochrome P450 family 26,Cytochrome P450 family 26A,Cytochrome P450 26A1,,,
231,enzyme  cytochrome p450  cyp_51  cyp_51a  cyp_51a1,Enzyme,Cytochrome P450,Cytochrome P450 family 51,Cytochrome P450 family 51A,Cytochrome P450 51A1,,,
232,enzyme  kinase  protein kinase  agc  pdk1,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PDK1 subfamily,,,
233,enzyme  kinase  protein kinase  agc  yank,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase YANK family,,,
234,enzyme  kinase  protein kinase  camk  phk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase PHk family,,,
235,enzyme  kinase  protein kinase  camk  pim,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase PIM family,,,
236,enzyme  kinase  protein kinase  camk  pkd,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase PKD family,,,
