alert_id,alert_set_id,alert_name,smarts
33,1,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]"
34,1,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1]
35,1,I4 Disulphides,SS
36,1,I5 Thiols,[SH]
37,1,"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1"
38,1,"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH])
39,1,"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH])
40,1,I9 Hydrazothiourea,N=NC(=S)N
41,1,I10 Thiocyanate,SC#N
42,1,I11 Benzylic quaternary Nitrogen,cC[N+]
43,1,I12 Thioesters,"C[O,S;R0][C;R0](=S)"
44,1,I13 Cyanamides,N[CH2]C#N
45,1,I14 Four membered lactones,C1(=O)OCC1
46,1,I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH]
47,1,I16 Betalactams,N1CCC1=O
48,1,N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1
49,1,N2 Polyenes,C=CC=CC=CC=C
50,1,N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2
51,1,N4 Cytochalasin derivatives,O=C1NCC2CCCCC21
52,1,N5 Cycloheximide derivatives,O=C1CCCC(N1)=O
53,1,N6 Monensin derivatives,O1CCCCC1C2CCCO2
54,1,N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3
55,1,N8 Squalestatin derivatives,C12OCCC(O1)CC2
56,2,> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]"
57,2,2-halo pyridine,"n1c([F,Cl,Br,I])cccc1"
58,2,acid halide,"C(=O)[Cl,Br,I,F]"
59,2,acyclic C=C-O,C=[C!r]O
60,2,acyl cyanide,N#CC(=O)
61,2,acyl hydrazine,C(=O)N[NH2]
62,2,aldehyde,[CH1](=O)
63,2,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2]
64,2,alkyl halide,"[CX4][Cl,Br,I]"
65,2,amidotetrazole,c1nnnn1C=O
66,2,aniline,c1cc([NH2])ccc1
67,2,azepane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1
68,2,Azido group,N=[N+]=[N-]
69,2,Azo group,N#N
70,2,azocane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1
71,2,benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2"
72,2,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)"
73,2,biotin analogue,C12C(NC(N1)=O)CSC2
74,2,Carbocation/anion,"[C+,c+,C-,c-]"
75,2,catechol,"c1c([OH])c([OH,NH2,NH])ccc1"
76,2,charged oxygen or sulfur atoms,"[O+,o+,S+,s+]"
77,2,chinone,"C1(=[O,N])C=CC(=[O,N])C=C1"
78,2,chinone,"C1(=[O,N])C(=[O,N])C=CC=C1"
79,2,conjugated nitrile group,C=[C!r]C#N
80,2,crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]"
81,2,cumarine,c1ccc2c(c1)ccc(=O)o2
82,2,cyanamide,N[CH2]C#N
83,2,cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N"
84,2,cyanohydrins,N#CC[OH]
85,2,cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1
86,2,cycloheptane,[CR2]1[CR2][CR2]cc[CR2][CR2]1
87,2,cyclooctane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1
88,2,cyclooctane,[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1
89,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1"
90,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1"
91,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])"
92,2,diazo group,[N!R]=[N!R]
93,2,diketo group,"[C,c](=O)[C,c](=O)"
94,2,disulphide,SS
95,2,enamine,[CX2R0][NX3R0]
96,2,ester of HOBT,C(=O)Onnn
97,2,four member lactones,C1(=O)OCC1
98,2,halogenated ring,"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]"
99,2,halogenated ring,"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]"
100,2,heavy metal,"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]"
101,2,het-C-het not in ring,"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]"
102,2,hydantoin,C1NC(=O)NC(=O)1
103,2,hydrazine,N[NH2]
104,2,hydroquinone,"[OH]c1ccc([OH,NH2,NH])cc1"
105,2,hydroxamic acid,C(=O)N[OH]
106,2,imine,C=[N!R]
107,2,imine,"N=[CR0][N,n,O,S]"
108,2,iodine,I
109,2,isocyanate,N=C=O
110,2,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]"
111,2,ketene,C=C=O
112,2,"methylidene-1,3-dithiole",S1C=CSC1=S
113,2,Michael acceptor,"C=!@CC=[O,S]"
114,2,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)[C,c]"
115,2,Michael acceptor,"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]"
116,2,Michael acceptor,C=C(C=O)C=O
117,2,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)O[C,c]"
118,2,N oxide,"[NX2,nX3][OX1]"
119,2,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O
120,2,N-C-halo,"NC[F,Cl,Br,I]"
121,2,N-halo,"[NX3,NX4][F,Cl,Br,I]"
122,2,N-hydroxyl pyridine,n[OH]
123,2,nitro group,[N+](=O)[O-]
124,2,N-nitroso,[#7]-N=O
125,2,oxime,"[C,c]=N[OH]"
126,2,oxime,"[C,c]=NOC=O"
127,2,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]"
128,2,perfluorinated chain,[CX4](F)(F)[CX4](F)F
129,2,peroxide,OO
130,2,phenol ester,c1ccccc1OC(=O)[#6]
131,2,phenyl carbonate,c1ccccc1OC(=O)O
132,2,phosphor,P
133,2,phthalimide,"[cR,CR]~C(=O)NC(=O)~[cR,CR]"
134,2,Polycyclic aromatic hydrocarbon,a1aa2a3a(a1)A=AA=A3=AA=A2
135,2,Polycyclic aromatic hydrocarbon,a21aa3a(aa1aaaa2)aaaa3
136,2,Polycyclic aromatic hydrocarbon,a31a(a2a(aa1)aaaa2)aaaa3
137,2,polyene,[CR0]=[CR0][CR0]=[CR0]
138,2,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]"
139,2,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]"
140,2,quaternary nitrogen,[*]=[N+]=[*]
141,2,saponine derivative,O1CCCCC1OC2CCC3CCCCC3C2
142,2,silicon halogen,"[Si][F,Cl,Br,I]"
143,2,stilbene,c1ccccc1C=Cc2ccccc2
144,2,sulfinic acid,"[SX3](=O)[O-,OH]"
145,2,Sulfonic acid,"[C,c]S(=O)(=O)O[C,c]"
146,2,Sulfonic acid,"S(=O)(=O)[O-,OH]"
147,2,sulfonyl cyanide,S(=O)(=O)C#N
148,2,sulfur oxygen single bond,[SX2]O
149,2,sulphate,OS(=O)(=O)[O-]
150,2,Sulphur-nitrogen single bond,[SX2H0][N]
151,2,Thiobenzothiazole,c12ccccc1(SC(S)=N2)
152,2,thiobenzothiazole,c12ccccc1(SC(=S)N2)
153,2,Thiocarbonyl group,"[C,c]=S"
154,2,thioester,SC=O
155,2,thiol,[S-]
156,2,thiol,[SH]
157,2,Three-membered heterocycle,"*1[O,S,N]*1"
158,2,triflate,OS(=O)(=O)C(F)(F)F
159,2,triphenyl methylsilyl,"[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)"
160,2,triple bond,C#C
161,3,2halo_pyrazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1"
162,3,2halo_pyrazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1"
163,3,2halo_pyridazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1"
164,3,2halo_pyridazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1"
165,3,2halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1"
166,3,2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1"
167,3,2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1"
168,3,3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1"
169,3,3halo_pyridazine_4EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1"
170,3,4_pyridone_3_5_EWG,"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1"
171,3,4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1"
172,3,4halo_pyrimidine_2_6EWG,"[#7]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7;R1][#6]([F,Cl,Br,I])[#6][#6]1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])"
173,3,4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1"
174,3,CH2_S#O_3_ring,"[CH2]1[O,S]C1"
175,3,HOBT_ester,"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]"
176,3,NO_phosphonate,P(=O)ON
177,3,acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O)
178,3,activated_4mem_ring,"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1"
179,3,activated_S#O_3_ring,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]"
180,3,activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]"
181,3,activated_diazo,"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])"
182,3,activated_vinyl_ester,"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]"
183,3,activated_vinyl_sulfonate,"O(-S(=O)(=O))C=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]"
184,3,acyclic_imide,"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]"
185,3,acyl_123_triazole,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1
186,3,acyl_134_triazole,[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1
187,3,acyl_activated_NO,"O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]"
188,3,acyl_cyanide,C(=O)-C#N
189,3,acyl_imidazole,"[C;!$(C-N)](=O)[#7]1[#6;H1,$([#6]([*;!R]))][#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1"
190,3,acyl_pyrazole,"[C;!$(C-N)](=O)[#7]1[#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1"
191,3,aldehyde,"[C,c][C;H1](=O)"
192,3,alpha_dicarbonyl,C(=O)!@C(=O)
193,3,alpha_halo_EWG,"[$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-])]-[CH,CH2]-[Cl,Br,I,$(O(S(=O)(=O)))]"
194,3,alpha_halo_amine,"[F,Cl,Br,I,$(O(S(=O)(=O)))]-[CH,CH2;!$(C(F)F)]-[N,n]"
195,3,alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])"
196,3,alpha_halo_heteroatom,"[N,n,O,S;!$(S(=O)(=O))]-[CH,CH2;!$(C(F)F)][F,Cl,Br,I,$(O(S(=O)(=O)))]"
197,3,alpha_halo_heteroatom_tert,"[N,n,O,S;!$(S(=O)(=O))]-C([Cl,Br,I,$(O(S(=O)(=O)))])(C)(C)"
198,3,anhydride,"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]"
199,3,aryl_phosphonate,P(=O)-[O;!R]-a
200,3,aryl_thiocarbonyl,a-[S;X2;!R]-[C;!R](=O)
201,3,azide,"[$(N#[N+]-[N-]),$([N-]=[N+]=N)]"
202,3,aziridine_diazirine,"[C,N]1~[C,N]~N~1"
203,3,azo_amino,[N]=[N;!R]-[N]
204,3,azo_aryl,c[N;!R;!+]=[N;!R;!+]-c
205,3,azo_filter1,[N;!R]=[N;!R]-[N]=[*]
206,3,azo_filter2,[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)]
207,3,azo_filter3,[N;!R]-[N;!R]-[N;!R]
208,3,azo_filter4,a-N=N-[N;H2]
209,3,bad_boron,"[B-,BH2,BH3,$(B(F)(F))]"
210,3,bad_cations,"[C+,F+,Cl+,Br+,I+,Se+]"
211,3,benzidine_like,c([N;!+])1ccc(c2ccc([N;!+])cc2)cc1
212,3,beta_lactone,"[#6,#15,#16]1(=O)~[#6]~[#6]~[#8,#16]1"
213,3,betalactam,C1(=O)~[#6]~[#6]N1
214,3,betalactam_EWG,"C1(=O)~[#6]~[#6]N1([$(S(=O)(=O)[C,c,O&D2]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)[C,c,O&D2])])"
215,3,bis_activated_aryl_ester,"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1"
216,3,bis_keto_olefin,"CC(=O)[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]=[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]C(=O)C"
217,3,boron_warhead,"[C,c]~[#5]"
218,3,branched_polycyclic_aromatic,a1(a2aa(a3aaaaa3)aa(a4aaaaa4)a2)aaaaa1
219,3,carbodiimide_iso#thio#cyanate,"N=C=[N,O,S]"
220,3,carbonyl_halide,"O=C[F,Cl,Br,I]"
221,3,contains_metal,"[$([Ru]),$([Rh]),$([Se]),$([Pd]),$([Sc]),$([Bi]),$([Sb]),$([Ag]),$([Ti]),$([Al]),$([Cd]),$([V]),$([In]),$([Cr]),$([Sn]),$([Mn]),$([La]),$([Fe]),$([Er]),$([Tm]),$([Yb]),$([Lu]),$([Hf]),$([Ta]),$([W]),$([Re]),$([Co]),$([Os]),$([Ni]),$([Ir]),$([Cu]),$([Zn]),$([Ga]),$([Ge]),$([As]),$([Y]),$([Zr]),$([Nb]),$([Ce]),$([Pr]),$([Nd]),$([Sm]),$([Eu]),$([Gd]),$([Tb]),$([Dy]),$([Ho]),$([Pt]),$([Au]),$([Hg]),$([Tl]),$([Pb]),$([Ac]),$([Th]),$([Pa]),$([Mo]),$([U]),$([Tc]),$([Te]),$([Po]),$([At])]"
222,3,crown_ether,"[$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18])]"
223,3,cyano_phosphonate,"P(O[A,a])(O[A,a])(=O)C#N"
224,3,cyanohydrin,"[C;X4](-[OH,NH1,NH2,SH])(-C#N)"
225,3,diamino_sulfide,"[N,n]~[S;!R;D2]~[N,n]"
226,3,diazo_carbonyl,"[$(N=N=C~C=O),$(N#N-C~C=O)]"
227,3,diazonium,a[N+]#N
228,3,dicarbonyl_sulfonamide,"[$(N(-C(=O))(-C(=O))(-S(=O))),$(n([#6](=O))([#6](=O))([#16](=O)))]"
229,3,disulfide_acyclic,[S;!R;X2]-[S;!R;X2]
230,3,disulfonyliminoquinone,S(=O)(=O)N=C1C=CC(=NS(=O)(=O))C=C1
231,3,double_trouble_warhead,NC(C[S;D1])C([N;H1]([O;D1]))=O
232,3,flavanoid,O=C2CC(a3aaaaa3)Oa1aaaaa12
233,3,four_nitriles,C#N.C#N.C#N.C#N
234,3,gte_10_carbon_sb_chain,[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]
235,3,gte_2_N_quats,"[N,n;H0;+;!$(N~O);!$(n~O)].[N,n;H0;+;!$(N~O);!$(n~O)]"
236,3,gte_2_free_phos,P([O;D1])=O.P([O;D1])=O
237,3,gte_2_sulfonic_acid,"[C,c]S(=O)(=O)[O;D1].[C,c]S(=O)(=O)[O;D1]"
238,3,gte_3_COOH,C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1]
239,3,gte_3_iodine,[#53].[#53].[#53]
240,3,gte_4_basic_N,"[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)]"
241,3,gte_4_nitro,"[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)]"
242,3,gte_5_phenolic_OH,a[O;D1].a[O;D1].a[O;D1].a[O;D1].a[O;D1]
243,3,gte_7_aliphatic_OH,C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1]
244,3,gte_7_total_hal,"[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I]"
245,3,gte_8_CF2_or_CH2,"[CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0]"
246,3,halo_5heterocycle_bis_EWG,"[#7,#8,#16]1[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#7][#6]1([Cl,Br,I])"
247,3,halo_acrylate,"[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(CI)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])"
248,3,halo_imino,"C(=[#7])([Cl,Br,I,$(O(S(=O)(=O)))])"
249,3,halo_olefin_bis_EWG,"C([Cl,Br,I,$(O(S(=O)(=O)))])=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])"
250,3,halo_phenolic_carbonyl,"C(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])"
