protclasssyn_id,protein_class_id,protein_class_synonym,syn_type
33759,1015,"Channel, IRK1",CONCEPT_WIKI
33760,1015,Inward Rectifier Potassium Channel,CONCEPT_WIKI
33761,1015,INWARDLY RECTIFYING K CHANNELS,CONCEPT_WIKI
33762,1015,"K+ Channels, Inwardly Rectifying",CONCEPT_WIKI
33763,1015,K CHANNELS INWARDLY RECTIFYING,CONCEPT_WIKI
33764,1015,Inward Rectifier Potassium Channels,CONCEPT_WIKI
33765,1015,"Potassium Channel, Inwardly Rectifying",CONCEPT_WIKI
33766,1015,INWARDLY RECTIFYING K CHANNEL,CONCEPT_WIKI
33768,1015,Inward Rectifier K+ Channels,CONCEPT_WIKI
33769,1015,Inward Rectifier K+ Channel,CONCEPT_WIKI
33770,1015,Inwardly Rectifying Postassium Channels,CONCEPT_WIKI
33771,1015,Inwardly Rectifying Potassium Channel,UMLS
33772,1015,K CHANNEL INWARDLY RECTIFYING,UMLS
33773,1015,IRK1 Channel,UMLS
33774,1015,"Channel, IRK1",UMLS
33775,1015,Inward Rectifier Potassium Channel,UMLS
33776,1015,INWARDLY RECTIFYING K CHANNELS,UMLS
33777,1015,"K+ Channels, Inwardly Rectifying",UMLS
33778,1015,K CHANNELS INWARDLY RECTIFYING,UMLS
33779,1015,Inward Rectifier Potassium Channels,UMLS
33780,1015,"Potassium Channel, Inwardly Rectifying",UMLS
33781,1015,INWARDLY RECTIFYING K CHANNEL,UMLS
33782,1015,"Potassium Channels, Inwardly Rectifying",UMLS
33783,1015,Inward Rectifier K+ Channels,UMLS
33784,1015,Inwardly Rectifying Postassium Channels,UMLS
33785,1015,Inward Rectifier K+ Channel,UMLS
33786,1015,ConceptWiki:bc5951a5-57e0-44d8-8b95-55350fac2d35,CW_XREF
33787,1015,MESH:D024661,MESH_XREF
33788,1016,Ryanodine Receptors,CONCEPT_WIKI
33789,1016,RYANODINE RECEPT,CONCEPT_WIKI
33790,1016,"Receptors, Ryanodine",CONCEPT_WIKI
33792,1016,RYANODINE RECEPT,UMLS
33793,1016,Ryanodine Receptors,UMLS
33794,1016,"Receptors, Ryanodine",UMLS
33795,1016,ConceptWiki:5662ba6b-254f-4644-bdef-a7fa2de2cee6,CW_XREF
33796,1016,MESH:D019837,MESH_XREF
33821,1018,ConceptWiki:2810f624-f090-4b41-93b1-b188f24c4501,CW_XREF
33823,1019,Voltage-gated Ion Channels,CONCEPT_WIKI
33824,1019,Voltage-gated Ion Channel (VIC) Superfamily,CONCEPT_WIKI
33825,102,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",CONCEPT_WIKI
33826,102,"phosphodiesterase 4C, cAMP-specific",CONCEPT_WIKI
33829,102,ConceptWiki:1b14ca4d-89fc-44a7-be27-9e0ec2544fc7,CW_XREF
33830,1020,seven-transmembrane G-protein-coupled receptor,CONCEPT_WIKI
33831,1020,G-protein coupled receptor 1 family,CONCEPT_WIKI
33832,1020, GPCR family 1,CONCEPT_WIKI
33833,1020,7-helix transmembrane receptor,CONCEPT_WIKI
33834,1020,7-TM receptor,CONCEPT_WIKI
33836,1020,7-TM receptor,UMLS
33837,1020,7-helix transmembrane receptor,UMLS
33838,1020,seven-transmembrane G-protein-coupled receptor,UMLS
33839,1020,ConceptWiki:dc8de870-0ab1-432f-bf85-f7b9d47df644,CW_XREF
33840,1020,MESH:C450520,MESH_XREF
33841,1021,G-protein coupled receptor 2 family,CONCEPT_WIKI
33843,1021, GPCR family 2,CONCEPT_WIKI
33844,1021, seven-transmembrane G-protein-coupled receptor family 2,CONCEPT_WIKI
33845,1022,G-protein coupled receptor 3 family,CONCEPT_WIKI
33847,1022, GPCR family 3,CONCEPT_WIKI
33848,1022, seven-transmembrane G-protein-coupled receptor family 3,CONCEPT_WIKI
33863,1023,ConceptWiki:bc238de8-8e7d-4d99-8ed4-515df8ae55a9,CW_XREF
33865,1024,Ligand-Gated Ion Channels,CONCEPT_WIKI
33866,1024,Ligand Gated Ion Channels,CONCEPT_WIKI
33867,1024,"Channels, Ligand-Gated",CONCEPT_WIKI
33868,1024,"Ion Channels, Ligand-Gated",CONCEPT_WIKI
33870,1024,Ligand Gated Channels,CONCEPT_WIKI
33871,1024,Ligand-Gated Channels,CONCEPT_WIKI
33872,1024,Ligand Gated Ion Channels,UMLS
33873,1024,"Channels, Ligand-Gated",UMLS
33874,1024,Ligand-Gated Ion Channels,UMLS
33875,1024,"Ion Channels, Ligand-Gated",UMLS
33876,1024,Ligand Gated Channels,UMLS
33877,1024,Ligand-Gated Channels,UMLS
33878,1024,ConceptWiki:48fe9441-e186-470a-94b5-a81ec3afe6d1,CW_XREF
33879,1024,MESH:D058446,MESH_XREF
33889,1027,Primary Active Transporter,CONCEPT_WIKI
33890,1027,primary active transporter,CONCEPT_WIKI
33892,1027,primary active transporter,UMLS
33893,1027,ConceptWiki:eba6bde7-7094-4f5b-86c9-5c740c4380f8,CW_XREF
33894,1028,Endopeptidases,CONCEPT_WIKI
33895,1028,Peptide Peptidohydrolases,CONCEPT_WIKI
33897,1028,Peptide Peptidohydrolases,UMLS
33898,1028,Endopeptidases,UMLS
33899,1028,ConceptWiki:3af5ddde-c559-410b-b353-4bcb0f7025ab,CW_XREF
33900,1028,MESH:D010450,MESH_XREF
33901,103,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",CONCEPT_WIKI
33902,103,"phosphodiesterase 4D, cAMP-specific",CONCEPT_WIKI
33905,103,ConceptWiki:9898ae0b-1b0e-4758-af3b-48eae56dd2f4,CW_XREF
33906,1030,Phosphoric Monoester Hydrolases,CONCEPT_WIKI
33907,1030,Phosphohydrolases,CONCEPT_WIKI
33908,1030,Phosphomonoesterases,CONCEPT_WIKI
33910,1030,"Hydrolases, Phosphoric Monoester",CONCEPT_WIKI
33911,1030,Phosphatases,CONCEPT_WIKI
33912,1030,Phosphohydrolases,UMLS
33913,1030,Phosphomonoesterases,UMLS
33914,1030,Phosphoric Monoester Hydrolases,UMLS
33915,1030,"Hydrolases, Phosphoric Monoester",UMLS
33916,1030,Phosphatases,UMLS
33917,1030,ConceptWiki:dcbae847-b864-46c1-8391-40288e54f1a4,CW_XREF
33918,1030,MESH:D010744,MESH_XREF
33919,1031,Cytochrome P-450 Enzyme System,CONCEPT_WIKI
33920,1031,Cytochrome P-450,CONCEPT_WIKI
33921,1031,Cytochrome P450,CONCEPT_WIKI
33922,1031,CYTOCHROME P 450 ENZYME SYSTEM,CONCEPT_WIKI
33923,1031,Cytochrome P 450,CONCEPT_WIKI
33924,1031,Cytochrome P 450 Enzyme System,CONCEPT_WIKI
33925,1031,CYTOCHROME P 450,CONCEPT_WIKI
33927,1031,Cytochrome P-450,UMLS
33928,1031,Cytochrome P450,UMLS
33929,1031,CYTOCHROME P 450 ENZYME SYSTEM,UMLS
33930,1031,Cytochrome P 450,UMLS
33931,1031,CYTOCHROME P 450,UMLS
33932,1031,Cytochrome P-450 Enzyme System,UMLS
33933,1031,Cytochrome P 450 Enzyme System,UMLS
33934,1031,ConceptWiki:c8f18396-a9dc-482d-b3fa-cf732e933904,CW_XREF
33935,1031,MESH:D003577,MESH_XREF
33936,1032,Electrochemical potential-driven transporter,CONCEPT_WIKI
33937,1032,secondary active transmembrane transporter,CONCEPT_WIKI
33938,1033,"Receptors, Nuclear",CONCEPT_WIKI
33939,1033,RECEPT NUCLEAR,CONCEPT_WIKI
33940,1033,Nuclear Receptors,CONCEPT_WIKI
33942,1033,NUCLEAR RECEPT,CONCEPT_WIKI
33943,1033,RECEPT NUCLEAR,UMLS
33944,1033,Nuclear Receptors,UMLS
33945,1033,"Receptors, Nuclear",UMLS
33946,1033,NUCLEAR RECEPT,UMLS
33947,1033,ConceptWiki:c6dfb317-8003-48c7-9988-700ed5064418,CW_XREF
33948,1033,MESH:D018160,MESH_XREF
33949,1034,Phosphoric Diester Hydrolases,CONCEPT_WIKI
33950,1034,Cyclic nucleotide phosphodiesterase family,CONCEPT_WIKI
33951,1034,Phosphodiesterases,CONCEPT_WIKI
33952,1034,"Hydrolases, Phosphoric Diester",CONCEPT_WIKI
33954,1034,Phosphodiesterases,UMLS
33955,1034,"Hydrolases, Phosphoric Diester",UMLS
33956,1034,Phosphoric Diester Hydrolases,UMLS
33957,1034,ConceptWiki:b60f819b-79c4-4cb4-80a0-a7757f0ebd82,CW_XREF
33958,1034,MESH:D010727,MESH_XREF
33959,1035,Aminoacyltransferases,CONCEPT_WIKI
33961,1035,Aminoacyltransferases,UMLS
33962,1035,ConceptWiki:c241b8ff-8b89-483a-9f24-d2f8b5afcf0f,CW_XREF
33963,1035,MESH:D019881,MESH_XREF
34032,104,"cGMP-specific 3',5'-cyclic phosphodiesterase",CONCEPT_WIKI
34033,104,"phosphodiesterase 5A, cGMP-specific",CONCEPT_WIKI
34036,104,ConceptWiki:18b9327e-8046-459b-b00a-5a08ae139733,CW_XREF
34037,1041,Thyroid hormone-like receptors,CONCEPT_WIKI
34038,1042,hepatocyte nuclear factor 4-like receptor,CONCEPT_WIKI
34039,1043,Estrogen-like receptors,CONCEPT_WIKI
34040,1043,"Nuclear hormone receptor family, NR3 subfamily",CONCEPT_WIKI
34041,1045,"Nuclear hormone receptor family, NR5 subfamily",CONCEPT_WIKI
34042,1047,"Receptors, Purinergic P2X",CONCEPT_WIKI
34043,1047,"Purinoceptor, P2X",CONCEPT_WIKI
34044,1047,"P2X Receptors, Purinergic",CONCEPT_WIKI
34045,1047,P2X Purinoceptors,CONCEPT_WIKI
34047,1047,P2X Purinoceptor,CONCEPT_WIKI
34048,1047,"Purinoceptors, P2X",CONCEPT_WIKI
34049,1047,Purinergic P2X Receptors,CONCEPT_WIKI
34050,1047,"Purinoceptor, P2X",UMLS
34051,1047,"P2X Receptors, Purinergic",UMLS
34052,1047,P2X Purinoceptors,UMLS
34053,1047,"Receptors, Purinergic P2X",UMLS
34054,1047,P2X Purinoceptor,UMLS
34055,1047,"Purinoceptors, P2X",UMLS
34056,1047,Purinergic P2X Receptors,UMLS
34057,1047,ConceptWiki:70056544-3826-49b1-9a58-35c9ecfdc770,CW_XREF
34058,1047,MESH:D058469,MESH_XREF
34077,105,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",CONCEPT_WIKI
34078,105,"phosphodiesterase 6A, cGMP-specific, rod, alpha",CONCEPT_WIKI
34081,105,ConceptWiki:e101fb3e-c190-4b43-a77f-2ebf6cd0402d,CW_XREF
34107,1053,"Receptors, Ionotropic Glutamate",CONCEPT_WIKI
34108,1053,1.A.10,CONCEPT_WIKI
34109,1053, Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors,CONCEPT_WIKI
34110,1053,"Glutamate Receptors, Ionotropic",CONCEPT_WIKI
34111,1053,Ionotropic Glutamate Receptors,CONCEPT_WIKI
34113,1053,"Glutamate Receptors, Ionotropic",UMLS
34114,1053,Ionotropic Glutamate Receptors,UMLS
34115,1053,"Receptors, Ionotropic Glutamate",UMLS
34116,1053,ConceptWiki:5f6c98dc-a901-4391-92ff-643506a1d4f6,CW_XREF
34117,1053,MESH:D058468,MESH_XREF
34118,1054,Cytochrome P450 CYP1,CONCEPT_WIKI
34119,1054,"Cytochrome P450, family 1",CONCEPT_WIKI
34120,1055,Cytochrome P450 CYP2,CONCEPT_WIKI
34121,1055,"Cytochrome P450, family 2",CONCEPT_WIKI
34122,1056,Cytochrome P450 CYP3,CONCEPT_WIKI
34123,1056,"Cytochrome P450, family 3",CONCEPT_WIKI
34124,1057,Cytochrome P450 CYP4,CONCEPT_WIKI
34125,1057,"Cytochrome P450, family 4",CONCEPT_WIKI
34126,1058,cytochrome P450 CYP5,CONCEPT_WIKI
34127,1058,"Cytochrome P450, family 5",CONCEPT_WIKI
34129,1058,cytochrome P450 CYP5,UMLS
34130,1058,ConceptWiki:3d83cda7-19cb-4f95-a006-40e9dbaeb27d,CW_XREF
34131,1059,Cytochrome P450 CYP7,CONCEPT_WIKI
34132,1059,"Cytochrome P450, family 7",CONCEPT_WIKI
34133,106,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",CONCEPT_WIKI
34134,106,"phosphodiesterase 6B, cGMP-specific, rod, beta",CONCEPT_WIKI
34137,106,ConceptWiki:3daf9970-6bcd-4081-8d93-f05c9ce8cb0b,CW_XREF
34138,1060,Cytochrome P450 CYP8,CONCEPT_WIKI
34139,1060,"Cytochrome P450, family 8",CONCEPT_WIKI
34140,1060, Prostacyclin synthase,CONCEPT_WIKI
34141,1060, CYP8,CONCEPT_WIKI
34142,1061,"Cyclic Nucleotide Phosphodiesterases, Type 1",CONCEPT_WIKI
34143,1061,PDE1 subfamil,CONCEPT_WIKI
34144,1061, phosphodiesterase 1 family,CONCEPT_WIKI
34145,1061,Ca-CaM-Phosphodiesterase,CONCEPT_WIKI
34146,1061,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 001,CONCEPT_WIKI
34147,1061,Calcium-Calmodulin-Dependent Phosphodiesterase,CONCEPT_WIKI
34148,1061,Calmodulin Dependent cGMP Phosphodiesterase,CONCEPT_WIKI
34149,1061,"Phosphodiesterase, Calcium-Calmodulin-Dependent",CONCEPT_WIKI
34150,1061,Calcium Calmodulin Stimulated Cyclic AMP Phosphodiesterase,CONCEPT_WIKI
34151,1061,PDE1 Phosphodiesterases,CONCEPT_WIKI
34152,1061,"cGMP Phosphodiesterase, Calmodulin-Dependent",CONCEPT_WIKI
34153,1061,Ca(2+)-CaM-Stimulated PDE,CONCEPT_WIKI
34154,1061,Calmodulin-Dependent cGMP Phosphodiesterase,CONCEPT_WIKI
34155,1061,Cyclic Nucleotide Phosphodiesterase PDE1 Family,CONCEPT_WIKI
34156,1061,Calmodulin-Dependent Phosphodiesterase,CONCEPT_WIKI
34157,1061,Ca++ Calmodulin Dependent Cyclic AMP Phosphodiesterase,CONCEPT_WIKI
34158,1061,"Cyclic Nucleotide Phosphodiesterases, Type I",CONCEPT_WIKI
34159,1061,Ca CaM Phosphodiesterase,CONCEPT_WIKI
34160,1061,"Phosphodiesterase, Calmodulin-Dependent cGMP",CONCEPT_WIKI
34161,1061,"Phosphodiesterases, PDE1",CONCEPT_WIKI
34162,1061,Calcium Calmodulin Dependent Phosphodiesterase,CONCEPT_WIKI
34163,1061,Calmodulin Phosphodiesterase,CONCEPT_WIKI
34164,1061,Calmodulin Dependent Phosphodiesterase,CONCEPT_WIKI
34166,1061,Calcium-Calmodulin-Stimulated Cyclic AMP Phosphodiesterase,CONCEPT_WIKI
34167,1061,Ca-CaM-Phosphodiesterase,UMLS
34168,1061,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 001,UMLS
34169,1061,Calcium-Calmodulin-Dependent Phosphodiesterase,UMLS
34170,1061,Calmodulin Dependent cGMP Phosphodiesterase,UMLS
34171,1061,"Phosphodiesterase, Calcium-Calmodulin-Dependent",UMLS
34172,1061,Calcium Calmodulin Stimulated Cyclic AMP Phosphodiesterase,UMLS
34173,1061,"cGMP Phosphodiesterase, Calmodulin-Dependent",UMLS
34174,1061,PDE1 Phosphodiesterases,UMLS
34175,1061,Ca(2+)-CaM-Stimulated PDE,UMLS
34176,1061,Cyclic Nucleotide Phosphodiesterase PDE1 Family,UMLS
34177,1061,Calmodulin-Dependent cGMP Phosphodiesterase,UMLS
34178,1061,Calmodulin-Dependent Phosphodiesterase,UMLS
34179,1061,Ca++ Calmodulin Dependent Cyclic AMP Phosphodiesterase,UMLS
34180,1061,"Cyclic Nucleotide Phosphodiesterases, Type I",UMLS
34181,1061,Ca CaM Phosphodiesterase,UMLS
34182,1061,"Phosphodiesterase, Calmodulin-Dependent cGMP",UMLS
34183,1061,"Phosphodiesterases, PDE1",UMLS
34184,1061,Calcium Calmodulin Dependent Phosphodiesterase,UMLS
34185,1061,Calmodulin Phosphodiesterase,UMLS
34186,1061,"Cyclic Nucleotide Phosphodiesterases, Type 1",UMLS
34187,1061,Calcium-Calmodulin-Stimulated Cyclic AMP Phosphodiesterase,UMLS
34188,1061,Calmodulin Dependent Phosphodiesterase,UMLS
34189,1061,ConceptWiki:b3290c09-e5e2-4876-b153-cd73bfd3cfc6,CW_XREF
34190,1061,MESH:D054677,MESH_XREF
34191,1062,"Cyclic Nucleotide Phosphodiesterases, Type 2",CONCEPT_WIKI
34192,1062,PDE2 subfamily: phosphodiesterase 2 family,CONCEPT_WIKI
34193,1062,"Phosphodiesterase, Cyclic GMP-Stimulated",CONCEPT_WIKI
34195,1062,Cyclic GMP-Stimulated Phosphodiesterase,CONCEPT_WIKI
34196,1062,Cyclic Nucleotide Phosphodiesterase PDE2 Family,CONCEPT_WIKI
34197,1062,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 002,CONCEPT_WIKI
34198,1062,PDE2 Phosphodiesterases,CONCEPT_WIKI
34199,1062,Cyclic GMP Stimulated Phosphodiesterase,CONCEPT_WIKI
34200,1062,PDE2 Phosphodiesterase,CONCEPT_WIKI
34201,1062,"Phosphodiesterase, Cyclic GMP-Stimulated",UMLS
34202,1062,"Cyclic Nucleotide Phosphodiesterases, Type 2",UMLS
34203,1062,Cyclic GMP-Stimulated Phosphodiesterase,UMLS
34204,1062,Cyclic Nucleotide Phosphodiesterase PDE2 Family,UMLS
34205,1062,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 002,UMLS
34206,1062,PDE2 Phosphodiesterases,UMLS
34207,1062,Cyclic GMP Stimulated Phosphodiesterase,UMLS
34208,1062,PDE2 Phosphodiesterase,UMLS
34209,1062,ConceptWiki:9be13e16-7d07-4ba8-a3d7-9eaa6653497b,CW_XREF
34210,1062,MESH:D054678,MESH_XREF
34211,1063,"Cyclic Nucleotide Phosphodiesterases, Type 3",CONCEPT_WIKI
34212,1063,PDE3 subfamily,CONCEPT_WIKI
34213,1063, phosphodiesterase 3 family,CONCEPT_WIKI
34214,1063,"Phosphodiesterase, cGMP-Inhibited",CONCEPT_WIKI
34215,1063,Cyclic Nucleotide Phosphodiesterase PDE3 Family,CONCEPT_WIKI
34216,1063,Phosphodiesterase III,CONCEPT_WIKI
34217,1063,cGMP Inhibited Phosphodiesterase,CONCEPT_WIKI
34218,1063,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 003,CONCEPT_WIKI
34219,1063,cGMP Inhibited Cyclic Nucleotide Phosphodiesterase,CONCEPT_WIKI
34220,1063,cGMP-Inhibited Phosphodiesterase,CONCEPT_WIKI
34221,1063,cGMP-Inhibited Cyclic Nucleotide Phosphodiesterase,CONCEPT_WIKI
34223,1063,"Phosphodiesterase, cGMP-Inhibited",UMLS
34224,1063,Cyclic Nucleotide Phosphodiesterase PDE3 Family,UMLS
34225,1063,cGMP Inhibited Phosphodiesterase,UMLS
34226,1063,Phosphodiesterase III,UMLS
34227,1063,cGMP Inhibited Cyclic Nucleotide Phosphodiesterase,UMLS
34228,1063,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 003,UMLS
34229,1063,cGMP-Inhibited Phosphodiesterase,UMLS
34230,1063,"Cyclic Nucleotide Phosphodiesterases, Type 3",UMLS
34231,1063,cGMP-Inhibited Cyclic Nucleotide Phosphodiesterase,UMLS
34232,1063,ConceptWiki:030d7a7e-ab44-4370-94f5-f5940aa85ba2,CW_XREF
34233,1063,MESH:D054684,MESH_XREF
34234,1064,"Cyclic Nucleotide Phosphodiesterases, Type 4",CONCEPT_WIKI
34235,1064,PDE4 subfamily,CONCEPT_WIKI
34236,1064, phosphodiesterase 4 family,CONCEPT_WIKI
34237,1064,PDE4 Phosphodiesterases,CONCEPT_WIKI
34238,1064,Phosphodiesterase IV,CONCEPT_WIKI
34239,1064,Phosphodiesterase-4,CONCEPT_WIKI
34240,1064,Phosphodiesterase 4,CONCEPT_WIKI
34241,1064,Cyclic Nucleotide Phosphodiesterase PDE4 Family,CONCEPT_WIKI
34242,1064,"Phosphodiesterases, PDE4",CONCEPT_WIKI
34243,1064,Type 4 Cyclic Nucleotide Phosphodiesterase,CONCEPT_WIKI
34244,1064,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 004,CONCEPT_WIKI
34246,1064,PDE4 Phosphodiesterases,UMLS
34247,1064,Phosphodiesterase-4,UMLS
34248,1064,Phosphodiesterase IV,UMLS
34249,1064,"Phosphodiesterases, PDE4",UMLS
34250,1064,Cyclic Nucleotide Phosphodiesterase PDE4 Family,UMLS
34251,1064,Phosphodiesterase 4,UMLS
34252,1064,Type 4 Cyclic Nucleotide Phosphodiesterase,UMLS
34253,1064,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 004,UMLS
34254,1064,"Cyclic Nucleotide Phosphodiesterases, Type 4",UMLS
34255,1064,ConceptWiki:48dd67d7-0d6d-4a00-8c77-23eb8c0cd5d4,CW_XREF
34256,1064,MESH:D054703,MESH_XREF
34257,1065,"Cyclic Nucleotide Phosphodiesterases, Type 5",CONCEPT_WIKI
34258,1065,PDE5 subfamily,CONCEPT_WIKI
34259,1065, phosphodiesterase 5 family,CONCEPT_WIKI
34260,1065,Phosphodiesterase 5,CONCEPT_WIKI
34262,1065,"Phosphodiesterases, PDE5",CONCEPT_WIKI
34263,1065,Phosphodiesterase V,CONCEPT_WIKI
34264,1065,PDE5 Phosphodiesterases,CONCEPT_WIKI
34265,1065,Phosphodiesterase-5,CONCEPT_WIKI
34266,1065,"cGMP-Binding, cGMP-Specific 3',5'-cyclic Nucleotide Phosphodiesterase",CONCEPT_WIKI
34267,1065,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 005,CONCEPT_WIKI
34268,1065,Phosphodiesterase 5,UMLS
34269,1065,"Cyclic Nucleotide Phosphodiesterases, Type 5",UMLS
34270,1065,Phosphodiesterase V,UMLS
34271,1065,"Phosphodiesterases, PDE5",UMLS
34272,1065,PDE5 Phosphodiesterases,UMLS
34273,1065,Phosphodiesterase-5,UMLS
34274,1065,"cGMP-Binding, cGMP-Specific 3',5'-cyclic Nucleotide Phosphodiesterase",UMLS
34275,1065,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 005,UMLS
34276,1065,ConceptWiki:f960bfb7-4916-4b59-a788-cb12358bbf48,CW_XREF
34277,1065,MESH:D054706,MESH_XREF
34278,1066,"Cyclic Nucleotide Phosphodiesterases, Type 6",CONCEPT_WIKI
34279,1066,PDE6 subfamily,CONCEPT_WIKI
34280,1066, phosphodiesterase 6 family,CONCEPT_WIKI
34281,1066,"Phosphodiesterases, PDE6",CONCEPT_WIKI
34282,1066,Retinal Phosphodiesterase 6,CONCEPT_WIKI
34283,1066,CYCLIC NUCLEOTIDE PHOSPHODIESTERASES TYPE 006,CONCEPT_WIKI
34285,1066,PDE6 Phosphodiesterases,CONCEPT_WIKI
34286,1066,Phosphodiesterase Type 6,CONCEPT_WIKI
