mol_atc_id,level5,molregno
37646,C08CA02,405365
37647,N01AX14,390556
37648,A12AA08,2039177
37649,D07AC01,674327
37650,J05AB03,149095
37651,M04AX02,699376
37652,A03AD01,21716
37653,A06AG10,1246443
37654,D11AX02,503630
37655,M01AX21,61717
37656,V08AB07,674565
37657,H01CC01,236376
37658,G03DB05,1376501
37659,J05AB12,48701
37660,A11HA03,2197598
37661,B03AA11,2039308
37662,H05BA03,675489
37663,G03GA02,1381217
37664,G04BE52,21716
37665,S01BA04,27370
37666,C05AE02,556
37667,B06AA04,675559
37668,S01EB03,675292
37669,A06AH04,6902
37670,J01XD02,222633
37671,S02BA07,674713
37672,C01DA58,556
37673,A16AB10,675814
37674,R01AA10,794330
37675,S01GA02,245084
37676,D07AC01,674335
37677,D06AX11,466768
37678,G04BX06,231062
37679,L01XA01,8633
37680,N01BA01,1383399
37681,N02AA01,6005
37682,J01XX03,900489
37683,N02CA72,2203
37684,S02BA06,1337005
37685,D06AX14,2197918
37686,R02AA13,1299052
37687,A05AX03,1078503
37688,N07XX59,77456
37689,S02DA03,26820
37690,A03AX01,79345
37691,A03AB08,675305
37692,N03AD02,49869
37693,R01AD58,401141
37694,A14AA09,1078594
37695,D01AC18,1377959
37696,L04AA27,144940
37697,D07AA01,27575
37698,H03BX01,698819
37699,N05AL02,25760
37700,N05CF03,421332
37701,R03BA04,419410
37702,R06AX58,1078598
37703,J01BA52,698632
37704,J05AB06,365284
37705,N05AB05,1078601
37706,J01DE03,712632
37707,R01BA02,454076
37708,R03BA05,401141
37709,A12CC07,2039273
37710,A14AB01,674897
37711,A07XA51,1380440
37712,D07XC05,421059
37713,J01XE51,16592
37714,J06BB17,1121913
37715,S01AX08,28516
37716,G01AX03,1379207
37717,J05AX10,519284
37718,L01BC03,24522
37719,L01XX07,706025
37720,J01CE08,2197386
37721,J01MB04,37731
37722,C04AB02,43448
37723,R06AD06,1383575
37724,S01AD09,365284
37725,G03GA01,675623
37726,N07XX02,38898
37727,L04AA19,430481
37728,A08AA02,139434
37729,D08AK06,445859
37730,V03AE09,1380106
37731,J01DC03,180228
37732,A11HA31,1241920
37733,A07EA02,439720
37734,G01AX15,2039182
37735,D08AK05,2039359
37736,J05AB02,47675
37737,N05CD13,1377196
37738,N05CM08,19469
37739,N04BD01,96021
37740,J05AP05,451744
37741,R03DX10,1121862
37742,C05CA04,1671611
37743,A10BB01,5582
37744,A01AB23,371561
37745,L01XE25,1376145
37746,J05AX08,422253
37747,P01AX11,338934
37748,P01AX52,77129
37749,L01XE08,426660
37750,A06AB03,82895
37751,A06AD16,30180
37752,M01AB17,153408
37753,A07EC02,33202
37754,R05DB04,1377272
37755,S01FA56,674555
37756,J01AA56,421157
37757,J05AD01,27780
37758,C10AX09,175106
37759,S02BA07,674327
37760,B01AB08,1380152
37761,C01CA15,2197602
37762,A11CC04,63252
37763,S01EB10,30435
37764,V03AB23,20881
37765,R06AD52,27368
37766,D03BA52,1380975
37767,H04AA01,675501
37768,A03AB05,654675
37769,A03AB10,675276
37770,N07BB03,675244
37771,N02BB05,837060
37772,C01BA01,675468
37773,V09CX01,674390
37774,D07AA03,27370
37775,J04AB05,497291
37776,L01XC09,1380847
37777,A02BX71,454298
37778,J01DD10,1376034
37779,L01XC12,1121865
37780,A04AA02,54547
37781,N02BB51,26820
37782,B02BD30,1380376
37783,J01DB06,1379906
37784,C10AB08,563655
37785,M01AC01,11968
37786,N05CM07,675268
37787,G03XC04,258826
37788,J01AA08,371561
37789,L03AX09,261203
37790,B03AA01,2039179
37791,V06DC02,604844
37792,V08AA05,1379509
37793,V09XX02,1376651
37794,R05DB24,1240077
37795,S01XA15,443348
37796,V09AX01,675204
37797,J01FA16,694860
37798,A03AB13,1223032
37799,J06BB04,1380778
37800,A14AA03,842060
37801,A01AB18,13494
37802,J01FA14,1378673
37803,P02CA06,51961
37804,S01BC01,173
37805,A03AA06,1377642
37806,A03AB17,1377067
37807,C07AG02,36662
37808,C08CA55,419596
37809,N06AX05,26401
37810,V04CH04,2197305
37811,J04AK07,374006
37812,D06BA04,204115
37813,G03BA03,190629
37814,J05AF12,496771
37815,J01GB08,371527
37816,N05BA03,34350
37817,S01CB04,674335
37818,L01XX35,42290
37819,J01XX07,878794
37820,H03BA01,754472
37821,M09AB52,1381087
37822,C01AA01,1926906
37823,S03AA08,27340
37824,S01ED51,8531
37825,A10BJ03,1380602
37826,G03AC03,328164
37827,A16AX12,22956
37828,J01XX04,189099
37829,C04AE51,1510461
37830,G01AF11,255904
37831,R01AD02,27370
37832,M03BX30,1078531
37833,N01AB05,16971
37834,C09AA14,1383067
37835,L02BG02,217341
37836,R02AA16,661367
37837,R03DC03,47447
37838,D01AE24,353270
37839,M03AC10,101924
37840,R03BB05,562404
37841,B01AB11,1380352
37842,C01AA09,1376229
37843,V08CA08,674522
37844,D06AX05,674509
37845,D08AJ57,673430
37846,H05BA01,675410
37847,L01XX16,365276
37848,N01AH06,111871
37849,N02AB02,22528
37850,N06AB03,2223
37851,D01AC17,568124
37852,A16AA02,621368
37853,B01AB01,675473
37854,R07AX01,674640
37855,V09GA04,1380159
37856,M01AE07,93117
37857,N07BA01,115
37858,A11DA03,1672840
37859,G02CB04,1449134
37860,A03AB15,675291
37861,N05AD01,674937
37862,N05BA14,685194
37863,R05DB15,1377767
37864,N05AL05,389011
37865,L01XX25,119498
37866,L01XX29,675367
37867,M01AE04,255534
37868,R02AA01,1376032
37869,A14AA02,1363818
37870,J01CE10,820061
37871,A02AD03,2096441
37872,A16AX13,1379651
37873,C05CA54,1671611
37874,J01DD01,558106
37875,D11AC09,1383335
37876,C03CX01,453487
37877,A01AB16,2197764
37878,V08CB01,675603
37879,S02AA07,2197622
37880,D07AD01,641189
37881,J04AD02,359952
37882,J04AK01,23522
37883,N04BX02,92412
37884,N03AG04,141484
37885,D07XB01,675343
37886,J07AH07,1381061
37887,M05BX04,699374
37888,M01AG03,29860
37889,A02BA01,1620
37890,A03BA03,755100
37891,A07AA07,8873
37892,C05CX01,1763652
37893,J01DB04,371631
37894,R03DA51,581819
37895,A10BH03,1376015
37896,A08AA07,835925
37897,R05DA12,1606408
37898,J04AA02,674917
37899,V03AF09,1204086
37900,B01AC23,50440
37901,R06AA02,27629
37902,L01XX11,453536
37903,J07BE01,1381467
37904,N06AA16,916384
37905,C01DA09,1383604
37906,R05CB09,1377314
37907,H02AB09,150313
37908,J01GB03,1592408
37909,J01MA10,70795
37910,D01AC10,16973
37911,M02AA05,9913
37912,S01XA13,675431
37913,H02AB01,674713
37914,N05BA10,1376626
37915,J01EB06,1159
37916,J01EC03,1377669
37917,J01ED08,153330
37918,C01CX07,122859
37919,C01AA08,1078592
37920,A16AX07,675725
37921,L01XC19,1121863
37922,V03AF08,675772
37923,J01FA09,570147
37924,N02AA05,27624
37925,A03AB18,685195
37926,C05AA05,27152
37927,C01BA71,255477
37928,A08AB01,293438
37929,V03AF05,112480
37930,P01BA03,10389
37931,P01BB51,320522
37932,B02BX04,675783
37933,C04AD03,27029
37934,A01AC02,954312
37935,V06DC01,688684
37936,V08AB05,554800
37937,D08AK03,798244
37938,N01BB54,208749
37939,D06AA01,454084
37940,H02AB02,365281
37941,N05BA02,2431
37942,L04AC02,675419
37943,V03AB20,21741
37944,A07AA09,70140
37945,C09CA06,116349
37946,N05CA01,2327
37947,D08AF01,70239
37948,G04BE03,410802
37949,N01BA05,16735
37950,M01AB06,150722
37951,C01DX09,1376552
37952,A10AE01,675534
37953,P03AC01,1381032
37954,S01ED52,1354
37955,D01AE22,26722
37956,C02CA04,33373
37957,N06AB07,53118
37958,N06BA09,27342
37959,A16AA05,675731
37960,C01DA07,454015
37961,A08AA04,421350
37962,G03XB51,712273
37963,C01DA04,2039180
37964,L01XE13,650126
37965,V09BA01,674366
37966,D05AX02,674617
37967,L01XC03,675581
37968,D10BA01,13928
37969,N02BA59,875057
37970,N02BA09,875057
37971,S02BA01,374052
37972,C04AC03,625642
37973,L04AC09,1121866
37974,R07AB52,1376877
37975,C08CA12,1376031
37976,H02AB03,421059
37977,C09AA08,453655
37978,N06AF05,150743
37979,N05BC51,99389
37980,N01BA52,16581
37981,N03AX11,366279
37982,C01CA10,11775
37983,A10BF01,448986
37984,A11CA01,104574
37985,L01XX42,499179
37986,D07XC03,187696
37987,H01CB04,1376245
37988,N05AH03,34197
37989,C05BX51,1378461
37990,C07AB12,27569
37991,M02AA16,876580
37992,M02AA21,118617
37993,C01BA05,1377887
37994,M02AX05,171866
37995,J01EA03,221924
37996,J01MB07,321737
37997,L03AB02,1380776
37998,N04BC02,12494
37999,N02BA16,1377058
38000,N02BB54,35538
38001,A02AB05,2039306
38002,R06AD09,1383506
38003,S01FA03,370289
38004,J05AX19,70039
38005,L01AD08,418344
38006,L01XE47,1383172
38007,L04AA38,2039218
38008,N07XX13,1540511
38009,S01EX06,2039216
38010,N04BX04,622408
38011,B01AX07,1382064
38012,B02BX07,1380101
38013,B03XA05,1528018
38014,L01XE42,2039237
38015,R07AB07,657667
38016,V08CA10,1451123
38017,S01BA09,1508315
38018,B05XA08,304383
38019,N02BA12,2039313
38020,S01AE04,16278
38021,N02AC52,27576
38022,P01CB02,1363930
38023,D11AX23,988275
38024,C10AA03,178796
38025,R06AX21,1376715
38026,H01CA02,675260
38027,P01AX02,77129
38028,C09XA02,480746
38029,C10AX02,22641
38030,J01XE01,16592
38031,C10AA07,418845
38032,N02BG08,1158403
38033,B03AB02,674774
38034,S01LA02,1378883
38035,G03XB01,712273
38036,J05AF08,83515
38037,P02CA05,878830
38038,A03FA05,57186
38039,N04AA12,1379564
38040,N02BB52,2197674
38041,R01BA53,219334
38042,R02AA18,28516
38043,R02AX01,16308
38044,D08AK01,2039201
38045,R01AB02,42468
38046,R06AX05,258709
38047,D07AB01,1508315
38048,H03BC01,674647
38049,G02CA01,138594
38050,G03GA03,1381415
38051,P01BE04,88317
38052,M02AA12,51056
38053,S01EC54,366278
38054,S01AD08,675630
38055,V09IX04,622931
38056,H05AA03,1380344
38057,J01AA04,1376199
38058,N04BX03,214408
38059,C09CA08,674643
38060,S02BA07,27152
38061,C01AC03,1064522
38062,A03AX06,2039272
38063,S01AA24,325239
38064,V03AX02,438664
38065,J05AD02,81347
38066,L01BC06,598447
38067,N05AD09,90386
38068,N05CH02,221962
38069,N06BX18,110947
38070,N04BC07,3854
38071,A04AD05,421100
38072,A02AB04,2039173
38073,V08AC04,646449
38074,D03BA03,1381293
38075,J01AA07,373985
38076,N07CA01,32459
38077,J01GB07,453520
38078,L01CX01,493099
38079,M03BX01,32869
38080,D01AA02,674607
38081,D01AC60,16973
38082,M03AC08,1078584
38083,N05CM06,675161
38084,N02BB74,35538
38085,B05CB04,304381
38086,C01DX19,675413
38087,R05DB16,1205705
38088,B03AA08,2039357
38089,L01XC18,1626777
38090,S01HA02,209594
38091,S01JA51,2335038
38092,S01LA04,675776
38093,D08AX05,17025
38094,S01CB03,374052
38095,C02BA01,675280
38096,D01AE08,1376184
38097,N05CM15,453505
38098,N06DX01,52523
38099,R03CC12,453827
38100,B05CA05,1377690
38101,A10AD02,675451
38102,S03BA03,27152
38103,R05DB05,117805
38104,J05AF07,430522
38105,N01AX05,320240
38106,D08AX06,2096356
38107,B03BA04,2096410
38108,N03AX10,150451
38109,L03AX17,699375
38110,R06AE53,27546
38111,J01CG01,194
38112,N05CD07,95909
38113,N05CX01,99389
38114,N06AX15,1211367
38115,N03AX13,1379332
38116,R01BA01,94091
38117,J01MA14,1788
38118,D01AA03,1380469
38119,B05CA08,1533104
38120,A10BH04,377721
38121,N06BX12,1078496
38122,N05AB01,1753620
38123,G03DC31,1379071
38124,L01DB01,78759
38125,J01DD17,573177
38126,J01DD05,675175
38127,M01AX23,1248726
38128,R03DA11,951492
38129,B06AC03,675788
38130,V03AE07,674751
38131,C05AA12,381691
38132,P03AC03,746768
38133,G04BD04,229058
38134,L01AD03,10881
38135,L01DB07,4504
38136,A02AB01,674657
38137,N05CA09,487855
38138,G03AC10,421032
38139,S01AB02,2484
38140,V08AB09,674458
38141,S01GX06,19712
38142,P02CF01,674584
38143,N05AF02,2197763
38144,N01AH04,1377655
38145,N01BX04,91783
38146,N02AA08,454306
38147,N06BX13,418736
38148,N03AB05,675287
38149,R03BA02,313314
38150,B03AB01,2039255
38151,C10AX11,1449347
38152,S01ED55,62182
38153,J07AM51,1381141
38154,D01BA01,16303
38155,B01AD03,1380516
38156,R05DB23,2039341
38157,R06AX01,515843
38158,S01AA01,420999
38159,S02DA01,6723
38160,R06AB52,675304
38161,S01GX02,1038389
38162,D07AA03,182546
38163,N05AA05,16584
38164,S01BA06,674327
38165,L01XX14,2208
38166,A01AD08,675377
38167,A02BA51,1620
38168,A07AA04,334866
38169,J01CE07,1378818
38170,M02AA08,151923
38171,P03BA03,1017450
38172,L01XE24,649637
38173,C08CA01,418414
38174,G01AF16,1349963
38175,G03GB03,1378506
38176,L04AA23,675488
38177,A12BA51,674682
38178,D03BA01,1381087
38179,G02CX01,332615
38180,P02BX04,630539
38181,L01XE09,675133
38182,L02AA04,674549
38183,M01AC05,993371
38184,N06AA23,176016
38185,N06AB06,53616
38186,A02AA03,2039269
38187,P01BC02,51162
38188,A02AA02,674523
38189,A06AB05,1381271
38190,N05CF04,421334
38191,N06AF01,675119
38192,S01FA54,675289
38193,L04AA28,1121861
38194,R06AD08,1377004
38195,S01AA19,305519
38196,V08AA04,675251
38197,R01AD03,954312
38198,M01AX05,470033
38199,G03DB03,1379095
38200,N05AN01,674777
38201,A04AD51,579689
38202,N06AA06,27385
38203,B05CB03,2197351
38204,N07XX11,454365
38205,N02AB03,19915
38206,B01AA09,33773
38207,L04AX06,63100
38208,N05CD01,95929
38209,R06AA57,418482
38210,D07AB04,1377357
38211,D07AC09,313314
38212,N05AB02,674805
38213,J02AA02,1380469
38214,L01XE16,602271
38215,B05AA08,1381228
38216,J05AP08,708075
38217,R02AX03,9913
38218,J01DC08,674561
38219,N02CC02,250297
38220,B01AA10,837083
38221,J01FG02,1627024
38222,L01XE22,1248752
38223,V03AH01,364859
38224,G01AD01,674510
38225,D06BB01,47675
38226,R01AC06,1046689
38227,L04AA21,675481
38228,A02AA05,1381399
38229,D01AC13,1349963
38230,D11AX11,13329
38231,C02AA52,43952
38232,C02DB02,8788
38233,A16AX08,1377257
38234,N02BA06,255532
38235,A12CC10,674523
38236,B01AD11,1381057
38237,C04AX10,265957
38238,A07EA04,674327
38239,A02BC07,1038220
38240,R01AA11,204823
38241,L03AX04,675668
38242,S01CB03,439720
38243,M04AA02,193277
38244,L04AC05,675786
38245,A03AA08,1383352
38246,N06AF03,148018
38247,N02BG07,418485
38248,R03BA04,674335
38249,C05AA04,674860
38250,C01BD05,12608
38251,D08AX53,13616
38252,V03AB14,675563
38253,V09CA02,674748
38254,L02AA02,675467
38255,N01AH51,19915
38256,A01AC03,439720
38257,C02CC04,282577
38258,L02BX01,237298
38259,N02BA57,907761
38260,R03AC07,675164
38261,R03CC04,49226
38262,C03DB02,17411
38263,L01XC21,1121933
38264,V03AB13,509670
38265,V03AB25,635
38266,D06AX08,577826
38267,L03AX16,20346
38268,J01GB06,333157
38269,L01CC01,138150
38270,L01XE03,14785
38271,A05AX01,1377501
38272,J01DD12,508755
38273,A11HA07,688685
38274,L01XC17,1381004
38275,D06BA06,2130
38276,S01BA06,27152
38277,N01BB03,147981
38278,B05XB02,2039337
38279,M02AA03,2096442
38280,G01AA04,674598
38281,N06BA04,49842
38282,R03DA09,1378930
38283,B01AD10,1381331
38284,C03BA03,785231
38285,R01AX01,2039419
38286,R03DA54,381693
38287,A07AA05,2197609
38288,D10AD01,2208
38289,V03AE01,675556
38290,R06AX16,1277569
38291,A12AA13,1378393
38292,D07XB04,674551
38293,G03DB07,328172
38294,J05AB15,42503
38295,M01AE53,16591
38296,A07AA01,2197622
38297,C09XA01,42751
38298,C10AA05,417180
38299,N05CM03,939495
38300,N07BB01,94571
38301,G02CX02,388819
38302,V04CK01,1592393
38303,J05AF01,27307
38304,N06DA04,27639
38305,B03XA04,1285395
38306,R07AB04,692258
38307,R06AC02,1377309
38308,J01MA02,241
38309,N05AX12,155006
38310,N01AX13,696929
38311,A04AD54,863857
38312,A16AB09,675777
38313,C01BD01,27185
38314,C01CA04,4584
38315,R06AA10,675207
38316,B01AA12,33810
38317,S01EB09,27812
38318,R07AB09,1376732
38319,D06AA02,438486
38320,D06AX07,1592408
38321,D07XB01,674828
38322,J01CA16,705726
38323,D10AE51,674321
38324,S02BA07,674489
38325,C05AA01,439720
38326,G01AF19,675147
38327,N06AA03,1037650
38328,N06BX22,137495
38329,R06AE55,469632
38330,D07AC01,674713
38331,H01AC04,675506
38332,N07CA52,66311
38333,R01AD09,187696
38334,H01AC01,675591
38335,D07XA02,182546
38336,N06BA08,1377177
38337,C05AA05,674713
38338,G04CA01,33667
38339,G03DA03,674799
38340,C03CC01,2654
38341,V03AF06,2039231
38342,R05CB07,463381
38343,L01XX49,435188
38344,S02AA09,48849
38345,J04AA01,190484
38346,J01GA02,2096389
38347,A12CB02,2096428
38348,L01XX52,1626740
38349,J01DE02,104846
38350,J01CA15,1042736
38351,S02AA14,1592408
38352,C01DX18,663100
38353,A01AB08,2197622
38354,V04CC01,513323
38355,L01AB01,56644
38356,N02AX02,699395
38357,A02BA53,78303
38358,A03AB11,1383388
38359,A06AX03,675085
38360,A11HA04,429204
38361,A16AX14,178290
38362,M09AX07,1763534
38363,C03CC02,2819
38364,C04AX20,316539
38365,C04AX28,104385
38366,S02AA08,373985
38367,D07AB06,674551
38368,D05AX05,495572
38369,J01AA11,1378341
38370,G03CA53,27626
38371,P02BA02,63445
38372,M03CA01,675239
38373,N01BX02,675168
38374,N07BC03,421070
38375,L04AC08,675785
38376,A06AG02,88841
38377,L02BB03,717
38378,R03AB02,1994
38379,A06AX04,1763646
38380,L01XX43,460092
38381,B03BB51,469217
38382,S01AA09,373985
38383,R01AC08,663382
38384,N01BB04,208749
38385,A03BB02,661674
38386,S01AD05,1380760
38387,A10BK03,1380100
38388,S02AA12,398458
38389,V04CD04,1380448
38390,S01EC05,1124
38391,D07AC08,419542
38392,D08AJ02,657555
38393,P02BX01,46656
38394,R01AD11,674400
38395,A06AX07,1376137
38396,N05BA21,1078501
38397,C03BA13,1378456
38398,A03AB53,675237
38399,C07AA12,27570
38400,D01AE05,1380801
38401,D11AX08,60268
38402,M02AA14,598869
38403,N05CH03,1376092
38404,R05CB14,1379242
38405,S01AD02,169321
38406,D07AC19,675700
38407,L01XX33,18694
38408,M01AX17,85553
38409,C05BB04,674305
38410,D01AC11,242303
38411,N06AA12,1051118
38412,N02CX03,2335078
38413,A10BB31,454070
38414,J01AA09,699397
38415,G02AD02,14125
38416,P02CE01,384948
38417,S01CB05,674551
38418,L02AE01,1383264
38419,D10AD53,244450
38420,D10AE01,674321
38421,N05CM18,44905
38422,N07BC01,446784
38423,S02BA01,150313
38424,A10AE02,675451
38425,H01BB03,1763639
38426,J01FF01,581843
38427,A03AB03,675237
38428,C10AA04,1450253
38429,D01AC02,8917
38430,N03AX16,136161
38431,L01XE18,1153572
38432,V09DA03,674614
38433,C02KX04,1376143
38434,A09AB03,694171
38435,R05CB02,418419
38436,R05CB15,1078508
38437,V08CA04,674544
38438,L01BA05,675697
38439,R01AC07,39540
38440,M05BA03,60401
38441,J01MA16,1712
38442,N04AC01,675154
38443,A12CD01,426045
38444,D03AX09,1380449
38445,L01DC04,675703
38446,P02CA03,406787
38447,N05AA03,16391
38448,R01AX02,104574
38449,A07AA54,334866
38450,J01CE02,24806
38451,B03BA03,1376007
38452,L01XX47,1448219
38453,A03AB01,1383228
38454,H01AA01,675393
38455,V04CF01,1380427
38456,B03XA04,1380132
38457,C05AD06,209074
38458,B03AA05,1672995
38459,S01EX01,43086
38460,H02AB01,419410
38461,G04BE06,265957
38462,L02AA03,31241
38463,N06AX14,715513
38464,A16AB03,1380480
38465,R06AD07,112175
38466,G03XB02,1376116
38467,D05AD02,1063
38468,G03GA05,675667
38469,J07AC01,1380839
38470,L04AB06,675784
38471,N06AX10,1379266
38472,R03BA06,674829
38473,A10AE04,675383
38474,D03AX01,1381204
38475,D07XC01,674489
38476,H01AC02,675381
38477,G04BD11,675715
38478,J04BA02,126356
38479,L01BC52,368538
38480,N01BB02,6723
38481,R01AD11,381691
38482,M01AB04,23001
38483,R03DX02,1379961
38484,R01AD07,1379382
38485,L04AC04,675781
38486,B05XA14,1592385
38487,P03BX05,295525
38488,V03AC02,112090
38489,N05AB02,36842
38490,D08AA01,1533104
38491,J04AB01,43740
38492,L01CB02,453046
38493,N05AX08,7714
38494,N06BC01,16485
38495,N04AA09,624137
38496,B05CA09,2197622
38497,V10XA02,1038730
38498,N03AX21,61945
38499,D08AX08,13618
38500,J04BA03,674531
38501,L01CD02,1927101
