tissue_id,uberon_id,pref_name,efo_id,chembl_id,bto_id,caloha_id
978,UBERON:0000978,Leg,,CHEMBL3987807,,
979,UBERON:0000979,Tibia,,CHEMBL3988005,,
981,UBERON:0000981,Femur,UBERON:0000981,CHEMBL3638194,BTO:0001284,TS-0322
988,UBERON:0000988,Pons,UBERON:0000988,CHEMBL3638195,BTO:0001101,TS-0813
991,UBERON:0000991,Gonad,,CHEMBL3833889,,
992,UBERON:0000992,Female gonad,,CHEMBL3638196,BTO:0000975,TS-0730
993,UBERON:0000993,Oviduct,,CHEMBL3987884,,
995,UBERON:0000995,Uterus,UBERON:0000995,CHEMBL3638197,BTO:0001424,TS-1102
996,UBERON:0000996,Vagina,,CHEMBL3833181,,
998,UBERON:0000998,Seminal vesicle,,CHEMBL3987572,,
1000,UBERON:0001000,Vas deferens,UBERON:0001000,CHEMBL3638198,BTO:0001427,TS-1105
1002,UBERON:0001002,Cuticle,,CHEMBL3987702,,
1003,UBERON:0001003,Skin epidermis,EFO:0000954,CHEMBL4295321,BTO:0000404,TS-0283
1004,UBERON:0001004,Respiratory system,,CHEMBL3987938,,
1009,UBERON:0001009,Circulatory system,,CHEMBL3987682,,
1011,UBERON:0001011,Hemolymph,,CHEMBL3638199,BTO:0000572,
1013,UBERON:0001013,Adipose tissue,UBERON:0001013,CHEMBL3638200,BTO:0001487,TS-0013
1016,UBERON:0001016,Nervous system,,CHEMBL3987862,,
1017,UBERON:0001017,Central nervous system,,CHEMBL3987606,,
1021,UBERON:0001021,Nerve,,CHEMBL3987860,,
1040,UBERON:0001040,Yolk sac,,CHEMBL3988051,,
1043,UBERON:0001043,Esophagus,,CHEMBL3987732,,
1044,UBERON:0001044,Salivary gland,,CHEMBL3833901,,
1045,UBERON:0001045,Midgut,,CHEMBL3987843,,
1049,UBERON:0001049,Neural tube,,CHEMBL3987864,,
1052,UBERON:0001052,Rectum,,CHEMBL3987932,,
1066,UBERON:0001066,Intervertebral disk,,CHEMBL3987785,,
1087,UBERON:0001087,Pleural fluid,,CHEMBL3987914,,
1088,UBERON:0001088,Urine,UBERON:0001088,CHEMBL3638201,BTO:0001419,TS-1092
1090,UBERON:0001090,Synovial fluid,,CHEMBL3987990,,
1097,UBERON:0001097,Axillary lymph node,,CHEMBL3987647,,
1103,UBERON:0001103,Diaphragm,,CHEMBL3987708,,
1113,UBERON:0001113,Liver lobe,,CHEMBL3988241,,
1132,UBERON:0001132,Parathyroid gland,,CHEMBL3987892,,
1134,UBERON:0001134,Skeletal muscle tissue,,CHEMBL3987962,,
1135,UBERON:0001135,Smooth muscle tissue,,CHEMBL3987967,,
1137,UBERON:0001137,Dorsum,,CHEMBL3987714,,
1143,UBERON:0001143,Hepatic vein,,CHEMBL3987763,,
1145,UBERON:0001145,Ovarian vein,,CHEMBL3987883,,
1153,UBERON:0001153,Caecum,,CHEMBL3833888,,
1155,UBERON:0001155,Colon,UBERON:0001155,CHEMBL3638202,BTO:0000269,TS-0158
1159,UBERON:0001159,Sigmoid colon,,CHEMBL3987957,,
1166,UBERON:0001166,Pylorus,,CHEMBL3987930,,
1179,UBERON:0001179,Peritoneal cavity,,CHEMBL3987903,,
1184,UBERON:0001184,Renal artery,,CHEMBL3987935,,
1194,UBERON:0001194,Splenic artery,,CHEMBL3987975,,
1199,UBERON:0001199,Gastric mucosa,,CHEMBL3987583,,
1235,UBERON:0001235,Adrenal cortex,UBERON:0001235,CHEMBL3638203,BTO:0000045,TS-0015
1236,UBERON:0001236,Adrenal medulla,UBERON:0001236,CHEMBL3638204,BTO:0000049,TS-0018
1242,UBERON:0001242,Intestinal mucosa,,CHEMBL3987786,,
1255,UBERON:0001255,Urinary bladder,UBERON:0001255,CHEMBL3638205,BTO:0001418,TS-1090
1264,UBERON:0001264,Pancreas,UBERON:0001264,CHEMBL3638206,BTO:0000988,TS-0736
1268,UBERON:0001268,Peritoneal fluid,UBERON:0001268,CHEMBL3638207,BTO:0001031,
1279,UBERON:0001279,Portal triad,,CHEMBL3987918,,
1287,UBERON:0001287,Proximal convoluted tubule,,CHEMBL3987921,,
1295,UBERON:0001295,Endometrium,,CHEMBL3987724,,
1296,UBERON:0001296,Myometrium,UBERON:0001296,CHEMBL3638208,BTO:0000907,TS-0652
1301,UBERON:0001301,Epididymis,,CHEMBL3987729,,
1305,UBERON:0001305,Ovarian follicle,UBERON:0001305,CHEMBL3638209,BTO:0000475,TS-0726
1310,UBERON:0001310,Umbilical artery,,CHEMBL3988018,,
1322,UBERON:0001322,Sciatic nerve,UBERON:0001322,CHEMBL3638210,BTO:0001221,TS-0899
1323,UBERON:0001323,Tibial nerve,,CHEMBL3988006,,
1326,UBERON:0001326,Levator ani muscle,,CHEMBL3987809,,
1347,UBERON:0001347,White adipose tissue,,CHEMBL3987565,,
1348,UBERON:0001348,Brown adipose tissue,UBERON:0001348,CHEMBL3638211,BTO:0000156,TS-0099
1353,UBERON:0001353,Anal region,,CHEMBL3987632,,
1359,UBERON:0001359,Cerebrospinal fluid,UBERON:0001359,CHEMBL3638212,BTO:0000237,TS-0130
1361,UBERON:0001361,Femoral vein,,CHEMBL3638213,,
1375,UBERON:0001375,Semitendinosus,,CHEMBL3987954,,
1385,UBERON:0001385,Tibialis anterior,,CHEMBL3988008,,
1386,UBERON:0001386,Extensor digitorum longus,,CHEMBL3987735,,
1388,UBERON:0001388,Gastrocnemius,,CHEMBL3987748,,
1389,UBERON:0001389,Soleus muscle,,CHEMBL3987969,,
1393,UBERON:0001393,Auditory cortex,,CHEMBL3987645,,
1438,UBERON:0001438,Metaphysis,,CHEMBL3987839,,
1443,UBERON:0001443,Chest,,CHEMBL3987678,,
1456,UBERON:0001456,Face,,CHEMBL3987738,,
1460,UBERON:0001460,Arm,,CHEMBL3987640,,
1464,UBERON:0001464,Hip,,CHEMBL3987767,,
1465,UBERON:0001465,Knee,,CHEMBL3987790,,
1467,UBERON:0001467,Shoulder,,CHEMBL3987956,,
1474,UBERON:0001474,Bone element,UBERON:0001474,CHEMBL3638214,,TS-0088
1485,UBERON:0001485,Knee joint,,CHEMBL3987791,,
1488,UBERON:0001488,Ankle joint,,CHEMBL3987634,,
1515,UBERON:0001515,Thoracic aorta,UBERON:0001515,CHEMBL3638215,BTO:0000157,
1543,UBERON:0001543,Popliteal lymph node,,CHEMBL3987915,,
1555,UBERON:0001555,Digestive tract,,CHEMBL3987710,,
1557,UBERON:0001557,Upper respiratory tract,,CHEMBL3988022,,
1558,UBERON:0001558,Lower respiratory tract,,CHEMBL3987821,,
1567,UBERON:0001567,Cheek,,CHEMBL3987676,,
1621,UBERON:0001621,Coronary artery,,CHEMBL3987691,,
1627,UBERON:0001627,Middle cerebral artery,,CHEMBL3987842,,
1633,UBERON:0001633,Basilar artery,,CHEMBL3987651,,
1637,UBERON:0001637,Artery,UBERON:0001637,CHEMBL3638216,BTO:0000573,TS-0054
1638,UBERON:0001638,Vein,,CHEMBL3988034,,
1639,UBERON:0001639,Hepatic portal vein,,CHEMBL3638217,,
1640,UBERON:0001640,Celiac artery,,CHEMBL3987669,,
1675,UBERON:0001675,Trigeminal ganglion,,CHEMBL3988013,,
1690,UBERON:0001690,Ear,,CHEMBL3987716,,
1705,UBERON:0001705,Nail,,CHEMBL3987853,,
1707,UBERON:0001707,Nasal cavity,,CHEMBL3987855,,
1709,UBERON:0001709,Upper jaw region,,CHEMBL3988021,,
1710,UBERON:0001710,Lower jaw region,,CHEMBL3987819,,
1711,UBERON:0001711,Eyelid,,CHEMBL3987737,,
1723,UBERON:0001723,Tongue,,CHEMBL3988011,,
1728,UBERON:0001728,Nasopharynx,,CHEMBL3987856,,
1736,UBERON:0001736,Submandibular gland,,CHEMBL3987981,,
1737,UBERON:0001737,Larynx,,CHEMBL3987798,,
1751,UBERON:0001751,Dentine,,CHEMBL3987705,,
1757,UBERON:0001757,Pinna,,CHEMBL3987907,,
1759,UBERON:0001759,Vagus nerve,,CHEMBL3988030,,
1768,UBERON:0001768,Uveal tract,,CHEMBL3833902,,
1769,UBERON:0001769,Iris,,CHEMBL3987788,,
1771,UBERON:0001771,Pupil,,CHEMBL3987928,,
1773,UBERON:0001773,Sclera,,CHEMBL3638218,BTO:0001606,
1775,UBERON:0001775,Ciliary body,,CHEMBL3987681,,
1780,UBERON:0001780,Spinal nerve,,CHEMBL3987973,,
1796,UBERON:0001796,Aqueous humor of eyeball,,CHEMBL3987585,,
1797,UBERON:0001797,Vitreous humor,,CHEMBL3988048,,
1802,UBERON:0001802,Posterior segment of eyeball,,CHEMBL4296341,,
1811,UBERON:0001811,Conjunctiva,,CHEMBL3987689,,
1812,UBERON:0001812,Palpebral conjunctiva,,CHEMBL3987887,,
1817,UBERON:0001817,Lachrymal gland,,CHEMBL3987586,,
1821,UBERON:0001821,Sebaceous gland,,CHEMBL3987950,,
1823,UBERON:0001823,Nasal cartilage,,CHEMBL3987854,,
1831,UBERON:0001831,Parotid gland,,CHEMBL3987895,,
1833,UBERON:0001833,Lip,,CHEMBL3987814,,
1835,UBERON:0001835,Lower lip,,CHEMBL3987820,,
1836,UBERON:0001836,Saliva,,CHEMBL3987604,,
1851,UBERON:0001851,Cortex,UBERON:0001851,CHEMBL3638219,,
1866,UBERON:0001866,Sebum,,CHEMBL3987951,,
1870,UBERON:0001870,Frontal cortex,UBERON:0001870,CHEMBL3638220,BTO:0000484,TS-0389
1871,UBERON:0001871,Temporal lobe,,CHEMBL3987999,,
1872,UBERON:0001872,Parietal lobe,,CHEMBL3987894,,
1873,UBERON:0001873,Caudate nucleus,UBERON:0001873,CHEMBL3638221,BTO:0000211,TS-0121
1874,UBERON:0001874,Putamen,UBERON:0001874,CHEMBL3638222,,TS-2041
1875,UBERON:0001875,Globus pallidus,,CHEMBL3987754,,
1876,UBERON:0001876,Amygdala,,CHEMBL3987566,,
1881,UBERON:0001881,Calleja island,,CHEMBL4296344,,
1882,UBERON:0001882,Nucleus accumbens,,CHEMBL3987871,,
1883,UBERON:0001883,Olfactory tubercle,,CHEMBL3987877,,
1884,UBERON:0001884,Phrenic nerve,,CHEMBL3638223,BTO:0001063,
1886,UBERON:0001886,Choroid plexus,,CHEMBL3987679,,
1890,UBERON:0001890,Forebrain,,CHEMBL3987605,,
1891,UBERON:0001891,Midbrain,UBERON:0001891,CHEMBL3638224,BTO:0000138,TS-0630
1892,UBERON:0001892,Rhombomere,,CHEMBL3987941,,
1893,UBERON:0001893,Cerebrum,UBERON:0001893,CHEMBL3638225,BTO:0000239,TS-1018
1896,UBERON:0001896,Medulla oblongata,UBERON:0001896,CHEMBL3638226,BTO:0000041,TS-0607
1898,UBERON:0001898,Hypothalamus,UBERON:0001898,CHEMBL3638227,BTO:0000614,TS-0469
1904,UBERON:0001904,Habenula,,CHEMBL3987759,,
1911,UBERON:0001911,Mammary gland,,CHEMBL3987829,,
1913,UBERON:0001913,Milk,,CHEMBL3987421,,
1926,UBERON:0001926,Lateral geniculate body,,CHEMBL3987800,,
1927,UBERON:0001927,Medial geniculate body,,CHEMBL3987831,,
1946,UBERON:0001946,Inferior colliculus,,CHEMBL3987776,,
1947,UBERON:0001947,Red nucleus,,CHEMBL3987934,,
1950,UBERON:0001950,Neocortex,,CHEMBL3987859,,
1965,UBERON:0001965,Substantia nigra pars compacta,,CHEMBL3987984,,
1968,UBERON:0001968,Semen,,CHEMBL3987952,,
1969,UBERON:0001969,Plasma,UBERON:0001969,CHEMBL3559721,BTO:0000131,TS-0800
1970,UBERON:0001970,Bile,UBERON:0001970,CHEMBL3638228,BTO:0000121,TS-1172
1971,UBERON:0001971,Gastric juice,,CHEMBL3987747,,
1977,UBERON:0001977,Serum,,CHEMBL3638229,BTO:0001239,TS-0923
1980,UBERON:0001980,Arteriole,,CHEMBL3987642,,
1981,UBERON:0001981,Blood vessel,,CHEMBL3987656,,
1982,UBERON:0001982,Capillary,,CHEMBL3987663,,
1986,UBERON:0001986,Endothelium,,CHEMBL3987727,,
1987,UBERON:0001987,Placenta,,CHEMBL3987910,,
1988,UBERON:0001988,Feces,,CHEMBL3638230,BTO:0000440,TS-2345
1989,UBERON:0001989,Superior cervical ganglion,,CHEMBL3987985,,
1991,UBERON:0001991,Cervical ganglion,,CHEMBL3987674,,
1997,UBERON:0001997,Olfactory epithelium,,CHEMBL3987874,,
2012,UBERON:0002012,Pulmonary artery,UBERON:0002012,CHEMBL3638231,BTO:0000778,TS-0839
2017,UBERON:0002017,Portal vein,,CHEMBL3638232,BTO:0001792,TS-0814
2020,UBERON:0002020,Gray matter,,CHEMBL3987757,,
2021,UBERON:0002021,Occipital lobe,,CHEMBL3833873,,
2022,UBERON:0002022,Insula,,CHEMBL3987779,,
2028,UBERON:0002028,Hindbrain,,CHEMBL3987765,,
2037,UBERON:0002037,Cerebellum,UBERON:0002037,CHEMBL3638233,BTO:0000232,TS-0125
2038,UBERON:0002038,Substantia nigra,,CHEMBL3987983,,
2043,UBERON:0002043,Dorsal raphe nucleus,,CHEMBL3987713,,
2046,UBERON:0002046,Thyroid gland,UBERON:0002046,CHEMBL3638234,BTO:0001379,TS-1047
2048,UBERON:0002048,Lung,UBERON:0002048,CHEMBL3638235,BTO:0000763,TS-0568
2049,UBERON:0002049,Vasculature,,CHEMBL3988033,,
2060,UBERON:0002060,Femoral artery,,CHEMBL3987742,,
2066,UBERON:0002066,Umbilical vein,UBERON:0002066,CHEMBL3638236,BTO:0001509,TS-1082
2067,UBERON:0002067,Dermis,,CHEMBL3987707,,
2072,UBERON:0002072,Hypodermis,,CHEMBL3987770,,
2073,UBERON:0002073,Hair follicle,,CHEMBL3987760,,
2080,UBERON:0002080,Heart right ventricle,,CHEMBL3833142,,
2081,UBERON:0002081,Cardiac atrium,UBERON:0002081,CHEMBL3638237,BTO:0000903,TS-0437
2082,UBERON:0002082,Cardiac ventricle,,CHEMBL3833143,,
2084,UBERON:0002084,Heart left ventricle,,CHEMBL3833141,,
2095,UBERON:0002095,Mesentery,,CHEMBL3638238,BTO:0001380,
2097,UBERON:0002097,Skin of body,,CHEMBL3833182,,
2100,UBERON:0002100,Trunk,,CHEMBL3988014,,
2101,UBERON:0002101,Limb,,CHEMBL3987812,,
2102,UBERON:0002102,Forelimb,,CHEMBL3987744,,
2103,UBERON:0002103,Hindlimb,,CHEMBL3987766,,
2106,UBERON:0002106,Spleen,UBERON:0002106,CHEMBL3559722,BTO:0001281,TS-0956
2107,UBERON:0002107,Liver,UBERON:0002107,CHEMBL3559723,BTO:0000759,TS-0564
2108,UBERON:0002108,Small intestine,UBERON:0002108,CHEMBL3638239,BTO:0000651,TS-0942
2110,UBERON:0002110,Gall bladder,UBERON:0002110,CHEMBL3638240,BTO:0000493,TS-0394
2113,UBERON:0002113,Kidney,UBERON:0002113,CHEMBL3638241,BTO:0000671,TS-0510
2114,UBERON:0002114,Duodenum,UBERON:0002114,CHEMBL3638242,BTO:0000365,TS-0214
2115,UBERON:0002115,Jejunum,UBERON:0002115,CHEMBL3638243,BTO:0000657,TS-0496
2116,UBERON:0002116,Ileum,UBERON:0002116,CHEMBL3638244,BTO:0000620,TS-0472
2129,UBERON:0002129,Cerebellar cortex,,CHEMBL3987672,,
2137,UBERON:0002137,Aortic valve,,CHEMBL3987638,,
2145,UBERON:0002145,Interpeduncular nucleus,,CHEMBL3987783,,
2162,UBERON:0002162,Area postrema,,CHEMBL3987639,,
2185,UBERON:0002185,Bronchus,UBERON:0002185,CHEMBL3638245,BTO:0001340,TS-1229
2186,UBERON:0002186,Bronchiole,,CHEMBL3833161,,
2187,UBERON:0002187,Terminal bronchiole,,CHEMBL3988001,,
2191,UBERON:0002191,Subiculum,,CHEMBL3987979,,
2199,UBERON:0002199,Integument,,CHEMBL3987781,,
2224,UBERON:0002224,Thoracic cavity,,CHEMBL3988002,,
2227,UBERON:0002227,Spiral organ of cochlea,EFO:0001364,CHEMBL4295335,BTO:0001691,TS-0717
2240,UBERON:0002240,Spinal cord,UBERON:0002240,CHEMBL3638246,BTO:0001279,TS-0953
2242,UBERON:0002242,Nucleus pulposus,,CHEMBL3987872,,
2247,UBERON:0002247,Uterine horns ,,CHEMBL4296345,,
2256,UBERON:0002256,Dorsal horn of spinal cord,,CHEMBL3988281,,
2264,UBERON:0002264,Olfactory bulb,,CHEMBL3638247,BTO:0000961,TS-0702
2265,UBERON:0002265,Olfactory tract,,CHEMBL3987876,,
2266,UBERON:0002266,Anterior olfactory nucleus,,CHEMBL3987637,,
2298,UBERON:0002298,Brainstem,,CHEMBL3987659,,
2305,UBERON:0002305,Layer of hippocampus,,CHEMBL3987805,,
2314,UBERON:0002314,Midbrain tectum,,CHEMBL3987841,,
2316,UBERON:0002316,White matter,,CHEMBL3987574,,
2328,UBERON:0002328,Notochord,,CHEMBL3987870,,
2331,UBERON:0002331,Umbilical cord,,CHEMBL3988019,,
2336,UBERON:0002336,Corpus callosum,,CHEMBL3987694,,
2342,UBERON:0002342,Neural crest,,CHEMBL3987863,,
2349,UBERON:0002349,Myocardium,,CHEMBL3987852,,
2351,UBERON:0002351,Sinoatrial node,,CHEMBL3987959,,
2352,UBERON:0002352,Atrioventricular node,,CHEMBL3987644,,
2353,UBERON:0002353,Atrioventricular bundle,,CHEMBL3638248,,
2354,UBERON:0002354,Purkinje fiber,,CHEMBL3638249,BTO:0001735,
2358,UBERON:0002358,Peritoneum,,CHEMBL3987904,,
2367,UBERON:0002367,Prostate gland,UBERON:0002367,CHEMBL3638250,BTO:0001129,TS-0828
2369,UBERON:0002369,Adrenal gland,,CHEMBL3638251,BTO:0000047,TS-0016
2370,UBERON:0002370,Thymus,UBERON:0002370,CHEMBL3638252,BTO:0001374,TS-1043
2371,UBERON:0002371,Bone marrow,UBERON:0002371,CHEMBL3638253,BTO:0000141,TS-0087
2382,UBERON:0002382,Rectus abdominis muscle,,CHEMBL3987933,,
2384,UBERON:0002384,Connective tissue,,CHEMBL3987690,,
2385,UBERON:0002385,Muscle tissue,UBERON:0002385,CHEMBL3638254,BTO:0000887,TS-0642
2387,UBERON:0002387,Pes,,CHEMBL3987905,,
2391,UBERON:0002391,Lymph,,CHEMBL3987826,,
2394,UBERON:0002394,Bile duct,,CHEMBL3987652,,
2395,UBERON:0002395,Talus,,CHEMBL3987995,,
2402,UBERON:0002402,Pleural cavity,,CHEMBL3987912,,
2405,UBERON:0002405,Immune system,,CHEMBL3987775,,
2410,UBERON:0002410,Autonomic nervous system,,CHEMBL3987646,,
2412,UBERON:0002412,Vertebra,,CHEMBL3988041,,
2414,UBERON:0002414,Lumbar vertebra,,CHEMBL3987823,,
2415,UBERON:0002415,Tail,,CHEMBL3833541,,
2423,UBERON:0002423,Hepatobiliary system,,CHEMBL3987764,,
2435,UBERON:0002435,Striatum,,CHEMBL3638255,,
2446,UBERON:0002446,Patella,,CHEMBL3987896,,
2451,UBERON:0002451,Endometrial gland,,CHEMBL3638256,BTO:0003433,
2481,UBERON:0002481,Bone tissue,,CHEMBL3987657,,
2488,UBERON:0002488,Helix,,CHEMBL3987762,,
2494,UBERON:0002494,Papillary muscle,,CHEMBL3988221,,
2495,UBERON:0002495,Long bone,,CHEMBL3987817,,
2505,UBERON:0002505,Spiral modiolar artery,,CHEMBL3987974,,
2509,UBERON:0002509,Mesenteric lymph node,,CHEMBL3987835,,
2512,UBERON:0002512,Corpus luteum,,CHEMBL3638257,BTO:0000292,TS-0181
2515,UBERON:0002515,Periosteum,,CHEMBL3987901,,
2516,UBERON:0002516,Epiphyseal plate,,CHEMBL3833906,,
2520,UBERON:0002520,Submaxillary gland,,CHEMBL3987361,,
2530,UBERON:0002530,Gland,,CHEMBL3987753,,
2535,UBERON:0002535,Gill,,CHEMBL3987751,,
2542,UBERON:0002542,Scale,,CHEMBL3987948,,
2547,UBERON:0002547,Tadpole,,CHEMBL3987991,,
2548,UBERON:0002548,Larva,,CHEMBL3987797,,
2667,UBERON:0002667,Lateral septal nucleus,,CHEMBL3987804,,
2691,UBERON:0002691,Ventral tegmental area,,CHEMBL3988040,,
2696,UBERON:0002696,Cuneiform nucleus,,CHEMBL3987700,,
2728,UBERON:0002728,Entorhinal cortex,UBERON:0002728,CHEMBL3638258,BTO:0004345,
2743,UBERON:0002743,Basal forebrain,,CHEMBL3987650,,
2778,UBERON:0002778,Ventral pallidum,,CHEMBL3988038,,
2792,UBERON:0002792,Lumbar spinal cord,,CHEMBL3987822,,
2883,UBERON:0002883,Central amygdaloid nucleus,,CHEMBL3987671,,
2886,UBERON:0002886,Lateral amygdaloid nucleus,,CHEMBL3987799,,
2892,UBERON:0002892,Medial amygdaloid nucleus,,CHEMBL3987830,,
2894,UBERON:0002894,Olfactory cortex,,CHEMBL3987873,,
2955,UBERON:0002955,Rhomboidal nucleus,,CHEMBL3988101,,
2986,UBERON:0002986,Neurofilament,,CHEMBL3987865,,
3000,UBERON:0003000,Intermediate filament,,CHEMBL3987782,,
3003,UBERON:0003003,Microfilament,,CHEMBL3987840,,
