std_act_id,standard_type,definition,standard_units,normal_range_min,normal_range_max
63,ID50,Dose required for 50% inhibition,umol.kg-1,0.001000000000,1000.000000000000
64,ED50,Effective dose for 50% activity,umol.kg-1,0.001000000000,1000.000000000000
65,k_obs,Observed rate constant,s-1,0.000001000000,100000.000000000000
66,k_on,Association rate constant,M-1.s-1,1.000000000000,10000000.000000000000
67,k_off,Dissociation rate constant,s-1,0.000001000000,1000.000000000000
68,CK,A measurement of the total creatine kinase in a biological specimen.,U.L-1,,
69,PT,A blood clotting measurement that evaluates the extrinsic pathway of coagulation.,s,,
70,ALB,A measurement of the albumin protein in a biological specimen.,ug.mL-1,,
71,ALP,A measurement of the alkaline phosphatase in a biological specimen.,U.L-1,,
72,ALP,A measurement of the alkaline phosphatase in a biological specimen.,IU.L-1,,
73,ALT,A measurement of the alanine aminotransferase in a biological specimen.,U.L-1,,
74,ALT,A measurement of the alanine aminotransferase in a biological specimen.,IU.L-1,,
75,AST,A measurement of the aspartate aminotransferase in a biological specimen.,U.L-1,,
76,AST,A measurement of the aspartate aminotransferase in a biological specimen.,IU.L-1,,
77,BUN,A measurement of the urea nitrogen in a blood specimen.,ug.mL-1,,
78,CO2,A measurement of the carbon dioxide gas in a biological specimen.,nM,,
79,EOS,A measurement of the eosinophils in a biological specimen.,cells.uL-1,,
80,GGT,A measurement of the gamma glutamyl transferase in a biological specimen.,IU.L-1,,
81,HCT,The percentage of a whole blood specimen that is composed of red blood cells (erythrocytes).,%,,
82,HGB,A measurement of the hemoglobin in a biological specimen.,ug.mL-1,,
83,LDH,A measurement of the lactate dehydrogenase in a biological specimen.,U.L-1,,
84,LDH,A measurement of the lactate dehydrogenase in a biological specimen.,IU.L-1,,
85,LYM,A measurement of the lymphocytes in a biological specimen.,cells.uL-1,,
86,MCH,A quantitative measurement of the mean amount of hemoglobin per erythrocyte in a biological specimen.,pg,,
87,MCV,A quantitative measurement of the mean volume of erythrocytes in a biological specimen.,fL,,
88,RBC,A measurement of the total erythrocytes in a biological specimen.,cells.uL-1,,
89,WBC,A measurement of the leukocytes in a biological specimen.,cells.uL-1,,
90,APTT,A measurement of the length of time that it takes for clotting to occur when reagents are added to a plasma specimen. The test is partial due to the absence of tissue factor (Factor III) from the reaction mixture.,s,,
91,BASO,A measurement of the basophils in a biological specimen.,cells.uL-1,,
92,BILI,A measurement of the total bilirubin in a biological specimen.,ug.mL-1,,
93,CHOL,A measurement of the cholesterol in a biological specimen.,ug.mL-1,,
94,GLUC,A measurement of the glucose in a biological specimen.,ug.mL-1,,
95,MCHC,A quantitative measurement of the mean amount of hemoglobin per erythrocytes in a specified volume of a biological specimen.,%,,
96,MCHC,A quantitative measurement of the mean amount of hemoglobin per erythrocytes in a specified volume of a biological specimen.,ug.mL-1,,
97,MONO,A measurement of the monocytes in a biological specimen.,cells.uL-1,,
98,PHOS,A measurement of the phosphate in a biological specimen.,ug.mL-1,,
99,PLAT,A measurement of the platelets (non-nucleated thrombocytes) in a biological specimen.,cells.uL-1,,
100,PROT,A measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in a biological specimen.,ug.mL-1,,
101,TRIG,A measurement of the triglycerides in a biological specimen.,ug.mL-1,,
102,CREAT,A measurement of the creatinine in a biological specimen.,ug.mL-1,,
103,EOSLE,A relative measurement (ratio or percentage) of the eosinophils to leukocytes in a biological specimen.,%,,
104,LYMLE,A relative measurement (ratio or percentage) of the lymphocytes to leukocytes in a biological specimen.,%,,
105,URATE,A measurement of the urate in a biological specimen.,ug.mL-1,,
106,BASOLE,A relative measurement (ratio or percentage) of the basophils to leukocytes in a biological specimen.,%,,
107,BILDIR,A measurement of the conjugated or water-soluble bilirubin in a biological specimen.,ug.mL-1,,
108,LIPASE,A measurement of the pancreatic lipase in a biological specimen.,U.L-1,,
109,MONOLE,A relative measurement (ratio or percentage) of the monocytes to leukocytes in a biological specimen.,%,,
110,NEUTLE,A relative measurement (ratio or percentage) of the neutrophils to leukocytes in a biological specimen.,%,,
111,NEUTSG,A measurement of the segmented neutrophils in a biological specimen.,cells.uL-1,,
112,RBCNUC,"A measurement of the nucleated erythrocytes (large, immature nucleated erythrocytes) in a biological specimen.",/100WBC,,
113,SODIUM,A measurement of the sodium in a biological specimen.,mEq.L-1,,
114,TERMBW,The weight of a subject at a specified end point. (NCI),g,,
115,WEIGHT,The vertical force exerted by a mass as a result of gravity. (NCI),g,,
116,ALBGLOB,The ratio of albumin to globulin in a biological specimen.,-,,
117,CALCIUM,A measurement of the calcium in a biological specimen.,ug.mL-1,,
118,FIBRINO,A measurement of the fibrinogen in a biological specimen.,ug.mL-1,,
119,PHOSLPD,A measurement of the phospholipids in a biological specimen.,ug.mL-1,,
120,RETIRBC,A relative measurement (ratio or percentage) of reticulocytes to erythrocytes in a biological specimen.,%,,
121,CHLORIDE,A measurement of the chloride in a biological specimen.,mEq.L-1,,
122,POTASSIUM,A measurement of the potassium in a biological specimen.,mEq.L-1,,
124,AUC,Area under the drug concentration time curve,uM.hr,0.001000000000,10000.000000000000
127,AUC,Area under the drug concentration time curve,ng.hr.mL-1,10.000000000000,10000000.000000000000
130,fAUC,Area under the free drug concentration time curve,uM.hr,0.001000000000,10000.000000000000
134,fAUC,Area under the free drug concentration time curve,ng.hr.mL-1,10.000000000000,10000000.000000000000
135,CL,Clearance,uL.min-1.(10^6cells)-1,0.100000000000,500.000000000000
136,Compound recovery,"Recovery of a specific compound (e.g. parent or metabolite) in plasma, tissue or excreta, e.g. as absolute or qualitative measurement, percentage of dose recovered",ng.eq.g-1,,
137,Radiolabel recovery,"Recovery of radioactivity in plasma, tissue or excreta after administration of radiolabelled compound, as absolute measurement or percentage of dose",ng.eq.g-1,,
138,Compound recovery,"Recovery of a specific compound (e.g. parent or metabolite) in plasma, tissue or excreta, e.g. as absolute or qualitative measurement, percentage of dose recovered",ng.eq.mL-1,,
139,Radiolabel recovery,"Recovery of radioactivity in plasma, tissue or excreta after administration of radiolabelled compound, as absolute measurement or percentage of dose",ng.eq.mL-1,,
140,Compound recovery,"Recovery of a specific compound (e.g. parent or metabolite) in plasma, tissue or excreta, e.g. as absolute or qualitative measurement, or percentage of dose recovered",%,,
141,Radiolabel recovery,"Recovery of radioactivity in plasma, tissue or excreta after administration of radiolabelled compound, as absolute measurement or percentage of dose",%,,
142,AUC,Area under the drug concentration time curve,ng.hr.g-1,,
143,Cmax,Maximum concentration,ug.g-1,,
144,Log S,Log of solubility,-,,
145,Kb,Equilibrium binding constant,nM,0.010000000000,100000.000000000000
146,LogD,Log(Distribution Coefficient),-,-10.000000000000,15.000000000000
147,LogD7.4,Log(Distribution Coefficient) at pH 7.4,-,-10.000000000000,15.000000000000
148,Delta Tm,Change in melting temperature,degrees C,,
149,Fu,Fraction of compound unbound,-,0E-12,1.000000000000
150,PPB,Plasma protein binding as %bound,%,0E-12,105.000000000000
152,DOSE,Amount of a substance administered,mg.kg-1,,
153,TIME,"Point at which an experimental intervention is performed e.g., dosing of a substance, measuring a sample",hr,,
154,LogD5.0,Log(Distribution Coefficient) at pH 5.0,-,-10.000000000000,15.000000000000
155,LogD6.5,Log(Distribution Coefficient) at pH 6.5,-,-10.000000000000,15.000000000000
156,LogD5.5,Log(Distribution Coefficient) at pH 5.5,-,-10.000000000000,15.000000000000
159,APDc,Normalised action potential duration (APD) defined as: APD (ms) / cube root of Beat Interval (ms),-,,
160,FPDc,Normalised field potential duration (FPD) defined as: FPD (ms) / cube root of Beat Interval (ms),-,,
