ap_id,activity_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments,result_flag
66,17126244,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
67,17126244,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
68,17126244,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
69,17126244,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
70,17126244,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
71,17126244,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
72,17126244,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
73,17126245,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
74,17126245,ACTIVITY_TEST,,,,WBC (Leukocytes),ACTIVITY_TEST,,,,WBC (Leukocytes),,0
75,17126245,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
76,17126245,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
77,17126245,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
78,17126245,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
79,17126245,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
80,17126245,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
81,17126245,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
82,17126246,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
83,17126246,ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),,0
84,17126246,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
85,17126246,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
86,17126246,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
87,17126246,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
88,17126246,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
89,17126246,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
90,17126246,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
91,17126247,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
92,17126247,ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),,0
93,17126247,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
94,17126247,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
95,17126247,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
96,17126247,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
97,17126247,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
98,17126247,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
99,17126247,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
100,17126248,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
101,17126248,ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),,0
102,17126248,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
103,17126248,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
104,17126248,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
105,17126248,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
106,17126248,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
107,17126248,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
108,17126248,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
109,17126249,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
110,17126249,ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),,0
111,17126249,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
112,17126249,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
113,17126249,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
114,17126249,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
115,17126249,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
116,17126249,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
117,17126249,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
118,17126250,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
119,17126250,ACTIVITY_TEST,,,,LYMLE (Lymphocytes/Leukocytes),ACTIVITY_TEST,,,,LYMLE (Lymphocytes/Leukocytes),,0
120,17126250,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
121,17126250,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
122,17126250,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
123,17126250,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
124,17126250,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
125,17126250,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
126,17126250,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
127,17126251,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
128,17126251,ACTIVITY_TEST,,,,PT (Prothrombin Time),ACTIVITY_TEST,,,,PT (Prothrombin Time),,0
129,17126251,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
130,17126251,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
131,17126251,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
132,17126251,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
133,17126251,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
134,17126251,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
135,17126251,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
136,17126252,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
137,17126252,ACTIVITY_TEST,,,,APTT (Activated Partial Thromboplastin Time),ACTIVITY_TEST,,,,APTT (Activated Partial Thromboplastin Time),,0
138,17126252,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
139,17126252,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
140,17126252,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
141,17126252,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
142,17126252,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
143,17126252,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
144,17126252,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
145,17126253,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
146,17126253,ACTIVITY_TEST,,,,FIBRINO (Fibrinogen),ACTIVITY_TEST,,,,FIBRINO (Fibrinogen),,0
147,17126253,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
148,17126253,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
149,17126253,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
150,17126253,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
151,17126253,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
152,17126253,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
153,17126253,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
154,17126254,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
155,17126254,ACTIVITY_TEST,,,,RBC (Erythrocytes),ACTIVITY_TEST,,,,RBC (Erythrocytes),,0
156,17126254,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
157,17126254,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
158,17126254,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
159,17126254,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
160,17126254,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
161,17126254,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
162,17126254,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
163,17126255,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
164,17126255,ACTIVITY_TEST,,,,HGB (Hemoglobin),ACTIVITY_TEST,,,,HGB (Hemoglobin),,0
165,17126255,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
166,17126255,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
167,17126255,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
168,17126255,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
169,17126255,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
170,17126255,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
171,17126255,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
172,17126256,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
173,17126256,ACTIVITY_TEST,,,,HCT (Hematocrit),ACTIVITY_TEST,,,,HCT (Hematocrit),,0
174,17126256,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
175,17126256,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
176,17126256,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
177,17126256,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
178,17126256,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
179,17126256,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
180,17126256,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
181,17126257,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
182,17126257,ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),,0
183,17126257,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
184,17126257,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
185,17126257,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
186,17126257,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
187,17126257,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
188,17126257,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
189,17126257,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
190,17126258,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
191,17126258,ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),,0
192,17126258,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
193,17126258,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
194,17126258,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
195,17126258,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
196,17126258,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
197,17126258,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
198,17126258,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
199,17126259,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
200,17126259,ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),,0
201,17126259,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
202,17126259,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
203,17126259,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
204,17126259,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
205,17126259,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
206,17126259,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
207,17126259,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
208,17126260,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
209,17126260,ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),,0
210,17126260,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
211,17126260,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
212,17126260,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
213,17126260,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
214,17126260,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
215,17126260,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
216,17126260,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
217,17126261,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
218,17126261,ACTIVITY_TEST,,,,PLAT (Platelets),ACTIVITY_TEST,,,,PLAT (Platelets),,0
219,17126261,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
220,17126261,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
221,17126261,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
222,17126261,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
223,17126261,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
224,17126261,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
225,17126261,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
226,17126262,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
227,17126262,ACTIVITY_TEST,,,,WBC (Leukocytes),ACTIVITY_TEST,,,,WBC (Leukocytes),,0
228,17126262,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
229,17126262,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
230,17126262,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
231,17126262,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
232,17126262,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
233,17126262,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
234,17126262,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
235,17126263,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
236,17126263,ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),,0
237,17126263,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
238,17126263,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
239,17126263,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
240,17126263,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
241,17126263,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
242,17126263,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
243,17126263,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
244,17126264,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
245,17126264,ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),,0
246,17126264,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
247,17126264,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
248,17126264,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
249,17126264,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
250,17126264,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
251,17126264,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
252,17126264,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
253,17126265,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
254,17126265,ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),,0
255,17126265,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
256,17126265,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
257,17126265,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
258,17126265,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
259,17126265,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
260,17126265,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
261,17126265,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
262,17126266,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
263,17126266,ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),,0
264,17126266,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
265,17126266,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
266,17126266,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
267,17126266,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
268,17126266,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
269,17126266,TIME,=,6.000000000000000000000000000000,hr,,TIME,=,6.000000000000000000000000000000,hr,,,0
270,17126266,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
