tid,target_type,pref_name,tax_id,organism,chembl_id,species_group_flag
121,SINGLE PROTEIN,Serotonin transporter,9606,Homo sapiens,CHEMBL228,0
122,SINGLE PROTEIN,Squalene monooxygenase,559292,Saccharomyces cerevisiae S288c,CHEMBL1888,0
123,SINGLE PROTEIN,4-hydroxyphenylpyruvate dioxygenase,9606,Homo sapiens,CHEMBL1861,0
124,SINGLE PROTEIN,Corticotropin releasing factor receptor 1,9606,Homo sapiens,CHEMBL1800,0
125,SINGLE PROTEIN,Alpha-1a adrenergic receptor,9606,Homo sapiens,CHEMBL229,0
126,SINGLE PROTEIN,Cyclooxygenase-2,9606,Homo sapiens,CHEMBL230,0
127,SINGLE PROTEIN,Histamine H1 receptor,9606,Homo sapiens,CHEMBL231,0
128,SINGLE PROTEIN,Alpha-1b adrenergic receptor,9606,Homo sapiens,CHEMBL232,0
129,SINGLE PROTEIN,Mu opioid receptor,9606,Homo sapiens,CHEMBL233,0
130,SINGLE PROTEIN,Dopamine D3 receptor,9606,Homo sapiens,CHEMBL234,0
131,SINGLE PROTEIN,Sodium channel protein type I alpha subunit,9606,Homo sapiens,CHEMBL1845,0
132,SINGLE PROTEIN,Amiloride-sensitive sodium channel alpha-subunit,9606,Homo sapiens,CHEMBL1791,0
133,SINGLE PROTEIN,Peroxisome proliferator-activated receptor gamma,9606,Homo sapiens,CHEMBL235,0
134,SINGLE PROTEIN,Vasopressin V1a receptor,9606,Homo sapiens,CHEMBL1889,0
136,SINGLE PROTEIN,Delta opioid receptor,9606,Homo sapiens,CHEMBL236,0
137,SINGLE PROTEIN,Kappa opioid receptor,9606,Homo sapiens,CHEMBL237,0
138,SINGLE PROTEIN,Nociceptin receptor,9606,Homo sapiens,CHEMBL2014,0
139,SINGLE PROTEIN,Isoleucyl-tRNA synthetase,1280,Staphylococcus aureus,CHEMBL1982,0
140,SINGLE PROTEIN,Prostanoid FP receptor,9606,Homo sapiens,CHEMBL1987,0
142,SINGLE PROTEIN,Prostanoid EP2 receptor,9606,Homo sapiens,CHEMBL1881,0
143,SINGLE PROTEIN,Prostanoid IP receptor,9606,Homo sapiens,CHEMBL1995,0
144,SINGLE PROTEIN,Serotonin 3a (5-HT3a) receptor,9606,Homo sapiens,CHEMBL1899,0
145,SINGLE PROTEIN,Enoyl-[acyl-carrier-protein] reductase,1773,Mycobacterium tuberculosis,CHEMBL1849,0
146,SINGLE PROTEIN,Glucagon receptor,9606,Homo sapiens,CHEMBL1985,0
147,SINGLE PROTEIN,Secretin receptor,9606,Homo sapiens,CHEMBL1925,0
148,SINGLE PROTEIN,Vasopressin V1b receptor,9606,Homo sapiens,CHEMBL1921,0
149,SINGLE PROTEIN,Xanthine dehydrogenase,9606,Homo sapiens,CHEMBL1929,0
150,SINGLE PROTEIN,Voltage-gated calcium channel alpha2/delta subunit 1,9606,Homo sapiens,CHEMBL1919,0
151,SINGLE PROTEIN,Thiazide-sensitive sodium-chloride cotransporter,9606,Homo sapiens,CHEMBL1876,0
152,SINGLE PROTEIN,Arabinosyltransferase A,1773,Mycobacterium tuberculosis,CHEMBL1877,0
153,SINGLE PROTEIN,Gamma-amino-N-butyrate transaminase,9606,Homo sapiens,CHEMBL2044,0
154,SINGLE PROTEIN,Melanocortin receptor 2,9606,Homo sapiens,CHEMBL1965,0
155,SINGLE PROTEIN,Dopamine transporter,9606,Homo sapiens,CHEMBL238,0
157,SINGLE PROTEIN,Dihydroorotate dehydrogenase,9606,Homo sapiens,CHEMBL1966,0
158,SINGLE PROTEIN,Growth hormone-releasing hormone receptor,9606,Homo sapiens,CHEMBL2032,0
159,SINGLE PROTEIN,Cytochrome b,5833,Plasmodium falciparum,CHEMBL1777,0
160,SINGLE PROTEIN,Parathyroid hormone receptor,9606,Homo sapiens,CHEMBL1793,0
161,SINGLE PROTEIN,Glutamate (NMDA) receptor subunit zeta 1,9606,Homo sapiens,CHEMBL2015,0
162,SINGLE PROTEIN,Synaptic vesicular amine transporter,9606,Homo sapiens,CHEMBL1893,0
163,SINGLE PROTEIN,Peroxisome proliferator-activated receptor alpha,9606,Homo sapiens,CHEMBL239,0
164,SINGLE PROTEIN,Sulfonylurea receptor 1,9606,Homo sapiens,CHEMBL2071,0
165,SINGLE PROTEIN,HERG,9606,Homo sapiens,CHEMBL240,0
166,SINGLE PROTEIN,Glutamate [NMDA] receptor subunit epsilon 1,9606,Homo sapiens,CHEMBL1972,0
167,SINGLE PROTEIN,Sodium-(potassium)-chloride cotransporter 2,9606,Homo sapiens,CHEMBL1874,0
168,SINGLE PROTEIN,Serotonin 4 (5-HT4) receptor,9606,Homo sapiens,CHEMBL1875,0
169,SINGLE PROTEIN,Voltage-gated L-type calcium channel alpha-1C subunit,9606,Homo sapiens,CHEMBL1940,0
170,SINGLE PROTEIN,Phosphodiesterase 3A,9606,Homo sapiens,CHEMBL241,0
172,SINGLE PROTEIN,Thioredoxin reductase 1,9606,Homo sapiens,CHEMBL1927,0
174,SINGLE PROTEIN,Estrogen receptor beta,9606,Homo sapiens,CHEMBL242,0
175,SINGLE PROTEIN,Equilibrative nucleoside transporter 1,9606,Homo sapiens,CHEMBL1997,0
176,SINGLE PROTEIN,Purinergic receptor P2Y12,9606,Homo sapiens,CHEMBL2001,0
178,SINGLE PROTEIN,Dihydrofolate reductase,42068,Pneumocystis jirovecii,CHEMBL2057,0
179,SINGLE PROTEIN,Cysteinyl leukotriene receptor 1,9606,Homo sapiens,CHEMBL1798,0
180,SINGLE PROTEIN,Cyclophilin A,9606,Homo sapiens,CHEMBL1949,0
181,SINGLE PROTEIN,B-lymphocyte antigen CD20,9606,Homo sapiens,CHEMBL2058,0
182,SINGLE PROTEIN,Interleukin-2 receptor alpha chain,9606,Homo sapiens,CHEMBL1778,0
183,SINGLE PROTEIN,Major surface antigen,489449,Hepatitis B virus adw2/Southern-Africa/Cai,CHEMBL1928,0
184,SINGLE PROTEIN,Glutamate carboxypeptidase II,9606,Homo sapiens,CHEMBL1892,0
185,SINGLE PROTEIN,TNF-alpha,9606,Homo sapiens,CHEMBL1825,0
186,SINGLE PROTEIN,Tetanus toxin,212717,Clostridium tetani (strain Massachusetts / E88),CHEMBL2036,0
187,SINGLE PROTEIN,Vascular endothelial growth factor A,9606,Homo sapiens,CHEMBL1783,0
188,SINGLE PROTEIN,Receptor protein-tyrosine kinase erbB-2,9606,Homo sapiens,CHEMBL1824,0
190,SINGLE PROTEIN,Leukocyte adhesion glycoprotein LFA-1 alpha,9606,Homo sapiens,CHEMBL1803,0
191,SINGLE PROTEIN,Human immunodeficiency virus type 1 protease,11676,Human immunodeficiency virus 1,CHEMBL243,0
193,SINGLE PROTEIN,Coagulation factor IX,9606,Homo sapiens,CHEMBL2016,0
194,SINGLE PROTEIN,Coagulation factor X,9606,Homo sapiens,CHEMBL244,0
195,SINGLE PROTEIN,TNF-beta,9606,Homo sapiens,CHEMBL2059,0
196,SINGLE PROTEIN,T-cell surface antigen CD2,9606,Homo sapiens,CHEMBL2040,0
197,SINGLE PROTEIN,Platelet-derived growth factor receptor beta,9606,Homo sapiens,CHEMBL1913,0
198,SINGLE PROTEIN,Interleukin-1 receptor,9606,Homo sapiens,CHEMBL1959,0
200,SINGLE PROTEIN,Interferon-alpha/beta receptor alpha chain,9606,Homo sapiens,CHEMBL1887,0
201,SINGLE PROTEIN,Erythropoietin receptor,9606,Homo sapiens,CHEMBL1817,0
203,SINGLE PROTEIN,CAMPATH-1 antigen,9606,Homo sapiens,CHEMBL1912,0
206,SINGLE PROTEIN,Interleukin 11 receptor alpha,9606,Homo sapiens,CHEMBL2050,0
207,SINGLE PROTEIN,Granulocyte colony stimulating factor receptor,9606,Homo sapiens,CHEMBL1996,0
208,SINGLE PROTEIN,Elastase 1,9606,Homo sapiens,CHEMBL3000,0
212,SINGLE PROTEIN,Penicillin-binding protein 1B,83333,Escherichia coli K-12,CHEMBL1814,0
213,SINGLE PROTEIN,Thymidine kinase,10309,Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1),CHEMBL1820,0
214,SINGLE PROTEIN,Muscarinic acetylcholine receptor M4,9606,Homo sapiens,CHEMBL1821,0
215,SINGLE PROTEIN,Muscarinic acetylcholine receptor M5,9606,Homo sapiens,CHEMBL2035,0
216,SINGLE PROTEIN,Alpha-2b adrenergic receptor,9606,Homo sapiens,CHEMBL1942,0
218,SINGLE PROTEIN,Alpha-2c adrenergic receptor,9606,Homo sapiens,CHEMBL1916,0
219,SINGLE PROTEIN,Muscarinic acetylcholine receptor M3,9606,Homo sapiens,CHEMBL245,0
220,SINGLE PROTEIN,Dopamine D5 receptor,9606,Homo sapiens,CHEMBL1850,0
221,SINGLE PROTEIN,GABA receptor beta-2 subunit,9606,Homo sapiens,CHEMBL1920,0
222,SINGLE PROTEIN,Glutamate [NMDA] receptor subunit epsilon 2,9606,Homo sapiens,CHEMBL1904,0
223,SINGLE PROTEIN,Ryanodine receptor 3,9606,Homo sapiens,CHEMBL2062,0
224,SINGLE PROTEIN,Vitamin k epoxide reductase complex subunit 1 isoform 1,9606,Homo sapiens,CHEMBL1930,0
226,SINGLE PROTEIN,Beta-3 adrenergic receptor,9606,Homo sapiens,CHEMBL246,0
227,SINGLE PROTEIN,Serotonin 2b (5-HT2b) receptor,9606,Homo sapiens,CHEMBL1833,0
228,SINGLE PROTEIN,Human immunodeficiency virus type 1 reverse transcriptase,11676,Human immunodeficiency virus 1,CHEMBL247,0
229,SINGLE PROTEIN,Ig epsilon chain C region,9606,Homo sapiens,CHEMBL1834,0
232,SINGLE PROTEIN,Lipoprotein lipase,9606,Homo sapiens,CHEMBL2060,0
233,SINGLE PROTEIN,T-cell surface glycoprotein CD3 epsilon chain,9606,Homo sapiens,CHEMBL1975,0
234,SINGLE PROTEIN,Insulin-like growth factor I receptor,9606,Homo sapiens,CHEMBL1957,0
235,SINGLE PROTEIN,Leukocyte elastase,9606,Homo sapiens,CHEMBL248,0
236,SINGLE PROTEIN,Neprilysin,9606,Homo sapiens,CHEMBL1944,0
237,SINGLE PROTEIN,Leukotriene A4 hydrolase,9606,Homo sapiens,CHEMBL4618,0
238,SINGLE PROTEIN,Stem cell growth factor receptor,9606,Homo sapiens,CHEMBL1936,0
240,SINGLE PROTEIN,Retinoic acid receptor gamma,9606,Homo sapiens,CHEMBL2003,0
241,SINGLE PROTEIN,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,9606,Homo sapiens,CHEMBL1958,0
242,SINGLE PROTEIN,Aldose reductase,9606,Homo sapiens,CHEMBL1900,0
243,SINGLE PROTEIN,Aminopeptidase N,9606,Homo sapiens,CHEMBL1907,0
244,SINGLE PROTEIN,Atrial natriuretic peptide receptor A,9606,Homo sapiens,CHEMBL1988,0
245,SINGLE PROTEIN,Renal dipeptidase,9606,Homo sapiens,CHEMBL1989,0
246,SINGLE PROTEIN,Thromboxane A2 receptor,9606,Homo sapiens,CHEMBL2069,0
247,SINGLE PROTEIN,Endothelin receptor ET-B,9606,Homo sapiens,CHEMBL1785,0
248,SINGLE PROTEIN,Thromboxane-A synthase,9606,Homo sapiens,CHEMBL1835,0
249,SINGLE PROTEIN,Endothelin receptor ET-A,9606,Homo sapiens,CHEMBL252,0
250,SINGLE PROTEIN,Neurokinin 1 receptor,9606,Homo sapiens,CHEMBL249,0
251,SINGLE PROTEIN,Platelet activating factor receptor,9606,Homo sapiens,CHEMBL250,0
252,SINGLE PROTEIN,Adenosine A2a receptor,9606,Homo sapiens,CHEMBL251,0
255,SINGLE PROTEIN,C-8 sterol isomerase,559292,Saccharomyces cerevisiae S288c,CHEMBL3224,0
259,SINGLE PROTEIN,Cannabinoid CB2 receptor,9606,Homo sapiens,CHEMBL253,0
260,SINGLE PROTEIN,Thyrotropin-releasing hormone receptor,9606,Homo sapiens,CHEMBL1810,0
261,SINGLE PROTEIN,Prostanoid EP1 receptor,9606,Homo sapiens,CHEMBL1811,0
262,SINGLE PROTEIN,Prostanoid EP4 receptor,9606,Homo sapiens,CHEMBL1836,0
264,SINGLE PROTEIN,Trypanothione reductase,5702,Trypanosoma brucei brucei,CHEMBL1837,0
265,SINGLE PROTEIN,Thrombopoietin receptor,9606,Homo sapiens,CHEMBL1864,0
266,SINGLE PROTEIN,Retinoid X receptor gamma,9606,Homo sapiens,CHEMBL2004,0
267,SINGLE PROTEIN,Vesicular amine transporter 1,9606,Homo sapiens,CHEMBL1838,0
270,SINGLE PROTEIN,Retinoic acid receptor beta,9606,Homo sapiens,CHEMBL2008,0
271,SINGLE PROTEIN,Thyroid hormone receptor beta-1,9606,Homo sapiens,CHEMBL1947,0
272,SINGLE PROTEIN,Ornithine decarboxylase,9606,Homo sapiens,CHEMBL1869,0
275,SINGLE PROTEIN,Retinoid X receptor alpha,9606,Homo sapiens,CHEMBL2061,0
276,SINGLE PROTEIN,Phosphodiesterase 4A,9606,Homo sapiens,CHEMBL254,0
277,SINGLE PROTEIN,Retinoid X receptor beta,9606,Homo sapiens,CHEMBL1870,0
278,SINGLE PROTEIN,Adenosine A2b receptor,9606,Homo sapiens,CHEMBL255,0
279,SINGLE PROTEIN,Serotonin 1f (5-HT1f) receptor,9606,Homo sapiens,CHEMBL1805,0
280,SINGLE PROTEIN,Adenosine A3 receptor,9606,Homo sapiens,CHEMBL256,0
282,SINGLE PROTEIN,Calcium sensing receptor,9606,Homo sapiens,CHEMBL1878,0
283,SINGLE PROTEIN,Succinate semialdehyde dehydrogenase,9606,Homo sapiens,CHEMBL1911,0
285,SINGLE PROTEIN,"Potassium channel, inwardly rectifying, subfamily J, member 11",9606,Homo sapiens,CHEMBL1886,0
286,SINGLE PROTEIN,Ceramide glucosyltransferase,9606,Homo sapiens,CHEMBL2063,0
311,SINGLE PROTEIN,Histidine-rich protein,5833,Plasmodium falciparum,CHEMBL1923,0
317,SINGLE PROTEIN,Topoisomerase IV subunit A,83333,Escherichia coli K-12,CHEMBL1895,0
321,SINGLE PROTEIN,DNA (cytosine-5)-methyltransferase 1,9606,Homo sapiens,CHEMBL1993,0
322,SINGLE PROTEIN,DNA (cytosine-5)-methyltransferase 3A,9606,Homo sapiens,CHEMBL1992,0
324,SINGLE PROTEIN,Tubulin alpha-1 chain,9606,Homo sapiens,CHEMBL2070,0
325,SINGLE PROTEIN,Dihydropteroate synthetase,5833,Plasmodium falciparum,CHEMBL2013,0
326,SINGLE PROTEIN,DNA-directed RNA polymerase beta chain,1773,Mycobacterium tuberculosis,CHEMBL2006,0
327,SINGLE PROTEIN,D-alanylalanine synthetase,1773,Mycobacterium tuberculosis,CHEMBL2030,0
328,SINGLE PROTEIN,Alanine racemase,1773,Mycobacterium tuberculosis,CHEMBL2031,0
329,SINGLE PROTEIN,Niemann-Pick C1-like protein 1,9606,Homo sapiens,CHEMBL2027,0
330,SINGLE PROTEIN,"Beta-1,3-glucan synthase",5476,Candida albicans,CHEMBL2037,0
10001,SINGLE PROTEIN,Neutral sphingomyelinase,9606,Homo sapiens,CHEMBL4712,0
10003,SINGLE PROTEIN,Cathepsin D,9606,Homo sapiens,CHEMBL2581,0
10004,SINGLE PROTEIN,"Carboxypeptidase N, catalytic subunit",9606,Homo sapiens,CHEMBL4713,0
10006,SINGLE PROTEIN,Cyclin-dependent kinase 4,10090,Mus musculus,CHEMBL2134,0
10007,SINGLE PROTEIN,Cyclin A2,9606,Homo sapiens,CHEMBL2582,0
10008,SINGLE PROTEIN,Kappa opioid receptor,10090,Mus musculus,CHEMBL4329,0
10009,SINGLE PROTEIN,Orexin receptor 1,9606,Homo sapiens,CHEMBL5113,0
10010,SINGLE PROTEIN,P2X purinoceptor 2,10116,Rattus norvegicus,CHEMBL2135,0
10011,SINGLE PROTEIN,Voltage-gated potassium channel subunit Kv7.1,10141,Cavia porcellus,CHEMBL5135,0
10012,SINGLE PROTEIN,Pyrimidinergic receptor P2Y6,9606,Homo sapiens,CHEMBL4714,0
10013,SINGLE PROTEIN,Phospholipase A2 group 1B,9823,Sus scrofa,CHEMBL4715,0
10014,SINGLE PROTEIN,Platelet activating factor receptor,10141,Cavia porcellus,CHEMBL5136,0
10015,SINGLE PROTEIN,Cysteinyl leukotriene receptor 2,9606,Homo sapiens,CHEMBL4330,0
10016,SINGLE PROTEIN,Phosphodiesterase 7B,9606,Homo sapiens,CHEMBL4716,0
10019,SINGLE PROTEIN,Pepsinogen C,9606,Homo sapiens,CHEMBL2136,0
10020,SINGLE PROTEIN,"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",9606,Homo sapiens,CHEMBL4763,0
10021,SINGLE PROTEIN,Serotonin 2b (5-HT2b) receptor,10090,Mus musculus,CHEMBL2583,0
10022,SINGLE PROTEIN,Serotonin 7 (5-HT7) receptor,10090,Mus musculus,CHEMBL4764,0
