accountid,districtid,frequency,date
57,1,"POPLATEK MESICNE",1995-05-21
58,29,"POPLATEK MESICNE",1996-08-23
59,43,"POPLATEK MESICNE",1994-03-27
61,70,"POPLATEK MESICNE",1993-12-11
62,47,"POPLATEK MESICNE",1993-03-28
63,22,"POPLATEK MESICNE",1996-11-16
64,64,"POPLATEK MESICNE",1997-03-11
65,36,"POPLATEK MESICNE",1996-10-29
66,48,"POPLATEK PO OBRATU",1993-12-03
67,16,"POPLATEK MESICNE",1994-10-19
68,37,"POPLATEK PO OBRATU",1994-12-20
69,64,"POPLATEK MESICNE",1996-01-12
70,8,"POPLATEK MESICNE",1995-02-18
71,1,"POPLATEK MESICNE",1994-03-05
72,1,"POPLATEK TYDNE",1996-06-20
73,72,"POPLATEK MESICNE",1993-11-08
75,1,"POPLATEK MESICNE",1995-08-13
76,52,"POPLATEK MESICNE",1996-05-16
77,63,"POPLATEK MESICNE",1996-11-19
78,74,"POPLATEK MESICNE",1993-07-07
79,3,"POPLATEK MESICNE",1996-11-29
80,43,"POPLATEK MESICNE",1995-09-27
81,74,"POPLATEK MESICNE",1996-07-18
82,26,"POPLATEK MESICNE",1994-05-03
83,26,"POPLATEK MESICNE",1993-04-16
84,44,"POPLATEK PO OBRATU",1995-12-25
85,68,"POPLATEK MESICNE",1997-03-23
86,54,"POPLATEK MESICNE",1993-03-07
88,31,"POPLATEK MESICNE",1996-07-03
89,68,"POPLATEK MESICNE",1997-09-25
90,1,"POPLATEK MESICNE",1994-07-13
91,17,"POPLATEK MESICNE",1996-11-06
93,2,"POPLATEK MESICNE",1996-06-12
95,1,"POPLATEK MESICNE",1995-03-30
96,68,"POPLATEK MESICNE",1993-02-18
97,74,"POPLATEK MESICNE",1996-05-05
98,55,"POPLATEK MESICNE",1997-05-02
99,1,"POPLATEK MESICNE",1995-06-27
100,41,"POPLATEK MESICNE",1993-12-28
101,35,"POPLATEK MESICNE",1996-04-16
102,11,"POPLATEK MESICNE",1993-10-16
103,44,"POPLATEK MESICNE",1996-03-10
104,37,"POPLATEK MESICNE",1993-04-15
105,21,"POPLATEK MESICNE",1997-07-10
106,63,"POPLATEK MESICNE",1994-11-27
107,64,"POPLATEK MESICNE",1993-11-05
108,53,"POPLATEK MESICNE",1995-03-10
109,53,"POPLATEK MESICNE",1997-04-20
110,36,"POPLATEK MESICNE",1996-07-17
112,6,"POPLATEK MESICNE",1993-03-12
113,55,"POPLATEK MESICNE",1996-07-22
114,60,"POPLATEK MESICNE",1997-03-14
115,68,"POPLATEK MESICNE",1993-03-19
116,8,"POPLATEK MESICNE",1996-03-21
117,31,"POPLATEK MESICNE",1993-09-05
118,68,"POPLATEK MESICNE",1997-09-18
119,27,"POPLATEK MESICNE",1993-05-25
120,65,"POPLATEK TYDNE",1995-06-16
121,55,"POPLATEK MESICNE",1997-10-11
122,31,"POPLATEK MESICNE",1996-10-30
123,21,"POPLATEK MESICNE",1993-03-13
124,55,"POPLATEK MESICNE",1997-12-28
125,2,"POPLATEK PO OBRATU",1996-09-07
126,5,"POPLATEK MESICNE",1993-10-23
127,29,"POPLATEK MESICNE",1994-02-02
128,2,"POPLATEK MESICNE",1993-02-19
129,74,"POPLATEK MESICNE",1997-10-01
130,54,"POPLATEK MESICNE",1997-02-12
131,52,"POPLATEK MESICNE",1995-06-13
132,40,"POPLATEK PO OBRATU",1996-05-11
133,64,"POPLATEK TYDNE",1997-10-11
134,34,"POPLATEK MESICNE",1997-12-10
135,75,"POPLATEK MESICNE",1993-06-15
136,74,"POPLATEK MESICNE",1996-05-14
137,70,"POPLATEK MESICNE",1996-07-19
138,22,"POPLATEK MESICNE",1995-09-19
139,38,"POPLATEK TYDNE",1997-05-15
140,24,"POPLATEK MESICNE",1996-06-25
141,38,"POPLATEK MESICNE",1996-03-06
142,51,"POPLATEK MESICNE",1993-02-15
143,21,"POPLATEK MESICNE",1996-11-27
144,10,"POPLATEK TYDNE",1997-04-03
145,31,"POPLATEK MESICNE",1996-01-03
146,4,"POPLATEK MESICNE",1993-09-02
148,8,"POPLATEK MESICNE",1993-06-21
149,43,"POPLATEK MESICNE",1997-11-16
150,73,"POPLATEK MESICNE",1995-03-16
151,76,"POPLATEK MESICNE",1993-09-06
152,1,"POPLATEK MESICNE",1996-04-12
153,77,"POPLATEK MESICNE",1993-09-19
154,46,"POPLATEK MESICNE",1994-06-21
155,58,"POPLATEK MESICNE",1995-11-07
156,64,"POPLATEK MESICNE",1997-10-22
157,11,"POPLATEK MESICNE",1997-03-28
158,37,"POPLATEK MESICNE",1995-03-15
159,70,"POPLATEK MESICNE",1997-02-11
160,23,"POPLATEK MESICNE",1993-09-04
161,28,"POPLATEK MESICNE",1994-07-04
162,60,"POPLATEK MESICNE",1993-08-25
163,30,"POPLATEK MESICNE",1993-01-27
164,60,"POPLATEK MESICNE",1996-09-13
165,25,"POPLATEK MESICNE",1993-06-01
166,17,"POPLATEK MESICNE",1996-08-20
167,29,"POPLATEK TYDNE",1996-02-26
168,31,"POPLATEK MESICNE",1993-04-27
169,4,"POPLATEK MESICNE",1995-09-28
170,59,"POPLATEK MESICNE",1996-07-02
171,46,"POPLATEK MESICNE",1996-06-08
172,13,"POPLATEK MESICNE",1993-08-30
173,66,"POPLATEK MESICNE",1993-11-26
174,52,"POPLATEK MESICNE",1996-09-04
176,71,"POPLATEK TYDNE",1996-08-12
177,1,"POPLATEK MESICNE",1997-09-26
178,59,"POPLATEK MESICNE",1997-09-06
179,1,"POPLATEK TYDNE",1997-09-22
180,55,"POPLATEK TYDNE",1993-12-14
181,21,"POPLATEK MESICNE",1996-06-11
182,47,"POPLATEK MESICNE",1996-08-24
183,43,"POPLATEK MESICNE",1993-12-12
184,77,"POPLATEK MESICNE",1996-02-21
185,32,"POPLATEK MESICNE",1997-07-04
186,1,"POPLATEK TYDNE",1993-07-29
187,5,"POPLATEK MESICNE",1993-03-28
188,54,"POPLATEK MESICNE",1993-04-20
189,76,"POPLATEK MESICNE",1997-04-16
190,74,"POPLATEK MESICNE",1995-03-02
191,41,"POPLATEK MESICNE",1997-03-17
192,55,"POPLATEK MESICNE",1993-01-08
193,69,"POPLATEK MESICNE",1996-12-22
194,44,"POPLATEK MESICNE",1996-08-01
195,70,"POPLATEK MESICNE",1997-02-27
196,4,"POPLATEK MESICNE",1993-11-14
197,1,"POPLATEK MESICNE",1993-02-25
198,70,"POPLATEK MESICNE",1993-10-25
199,70,"POPLATEK MESICNE",1996-10-26
200,17,"POPLATEK MESICNE",1994-07-03
201,63,"POPLATEK MESICNE",1994-11-02
204,67,"POPLATEK MESICNE",1996-01-13
205,1,"POPLATEK MESICNE",1997-10-08
206,61,"POPLATEK MESICNE",1995-04-08
207,2,"POPLATEK MESICNE",1993-07-25
208,54,"POPLATEK MESICNE",1996-03-27
209,37,"POPLATEK MESICNE",1996-11-24
210,48,"POPLATEK MESICNE",1996-03-17
211,28,"POPLATEK MESICNE",1997-07-19
212,27,"POPLATEK TYDNE",1993-01-20
213,73,"POPLATEK MESICNE",1995-08-29
214,22,"POPLATEK MESICNE",1997-03-09
215,31,"POPLATEK MESICNE",1997-11-25
216,38,"POPLATEK MESICNE",1994-05-16
217,77,"POPLATEK MESICNE",1995-01-20
218,68,"POPLATEK MESICNE",1996-02-06
219,28,"POPLATEK MESICNE",1995-09-06
220,72,"POPLATEK MESICNE",1993-04-09
221,19,"POPLATEK MESICNE",1996-10-30
222,37,"POPLATEK MESICNE",1993-03-15
223,39,"POPLATEK MESICNE",1995-06-13
224,15,"POPLATEK MESICNE",1996-10-27
225,1,"POPLATEK MESICNE",1993-07-28
226,70,"POPLATEK MESICNE",1997-02-23
227,27,"POPLATEK MESICNE",1995-03-28
228,5,"POPLATEK MESICNE",1993-09-28
229,1,"POPLATEK MESICNE",1997-06-07
230,1,"POPLATEK MESICNE",1996-02-26
231,22,"POPLATEK MESICNE",1995-04-03
232,45,"POPLATEK MESICNE",1997-11-29
234,73,"POPLATEK MESICNE",1993-07-15
235,41,"POPLATEK MESICNE",1993-10-06
236,72,"POPLATEK MESICNE",1996-03-16
237,50,"POPLATEK MESICNE",1994-03-25
238,6,"POPLATEK MESICNE",1993-08-15
239,69,"POPLATEK TYDNE",1993-03-01
240,72,"POPLATEK MESICNE",1997-04-28
241,15,"POPLATEK MESICNE",1996-09-29
242,69,"POPLATEK MESICNE",1996-08-29
243,55,"POPLATEK TYDNE",1993-11-06
244,24,"POPLATEK MESICNE",1993-02-08
245,65,"POPLATEK MESICNE",1993-11-25
246,65,"POPLATEK MESICNE",1997-12-20
248,1,"POPLATEK MESICNE",1995-04-02
249,28,"POPLATEK MESICNE",1996-12-03
250,56,"POPLATEK MESICNE",1997-05-10
251,74,"POPLATEK MESICNE",1996-04-06
252,19,"POPLATEK MESICNE",1996-12-26
253,46,"POPLATEK MESICNE",1995-12-05
255,68,"POPLATEK MESICNE",1996-11-03
256,37,"POPLATEK MESICNE",1995-05-14
257,11,"POPLATEK MESICNE",1995-11-05
258,64,"POPLATEK MESICNE",1997-07-09
259,2,"POPLATEK MESICNE",1993-10-28
260,24,"POPLATEK MESICNE",1995-10-14
261,54,"POPLATEK MESICNE",1996-10-07
262,75,"POPLATEK MESICNE",1996-01-27
263,64,"POPLATEK TYDNE",1997-01-03
264,15,"POPLATEK MESICNE",1996-02-09
265,19,"POPLATEK MESICNE",1996-07-05
266,47,"POPLATEK MESICNE",1994-05-11
267,38,"POPLATEK MESICNE",1995-04-26
268,3,"POPLATEK MESICNE",1996-05-29
269,3,"POPLATEK MESICNE",1996-08-30
270,27,"POPLATEK MESICNE",1995-01-23
271,1,"POPLATEK MESICNE",1996-08-13
272,11,"POPLATEK MESICNE",1996-10-23
273,24,"POPLATEK PO OBRATU",1993-07-11
274,76,"POPLATEK MESICNE",1993-08-20
275,29,"POPLATEK MESICNE",1996-01-02
276,38,"POPLATEK MESICNE",1997-12-08
277,32,"POPLATEK PO OBRATU",1994-05-01
278,73,"POPLATEK MESICNE",1996-04-08
279,39,"POPLATEK MESICNE",1993-04-14
280,25,"POPLATEK MESICNE",1993-01-23
281,1,"POPLATEK MESICNE",1996-10-27
282,69,"POPLATEK MESICNE",1997-05-12
283,44,"POPLATEK MESICNE",1996-04-18
284,54,"POPLATEK MESICNE",1997-07-18
285,17,"POPLATEK MESICNE",1995-05-08
286,71,"POPLATEK MESICNE",1996-03-27
287,16,"POPLATEK MESICNE",1993-10-27
288,25,"POPLATEK MESICNE",1995-03-18
289,1,"POPLATEK MESICNE",1994-03-17
290,56,"POPLATEK MESICNE",1993-12-02
291,7,"POPLATEK MESICNE",1997-06-08
292,49,"POPLATEK MESICNE",1997-02-26
293,1,"POPLATEK MESICNE",1997-05-04
294,7,"POPLATEK MESICNE",1997-01-05
295,66,"POPLATEK MESICNE",1997-11-23
296,49,"POPLATEK MESICNE",1996-02-14
297,74,"POPLATEK MESICNE",1996-09-08
298,35,"POPLATEK MESICNE",1997-12-02
299,77,"POPLATEK MESICNE",1993-04-05
300,1,"POPLATEK MESICNE",1993-06-23
301,60,"POPLATEK MESICNE",1995-09-10
302,7,"POPLATEK MESICNE",1996-05-09
303,71,"POPLATEK MESICNE",1996-07-25
304,4,"POPLATEK MESICNE",1997-03-20
305,34,"POPLATEK MESICNE",1996-10-18
306,16,"POPLATEK MESICNE",1993-06-08
307,26,"POPLATEK MESICNE",1997-08-07
308,61,"POPLATEK MESICNE",1995-10-16
309,14,"POPLATEK MESICNE",1997-04-25
311,50,"POPLATEK MESICNE",1997-08-08
312,41,"POPLATEK MESICNE",1996-01-03
313,73,"POPLATEK MESICNE",1996-07-06
314,15,"POPLATEK PO OBRATU",1996-01-26
315,45,"POPLATEK MESICNE",1997-12-08
316,62,"POPLATEK MESICNE",1997-05-08
317,76,"POPLATEK MESICNE",1993-03-10
318,36,"POPLATEK MESICNE",1994-09-16
319,47,"POPLATEK TYDNE",1995-10-17
320,47,"POPLATEK MESICNE",1997-01-23
321,47,"POPLATEK MESICNE",1993-11-11
322,1,"POPLATEK MESICNE",1993-02-20
323,52,"POPLATEK MESICNE",1997-02-23
324,1,"POPLATEK MESICNE",1996-08-23
325,75,"POPLATEK MESICNE",1996-10-06
326,61,"POPLATEK MESICNE",1997-08-06
327,54,"POPLATEK MESICNE",1993-06-02
328,1,"POPLATEK MESICNE",1997-09-18
329,3,"POPLATEK MESICNE",1996-10-19
330,42,"POPLATEK MESICNE",1996-11-24
331,65,"POPLATEK MESICNE",1995-10-02
332,36,"POPLATEK MESICNE",1996-01-12
333,73,"POPLATEK MESICNE",1996-12-23
334,1,"POPLATEK MESICNE",1993-05-24
335,74,"POPLATEK MESICNE",1996-01-20
336,62,"POPLATEK MESICNE",1995-10-16
337,17,"POPLATEK MESICNE",1995-11-25
338,49,"POPLATEK MESICNE",1995-11-18
339,46,"POPLATEK TYDNE",1996-09-11
340,1,"POPLATEK MESICNE",1993-11-03
341,28,"POPLATEK MESICNE",1996-11-19
342,64,"POPLATEK MESICNE",1996-10-13
343,18,"POPLATEK MESICNE",1994-04-26
344,54,"POPLATEK MESICNE",1993-12-01
345,5,"POPLATEK MESICNE",1993-11-20
346,37,"POPLATEK MESICNE",1993-01-11
347,65,"POPLATEK MESICNE",1993-12-13
348,25,"POPLATEK MESICNE",1995-11-15
349,72,"POPLATEK MESICNE",1997-06-08
350,47,"POPLATEK MESICNE",1996-10-13
351,50,"POPLATEK MESICNE",1997-02-17
352,39,"POPLATEK MESICNE",1994-07-04
353,24,"POPLATEK MESICNE",1995-08-30
354,59,"POPLATEK MESICNE",1993-10-28
355,62,"POPLATEK TYDNE",1996-02-01
356,70,"POPLATEK MESICNE",1996-03-12
357,20,"POPLATEK MESICNE",1996-03-10
358,12,"POPLATEK MESICNE",1993-12-09
359,11,"POPLATEK MESICNE",1994-12-11
360,32,"POPLATEK MESICNE",1996-05-14
361,51,"POPLATEK MESICNE",1993-02-27
362,15,"POPLATEK MESICNE",1993-04-04
363,1,"POPLATEK MESICNE",1994-05-06
364,1,"POPLATEK MESICNE",1997-01-20
365,74,"POPLATEK MESICNE",1993-12-12
366,1,"POPLATEK MESICNE",1996-10-23
367,23,"POPLATEK MESICNE",1997-05-09
368,77,"POPLATEK MESICNE",1993-07-06
370,25,"POPLATEK MESICNE",1994-02-18
371,12,"POPLATEK MESICNE",1996-08-02
372,55,"POPLATEK MESICNE",1995-09-10
373,67,"POPLATEK MESICNE",1996-06-20
374,38,"POPLATEK MESICNE",1993-01-09
375,68,"POPLATEK MESICNE",1996-06-07
376,25,"POPLATEK MESICNE",1995-03-05
377,70,"POPLATEK MESICNE",1994-08-19
378,68,"POPLATEK MESICNE",1996-07-22
379,32,"POPLATEK MESICNE",1996-05-18
381,68,"POPLATEK MESICNE",1993-07-04
382,14,"POPLATEK MESICNE",1996-08-16
383,38,"POPLATEK MESICNE",1997-05-15
384,24,"POPLATEK TYDNE",1997-09-14
385,5,"POPLATEK MESICNE",1993-04-07
386,1,"POPLATEK MESICNE",1997-08-11
387,72,"POPLATEK MESICNE",1997-09-19
388,59,"POPLATEK MESICNE",1995-02-11
389,30,"POPLATEK MESICNE",1993-08-28
390,44,"POPLATEK MESICNE",1996-02-16
391,36,"POPLATEK MESICNE",1993-12-11
392,1,"POPLATEK MESICNE",1996-07-14
393,46,"POPLATEK MESICNE",1995-02-04
395,1,"POPLATEK MESICNE",1993-03-12
396,21,"POPLATEK MESICNE",1993-03-08
397,11,"POPLATEK MESICNE",1993-10-26
398,69,"POPLATEK MESICNE",1997-10-24
399,1,"POPLATEK MESICNE",1996-08-27
400,28,"POPLATEK MESICNE",1993-07-17
401,32,"POPLATEK MESICNE",1993-01-18
402,68,"POPLATEK MESICNE",1997-09-14
403,1,"POPLATEK MESICNE",1993-07-29
404,41,"POPLATEK MESICNE",1995-04-28
405,55,"POPLATEK MESICNE",1997-03-13
406,63,"POPLATEK MESICNE",1996-09-03
407,72,"POPLATEK TYDNE",1997-04-18
408,41,"POPLATEK MESICNE",1993-07-21
409,1,"POPLATEK MESICNE",1996-06-11
410,49,"POPLATEK MESICNE",1996-10-15
411,70,"POPLATEK MESICNE",1993-02-05
412,74,"POPLATEK MESICNE",1996-01-21
413,18,"POPLATEK MESICNE",1996-07-09
414,1,"POPLATEK MESICNE",1996-01-29
415,25,"POPLATEK MESICNE",1993-03-03
416,6,"POPLATEK MESICNE",1996-08-11
417,73,"POPLATEK MESICNE",1996-01-27
418,36,"POPLATEK MESICNE",1995-08-27
419,13,"POPLATEK MESICNE",1993-10-25
420,75,"POPLATEK MESICNE",1995-08-26
421,75,"POPLATEK MESICNE",1997-11-27
422,53,"POPLATEK TYDNE",1994-08-29
423,12,"POPLATEK MESICNE",1993-03-28
424,12,"POPLATEK MESICNE",1997-02-17
425,9,"POPLATEK MESICNE",1993-03-19
426,1,"POPLATEK MESICNE",1993-11-29
427,8,"POPLATEK MESICNE",1994-07-24
428,1,"POPLATEK MESICNE",1993-02-27
429,63,"POPLATEK MESICNE",1995-09-03
430,54,"POPLATEK MESICNE",1995-09-02
431,18,"POPLATEK MESICNE",1996-11-05
432,46,"POPLATEK MESICNE",1993-06-16
433,20,"POPLATEK MESICNE",1993-06-12
434,1,"POPLATEK MESICNE",1996-12-24
435,38,"POPLATEK MESICNE",1993-01-08
436,30,"POPLATEK MESICNE",1996-08-07
437,43,"POPLATEK MESICNE",1993-12-03
438,37,"POPLATEK MESICNE",1997-06-23
439,69,"POPLATEK MESICNE",1996-04-15
440,29,"POPLATEK MESICNE",1996-12-22
441,27,"POPLATEK TYDNE",1993-12-17
442,54,"POPLATEK MESICNE",1997-03-30
443,64,"POPLATEK MESICNE",1993-01-28
444,26,"POPLATEK MESICNE",1996-05-09
445,63,"POPLATEK TYDNE",1993-07-29
446,50,"POPLATEK MESICNE",1993-06-15
447,5,"POPLATEK MESICNE",1996-08-14
449,19,"POPLATEK MESICNE",1994-11-22
450,59,"POPLATEK MESICNE",1996-05-28
451,11,"POPLATEK MESICNE",1994-05-05
452,63,"POPLATEK MESICNE",1995-11-29
453,75,"POPLATEK MESICNE",1997-04-24
454,7,"POPLATEK MESICNE",1995-05-07
455,54,"POPLATEK MESICNE",1995-04-23
456,49,"POPLATEK MESICNE",1993-01-21
458,7,"POPLATEK MESICNE",1995-06-16
459,47,"POPLATEK MESICNE",1993-01-21
460,1,"POPLATEK MESICNE",1994-04-18
461,30,"POPLATEK MESICNE",1993-02-18
462,29,"POPLATEK MESICNE",1993-11-10
463,51,"POPLATEK MESICNE",1995-05-08
464,43,"POPLATEK MESICNE",1997-05-28
465,32,"POPLATEK MESICNE",1993-02-04
466,71,"POPLATEK MESICNE",1996-02-18
467,74,"POPLATEK MESICNE",1993-09-24
468,49,"POPLATEK MESICNE",1996-03-19
469,72,"POPLATEK MESICNE",1997-07-14
470,64,"POPLATEK MESICNE",1994-03-23
471,47,"POPLATEK MESICNE",1995-06-07
472,8,"POPLATEK MESICNE",1996-10-11
473,73,"POPLATEK MESICNE",1996-10-20
474,61,"POPLATEK MESICNE",1995-12-06
475,3,"POPLATEK MESICNE",1997-05-11
476,69,"POPLATEK MESICNE",1997-04-11
477,1,"POPLATEK MESICNE",1993-01-25
478,58,"POPLATEK MESICNE",1994-07-16
479,1,"POPLATEK MESICNE",1995-11-05
480,23,"POPLATEK MESICNE",1997-01-21
481,72,"POPLATEK MESICNE",1996-04-23
483,70,"POPLATEK MESICNE",1997-07-15
484,1,"POPLATEK MESICNE",1995-01-20
485,6,"POPLATEK PO OBRATU",1993-01-04
486,33,"POPLATEK MESICNE",1995-11-21
487,40,"POPLATEK MESICNE",1995-11-14
488,25,"POPLATEK MESICNE",1996-06-20
489,16,"POPLATEK MESICNE",1993-05-17
490,45,"POPLATEK MESICNE",1995-05-23
491,44,"POPLATEK MESICNE",1996-05-12
492,5,"POPLATEK MESICNE",1993-10-10
493,26,"POPLATEK MESICNE",1994-04-05
494,60,"POPLATEK MESICNE",1993-03-11
496,69,"POPLATEK MESICNE",1993-02-26
497,55,"POPLATEK MESICNE",1993-04-15
498,1,"POPLATEK MESICNE",1993-11-21
500,56,"POPLATEK MESICNE",1996-04-27
501,13,"POPLATEK MESICNE",1995-10-21
502,1,"POPLATEK MESICNE",1997-10-13
503,1,"POPLATEK MESICNE",1996-08-08
504,73,"POPLATEK MESICNE",1993-04-21
505,64,"POPLATEK MESICNE",1996-12-16
506,67,"POPLATEK MESICNE",1996-07-08
507,52,"POPLATEK MESICNE",1996-06-17
508,74,"POPLATEK MESICNE",1996-11-19
509,36,"POPLATEK MESICNE",1997-08-14
510,1,"POPLATEK TYDNE",1993-06-02
511,14,"POPLATEK MESICNE",1996-11-10
512,68,"POPLATEK MESICNE",1997-01-14
513,58,"POPLATEK MESICNE",1996-11-21
514,70,"POPLATEK MESICNE",1996-03-30
515,57,"POPLATEK MESICNE",1995-02-09
516,6,"POPLATEK MESICNE",1996-02-08
517,76,"POPLATEK MESICNE",1993-09-22
518,74,"POPLATEK MESICNE",1994-09-09
519,24,"POPLATEK MESICNE",1993-11-12
520,60,"POPLATEK MESICNE",1993-11-04
521,9,"POPLATEK MESICNE",1995-10-08
522,17,"POPLATEK MESICNE",1995-12-20
523,1,"POPLATEK MESICNE",1993-08-11
524,61,"POPLATEK MESICNE",1994-05-03
525,70,"POPLATEK MESICNE",1996-03-20
526,67,"POPLATEK MESICNE",1996-07-16
528,17,"POPLATEK MESICNE",1996-12-30
529,39,"POPLATEK MESICNE",1997-08-18
530,54,"POPLATEK MESICNE",1996-11-19
531,31,"POPLATEK MESICNE",1995-08-18
532,26,"POPLATEK MESICNE",1995-09-02
533,40,"POPLATEK MESICNE",1995-05-07
534,1,"POPLATEK MESICNE",1997-05-26
535,35,"POPLATEK MESICNE",1994-05-24
536,14,"POPLATEK MESICNE",1996-10-13
537,34,"POPLATEK MESICNE",1997-01-08
538,70,"POPLATEK MESICNE",1994-06-07
539,13,"POPLATEK PO OBRATU",1993-02-16
540,75,"POPLATEK MESICNE",1993-10-16
541,61,"POPLATEK MESICNE",1993-08-12
542,1,"POPLATEK MESICNE",1993-11-01
543,64,"POPLATEK MESICNE",1994-05-03
544,32,"POPLATEK MESICNE",1995-05-15
545,54,"POPLATEK MESICNE",1993-11-24
546,8,"POPLATEK MESICNE",1996-11-23
547,24,"POPLATEK MESICNE",1997-07-27
548,16,"POPLATEK MESICNE",1994-06-07
549,5,"POPLATEK MESICNE",1996-11-27
550,24,"POPLATEK MESICNE",1997-10-17
551,77,"POPLATEK MESICNE",1993-05-07
552,14,"POPLATEK MESICNE",1993-08-20
553,26,"POPLATEK MESICNE",1995-06-06
554,26,"POPLATEK MESICNE",1996-01-26
555,24,"POPLATEK MESICNE",1993-05-15
556,12,"POPLATEK MESICNE",1997-06-26
557,1,"POPLATEK MESICNE",1995-11-26
558,10,"POPLATEK MESICNE",1996-06-15
559,46,"POPLATEK MESICNE",1993-03-05
560,36,"POPLATEK MESICNE",1995-08-20
561,11,"POPLATEK MESICNE",1996-12-12
562,50,"POPLATEK MESICNE",1993-02-25
563,53,"POPLATEK MESICNE",1993-07-27
564,5,"POPLATEK MESICNE",1997-12-23
565,39,"POPLATEK MESICNE",1995-11-25
566,8,"POPLATEK MESICNE",1997-11-13
567,15,"POPLATEK MESICNE",1996-06-19
568,18,"POPLATEK MESICNE",1995-03-28
569,76,"POPLATEK MESICNE",1996-10-01
570,3,"POPLATEK MESICNE",1996-11-14
571,72,"POPLATEK MESICNE",1996-07-16
572,32,"POPLATEK MESICNE",1994-03-27
573,1,"POPLATEK TYDNE",1996-07-11
574,70,"POPLATEK MESICNE",1993-07-30
575,38,"POPLATEK MESICNE",1994-04-26
576,55,"POPLATEK MESICNE",1993-01-01
577,29,"POPLATEK MESICNE",1994-09-20
578,28,"POPLATEK TYDNE",1997-03-21
579,1,"POPLATEK MESICNE",1997-12-16
580,75,"POPLATEK MESICNE",1996-05-20
581,26,"POPLATEK MESICNE",1996-10-13
582,12,"POPLATEK MESICNE",1994-08-05
584,31,"POPLATEK MESICNE",1996-07-14
585,4,"POPLATEK MESICNE",1997-09-04
586,54,"POPLATEK MESICNE",1995-03-16
587,19,"POPLATEK MESICNE",1996-06-21
588,66,"POPLATEK MESICNE",1993-03-14
589,1,"POPLATEK MESICNE",1997-04-26
590,50,"POPLATEK MESICNE",1996-02-24
591,1,"POPLATEK MESICNE",1997-08-12
592,23,"POPLATEK MESICNE",1996-12-27
593,48,"POPLATEK MESICNE",1996-07-16
594,54,"POPLATEK MESICNE",1994-12-09
595,20,"POPLATEK MESICNE",1996-12-21
596,31,"POPLATEK MESICNE",1994-10-13
597,41,"POPLATEK MESICNE",1993-12-05
598,1,"POPLATEK MESICNE",1997-02-08
599,54,"POPLATEK MESICNE",1996-12-04
600,46,"POPLATEK MESICNE",1997-03-13
601,29,"POPLATEK MESICNE",1993-08-04
602,43,"POPLATEK MESICNE",1995-10-27
603,62,"POPLATEK MESICNE",1996-06-11
604,12,"POPLATEK MESICNE",1993-11-26
605,65,"POPLATEK MESICNE",1997-02-04
606,75,"POPLATEK MESICNE",1997-11-04
607,16,"POPLATEK MESICNE",1995-02-17
