Company,Slogan
Konig's Westphalian Gin,The only perfect gin.
Evoca Cola,The original Black Seed Cola.
Jolly Cola,Free your taste.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Sunkist (soft drink),Good Vibrations.
Pluto Water,"When Nature Won't, PLUTO Will."
Shasta (soft drink),It hasta be Shasta!
Taut,The first clean sports drink.
Codorniu,The Culture of Pleasure.
Jacob's Creek,Say when.
Wolf Blass,Australian wine at its peak.
Sutter Home Winery,Taste the Commitment.
Blavod,Outrageously Smooth.
Patron Tequila,Simply perfect.
Malibu (rum),Seriously easy going.
Tanqueray,Ready to Tanqueray?
Dreher Breweries,Itâs whatâs inside that truly counts.
Staropramen Brewery,Get A Taste Of Prague.
Adnams,"Southwold, by the pint."
Carlton Cold,Nothingâs as fresh as a Coldie.
Schaefer Beer,Americaâs Oldest Lager Beer.
Minute Maid,Loaded with Taste.
Harp Lager,Look on the Harp side.
Poland Spring,Born Better.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Appy Fizz,Cool Drink to Hang Around With.
Joseph Schlitz Brewing Company,The beer that made Milwaukee famous.
Frooti,Juice Up your Life.
Cointreau,Be cointreauversial.
Disaronno,Taste the seduction
Norrlands Guld,Be yourself for a while
Mackeson Beer,king of the night.
Tuborg,Beer YOURSELF
Cafe Britt,From our plantation to your cup!
Boost (drink),Refresh yourself.
Shloer,Get your sparkle!
Grey Goose (vodka),The worldâs best tasting vodka.
Ballantine's,Play in moderation.
Jose Cuervo,Donât let go.
Black Velvet (whisky),Feel the Velvet
Houghton Wines,Perfect for when friends drop in.
Lindeman's,You make me smile.
United Breweries,The King of Good Times.
Caribou Coffee,Stay awake for it
RicorÃ©,Friend RicorÃ©.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Horn & Hardart,Less Work for Mother.
High Point (coffee),Decaffeinate the ones you love.
Guglielmo coffee,the coffee that hits the spot.
Postum,There's a Reason.
MiO,Flip it. Tip it. Sip it!
Gold Spot,The Zing Thing.
Frugo,Let's Frugo.
Double Diamond Beer,Iâm only here for the beer.
Gilbey's gin,Taste the smoothest gin today.
Go Fast!,Pure Energy.
Haig (whisky),"Donât Be Vague, Ask For A Haig."
A Twosome Place,"A cup of coffee, TWO of us"
Tiger Energy Drink,Power is back!
Um Bongo,The great flavour of the jungle
Super Bock,The beer that goes beyond your expectations
Bell's whisky,Afore ye go.
Irn-Bru,Gets you through.
Apollinaris (water),âThe Queen of Table Waters.
Licher Brewery,From the Heart of Nature
Bitburger Brewery,Bitte ein Bit.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Banania,the y'a bon buddy.
Nabob (coffee),"Better beans, better coffee, better planet."
Carling Black Label,"Hey Mabel, Black Label!"
Solo,Game On.
Milo,MILO Everyday!
Manischewitz,Man-O-Manischewitz What a Wine!
National Bohemian,What a beer!
Christian Schmidt Brewing Company,One Beautiful Beer.
Camp Coffee,Ready aye ready.
Luzianne,Take a fresh look at your iced tea.
5-hour Energy,Hours and hours of energy.
Full Throttle,Feel the energy at work.
V Energy,It all starts with V.
Relentless (drink),Be Relentless.
NOS (drink),You only live NOS.
Vault (drink),"Get it done, and then some."
Hype Energy Drinks,Feel the Hype.
Goodricke tea,The tea people.
BOH tea,Share the Ummph!
Tavalon Tea,The future of tea.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Diet Coke,Light it up!
E & J Gallo Winery,The new art of wine.
Greene King,Beer to Dine For.
Tapal Tea,Differ tastefully.
Thums Up,Taste The Thunder.
Tropicana,Straight from the fruit.
V8 Vegetable Juice,Drink Your Vegetables.
Vittoria Coffee,Where our expertise is still a family traditi
Cutty Sark (whisky),Live a Cutty above.
Dewar's,It never varies.
Chivas Regal,This is Chivas Life.
Appleton Jamaica Rum,Raise your Rum!
Kahlua,Awaken the spirit.
Courage Brewery,Take Courage.
Kronenbourg,Sit. Savour. 1664.
Bass Brewery,A little bit of better.
Labatt Brewing Company,Good things brewing.
Kokanee beer,Straight from the Kootenays.
Old Milwaukee,Taste as great as it's name.
Foster's Lager,Australian for beer.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Amstel Brewery,Taste life. Pure Filtered.
Guinness,Guinness is Good for You.
Seattle's Best Coffee,Great coffee everywhere.
Saxbys Coffee,Start your day fresh.
Tchibo,Passionate about coffee.
Brim coffee,Fill it to the rim with Brim.
Sanka coffee,One fiddler you won't have to pay.
Bombay Sapphire,Pour something priceless.
Hendrick's Gin,A most unusual gin.
Gordon's Gin,Re-mix yourself.
Beefeater Gin,Make it a double.
Baileys Irish Cream,The Pleasure Society.
Captain Morgan,Enjoy the contradiction.
Sauza Tequila,Fun is calling.
Wyborowa Vodka,Exquisite wodka.
Canadian Club,âNo ordinary Whisky.
Arbor Mist,Just what you've been looking for.
Aqua Pura,Be the best you can be.
Bisleri,The sweet taste of purity.
Evan Williams,Aged longer to taste smoother.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Jamba Juice,Good tidings we blend.
Lyons tea,Puts the talk into tea.
Brooke Bond,Cheers your senses.
Bushells,"Our tea, our way."
Fanta,"Drink Fanta, stay Bamboocha."
Sierra Mist,It's that refreshing.
Sprite,Obey Your Thirst.
Kenco,Growing great coffee and more.
Lavazza,Good karma. Great coffee.
Moccona coffee,Wake up to something special.
Nescafe,It all starts with a NescafÃ©.
Melitta,Coffee indulgence.
Eight O'Clock Coffee,For Those Who Put Coffee First.
Douwe Egberts,No ordinary jar. No ordinary coffee.
Gevalia coffee,Let's coffee.
Folgers,The best part of wakin' up.
Gold Peak Tea,Home brewed taste.
Honest Tea,Refreshingly Honest.
Lucozade,Lucozade aids recovery.
Powerade,The power of love.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Yogi Tea,How good can you feel?
Celestial Seasonings,Make any moment Celestial.
Barry's Tea,Every day should have its golden moments.
Clipper tea,Britain's favourite green tea.
Dilmah,The finest tea on earth.
Kericho Gold,A Matter of Good Taste
PG Tips tea,Put the kettle on.
Punjana tea,Everyone's cup of tea.
Yorkshire Tea,Let's have a proper brew.
Red Rose Tea,Red Rose Tea is good tea.
Twinings tea,Gets you back to you.
Tazo Tea,It begins with tea.
Zealong tea,100% pure New Zealand tea.
Ten Ren Tea,Ten Ren's. Tea time.
Tetley tea,"Make time, make Tetley."
Lipton,Be more tea.
Badoit,The petillant table water.
Vittel,It must be the water.
Perrier,Perrier. The ultimate refreshment.
Donat Mg,More than magnesium.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Head & Shoulders,Live head first.
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Naya Waters,Hungry for life. Thirsty for Naya.
S.Pellegrino,S. Pellegrino. Live in Italian.
Volvic,Filled with volcanicity.
Aquafina,Make your body happy.
Don Julio,Know your tequila.
Olmeca Tequila,Switch on the night.
Jameson Irish Whiskey,The spirit of Ireland.
Glenfiddich,Single source of inspiration.
Stolichnaya vodka,Exquisite wodka.
Smirnoff vodka,The greatest name in Vodka.
Tree Top,Nurtured from the start.
Grolsch Brewery,No Oneâs Ever Changed The World By Being Boaring.
Remy Martin,Feel More.
Hennessy,Mix accordingly.
Martell (cognac),Only a Few Can Tell.
Four Roses,America's most gifted whiskey.
Maker's Mark,Please enjoy it that way.
Jim Beam,Real Friends. Real Bourbon.
Wild Turkey (bourbon),Too good to keep cooped up.
Rolling Rock,Rolling Rock. Free Flowing.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Head & Shoulders,Live head first.
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Pilsner Urquell,The world's first golden beer.
Boddingtons,It's a bit gorgeous.
Beck's,Beck's. Life Beckons.
Sapporo,Senses Never Forget.
Stella Artois,Reassuringly expensive
Paulaner Brewery,"Good, better, Paulaner."
Corona,Miles Away From ordinary.
Red Stripe,It's BEER. Hooray beer!
Castlemaine XXXX,Australians wouldn't give a XXXX for anything
Newcastle Brown Ale,The One and Only.
St. Pauli Girl,Germany's Fun-Loving Beer.
Dos Equis,Let your tastes travel.
Bad Frog,The Beer so Good it's Bad.
Molson Canadian,It Starts Here.
A&W Root Beer,That frosty mug sensation.
Coors Brewing Company,It won't slow you down.
Three Olives Vodka,Crisp. Clean. Smooth.
Snapple,Made from the best stuff on Earth.
Schweppes,Schhh! You know who?
Canadian Mist,Grip it. Tip it. Sip it.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Head & Shoulders,Live head first.
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Johnnie Walker,Johnnie Walker. Keep Walking.
Maxwell House,Good to the last drop.
Starbucks,Customize Your Cup.
Miller Beer,"If youâve got the time, weâve got the beer."
Juicy Juice,100% juice for 100% kids.
RC cola,"Relax, and Enjoy Royal Crown Cola"
Skyy Vodka,"Drink dirty martinis, not dirty vodka"
Hawaiian Punch,How about a nice Hawaiian Punch?
Mountain Dew,Itâll tickle your innards.
Absolut Vodka,ABSOLUT PERFECTION.
Bacardi,Thirsty for life? Drink Responsibly.
Naked Juice,Worth its weight in good.
Pepsi,Delicious. Refreshing. Pepsi.
Carabao,Free your inner Carabao.
Budweiser,The king of beers.
7 Up,The Un-cola.
Carlsberg,Probably the Best Beer in the World.
Typhoo,Typhoo puts the T in Britain.
Dr. Pepper,Whatâs the Worst That Could Happen?
Red Bull,It Gives You Wiiiings.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Head & Shoulders,Live head first.
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Coca-Cola,Taste The Feeling.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Head & Shoulders,Live head first.
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Chupa Chups,Smoke Chupa Chups.
Tic Tac,It's not just a mint.
Toblerone,Make time for Toblerone.
Helms Bakery,Daily at Your Door
Lollicup Coffee & Tea,"Add a Little Fun, Mix a Little Flavor"
Baker's Dozen Donuts,Not Just Donuts...
Dan-D Foods,Fine Foods of the Earth
Canyon Creek Food Company,Favorite foods made easy.
Wispa,Time Well Mis-spent
Cadbury Roses,Roses Grow On You.
Picnic (chocolate bar),Deliciously ugly
Moro (chocolate bar),Get more go
Crunchie,Get that Friday feeling
Chomp (chocolate bar),It's a monster chew!
Trix (cereal),Trix Are For Kids!
Time Out (chocolate bar),âthe wafer break with a layer of Flake.
Violet Crumble,It's the way it shatters that matters.
Cadbury Creme Egg,It's Hunting Season.
Planters,Naturally Remarkable.
Chips Ahoy!,Crazy with chips!
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Fancy Feast,The best ingredient is love.
Dolmio,Whenâsa your Dolmio day?
Hula Hoops,Best ever flavour.
5 (gum),Stimulate Your Senses.
Peperami,"All Pork, No Bull."
Colman's,"Come on Colman's, light my fire."
Boursin cheese,"Some bread, some wine, some Boursin."
Butterfinger,better butter finger.
Boost (chocolate bar),One Step Ahead.
3 Musketeers,Big on Chocolate!
Trident (gum),See what Unfolds.
Cheetos,Dangerously cheesy.
Hostess CupCake,Where's the cream filling?
Ouma Rusks,Baked on the original farm.
Oreo,Only oreo.
Nik Naks,Eat The Freak.
Ruffles,Ruffles have RRRidges.
Toaster Strudel,Get Zem GÃ¶ing.
Tastykake,The Cake That Made Mother Stop Baking.
Walkers,Fresh Taste Guaranteed.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Branston,Bring out the Branston.
Twisties,Life's pretty straight without...
Burger Rings,Full on burger flavour.
Start (cereal),"I Want, Now I Can."
Cocoa Krispies,Can you handle the crunch?
Rice-A-Roni,The San Francisco Treat.
Life Savers,Still only 5 cents.
Golden Crisp,Canât Get Enough of That Golden Crisp.
Alpha Bits,They're ice-cream-a-licious!
Cheerios,Toasted Whole Grain Oat Cereal.
Kix (cereal),Kid-tested. Parent-approved.
Grape Nuts,Makes Red Blood!
Apple Jacks,We eat what we like.
Sugar Puffs,You'll Go Monster-Mad For The Honey.
Yorkie (chocolate bar),Itâs Not For Girls.
Aero (chocolate),Have you felt the bubbles melt?
Tootsie Pop,the center of a Tootsie Pop.
A.1. Sauce,Makes beef sing.
Rolaids,that's how you spell relief.
Jell-O,There's always room for Jell-O.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Prego,It's in there!.
Heinz Baked Beans,Beanz meanz Heinz.
Blue Bonnet,I'm on it like Blue Bonnet!
Honey Bunches of Oats,It's what's for breakfast.
Birds Eye,Come Home To Birds Eye Country.
Candwich,"Quick & Tasty, Ready to Eat."
Casa Sanchez,flavor out of this world.
Francesco Rinaldi,Enjoyed by everyone.
Idaho Spud,The Candy Bar That Makes Idaho Famous.
Meggle,Ich bin ein Gourmeggle.
Quaker,"Nothing is better for thee, than me."
Shurfine,You sure save more at a ShurSave store.
Shreddies,Shreddie or not?
Wagon Wheels,You've got to grin to get it in.
Bisto,"Aah, Bisto!"
Twizzlers,Makes mouths happy.
Hillshire Farm,Go Meat!
Campbell's,M'm! M'm! Good!
Wheaties,The breakfast of champions.
Frosted Flakes,They're g-r-r-r-eat!
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Skittles,Taste the rainbow.
Ajinomoto,"Eat Well, Live Well."
Mamee Double-Decker,A World of Good Taste.
Freia (chocolate),A small piece of Norway.
Golden Wonder,You'll never grow old in Golden Wonderland!
Ferrero-KÃ¼sschen,Give a KÃ¼sschen to your friend!
Ritter Sport,Quality in a Square.
Haribo,Child and adult is happy.
PÃR Gum,Live PUR.
Chicken Tonight,I feel like Chicken Tonight.
Hobnob biscuit,Chocolate now has Hobnobs underneath.
Homepride,the one with the bag.
Marmite,Love it or hate it.
Tip Top Bakeries,Tip Top's the One.
Chiko Roll,You can't knock the roll.
Now and Later,Share the Square.
Milky Way,Life's Better the Milky Way.
Dippin' Dots,Ice Cream of the Future
Lunchables,Make fun of lunch!
