authors,originalPublicationYear,originalTitle,title,languageCode
Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng
Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng
Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",en-US
Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US
Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US
Aldous Huxley,1932,Brave New World,Brave New World,eng
Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US
Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,en-US
"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng
"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,eng
Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng
Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,eng
Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng
"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,eng
Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,eng
Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng
Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,eng
Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,eng
Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng
Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",eng
Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng
Stephen King,1977,The Shining,The Shining (The Shining #1),eng
Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",en-US
John Green,2005,Looking for Alaska,Looking for Alaska,eng
Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",eng
"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,eng
"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",eng
Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,eng
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,eng
Jeannette Walls,2005,The Glass Castle,The Glass Castle,eng
Jon Krakauer,1996,Into the Wild,Into the Wild,eng
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,eng
Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa
Shel Silverstein,1964,The Giving Tree,The Giving Tree,eng
John Grisham,1989,A Time to Kill,A Time to Kill,eng
"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng
John Green,2008,Paper Towns,Paper Towns,en-US
William Goldman,1973,The Princess Bride,The Princess Bride ,en-US
S.E. Hinton,1967,The Outsiders,The Outsiders,en-US
James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng
"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US
Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,eng
"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,eng
"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,eng
E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng
"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,eng
"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng
E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng
Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,eng
David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,eng
Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,eng
"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng
Cormac McCarthy,2006,The Road,The Road,eng
Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",eng
Tina Fey,2011,Bossypants,Bossypants,eng
Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,en-US
Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng
"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,eng
George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng
Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng
Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",eng
Joseph Heller,1961,Catch-22,Catch-22,en-US
"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,eng
Jeffrey Eugenides,2002,Middlesex,Middlesex,en-US
"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng
Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US
Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,eng
Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,eng
Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng
"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita,eng
"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng
John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",eng
Emma Donoghue,2010,Room,Room,eng
"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng
Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),eng
Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng
Walter Isaacson,2011,Steve Jobs,Steve Jobs,eng
Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng
Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,eng
John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,eng
Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,
L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng
Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US
George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng
Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US
Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",eng
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,eng
Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US
"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US
Andy Weir,2012,The Martian,The Martian,eng
Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng
Anthony Doerr,2014,,All the Light We Cannot See,eng
Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
Dan Brown,2001,Deception Point,Deception Point,eng
Donna Tartt,2013,The Goldfinch,The Goldfinch,eng
Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,eng
Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,eng
Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",en-US
Anita Diamant,1997,The Red Tent,The Red Tent,en-US
Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng
Nicholas Sparks,2006,Dear John,Dear John,en-US
Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng
William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,eng
J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US
Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng
"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,en-US
"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng
Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng
Charles Dickens,1860,Great Expectations,Great Expectations,eng
J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US
"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger,eng
Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng
Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,eng
George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US
Ally Condie,2010,Matched,"Matched (Matched, #1)",eng
Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",eng
"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,en-US
Nicholas Sparks,2008,The Last Song,The Last Song,en-GB
Dan Brown,1998,Digital Fortress,Digital Fortress,en-GB
"Jane Austen, Fiona Stafford",1815,Emma,Emma,eng
"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,Anna Karenina,eng
Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange,eng
William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack,eng
Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng
Stephen King,1986,It,It,en-US
"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,Crime and Punishment,eng
Sylvia Plath,1963,The Bell Jar,The Bell Jar,en-US
Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng
"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha,eng
Truman Capote,1965,In Cold Blood,In Cold Blood,eng
"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng
Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng
"Roald Dahl, Quentin Blake",1988,Matilda,Matilda,eng
Erin Morgenstern,2011,The Night Circus,The Night Circus,eng
Philippa Gregory,2001,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng
Scott Westerfeld,2005,Uglies,"Uglies (Uglies, #1)",eng
George R.R. Martin,2011,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng
J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng
Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,eng
"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Watchmen,en-US
Patrick Rothfuss,2007,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng
Malcolm Gladwell,2008,Outliers: The Story of Success,Outliers: The Story of Success,en-US
"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng
"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng
Chuck Palahniuk,1996,Fight Club,Fight Club,eng
Charlaine Harris,2001,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US
Alice Walker,1982,The Color Purple,The Color Purple,eng
John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng
Agatha Christie,1939,Ten Little Niggers,And Then There Were None,eng
Dan Brown,2009,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng
Becca Fitzpatrick,2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US
Jamie McGuire,2011,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng
Charles Dickens,1843,A Christmas Carol,A Christmas Carol,
Anne Rice,1976,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng
Kiera Cass,2012,The Selection,"The Selection (The Selection, #1)",en-US
Janet Evanovich,1994,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US
Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng
Thomas Harris,1988,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng
Richelle Mead,2007,,"Vampire Academy (Vampire Academy, #1)",en-US
Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US
Ian McEwan,2001,Atonement,Atonement,eng
"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,The Metamorphosis,eng
Rick Riordan,2007,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng
Ernest Cline,2011,,Ready Player One,eng
Garth Stein,2006,The Art of Racing in the Rain,The Art of Racing in the Rain,eng
"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng
Sylvia Day,2012,Bared to You,"Bared to You (Crossfire, #1)",eng
"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng
Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,Twilight: The Complete Illustrated Movie Companion,en-US
Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng
Robert Ludlum,1980,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng
Eoin Colfer,2001,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng
Lauren Kate,2009,Fallen,"Fallen (Fallen, #1)",en-US
John Steinbeck,1952,East of Eden  ,East of Eden,eng
Gillian Flynn,2009,Dark Places,Dark Places,eng
John Grisham,1993,The Client,The Client,eng
"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng
"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng
"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,Persuasion,eng
Tatiana de Rosnay,2007,Elle s'appelait Sarah,Sarah's Key,eng
Stephen King,1982,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US
"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,Love in the Time of Cholera,eng
Laurie Halse Anderson,1999,Speak,Speak,eng
Liane Moriarty,2013,The Husband's Secret ,The Husband's Secret,eng
Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US
Stephen King,1974,Carrie,Carrie,
Augusten Burroughs,2002,Running with Scissors,Running with Scissors,en-US
Max Brooks,2006,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US
Dan Brown,2013,Inferno,"Inferno (Robert Langdon, #4)",eng
Lois Lowry,1989,Number the Stars,Number the Stars,eng
James Patterson,1993,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng
Stephen King,1987,Misery,Misery,en-GB
Gillian Flynn,2006,Sharp Objects,Sharp Objects,en-US
Katherine Paterson,1977,Bridge to Terabithia,Bridge to Terabithia,eng
"P.C. Cast, Kristin Cast",2007,Marked,"Marked (House of Night, #1)",en-US
Stephen R. Covey,1989,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,A Midsummer Night's Dream,eng
Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US
R.J. Palacio,2012,Wonder,Wonder,eng
Dr. Seuss,1957,The Cat in the Hat,The Cat in the Hat,eng
Marissa Meyer,2012,Cinder,"Cinder (The Lunar Chronicles, #1)",eng
"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US
Maggie Stiefvater,2009,Shiver,"Shiver (The Wolves of Mercy Falls, #1)",eng
"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,Atlas Shrugged,eng
"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea ,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US
"Jane Carruth, Lewis Carroll, Rene Cloke",1865,,Alice in Wonderland,eng
"Carlos Ruiz Zafón, Lucia Graves",2001,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng
James Dashner,2010,The Scorch Trials,"The Scorch Trials (Maze Runner, #2)",eng
Dale Carnegie,1936,How to Win Friends and Influence People,How to Win Friends and Influence People,eng
Frances Mayes,1996,Under the Tuscan Sun,Under the Tuscan Sun,eng
Liane Moriarty,2014,Big Little Lies,Big Little Lies,eng
Gail Carson Levine,1997,Ella Enchanted,Ella Enchanted,eng
Ernest Hemingway,1926,The Sun Also Rises,The Sun Also Rises,en-US
Betty  Smith,1943,A Tree Grows In Brooklyn ,A Tree Grows in Brooklyn,eng
James Patterson,1995,Kiss the Girls,"Kiss the Girls (Alex Cross, #2)",eng
Kristin Hannah,2015,The Nightingale,The Nightingale,eng
Kazuo Ishiguro,2005,Never Let Me Go,Never Let Me Go,eng
Cecelia Ahern,2003,"PS, I Love You",P.S. I Love You,en-US
"Daphne du Maurier, Sally Beauman",1938,Rebecca,Rebecca,en-US
Daniel Keyes,1966,Flowers for Algernon,Flowers for Algernon,en-US
"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Como agua para chocolate,Like Water for Chocolate,en-US
Lisa See,2005,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng
"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,The Godfather,eng
John Green,2006,An Abundance of Katherines,An Abundance of Katherines,eng
Isaac Asimov,1951,Foundation,Foundation (Foundation #1),eng
Neil Gaiman,2013,The Ocean at the End of the Lane,The Ocean at the End of the Lane,eng
Shel Silverstein,1981,A Light in the Attic,A Light in the Attic,eng
"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and Two","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng
Lauren Oliver,2011,Delirium,"Delirium (Delirium, #1)",eng
John Grisham,1992,The Pelican Brief,The Pelican Brief,eng
Neil Gaiman,2002,Coraline,Coraline,eng
"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US
Jack Kerouac,1955,On the Road,On the Road,eng
Graeme Simsion,2013,The Rosie Project,"The Rosie Project (Don Tillman, #1)",eng
Nicholas Sparks,2008,The Lucky One,The Lucky One,en-US
"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,The Fountainhead,eng
Tom Clancy,1984,The Hunt for Red October,"The Hunt for Red October (Jack Ryan Universe, #4)",
Richard Adams,1972,Watership Down,"Watership Down (Watership Down, #1)",eng
Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),Is Everyone Hanging Out Without Me? (And Other Concerns),eng
Abraham Verghese,2009,Cutting for Stone,Cutting for Stone,eng
"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng
Robert Louis Stevenson,1882,Treasure Island,Treasure Island,eng
Rick Riordan,2011,The Son of Neptune ,"The Son of Neptune (The Heroes of Olympus, #2)",eng
Stephen King,2011,11/22/63,11/22/63,eng
Eric Carle,1969,The Very Hungry Caterpillar,The Very Hungry Caterpillar Board Book,eng
Kurt Vonnegut Jr.,1963,Cat's Cradle,Cat's Cradle,eng
"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,The Time Machine,eng
"Todd Burpo, Lynn Vincent",2010,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng
John Boyne,2006,The Boy in the Striped Pyjamas,The Boy in the Striped Pajamas,eng
Joseph Conrad,1899,Heart of Darkness,Heart of Darkness,eng
Nicholas Sparks,2010,Safe Haven,Safe Haven,eng
Rhonda Byrne,2006,The Secret,"The Secret (The Secret, #1)",eng
Wally Lamb,1998,I Know This Much Is True ,I Know This Much Is True,eng
Stephen King,1983,Pet Sematary,Pet Sematary,eng
Wally Lamb,1992,She's Come Undone,She's Come Undone,en-US
Patrick Rothfuss,2011,The Wise Man's Fear,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",eng
Sophie Kinsella,2003,Can You Keep a Secret?,Can You Keep a Secret?,en-US
Cassandra Clare,2011,City of Fallen Angels,"City of Fallen Angels (The Mortal Instruments, #4)",en-US
Jennifer Weiner,2001,Good in Bed,"Good in Bed (Cannie Shapiro, #1)",en-US
Colleen McCullough,1977,The Thorn Birds,The Thorn Birds,eng
"Neil Gaiman, Dave McKean",2008,The Graveyard Book,The Graveyard Book,en-US
M.L. Stedman,2012,The Light Between Oceans,The Light Between Oceans,eng
"Cornelia Funke, Anthea Bell",2003,Tintenherz,"Inkheart (Inkworld, #1)",en-US
"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?,Who Moved My Cheese?,eng
Bill Bryson,1997,A Walk in the Woods,A Walk in the Woods,eng
