directorid,genre,prob
639,Comedy,0.333333
639,Drama,0.333333
639,Horror,0.333333
639,Sci-Fi,0.333333
640,Drama,1
641,Comedy,1
642,Drama,1
642,Short,1
643,Documentary,1
643,Short,1
644,Documentary,1
644,Short,1
646,Short,1
647,Short,1
648,Adventure,0.111111
648,Comedy,0.259259
648,Documentary,0.111111
648,Drama,0.555556
648,Family,0.037037
648,Fantasy,0.037037
648,Horror,0.0740741
648,Musical,0.111111
648,Mystery,0.111111
648,Short,0.148148
648,Western,0.296296
649,Drama,1
649,Short,1
650,Drama,0.5
650,Short,1
651,Horror,1
651,Short,1
652,Short,1
653,Comedy,0.833333
653,Drama,0.166667
653,Fantasy,0.166667
653,Short,0.333333
655,Drama,0.5
655,Short,0.5
656,Comedy,1
656,Short,1
657,Action,0.2
657,Comedy,0.1
657,Documentary,0.2
657,Drama,0.8
657,Family,0.1
657,Romance,0.3
657,Short,0.1
657,War,0.1
659,Fantasy,1
659,Short,1
660,Drama,1
660,Short,1
663,Drama,1
663,Short,1
664,Short,1
665,Short,1
666,Documentary,1
666,Short,1
667,Comedy,0.338462
667,Documentary,0.415385
667,Drama,0.0615385
667,Family,0.0153846
667,Horror,0.0307692
667,Musical,0.107692
667,Short,0.538462
667,Thriller,0.0153846
668,Short,1
669,Short,1
670,Documentary,0.5
670,Short,1
671,Short,1
672,Documentary,1
674,Comedy,0.25
674,Drama,0.25
674,Short,0.75
675,Drama,0.5
675,Short,1
676,Drama,1
676,Short,1
677,Action,0.5
677,Comedy,0.5
677,Short,0.5
680,Drama,1
681,Action,0.5
681,Drama,0.5
682,Documentary,1
684,Action,0.5
684,Comedy,0.166667
684,Crime,0.5
684,Documentary,0.166667
684,Drama,0.666667
684,Romance,0.333333
685,Action,0.5
685,Comedy,0.5
685,Thriller,0.5
686,Animation,1
686,Family,1
686,Short,1
687,Comedy,1
687,Short,1
688,Drama,1
688,Romance,1
689,Documentary,1
689,Drama,1
689,Music,1
690,Comedy,1
690,Drama,1
690,Short,1
691,Horror,1
691,Mystery,1
691,Thriller,1
696,Documentary,1
699,Animation,1
699,Documentary,1
699,Short,1
700,Comedy,1
700,Drama,1
700,Short,1
702,Short,1
704,Comedy,1
706,Documentary,1
709,Short,1
710,Drama,1
710,Family,1
712,Documentary,1
712,Short,1
713,Short,1
714,Action,0.5
714,Comedy,0.5
714,Drama,0.5
714,Family,0.5
714,Romance,0.5
714,Thriller,0.5
716,Action,1
716,Sci-Fi,1
717,Drama,0.75
717,Mystery,0.25
717,Romance,0.25
717,War,0.25
718,Documentary,0.5
718,Drama,0.5
719,Documentary,1
719,Short,1
720,Comedy,1
722,Drama,1
723,Action,1
723,Crime,0.333333
723,Drama,0.333333
723,Family,0.333333
723,Thriller,0.333333
724,Romance,1
726,Short,1
727,Horror,1
727,Thriller,0.333333
728,Action,1
729,Action,0.138889
729,Comedy,0.0277778
729,Crime,0.0833333
729,Drama,0.861111
729,Romance,0.111111
729,Thriller,0.0555556
729,War,0.0833333
730,Drama,1
730,Romance,1
731,Drama,1
732,Short,1
733,Action,0.714286
733,Family,0.285714
733,Fantasy,0.428571
733,Horror,0.285714
733,Mystery,0.285714
733,Sci-Fi,0.285714
734,Action,1
734,Adventure,1
734,Animation,1
735,Documentary,1
735,Short,1
737,Documentary,1
737,Short,0.333333
738,Documentary,1
739,Documentary,1
740,Animation,0.5
740,Short,0.5
742,Comedy,0.5
742,Romance,0.5
742,Short,0.5
743,Comedy,0.5
743,Documentary,0.5
743,Short,0.5
744,Comedy,0.666667
744,Crime,0.333333
745,Documentary,1
746,Short,1
748,Action,1
748,Drama,0.5
748,Musical,0.5
748,Thriller,0.5
749,Drama,0.25
749,Horror,0.25
749,Short,0.75
750,Drama,1
751,Drama,0.5
751,Western,0.5
752,Short,1
754,Documentary,1
756,Drama,1
756,Short,1
757,Crime,1
757,Drama,1
758,Documentary,1
759,Short,1
766,Short,1
767,Comedy,1
767,Drama,1
768,Documentary,1
768,Short,0.5
769,Short,1
770,Drama,1
771,Drama,0.666667
771,Short,0.666667
772,Short,1
773,Comedy,0.5
773,Romance,0.5
773,Short,0.5
774,Action,0.333333
774,Adventure,0.333333
774,Crime,0.666667
774,Drama,0.333333
776,Short,1
777,Romance,1
778,Drama,1
779,Documentary,1
780,Action,1
780,Animation,1
780,Comedy,1
781,Drama,1
781,Horror,1
782,Crime,0.5
782,Drama,0.5
782,Romance,0.5
786,Crime,0.333333
786,Drama,0.333333
786,Short,1
787,Short,1
788,Documentary,1
790,Documentary,1
791,Comedy,1
792,Drama,0.666667
792,Short,0.333333
794,Crime,0.333333
794,Drama,0.333333
794,Horror,0.333333
794,Sci-Fi,0.333333
794,Short,0.333333
795,Short,1
796,Documentary,1
796,Short,1
798,Drama,1
799,Documentary,1
799,Short,1
801,Comedy,0.2
801,Drama,0.6
801,Romance,0.2
806,Documentary,1
806,Short,0.6
808,Drama,1
808,Horror,0.5
808,Short,0.5
808,Thriller,0.5
809,Adventure,0.25
809,Drama,0.5
809,Fantasy,0.25
809,Romance,0.25
810,Documentary,1
811,Action,1
811,Adventure,1
811,Animation,1
811,Fantasy,1
811,Horror,1
812,Animation,1
812,Comedy,1
813,Action,1
813,Adventure,1
813,Animation,1
813,Drama,1
813,Fantasy,1
813,Romance,1
813,Sci-Fi,1
813,Thriller,1
814,Drama,1
816,Action,1
816,Drama,1
818,Adventure,0.5
818,Drama,1
819,Documentary,1
820,Action,1
820,Adventure,1
820,Fantasy,1
820,Sci-Fi,1
821,Action,0.6
821,Adventure,0.4
821,Fantasy,0.2
821,Sci-Fi,1
822,Crime,0.25
822,Drama,0.25
822,Music,0.25
822,Musical,0.25
822,Romance,0.25
822,Thriller,0.25
823,Adventure,0.163636
823,Comedy,0.0545455
823,Crime,0.109091
823,Drama,0.818182
823,Musical,0.0181818
823,Romance,0.290909
823,Sci-Fi,0.0181818
823,Thriller,0.0181818
823,War,0.0363636
824,Comedy,1
825,Animation,1
825,Short,1
826,Comedy,1
827,Comedy,1
827,Drama,1
827,Family,1
828,Comedy,1
828,Drama,0.5
828,Romance,0.5
829,Adventure,0.142857
829,Crime,0.047619
829,Drama,0.666667
829,Romance,0.47619
832,Drama,1
833,Animation,1
833,Sci-Fi,0.75
833,Short,0.75
834,Comedy,1
834,Drama,1
834,Romance,1
836,Comedy,0.111111
836,Documentary,0.148148
836,Drama,0.259259
836,Musical,0.037037
836,Romance,0.0740741
836,Short,0.481481
837,Short,1
838,Comedy,0.5
838,Drama,0.5
839,Comedy,0.125
839,Crime,0.25
839,Drama,0.75
840,Drama,1
840,Musical,0.5
840,Romance,1
840,War,0.5
841,Comedy,0.25
841,Drama,0.5
841,Family,0.5
841,Romance,0.25
843,Drama,1
844,Drama,1
844,Short,1
845,Drama,1
845,Romance,1
847,Animation,1
848,Documentary,1
852,Drama,1
853,Comedy,0.142857
853,Crime,0.142857
853,Documentary,0.142857
853,Drama,0.428571
853,Romance,0.285714
853,Short,0.285714
853,Thriller,0.142857
855,Fantasy,1
856,Short,1
857,Short,1
858,Adventure,0.155556
858,Comedy,0.0222222
858,Crime,0.0444444
858,Drama,0.688889
858,Fantasy,0.0444444
858,Musical,0.0222222
858,Romance,0.244444
858,War,0.111111
858,Western,0.0222222
862,Action,0.666667
862,Adventure,0.111111
862,Animation,1
862,Drama,0.111111
862,Fantasy,0.111111
862,Sci-Fi,0.777778
862,Short,0.222222
862,Thriller,0.111111
862,War,0.111111
863,Short,1
864,Action,1
864,Animation,1
864,Comedy,1
864,Fantasy,1
864,Sci-Fi,1
868,Drama,0.666667
868,War,0.666667
869,Short,1
870,Short,1
871,Short,1
872,Drama,1
872,Short,1
876,Adventure,0.333333
876,Comedy,0.333333
876,Drama,0.333333
877,Documentary,1
877,Sci-Fi,0.2
878,Comedy,1
878,Romance,1
879,Documentary,1
880,Drama,1
880,Romance,0.8
881,Documentary,1
882,Comedy,1
882,Short,1
883,Animation,1
883,Family,1
883,Fantasy,0.5
883,Musical,0.5
883,Romance,0.5
883,Short,0.5
884,Comedy,1
884,Drama,1
884,Fantasy,1
884,Romance,1
886,Comedy,0.210526
886,Crime,0.0789474
886,Drama,0.605263
886,Family,0.105263
886,Musical,0.0263158
886,Romance,0.631579
886,Thriller,0.0263158
886,War,0.0263158
887,Comedy,0.333333
887,Drama,0.333333
887,Musical,0.666667
887,Sci-Fi,0.333333
888,Adventure,0.166667
888,Drama,1
893,Drama,1
893,Fantasy,1
893,Romance,1
895,Comedy,0.333333
895,Drama,0.666667
895,Musical,0.333333
895,Romance,0.666667
897,Documentary,1
900,Animation,1
900,Family,1
901,Drama,1
904,Documentary,0.5
904,Short,0.5
905,Drama,1
907,Comedy,0.5
907,Drama,0.5
907,Romance,0.25
907,Short,0.25
909,Comedy,0.5
909,Romance,0.5
910,Drama,1
912,Documentary,1
913,Documentary,1
914,Drama,1
920,Drama,0.5
920,Thriller,0.5
922,Drama,1
924,Action,0.5
924,Adventure,0.25
924,Animation,0.25
924,Documentary,0.25
924,Drama,0.25
924,Family,0.25
924,Thriller,0.25
925,Short,1
926,Documentary,1
927,Documentary,0.333333
927,Fantasy,0.333333
927,Short,1
929,Crime,0.333333
929,Documentary,0.166667
929,Drama,0.333333
929,Short,0.5
930,Drama,1
931,Short,1
932,Short,1
935,Drama,0.5
935,Short,0.5
937,Drama,1
937,Short,1
940,Documentary,1
940,Short,1
941,Drama,1
943,Drama,0.666667
943,Thriller,0.333333
945,Horror,1
946,Documentary,1
946,Short,0.5
947,Documentary,1
947,Short,1
949,Documentary,1
951,Drama,1
952,Comedy,0.375
952,Crime,0.125
952,Drama,0.625
954,Action,0.4
954,Comedy,0.2
954,Drama,0.4
954,Fantasy,0.2
955,Comedy,1
955,Drama,1
955,Romance,1
958,Animation,0.333333
958,Short,0.833333
959,Comedy,0.9
959,Drama,0.1
960,Comedy,0.142857
960,Documentary,0.428571
960,Drama,0.428571
960,Short,0.142857
962,Action,0.5
962,Adventure,0.5
962,Drama,1
963,Animation,0.5
963,Comedy,0.5
963,Short,1
964,Documentary,1
965,Drama,1
965,Short,1
966,Short,1
967,Action,0.0571429
967,Adventure,0.0857143
967,Comedy,0.514286
967,Crime,0.0571429
967,Drama,0.485714
967,Fantasy,0.0285714
967,Horror,0.114286
967,Musical,0.0857143
967,Mystery,0.0857143
967,Romance,0.142857
