GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization
G234076,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects",PS00463,1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234076,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects",PS00463,1,METABOLISM,nucleus
G234076,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects",PS00463,1,TRANSCRIPTION,nucleus
G234084,Non-Essential,"Protein Kinases",?,?,PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234084,Non-Essential,"Protein Kinases",?,?,PS00107,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234084,Non-Essential,"Protein Kinases",?,?,PS00107,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234084,Non-Essential,"Protein Kinases",?,?,PS00108,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234084,Non-Essential,"Protein Kinases",?,?,PS00108,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234084,Non-Essential,"Protein Kinases",?,?,PS00108,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234085,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,PS00685,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234085,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,PS00685,2,TRANSCRIPTION,nucleus
G234089,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,"Nucleic acid metabolism defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234089,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,"Nucleic acid metabolism defects",?,2,METABOLISM,"plasma membrane"
G234093,Non-Essential,Motorproteins,Cytoskeleton,?,PS00017,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234093,Non-Essential,Motorproteins,Cytoskeleton,?,PS00017,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234093,Non-Essential,Motorproteins,Cytoskeleton,?,PS00017,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",nucleus
G234096,Non-Essential,"Molecular chaperones",?,?,PS00297,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234096,Non-Essential,"Molecular chaperones",?,?,PS00297,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234100,Essential,"Transcription factors","Transcription complexes/Transcriptosome","Stress response defects",?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G234100,Essential,"Transcription factors","Transcription complexes/Transcriptosome","Stress response defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234100,Essential,"Transcription factors","Transcription complexes/Transcriptosome","Stress response defects",?,2,TRANSCRIPTION,nucleus
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00017,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00017,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00017,2,ENERGY,mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00017,2,"IONIC HOMEOSTASIS",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00017,2,"TRANSPORT FACILITATION",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00152,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00152,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00152,2,ENERGY,mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00152,2,"IONIC HOMEOSTASIS",mitochondria
G234101,Non-Essential,ATPases,"Respiration chain complexes","Auxotrophies, carbon and",PS00152,2,"TRANSPORT FACILITATION",mitochondria
G234102,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,PS00038,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234102,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,PS00038,2,METABOLISM,nucleus
G234102,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,PS00038,2,TRANSCRIPTION,nucleus
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00107,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00107,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00479,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell cycle defects",PS00479,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00107,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00107,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00479,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00479,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00107,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00107,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00479,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Nucleic acid metabolism defects",PS00479,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00107,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00107,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00479,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234103,Essential,"Protein Kinases",?,"Sensitivity to aminoacid analogs and other drugs",PS00479,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234106,?,Histones,"Nucleosomal protein complex","Auxotrophies, carbon and",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234106,?,Histones,"Nucleosomal protein complex","Auxotrophies, carbon and",?,2,TRANSCRIPTION,nucleus
G234106,?,Histones,"Nucleosomal protein complex","Cell cycle defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234106,?,Histones,"Nucleosomal protein complex","Cell cycle defects",?,2,TRANSCRIPTION,nucleus
G234106,?,Histones,"Nucleosomal protein complex","Cell morphology and organelle mutants",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234106,?,Histones,"Nucleosomal protein complex","Cell morphology and organelle mutants",?,2,TRANSCRIPTION,nucleus
G234106,?,Histones,"Nucleosomal protein complex","Conditional phenotypes",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234106,?,Histones,"Nucleosomal protein complex","Conditional phenotypes",?,2,TRANSCRIPTION,nucleus
G234106,?,Histones,"Nucleosomal protein complex","Nucleic acid metabolism defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234106,?,Histones,"Nucleosomal protein complex","Nucleic acid metabolism defects",?,2,TRANSCRIPTION,nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Auxotrophies, carbon and",PS00322,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Auxotrophies, carbon and",PS00322,2,TRANSCRIPTION,nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Auxotrophies, carbon and",PS00959,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Auxotrophies, carbon and",PS00959,2,TRANSCRIPTION,nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Cell morphology and organelle mutants",PS00322,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Cell morphology and organelle mutants",PS00322,2,TRANSCRIPTION,nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Cell morphology and organelle mutants",PS00959,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Cell morphology and organelle mutants",PS00959,2,TRANSCRIPTION,nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Nucleic acid metabolism defects",PS00322,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Nucleic acid metabolism defects",PS00322,2,TRANSCRIPTION,nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Nucleic acid metabolism defects",PS00959,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234107,Non-Essential,Histones,"Nucleosomal protein complex","Nucleic acid metabolism defects",PS00959,2,TRANSCRIPTION,nucleus
G234108,Non-Essential,"Other kinases",?,?,PS00627,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234108,Non-Essential,"Other kinases",?,?,PS00627,2,METABOLISM,cytoplasm
G234108,Non-Essential,"Other kinases",?,?,PS00627,2,TRANSCRIPTION,cytoplasm
G234109,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,"Nucleic acid metabolism defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234109,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,"Nucleic acid metabolism defects",?,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234109,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,"Nucleic acid metabolism defects",?,2,METABOLISM,"plasma membrane"
G234109,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,"Nucleic acid metabolism defects",?,2,"TRANSPORT FACILITATION","plasma membrane"
G234122,Essential,ATPases,"Intracellular transport complexes","Cell morphology and organelle mutants",PS00017,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234122,Essential,ATPases,"Intracellular transport complexes","Cell morphology and organelle mutants",PS00017,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G234122,Essential,ATPases,"Intracellular transport complexes","Cell morphology and organelle mutants",PS00225,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234122,Essential,ATPases,"Intracellular transport complexes","Cell morphology and organelle mutants",PS00225,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G234122,Essential,ATPases,"Intracellular transport complexes","Cell morphology and organelle mutants",PS00674,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234122,Essential,ATPases,"Intracellular transport complexes","Cell morphology and organelle mutants",PS00674,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Conditional phenotypes",?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Conditional phenotypes",?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Conditional phenotypes",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Conditional phenotypes",?,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Conditional phenotypes",?,2,"PROTEIN DESTINATION",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Sensitivity to aminoacid analogs and other drugs",?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Sensitivity to aminoacid analogs and other drugs",?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Sensitivity to aminoacid analogs and other drugs",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Sensitivity to aminoacid analogs and other drugs",?,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Sensitivity to aminoacid analogs and other drugs",?,2,"PROTEIN DESTINATION",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Stress response defects",?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Stress response defects",?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Stress response defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Stress response defects",?,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G234123,Non-Essential,"Ubiquitin-system proteins",?,"Stress response defects",?,2,"PROTEIN DESTINATION",cytoplasm
G234124,Non-Essential,"Transcription factors",?,"Cell morphology and organelle mutants",PS00554,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234124,Non-Essential,"Transcription factors",?,"Cell morphology and organelle mutants",PS00554,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234124,Non-Essential,"Transcription factors",?,"Cell morphology and organelle mutants",PS00554,2,TRANSCRIPTION,nucleus
G234124,Non-Essential,"Transcription factors",?,"Nucleic acid metabolism defects",PS00554,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234124,Non-Essential,"Transcription factors",?,"Nucleic acid metabolism defects",PS00554,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234124,Non-Essential,"Transcription factors",?,"Nucleic acid metabolism defects",PS00554,2,TRANSCRIPTION,nucleus
G234126,Non-Essential,"GTP-binding proteins","Translation complexes",?,PS00017,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234126,Non-Essential,"GTP-binding proteins","Translation complexes",?,PS00017,2,"PROTEIN SYNTHESIS",cytoplasm
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,"IONIC HOMEOSTASIS",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,"TRANSPORT FACILITATION",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Conditional phenotypes",PS00152,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Conditional phenotypes",PS00152,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Conditional phenotypes",PS00152,2,"IONIC HOMEOSTASIS",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Conditional phenotypes",PS00152,2,"TRANSPORT FACILITATION",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Stress response defects",PS00152,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Stress response defects",PS00152,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Stress response defects",PS00152,2,"IONIC HOMEOSTASIS",vacuole
G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Stress response defects",PS00152,2,"TRANSPORT FACILITATION",vacuole
G234131,Non-Essential,"GTPase activating proteins (GAPs)",?,?,PS00509,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane"
G234131,Non-Essential,"GTPase activating proteins (GAPs)",?,?,PS00509,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234139,Non-Essential,"Transcription factors",?,?,PS00350,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234139,Non-Essential,"Transcription factors",?,?,PS00350,2,TRANSCRIPTION,nucleus
G234141,Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234141,Essential,"Transcription factors","Transcription complexes/Transcriptosome",?,?,2,TRANSCRIPTION,nucleus
G234167,Non-Essential,"GTP-binding proteins",Cytoskeleton,"Cell morphology and organelle mutants",PS00017,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G234167,Non-Essential,"GTP-binding proteins",Cytoskeleton,"Cell morphology and organelle mutants",PS00017,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G234167,Non-Essential,"GTP-binding proteins",Cytoskeleton,"Cell morphology and organelle mutants",PS00017,3,METABOLISM,cytoskeleton
G234167,Non-Essential,"GTP-binding proteins",Cytoskeleton,"Conditional phenotypes",PS00017,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G234167,Non-Essential,"GTP-binding proteins",Cytoskeleton,"Conditional phenotypes",PS00017,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G234167,Non-Essential,"GTP-binding proteins",Cytoskeleton,"Conditional phenotypes",PS00017,3,METABOLISM,cytoskeleton
G234169,Non-Essential,ATPases,?,?,PS00013,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
