id,titleBook,titleSeriesBook,authorName,hasSeries,seriesNumber,avgRating,totalRating,voters,score
20,Shadow Kiss ,Vampire Academy,Richelle Mead,TRUE,3,4.36,5523,37,3404
21,Crescendo ,Hush Hush,Becca Fitzpatrick,TRUE,2,4.05,5124,36,3369
22,Last Sacrifice ,Vampire Academy,Richelle Mead,TRUE,6,4.4,8670,37,3339
23,Graceling ,Graceling Realm,Kristin Cashore,TRUE,1,4.08,6288,37,3316
24,Clockwork Prince ,The Infernal Devices,Cassandra Clare,TRUE,2,4.45,6261,37,3160
25,The Book Thief,NA,Markus Zusak,FALSE,0,4.37,1724715,36,3152
26,The Diary of a Young Girl,NA,Anne Frank,FALSE,0,4.14,2587663,34,3079
27,The Outsiders,NA,S.E. Hinton,FALSE,0,4.09,2815,34,2965
28,Eclipse ,Twilight,Stephenie Meyer,TRUE,3,3.69,1355985,34,2954
29,Spirit Bound ,Vampire Academy,Richelle Mead,TRUE,5,4.36,3644,33,2887
30,New Moon ,Twilight,Stephenie Meyer,TRUE,2,3.53,1389727,32,2883
31,The Summoning ,Darkest Powers,Kelley Armstrong,TRUE,1,4.03,70,30,2821
32,Harry Potter Series Box Set ,Harry Potter-7,J.K. Rowling,TRUE,1,4.74,953,32,2753
33,The Iron King ,The Iron Fey,Julie Kagawa,TRUE,1,3.9,1873,30,2713
34,Insurgent ,Divergent,Veronica Roth,TRUE,2,4.04,1110878,30,2698
35,Harry Potter and the Sorcerer's Stone ,Harry Potter,J.K. Rowling,TRUE,1,4.47,6583756,30,2642
36,Uglies ,Uglies,Scott Westerfeld,TRUE,1,3.86,9806,29,2585
37,To Kill a Mockingbird,NA,Harper Lee,FALSE,0,4.27,4264244,28,2536
38,Unearthly ,Unearthly,Cynthia Hand,TRUE,1,4.03,8194,28,2443
39,Torment ,Fallen,Lauren Kate,TRUE,2,3.88,1676,26,2348
40,Across the Universe ,Across the Universe,Beth Revis,TRUE,1,3.77,9780,25,2247
41,Evermore ,The Immortals,Alyson Noel,TRUE,1,3.59,5482,25,2159
42,Silence ,Hush Hush,Becca Fitzpatrick,TRUE,3,4.13,5913,26,2124
43,Under the Never Sky ,Under the Never Sky,Veronica Rossi,TRUE,1,4,5680,23,2044
44,Perfect Chemistry ,Perfect Chemistry,Simone Elkeles,TRUE,1,4.06,3281,24,2033
45,Halo ,Halo,Alexandra Adornetto,TRUE,1,3.66,2600,23,1983
46,Firelight ,Firelight,Sophie Jordan,TRUE,1,3.87,9435,24,1979
47,The Passage ,Beyond Two Worlds,Nabille De La Luz,TRUE,1,3.88,0,19,1900
48,Paranormalcy ,Paranormalcy,Kiersten White,TRUE,1,3.9,9285,21,1858
49,Harry Potter and the Prisoner of Azkaban ,Harry Potter,J.K. Rowling,TRUE,3,4.56,2606631,21,1781
50,Blue Bloods ,Blue Bloods,Melissa de la Cruz,TRUE,1,3.69,9014,21,1728
51,Eragon ,The Inheritance Cycle,Christopher Paolini,TRUE,1,3.9,1374311,19,1719
52,The Twilight Saga ,Twilight-4,Stephenie Meyer,TRUE,1,3.89,6420,19,1717
53,The V Girl: A Coming Of Age Story,NA,Mya Robarts,FALSE,0,4.02,9581,18,1703
54,Wings ,Wings,Aprilynne Pike,TRUE,1,3.75,1354,18,1609
55,Nightshade ,Nightshade; Nightshade World,Andrea Cremer,TRUE,1,4.03,7221,19,1606
56,Thirteen Reasons Why,NA,Jay Asher,FALSE,0,3.94,6860,18,1578
57,Throne of Glass ,Throne of Glass,Sarah J. Maas,TRUE,1,4.22,4144,17,1532
58,The Sisterhood of the Traveling Pants ,Sisterhood,Ann Brashares,TRUE,1,3.79,4142,18,1458
59,Harry Potter and the Chamber of Secrets ,Harry Potter,J.K. Rowling,TRUE,2,4.42,2557641,17,1433
60,The Body Finder ,The Body Finder,Kimberly Derting,TRUE,1,3.96,8236,17,1418
61,Cinder ,The Lunar Chronicles,Marissa Meyer,TRUE,1,4.15,4751,16,1416
62,Something I Am Not,NA,Cher Gatto,FALSE,0,4.85,0,14,1393
63,Starcrossed ,Starcrossed,Josephine Angelini,TRUE,1,4.07,1125,19,1371
64,Born at Midnight ,Shadow Falls,C.C. Hunter,TRUE,1,4.12,9097,17,1278
65,The Iron Queen ,The Iron Fey,Julie Kagawa,TRUE,3,4.23,3602,16,1276
66,Die for Me ,Revenants,Amy Plum,TRUE,1,3.99,1797,16,1257
67,Evil In Disguise,NA,Deborah McClatchey,FALSE,0,4.87,0,13,1257
68,Midnight Sun ,Twilight.5,Stephenie Meyer,TRUE,1,4.02,3633,15,1228
69,Wicked Lovely ,Wicked Lovely,Melissa Marr,TRUE,1,3.69,6619,15,1205
70,The Boogeyman,NA,Lillie J. Roberts,FALSE,0,4.38,0,12,1197
71,Lock and Key,NA,Sarah Dessen,FALSE,0,4.01,7695,14,1195
72,The Girl with Ghost Eyes ,The Daoshi Chronicles,M.H. Boroson,TRUE,1,3.89,3182,12,1193
73,The Fault in Our Stars,NA,John Green,FALSE,0,4.22,3331634,14,1189
74,The Forsaken,NA,R.J. Craddock,FALSE,0,4.54,0,12,1165
75,Little Women,NA,Louisa May Alcott,FALSE,0,4.07,1594168,15,1164
76,The Short Second Life of Bree Tanner ,Twilight.5,Stephenie Meyer,TRUE,3,3.5,3746,15,1143
77,A Million Suns ,Across the Universe,Beth Revis,TRUE,2,4.02,814,15,1135
78,Strange Angels ,Strange Angels,Lili St. Crow,TRUE,1,3.79,8210,14,1126
79,Go Ask Alice,NA,Beatrice Sparks,FALSE,0,3.76,8236,14,1115
80,Matched ,Matched,Ally Condie,TRUE,1,3.66,5981,13,1108
81,Revelations ,Blue Bloods,Melissa de la Cruz,TRUE,3,3.9,3520,14,1038
82,The Iron Daughter ,The Iron Fey,Julie Kagawa,TRUE,2,4.11,552,14,1026
83,Passion ,Fallen,Lauren Kate,TRUE,3,3.89,1661,14,1025
84,Angelfire ,Angelfire,Courtney Allison Moulton,TRUE,1,3.93,9531,13,1013
85,Vanish ,Firelight,Sophie Jordan,TRUE,2,3.94,61,14,0
86,Masquerade ,Blue Bloods,Melissa de la Cruz,TRUE,2,3.91,3880,14,0
87,Artemis Fowl ,Artemis Fowl,Eoin Colfer,TRUE,1,3.84,439,13,0
88,Supernaturally ,Paranormalcy,Kiersten White,TRUE,2,3.91,7884,13,0
89,Shadowland ,The Immortals,Alyson Noel,TRUE,3,3.66,5685,13,0
90,Daughter of Smoke & Bone ,Daughter of Smoke & Bone,Laini Taylor,TRUE,1,4.02,2654,11,0
91,Blue Moon ,The Immortals,Alyson Noel,TRUE,2,3.61,4210,13,0
92,Forever in Blue: The Fourth Summer of the Sisterhood ,Sisterhood,Ann Brashares,TRUE,4,3.81,7434,11,0
93,The Lost Saint ,The Dark Divine,Bree Despain,TRUE,2,4.03,6529,12,0
94,The Second Summer of the Sisterhood ,Sisterhood,Ann Brashares,TRUE,2,3.79,6410,11,0
95,The Catcher in the Rye,NA,J.D. Salinger,FALSE,0,3.8,2608209,10,0
96,The Gathering ,Darkness Rising,Kelley Armstrong,TRUE,1,4.03,6252,13,0
97,Obsidian ,Lux,Jennifer L. Armentrout,TRUE,1,4.2,3272,11,0
98,Girls in Pants: The Third Summer of the Sisterhood ,Sisterhood,Ann Brashares,TRUE,3,3.83,47,10,0
99,Hades ,Halo,Alexandra Adornetto,TRUE,2,3.97,842,12,0
100,The Hunger Games ,The Hunger Games,Suzanne Collins,TRUE,1,4.33,6086305,196,9286
101,Catching Fire ,The Hunger Games,Suzanne Collins,TRUE,2,4.29,2360261,138,3376
102,Mockingjay ,The Hunger Games,Suzanne Collins,TRUE,3,4.04,2217517,99,9442
103,Divergent ,Divergent,Veronica Roth,TRUE,1,4.2,2767407,97,9119
104,Vampire Academy ,Vampire Academy,Richelle Mead,TRUE,1,4.13,7029,86,8292
105,Harry Potter and the Deathly Hallows ,Harry Potter,J.K. Rowling,TRUE,7,4.62,2656673,86,8066
106,Clockwork Angel ,The Infernal Devices,Cassandra Clare,TRUE,1,4.33,4635,77,7374
107,Harry Potter and the Goblet of Fire ,Harry Potter,J.K. Rowling,TRUE,4,4.56,2423434,72,6674
108,"Hush, Hush ",Hush Hush,Becca Fitzpatrick,TRUE,1,3.98,5976,66,6382
109,Harry Potter and the Half-Blood Prince ,Harry Potter,J.K. Rowling,TRUE,6,4.57,2295705,69,6343
110,Harry Potter and the Order of the Phoenix ,Harry Potter,J.K. Rowling,TRUE,5,4.5,2355804,59,5336
111,Twilight ,Twilight,Stephenie Meyer,TRUE,1,3.59,4728031,57,5320
112,City of Bones ,The Mortal Instruments,Cassandra Clare,TRUE,1,4.1,1541880,53,4653
113,The Host ,The Host,Stephenie Meyer,TRUE,1,3.84,4101,49,4607
114,Breaking Dawn ,Twilight,Stephenie Meyer,TRUE,4,3.69,1260753,47,4398
115,City of Fallen Angels ,The Mortal Instruments,Cassandra Clare,TRUE,4,4.14,4032,47,4179
116,Fallen ,Fallen,Lauren Kate,TRUE,1,3.73,1960,43,4102
117,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass ,The Mortal Instruments-3,Cassandra Clare,TRUE,1,4.56,3884,42,3916
118,Pride and Prejudice,NA,Jane Austen,FALSE,0,4.26,2818060,38,3472
119,Frostbite ,Vampire Academy,Richelle Mead,TRUE,2,4.28,8631,38,3442
120,Shadow Kiss ,Vampire Academy,Richelle Mead,TRUE,3,4.36,5523,37,3404
121,Crescendo ,Hush Hush,Becca Fitzpatrick,TRUE,2,4.05,5124,36,3369
122,Last Sacrifice ,Vampire Academy,Richelle Mead,TRUE,6,4.4,8670,37,3339
123,Graceling ,Graceling Realm,Kristin Cashore,TRUE,1,4.08,6288,37,3316
124,Clockwork Prince ,The Infernal Devices,Cassandra Clare,TRUE,2,4.45,6261,37,3160
125,The Book Thief,NA,Markus Zusak,FALSE,0,4.37,1724715,36,3152
126,The Diary of a Young Girl,NA,Anne Frank,FALSE,0,4.14,2587663,34,3079
127,The Outsiders,NA,S.E. Hinton,FALSE,0,4.09,2815,34,2965
128,Eclipse ,Twilight,Stephenie Meyer,TRUE,3,3.69,1355985,34,2954
129,Spirit Bound ,Vampire Academy,Richelle Mead,TRUE,5,4.36,3644,33,2887
130,New Moon ,Twilight,Stephenie Meyer,TRUE,2,3.53,1389727,32,2883
131,The Summoning ,Darkest Powers,Kelley Armstrong,TRUE,1,4.03,70,30,2821
132,Harry Potter Series Box Set ,Harry Potter-7,J.K. Rowling,TRUE,1,4.74,953,32,2753
133,The Iron King ,The Iron Fey,Julie Kagawa,TRUE,1,3.9,1873,30,2713
134,Insurgent ,Divergent,Veronica Roth,TRUE,2,4.04,1110878,30,2698
135,Harry Potter and the Sorcerer's Stone ,Harry Potter,J.K. Rowling,TRUE,1,4.47,6583756,30,2642
136,Uglies ,Uglies,Scott Westerfeld,TRUE,1,3.86,9806,29,2585
137,To Kill a Mockingbird,NA,Harper Lee,FALSE,0,4.27,4264244,28,2536
138,Unearthly ,Unearthly,Cynthia Hand,TRUE,1,4.03,8194,28,2443
139,Torment ,Fallen,Lauren Kate,TRUE,2,3.88,1676,26,2348
140,Across the Universe ,Across the Universe,Beth Revis,TRUE,1,3.77,9780,25,2247
141,Evermore ,The Immortals,Alyson Noel,TRUE,1,3.59,5482,25,2159
142,Silence ,Hush Hush,Becca Fitzpatrick,TRUE,3,4.13,5913,26,2124
143,Under the Never Sky ,Under the Never Sky,Veronica Rossi,TRUE,1,4,5680,23,2044
144,Perfect Chemistry ,Perfect Chemistry,Simone Elkeles,TRUE,1,4.06,3281,24,2033
145,Halo ,Halo,Alexandra Adornetto,TRUE,1,3.66,2600,23,1983
146,Firelight ,Firelight,Sophie Jordan,TRUE,1,3.87,9435,24,1979
147,The Passage ,Beyond Two Worlds,Nabille De La Luz,TRUE,1,3.88,0,19,1900
148,Paranormalcy ,Paranormalcy,Kiersten White,TRUE,1,3.9,9285,21,1858
149,Harry Potter and the Prisoner of Azkaban ,Harry Potter,J.K. Rowling,TRUE,3,4.56,2606631,21,1781
150,Blue Bloods ,Blue Bloods,Melissa de la Cruz,TRUE,1,3.69,9014,21,1728
151,Eragon ,The Inheritance Cycle,Christopher Paolini,TRUE,1,3.9,1374311,19,1719
152,The Twilight Saga ,Twilight-4,Stephenie Meyer,TRUE,1,3.89,6420,19,1717
153,The V Girl: A Coming Of Age Story,NA,Mya Robarts,FALSE,0,4.02,9581,18,1703
154,Wings ,Wings,Aprilynne Pike,TRUE,1,3.75,1354,18,1609
155,Nightshade ,Nightshade; Nightshade World,Andrea Cremer,TRUE,1,4.03,7221,19,1606
156,Thirteen Reasons Why,NA,Jay Asher,FALSE,0,3.94,6860,18,1578
157,Throne of Glass ,Throne of Glass,Sarah J. Maas,TRUE,1,4.22,4144,17,1532
158,The Sisterhood of the Traveling Pants ,Sisterhood,Ann Brashares,TRUE,1,3.79,4142,18,1458
159,Harry Potter and the Chamber of Secrets ,Harry Potter,J.K. Rowling,TRUE,2,4.42,2557641,17,1433
160,The Body Finder ,The Body Finder,Kimberly Derting,TRUE,1,3.96,8236,17,1418
161,Cinder ,The Lunar Chronicles,Marissa Meyer,TRUE,1,4.15,4751,16,1416
162,Something I Am Not,NA,Cher Gatto,FALSE,0,4.85,0,14,1393
163,Starcrossed ,Starcrossed,Josephine Angelini,TRUE,1,4.07,1125,19,1371
164,Born at Midnight ,Shadow Falls,C.C. Hunter,TRUE,1,4.12,9097,17,1278
165,The Iron Queen ,The Iron Fey,Julie Kagawa,TRUE,3,4.23,3602,16,1276
166,Die for Me ,Revenants,Amy Plum,TRUE,1,3.99,1797,16,1257
167,Evil In Disguise,NA,Deborah McClatchey,FALSE,0,4.87,0,13,1257
168,Midnight Sun ,Twilight.5,Stephenie Meyer,TRUE,1,4.02,3633,15,1228
169,Wicked Lovely ,Wicked Lovely,Melissa Marr,TRUE,1,3.69,6619,15,1205
170,The Boogeyman,NA,Lillie J. Roberts,FALSE,0,4.38,0,12,1197
171,Lock and Key,NA,Sarah Dessen,FALSE,0,4.01,7695,14,1195
172,The Girl with Ghost Eyes ,The Daoshi Chronicles,M.H. Boroson,TRUE,1,3.89,3182,12,1193
173,The Fault in Our Stars,NA,John Green,FALSE,0,4.22,3331634,14,1189
174,The Forsaken,NA,R.J. Craddock,FALSE,0,4.54,0,12,1165
175,Little Women,NA,Louisa May Alcott,FALSE,0,4.07,1594168,15,1164
176,The Short Second Life of Bree Tanner ,Twilight.5,Stephenie Meyer,TRUE,3,3.5,3746,15,1143
177,A Million Suns ,Across the Universe,Beth Revis,TRUE,2,4.02,814,15,1135
178,Strange Angels ,Strange Angels,Lili St. Crow,TRUE,1,3.79,8210,14,1126
179,Go Ask Alice,NA,Beatrice Sparks,FALSE,0,3.76,8236,14,1115
180,Matched ,Matched,Ally Condie,TRUE,1,3.66,5981,13,1108
181,Revelations ,Blue Bloods,Melissa de la Cruz,TRUE,3,3.9,3520,14,1038
182,The Iron Daughter ,The Iron Fey,Julie Kagawa,TRUE,2,4.11,552,14,1026
183,Passion ,Fallen,Lauren Kate,TRUE,3,3.89,1661,14,1025
184,Angelfire ,Angelfire,Courtney Allison Moulton,TRUE,1,3.93,9531,13,1013
185,Vanish ,Firelight,Sophie Jordan,TRUE,2,3.94,61,14,0
186,Masquerade ,Blue Bloods,Melissa de la Cruz,TRUE,2,3.91,3880,14,0
187,Artemis Fowl ,Artemis Fowl,Eoin Colfer,TRUE,1,3.84,439,13,0
188,Supernaturally ,Paranormalcy,Kiersten White,TRUE,2,3.91,7884,13,0
189,Shadowland ,The Immortals,Alyson Noel,TRUE,3,3.66,5685,13,0
190,Daughter of Smoke & Bone ,Daughter of Smoke & Bone,Laini Taylor,TRUE,1,4.02,2654,11,0
191,Blue Moon ,The Immortals,Alyson Noel,TRUE,2,3.61,4210,13,0
192,Forever in Blue: The Fourth Summer of the Sisterhood ,Sisterhood,Ann Brashares,TRUE,4,3.81,7434,11,0
193,The Lost Saint ,The Dark Divine,Bree Despain,TRUE,2,4.03,6529,12,0
194,The Second Summer of the Sisterhood ,Sisterhood,Ann Brashares,TRUE,2,3.79,6410,11,0
195,The Catcher in the Rye,NA,J.D. Salinger,FALSE,0,3.8,2608209,10,0
196,The Gathering ,Darkness Rising,Kelley Armstrong,TRUE,1,4.03,6252,13,0
197,Obsidian ,Lux,Jennifer L. Armentrout,TRUE,1,4.2,3272,11,0
198,Girls in Pants: The Third Summer of the Sisterhood ,Sisterhood,Ann Brashares,TRUE,3,3.83,47,10,0
199,Hades ,Halo,Alexandra Adornetto,TRUE,2,3.97,842,12,0
200,Need ,Need,Carrie Jones,TRUE,1,3.71,9134,12,0
201,City of Lost Souls ,The Mortal Instruments,Cassandra Clare,TRUE,5,4.28,9494,10,0
202,Anne of Green Gables ,Anne of Green Gables,L.M. Montgomery,TRUE,1,4.26,3594,10,0
203,Dark Flame ,The Immortals,Alyson Noel,TRUE,4,3.73,7953,12,0
204,Tiger Lily of Bangkok,NA,Owen  Jones,FALSE,0,4.17,0,8,0
205,"Are You There God? It's Me, Margaret",NA,Judy Blume,FALSE,0,3.9,650,9,0
206,Night Star ,The Immortals,Alyson Noel,TRUE,5,3.82,8903,11,0
207,Evernight ,Evernight,Claudia Gray,TRUE,1,3.64,2385,11,0
208,The Lovely Bones,NA,Alice Sebold,FALSE,0,3.81,1941035,9,0
209,Where She Went ,If I Stay,Gayle Forman,TRUE,2,4.03,146,9,0
210,Pretties ,Uglies,Scott Westerfeld,TRUE,2,3.85,4794,9,0
211,The Dark Divine ,The Dark Divine,Bree Despain,TRUE,1,3.8,5970,12,0
212,New England Witch Chronicles ,New England Witch Chronicles,Chelsea Luna,TRUE,1,3.98,1263,8,0
213,When The Circus Came To Town,NA,Deborah McClatchey,FALSE,0,4.65,0,7,0
214,For the Sake of a Child,NA,Stevie Turner,FALSE,0,4.12,0,7,0
215,Illusions ,Wings,Aprilynne Pike,TRUE,3,4.11,9929,10,0
216,"The Lion, the Witch and the Wardrobe ",Chronicles of Narnia,C.S. Lewis,TRUE,1,4.22,2027763,8,0
217,Legend ,Legend,Marie Lu,TRUE,1,4.18,1542,8,0
218,The Haunted ,The Hollow,Jessica Verday,TRUE,2,4.14,4546,9,0
219,Specials ,Uglies,Scott Westerfeld,TRUE,3,3.77,4002,8,0
220,Brave New World,NA,Aldous Huxley,FALSE,0,3.99,1362342,7,0
221,Half-Blood ,Covenant,Jennifer L. Armentrout,TRUE,1,4.15,6395,8,0
222,Conjured ,New England Witch Chronicles,Chelsea Luna,TRUE,2,4.24,0,7,0
223,The Angel Experiment ,Maximum Ride,James Patterson,TRUE,1,4.08,878,8,0
224,Angelfall ,Penryn & the End of Days,Susan Ee,TRUE,1,4.15,5152,7,0
225,The First Pillar ,Everville,Roy Huff,TRUE,1,3.57,0,6,0
226,Trueman Bradley - Aspie Detective,NA,Alexei Maxim Russell,FALSE,0,4.38,0,6,0
227,Broken Point ,The Wayward Gifted,Donna K. Childree,TRUE,1,3.87,0,6,0
228,When Stars Die ,Stars,Amber Forbes,TRUE,1,4.12,0,6,0
229,Gray Street,NA,Annie Wood,FALSE,0,4.35,0,6,0
230,Dickensen Academy,NA,Christine Grabowski,FALSE,0,4.38,0,6,0
231,If it Weren't for You,NA,Dorothea Neamonitos,FALSE,0,4.77,0,6,0
232,Jerkbait,NA,Mia Siegert,FALSE,0,3.58,1077,6,0
233,Alanna: The First Adventure ,Song of the Lioness,Tamora Pierce,TRUE,1,4.26,244,8,0
234,How We Fall,NA,Kate Brauning,FALSE,0,3.65,0,6,0
235,The Gift,NA,Jonathan     Lynch,FALSE,0,4.23,0,6,0
236,Shillingstone Witch ,Fiona Frost,Bon Blossman,TRUE,4,4.5,0,6,0
237,Wicked Betrayal ,New England Witch Chronicles,Chelsea Luna,TRUE,3,4.29,0,6,0
238,Deadly Little Secret ,Touch,Laurie Faria Stolarz,TRUE,1,3.87,1968,8,0
239,Deadly Little Lies ,Touch,Laurie Faria Stolarz,TRUE,2,4.02,1898,8,0
240,Along for the Ride,NA,Sarah Dessen,FALSE,0,4.06,2277,7,0
241,Gunfight at the Old Leake Canal,NA,G.B. Hope,FALSE,0,4.62,0,6,0
242,Crazy For Alice,NA,Alex Dunn,FALSE,0,4.13,0,6,0
243,The Raven Boys ,The Raven Cycle,Maggie Stiefvater,TRUE,1,4.06,3958,7,0
244,Heir of Fire ,Throne of Glass,Sarah J. Maas,TRUE,3,4.49,5359,6,0
245,Looking for Alaska,NA,John Green,FALSE,0,4.04,1055596,7,0
246,Unwind ,Unwind,Neal Shusterman,TRUE,1,4.18,4221,6,0
247,Entwined,NA,Heather Dixon Wallwork,FALSE,0,3.87,3048,9,0
248,All-American Girl ,All-American Girl,Meg Cabot,TRUE,1,3.74,3197,6,0
249,Easy ,Contours of the Heart,Tammara Webber,TRUE,1,4.09,830,6,0
250,Onyx ,Lux,Jennifer L. Armentrout,TRUE,2,4.3,9791,7,0
251,Anna and the French Kiss ,Anna and the French Kiss,Stephanie Perkins,TRUE,1,4.02,561,6,0
252,The Selection ,The Selection,Kiera Cass,TRUE,1,4.14,4395,7,0
253,Once Upon a Road Trip ,Once Upon a Road Trip,Angela N. Blount,TRUE,1,3.69,0,5,0
254,Beautiful Disaster ,Beautiful,Jamie McGuire,TRUE,1,4.11,4357,7,0
255,The Change ,Blue River Chronicles,C.M. Meridian,TRUE,2,4.3,0,5,0
256,The Last Battle ,Chronicles of Narnia,C.S. Lewis,TRUE,7,4.03,9726,7,0
257,Skull Creek Stakeout ,The Caden Chronicles,Eddie       Jones,TRUE,2,4.29,0,5,0
258,Spells ,Wings,Aprilynne Pike,TRUE,2,3.98,8776,8,0
259,Hex Hall ,Hex Hall,Rachel Hawkins,TRUE,1,3.95,6428,7,0
260,Shades of Earth ,Across the Universe,Beth Revis,TRUE,3,4.09,255,7,0
261,School Monitor,NA,Alex Dunn,FALSE,0,3.59,0,5,0
262,Dating Down,NA,Alex Dunn,FALSE,0,3.89,0,5,0
263,Flowers for Algernon,NA,Daniel Keyes,FALSE,0,4.13,3563,6,0
264,The Iron Witch ,The Iron Witch,Karen Mahoney,TRUE,1,3.46,9630,7,0
265,Hopeless ,Hopeless,Colleen Hoover,TRUE,1,4.3,3568,5,0
266,Fangirl,NA,Rainbow Rowell,FALSE,0,4.07,4771,5,0
267,The Secret Garden,NA,Frances Hodgson Burnett,FALSE,0,4.13,3999,6,0
268,The Lightning Thief ,Percy Jackson and the Olympians,Rick Riordan,TRUE,1,4.25,1862341,6,0
269,The Immortal Rules ,Blood of Eden,Julie Kagawa,TRUE,1,4.09,2787,6,0
270,Dreamland,NA,Sarah Dessen,FALSE,0,3.91,2335,6,0
271,Fateful,NA,Claudia Gray,FALSE,0,3.89,431,7,0
272,Lord of the Flies,NA,William Golding,FALSE,0,3.68,2160849,5,0
273,Stargirl ,Stargirl,Jerry Spinelli,TRUE,1,3.76,3658,5,0
274,The Van Alen Legacy ,Blue Bloods,Melissa de la Cruz,TRUE,4,3.95,3762,7,0
275,The Silver Chair ,Chronicles of Narnia,C.S. Lewis,TRUE,4,3.96,5002,5,0
276,Forever . . .,NA,Judy Blume,FALSE,0,3.62,1738,5,0
277,Sky Ghosts: All for One ,Sky Ghosts,Alexandra Engellmann,TRUE,1,3.74,0,4,0
278,Weird Girl and What's His Name,NA,Meagan Brothers,FALSE,0,3.58,0,4,0
279,Gray Hawk of Terrapin,NA,Moss Whelan,FALSE,0,4.41,0,4,0
280,The Adventures of Sarah Ann Lewis and the Memory Thieves ,The Sentinels Book,Joshua C. Carroll,TRUE,1,4.46,0,4,0
281,Angel ,Angel,L.A. Weatherly,TRUE,1,3.87,1307,6,0
282,The Scriptlings,NA,Sorin Suciu,FALSE,0,3.99,0,4,0
283,The Legend of the Blue Eyes ,Blue Eyes Trilogy,B. Kristin McMichael,TRUE,1,3.84,3366,4,0
284,Deep World Fire  ,Deep World Saga,C.M. Meridian,TRUE,1,4.16,0,4,0
285,Djinn,NA,Sang Kromah,FALSE,0,4.17,0,4,0
286,Sky Ghosts: Marco ,Sky Ghosts.5,Alexandra Engellmann,TRUE,1,4.35,0,4,0
287,Demon Kissed ,Demon Kissed,H.M. Ward,TRUE,1,3.82,4630,5,0
288,Carnelian ,Chalcedony Chronicles,B. Kristin McMichael,TRUE,1,3.87,0,4,0
289,The Circle: Taken,NA,Sage Sask,FALSE,0,4.16,0,4,0
290,The Girl with No Face ,The Daoshi Chronicles,M.H. Boroson,TRUE,2,4.4,0,4,0
291,Fairytales for Wilde Girls,NA,Allyse Near,FALSE,0,4.16,0,4,0
292,Doctors in Hell ,Heroes in Hell,Janet E. Morris,TRUE,1,4.75,0,4,0
293,Alice in Wonderland,NA,Jane Carruth,FALSE,0,4.03,7151,5,0
294,The False Princess,NA,Eilis O'Neal,FALSE,0,3.8,4377,7,0
295,Hourglass,NA,Claudia Gray,FALSE,0,3.79,3164,6,0
296,The Devil's Liege,NA,Danielle DeVor,FALSE,0,4.4,0,4,0
297,Steelheart ,Reckoners,Brandon Sanderson,TRUE,1,4.15,9468,4,0
298,Tithe ,Modern Faerie Tales,Holly Black,TRUE,1,3.72,1589,6,0
299,The Avery Shaw Experiment ,Science Squad,Kelly Oram,TRUE,1,4.03,1812,4,0
300,Stargazer,NA,Claudia Gray,FALSE,0,3.8,4671,6,0
301,Fire,NA,Kristin Cashore,FALSE,0,4.11,4377,4,0
302,Red Queen ,Red Queen,Victoria Aveyard,TRUE,1,4.06,3711,4,0
303,Lola and the Boy Next Door ,Anna and the French Kiss,Stephanie Perkins,TRUE,2,3.96,3504,5,0
304,Crown of Midnight ,Throne of Glass,Sarah J. Maas,TRUE,2,4.45,9787,4,0
