Arg0,Arg1,Arg2
d180,cytogen_ca,n
d180,cytogen_sce,n
d181,salmonella,n
d181,cytogen_ca,p
d181,cytogen_sce,p
d182,salmonella,n
d182,mouse_lymph,p
d182,cytogen_ca,n
d183,salmonella,n
d183,cytogen_ca,n
d183,cytogen_sce,n
d184,cytogen_ca,n
d184,cytogen_sce,n
d185,salmonella,n
d185,cytogen_ca,n
d185,cytogen_sce,n
d186,salmonella,n
d186,cytogen_ca,n
d186,cytogen_sce,n
d187,salmonella,n
d187,mouse_lymph,p
d187,cytogen_ca,n
d187,cytogen_sce,p
d188,salmonella,n
d188,mouse_lymph,p
d188,cytogen_ca,n
d188,cytogen_sce,n
d19,salmonella,p
d19,salmonella_n,p
d19,cytogen_ca,p
d19,cytogen_sce,p
d190,salmonella,n
d190,cytogen_ca,n
d190,cytogen_sce,n
d191,salmonella,n
d191,mouse_lymph,p
d191,cytogen_ca,p
d191,cytogen_sce,p
d191,chromaberr,n
d192,salmonella,n
d192,salmonella_n,n
d192,mouse_lymph,p
d192,cytogen_ca,n
d192,cytogen_sce,n
d192,chromaberr,n
d193,salmonella,n
d193,mouse_lymph,n
d193,cytogen_ca,n
d193,cytogen_sce,p
d195,salmonella,n
d195,mouse_lymph,p
d195,cytogen_ca,n
d195,cytogen_sce,p
d196,mouse_lymph,p
d196,drosophila_slrl,p
d196,drosophila_rt,n
d196,cytogen_ca,p
d196,cytogen_sce,p
d196,chromaberr,n
d197,salmonella,n
d197,mouse_lymph,p
d197,cytogen_ca,p
d197,cytogen_sce,n
d198,salmonella,n
d198,mouse_lymph,p
d198,cytogen_ca,n
d198,cytogen_sce,n
d199,salmonella,n
d199,salmonella_n,n
d199,mouse_lymph,p
d199,cytogen_ca,n
d199,cytogen_sce,p
d2,salmonella,p
d2,cytogen_ca,n
d2,cytogen_sce,p
d20,salmonella,p
d20,cytogen_ca,n
d20,cytogen_sce,p
d200,salmonella,n
d200,mouse_lymph,p
d200,cytogen_ca,n
d200,cytogen_sce,p
d201,salmonella,n
d201,cytogen_ca,n
d201,cytogen_sce,p
d202,salmonella,n
d202,mouse_lymph,p
d202,cytogen_ca,n
d202,cytogen_sce,p
d202,chromaberr,n
d202,chromex,n
d203,salmonella,n
d203,mouse_lymph,n
d203,cytogen_ca,n
d203,chromex,p
d204,salmonella,n
d204,mouse_lymph,p
d204,cytogen_ca,n
d204,cytogen_sce,n
d205,salmonella,p
d205,mouse_lymph,p
d205,drosophila_slrl,p
d205,drosophila_rt,n
d205,cytogen_ca,p
d205,cytogen_sce,n
d205,chromaberr,n
d206,salmonella,n
d206,mouse_lymph,n
d206,cytogen_ca,n
d206,cytogen_sce,n
d207,salmonella,n
d207,mouse_lymph,p
d207,cytogen_ca,p
d207,cytogen_sce,p
d207,chromaberr,p
d207,chromex,p
d208_1,salmonella,n
d208_1,cytogen_ca,n
d208_1,cytogen_sce,p
d208_2,salmonella,n
d208_2,mouse_lymph,p
d208_2,cytogen_sce,n
d209,salmonella,n
d209,mouse_lymph,p
d209,cytogen_ca,p
d209,cytogen_sce,p
d21,salmonella_n,p
d21,mouse_lymph,p
d21,cytogen_ca,n
d21,cytogen_sce,n
d211,salmonella,n
d211,salmonella_n,n
d211,mouse_lymph,p
d211,cytogen_ca,n
d211,cytogen_sce,p
d212,salmonella,n
d212,mouse_lymph,n
d212,cytogen_ca,n
d212,chromex,p
d213,salmonella,n
d213,mouse_lymph,p
d213,cytogen_ca,p
d213,cytogen_sce,p
d213,chromex,p
d214,salmonella,n
d214,salmonella_n,n
d214,mouse_lymph,p
d214,cytogen_ca,n
d214,cytogen_sce,p
d215,salmonella,n
d215,mouse_lymph,p
d215,cytogen_ca,n
d215,cytogen_sce,n
d216,salmonella,p
d216,cytogen_ca,n
d216,cytogen_sce,n
d217,salmonella,n
d217,salmonella_n,n
d217,mouse_lymph,p
d217,cytogen_ca,n
d217,cytogen_sce,p
d218,salmonella,n
d218,mouse_lymph,p
d218,cytogen_ca,n
d218,cytogen_sce,n
d219,salmonella,n
d219,mouse_lymph,p
d219,cytogen_ca,p
d219,cytogen_sce,n
d22,salmonella,p
d22,mouse_lymph,p
d22,cytogen_ca,p
d22,cytogen_sce,p
d221,salmonella,n
d221,mouse_lymph,p
d221,cytogen_ca,n
d221,chromaberr,n
d224,salmonella,n
d224,mouse_lymph,n
d224,cytogen_ca,n
d224,cytogen_sce,n
d225,salmonella,n
d225,mouse_lymph,p
d225,cytogen_ca,n
d225,cytogen_sce,p
d225,chromaberr,p
d225,chromex,n
d226,salmonella,p
d226,salmonella_n,p
d226,mouse_lymph,p
d226,drosophila_slrl,p
d226,drosophila_rt,n
d226,cytogen_ca,p
d226,cytogen_sce,p
d227,salmonella,p
d227,mouse_lymph,p
d227,drosophila_slrl,p
d227,drosophila_rt,p
d227,cytogen_ca,p
d227,cytogen_sce,p
d227,chromaberr,n
d228,salmonella,p
d228,salmonella_n,p
d228,mouse_lymph,p
d228,drosophila_slrl,p
d228,drosophila_rt,p
d228,cytogen_ca,p
d228,cytogen_sce,p
d228,chromaberr,n
d229,salmonella,p
d229,cytogen_ca,p
d229,cytogen_sce,p
d229,micronuc_m,n
d229,micronuc_f,n
d23_1,salmonella,p
d23_1,mouse_lymph,p
d23_1,cytogen_ca,p
d23_1,cytogen_sce,p
d23_1,chromaberr,p
d23_1,chromex,n
d23_2,mouse_lymph,p
d23_2,cytogen_ca,p
d23_2,cytogen_sce,p
d230,salmonella,p
d230,mouse_lymph,p
d230,drosophila_slrl,p
d230,drosophila_rt,n
d230,cytogen_ca,n
d230,cytogen_sce,p
d230,chromaberr,p
d231,salmonella,n
d231,mouse_lymph,n
d232,salmonella,p
d232,mouse_lymph,p
d232,drosophila_slrl,p
d232,drosophila_rt,p
d232,cytogen_ca,p
d232,cytogen_sce,p
d232,chromaberr,p
d233,salmonella,n
d233,cytogen_ca,n
d233,cytogen_sce,p
d234,salmonella,p
d234,cytogen_ca,p
d234,cytogen_sce,p
d235,salmonella_n,p
d236,salmonella,p
d236,mouse_lymph,p
d236,drosophila_slrl,p
d236,drosophila_rt,n
d236,cytogen_ca,p
d236,cytogen_sce,p
d236,chromaberr,p
d236,chromex,p
d237,salmonella,p
d237,mouse_lymph,p
d237,cytogen_ca,p
d237,cytogen_sce,p
d237,chromaberr,n
d237,chromex,n
d238,salmonella,p
d238,mouse_lymph,p
d238,drosophila_slrl,p
d238,drosophila_rt,p
d238,cytogen_ca,p
d238,cytogen_sce,p
d238,chromaberr,p
d238,chromex,p
d239,salmonella,n
d239,cytogen_ca,n
d239,cytogen_sce,p
d240,salmonella,p
d240,mouse_lymph,p
d240,drosophila_slrl,p
d240,drosophila_rt,p
d240,cytogen_ca,p
d240,cytogen_sce,p
d241,salmonella,p
d241,mouse_lymph,p
d241,cytogen_ca,p
d241,cytogen_sce,p
d242,salmonella,p
d242,mouse_lymph,p
d242,cytogen_ca,p
d242,cytogen_sce,p
d243,salmonella,p
d243,salmonella,p
d243,mouse_lymph,p
d243,cytogen_ca,p
d243,cytogen_sce,p
d243,chromaberr,n
d243,chromex,n
d244,salmonella,p
d244,mouse_lymph,p
d244,cytogen_ca,p
d244,cytogen_sce,p
d245,salmonella,p
d245,salmonella_n,n
d245,mouse_lymph,p
d245,drosophila_slrl,p
d245,drosophila_rt,p
d245,cytogen_ca,p
d245,cytogen_sce,p
d247,salmonella,n
d247,mouse_lymph,p
d247,drosophila_slrl,p
d247,drosophila_rt,n
d247,cytogen_ca,p
d247,cytogen_sce,p
d248,salmonella_n,p
d249,salmonella,p
d25,salmonella,n
d25,cytogen_sce,p
d25,chromex,p
d250,salmonella,p
d250,mouse_lymph,p
d250,cytogen_ca,p
d250,cytogen_sce,p
d250,chromaberr,n
d250,chromex,n
d251,salmonella,n
d251,cytogen_ca,n
d252,salmonella,p
d252,mouse_lymph,p
d252,cytogen_ca,p
d252,cytogen_sce,p
d252,chromex,p
d253,salmonella,n
d253,mouse_lymph,p
d253,drosophila_slrl,p
d253,drosophila_rt,n
d253,cytogen_ca,n
d253,cytogen_sce,p
d254,salmonella,p
d254,drosophila_slrl,p
d254,drosophila_rt,n
d254,cytogen_ca,p
d254,cytogen_sce,p
d254,micronuc_m,n
d254,micronuc_f,n
d255,salmonella,p
d256,salmonella,p
d256,cytogen_ca,p
d256,cytogen_sce,p
d257,salmonella,n
d257,cytogen_ca,n
d257,cytogen_sce,p
d258,salmonella,p
d259,salmonella,n
d259,cytogen_ca,p
d259,cytogen_sce,n
d26,salmonella,p
d26,cytogen_ca,p
d26,cytogen_sce,p
d260,salmonella,n
d260,cytogen_ca,n
d260,cytogen_sce,p
d261,salmonella,n
d261,cytogen_ca,n
d261,cytogen_sce,n
d262,salmonella,p
d262,mouse_lymph,n
d262,cytogen_ca,n
d262,cytogen_sce,n
d263,salmonella,p
d263,mouse_lymph,p
d263,cytogen_ca,p
d263,cytogen_sce,p
d263,chromaberr,n
d263,chromex,n
d264,salmonella,n
d264,salmonella_n,n
d264,mouse_lymph,n
d264,cytogen_ca,n
d264,cytogen_sce,n
d265,salmonella,p
d265,cytogen_sce,p
d266,salmonella,n
d266,mouse_lymph,p
d266,cytogen_ca,n
d266,cytogen_sce,p
d266,chromaberr,n
d267,salmonella,n
d267,mouse_lymph,p
d267,cytogen_ca,p
d267,cytogen_sce,p
d268,salmonella,p
d268,mouse_lymph,p
d268,drosophila_slrl,p
d268,drosophila_rt,n
d268,cytogen_ca,p
d268,cytogen_sce,p
d269,salmonella,n
d269,salmonella_n,n
d269,mouse_lymph,p
d269,cytogen_ca,n
d269,cytogen_sce,n
d27,salmonella,p
d27,salmonella,p
d27,mouse_lymph,p
d27,cytogen_ca,p
d27,cytogen_sce,p
d270,salmonella,p
d270,mouse_lymph,n
d270,cytogen_ca,n
d270,cytogen_sce,p
d271,salmonella,n
d271,cytogen_ca,p
d271,cytogen_sce,p
d272,salmonella,p
d272,cytogen_ca,n
d272,cytogen_sce,n
d273,salmonella,n
d273,mouse_lymph,p
d273,cytogen_ca,n
d274,mouse_lymph,p
d274,drosophila_slrl,p
d274,drosophila_rt,n
d274,cytogen_ca,n
d274,cytogen_sce,p
d274,chromaberr,n
d274,chromex,p
d275,salmonella,n
d275,mouse_lymph,p
d275,cytogen_ca,n
d275,cytogen_sce,p
d275,chromex,n
d276,salmonella,p
d276,cytogen_ca,n
d276,cytogen_sce,p
d277,salmonella,p
d277,salmonella_n,n
d277,mouse_lymph,p
d277,cytogen_ca,n
d277,cytogen_sce,n
d278,salmonella,p
d278,salmonella_n,p
d278,mouse_lymph,p
d278,cytogen_ca,p
d278,cytogen_sce,p
d279,salmonella,n
d279,mouse_lymph,p
d279,cytogen_ca,p
d279,cytogen_sce,p
d28,salmonella,p
d28,mouse_lymph,p
d28,cytogen_ca,p
d28,cytogen_sce,p
d280,salmonella,p
d280,mouse_lymph,p
d280,cytogen_ca,n
d280,cytogen_sce,p
d281,salmonella,p
d281,cytogen_ca,p
d281,cytogen_sce,p
d282,salmonella,p
d282,salmonella_n,p
d282,mouse_lymph,p
d282,cytogen_ca,p
d282,cytogen_sce,p
d283,salmonella,p
d283,mouse_lymph,p
d283,cytogen_ca,p
d283,cytogen_sce,p
d283,chromaberr,n
d283,chromex,n
d284,salmonella,n
d284,cytogen_ca,p
d284,cytogen_sce,p
d285,salmonella,p
d285,mouse_lymph,p
d285,cytogen_ca,p
d285,cytogen_sce,p
d286,salmonella,n
d286,mouse_lymph,p
d286,cytogen_ca,n
d286,cytogen_sce,p
d287,salmonella,p
d287,cytogen_ca,p
d287,cytogen_sce,p
d288,salmonella,p
d289,salmonella,n
d289,mouse_lymph,p
d289,drosophila_slrl,p
d289,drosophila_rt,p
d289,cytogen_ca,n
d289,cytogen_sce,p
d29,salmonella,p
d29,drosophila_slrl,p
d29,drosophila_rt,p
d29,cytogen_ca,n
d29,cytogen_sce,p
d29,chromaberr,n
d290,salmonella,p
d290,cytogen_ca,p
d290,cytogen_sce,p
d291,salmonella,n
d291,salmonella_n,n
d291,mouse_lymph,n
d291,cytogen_ca,n
d291,cytogen_sce,n
d292,salmonella,n
d292,salmonella_n,n
d292,cytogen_ca,n
d292,cytogen_sce,n
d293,salmonella,p
d293,cytogen_ca,p
d293,cytogen_sce,p
d294,salmonella,p
d294,mouse_lymph,p
d294,cytogen_ca,p
d294,cytogen_sce,p
d294,chromaberr,n
d294,chromex,n
d295,salmonella,p
d295,mouse_lymph,n
d296,salmonella,n
d296,cytogen_ca,p
d296,cytogen_sce,p
d297,salmonella,n
d297,cytogen_ca,p
d297,cytogen_sce,n
d298,salmonella,n
d298,cytogen_ca,n
d299,salmonella,n
d299,mouse_lymph,p
d299,cytogen_ca,p
d299,cytogen_sce,p
d3,salmonella,p
d3,cytogen_ca,p
d3,cytogen_sce,p
d300,salmonella,n
d300,cytogen_ca,p
d300,cytogen_sce,p
d301,salmonella,n
d301,cytogen_ca,p
d301,cytogen_sce,p
d302,salmonella,n
d302,mouse_lymph,p
d302,cytogen_ca,n
d302,cytogen_sce,p
d303,salmonella,n
d303,cytogen_ca,p
d303,cytogen_sce,n
d304,salmonella,n
d304,cytogen_ca,n
d304,cytogen_sce,n
d305,salmonella,n
d305,cytogen_ca,n
d305,cytogen_sce,n
d306,salmonella,n
d306,cytogen_ca,p
d307,salmonella,n
d307,mouse_lymph,n
d307,cytogen_ca,n
d307,cytogen_sce,n
d307,micronuc_m,n
d307,micronuc_f,n
d308,salmonella,n
d308,cytogen_ca,n
d308,cytogen_sce,p
d308,micronuc_m,n
d308,micronuc_f,n
d309,salmonella,n
d309,mouse_lymph,n
d309,cytogen_ca,n
d309,cytogen_sce,n
d31,mouse_lymph,p
d310,salmonella,n
d310,mouse_lymph,p
d310,cytogen_ca,p
d310,cytogen_sce,p
d311,salmonella,n
d311,cytogen_ca,p
d311,cytogen_sce,p
d312,salmonella,n
d312,cytogen_ca,n
d312,cytogen_sce,p
d312,micronuc_m,p
d312,micronuc_f,n
d312,chromaberr,n
d313,salmonella,n
d313,cytogen_ca,n
d313,cytogen_sce,p
d314,salmonella,n
d314,cytogen_ca,n
d314,cytogen_sce,p
d315,salmonella,n
d315,mouse_lymph,n
d315,cytogen_ca,n
d315,cytogen_sce,p
d315,chromaberr,n
d316,salmonella,p
d316,mouse_lymph,p
d316,cytogen_ca,n
d316,cytogen_sce,p
d318,salmonella,n
d318,cytogen_ca,n
d318,cytogen_sce,n
d319,salmonella,p
d319,micronuc_m,p
d319,micronuc_f,p
d32,salmonella,p
d32,drosophila_slrl,p
d32,drosophila_rt,n
d32,cytogen_ca,p
d32,cytogen_sce,p
d320,salmonella,p
d320,cytogen_ca,p
d320,cytogen_sce,p
d320,micronuc_m,n
d320,micronuc_f,n
d321,salmonella,p
d321,salmonella_n,p
d321,cytogen_ca,n
d321,cytogen_sce,p
d322,salmonella,n
d322,salmonella_reduc,n
d322,cytogen_ca,n
d322,cytogen_sce,p
d323,salmonella,p
d323,cytogen_ca,n
d323,cytogen_sce,n
d324,salmonella,p
d324,cytogen_ca,n
d324,cytogen_sce,p
d325,salmonella,p
d325,mouse_lymph,p
d325,cytogen_ca,n
d325,cytogen_sce,n
d326,salmonella,n
d326,cytogen_ca,p
d326,cytogen_sce,p
d327,salmonella,n
d327,cytogen_ca,n
d327,cytogen_sce,n
d327,micronuc_m,p
d327,micronuc_f,p
d328,salmonella,p
d328,salmonella_n,n
d328,cytogen_ca,n
d328,cytogen_sce,n
d329,salmonella,p
d329,salmonella_reduc,p
d329,cytogen_ca,n
d329,cytogen_sce,n
d33,salmonella_n,n
d330,salmonella,n
d330,salmonella_reduc,p
d330,cytogen_ca,n
d330,cytogen_sce,n
d331,salmonella,p
d331,cytogen_ca,p
d331,cytogen_sce,p
d331,micronuc_m,n
d331,micronuc_f,n
d332,salmonella,p
d332,mouse_lymph,p
d332,drosophila_slrl,p
d332,drosophila_rt,p
d332,cytogen_ca,p
d332,cytogen_sce,p
d333,salmonella,p
d333,salmonella_reduc,p
d333,mouse_lymph,p
d333,cytogen_ca,p
d333,cytogen_sce,p
d334,salmonella,p
d334,drosophila_slrl,p
d334,drosophila_rt,n
d334,cytogen_ca,n
d334,cytogen_sce,p
d335,salmonella,p
d335,mouse_lymph,p
d335,cytogen_ca,p
d335,cytogen_sce,p
d336,salmonella,p
d336,mouse_lymph,p
d336,cytogen_ca,p
d336,cytogen_sce,p
d337,salmonella,p
d337,mouse_lymph,p
d337,cytogen_ca,p
d337,cytogen_sce,p
d34,salmonella,p
d34,cytogen_sce,p
d35,salmonella,n
d35,mouse_lymph,n
d35,cytogen_ca,n
d35,cytogen_sce,n
d36,salmonella,p
d36,mouse_lymph,n
d36,cytogen_ca,n
d36,cytogen_sce,n
d36,chromaberr,n
d36,chromex,p
d37,salmonella,p
d37,salmonella_n,p
d37,cytogen_ca,p
d37,cytogen_sce,p
d38,salmonella,p
d38,salmonella_n,p
d38,mouse_lymph,p
d38,drosophila_slrl,p
d38,drosophila_rt,n
d38,cytogen_ca,n
d38,cytogen_sce,p
d39,salmonella,p
d39,salmonella_n,p
d39,cytogen_ca,p
d39,cytogen_sce,p
d4,salmonella_n,p
d40,salmonella,n
d40,salmonella_n,n
d40,mouse_lymph,n
d40,cytogen_ca,p
d41,salmonella,p
d41,cytogen_ca,n
d41,cytogen_sce,n
d42,salmonella,n
d42,mouse_lymph,p
d42,cytogen_ca,p
d42,cytogen_sce,p
d43,salmonella,p
d43,mouse_lymph,p
d43,cytogen_ca,p
d43,cytogen_sce,p
d44,salmonella,p
d44,salmonella_n,n
d44,cytogen_ca,p
d44,cytogen_sce,p
d45,salmonella,p
d45,mouse_lymph,p
d45,cytogen_ca,p
d45,cytogen_sce,p
d45,chromaberr,p
d45,chromex,p
d46,salmonella,p
d46,salmonella_n,p
d46,cytogen_ca,p
d46,cytogen_sce,p
d47,salmonella,p
d47,mouse_lymph,p
d47,cytogen_ca,n
d47,cytogen_sce,p
d47,chromaberr,n
d47,chromex,p
d48,salmonella,p
d48,salmonella_n,p
d48,cytogen_ca,n
d48,cytogen_sce,p
d49,salmonella,p
d49,salmonella_n,p
d49,mouse_lymph,p
d49,cytogen_ca,p
d49,cytogen_sce,p
d5,salmonella,p
d5,salmonella_n,p
d5,cytogen_ca,p
d5,cytogen_sce,p
d50,salmonella,p
d50,salmonella_n,p
d50,mouse_lymph,p
d50,cytogen_ca,p
d50,cytogen_sce,p
d51,salmonella,p
d51,salmonella_n,p
d51,mouse_lymph,p
d51,cytogen_ca,p
d51,cytogen_sce,p
d52,salmonella,p
d52,mouse_lymph,p
d52,cytogen_ca,p
d52,cytogen_sce,n
d52,chromaberr,n
d53,salmonella,p
d53,cytogen_ca,p
d53,cytogen_sce,p
d54,salmonella,p
d54,cytogen_ca,n
d54,cytogen_sce,n
d55,salmonella,p
d55,salmonella_n,p
d55,mouse_lymph,p
d55,cytogen_ca,p
d55,cytogen_sce,p
d56,salmonella,p
d56,mouse_lymph,p
d56,cytogen_ca,p
d56,cytogen_sce,p
d57,salmonella,p
d57,mouse_lymph,p
d57,cytogen_ca,p
d57,cytogen_sce,p
d58,salmonella,p
d58,cytogen_ca,p
d58,cytogen_sce,p
