AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Business,Country,Value,DerivedProducts,ParentCompany
ACQ837,August,31,2000,eGroups,Electronic mailing list,USA,432000000,Yahoo! Groups,Yahoo
ACQ836,September,13,2000,MongoMusic,Online music search engine,USA,65000000,,Microsoft
ACQ835,September,27,2000,Pacific Microsonics,Digital audio technology,USA,,,Microsoft
ACQ834,November,9,2000,Kimo,Web portal,TWN,30000000,Yahoo!,Yahoo
ACQ833,,,2000,SoundJam MP[note 2],Software,USA,,iTunes,Apple
ACQ832,,,2001,Bluefish Labs,Productivity software,USA,,iWork,Apple
ACQ831,February,12,2001,Deja,Usenet,USA,,Google Groups,Google
ACQ830,February,14,2001,Sold.com.au,Online auction tools,AUS,30000000,Yahoo! Shopping,Yahoo
ACQ83,February,9,2016,Groove,Music Discovery,CAN,,,Microsoft
ACQ829,March,17,2001,Vacationspot,Internet service provider,USA,70850000,,Microsoft
ACQ828,April,5,2001,Great Plains Software,Business management software,USA,939884000,,Microsoft
ACQ827,May,2,2001,Intellisol International,Software,CAN,,,Microsoft
ACQ826,May,11,2001,bluebuzz,Internet service provider (ISP),USA,,,Apple
ACQ825,May,31,2001,NCompass Labs,Internet software,CAN,36000000,,Microsoft
ACQ824,June,7,2001,Mainspring,Business strategy consulting,USA,80000000,,IBM
ACQ823,June,21,2001,Maximal Innovative Intelligence,Software,ISR,20000000,,Microsoft
ACQ822,June,28,2001,LAUNCH Media,Online music store,USA,12000000,Yahoo! Music,Yahoo
ACQ821,July,1,2001,Yupi,Online Spanish Portal,USA,,,Microsoft
ACQ820,July,2,2001,Informix Corporation,Database Software,USA,1000000000,,IBM
ACQ82,February,12,2016,BandPage,Platform for musicians,USA,,YouTube,Google
ACQ819,July,9,2001,Spruce Technologies[note 3],Graphics software,USA,14900000,DVD Studio Pro,Apple
ACQ818,September,20,2001,Outride,Web search engine,USA,,Google Personalized Search,Google
ACQ817,December,31,2001,PowerSchool,Online info systems services,USA,66100000,PowerSchool,Apple
ACQ816,January,14,2002,"CrossWorlds Software, Inc.",Software,USA,129000000,,IBM
ACQ815,February,1,2002,Nothing Real,Special effects software,USA,15000000,Shake,Apple
ACQ814,February,12,2002,Hotjobs.com,Job search engine,USA,436000000,Yahoo! HotJobs,Yahoo
ACQ813,March,11,2002,Classic Custom Vacations,Travel agency,USA,78000000,,Microsoft
ACQ812,April,4,2002,Zayante,FireWire chips and software,USA,13000000,FireWire,Apple
ACQ811,May,22,2002,Sales Management Systems,Software,USA,,,Microsoft
ACQ810,June,11,2002,Silicon Grail Corp-Chalice[note 5][note 6],Digital effects software,USA,20000000,Motion,Apple
ACQ81,February,18,2016,Pie,Enterprise communications,SGP,,Spaces (app),Google
ACQ809,June,20,2002,Propel Software,internet and network optimization for wireless carriers,USA,,Safari,Apple
ACQ808,June,21,2002,Prismo Graphics[note 6],Special-effects titling software for film and video,USA,20000000,LiveType (Final Cut Studio),Apple
ACQ807,June,25,2002,Metamerge,Identity management,NOR,,,IBM
ACQ806,July,1,2002,Emagic,Music production software,GER,30000000,"Logic Pro, GarageBand",Apple
ACQ805,July,12,2002,Navision,Software programming,DEN,1330000000,,Microsoft
ACQ804,July,29,2002,Mobilocity,Computer consulting,USA,,,Microsoft
ACQ803,August,19,2002,"Trellisoft, Inc.",Enterprise storage,USA,,,IBM
ACQ802,September,10,2002,XDegrees,Security software,USA,,,Microsoft
ACQ801,September,12,2002,"Holosofx, Inc.",Business Process Management,USA,,,IBM
ACQ800,September,24,2002,Rare,Software and video games,UK,375000000,,Microsoft
ACQ80,February,18,2016,Truven Health Analytics,"Provider of cloud-based healthcare data, analytics and insights",USA,2600000000,,IBM
ACQ8,November,7,2017,SWNG,Cinemagraphic photo app,USA,,,Microsoft
ACQ799,October,2,2002,PWC Consulting,Business Consulting and Technology Services,USA,3500000000,,IBM
ACQ798,October,6,2002,Access360,Software,USA,,,IBM
ACQ797,October,7,2002,EADS Matra Datavision,Product lifecycle management,USA,,,IBM
ACQ796,November,15,2002,Tarian Software,Records Management,CAN,,,IBM
ACQ795,December,13,2002,Vicinity,Online enterprise location,USA,95849000,,Microsoft
ACQ794,December,23,2002,Inktomi Corporation,Internet service provider,USA,235000000,Yahoo! Search,Yahoo
ACQ793,February,,2003,Pyra Labs,Weblog software,USA,,Blogger,Google
ACQ792,Feburary,21,2003,Rational Software Corporation,Software Development,USA,2100000000,,IBM
ACQ791,February,25,2003,Connectix,Software,USA,,,Microsoft
ACQ790,March,3,2003,DCG,Internet software,AUS,,,Microsoft
ACQ79,February,24,2016,Xamarin,Mobile application development,USA,,,Microsoft
ACQ789,April,,2003,Applied Semantics,Online advertising,USA,102000000,"AdSense, AdWords",Google
ACQ788,April,,2003,Neotonic Software,Customer relationship management,USA,,"Google Groups, Gmail",Google
ACQ787,April,30,2003,PlaceWare,Web conferencing,USA,200000000,,Microsoft
ACQ786,May,14,2003,Think Dynamics,Software,CAN,,,IBM
ACQ785,May,27,2003,G.A. Sullivan,Information technology,USA,,,Microsoft
ACQ784,June,10,2003,GeCAD Software,Antivirus technology,ROU,,,Microsoft
ACQ783,June,14,2003,"Overture Services, Inc.",Search engine marketing,USA,1630000000,Yahoo! Search Marketing,Yahoo
ACQ782,July,1,2003,Information Laboratory,Software,USA,,,IBM
ACQ781,July,15,2003,Aptrix,Software,AUS,,,IBM
ACQ780,August,29,2003,3DO Co-High Heat Baseball,Software,USA,450000,,Microsoft
ACQ78,February,29,2016,Resilient Systems,"Cyber security, incident response platform",USA,,,IBM
ACQ779,September,30,2003,Kaltix,Web search engine,USA,,iGoogle,Google
ACQ778,October,,2003,Genius Labs,Blogging,USA,,Blogger,Google
ACQ777,October,,2003,Sprinks,Online advertising,USA,,"AdSense, AdWords",Google
ACQ776,October,17,2003,CrossAccess Corporation,Enterprise Information Integration,USA,,,IBM
ACQ775,November,13,2003,"Productivity Solutions, Inc.",Automated Self-Checkout Systems,USA,,,IBM
ACQ774,December,17,2003,"Green Pasture Software, Inc.",Content management software,USA,,,IBM
ACQ773,January,,2004,3721 Internet Assistant,Browser Helper Object,CHN,120000000,Yahoo! Assistant,Yahoo
ACQ772,March,26,2004,Kelkoo,Price comparison service,EU,579000000,Kelkoo,Yahoo
ACQ771,April,6,2004,Trigo Technologies,Product information management,USA,,,IBM
ACQ770,April,7,2004,Daksh e-Services,BPO Services,IND,170000000,,IBM
ACQ77,March,9,2016,MSQRD (Masquerade),Visual effects (Face-swapping),BLR,,,Facebook
ACQ769,April,13,2004,Business Continuity Services unit of Schlumberger,IT Services,FRA,,,IBM
ACQ768,April,22,2004,Encore Bus Solutions-IP Asts,IP assets,USA,,,Microsoft
ACQ767,April,26,2004,ActiveViews,Reporting systems,USA,,,Microsoft
ACQ766,May,10,2004,Ignite Logic,HTML editor,USA,,Google Sites,Google
ACQ765,June,7,2004,Candle Corporation,Infrastructure management,USA,,,IBM
ACQ764,July,12,2004,Oddpost,Web-based email,USA,30000000,Yahoo! Mail,Yahoo
ACQ763,July,13,2004,Picasa,Image organizer,USA,,"Picasa, Blogger",Google
ACQ762,July,14,2004,Alphablox Corporation,Business Intelligence,USA,,,IBM
ACQ761,July,16,2004,Lookout Software,Personal search tool,USA,,,Microsoft
ACQ760,July,29,2004,Cyanea Systems,Application management software,USA,,,IBM
ACQ76,March,18,2016,Optevia,Specialist provider of Microsoft Dynamics CRM based solutions and associated services to the public sector,UK,,,IBM
ACQ759,September,,2004,ZipDash,Traffic analysis,USA,,Google Maps,Google
ACQ758,September,14,2004,Musicmatch Jukebox,Audio player,USA,160000000,Yahoo! Music,Yahoo
ACQ757,October,,2004,Where2,Map analysis,AUS,,Google Maps,Google
ACQ756,October,2,2004,The All-Seeing Eye,Game server browser,EU,,Yahoo! Games,Yahoo
ACQ755,October,7,2004,Venetica,Enterprise Information Integration,USA,,,IBM
ACQ754,October,22,2004,Stata Labs,Web-based email,USA,,Yahoo! Mail,Yahoo
ACQ753,October,27,2004,"Keyhole, Inc",Map analysis,USA,,"Google Maps, Google Earth",Google
ACQ752,November,19,2004,Systemcorp ALG Ltd.,Project Portfolio Management (PPM) software,CAN,,,IBM
ACQ751,November,23,2004,Liberty Insurance Services,Business process services,USA,,,IBM
ACQ750,December,1,2004,Maersk Data and DMdata from Maersk,IT Services,DEN,,,IBM
ACQ75,March,31,2016,Blue Wolf Group LLC,Salesforce systems integrator and professional services,USA,200000000,,IBM
ACQ749,December,7,2004,WUF Networks,Mobile media,USA,,Yahoo! Mobile,Yahoo
ACQ748,December,13,2004,KeyMRO,Procurement Services,FRA,,,IBM
ACQ747,December,16,2004,GIANT Company Software,Anti-spyware,USA,,,Microsoft
ACQ746,January,7,2005,Systems Research & Development,Identity management,USA,,,IBM
ACQ745,February,11,2005,Verdisoft,Wireless data sharing,USA,58000000,Yahoo! Mobile,Yahoo
ACQ744,March,,2005,Schemasoft,Software,CAN,,iWork,Apple
ACQ743,March,2,2005,en'tegrate,Software,USA,,,Microsoft
ACQ742,March,4,2005,Stadeon,Online game,USA,,Yahoo! Games,Yahoo
ACQ741,March,16,2005,Corio,Application Services,USA,182000000,,IBM
ACQ740,March,20,2005,Ludicorp,Image hosting service,CAN,40000000,Flickr,Yahoo
ACQ74,April,9,2016,Peer,Employee and Manager Feedback Tool,USA,,,Twitter
ACQ739,March,28,2005,Urchin Software Corporation,Web analytics,USA,,Google Analytics,Google
ACQ738,April,,2005,FingerWorks,Gesture recognition company,USA,,iOS,Apple
ACQ737,April,9,2005,Groove Networks,Community software,USA,,,Microsoft
ACQ736,April,12,2005,TeRespondo,Advertising network,BRA,,Yahoo! Search Marketing,Yahoo
ACQ735,April,29,2005,Ascential Software Corporation,Enterprise Information Integration,USA,1100000000,,IBM
ACQ734,May,10,2005,Gluecode Software,Application Server,USA,,,IBM
ACQ733,May,11,2005,MessageCast,Messaging,USA,7000000,,Microsoft
ACQ732,May,12,2005,Dodgeball,Social networking service,USA,,Google Latitude,Google
ACQ731,May,31,2005,Tsinghua-Shenxun-Cert Asts,Certain assets,CHN,15000000,,Microsoft
ACQ730,June,14,2005,blo.gs,Weblog software,USA,,Yahoo! 360°,Yahoo
ACQ73,May,2,2016,Synergyse,Interactive tutorials,CAN,,Google Docs,Google
ACQ729,June,14,2005,Dialpad,Voice over Internet Protocol,USA,,Yahoo! Voice,Yahoo
ACQ728,June,21,2005,Sybari Software,Software,USA,,,Microsoft
ACQ727,June,23,2005,Meiosys,Application Management,USA,,,IBM
ACQ726,July,,2005,Reqwireless,Mobile browser,CAN,,Google Mobile,Google
ACQ725,July,19,2005,Akwan Information Technologies,Search engines,BRA,,Internet backbone,Google
ACQ724,July,25,2005,"PureEdge Solutions, Inc.",Electronic Forms,CAN,,,IBM
ACQ723,July,25,2005,Konfabulator,Widget engine,USA,,Yahoo! Widgets,Yahoo
ACQ722,July,27,2005,Isogon Corporation,Asset Management,USA,,,IBM
ACQ721,August,2,2005,DWL,Enterprise Information Integration,USA,,,IBM
ACQ720,August,17,2005,Android Inc.,Mobile operating system,USA,50000000,Android,Google
ACQ72,May,3,2016,Solair,Internet of Things platform,ITA,,,Microsoft
ACQ719,August,23,2005,facebook.com domain name,AboutFace,USA,200000,name change from Thefacebook.com,Facebook
ACQ718,August,29,2005,Teleo,VoIP,USA,,,Microsoft
ACQ717,August,31,2005,FrontBridge Technologies,Email protection,USA,,,Microsoft
ACQ716,September,19,2005,Alacris,Certificate management software,USA,,,Microsoft
ACQ715,October,4,2005,Upcoming.org,Calendaring software,USA,,Yahoo! Local,Yahoo
ACQ714,October,14,2005,"DataPower Technology, Inc.",Service Oriented Architecture (SOA),USA,,,IBM
ACQ713,October,18,2005,Whereonearth,Web mapping,UK,,Yahoo! Search Marketing,Yahoo
ACQ712,November,,2005,Skia Inc.,Graphics library,USA,,Skia,Google
ACQ711,November,1,2005,"iPhrase Systems, Inc.",Information management software,USA,,,IBM
ACQ710,November,3,2005,media-streams.com,Software,SWI,,,Microsoft
ACQ71,May,23,2016,Two Big Ears,Spatial Audio,UK,,,Facebook
ACQ709,November,10,2005,Network Solutions Pvt Ltd,IT Services,IND,,,IBM
ACQ708,November,15,2005,"Collation, Inc.",Network management,USA,,,IBM
ACQ707,November,17,2005,5th Finger,Mobile,AUS,3153000,,Microsoft
ACQ706,December,12,2005,del.icio.us,Social bookmarking,USA,20000000,del.icio.us,Yahoo
ACQ705,December,20,2005,"Bowstreet, Inc.",Portal-based tools,USA,,,IBM
ACQ704,December,27,2005,Phatbits,Widget engine,USA,,Google Desktop,Google
ACQ703,December,31,2005,bruNET GmbH,Mobile software,GER,,Google Mobile,Google
ACQ702,December,31,2005,allPAY GmbH,Mobile software,GER,,Google Mobile,Google
ACQ701,January,9,2006,Webjay,Online music store,USA,,Yahoo! Music,Yahoo
ACQ700,January,17,2006,dMarc Broadcasting,Advertising,USA,102000000,AdSense,Google
ACQ70,June,1,2016,EZSource,Application discovery and dashboard visualization,ISR,,,IBM
ACQ7,December,11,2017,Shazam,Music and Image recognition,UK,,"iTunes, Siri, Apple Music",Apple
ACQ699,January,17,2006,SearchFox,Web search engine,USA,,Yahoo! Search,Yahoo
ACQ698,January,19,2006,UMT-Software and IP Assets,Software,USA,,,Microsoft
ACQ697,January,20,2006,"CIMS Lab, Inc.",IT Financial Management,USA,,,IBM
ACQ696,January,27,2006,ARGUS Semiconductor Software From INFICON,Semiconductor Manufacturing software,USA,,,IBM
ACQ695,Feburary,8,2006,"Viacore, Inc.",Supply chain optimization,USA,,,IBM
ACQ694,February,13,2006,Seadragon Software,Software,USA,,,Microsoft
ACQ693,February,13,2006,MotionBridge,Search,FRA,17858000,,Microsoft
ACQ692,February,14,2006,Measure Map,Weblog software,USA,,Google Analytics,Google
ACQ691,Feburary,14,2006,"Micromuse, Inc.",Network management,USA,865000000,,IBM
ACQ690,March,7,2006,Onfolio,Internet software,USA,,,Microsoft
ACQ69,June,20,2016,Magic Pony Technology,"Advanced Video Upscaling, Compression and Enhancement",UK,150000000,,Twitter
ACQ689,March,7,2006,Apptimum,Software,USA,,,Microsoft
ACQ688,March,9,2006,Upstartle,Word processor,USA,,Google Docs,Google
ACQ687,March,14,2006,@Last Software,3D modeling software,USA,,Google Sketchup,Google
ACQ686,March,16,2006,Language Analysis Systems,Identity management,USA,,,IBM
ACQ685,April,6,2006,Lionhead Studios,Video games,UK,,,Microsoft
ACQ684,April,9,2006,Orion,Web search engine,AUS,,Google Search,Google
ACQ683,April,18,2006,Meedio,Digital video recorder,USA,,Yahoo! Go,Yahoo
ACQ682,April,26,2006,AssetMetrix,Enterprise software,CAN,,,Microsoft
ACQ681,May,2,2006,"BuildForge, Inc.",Software Development,USA,,,IBM
ACQ680,May,4,2006,Vexcel,Mapping software,USA,,,Microsoft
ACQ68,June,22,2016,Webpass,Internet service provider,USA,,Google Fiber,Google
ACQ679,May,4,2006,Massive Incorporated,Video game advertising,USA,,,Microsoft
ACQ678,May,5,2006,"Unicorn Solutions, Inc.",Metadata management,USA,,,IBM
ACQ677,May,15,2006,DeepMetrix,Web log analysis,USA,,,Microsoft
ACQ676,June,1,2006,2Web Technologies,Online spreadsheets,USA,,Google Spreadsheet,Google
ACQ675,June,6,2006,ProClarity,Analysis software,USA,,,Microsoft
ACQ674,June,27,2006,iView Multimedia,Digital asset management,UK,,,Microsoft
ACQ673,June,27,2006,Rembo Technology,Installation Software,SUI,,,IBM
ACQ672,July,17,2006,Softricity,application virtualization software,USA,,,Microsoft
ACQ671,July,18,2006,Winternals Software,Software,USA,,,Microsoft
ACQ670,July,26,2006,Whale Communications,Applications,ISR,,,Microsoft
ACQ67,July,6,2016,Moodstocks,Image recognition,FRA,,Google Photos,Google
ACQ669,August,1,2006,"Webify Solutions, Inc",Service Oriented Architecture software,USA,,,IBM
ACQ668,August,15,2006,Neven Vision Germany GmbH,Computer vision,GER,,"Picasa, Google Goggles",Google
ACQ667,September,6,2006,Global Value Solutions,IT Services,BRA,,,IBM
ACQ666,September,26,2006,Gteko,Applications,ISR,,,Microsoft
ACQ665,September,27,2006,Jumpcut.com,Online video editing,USA,,Yahoo! Video,Yahoo
ACQ664,October,2,2006,DesktopStandard,Applications,USA,,,Microsoft
ACQ663,October,4,2006,DORANA product line from Ubiquity Pty Limited,Asset Management,AUS,,,IBM
ACQ662,October,5,2006,MRO Software,Asset Management,USA,740000000,,IBM
ACQ661,October,9,2006,YouTube,Video sharing,USA,1650000000,YouTube,Google
ACQ660,October,12,2006,Colloquis,Natural language software,USA,,,Microsoft
ACQ66,July,8,2016,Anvato,Cloud-based video services,USA,,Google Cloud Platform,Google
ACQ659,October,12,2006,FileNet Corporation,Content management software,USA,1600000000,,IBM
ACQ658,October,16,2006,Silicon Color,Software,USA,,Color (Final Cut Studio),Apple
ACQ657,October,17,2006,AdInterax,Online advertising,USA,,Yahoo! Search Marketing,Yahoo
ACQ656,October,20,2006,Palisades Technology Partners,Management consulting,USA,,,IBM
ACQ655,October,20,2006,Internet Security Systems (ISS),Information security,USA,1300000000,,IBM
ACQ654,October,31,2006,JotSpot,Web application,USA,,Google Sites,Google
ACQ653,November,16,2006,Bix.com,Social media,USA,,Bix,Yahoo
ACQ652,November,17,2006,Kenet Works,Mobile software,EU,25000000,Yahoo! Mobile,Yahoo
ACQ651,December,,2006,Wretch,Virtual community,TWN,22000000,Wretch,Yahoo
ACQ650,December,4,2006,Proximity,Software,AUS,,Final Cut Server,Apple
ACQ65,July,12,2016,Kifi,Link management,USA,,Spaces (app),Google
ACQ649,December,18,2006,Endoxon,Mapping,CHE,28000000,Google Maps,Google
ACQ648,January,8,2007,MyBlogLog,Social network service,USA,,MyBlogLog,Yahoo
ACQ647,January,22,2007,"Consul Risk Management, Inc.",Information security,NED,,,IBM
ACQ646,Feburary,13,2007,Vallent Corporation,Telecommunications Management,USA,,,IBM
ACQ645,February,16,2007,Adscape,In-game advertising,USA,23000000,AdSense,Google
ACQ644,March,1,2007,Softek Storage Solutions Corporation,Data Mobility,USA,,,IBM
ACQ643,March,9,2007,Medstory,Internet search engine,USA,,,Microsoft
ACQ642,March,16,2007,Trendalyzer,Statistical software,SWE,,Google Analytics,Google
ACQ641,March,18,2007,"BlackDot Networks, Inc.",Enterprise Data Consulting,USA,,,IBM
ACQ640,March,26,2007,devBiz Business Solutions,Software tools,USA,,,Microsoft
ACQ64,July,27,2016,LaunchKit,Mobile tool maker,USA,,Android,Google
ACQ639,April,13,2007,DoubleClick,Online advertising,USA,3100000000,AdSense,Google
ACQ638,April,17,2007,Tonic Systems,Presentation program,USA,,Google Docs,Google
ACQ637,April,19,2007,Marratech,Videoconferencing,SWE,15000000,"Google Talk, Google Hangouts",Google
ACQ636,April,20,2007,Unicible,IT Services,SWI,460000000,,IBM
ACQ635,April,29,2007,Right Media,Online advertising,USA,850000000,Yahoo! Search Marketing,Yahoo
ACQ634,May,3,2007,Tellme Networks,Mobile phone software,USA,,,Microsoft
ACQ633,May,3,2007,ScreenTonic,Advertising and marketing,FRA,,,Microsoft
ACQ632,May,9,2007,SoftArtisans,Business Intelligence software,USA,,,Microsoft
ACQ631,May,11,2007,GreenBorder,Computer security,USA,,Google Chrome,Google
ACQ630,May,28,2007,Crusix,Social networking service,USA,,YouTube,Google
ACQ63,August,5,2016,Turi,Machine learning,USA,200000000,"Xcode, Core ML",Apple
ACQ629,June,1,2007,Panoramio,Photo sharing,ESP,,Panoramio,Google
ACQ628,June,3,2007,FeedBurner,Web feed,USA,100000000,FeedBurner,Google
ACQ627,June,4,2007,Engyro,Information technology,USA,,,Microsoft
ACQ626,June,5,2007,PeakStream,Parallel processing,USA,,Android,Google
ACQ625,June,7,2007,Stratature,Master Data Management,USA,,,Microsoft
ACQ624,June,19,2007,Zenter,Presentation program,USA,,Google Docs,Google
ACQ623,June,20,2007,Rivals.com,College sports,USA,,Yahoo! Sports,Yahoo
