gid,rank,votes,title,category,year,authors,avgRating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars,ratings
8411749,11,559,"The Rogue (Traitor Spy Trilogy, #2)",Fantasy,2011,Trudi Canavan,4.03,495,01/05/2011,Orbit,4763,5583,2966,515,98,13925
8706185,12,534,Among Others,Fantasy,2011,Jo Walton,3.69,304,18/01/2011,Tor Books,5194,7729,5537,2005,731,21196
10803121,13,397,"The Alloy of Law (Mistborn, #4)",Fantasy,2011,Brandon Sanderson,4.21,332,08/11/2011,Tor Books,50230,53543,17821,2353,484,124431
8679140,14,358,"Cast in Ruin (Chronicles of Elantra, #7)",Fantasy,2011,"Michelle Sagara, Michelle Sagara West",4.29,457,20/09/2011,Luna,3068,2538,876,93,24,6599
8694389,15,342,"Deathless (Leningrad Diptych, #1)",Fantasy,2011,Catherynne M. Valente,4.01,352,29/03/2011,Tor Books,6138,4972,2746,1017,418,15291
9300768,16,329,"The Heroes (First Law World, #5)",Fantasy,2011,Joe Abercrombie,4.29,581,07/02/2011,Orbit,18960,14285,4909,842,264,39260
8396337,17,297,"Blackveil (Green Rider, #4)",Fantasy,2011,Kristen Britain,4.17,672,01/02/2011,Daw Books,4485,3964,1696,335,93,10573
7923006,18,187,"The Kingdom of Gods (Inheritance, #3)",Fantasy,2011,N.K. Jemisin,3.95,613,11/10/2011,Orbit,4831,6245,3511,774,161,15522
10199908,19,167,"The Measure of the Magic (Legends of Shannara, #2)",Fantasy,2011,Terry Brooks,4.04,383,,None,2709,2860,1634,309,62,7574
8598554,20,117,"The Omen Machine (Sword of Truth, #12; Richard and Kahlan, #1)",Fantasy,2011,Terry Goodkind,3.67,528,16/08/2011,Doubleday Canada,5321,5524,4912,1942,856,18555
7304203,1,5849,"Shadowfever (Fever, #5)",Paranormal Fantasy,2011,Karen Marie Moning,4.41,608,18/01/2011,Delacorte Press,57918,23886,8573,2335,1884,94596
8667848,2,5842,"A Discovery of Witches (All Souls Trilogy, #1)",Paranormal Fantasy,2011,Deborah Harkness,4,579,,Viking Penguin,140593,107360,58075,22149,12508,340685
7981206,3,5144,"Dead Reckoning (Sookie Stackhouse, #11)",Paranormal Fantasy,2011,Charlaine Harris,3.78,336,28/05/2011,"Gollancz, Victor Limited",31065,39390,33681,8511,1688,114335
8058301,4,5003,"Ghost Story (The Dresden Files, #13)",Paranormal Fantasy,2011,Jim Butcher,4.25,481,26/07/2011,Roc Hardcover,37321,28500,11682,2168,329,80000
8559047,5,3877,"Magic Slays (Kate Daniels, #5)",Paranormal Fantasy,2011,Ilona Andrews,4.43,308,31/05/2011,Ace,33455,20220,5811,642,218,60346
7802254,6,2823,"Succubus Revealed (Georgina Kincaid, #6)",Paranormal Fantasy,2011,Richelle Mead,4.26,277,30/08/2011,Kensington,9980,6681,2973,591,161,20386
6871617,7,2586,"This Side of the Grave (Night Huntress, #5)",Paranormal Fantasy,2011,Jeaniene Frost,4.28,357,22/02/2011,Avon,26917,19182,8009,1213,332,55653
8138071,8,2445,"Pale Demon (The Hollows, #9)",Paranormal Fantasy,2011,Kim Harrison,4.45,439,22/02/2011,Harper Voyager,24718,13588,3902,460,188,42856
8087906,9,1690,"River Marked (Mercy Thompson, #6)",Paranormal Fantasy,2011,Patricia Briggs,4.28,326,03/03/2011,Orbit,34674,26965,10377,1470,270,73756
9581001,10,1561,"Hard Bitten (Chicagoland Vampires, #4)",Paranormal Fantasy,2011,Chloe Neill,4.16,350,03/05/2011,NAL Trade,14636,12720,5967,1081,313,34717
9565045,11,653,"Second Grave on the Left (Charley Davidson, #2)",Paranormal Fantasy,2011,Darynda Jones,4.27,307,16/08/2011,St. Martin's Press,20084,16358,5967,801,248,43458
8935153,12,600,"Hit List (Anita Blake, Vampire Hunter #20)",Paranormal Fantasy,2011,Laurell K. Hamilton,3.94,320,07/06/2011,Berkley Hardcover,10308,8136,5934,1885,755,27018
8356487,13,574,"Heartless (Parasol Protectorate, #4)",Paranormal Fantasy,2011,Gail Carriger,4.07,374,01/07/2011,Orbit,9771,12839,5943,725,118,29396
10783217,14,498,"One Salt Sea (October Daye, #5)",Paranormal Fantasy,2011,Seanan McGuire,4.32,354,06/09/2011,DAW,7866,6519,1848,202,91,16526
8926959,15,471,"Hunt the Moon (Cassandra Palmer, #5)",Paranormal Fantasy,2011,Karen Chance,4.25,419,07/06/2011,Signet Select,7939,5736,2512,440,130,16757
9533378,16,336,"Hounded (The Iron Druid Chronicles, #1)",Paranormal Fantasy,2011,Kevin Hearne,4.11,304,03/05/2011,Del Rey,28700,27520,11705,2799,1195,71919
7797032,17,309,"Spell Bound (Women of the Otherworld, #12)",Paranormal Fantasy,2011,Kelley Armstrong,4.22,352,04/08/2011,Orbit,6010,5368,2201,274,49,13902
9571401,18,148,"Blood Rights (House of Comarré, #1)",Paranormal Fantasy,2011,Kristen Painter,3.74,381,01/09/2011,Orbit,1603,2224,1630,479,201,6137
8105616,19,135,"Blood Challenge (World of the Lupi, #7)",Paranormal Fantasy,2011,Eileen Wilks,4.27,443,04/01/2011,Berkley,2130,1851,643,69,27,4720
9565574,20,92,"Grave Dance (Alex Craft, #2)",Paranormal Fantasy,2011,Kalayna Price,4.1,371,05/07/2011,ROC,7558,8778,3911,536,171,20954
10644930,1,4429,11/22/63,Science Fiction,2011,Stephen King,4.31,849,08/11/2011,Scribner,198018,138670,44587,9663,3855,394793
9969571,2,3402,"Ready Player One (Ready Player One, #1)",Science Fiction,2011,Ernest Cline,4.27,374,16/08/2011,Crown Publishers,405655,251346,97406,28187,12976,795570
11045709,3,2682,When She Woke,Science Fiction,2011,Hillary Jordan,3.67,344,04/10/2011,Algonquin Books,5174,10004,7467,2142,606,25393
12620241,4,2611,"Silver Shark (Kinsmen, #2)",Science Fiction,2011,Ilona Andrews,4.26,129,16/09/2011,NYLA,3796,3047,1185,191,34,8253
9634967,5,2234,"Robopocalypse (Robopocalypse, #1)",Science Fiction,2011,Daniel H. Wilson,3.68,347,07/06/2011,Doubleday,7844,12941,9483,3083,1067,34418
9673936,6,1634,Basilisk (The Korsak Brothers #2),Science Fiction,2011,Rob Thurman,3.94,352,02/08/2011,Roc,360,413,283,44,17,1117
9265453,7,1424,Embassytown,Science Fiction,2011,China Miéville,3.88,345,17/05/2011,Del Rey,7469,10151,5512,1613,619,25364
9795166,8,1251,"Phoenix Rising (Ministry of Peculiar Occurrences, #1)",Science Fiction,2011,"Pip Ballantine, Tee Morris, Philippa Ballantine",3.7,402,26/04/2011,Harper Voyager,1787,2792,1836,601,315,7331
10648186,9,1160,"Aftermath (Sirantha Jax, #5)",Science Fiction,2011,Ann Aguirre,4.02,307,30/08/2011,Ace,1119,1295,632,149,38,3233
8855321,10,897,"Leviathan Wakes (The Expanse, #1)",Science Fiction,2011,James S.A. Corey,4.26,561,02/06/2011,Orbit,66868,60295,17783,3296,1160,149402
9647532,11,461,Fuzzy Nation (Fuzzy Sapiens #7),Science Fiction,2011,John Scalzi,4.12,303,,None,8773,10847,4083,595,201,24499
8429441,12,420,"WWW: Wonder (WWW, #3)",Science Fiction,2011,Robert J. Sawyer,3.98,338,05/04/2011,Ace Hardcover,1240,1606,851,177,40,3914
9762449,13,359,"Ghost Ship (Theo Waitley, #3; Liaden Universe, #15)",Science Fiction,2011,"Sharon Lee, Steve Miller",4.27,328,02/08/2011,Baen,812,718,244,39,1,1814
10138547,14,302,Rule 34,Science Fiction,2011,Charles Stross,3.75,358,05/07/2011,Ace Books,1600,3249,2017,488,173,7527
9676849,15,255,"Dreadnaught (The Lost Fleet: Beyond the Frontier, #1)",Science Fiction,2011,Jack Campbell,4.03,356,26/04/2011,Ace Books,3930,5460,2478,393,94,12355
8714075,16,210,"Alien in the Family (Katherine ""Kitty"" Katt, #3)",Science Fiction,2011,"Gini Koch, Daniel Dos Santos",4.1,457,05/04/2011,DAW,906,843,401,102,22,2274
8701508,17,105,"Rising Tides (Destroyermen, #5)",Science Fiction,2011,Taylor Anderson,4.21,433,,None,1056,1211,393,37,10,2707
9432902,18,71,Flashback,Science Fiction,2011,Dan Simmons,3.26,554,01/07/2011,Reagan Arthur Books,592,1230,1136,575,403,3936
10207116,19,39,"The Final Evolution (Avery Cates, #5)",Science Fiction,2011,Jeff Somers,4.03,400,01/07/2011,Orbit,198,259,116,25,4,602
9756310,20,32,"The Clockwork Rocket (Orthogonal, #1)",Science Fiction,2011,Greg Egan,3.61,512,15/09/2011,Orion/Gollancz,410,628,509,199,73,1819
5957313,1,3264,"Graveminder (Graveminder, #1)",Horror,2011,Melissa Marr,3.48,324,09/05/2011,HarperCollins Publishers,2210,4027,4037,1583,463,12320
7830126,2,2816,"What the Night Knows (What the Night Knows, #1)",Horror,2011,Dean Koontz,3.75,442,28/12/2010,Bantam,4835,6610,4916,1432,521,18314
8429687,3,1985,"Deadline (Newsflesh Trilogy, #2)",Horror,2011,Mira Grant,4.1,584,01/06/2011,Orbit,9182,8912,3954,968,325,23341
8718281,4,1608,"Dreadfully Ever After (Pride and Prejudice and Zombies, #2)",Horror,2011,"Steve Hockensmith, Patrick Arrasmith",3.75,287,22/03/2011,Quirk Books,1180,1446,1215,350,121,4312
10209997,5,1509,The Night Strangers,Horror,2011,Chris Bohjalian,3.16,378,04/10/2011,Crown,1793,4146,5528,2898,1164,15529
9640626,6,1441,"My Life as a White Trash Zombie (White Trash Zombie, #1)",Horror,2011,"Diana Rowland, Daniel Dos Santos",3.93,320,05/07/2011,DAW,3506,5139,2656,503,219,12023
9440171,7,1382,"The President's Vampire (Nathaniel Cade, #2)",Horror,2011,Christopher Farnsworth,4.01,337,,None,1609,2070,1058,178,53,4968
9421748,8,1194,"Eat Slay Love (Living With the Dead, #3)",Horror,2011,Jesse Petersen,4.06,277,18/08/2011,Simon & Schuster Ltd,870,987,506,81,22,2466
10365343,9,1019,Zone One,Horror,2011,Colson Whitehead,3.26,259,18/10/2011,Doubleday,2231,5348,5693,2861,1206,17339
9065272,10,596,"Aftertime (Aftertime, #1)",Horror,2011,Sophie Littlefield,3.54,384,22/02/2011,Luna,760,1060,996,386,187,3389
11422798,11,309,Seed,Horror,2011,Ania Ahlborn,3.66,460,01/06/2011,None,2076,3010,2371,883,305,8645
9532302,12,294,"The Last Werewolf (The Last Werewolf, #1)",Horror,2011,Glen Duncan,3.47,346,07/04/2011,Canongate,2650,5015,4341,1786,847,14639
10108463,13,288,The Devil All the Time,Horror,2011,Donald Ray Pollock,4.11,261,12/07/2011,Doubleday,5725,6123,2267,599,208,14922
6945530,14,243,"The Night Eternal (The Strain Trilogy, #3)",Horror,2011,"Guillermo del Toro, Chuck Hogan",3.69,371,25/10/2011,HarperCollins Publishers,6167,9409,7818,2425,584,26403
8585317,15,240,The Cypress House,Horror,2011,Michael Koryta,3.75,415,24/01/2011,"Little, Brown and Company",823,1629,1059,268,67,3846
9120730,16,223,"The King of Plagues (Joe Ledger, #3)",Horror,2011,Jonathan Maberry,4.19,435,29/03/2011,St. Martin's Griffin,2806,2871,1089,146,36,6948
9466865,17,156,Raising Stony Mayhall,Horror,2011,Daryl Gregory,3.84,403,28/06/2011,Del Rey,961,1384,755,240,92,3432
11876043,18,136,That Which Should Not Be,Horror,2011,Brett J. Talley,3.95,260,07/10/2011,JournalStone,361,457,256,48,23,1145
10644437,19,135,"An Apple For Zoë (The Forsaken, #1)",Horror,2011,Thomas Amo,3.68,319,28/02/2011,GothicTwist Publishing,82,77,33,23,27,242
10772903,20,112,Those Across the River,Horror,2011,Christopher Buehlman,3.64,357,06/09/2011,Ace Books,1311,2371,1783,634,163,6262
8492319,1,5009,"Lover Unleashed (Black Dagger Brotherhood, #9)",Romance,2011,J.R. Ward,4.29,512,29/03/2011,NAL,41792,24858,11918,2423,562,81553
10818853,2,3815,"Fifty Shades of Grey (Fifty Shades, #1)",Romance,2011,E.L. James,3.66,356,25/05/2011,Vintage,719321,369230,319679,190638,212081,1810949
10506237,3,2830,Hot Head (Head #1),Romance,2011,Damon Suede,4.04,320,15/06/2011,Dreamspinner Press,6048,5201,2706,831,375,15161
9571478,4,2778,"Just Like Heaven (Smythe-Smith Quartet, #1)",Romance,2011,Julia Quinn,3.94,374,31/05/2011,Avon Harper Collins,10517,12170,7753,1547,581,32568
9410421,5,2724,Chasing Fire,Romance,2011,Nora Roberts,4.12,472,12/04/2011,Putnam,14044,12123,6326,1285,393,34171
9650938,6,2322,"Kiss of Snow (Psy-Changeling, #10)",Romance,2011,Nalini Singh,4.46,415,31/05/2011,Berkley,16029,7438,2481,446,168,26562
8437379,7,1917,"Call Me Irresistible (Wynette, Texas, #5)",Romance,2011,Susan Elizabeth Phillips,4.09,385,18/01/2011,William Morrow,7728,7839,3817,755,196,20335
9065265,8,1850,"Retribution (Dark-Hunter, #19)",Romance,2011,Sherrilyn Kenyon,4.12,369,02/08/2011,St. Martin's Press,8658,6457,3742,909,232,19998
