author,bookName
Herbert George Wells,The Door in the Wall And Other Stories
Herbert George Wells,The Secret Places of the Heart
Herbert George Wells,The New Machiavelli
Herbert George Wells,When the Sleeper Wakes
Herbert George Wells,The Passionate Friends
Herbert George Wells,The Stolen Bacillus and Other Incidents
Herbert George Wells,The Food of the Gods and How It Came to Earth
Herbert George Wells,"Boon, The Mind of the Race, The Wild Asses of the Devil, and The Last Trump"
Herbert George Wells,First and Last Things
Herbert George Wells,Little Wars; a game for boys from twelve years of age to one hundred and fifty and for that more intelligent sort of girl who likes boys' games and books
Herbert George Wells,In The Fourth Year
Herbert George Wells,The Time Machine
Herbert George Wells,Select Conversations with an Uncle
Herbert George Wells,The Wheels of Chance
Herbert George Wells,A Short History of the World
Herbert George Wells,The Wonderful Visit
Herbert George Wells,A Modern Utopia
Herbert George Wells,Mr. Britling Sees It Through
Herbert George Wells,War and the Future
Howard Pyle,Stolen Treasure
Howard Pyle,Pepper & Salt
Howard Pyle,The Rose of Paradise
Howard Pyle,Men of Iron
Howard Pyle,The Story of the Champions of the Round Table
Howard Pyle,The Merry Adventures of Robin Hood
Howard Pyle,Twilight Land
Howard Pyle,The Story of Sir Launcelot and His Companions
Howard Pyle,Howard Pyle's Book of Pirates
Howard Pyle,The Ruby of Kishmoor
Howard Pyle,Otto of the Silver Hand
George Washington,State of the Union Addresses of George Washington
conan-doyle,Tales of Terror and Mystery
conan-doyle,"The Adventures of Sherlock Holmes, by Arthur Conan Doyle"
conan-doyle,The Adventure of the Cardboard Box
conan-doyle,The Sign of the Four
conan-doyle,The Return of Sherlock Holmes
conan-doyle,Memoirs of Sherlock Holmes
conan-doyle,The Adventure of the Devil's Foot
conan-doyle,The Lost World
conan-doyle,The Valley of Fear
conan-doyle,The White Company
conan-doyle,The Adventure of the Bruce-Partington Plans
conan-doyle,The Hound of the Baskervilles
Ralph Waldo Emerson,Poems
Ralph Waldo Emerson,"Essays, First Series"
Ralph Waldo Emerson,Essays
Ralph Waldo Emerson,"Essays, Second Series"
Ralph Waldo Emerson,Representative Men
Ralph Waldo Emerson,May-Day
Ralph Waldo Emerson,Nature
G K Chesterton,The Victorian Age in Literature
G K Chesterton,Varied Types
G K Chesterton,What I Saw in America
G K Chesterton,Appreciations and Criticisms of the Works of Charles Dickens
G K Chesterton,The Club of Queer Trades
G K Chesterton,The Crimes of England
G K Chesterton,A Short History of England
G K Chesterton,The Defendant
G K Chesterton,Eugenics and Other Evils
G K Chesterton,Orthodoxy
G K Chesterton,The Barbarism of Berlin
G K Chesterton,A Miscellany of Men
G K Chesterton,The Man Who Knew Too Much
G K Chesterton,Lord Kitchener
G K Chesterton,The Ballad of the White Horse
G K Chesterton,Tremendous Trifles
G K Chesterton,What's Wrong With The World
G K Chesterton,Poems
G K Chesterton,Utopia of Usurers and other Essays
G K Chesterton,The Ballad of St. Barbara
G K Chesterton,Alarms and Discursions
G K Chesterton,Manalive
G K Chesterton,The Appetite of Tyranny
G K Chesterton,Robert Browning
G K Chesterton,All Things Considered
G K Chesterton,Greybeards at Play
G K Chesterton,Heretics
G K Chesterton,Twelve Types
G K Chesterton,The Wild Knight and Other Poems
G K Chesterton,The Wisdom of Father Brown
G K Chesterton,The New Jerusalem
G K Chesterton,George Bernard Shaw
G K Chesterton,"Wine, Water, and Song"
G K Chesterton,The Trees of Pride
G K Chesterton,The Ball and The Cross
G K Chesterton,Magic
G K Chesterton,The Man Who Was Thursday
G K Chesterton,The Innocence of Father Brown
G K Chesterton,The Napoleon of Notting Hill
Sir Isaac Newton,"Observations upon the Prophecies of Daniel, and the Apocalypse of St. John"
Sir Isaac Newton,The Chronology of Ancient Kingdoms Amended
Sir Isaac Newton,Opticks
Aldous Huxley,Crome Yellow
Aldous Huxley,Mortal Coils
Aldous Huxley,The Defeat of Youth and Other Poems
William Ewart Gladstone,On Books and the Housing of Them
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 2"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 21"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 20"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 3"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 1"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 4"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 5"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 7"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 18"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 19"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 6"
Thomas Carlyle,Heroes and Hero Worship
Thomas Carlyle,On the Choice of Books
Thomas Carlyle,The Life of Friedrich Schiller
Thomas Carlyle,Latter-Day Pamphlets
Thomas Carlyle,Sartor Resartus
Thomas Carlyle,The Life of John Sterling
Thomas Carlyle,Life of Robert Burns
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 14"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 15"
Thomas Carlyle,The French Revolution
Thomas Carlyle,"History of Friedrich II of Prussia, Appendix"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 8"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 17"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 16"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 9"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 12"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 13"
Thomas Carlyle,Early Kings of Norway
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 11"
Thomas Carlyle,"History of Friedrich II of Prussia, Volume 10"
Thomas Carlyle,Past and Present
O Henry,Whirligigs
O Henry,The Trimmed Lamp
O Henry,Rolling Stones
O Henry,Strictly Business
O Henry,Waifs and Strays Part 1
O Henry,The Gift of the Magi
O Henry,The Voice of the City
O Henry,Heart of the West
O Henry,The Gentle Grafter
O Henry,Cabbages and Kings
O Henry,Roads of Destiny
O Henry,Sixes and Sevens
O Henry,Options
O Henry,The Four Million
Elizabeth Barrett Browning,The Poetical Works of Elizabeth Barrett Browning Volume IV
Elizabeth Barrett Browning,The Letters of Elizabeth Barrett Browning (1 of 2)
Elizabeth Barrett Browning,Sonnets from the Portuguese
Elizabeth Barrett Browning,'He Giveth His Beloved Sleep'
Elizabeth Barrett Browning,The Poetical Works of Elizabeth Barrett Browning Volume I
Elizabeth Barrett Browning,The Poetical Works of Elizabeth Barrett Browning Volume II
Elizabeth Barrett Browning,The Letters of Elizabeth Barrett Browning (2 of 2)
Sir Walter Scott,The Heart of Mid-Lothian
Sir Walter Scott,Old Mortality
Sir Walter Scott,Redgauntlet
Sir Walter Scott,"Woodstock; or, The Cavalier"
Sir Walter Scott,Guy Mannering
Sir Walter Scott,The Betrothed
Sir Walter Scott,A Legend of Montrose
Sir Walter Scott,The Talisman
Sir Walter Scott,Peveril of the Peak
Sir Walter Scott,"The Tapestried Chamber, and Death of the Laird's Jock"
Sir Walter Scott,Chronicles of the Canongate
Sir Walter Scott,My Aunt Margaret's Mirror
Sir Walter Scott,The Abbot
Sir Walter Scott,The Surgeon's Daughter
Sir Walter Scott,Rob Roy
Sir Walter Scott,"The Dramatic Works of John Dryden, Volume I"
Sir Walter Scott,Trial of Duncan Terig
Sir Walter Scott,The Monastery
Sir Walter Scott,Ivanhoe
Sir Walter Scott,St. Ronan's Well
Sir Walter Scott,The Journal of Sir Walter Scott
Sir Walter Scott,Minstrelsy of the Scottish border (3rd ed) (1 of 3)
Sir Walter Scott,Waverley
Sir Walter Scott,The Fortunes of Nigel
Sir Walter Scott,The Black Dwarf
Sir Walter Scott,Quentin Durward
Sir Walter Scott,Bride of Lammermoor
Sir Walter Scott,Letters On Demonology And Witchcraft
Sir Walter Scott,"The Antiquary, Complete"
Sir Walter Scott,The Fair Maid of Perth
Sir Walter Scott,Marmion
Sir Walter Scott,Kenilworth
Sir Walter Scott,The Lady of the Lake
Sir Walter Scott,Minstrelsy of the Scottish border (2 of 3)
Sir Walter Scott,Some Poems
Daniel Defoe,"An Appeal to Honour and Justice, Though It Be of His Worst Enemies"
Daniel Defoe,The Lay-Man's Sermon upon the Late Storm
Daniel Defoe,"Tour through the Eastern Counties of England, 1722"
Daniel Defoe,The Fortunate Mistress (Parts 1 and 2)
Daniel Defoe,The Life and Adventures of Robinson Crusoe
Daniel Defoe,The History of the Life and Adventures of Mr. Duncan Campbell
Daniel Defoe,Dickory Cronke
Daniel Defoe,A True Relation of the Apparition of one Mrs. Veal
Daniel Defoe,"An Answer to a Question that Nobody thinks of, viz., But what if the Queen should Die?"
Daniel Defoe,A New Voyage Round the World by a Course Never Sailed Before
Daniel Defoe,A Vindication of the Press
Daniel Defoe,"The Life and Adventures of Robinson Crusoe Of York, Mariner, Vol. 1"
Daniel Defoe,A Journal of the Plague Year
Daniel Defoe,The Life and Adventures of Robinson Crusoe (1808)
Daniel Defoe,Atalantis Major
Daniel Defoe,The History of the Remarkable Life of John Sheppard
Daniel Defoe,Reasons against the Succession of the House of Hanover
Daniel Defoe,The Further Adventures of Robinson Crusoe
Daniel Defoe,Memoirs of Major Alexander Ramkins (1718)
Daniel Defoe,Of Captain Mission
Daniel Defoe,The True-Born Englishman
Daniel Defoe,"A Short Narrative of the Life and Actions of His Grace John, D. of Marlborogh"
Daniel Defoe,Second Thoughts are Best
Daniel Defoe,"The Life, Adventures & Piracies of the Famous Captain Singleton"
Daniel Defoe,The Consolidator
Daniel Defoe,The Fortunes and Misfortunes of the Famous Moll Flanders
Daniel Defoe,The Complete English Tradesman (1839 ed.)
Daniel Defoe,History of the Plague in London
Daniel Defoe,Memoirs of a Cavalier
Daniel Defoe,The History of the Devil
Daniel Defoe,Military Memoirs of Capt. George Carleton
Daniel Defoe,An Humble Proposal to the People of England
Daniel Defoe,The King of Pirates
Daniel Defoe,Augusta Triumphans
Daniel Defoe,From London to Land's End
Daniel Defoe,Everybody's Business is Nobody's Business
Daniel Defoe,A Seasonable Warning and Caution against the Insinuations of Papists and Jacobites
Daniel Defoe,An Essay Upon Projects
Daniel Defoe,The Life and Most Surprising Adventures of Robinson Crusoe
Daniel Defoe,And What if the Pretender should Come?
Oscar Wilde,Miscellaneous Aphorisms; The Soul of Man
Oscar Wilde,A Woman of No Importance
Oscar Wilde,Selected Prose of Oscar Wilde
Oscar Wilde,Miscellanies
Oscar Wilde,The Ballad of Reading Gaol
Oscar Wilde,Shorter Prose Pieces
Oscar Wilde,Reviews
Oscar Wilde,Essays and Lectures
Oscar Wilde,A House of Pomegranates
Oscar Wilde,Lord Arthur Savile's Crime and Other Stories
Oscar Wilde,The Soul of Man
Oscar Wilde,Poems
Oscar Wilde,Lady Windermere's Fan
Oscar Wilde,Charmides and Other Poems
Oscar Wilde,For Love of the King
Oscar Wilde,La Sainte Courtisane
Oscar Wilde,Vera
Oscar Wilde,The Picture of Dorian Gray
Oscar Wilde,A Critic in Pall Mall
Oscar Wilde,The Importance of Being Earnest
Oscar Wilde,The Canterville Ghost
Oscar Wilde,An Ideal Husband
Oscar Wilde,The Duchess of Padua
Oscar Wilde,Intentions
Oscar Wilde,The Happy Prince and Other Tales
Oscar Wilde,De Profundis
Oscar Wilde,Selected Poems of Oscar Wilde
Andrew Lang,Homer and His Age
Andrew Lang,Angling Sketches
Andrew Lang,Modern Mythology
Andrew Lang,The Lilac Fairy Book
Andrew Lang,The Violet Fairy Book
Andrew Lang,A Collection of Ballads
Andrew Lang,The Puzzle of Dickens's Last Plot
Andrew Lang,The Book of Dreams and Ghosts
Andrew Lang,"Myth, Ritual, and Religion, Vol. 1"
Andrew Lang,"Myth, Ritual And Religion, Vol. 2 (of 2)"
Andrew Lang,Letters on Literature
Andrew Lang,Tales of Troy and Greece
Andrew Lang,Pickle the Spy
Andrew Lang,The Brown Fairy Book
Andrew Lang,How to Fail in Literature
Andrew Lang,Custom and Myth
Andrew Lang,The Clyde Mystery
Andrew Lang,He
Andrew Lang,The Pink Fairy Book
Andrew Lang,The Yellow Fairy Book
Andrew Lang,New Collected Rhymes
Andrew Lang,"Shakespeare, Bacon and the Great Unknown"
Andrew Lang,Old Friends - Essays in Epistolary Parody
Andrew Lang,Books and Bookmen
Andrew Lang,Andrew Lang's Introduction to The Compleat Angler
Andrew Lang,The Valet's Tragedy and Other Stories
Andrew Lang,"Prince Prigio From ""His Own Fairy Book"""
Andrew Lang,Helen of Troy
Andrew Lang,A Monk of Fife
Andrew Lang,In the Wrong Paradise
Andrew Lang,Oxford
Andrew Lang,The Blue Fairy Book
Andrew Lang,John Knox and the Reformation
Andrew Lang,Lost Leaders
Andrew Lang,Prince Prigio
Andrew Lang,A Short History of Scotland
Andrew Lang,Sir Walter Scott and the Border Minstrelsy
Andrew Lang,Ballads in Blue China and Verses and Translations
Andrew Lang,Alfred Tennyson
Andrew Lang,Essays in Little
Andrew Lang,The Red Fairy Book
Andrew Lang,The Crimson Fairy Book
Andrew Lang,Rhymes a la Mode
Andrew Lang,Ban and Arriere Ban
Andrew Lang,The Mark Of Cain
Andrew Lang,The Making of Religion
Andrew Lang,The Disentanglers
Andrew Lang,James VI and the Gowrie Mystery
Andrew Lang,Historical Mysteries
Andrew Lang,The Library
Andrew Lang,Prince Ricardo of Pantouflia
Andrew Lang,The Grey Fairy Book
Andrew Lang,The Orange Fairy Book
Andrew Lang,Grass of Parnassus
Andrew Lang,The Gold Of Fairnilee
Andrew Lang,Letters to Dead Authors
Andrew Lang,Cock Lane and Common-Sense
Andrew Lang,Much Darker Days
Andrew Lang,The Arabian Nights Entertainments
Andrew Lang,Adventures among Books
Robert Hooke,Micrographia
Winston Churchill,An Essay On The American Contribution And The Democratic Idea
Winston Churchill,"The Celebrity, Complete"
Winston Churchill,"The Inside of the Cup, Complete"
Winston Churchill,A Traveller in War-Time
Winston Churchill,The Crossing
Winston Churchill,"Mr. Crewe's Career, Complete"
Winston Churchill,Dr. Jonathan (A Play)
Winston Churchill,"Coniston, Complete"
Winston Churchill,"A Far Country, Complete"
Winston Churchill,"The Crisis, Complete"
Winston Churchill,"Richard Carvel, Complete"
Winston Churchill,"A Modern Chronicle, Complete"
Winston Churchill,"The Dwelling Place of Light, Complete"
Edgar Allan Poe,The Works of Edgar Allan Poe Volume 2
Edgar Allan Poe,The Works of Edgar Allan Poe Volume 3
Edgar Allan Poe,The Works of Edgar Allan Poe Volume 1
Edgar Allan Poe,The Works of Edgar Allan Poe Volume 4
Edgar Allan Poe,The Works of Edgar Allan Poe Volume 5
Edgar Allan Poe,Eureka
Edgar Allan Poe,The Raven
Edgar Allan Poe,The Fall of the House of Usher
Edgar Allan Poe,Edgar Allan Poe's Complete Poetical Works
Edgar Allan Poe,The Masque of the Red Death
Edgar Allan Poe,The Cask of Amontillado
John Dryden,"The Poetical Works of John Dryden, Volume 2"
John Dryden,Dryden's Works Vol. 7 (of 18)
John Dryden,"The Poetical Works of John Dryden, Volume 1"
John Dryden,Dryden's Works Vol. 2 (of 18)
John Dryden,Dryden's Works Vol. 16 (of 18)
John Dryden,Dryden's Works Vol. 4 (of 18)
John Dryden,Dryden's Works Vol. 3 (of 18)
John Dryden,All for Love
John Dryden,Discourses on Satire and Epic Poetry
John Dryden,Dryden's Works Vol. 6 (of 18)
John Dryden,Dryden's Works Vol. 5 (of 18)
John Dryden,His Majesties Declaration Defended
John Dryden,Palamon and Arcite
William Wordsworth,The Prose Works of William Wordsworth
William Wordsworth,"The Poetical Works of William Wordsworth, Volume 4"
William Wordsworth,"The Poetical Works of William Wordsworth, Volume 2"
William Wordsworth,"Lyrical Ballads, With Other Poems, 1800, Volume 1"
William Wordsworth,"The Poetical Works of William Wordsworth, Volume 3"
William Wordsworth,"Lyrical Ballads, With Other Poems, 1800, Volume 2"
William Wordsworth,"The Poetical Works of William Wordsworth, Volume 1"
William Wordsworth,"Poems in Two Volumes, Volume 1"
William Wordsworth,"Poems in Two Volumes, Volume 2"
P B Shelley,A Defence of Poetry and Other Essays
P B Shelley,The Complete Poetical Works of Percy Bysshe Shelley
P B Shelley,Peter Bell the Third
P B Shelley,A Vindication of Natural Diet
P B Shelley,Adonais
P B Shelley,The Daemon of the World
P B Shelley,The Witch of Atlas
Harriet Elizabeth Beecher Stowe,Household Papers and Stories
Harriet Elizabeth Beecher Stowe,Oldtown Fireside Stories
Harriet Elizabeth Beecher Stowe,Pink and White Tyranny
Harriet Elizabeth Beecher Stowe,"The May Flower, and Miscellaneous Writings"
Harriet Elizabeth Beecher Stowe,The Pearl of Orr's Island
Harriet Elizabeth Beecher Stowe,"Uncle Tom's Cabin, Young Folks' Edition"
Harriet Elizabeth Beecher Stowe,"Sunny Memories Of Foreign Lands, Volume 1 (of 2)"
Harriet Elizabeth Beecher Stowe,Betty's Bright Idea
Harriet Elizabeth Beecher Stowe,Queer Little Folks
Harriet Elizabeth Beecher Stowe,Lady Byron Vindicated
Harriet Elizabeth Beecher Stowe,"Sunny Memories Of Foreign Lands, Volume 2 (of 2)"
Harriet Elizabeth Beecher Stowe,Uncle Tom's Cabin
Harold Bindloss,Partners of the Out-Trail
Harold Bindloss,The Mistress of Bonaventure
Harold Bindloss,Long Odds
Harold Bindloss,Hawtrey's Deputy
Harold Bindloss,Winston of the Prairie
Harold Bindloss,Lorimer of the Northwest
Harold Bindloss,Lister's Great Adventure
Harold Bindloss,A Damaged Reputation
Harold Bindloss,Thurston of Orchard Valley
Harold Bindloss,For the Allinson Honor
Harold Bindloss,The Boy Ranchers of Puget Sound
Harold Bindloss,A Prairie Courtship
Harold Bindloss,The Protector
Harold Bindloss,Wyndham's Pal
Harold Bindloss,Prescott of Saskatchewan
