conformationname,moleculename
288_2+6,NON-MUSK-288
288_2+7,NON-MUSK-288
288_2+8,NON-MUSK-288
288_3+1,NON-MUSK-288
288_3+2,NON-MUSK-288
288_3+3,NON-MUSK-288
288_3+4,NON-MUSK-288
288_3+5,NON-MUSK-288
288_3+6,NON-MUSK-288
288_3+7,NON-MUSK-288
288_3+8,NON-MUSK-288
288_4+1,NON-MUSK-288
288_4+2,NON-MUSK-288
288_4+3,NON-MUSK-288
288_4+4,NON-MUSK-288
288_4+5,NON-MUSK-288
288_4+6,NON-MUSK-288
288_4+7,NON-MUSK-288
288_4+8,NON-MUSK-288
289_1+1,NON-MUSK-289
289_1+2,NON-MUSK-289
289_1+3,NON-MUSK-289
289_1+4,NON-MUSK-289
290_1+1,NON-MUSK-290
290_1+2,NON-MUSK-290
292_1+1,MUSK-292
292_1+2,MUSK-292
292_2+1,MUSK-292
292_2+2,MUSK-292
293_1+1,MUSK-293
293_1+2,MUSK-293
293_2+1,MUSK-293
293_2+2,MUSK-293
295_1+1,NON-MUSK-295
295_1+2,NON-MUSK-295
296_1+1,NON-MUSK-296
296_1+2,NON-MUSK-296
296_2+1,NON-MUSK-296
296_2+2,NON-MUSK-296
297_1+1,NON-MUSK-297
297_1+2,NON-MUSK-297
297_2+1,NON-MUSK-297
297_2+2,NON-MUSK-297
301_1+1,MUSK-301
301_1+2,MUSK-301
301_2+1,MUSK-301
301_2+2,MUSK-301
305_1+1,NON-MUSK-305
305_1+2,NON-MUSK-305
308_1+1,NON-MUSK-308
308_1+2,NON-MUSK-308
309_1+1,NON-MUSK-309
309_1+2,NON-MUSK-309
311_1+1,MUSK-311
311_1+2,MUSK-311
314_1+1,MUSK-314
314_1+2,MUSK-314
314_2+1,MUSK-314
314_2+2,MUSK-314
314_3+1,MUSK-314
314_3+2,MUSK-314
314_4+1,MUSK-314
314_4+2,MUSK-314
315_1+1,MUSK-315
315_1+2,MUSK-315
315_2+1,MUSK-315
315_2+2,MUSK-315
316_1+1,MUSK-316
316_1+2,MUSK-316
316_2+1,MUSK-316
316_2+2,MUSK-316
318_1+1,NON-MUSK-318
318_1+2,NON-MUSK-318
319_1+1,NON-MUSK-319
319_1+2,NON-MUSK-319
319_2+1,NON-MUSK-319
319_2+2,NON-MUSK-319
320_1+1,NON-MUSK-320
320_1+2,NON-MUSK-320
321_1+1,MUSK-321
321_1+2,MUSK-321
322_1+1,MUSK-322
322_1+2,MUSK-322
322_2+1,MUSK-322
322_2+2,MUSK-322
322_3+1,MUSK-322
322_3+2,MUSK-322
322_4+1,MUSK-322
322_4+2,MUSK-322
323_1+1,MUSK-323
323_1+2,MUSK-323
323_2+1,MUSK-323
323_2+2,MUSK-323
327_1+1,NON-MUSK-327
327_1+2,NON-MUSK-327
327_2+1,NON-MUSK-327
327_2+2,NON-MUSK-327
330_1+1,MUSK-330
330_1+2,MUSK-330
330_2+1,MUSK-330
330_2+2,MUSK-330
331_1+1,MUSK-331
331_1+2,MUSK-331
331_2+1,MUSK-331
331_2+2,MUSK-331
333_1+1,MUSK-333
333_1+2,MUSK-333
333_2+1,MUSK-333
333_2+2,MUSK-333
333_3+1,MUSK-333
333_3+2,MUSK-333
333_4+1,MUSK-333
333_4+2,MUSK-333
334_1+1,NON-MUSK-334
334_1+2,NON-MUSK-334
344_1+1,MUSK-344
344_1+2,MUSK-344
f150_1+1,NON-MUSK-f150
f150_1+2,NON-MUSK-f150
f152_1+1,MUSK-f152
f152_1+2,MUSK-f152
f152_1+3,MUSK-f152
f152_1+4,MUSK-f152
f158_1+1,MUSK-f158
f158_1+2,MUSK-f158
f158_1+3,MUSK-f158
f158_1+4,MUSK-f158
f159_1+1,MUSK-f159
f159_1+2,MUSK-f159
f161_1+1,NON-MUSK-f161
f161_1+2,NON-MUSK-f161
f164_1+1,NON-MUSK-f164
f164_1+2,NON-MUSK-f164
f184_1+1,MUSK-f184
f184_1+2,MUSK-f184
f184_1+3,MUSK-f184
f184_1+4,MUSK-f184
f184_2+1,MUSK-f184
f184_2+2,MUSK-f184
f184_2+3,MUSK-f184
f184_2+4,MUSK-f184
f205_1+1,MUSK-f205
f205_1+2,MUSK-f205
f205_1+3,MUSK-f205
f205_1+4,MUSK-f205
f205_2+1,MUSK-f205
f205_2+2,MUSK-f205
f205_2+3,MUSK-f205
f205_2+4,MUSK-f205
f209_1+1,NON-MUSK-f209
f209_1+2,NON-MUSK-f209
f209_1+3,NON-MUSK-f209
f209_1+4,NON-MUSK-f209
f209_2+1,NON-MUSK-f209
f209_2+2,NON-MUSK-f209
f209_2+3,NON-MUSK-f209
f209_2+4,NON-MUSK-f209
j100_1+1,NON-MUSK-j100
j100_1+2,NON-MUSK-j100
j100_2+1,NON-MUSK-j100
j100_2+2,NON-MUSK-j100
j129_1+1,NON-MUSK-j129
j129_1+2,NON-MUSK-j129
j129_2+1,NON-MUSK-j129
j129_2+2,NON-MUSK-j129
j129_3+1,NON-MUSK-j129
j129_3+2,NON-MUSK-j129
j129_4+1,NON-MUSK-j129
j129_4+2,NON-MUSK-j129
j130_1+1,NON-MUSK-j130
j130_1+2,NON-MUSK-j130
j146_1+1,NON-MUSK-j146
j146_1+10,NON-MUSK-j146
j146_1+2,NON-MUSK-j146
j146_1+3,NON-MUSK-j146
j146_1+4,NON-MUSK-j146
j146_1+5,NON-MUSK-j146
j146_1+6,NON-MUSK-j146
j146_1+7,NON-MUSK-j146
j146_1+8,NON-MUSK-j146
j146_1+9,NON-MUSK-j146
j146_2+1,NON-MUSK-j146
j146_2+10,NON-MUSK-j146
j146_2+2,NON-MUSK-j146
j146_2+3,NON-MUSK-j146
j146_2+4,NON-MUSK-j146
j146_2+5,NON-MUSK-j146
j146_2+6,NON-MUSK-j146
j146_2+7,NON-MUSK-j146
j146_2+8,NON-MUSK-j146
j146_2+9,NON-MUSK-j146
j146_3+1,NON-MUSK-j146
j146_3+10,NON-MUSK-j146
j146_3+2,NON-MUSK-j146
j146_3+3,NON-MUSK-j146
j146_3+4,NON-MUSK-j146
j146_3+5,NON-MUSK-j146
j146_3+6,NON-MUSK-j146
j146_3+7,NON-MUSK-j146
j146_3+8,NON-MUSK-j146
j146_3+9,NON-MUSK-j146
j146_4+1,NON-MUSK-j146
j146_4+10,NON-MUSK-j146
j146_4+2,NON-MUSK-j146
j146_4+3,NON-MUSK-j146
j146_4+4,NON-MUSK-j146
j146_4+5,NON-MUSK-j146
j146_4+6,NON-MUSK-j146
j146_4+7,NON-MUSK-j146
j146_4+8,NON-MUSK-j146
j146_4+9,NON-MUSK-j146
j147_1+1,NON-MUSK-j147
j147_1+10,NON-MUSK-j147
j147_1+2,NON-MUSK-j147
j147_1+3,NON-MUSK-j147
j147_1+4,NON-MUSK-j147
j147_1+5,NON-MUSK-j147
j147_1+6,NON-MUSK-j147
j147_1+7,NON-MUSK-j147
j147_1+8,NON-MUSK-j147
j147_1+9,NON-MUSK-j147
j147_2+1,NON-MUSK-j147
j147_2+10,NON-MUSK-j147
j147_2+2,NON-MUSK-j147
j147_2+3,NON-MUSK-j147
j147_2+4,NON-MUSK-j147
j147_2+5,NON-MUSK-j147
j147_2+6,NON-MUSK-j147
j147_2+7,NON-MUSK-j147
j147_2+8,NON-MUSK-j147
j147_2+9,NON-MUSK-j147
j147_3+1,NON-MUSK-j147
j147_3+10,NON-MUSK-j147
j147_3+2,NON-MUSK-j147
j147_3+3,NON-MUSK-j147
j147_3+4,NON-MUSK-j147
j147_3+5,NON-MUSK-j147
j147_3+6,NON-MUSK-j147
j147_3+7,NON-MUSK-j147
j147_3+8,NON-MUSK-j147
j147_3+9,NON-MUSK-j147
j147_4+1,NON-MUSK-j147
j147_4+10,NON-MUSK-j147
j147_4+2,NON-MUSK-j147
j147_4+3,NON-MUSK-j147
j147_4+4,NON-MUSK-j147
j147_4+5,NON-MUSK-j147
j147_4+6,NON-MUSK-j147
j147_4+7,NON-MUSK-j147
j147_4+8,NON-MUSK-j147
j147_4+9,NON-MUSK-j147
j148_1+1,NON-MUSK-j148
j148_1+2,NON-MUSK-j148
j33_1+1,MUSK-j33
j33_1+2,MUSK-j33
j51_1+1,MUSK-j51
j51_1+2,MUSK-j51
j51_2+1,MUSK-j51
j51_2+2,MUSK-j51
j81_1+1,NON-MUSK-j81
j81_1+2,NON-MUSK-j81
j83_1+1,NON-MUSK-j83
j83_1+2,NON-MUSK-j83
j84_1+1,NON-MUSK-j84
j84_1+2,NON-MUSK-j84
j90_1+1,NON-MUSK-j90
j90_1+2,NON-MUSK-j90
j90_1+3,NON-MUSK-j90
j90_1+4,NON-MUSK-j90
j93_1+1,NON-MUSK-j93
j93_1+2,NON-MUSK-j93
j93_1+3,NON-MUSK-j93
j93_1+4,NON-MUSK-j93
j93_2+1,NON-MUSK-j93
j93_2+2,NON-MUSK-j93
j93_2+3,NON-MUSK-j93
j93_2+4,NON-MUSK-j93
j93_3+1,NON-MUSK-j93
j93_3+2,NON-MUSK-j93
j93_3+3,NON-MUSK-j93
j93_3+4,NON-MUSK-j93
j93_4+1,NON-MUSK-j93
j93_4+2,NON-MUSK-j93
j93_4+3,NON-MUSK-j93
j93_4+4,NON-MUSK-j93
j96_1+1,NON-MUSK-j96
j96_1+2,NON-MUSK-j96
j96_2+1,NON-MUSK-j96
j96_2+2,NON-MUSK-j96
j97_1+1,NON-MUSK-j97
j97_1+2,NON-MUSK-j97
j97_2+1,NON-MUSK-j97
j97_2+2,NON-MUSK-j97
jf17_1+1,MUSK-jf17
jf17_1+2,MUSK-jf17
jf17_1+3,MUSK-jf17
jf46_1+1,MUSK-jf46
jf46_1+2,MUSK-jf46
jf46_2+1,MUSK-jf46
jf46_2+2,MUSK-jf46
jf46_2+3,MUSK-jf46
jf47_1+1,MUSK-jf47
jf47_1+2,MUSK-jf47
jf47_2+1,MUSK-jf47
jf47_2+2,MUSK-jf47
jf58_1+1,MUSK-jf58
jf58_1+2,MUSK-jf58
jf58_2+1,MUSK-jf58
jf58_2+2,MUSK-jf58
jf58_2+3,MUSK-jf58
jf59_1+1,MUSK-jf59
jf59_1+2,MUSK-jf59
jf59_2+1,MUSK-jf59
jf59_2+2,MUSK-jf59
jf59_2+3,MUSK-jf59
jf67_1+1,MUSK-jf67
jf67_1+2,MUSK-jf67
jf67_2+1,MUSK-jf67
jf67_2+2,MUSK-jf67
jf67_3+1,MUSK-jf67
jf67_3+2,MUSK-jf67
jf67_4+1,MUSK-jf67
jf67_4+2,MUSK-jf67
jf78_1+1,MUSK-jf78
jf78_1+2,MUSK-jf78
jf78_1+3,MUSK-jf78
jf78_2+1,MUSK-jf78
jf78_2+2,MUSK-jf78
jf78_2+3,MUSK-jf78
jp10_1+1,NON-MUSK-jp10
jp10_1+2,NON-MUSK-jp10
jp10_1+3,NON-MUSK-jp10
jp13_1+1,NON-MUSK-jp13
jp13_1+2,NON-MUSK-jp13
jp13_1+3,NON-MUSK-jp13
jp13_1+4,NON-MUSK-jp13
jp13_2+1,NON-MUSK-jp13
jp13_2+2,NON-MUSK-jp13
jp13_2+3,NON-MUSK-jp13
jp13_2+4,NON-MUSK-jp13
