GeneID1,GeneID2,Type,ExpressionCorr
G235128,G234240,Genetic,-0.087799558
G235129,G235785,Genetic,0.532955317
G235131,G235157,Physical,0.601828768
G235131,G235244,Physical,0.032800012
G235131,G235247,Physical,0.015134229
G235131,G235371,Physical,0.848640847
G235131,G235735,Physical,-0.023243041
G235134,G235133,Genetic,0.801845830
G235135,G235222,Genetic,-0.121219442
G235135,G235302,Genetic,0.000000000
G235136,G234402,Physical,0.123021596
G235136,G234763,Physical,-0.004787102
G235136,G234772,Physical,0.719583809
G235136,G234908,Physical,-0.035688833
G235136,G234983,Genetic-Physical,-0.276910270
G235136,G235271,Genetic-Physical,-0.134289007
G235136,G236167,Physical,0.298780907
G235137,G234227,Genetic,-0.081708681
G235137,G235182,Physical,0.724424949
G235137,G235490,Physical,0.017296404
G235138,G235544,Physical,0.636797449
G235138,G235624,Physical,0.497548684
G235142,G235400,Genetic,0.235291989
G235142,G235833,Physical,0.286358614
G235143,G235143,Physical,1.000000000
G235143,G235690,Physical,0.751685619
G235143,G235741,Physical,0.846933408
G235158,G234074,Genetic-Physical,0.077874709
G235158,G234177,Genetic,0.640446828
G235158,G234465,Physical,0.415805970
G235158,G234735,Physical,0.124630235
G235159,G234330,Genetic-Physical,0.901272665
G235159,G235159,Physical,1.000000000
G235159,G236895,Physical,-0.090758295
G235163,G234240,Genetic,0.163995189
G235163,G235189,Genetic,0.820803083
G235163,G235231,Physical,0.678281160
G235165,G235239,Physical,-0.425678475
G235165,G235261,Physical,0.000000000
G235165,G235293,Physical,0.612637591
G235165,G235834,Physical,0.712027837
G235171,G235324,Physical,-0.177790731
G235172,G234334,Genetic,0.737900326
G235172,G234392,Genetic,0.733199687
G235172,G234779,Genetic-Physical,0.000000000
G235172,G235312,Genetic,0.493585602
G235172,G237021,Genetic,0.809753403
G235177,G237463,Genetic,0.872980187
G235181,G235350,Physical,0.748616805
G235181,G235649,Physical,0.690967678
G235184,G235762,Physical,0.590996065
G235187,G235631,Genetic-Physical,0.966896091
G235187,G237160,Genetic,0.878663821
G235187,G239975,Physical,0.956861105
G235188,G234973,Genetic,-0.911509699
G235189,G236022,Physical,0.259940095
G235191,G235163,Genetic,0.127583864
G235191,G235189,Genetic-Physical,0.490327114
G235191,G235363,Physical,-0.209825910
G235191,G235539,Genetic-Physical,0.509133175
G235191,G237123,Physical,0.692046955
G235200,G235234,Physical,-0.635254071
G235204,G235561,Physical,0.852406685
G235213,G234103,Genetic,0.792029327
G235213,G235801,Genetic-Physical,0.352332665
G235213,G238637,Physical,0.774961891
G235216,G235158,Physical,0.401181429
G235222,G235519,Genetic-Physical,0.391272649
G235228,G235127,Genetic,0.938906005
G235229,G235229,Physical,1.000000000
G235231,G234980,Physical,-0.013714969
G235239,G235165,Physical,-0.425678475
G235239,G235261,Physical,0.000000000
G235239,G235281,Physical,-0.370015266
G235239,G235293,Physical,0.229816184
G235239,G235728,Physical,0.642642829
G235239,G235834,Physical,0.064862323
G235241,G235123,Physical,0.042886272
G235241,G235349,Physical,0.405275617
G235242,G235781,Genetic,-0.454826383
G235243,G235711,Genetic,-0.022506440
G235243,G235763,Genetic,0.543045961
G235243,G235803,Genetic,0.032769095
G235243,G239877,Genetic,0.420508782
G235244,G235157,Physical,0.318098779
G235247,G235157,Physical,0.348147991
G235247,G235244,Physical,0.470786935
G235247,G235247,Physical,1.000000000
G235247,G235371,Physical,0.121502190
G235248,G236626,Genetic,0.824185051
G235250,G235131,Physical,-0.321852418
G235250,G235157,Physical,-0.176955380
G235250,G235244,Physical,0.422470032
G235250,G235247,Physical,0.354679146
G235250,G235278,Physical,0.932605859
G235250,G235371,Physical,-0.173445242
G235250,G235735,Physical,0.666392792
G235257,G235701,Genetic-Physical,-0.426854175
G235261,G235239,Physical,0.000000000
G235261,G235293,Physical,0.000000000
G235261,G235834,Physical,0.000000000
G235265,G235550,Physical,0.750229736
G235265,G235621,Physical,-0.126193636
G235265,G235639,Physical,-0.618648892
G235265,G238704,Physical,0.574057432
G235265,G239467,Physical,0.482255315
G235271,G235271,Physical,1.000000000
G235271,G235477,Genetic-Physical,0.405483769
G235271,G235766,Genetic-Physical,0.436895506
G235273,G235395,Genetic,-0.748156142
G235277,G235107,Genetic,0.670552716
G235277,G235242,Genetic,0.691962434
G235277,G235769,Genetic,-0.183889069
G235277,G235781,Genetic,0.047148343
G235278,G235131,Physical,-0.479339489
G235278,G235157,Physical,-0.154982612
G235278,G235244,Physical,0.557677704
G235278,G235247,Physical,0.451045636
G235278,G235371,Physical,-0.305799813
G235278,G235735,Physical,0.710467613
G235278,G235846,Genetic,0.664244557
G235281,G235165,Physical,0.876435946
G235281,G235239,Physical,-0.370015266
G235281,G235261,Physical,0.000000000
G235281,G235293,Physical,0.752986253
G235281,G235728,Physical,0.150433403
G235281,G235834,Physical,0.438751587
G235287,G234275,Physical,-0.422805819
G235287,G235131,Physical,0.549338385
G235287,G235157,Physical,0.597367807
G235287,G235244,Physical,0.390503389
G235287,G235247,Physical,0.210120383
G235287,G235250,Physical,0.451921137
G235287,G235257,Physical,0.235033197
G235287,G235278,Physical,0.368332296
G235287,G235332,Physical,0.697059017
G235287,G235371,Physical,0.687863314
G235287,G235439,Physical,0.560285405
G235287,G235735,Physical,0.727603132
G235293,G235239,Physical,0.229816184
G235293,G235834,Physical,0.567592027
G235294,G234240,Genetic,0.520653545
G235294,G235930,Genetic-Physical,0.880739624
G235297,G235827,Physical,0.842215538
G235297,G236702,Physical,0.520349758
G235301,G234732,Genetic-Physical,0.986212398
G235301,G235407,Physical,0.545895980
G235301,G235632,Physical,0.609715061
G235301,G235687,Physical,0.000000000
G235309,G234381,Genetic,0.281626665
G235312,G234684,Genetic,0.709874329
G235312,G234779,Physical,0.000000000
G235312,G234839,Genetic,0.051492840
G235317,G238415,Physical,0.000000000
G235327,G235490,Physical,-0.682875584
G235327,G235692,Genetic,0.459036101
G235329,G235637,Physical,0.531067024
G235329,G235843,Physical,0.515465562
G235329,G236351,Physical,0.703010525
G235329,G240400,Physical,0.594404052
G235332,G235247,Physical,0.586651338
G235332,G235278,Physical,0.095650883
G235332,G235442,Physical,0.474495245
G235332,G235846,Physical,0.644203775
G235334,G235279,Physical,0.619463643
G235335,G235544,Physical,0.868633444
G235336,G234103,Physical,0.507155643
G235336,G235257,Physical,-0.133123491
G235336,G235336,Physical,1.000000000
G235336,G235363,Physical,-0.469868938
G235336,G235535,Genetic,0.782150754
G235336,G235701,Physical,0.698632060
G235336,G236817,Genetic-Physical,-0.043578591
G235340,G237843,Genetic,-0.016505130
G235344,G235516,Physical,0.499195070
G235344,G235692,Physical,0.699791796
G235344,G235712,Genetic,0.485897277
G235348,G235780,Physical,-0.851729394
G235349,G235123,Physical,0.196788832
G235350,G234549,Physical,0.512941182
G235350,G234980,Physical,-0.041962416
G235350,G235350,Physical,1.000000000
G235357,G239653,Genetic,0.891039915
G235358,G234341,Physical,0.133261607
G235358,G234533,Physical,-0.466140745
G235371,G235157,Physical,0.886010150
G235371,G235244,Physical,0.117344350
G235375,G234214,Genetic-Physical,-0.533112364
G235380,G235561,Physical,0.312093675
G235381,G235417,Physical,-0.074136898
G235388,G235372,Physical,0.864190393
G235400,G235754,Physical,-0.051075603
G235407,G234732,Genetic-Physical,0.517652706
G235407,G235632,Physical,0.962220218
G235407,G235856,Genetic,0.695858846
G235408,G235759,Genetic-Physical,0.386638590
G235417,G235735,Physical,0.365180925
G235419,G235572,Genetic,-0.067101314
G235425,G237120,Physical,0.748497753
G235435,G234103,Genetic,0.152332875
G235438,G234894,Physical,-0.469436589
G235438,G235332,Genetic-Physical,0.062015959
G235438,G235400,Genetic-Physical,0.659153394
G235439,G234505,Genetic,0.773754807
G235439,G234513,Physical,0.135871047
G235439,G234980,Genetic,0.239501471
G235439,G235131,Physical,0.519112629
G235439,G235157,Physical,0.285324205
G235439,G235170,Genetic,0.119740468
G235439,G235244,Physical,0.490964650
G235439,G235247,Physical,0.692933005
G235439,G235250,Genetic-Physical,0.423344481
G235439,G235278,Physical,0.337712414
G235439,G235371,Physical,0.379073579
G235439,G235735,Physical,0.317403512
G235439,G235780,Genetic,0.187537558
G235439,G235874,Genetic,0.886806914
G235442,G235247,Physical,0.366740634
G235442,G235846,Genetic,0.760449477
G235448,G235607,Physical,0.816461114
G235453,G235207,Genetic,-0.557700778
G235453,G235542,Genetic,-0.623968569
G235453,G235566,Genetic,-0.798955624
G235457,G235530,Genetic-Physical,-0.277366456
G235462,G234341,Genetic,0.690027221
G235463,G234446,Physical,0.348400604
G235463,G234764,Physical,0.382436419
G235463,G235575,Physical,0.772309609
G235467,G235403,Physical,0.111792809
G235468,G235450,Physical,-0.087018614
G235468,G236509,Genetic,0.594570026
G235468,G237345,Physical,0.000000000
G235468,G238740,Physical,0.997666911
G235469,G234317,Genetic-Physical,0.381291781
G235469,G235624,Physical,0.544827241
G235474,G234103,Genetic,0.111868491
G235474,G235435,Physical,-0.356321138
G235474,G235474,Physical,1.000000000
G235474,G237213,Genetic,0.611499866
G235475,G234240,Genetic,0.022759398
G235477,G234732,Physical,0.775780965
G235477,G235766,Physical,0.497132475
G235479,G238238,Genetic,0.236143912
G235480,G235188,Genetic,0.167746491
G235482,G235499,Physical,-0.525196729
G235482,G235597,Genetic,-0.360540159
G235482,G237509,Genetic,-0.610796207
G235485,G234659,Physical,-0.545869278
G235486,G235242,Genetic,-0.199575696
G235486,G237760,Genetic,0.000000000
G235489,G238415,Physical,0.864017155
G235490,G235874,Physical,-0.046902044
G235490,G237982,Physical,0.836717107
G235495,G234993,Genetic,0.701719773
G235496,G235188,Genetic,-0.384796196
G235500,G238415,Physical,0.746749681
G235502,G238415,Physical,0.922782600
G235514,G235426,Physical,0.313805394
G235516,G235207,Genetic,0.722190806
G235516,G235417,Physical,0.598984130
G235516,G238415,Physical,0.796098116
G235518,G235530,Physical,-0.437439365
G235529,G235796,Physical,0.632656896
G235530,G235826,Physical,-0.304665304
G235539,G234185,Physical,0.478546544
G235539,G235163,Genetic,-0.219070932
G235539,G235189,Genetic-Physical,0.232156337
G235539,G235248,Physical,0.490281179
G235539,G235930,Genetic,-0.343420990
G235546,G235133,Genetic-Physical,0.240089673
G235550,G235336,Physical,-0.238697558
G235550,G235639,Physical,-0.589151831
G235550,G235701,Physical,-0.667491420
G235550,G238704,Physical,0.669723081
G235550,G239467,Physical,0.709247942
G235558,G235242,Genetic,0.136246545
G235559,G235780,Physical,-0.550312955
G235563,G235266,Physical,0.582758041
G235568,G235697,Genetic,0.806663431
G235573,G235865,Physical,0.758813463
G235574,G235677,Genetic,0.670995274
G235578,G236280,Physical,0.230581434
G235579,G234831,Physical,-0.796925792
G235579,G235579,Physical,1.000000000
G235580,G236280,Physical,0.342639674
G235597,G234122,Genetic,0.953369334
G235597,G234381,Genetic,0.499715587
G235597,G234393,Genetic,0.197677835
G235597,G235165,Genetic-Physical,0.689389918
G235597,G235239,Physical,0.064656085
G235597,G235261,Genetic-Physical,0.000000000
G235597,G235281,Physical,0.848788967
G235597,G235293,Physical,0.975900759
G235597,G235607,Genetic,0.702262724
G235597,G235728,Physical,0.486185310
G235597,G235788,Genetic,0.751365722
G235597,G235834,Genetic-Physical,0.522471503
G235597,G236406,Genetic,0.542809762
G235597,G238195,Genetic,0.906559197
G235603,G236280,Physical,0.240096327
G235606,G235564,Physical,0.879695469
G235606,G235606,Physical,1.000000000
G235607,G234393,Physical,0.720738238
G235607,G235723,Physical,0.200754151
G235607,G236210,Genetic,0.286515427
G235607,G236406,Physical,-0.007628053
G235607,G236869,Genetic-Physical,0.000000000
G235610,G234392,Genetic,0.921704762
G235610,G235610,Physical,1.000000000
G235615,G235539,Physical,-0.146451675
G235616,G234393,Genetic-Physical,0.732346536
G235617,G235832,Physical,0.656939742
G235619,G234330,Genetic,0.864206259
G235619,G234746,Physical,0.123402626
G235619,G235129,Genetic,-0.317344979
G235619,G235159,Genetic-Physical,0.767612672
G235620,G235881,Physical,0.030145906
G235621,G235550,Physical,-0.237370915
G235621,G235639,Physical,0.668639075
G235621,G239467,Physical,-0.001238791
G235624,G237213,Physical,0.113648605
G235624,G238760,Physical,0.306322366
G235625,G235664,Physical,-0.118492101
G235625,G235733,Physical,0.073936815
G235626,G234381,Genetic,0.660406545
G235626,G235246,Genetic,0.712462237
G235626,G235309,Genetic,-0.146196380
G235626,G235391,Genetic-Physical,0.659447260
G235626,G235912,Genetic,0.253078118
G235626,G238061,Genetic,0.956020117
G235630,G239048,Physical,-0.774040570
G235634,G239770,Genetic,0.855567377
G235636,G235386,Physical,-0.448142193
G235648,G235648,Physical,1.000000000
G235648,G237213,Physical,0.338043844
G235649,G234549,Physical,0.434735933
G235649,G236576,Physical,0.317946182
G235652,G237021,Physical,0.932877998
G235654,G235201,Physical,0.908702754
G235655,G234103,Genetic-Physical,-0.093439225
G235655,G235398,Genetic,0.080963139
G235677,G235105,Genetic-Physical,0.854359120
G235677,G235225,Genetic,-0.352199489
G235677,G235532,Physical,0.866464016
G235677,G235793,Physical,0.946637914
G235677,G238677,Genetic,0.852073865
G235683,G238149,Physical,-0.276794328
G235687,G234732,Genetic-Physical,0.000000000
G235687,G235407,Physical,0.000000000
G235687,G235632,Physical,0.000000000
G235687,G235687,Physical,0.000000000
G235689,G235247,Physical,0.010223965
G235690,G235690,Physical,1.000000000
G235692,G235712,Genetic,0.685858959
G235693,G235189,Physical,0.573074947
G235697,G235207,Genetic,0.703872516
G235699,G235620,Physical,0.140612982
G235699,G235881,Physical,0.669701493
G235701,G235701,Physical,1.000000000
G235711,G235243,Genetic,-0.022506440
G235716,G235300,Physical,0.745141300
G235717,G235184,Physical,-0.144735101
G235717,G235762,Genetic-Physical,-0.707244656
G235717,G235810,Physical,-0.219634711
G235718,G235572,Genetic,0.172971554
G235718,G235718,Physical,1.000000000
G235723,G235586,Physical,-0.210741926
G235724,G235077,Physical,-0.275187519
G235726,G235759,Physical,0.461798578
G235728,G235165,Physical,0.241699196
G235728,G235239,Physical,0.642642829
G235728,G235261,Physical,0.000000000
G235728,G235293,Physical,0.640306958
G235728,G235834,Physical,0.747913236
G235729,G235274,Physical,0.273375998
G235729,G235729,Physical,1.000000000
G235733,G235664,Physical,0.782093536
G235735,G235157,Physical,0.531177210
G235735,G235244,Physical,0.671935482
G235735,G235247,Physical,0.399288036
G235735,G235371,Physical,0.359987157
G235741,G235690,Physical,0.686573211
G235741,G235741,Physical,1.000000000
G235749,G235059,Physical,0.903975659
G235749,G235130,Physical,0.970372245
G235749,G235715,Physical,0.949912843
G235749,G235782,Physical,0.886005312
G235749,G235866,Physical,0.988432265
G235750,G240410,Physical,0.477779109
G235756,G235866,Physical,0.938279092
G235758,G238415,Physical,0.806216553
G235759,G235765,Physical,-0.720582088
G235762,G235762,Physical,1.000000000
G235766,G234732,Genetic-Physical,0.919603476
G235766,G235632,Genetic,0.728917501
G235772,G235123,Physical,-0.532738745
G235772,G235241,Physical,-0.112717488
G235772,G235349,Physical,0.029959947
G235776,G235490,Physical,0.920558830
G235780,G234980,Genetic,0.842759965
G235780,G235131,Genetic,0.843285173
G235780,G235874,Genetic,0.487390318
G235781,G235781,Physical,1.000000000
G235785,G235129,Genetic,0.532955317
G235793,G235532,Genetic,0.721485696
G235796,G235529,Physical,0.632656896
G235802,G234270,Physical,0.373501309
G235802,G234788,Physical,0.500365030
G235802,G235490,Physical,-0.409014525
G235810,G235184,Physical,0.517237674
G235810,G235762,Physical,0.812588177
G235815,G235701,Genetic-Physical,0.696997304
G235815,G237624,Physical,0.581459954
G235815,G240065,Physical,0.770832863
G235816,G238415,Physical,0.821325938
G235817,G235336,Genetic-Physical,0.853267821
G235817,G235363,Physical,-0.571427648
G235819,G235366,Physical,0.955675241
G235820,G234344,Physical,-0.001545772
G235820,G234393,Physical,0.663522712
G235820,G235723,Physical,0.928329164
G235821,G235759,Genetic,0.779728843
G235830,G234830,Genetic,0.162887571
G235830,G235327,Genetic,0.060247951
G235830,G237021,Physical,0.492602841
G235830,G238415,Physical,0.516167763
G235832,G235664,Physical,0.012051477
G235832,G235723,Physical,0.592261408
G235834,G235239,Physical,0.064862323
G235835,G234381,Genetic,-0.330354816
G235835,G235309,Genetic,0.697601250
G235835,G235781,Genetic,0.854581177
G235835,G235912,Genetic,0.216936640
G235835,G238061,Genetic,-0.390393857
G235835,G238195,Genetic,0.494191170
G235844,G235107,Physical,0.057379353
G235844,G235653,Physical,0.000000000
G235853,G235257,Physical,0.780336674
G235856,G234392,Physical,0.298200292
G235856,G235632,Genetic,0.584223416
G235863,G235135,Genetic,-0.435929500
G235866,G235059,Physical,0.890659000
G235866,G235130,Physical,0.962131978
G235866,G235715,Physical,0.956609550
G235866,G235782,Physical,0.881005910
G235866,G235866,Physical,1.000000000
G235871,G235307,Physical,0.465200442
G235872,G235788,Genetic,0.616339766
G235885,G235885,Physical,1.000000000
G235885,G237021,Physical,-0.167528266
G235892,G235506,Physical,0.920583217
G235922,G235759,Genetic,0.000000000
G235924,G234103,Genetic,-0.065316347
G235930,G234240,Genetic,0.424227993
G235930,G238760,Physical,0.557611392
G235972,G237778,Genetic-Physical,0.571504290
G235995,G238916,Genetic,0.835390832
G235995,G239488,Genetic,0.904362729
G236022,G235189,Physical,0.259940095
G236047,G235447,Physical,0.800386108
G236063,G235490,Physical,0.406240337
G236063,G237732,Physical,0.477325142
G236068,G238621,Physical,0.859881967
G236068,G239294,Physical,0.000000000
G236068,G239523,Physical,0.704135975
G236085,G235182,Physical,0.229246213
G236111,G234735,Physical,0.779425680
G236111,G235080,Physical,0.872781333
G236111,G235469,Genetic,0.879428942
G236111,G235648,Physical,0.485362490
G236111,G235835,Physical,0.769438112
G236111,G237203,Genetic,0.455960970
G236111,G238392,Genetic-Physical,0.676593906
G236121,G239420,Physical,0.368532626
G236147,G239341,Physical,0.350306556
G236167,G234953,Genetic,0.940498107
G236206,G234779,Physical,0.000000000
G236336,G238102,Genetic,0.886231442
G236336,G238235,Genetic,0.816561869
G236351,G240400,Physical,0.534372907
G236479,G235386,Physical,0.439715308
G236506,G240301,Genetic,0.867237959
G236509,G238391,Genetic,0.762737731
G236576,G235649,Physical,0.317946182
G236578,G235469,Physical,-0.641252753
G236589,G240043,Genetic,0.820954204
G236607,G235143,Genetic,0.892223018
G236683,G235624,Physical,0.182125492
G236701,G235371,Physical,-0.608973180
G236701,G237624,Physical,-0.581485780
G236702,G235827,Physical,0.678607255
G236730,G234416,Physical,-0.307607327
