GDI_Rank,Country,Gender_Development_Index_GDI,Human_Development_Index_Female,Human_Development_Index_Male,Life_Expectancy_at_Birth_Female,Life_Expectancy_at_Birth_Male,Expected_Years_of_Education_Female,Expected_Years_of_Education_Male,Mean_Years_of_Education_Female,Mean_Years_of_Education_Male,Estimated_Gross_National_Income_per_Capita_Female,Estimated_Gross_National_Income_per_Capita_Male
22,France,0.987,0.881,0.893,85.1,79.2,16.4,15.6,11,11.3,31073,45497
23,Austria,0.943,0.856,0.909,83.8,78.8,16.1,15.4,9.9,11.9,29598,58826
24,Finland,0.996,0.879,0.882,83.6,78,17.7,16.5,10.2,10.2,31644,45994
25,Slovenia,0.996,0.877,0.881,83.4,77.3,17.7,16,11.8,12,22180,33593
26,Spain,0.975,0.863,0.885,85.3,79.8,17.7,17,9.4,9.8,24059,40221
27,Italy,0.964,0.851,0.883,85.5,80.6,16.5,15.6,9.5,10.2,22526,44148
28,Czech Republic,0.98,0.859,0.877,81.5,75.7,16.9,15.8,12.1,12.5,19929,33604
29,Greece,0.961,0.844,0.879,83.8,78,17.7,17.6,9.8,10.5,17288,31952
30,Estonia,1.03,0.872,0.847,81.3,72,17.4,15.6,12.7,12.2,20854,30254
31,Brunei Darussalam,0.977,0.84,0.86,80.7,77,14.9,14.2,8.5,9,54228,90437
32,Cyprus,0.971,0.836,0.861,82.4,78,14.2,13.8,11.4,11.8,22613,34400
32,Qatar,0.998,0.853,0.854,79.9,77.3,14,13.9,10.4,8.8,55123,143979
34,Andorra,,,,,,,,,,,
35,Slovakia,0.999,0.841,0.842,79.9,72.5,15.7,14.5,12.3,12.2,19903,32122
36,Poland,1.007,0.844,0.839,81.4,73.4,16.3,14.7,11.7,11.9,18423,28271
37,Lithuania,1.03,0.851,0.827,78.9,67.7,16.9,15.9,12.3,12.5,20955,28656
37,Malta,0.937,0.806,0.861,82.2,78.8,14.8,14,9.9,10.8,16435,39432
39,Saudi Arabia,0.901,0.778,0.864,75.7,73,16.6,16.1,7.8,9.3,20094,77044
40,Argentina,0.982,0.819,0.834,80.1,72.4,19.1,16.8,9.8,9.8,14202,30237
41,United Arab Emirates,0.954,0.796,0.835,78.5,76.3,13.9,12.9,9.9,8.5,22391,77300
42,Chile,0.967,0.815,0.843,84.5,78.6,15.5,15,9.7,9.9,14732,27992
43,Portugal,0.985,0.823,0.836,83.8,77.9,16.5,16.1,8.1,8.4,21259,30543
44,Hungary,0.976,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443,28960
45,Bahrain,0.94,0.789,0.839,77.6,75.8,15.1,13.7,9.1,9.6,20038,49890
46,Latvia,1.029,0.829,0.805,78.9,69.1,15.9,14.6,11.7,11.2,18437,26845
47,Croatia,0.987,0.812,0.823,80.6,74,15.4,14.2,10.5,11.6,16200,22853
48,Kuwait,0.972,0.793,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292,111988
49,Montenegro,0.954,0.782,0.819,78.4,74.1,15.5,14.8,10.5,11.8,11106,18094
50,Belarus,1.021,0.806,0.789,77.2,65.5,16.2,15.1,11.9,12.1,12922,21010
50,Russian Federation,1.019,0.804,0.789,75.8,64.4,15.1,14.3,11.9,12,17269,28287
52,Oman,0.909,0.741,0.815,79.2,75.1,13.9,13.5,7,8.5,14709,46400
52,Romania,0.989,0.787,0.796,78.3,71.2,14.6,13.8,10.3,11.1,15250,21117
52,Uruguay,1.018,0.797,0.783,80.6,73.5,16.6,14.4,8.7,8.2,14721,24166
55,Bahamas,,,,78.3,72.3,,,11.1,10.7,17868,24957
56,Kazakhstan,1.002,0.787,0.785,74.1,64.6,15.4,14.7,11.3,11.5,15408,26746
57,Barbados,1.018,0.791,0.777,78,73.2,17.2,13.8,10.6,10.2,10245,14739
58,Antigua and Barbuda,,,,78.5,73.5,14.6,13.3,,,,
59,Bulgaria,0.991,0.777,0.784,77.7,70.8,14.6,14.1,10.6,10.4,12448,18926
60,Palau,,,,,,13.9,13.5,,,,
60,Panama,0.996,0.776,0.779,80.7,74.6,13.8,12.8,9.6,9.1,13699,22597
62,Malaysia,0.947,0.753,0.795,77.1,72.4,12.7,12.7,9.4,10.1,15635,30320
63,Mauritius,0.95,0.752,0.792,78,70.9,15.9,15.2,8,9.1,10541,24581
64,Seychelles,,,,78.1,68.9,13.3,13.4,,,,
64,Trinidad and Tobago,0.985,0.763,0.774,74,67,12.5,12.1,10.7,10.9,19669,32656
66,Serbia,0.966,0.757,0.784,77.7,72.1,14.9,13.9,9.8,11.2,9697,14799
67,Cuba,0.954,0.747,0.783,81.5,77.4,14.4,13.3,11.4,11.6,4912,9665
67,Lebanon,0.899,0.718,0.8,81.3,77.6,13.6,13.9,7.6,8.2,7334,25391
69,Costa Rica,0.974,0.753,0.774,81.9,77,14.3,13.4,8.4,8.3,9680,17033
69,Iran (Islamic Republic of),0.858,0.689,0.804,76.5,74.3,15,15.2,7.7,8.6,4828,25924
71,Venezuela (Bolivarian Republic of),1.03,0.772,0.749,78.5,70.2,15.3,13.1,9.2,8.6,12458,19840
72,Turkey,0.902,0.716,0.793,78.5,72,14,15.1,6.7,8.5,10024,27645
73,Sri Lanka,0.948,0.73,0.769,78.2,71.5,14.2,13.3,10.7,10.9,5452,14307
74,Mexico,0.943,0.731,0.775,79.2,74.4,13.2,12.9,8.2,8.8,10233,22252
75,Brazil,0.997,0.752,0.754,78.3,70.7,15.6,14.8,7.8,7.5,11393,19084
76,Georgia,0.962,0.736,0.765,78.4,71.2,14,13.6,12,12.3,4887,9718
77,Saint Kitts and Nevis,,,,,,13.4,12.4,,,,
78,Azerbaijan,0.942,0.721,0.766,74,67.7,11.8,12,10.5,11.2,10120,22814
79,Grenada,,,,75.9,71,16.3,15.3,,,,
80,Jordan,0.86,0.674,0.784,75.8,72.4,13.7,13.3,9.3,10.5,3587,18831
81,The former Yugoslav Republic of Macedonia,0.949,0.726,0.765,77.7,73.1,13.5,13.2,8.7,9.8,8796,14754
81,Ukraine,1.003,0.747,0.745,75.9,66,15.4,14.9,11.3,11.4,6518,10120
83,Algeria,0.837,0.637,0.761,77.2,72.5,14.2,13.8,4.8,7.8,3898,22009
84,Peru,0.947,0.712,0.752,77.2,71.9,13.1,13,8.5,9.6,8040,13977
85,Albania,0.948,0.711,0.75,80.4,75.4,11.9,11.8,8.9,9.6,7217,12655
85,Armenia,1.008,0.734,0.728,78.6,70.9,13.6,11.2,10.8,10.9,6042,10089
85,Bosnia and Herzegovina,,,,79,74,,,6.6,8.6,6514,12912
88,Ecuador,0.98,0.722,0.737,78.7,73.2,14.5,13.9,7.4,7.6,8487,12723
89,Saint Lucia,0.991,0.725,0.731,77.8,72.4,13,12.1,9.4,9.3,8018,11576
90,China,0.943,0.705,0.747,77.3,74.3,13.2,12.9,6.9,8.2,10128,14795
90,Fiji,0.941,0.699,0.743,73.2,67.2,16,15.5,9.8,10,4274,10592
90,Mongolia,1.028,0.737,0.716,73.9,65.3,15.3,13.9,9.5,9,9029,12462
93,Thailand,1,0.726,0.726,77.9,71.1,13.9,13.1,7.1,7.5,11820,14888
94,Dominica,,,,,,,,,,,
94,Libya,0.95,0.699,0.736,74.6,68.9,14.3,13.8,7.7,7,7427,22392
96,Tunisia,0.894,0.671,0.751,77.3,72.5,15,14,5.9,7.8,4748,16159
97,Colombia,0.997,0.719,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785,14372
97,Saint Vincent and the Grenadines,,,,75.1,70.9,13.4,13.1,,,7283,12541
99,Jamaica,0.995,0.715,0.719,78.1,73.3,13.1,11.6,10,9.4,5820,9059
100,Tonga,0.967,0.704,0.727,75.8,69.9,15,14.4,10.7,10.8,3796,6336
101,Belize,0.958,0.696,0.727,72.9,67.4,13.9,13.2,10.5,10.5,5034,10198
101,Dominican Republic,0.995,0.71,0.713,76.7,70.4,13.6,12.6,7.7,7.2,8860,14903
103,Suriname,0.975,0.702,0.72,74.4,68,13.6,11.8,7.3,8,10241,20970
104,Maldives,0.937,0.678,0.723,77.8,75.8,12.8,12.5,5.7,6,8531,16073
105,Samoa,0.956,0.681,0.713,76.8,70.4,13.2,12.5,10.3,10.3,3416,7124
106,Botswana,0.982,0.691,0.704,66.8,62.1,12.6,12.4,8.7,9.1,15179,18096
107,Moldova (Republic of),1.003,0.694,0.692,75.7,67.4,12.2,11.6,11.1,11.3,4599,5915
108,Egypt,0.868,0.633,0.729,73.4,69,13.3,13.8,5.4,7.7,4928,16049
109,Turkmenistan,,,,69.9,61.5,10.6,11,,,8725,17552
110,Gabon,,,,65,63.8,,,8.9,6.6,13527,19177
110,Indonesia,0.927,0.655,0.706,71,66.9,13.1,12.9,7,8.2,6485,13052
112,Paraguay,0.956,0.662,0.692,75.1,70.8,12.2,11.7,7.5,7.9,5576,9678
113,"Palestine, State of",0.86,0.607,0.706,74.9,71,13.8,12.2,8.4,9.3,1580,7726
114,Uzbekistan,0.945,0.64,0.678,71.8,65,11.3,11.7,9.5,9.9,3811,7342
115,Philippines,0.977,0.649,0.664,71.8,64.9,11.5,11.1,8.4,7.9,5382,10439
116,El Salvador,0.965,0.652,0.676,77.4,68.3,12.1,12.4,6.2,6.9,5497,9406
116,South Africa,0.948,0.646,0.681,59.3,55.2,13.7,13.4,9.7,10.2,8713,15737
116,Viet Nam,,,,80.5,71,,,7,7.9,4624,5570
119,Bolivia (Plurinational State of),0.931,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,4383,7140
120,Kyrgyzstan,0.961,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,2122,3992
121,Iraq,0.787,0.561,0.712,71.7,67.2,8.7,11.4,5.1,7.7,4279,23515
122,Cabo Verde,,,,75,71.4,13.9,13.1,,,4098,8105
123,Micronesia (Federated States of),,,,70.1,68.1,,,,,,
124,Guyana,0.984,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8,4164,8804
125,Nicaragua,0.96,0.615,0.64,77.9,71.9,11.8,11.3,6.2,5.8,2967,5979
126,Morocco,0.828,0.555,0.67,75.1,73,10.6,11.6,3.2,5.3,3222,10573
126,Namibia,0.981,0.62,0.632,67.3,62.1,11.4,11.3,6.3,6.1,7672,11267
128,Guatemala,0.949,0.608,0.641,75.3,68.3,10.2,11,5.5,5.7,5021,8934
129,Tajikistan,0.926,0.6,0.648,73.2,66.2,10.5,12,9.6,11.2,2014,3017
130,India,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,2116,8656
131,Honduras,0.944,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,2365,5508
132,Bhutan,0.897,0.572,0.638,69.7,69.2,12.8,12.6,2,4.1,5733,8418
133,Timor-Leste,0.868,0.548,0.631,70.1,66.5,11.3,12,3.6,5.3,3122,7530
134,Syrian Arab Republic,0.834,0.52,0.623,76.5,64,12.2,12.3,5.4,7.4,864,4523
134,Vanuatu,0.903,0.587,0.65,74,69.9,10.2,10.9,8,10,2141,3445
136,Congo,0.922,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,5165,6859
137,Kiribati,,,,69.2,62.8,12.7,11.9,,,,
138,Equatorial Guinea,,,,59,56.3,,,4,7.2,17073,24850
139,Zambia,0.917,0.558,0.609,62,58.2,13,13.9,5.8,7.3,3019,4452
140,Ghana,0.885,0.54,0.61,62.3,60.4,11,12,5.6,7.9,3200,4515
141,Lao People's Democratic Republic,0.896,0.543,0.606,67.5,64.8,10.1,11,3.9,6.1,4086,5279
142,Bangladesh,0.917,0.541,0.59,72.9,70.4,10.3,9.7,4.5,5.5,2278,4083
143,Cambodia,0.89,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,2526,3393
143,Sao Tome and Principe,0.891,0.52,0.584,68.4,64.4,11.4,11.2,4,5.5,1886,3976
145,Kenya,0.913,0.527,0.577,63.4,59.9,10.7,11.3,5.9,7.3,2255,3270
145,Nepal,0.908,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,1956,2690
147,Pakistan,0.726,0.436,0.601,67.2,65.3,7,8.5,3.1,6.2,1450,8100
148,Myanmar,,,,68,63.9,,,4.3,3.8,3873,5386
149,Angola,,,,53.8,50.8,8.7,14,,,5497,8169
150,Swaziland,0.879,0.494,0.561,48.2,49.6,10.9,11.8,7.4,6.8,3894,7235
151,Tanzania (United Republic of),0.938,0.504,0.538,66.4,63.5,9,9.3,4.5,5.8,2320,2502
152,Nigeria,0.841,0.468,0.556,53.1,52.4,8.2,9.8,4.9,7.1,4052,6585
153,Cameroon,0.879,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,2266,3341
154,Madagascar,0.945,0.497,0.526,66.6,63.6,10.2,10.5,6.6,6.1,1098,1560
155,Zimbabwe,0.922,0.487,0.529,58.9,56.2,10.7,11,6.7,7.7,1387,1850
156,Mauritania,0.816,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,1625,5468
156,Solomon Islands,,,,69.4,66.5,8.8,9.7,,,1046,2019
158,Papua New Guinea,,,,64.8,60.5,,,3.2,4.8,2145,2768
159,Comoros,0.813,0.443,0.545,65,61.6,11,11.9,3.7,5.6,778,2123
160,Yemen,0.739,0.414,0.56,65.2,62.5,7.7,10.6,1.3,3.8,1595,5412
161,Lesotho,0.953,0.482,0.505,49.8,49.6,11.7,10.6,6.5,5.2,2613,4017
162,Togo,0.831,0.439,0.527,60.4,58.9,10.9,13.4,3,6.3,1084,1376
163,Haiti,,,,64.9,60.7,,,4.2,5.6,1379,1966
163,Rwanda,0.957,0.472,0.493,67,61.1,10.4,10.2,3.2,4.3,1312,1612
163,Uganda,0.886,0.452,0.51,60.3,56.7,9.7,9.9,4.5,6.3,1226,1997
166,Benin,0.823,0.431,0.524,61,58.1,9.4,12.7,2.1,4.6,1493,2043
167,Sudan,0.83,0.428,0.516,65,62,6.7,7.3,2.5,3.8,1882,5722
168,Djibouti,,,,63.7,60.4,5.9,6.9,,,2019,4522
169,South Sudan,,,,56.7,54.7,,,4.5,5.8,,
170,Senegal,0.883,0.436,0.494,68.3,64.5,7.8,8.1,1.8,3.2,1657,2739
171,Afghanistan,0.6,0.328,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506,3227
172,Côte d'Ivoire,0.81,0.41,0.507,52.4,50.7,7.9,10,3.2,5.3,2146,4157
173,Malawi,0.907,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679,815
174,Ethiopia,0.84,0.403,0.479,66,62.2,8,9,1.4,3.6,1090,1765
175,Gambia,0.889,0.414,0.466,61.6,58.9,8.7,8.9,2,3.7,1267,1753
176,Congo (Democratic Republic of the),0.833,0.393,0.472,60.1,57.2,8.6,10.8,4.5,7.7,597,765
177,Liberia,0.789,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678,930
178,Guinea-Bissau,,,,57,53.4,,,,,1135,1593
179,Mali,0.776,0.363,0.468,57.8,58.2,7.5,9.3,1.5,2.7,961,2195
180,Mozambique,0.881,0.39,0.443,56.5,53.6,8.8,9.8,2.4,4.3,1040,1210
181,Sierra Leone,0.814,0.37,0.454,51.4,50.4,7.2,10,2.2,4,1582,1981
182,Guinea,0.778,0.358,0.46,59.2,58.3,7.3,10,1.4,3.7,877,1314
183,Burkina Faso,0.881,0.376,0.427,59.9,57.3,7.4,8.1,1,1.9,1325,1859
184,Burundi,0.911,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693,825
185,Chad,0.768,0.338,0.44,52.7,50.5,5.9,8.9,1,2.9,1657,2513
186,Eritrea,,,,65.9,61.6,,,,,971,1290
187,Central African Republic,0.773,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476,689
188,Niger,0.729,0.287,0.394,62.4,60.6,4.8,6.1,0.8,2,491,1319
,Arab States,0.849,0.611,0.719,72.7,68.8,11.6,12.3,4.9,6.9,5686,24985
,East Asia and the Pacific,0.948,0.692,0.73,76,72.2,13,12.8,6.9,8,9017,13780
,Europe and Central Asia,0.945,0.719,0.76,76.1,68.5,13.5,13.8,9,10,8238,17607
,Latin America and the Caribbean,0.976,0.736,0.754,78.2,71.7,14.4,13.7,8,8.1,10194,18435
,South Asia,0.801,0.525,0.655,69.9,67.1,10.8,11.3,3.7,6.9,2198,8827
,Sub-Saharan Africa,0.872,0.48,0.55,59.7,57.1,9.1,10.3,4.2,6,2626,4148
,World,0.924,0.67,0.725,73.7,69.5,12.2,12.4,6.2,7.9,10296,18373
