Arg0,Arg1,Arg2
d64,di64,1
d65,nitro,1
d66,di10,1
d66,ethoxy,1
d67,di10,1
d67,di48,1
d67,di67a,1
d67,di8,1
d67,halide10,1
d69,amino,1
d69,di10,1
d70,amino,1
d70,di10,1
d71,nitro,1
d72,amino,1
d72,di10,1
d72,nitro,1
d73,nitro,1
d74,amino,1
d74,di64,1
d76,di23,1
d78,nitro,1
d79,di10,1
d8,di10,1
d8,di23,1
d8,di48,1
d8,di67a,1
d8,di8,1
d80,nitro,1
d82,amino,1
d9,amino,1
d9,di10,1
d95,di48,1
d97,ethoxy,1
d84,halide10,16
d235,di227,18
d11,amino,2
d11,di10,2
d113,halide10,2
d116,halide10,2
d12,amino,2
d12,di10,2
d123,di10,2
d124,di10,2
d13,di10,2
d13,methanol,2
d14,di10,2
d143,di66,2
d15,amino,2
d15,di10,2
d150,methoxy,2
d159,di10,2
d163,di10,2
d17,amino,2
d17,di10,2
d171,di10,2
d174,methanol,2
d175,di10,2
d176,amino,2
d176,di10,2
d179,di10,2
d18,di10,2
d197,di10,2
d205,ring_size_4,2
d210,di10,2
d216,ring_size_4,2
d222,di10,2
d228,halide10,2
d229,halide10,2
d231,halide10,2
d233,methoxy,2
d237,methoxy,2
d238,di232,2
d23_1,amino,2
d23_1,di10,2
d23_2,amino,2
d23_2,di10,2
d24,amino,2
d24,di10,2
d243,halide10,2
d244,methoxy,2
d246,di10,2
d247,methoxy,2
d250,halide10,2
d253,methoxy,2
d256,methoxy,2
d257,ethoxy,2
d258,methoxy,2
d264,ethoxy,2
d265,methoxy,2
d266,ethoxy,2
d266,methoxy,2
d269,ethoxy,2
d27,di10,2
d271,ethoxy,2
d271,methoxy,2
d272,halide10,2
d277,di10,2
d278,di10,2
d28,di10,2
d306,halide10,2
d306,methanol,2
d309,methanol,2
d31,amino,2
d31,di10,2
d315,di10,2
d318,amino,2
d318,di10,2
d32,amino,2
d32,di10,2
d322,amino,2
d322,di10,2
d324,nitro,2
d325,amino,2
d325,di10,2
d329,di23,2
d330,amino,2
d330,di10,2
d330,di23,2
d332,halide10,2
d333,amino,2
d333,di10,2
d334,methanol,2
d37,cyanate,2
d38,nitro,2
d40,amino,2
d40,di10,2
d41,nitro,2
d45,amino,2
d45,di10,2
d48,di10,2
d5,amino,2
d5,di10,2
d51,di51,2
d55,amino,2
d55,di10,2
d58,di10,2
d58,di64,2
d6,amino,2
d6,di10,2
d61,ethoxy,2
d62,amino,2
d62,di10,2
d63,di10,2
d66,di66,2
d68,amino,2
d68,di10,2
d7,amino,2
d7,di10,2
d71,methoxy,2
d73,amino,2
d73,di10,2
d74,di10,2
d75,amino,2
d75,di10,2
d77,di10,2
d77,di48,2
d78,di10,2
d81,amino,2
d81,di10,2
d82,di10,2
d83,amino,2
d83,di10,2
d89,halide10,2
d95,di10,2
d107,halide10,20
d108,halide10,3
d122,halide10,3
d123,di227,3
d125,halide10,3
d203,amino,3
d203,di10,3
d227,halide10,3
d234,methoxy,3
d239,di227,3
d251,halide10,3
d273,di227,3
d273,halide10,3
d274,halide10,3
d275,halide10,3
d276,halide10,3
d290,halide10,3
d297,methanol,3
d314,amino,3
d314,di10,3
d319,di227,3
d337,halide10,3
d78,methanol,3
d94,halide10,3
d103,halide10,4
d104,halide10,4
d106,halide10,4
d121,halide10,4
d246,halide10,4
d258,di66,4
d260,di260,4
d260,nitro,4
d267,methanol,4
d270,ethoxy,4
d281,di281,4
d281,nitro,4
d29,cyanate,4
d43,amino,4
d43,di10,4
d101,halide10,5
d102,halide10,5
d112,halide10,6
d126,halide10,6
d128,halide10,6
d227,di227,6
d228,di227,6
d235,halide10,6
d275,di227,6
d306,di227,6
d332,di227,6
d92,halide10,6
d96,halide10,6
d274,di227,9
