loanid,accountid,date,amount,duration,payments,status
5169,1068,1998-09-24,253200,60,4220.00,C
5170,1071,1994-01-20,253200,60,4220.00,C
5172,1083,1998-04-16,50976,36,1416.00,C
5174,1093,1997-06-13,385104,48,8023.00,C
5176,1106,1994-11-12,192552,24,8023.00,B
5189,1166,1994-02-07,149040,48,3105.00,A
5206,1242,1997-09-07,128544,24,5356.00,C
5207,1244,1997-02-28,35904,48,748.00,C
5208,1247,1995-03-16,99696,48,2077.00,D
5209,1250,1996-11-25,182640,48,3805.00,C
5210,1252,1997-04-01,148140,36,4115.00,C
5212,1256,1995-05-29,71064,36,1974.00,A
5214,1270,1997-07-01,74772,36,2077.00,C
5221,1284,1998-12-05,52512,12,4376.00,C
5226,1318,1998-10-11,185544,36,5154.00,C
5229,1329,1997-09-06,23520,12,1960.00,A
5236,1374,1997-09-15,389136,48,8107.00,C
5237,1375,1995-08-29,45336,24,1889.00,A
5241,1389,1998-09-02,125472,24,5228.00,C
5245,1407,1998-01-17,125472,24,5228.00,C
5253,1447,1997-06-03,100080,48,2085.00,C
5260,1480,1998-01-19,123300,36,3425.00,C
5265,1498,1998-10-07,165780,60,2763.00,C
5269,1527,1994-11-19,164052,36,4557.00,B
5270,1528,1997-07-21,191088,48,3981.00,C
5281,1580,1997-11-27,194256,24,8094.00,C
5282,1583,1996-08-24,388512,48,8094.00,D
5285,1603,1994-02-06,78936,12,6578.00,A
5287,1638,1998-01-26,64224,24,2676.00,C
5293,1656,1998-10-29,189792,48,3954.00,C
5301,1698,1996-07-06,141948,36,3943.00,C
5304,1718,1998-08-20,172272,24,7178.00,C
5310,1762,1995-04-28,248148,36,6893.00,A
5311,1766,1996-06-15,30060,60,501.00,C
5312,1772,1996-03-13,202788,36,5633.00,C
5313,1776,1998-05-27,43200,24,1800.00,C
5314,1787,1993-07-05,96396,12,8033.00,B
5316,1801,1993-07-11,165960,36,4610.00,A
5318,1808,1998-09-30,385584,48,8033.00,C
5319,1811,1994-06-23,239460,60,3991.00,C
5320,1819,1998-01-11,143676,36,3991.00,C
5325,1843,1993-08-03,105804,36,2939.00,A
5329,1862,1996-10-16,396120,60,6602.00,C
5332,1869,1998-01-29,37944,36,1054.00,C
5334,1876,1998-09-10,209040,24,8710.00,C
5337,1886,1996-07-31,162468,36,4513.00,C
5338,1888,1997-08-30,57360,12,4780.00,B
5343,1906,1997-10-08,44952,24,1873.00,C
5346,1928,1998-12-06,55632,24,2318.00,C
5350,1967,1996-04-21,249312,48,5194.00,C
5351,1978,1994-12-04,205200,36,5700.00,A
5352,1993,1995-04-15,68400,12,5700.00,B
5354,2000,1998-07-14,290820,60,4847.00,C
5358,2018,1997-01-21,38520,12,3210.00,A
5360,2035,1998-01-25,176328,36,4898.00,C
5363,2051,1997-04-22,293880,60,4898.00,D
5365,2055,1998-07-19,271260,60,4521.00,C
5366,2062,1996-10-29,86184,12,7182.00,A
5367,2064,1997-08-26,83628,36,2323.00,C
5368,2073,1998-10-05,44640,24,1860.00,C
5369,2080,1997-09-12,214596,36,5961.00,C
5375,2106,1996-10-03,101520,12,8460.00,A
5377,2116,1997-08-04,92400,12,7700.00,A
5382,2134,1997-03-17,22932,36,637.00,C
5384,2142,1998-03-07,23328,12,1944.00,C
5385,2143,1996-09-09,71460,36,1985.00,C
5388,2153,1996-11-28,61560,12,5130.00,A
5389,2165,1997-08-22,78600,24,3275.00,C
5390,2167,1994-10-30,170256,24,7094.00,A
5395,2176,1994-07-30,299088,36,8308.00,B
5398,2187,1997-11-04,53472,12,4456.00,A
5409,2218,1995-11-18,182040,60,3034.00,C
5413,2227,1995-12-12,92976,24,3874.00,A
5414,2228,1995-03-29,185952,48,3874.00,C
5415,2236,1996-09-26,139464,36,3874.00,D
5418,2245,1995-01-16,347952,48,7249.00,C
5419,2246,1997-02-05,415800,60,6930.00,C
5420,2247,1997-02-24,72504,24,3021.00,C
5428,2262,1998-12-02,230220,36,6395.00,C
5429,2268,1996-07-18,20196,36,561.00,C
5435,2279,1998-06-01,314688,48,6556.00,C
5445,2322,1996-06-29,46320,24,1930.00,A
5446,2334,1997-08-04,48312,24,2013.00,C
5447,2335,1997-11-12,541200,60,9020.00,D
5449,2343,1995-11-04,99336,24,4139.00,A
5450,2345,1994-12-11,199680,60,3328.00,C
5451,2350,1997-05-11,159744,48,3328.00,C
5452,2352,1996-04-29,49440,60,824.00,C
5453,2361,1995-04-01,156672,36,4352.00,A
5463,2413,1998-10-06,17952,12,1496.00,C
5464,2419,1995-01-30,95808,12,7984.00,A
5469,2445,1997-12-26,293160,60,4886.00,C
5470,2456,1996-04-15,200976,48,4187.00,C
5479,2486,1994-01-10,24516,12,2043.00,A
5482,2496,1996-01-12,165120,60,2752.00,C
5486,2516,1997-06-13,466608,48,9721.00,C
5491,2545,1998-02-13,428784,48,8933.00,C
5494,2572,1996-06-13,360000,48,7500.00,C
5495,2580,1996-08-02,89340,60,1489.00,C
5501,2622,1998-05-21,136344,24,5681.00,C
5519,2694,1994-03-08,91632,12,7636.00,A
5520,2699,1998-08-30,231168,48,4816.00,C
5523,2705,1993-12-08,93888,36,2608.00,A
5525,2720,1998-04-27,93888,36,2608.00,C
5526,2725,1998-11-08,69624,36,1934.00,C
5527,2728,1998-06-15,156420,60,2607.00,C
5531,2753,1997-09-30,66432,24,2768.00,C
5532,2754,1997-05-04,335280,48,6985.00,C
5533,2762,1994-07-05,111384,24,4641.00,A
5549,2824,1994-07-16,50460,60,841.00,C
5556,2872,1997-05-19,268320,60,4472.00,C
5561,2910,1998-08-29,437460,60,7291.00,C
5563,2912,1996-02-29,380160,60,6336.00,C
5568,2933,1994-05-17,272520,60,4542.00,C
5569,2936,1998-01-20,504000,60,8400.00,C
5576,2962,1994-12-21,31248,12,2604.00,A
5582,2982,1998-04-17,41256,12,3438.00,C
5584,2986,1997-12-06,24792,24,1033.00,C
5585,2988,1998-07-08,88608,12,7384.00,C
5586,2994,1996-09-14,48744,36,1354.00,C
5589,3005,1998-06-05,390000,48,8125.00,C
5591,3021,1996-12-04,155616,48,3242.00,C
5593,3037,1996-04-18,277884,36,7719.00,D
5595,3050,1994-09-02,82896,12,6908.00,A
5599,3064,1995-03-21,15420,12,1285.00,A
5606,3084,1996-08-28,253512,36,7042.00,D
5610,3112,1996-02-24,123216,48,2567.00,C
5611,3115,1996-11-15,321180,60,5353.00,C
5614,3137,1998-09-21,253560,60,4226.00,C
5616,3143,1998-05-15,130896,24,5454.00,C
5620,3161,1998-06-16,30012,12,2501.00,C
5624,3166,1995-01-03,177744,48,3703.00,D
5625,3189,1996-12-15,222180,60,3703.00,D
5634,3229,1997-05-01,39024,12,3252.00,A
5635,3230,1996-10-04,77184,36,2144.00,C
5638,3249,1997-08-27,68124,12,5677.00,A
5643,3273,1997-09-21,94512,12,7876.00,B
5644,3293,1998-11-27,276084,36,7669.00,C
5651,3329,1997-12-08,19248,12,1604.00,A
5656,3353,1997-02-09,146064,24,6086.00,C
5657,3354,1994-07-05,4980,12,415.00,A
5665,3390,1998-03-11,40632,12,3386.00,C
5669,3403,1998-06-27,71820,36,1995.00,C
5674,3418,1997-06-10,207264,48,4318.00,C
5681,3448,1997-10-20,68664,24,2861.00,C
5682,3455,1997-03-07,67464,12,5622.00,A
5683,3460,1998-05-29,140688,48,2931.00,C
5693,3489,1995-08-01,44088,24,1837.00,A
5698,3556,1998-09-22,174840,60,2914.00,C
5699,3562,1998-05-24,174960,24,7290.00,C
5706,3608,1996-05-24,161496,36,4486.00,C
5713,3629,1995-05-30,158760,60,2646.00,C
5718,3637,1997-09-01,14028,12,1169.00,A
5719,3664,1997-09-20,271584,48,5658.00,C
5723,3674,1994-09-10,23628,12,1969.00,A
5724,3678,1995-02-05,316140,60,5269.00,D
5725,3679,1996-07-23,444864,48,9268.00,C
5731,3711,1997-11-05,460980,60,7683.00,D
5739,3747,1995-01-02,76380,12,6365.00,A
5740,3752,1995-04-02,18564,12,1547.00,A
5741,3754,1996-11-03,68544,24,2856.00,A
5750,3804,1996-02-08,63252,12,5271.00,A
5754,3834,1994-09-28,23052,12,1921.00,A
5758,3859,1997-05-02,307200,60,5120.00,D
5760,3862,1998-09-18,74916,36,2081.00,C
5765,3875,1998-02-10,153936,24,6414.00,C
5772,3906,1998-03-08,334620,60,5577.00,C
5773,3907,1998-03-16,133848,24,5577.00,C
5774,3916,1998-07-12,96984,36,2694.00,C
5779,3942,1997-10-14,107352,36,2982.00,C
5782,3953,1998-01-04,63576,12,5298.00,C
5784,3967,1997-03-29,84600,36,2350.00,D
5790,4033,1997-03-20,84288,48,1756.00,C
5799,4052,1997-12-28,106128,36,2948.00,C
5804,4079,1995-04-05,158976,48,3312.00,C
5805,4081,1995-11-28,137904,24,5746.00,B
5808,4099,1997-07-31,41856,48,872.00,C
5815,4116,1998-06-03,151200,36,4200.00,C
5817,4127,1997-08-15,100800,24,4200.00,D
5823,4144,1998-06-21,212976,36,5916.00,C
5830,4190,1997-08-28,405780,60,6763.00,C
5836,4259,1994-08-27,79632,24,3318.00,A
5837,4260,1994-06-29,244560,60,4076.00,C
5841,4268,1998-11-04,41988,12,3499.00,C
5850,4293,1997-05-22,164196,36,4561.00,C
5856,4320,1997-08-09,51360,12,4280.00,B
5861,4337,1994-12-08,51408,24,2142.00,A
5862,4342,1997-12-09,100128,24,4172.00,C
5865,4354,1998-10-30,327660,60,5461.00,C
5868,4361,1997-03-29,90156,12,7513.00,A
5876,4413,1995-02-08,221280,48,4610.00,C
5877,4414,1995-02-23,97224,24,4051.00,A
5878,4415,1997-04-01,74040,12,6170.00,A
5880,4423,1995-10-31,73836,36,2051.00,A
5882,4427,1994-09-26,87816,12,7318.00,A
5886,4447,1996-10-31,192744,36,5354.00,C
5887,4448,1994-10-03,192744,36,5354.00,A
5889,4456,1998-02-09,321240,60,5354.00,C
5892,4462,1996-05-14,66480,24,2770.00,B
5893,4467,1998-08-03,86184,36,2394.00,C
5895,4473,1997-01-03,93960,60,1566.00,C
5897,4476,1996-09-25,15192,24,633.00,A
5900,4503,1996-01-01,135360,48,2820.00,C
5906,4533,1998-05-05,81144,36,2254.00,C
5909,4550,1998-01-03,61320,60,1022.00,C
5918,4576,1994-06-04,300204,36,8339.00,A
5922,4580,1995-08-05,20220,12,1685.00,A
5923,4585,1996-10-10,64656,48,1347.00,C
5930,4616,1998-01-12,66696,24,2779.00,C
5931,4618,1997-03-17,66696,24,2779.00,D
5932,4626,1997-06-18,33348,12,2779.00,A
5933,4631,1997-12-13,87528,24,3647.00,C
5938,4650,1996-08-25,402000,60,6700.00,C
5940,4660,1997-05-28,106944,24,4456.00,C
5942,4681,1997-03-15,162624,48,3388.00,C
5953,4715,1997-03-14,97176,24,4049.00,C
5956,4725,1997-11-04,168264,36,4674.00,C
5959,4727,1995-08-11,107640,24,4485.00,A
5963,4746,1997-09-07,204780,60,3413.00,C
5970,4774,1995-07-09,465072,48,9689.00,C
5973,4784,1997-11-24,219456,48,4572.00,C
5976,4794,1997-12-27,465504,48,9698.00,D
5977,4803,1997-02-25,59136,48,1232.00,C
5980,4825,1995-08-18,21396,12,1783.00,A
5988,4851,1996-08-22,141648,24,5902.00,A
5989,4852,1996-03-04,213300,36,5925.00,C
5991,4858,1998-07-27,335184,48,6983.00,D
5992,4863,1997-03-18,76080,12,6340.00,A
5997,4894,1993-11-04,117024,24,4876.00,A
5999,4907,1996-01-03,98832,48,2059.00,C
6004,4937,1994-07-23,143904,24,5996.00,A
6006,4948,1996-11-15,359760,60,5996.00,C
6007,4949,1997-08-30,289920,48,6040.00,C
6010,4969,1997-03-06,150180,60,2503.00,C
6011,4981,1996-11-28,179328,48,3736.00,C
6012,4994,1996-08-03,258444,36,7179.00,C
6013,4995,1996-02-03,128988,36,3583.00,D
6014,4999,1997-05-18,165168,36,4588.00,C
6015,5001,1996-11-09,110112,24,4588.00,A
6019,5033,1996-07-25,11400,12,950.00,A
6027,5066,1996-02-10,61656,24,2569.00,B
6028,5072,1997-02-09,317520,60,5292.00,C
6037,5118,1997-05-04,53232,48,1109.00,C
6038,5120,1994-08-10,323472,48,6739.00,A
6043,5126,1996-01-11,20352,48,424.00,C
6044,5133,1998-01-27,57060,12,4755.00,C
6052,5164,1998-03-23,22356,36,621.00,C
6054,5180,1998-07-16,58764,12,4897.00,C
6055,5181,1997-04-28,399120,60,6652.00,C
6059,5196,1997-12-28,79824,12,6652.00,A
6063,5213,1996-04-25,320976,48,6687.00,D
6064,5215,1994-08-04,14628,12,1219.00,A
6066,5228,1994-07-11,173808,24,7242.00,A
6072,5256,1994-05-10,193968,36,5388.00,A
6073,5263,1996-11-12,276300,60,4605.00,C
6075,5267,1997-11-26,129312,24,5388.00,D
6076,5269,1997-02-02,117420,60,1957.00,C
6077,5270,1993-11-22,79608,24,3317.00,A
6078,5283,1998-09-09,170832,48,3559.00,C
6083,5305,1998-03-31,240528,48,5011.00,C
6087,5313,1994-02-27,300660,60,5011.00,C
6088,5317,1997-03-07,90180,36,2505.00,C
6095,5358,1997-01-24,68340,60,1139.00,C
6097,5362,1997-08-21,202848,48,4226.00,C
6103,5385,1994-04-07,149340,60,2489.00,C
6104,5395,1997-09-05,158184,36,4394.00,C
6109,5422,1996-06-03,368880,60,6148.00,C
6111,5428,1993-09-24,174744,24,7281.00,B
6112,5442,1994-06-17,174744,24,7281.00,B
6113,5445,1997-10-01,78696,36,2186.00,C
6118,5477,1997-10-04,349392,48,7279.00,C
6120,5481,1994-09-11,209184,48,4358.00,A
6130,5541,1996-07-18,32640,48,680.00,C
6136,5572,1998-04-19,140880,60,2348.00,C
6137,5574,1996-04-10,44628,12,3719.00,A
6142,5591,1997-01-21,221880,60,3698.00,C
6144,5593,1996-08-09,44376,12,3698.00,A
6147,5602,1997-12-28,177504,48,3698.00,C
6150,5622,1994-11-02,83016,12,6918.00,A
6151,5628,1995-04-25,225420,60,3757.00,C
6153,5632,1995-07-25,285600,60,4760.00,C
6157,5650,1995-07-10,98592,24,4108.00,A
6168,5698,1998-11-21,99216,36,2756.00,C
6169,5700,1995-03-16,103680,60,1728.00,D
6173,5724,1997-01-08,232560,48,4845.00,C
6175,5735,1996-02-21,290700,60,4845.00,D
6178,5742,1995-12-16,232560,48,4845.00,C
6185,5774,1995-11-28,31176,24,1299.00,A
6190,5794,1996-05-06,123600,60,2060.00,C
6196,5837,1997-09-14,177804,36,4939.00,C
6202,5891,1994-04-18,65184,12,5432.00,A
6207,5912,1998-06-23,184620,60,3077.00,C
6210,5927,1994-06-06,87216,48,1817.00,B
6215,5944,1998-06-18,78720,48,1640.00,C
6216,5952,1994-09-30,141240,24,5885.00,A
6223,5991,1994-11-03,61056,48,1272.00,A
6227,6030,1995-03-04,28248,24,1177.00,A
6228,6034,1993-12-01,464520,60,7742.00,B
6229,6040,1994-10-02,11736,24,489.00,A
6232,6051,1994-07-08,276660,36,7685.00,B
6234,6061,1998-05-28,5148,12,429.00,C
6235,6062,1998-04-19,321360,60,5356.00,C
6237,6075,1998-01-06,407952,48,8499.00,D
6239,6083,1997-09-28,360864,48,7518.00,D
6242,6097,1997-10-22,26208,36,728.00,C
6244,6118,1995-01-08,270648,36,7518.00,B
6249,6138,1997-07-30,67608,24,2817.00,C
6253,6148,1994-11-04,59760,24,2490.00,A
6254,6157,1997-12-28,247920,48,5165.00,C
6255,6158,1997-02-08,247920,48,5165.00,D
6272,6226,1994-12-20,398640,60,6644.00,C
6278,6265,1997-06-10,87360,24,3640.00,C
6279,6273,1994-06-07,87360,24,3640.00,A
6283,6289,1996-08-11,85632,48,1784.00,C
6294,6353,1995-02-12,79920,60,1332.00,C
6296,6358,1996-08-06,270384,48,5633.00,C
6297,6363,1994-10-25,17508,12,1459.00,A
6302,6397,1996-09-16,181020,60,3017.00,C
6303,6400,1996-02-12,72408,24,3017.00,B
6306,6425,1994-12-20,36684,12,3057.00,A
6309,6434,1996-11-11,110136,24,4589.00,A
6310,6440,1997-06-17,34572,12,2881.00,A
6312,6453,1998-05-17,10944,36,304.00,C
6313,6461,1997-06-15,150912,36,4192.00,C
6315,6472,1995-02-06,43164,12,3597.00,A
6316,6473,1994-05-26,76908,12,6409.00,B
6320,6495,1998-04-28,104964,12,8747.00,C
6321,6505,1998-10-08,38496,12,3208.00,C
6322,6510,1997-05-06,76992,24,3208.00,C
6336,6555,1994-03-31,212400,36,5900.00,A
6338,6592,1997-08-24,390660,60,6511.00,C
6342,6609,1995-11-12,60156,36,1671.00,B
6346,6649,1997-05-22,100260,60,1671.00,C
6350,6678,1997-07-09,294384,48,6133.00,C
6353,6686,1997-12-25,116496,24,4854.00,C
6354,6688,1996-10-23,22968,36,638.00,C
6355,6699,1997-09-24,127200,48,2650.00,C
6356,6701,1993-12-08,95400,36,2650.00,A
6357,6706,1998-07-12,64860,60,1081.00,C
6358,6715,1995-01-14,137880,60,2298.00,D
6362,6738,1995-10-31,37908,12,3159.00,A
6377,6792,1997-03-17,17184,12,1432.00,A
6386,6856,1997-04-30,124344,36,3454.00,C
6399,6902,1997-12-21,49320,36,1370.00,C
6402,6922,1998-12-06,139488,24,5812.00,C
6403,6924,1995-12-05,194880,48,4060.00,C
6407,6930,1994-05-26,25944,24,1081.00,A
6415,6950,1997-02-12,475680,48,9910.00,C
6421,6985,1996-07-25,96768,36,2688.00,C
6435,7045,1997-06-16,288720,48,6015.00,C
6436,7049,1998-05-22,495180,60,8253.00,C
6437,7052,1997-11-09,63972,36,1777.00,D
6442,7082,1998-02-08,194160,48,4045.00,C
6450,7099,1998-06-10,234336,48,4882.00,C
6456,7123,1993-12-09,47016,12,3918.00,A
6460,7133,1994-11-06,48672,36,1352.00,A
6461,7136,1996-09-19,74124,36,2059.00,C
6464,7156,1998-04-16,49488,24,2062.00,C
6468,7176,1997-11-30,203940,60,3399.00,C
6469,7180,1998-11-17,99744,24,4156.00,C
6470,7181,1998-05-17,49872,12,4156.00,C
6471,7184,1996-08-04,155640,24,6485.00,A
6474,7190,1995-06-06,63360,60,1056.00,C
6486,7240,1998-01-15,152160,60,2536.00,C
6490,7262,1997-02-10,73260,60,1221.00,C
6495,7274,1998-03-12,49044,12,4087.00,C
6499,7401,1994-01-05,80952,24,3373.00,A
6501,7418,1996-04-29,30276,12,2523.00,B
6502,7424,1997-12-08,30276,12,2523.00,A
6508,7437,1998-04-19,110736,48,2307.00,C
6509,7445,1994-03-15,55368,24,2307.00,A
6512,7454,1994-05-26,63312,48,1319.00,A
6520,7485,1994-03-16,91200,24,3800.00,A
6526,7523,1995-01-03,288468,36,8013.00,A
6534,7542,1997-10-19,590820,60,9847.00,C
6535,7546,1995-11-02,41952,12,3496.00,A
6539,7559,1998-07-11,12792,12,1066.00,C
6540,7562,1995-12-31,309600,48,6450.00,C
6541,7565,1997-08-17,153504,48,3198.00,C
6544,7594,1997-12-11,130464,48,2718.00,C
6545,7606,1995-12-12,191880,60,3198.00,C
6546,7607,1995-03-27,31728,24,1322.00,A
6550,7614,1996-05-18,320592,48,6679.00,C
6552,7632,1998-01-08,170448,48,3551.00,C
6553,7636,1998-01-26,42384,12,3532.00,C
6554,7637,1997-01-29,390096,48,8127.00,C
6562,7674,1997-03-21,94488,24,3937.00,C
6568,7713,1998-02-25,220440,60,3674.00,C
6569,7721,1998-05-28,45456,12,3788.00,C
6571,7733,1998-05-12,140064,24,5836.00,C
6574,7745,1997-12-20,77544,36,2154.00,C
6577,7753,1994-03-11,51696,24,2154.00,A
6578,7765,1995-12-11,27984,12,2332.00,A
6580,7769,1994-05-22,196080,48,4085.00,A
6585,7795,1996-10-29,372120,60,6202.00,C
6589,7815,1996-01-01,189696,24,7904.00,A
6591,7819,1995-02-02,20832,48,434.00,C
6594,7824,1994-09-28,189696,24,7904.00,B
6596,7844,1994-06-25,91584,24,3816.00,A
6598,7857,1995-01-18,68112,12,5676.00,A
6599,7859,1996-11-19,72120,12,6010.00,A
6600,7861,1995-10-08,21852,36,607.00,A
6605,7890,1997-10-14,79344,48,1653.00,C
6607,7894,1997-10-21,153144,36,4254.00,C
6612,7907,1997-08-31,97392,12,8116.00,A
6613,7926,1996-09-22,84120,24,3505.00,A
6621,7957,1997-06-14,42900,12,3575.00,A
6624,7965,1994-09-30,71460,12,5955.00,A
6625,7966,1997-09-07,473280,60,7888.00,D
6632,7990,1998-04-23,144960,48,3020.00,C
6633,7997,1998-02-05,160656,24,6694.00,C
6641,8026,1997-09-09,128268,36,3563.00,C
6642,8027,1994-06-05,77640,12,6470.00,A
6643,8038,1998-01-18,35856,24,1494.00,C
6644,8039,1996-10-20,93600,24,3900.00,A
6645,8041,1994-11-06,140400,36,3900.00,A
6647,8051,1994-06-01,208320,48,4340.00,A
6650,8073,1994-02-17,49320,12,4110.00,B
6655,8085,1997-10-17,260400,60,4340.00,D
6659,8092,1996-02-20,56100,60,935.00,C
6660,8094,1997-05-09,220428,36,6123.00,C
6665,8114,1997-08-15,99300,60,1655.00,C
6667,8127,1996-07-15,155880,24,6495.00,A
6668,8129,1994-07-30,74736,36,2076.00,A
6675,8158,1997-11-01,238716,36,6631.00,C
6676,8159,1995-06-13,29784,24,1241.00,A
6677,8169,1997-08-12,97980,60,1633.00,C
6678,8173,1994-05-20,80340,12,6695.00,A
6682,8225,1998-03-30,36204,12,3017.00,D
6686,8260,1994-08-25,224604,36,6239.00,A
6687,8261,1993-09-13,87840,24,3660.00,A
6688,8268,1997-09-26,8616,24,359.00,C
6694,8316,1995-03-19,134784,24,5616.00,A
6695,8320,1997-06-04,309660,60,5161.00,C
6696,8321,1994-05-09,89040,60,1484.00,C
6698,8327,1996-03-10,247728,48,5161.00,C
6699,8330,1994-03-30,7656,24,319.00,A
6704,8377,1995-06-01,417060,60,6951.00,C
6705,8381,1997-07-25,333648,48,6951.00,D
6712,8405,1995-10-14,266220,60,4437.00,C
6715,8411,1996-05-06,220620,60,3677.00,C
6721,8475,1994-01-21,21072,24,878.00,A
6725,8489,1995-06-23,265320,36,7370.00,A
6726,8492,1995-09-03,85860,60,1431.00,C
6727,8505,1997-12-10,42840,12,3570.00,A
6729,8519,1994-08-11,74688,12,6224.00,A
6730,8523,1998-02-15,93036,12,7753.00,C
6732,8533,1996-09-19,174048,48,3626.00,C
6734,8547,1996-05-30,173016,36,4806.00,C
6736,8558,1994-06-14,288360,60,4806.00,C
6737,8564,1995-03-11,76680,24,3195.00,A
6738,8566,1994-09-29,230220,36,6395.00,B
6745,8625,1995-04-10,47304,24,1971.00,A
6746,8639,1998-06-06,185640,60,3094.00,C
6748,8645,1998-12-08,240900,60,4015.00,C
6751,8680,1996-07-14,85716,36,2381.00,C
6753,8688,1997-03-20,67980,12,5665.00,A
6755,8713,1998-07-24,170700,60,2845.00,C
6758,8742,1997-07-29,33144,12,2762.00,A
6763,8772,1997-06-19,88272,48,1839.00,C
6764,8776,1995-08-26,33984,48,708.00,C
6766,8784,1998-04-28,74352,24,3098.00,C
6785,8899,1995-12-25,125340,60,2089.00,C
6790,8919,1998-06-08,76104,24,3171.00,C
6791,8926,1998-01-23,566640,60,9444.00,C
6793,8931,1997-01-30,186300,60,3105.00,C
6805,8972,1996-12-21,45024,48,938.00,C
6808,8982,1994-10-12,227880,36,6330.00,A
6810,9006,1996-06-08,186384,48,3883.00,C
6816,9017,1996-03-26,100224,48,2088.00,D
6817,9024,1996-10-04,70656,48,1472.00,C
6818,9030,1996-12-12,155616,48,3242.00,C
6819,9031,1997-05-03,50112,24,2088.00,C
6820,9034,1993-12-16,38148,12,3179.00,A
6821,9037,1998-09-15,321936,48,6707.00,C
6824,9052,1997-02-26,71976,24,2999.00,D
6836,9093,1994-08-03,189300,60,3155.00,C
6841,9104,1994-08-07,172080,48,3585.00,A
6851,9138,1997-06-03,272220,60,4537.00,D
6852,9140,1998-11-10,16032,48,334.00,C
6855,9153,1998-03-01,52236,36,1451.00,C
6856,9156,1998-12-01,163332,36,4537.00,C
6857,9159,1998-06-08,69600,48,1450.00,C
6859,9167,1998-03-07,272220,60,4537.00,C
6861,9179,1998-02-28,215040,60,3584.00,C
6863,9188,1993-07-28,127080,60,2118.00,A
6865,9199,1996-09-11,29448,12,2454.00,B
6866,9201,1998-02-05,122472,24,5103.00,C
6868,9208,1998-10-12,82128,24,3422.00,C
6871,9225,1997-04-13,164256,48,3422.00,C
6872,9227,1998-04-29,191580,60,3193.00,C
6875,9235,1997-03-13,83280,48,1735.00,C
6876,9236,1993-12-21,86616,12,7218.00,A
6877,9241,1997-06-19,285240,60,4754.00,C
6878,9242,1997-01-24,23184,12,1932.00,A
6887,9263,1997-05-08,39576,12,3298.00,A
6888,9265,1994-07-11,39576,12,3298.00,A
6895,9307,1994-09-19,41904,12,3492.00,A
6903,9337,1994-06-04,52128,24,2172.00,A
6908,9353,1997-06-08,188616,24,7859.00,C
6913,9377,1997-04-29,99936,24,4164.00,C
6919,9403,1994-08-05,120888,36,3358.00,A
6921,9422,1996-10-29,86184,12,7182.00,A
6922,9424,1997-08-26,83628,36,2323.00,C
6923,9433,1998-10-05,44640,24,1860.00,C
6926,9455,1998-02-07,374760,60,6246.00,C
