bookrank,id,title,bookauthor,publicationyear,publisher,languagecode,numpages,averagerating,ratingscount
51,92364,Eye of the Needle,Ken Follett,2004,HarperCollins Publishers,en-US,339,4.18,109068
52,18989,"Tinker, Tailor, Soldier, Spy",John le Carré,2002,Scribner Book Company,eng,379,4.05,42920
53,18045891,Sharp Objects,Gillian Flynn,2006,Broadway Paperbacks,eng,254,3.97,322710
54,91661,"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",Laurie R. King,2002,Bantam,eng,341,4.07,56698
55,12497,No Country for Old Men,Cormac McCarthy,2006,Vintage,eng,309,4.14,121582
56,7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,2005,Orion,eng,566,4.02,370948
57,21996,The Devil in the White City,Erik Larson,2003,Random House Audio Publishing Group,eng,447,3.99,422902
58,365307,"An Unsuitable Job for a Woman (Cordelia Gray, #1)",P.D. James,2001,Scribner,eng,256,3.83,11990
59,13145,"Along Came a Spider (Alex Cross, #1)",James Patterson,2003,Grand Central Publishing,eng,449,4.1,373647
60,21704,"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,2006,Mysterious Press,eng,348,3.76,71315
61,80616,The Thin Man,Dashiell Hammett,1989,Vintage Crime/Black Lizard,eng,201,3.95,23700
62,32263,"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,2005,Bantam Books,eng,416,4.1,110154
63,39662,Different Seasons,Stephen King,1995,Warner Books,eng,560,4.35,128823
64,25036229,Una Historia de Ayer,Sergio Cobo,,,eng,,4.64,313
65,16243,Case Histories (Jackson Brodie #1),Kate Atkinson,2005,Back Bay Books,eng,389,3.83,68286
66,32508,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,2002,Grand Central Publishing,eng,482,4.1,127014
67,188230,Crocodile on the Sandbank (Amelia Peabody #1),Elizabeth Peters,1988,Grand Central Publishing,eng,337,4.01,48614
68,77142,Snow Falling on Cedars,David Guterson,1995,Vintage,eng,460,3.84,155379
69,976,Deception Point,Dan Brown,2002,Pocket Books,eng,556,3.71,536176
70,8921,The Hound of the Baskervilles,Arthur Conan Doyle,2001,Signet,eng,256,4.11,195616
71,6218281,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,2009,Delacorte Press,eng,374,3.82,107477
72,5886881,Dark Places,Gillian Flynn,2009,Shaye Areheart Books,eng,349,3.93,464602
73,29044,The Secret History,Donna Tartt,2004,Vintage,eng,559,4.1,240297
74,37301,"Rules of Prey (Lucas Davenport, #1)",John Sandford,2005,G.P. Putnam's Sons,eng,479,4.11,63146
75,43933,Tell No One,Harlan Coben,2009,Dell Publishing Company,eng,370,4.11,96503
76,32979,"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,1991,Applewood Books,eng,210,3.99,53822
77,2161733,"Child 44 (Leo Demidov, #1)",Tom Rob Smith,2009,Grand Central Publishing,eng,509,4.09,56759
78,76120,A Study in Scarlet and The Sign of Four,Arthur Conan Doyle,2003,Dover Publications,eng,192,4.18,3845
79,56616,Double Indemnity,James M. Cain,1989,Vintage Crime/Black Lizard,eng,115,4.11,16100
80,25807,The Postman Always Rings Twice,James M. Cain,2010,Orion,eng,116,3.8,23372
81,301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001,Ace Books,eng,292,3.96,455996
82,28676,American Psycho,Bret Easton Ellis,1991,Vintage Contemporaries / Random House,eng,399,3.82,209716
83,43930,Gone for Good,Harlan Coben,2003,Dell Publishing Company,eng,432,4.1,36036
84,192893,"Whose Body?  (Lord Peter Wimsey, #1)",Dorothy L. Sayers,1995,HarperTorch,eng,212,3.88,35468
85,104106,"The Ritual Bath (Peter Decker/Rina Lazarus, #1)",Faye Kellerman,2004,Harper Paperbacks,eng,352,3.94,12309
86,16320,Witness for the Prosecution and Selected Plays,Agatha Christie,1995,HarperCollins Publishers Ltd,eng,352,4.05,3988
87,43931,The Woods,Harlan Coben,,,eng,404,4.05,55969
88,935308,"Faceless Killers (Kurt Wallander, #1)",Henning Mankell,2003,Vintage Crime/Black Lizard,eng,280,3.77,52378
89,47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,2000,Penguin ROC,eng,384,4.01,245082
90,43339,Where Are the Children?,Mary Higgins Clark,2005,Pocket Books,eng,304,4.02,39972
91,15039105,"Shadow Roll (A Sam Russo Mystery, #1)",Ki Longfellow,2013,Eio Books,eng,240,4,1013
92,657034,"Heartsick (Archie Sheridan & Gretchen Lowell, #1)",Chelsea Cain,2007,Minotaur Books,eng,326,3.93,32241
93,91487,A Place of Execution,Val McDermid,2001,St. Martin's Press,eng,480,4.11,7892
94,702539,"Get Shorty (Chili Palmer, #1)",Elmore Leonard,2002,HarperCollins HarperTorch,eng,384,3.96,17563
95,17841,Foucault's Pendulum,Umberto Eco,2007,Mariner Books,eng,623,3.89,46848
96,105992,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,2001,W. W. Norton  Company,eng,689,4.04,113752
97,298663,The Killer Inside Me,Jim Thompson,1991,Vintage,eng,244,3.81,16285
98,37100,"Devil in a Blue Dress (Easy Rawlins, #1)",Walter Mosley,2002,Washington Square Press,eng,263,3.9,15702
99,332613,One Flew Over the Cuckoo's Nest,Ken Kesey,1963,Signet,eng,325,4.2,574129
100,2177236,Hold Tight,Harlan Coben,,,eng,416,3.94,34904
101,15888,An Instance of the Fingerpost,Iain Pears,2000,Riverhead Books,eng,691,3.94,19212
102,13530588,China Blues,Ki Longfellow,2012,Eio Books,eng,456,4.1,1266
103,3832,Cover Her Face (Adam Dalgliesh #1),P.D. James,2001,Scribner,eng,250,3.93,26584
104,9293020,The Elephant Tree,R.D. Ronald,2010,Matador,eng,252,3.99,38046
105,16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,2013,"Mulholland Books / Little, Brown and Company",eng,456,3.86,391484
106,11324204,Houdini Heart,Ki Longfellow,2011,Eio Books,eng,254,4.22,1885
107,227463,A Clockwork Orange,Anthony Burgess,1986,W. W. Norton & Company,eng,213,3.99,503366
108,13079982,Fahrenheit 451,Ray Bradbury,2011,Simon & Schuster,eng,194,3.99,220334
109,22557272,The Girl on the Train,Paula Hawkins,2015,Riverhead Books,eng,325,3.92,1657473
110,45122,The Ice House,Minette Walters,,Macmillan,eng,,3.86,7000
111,36236124,Fight Club,Chuck Palahniuk,2018,W. W. Norton  Company,eng,218,4.19,52256
112,29908754,The Zombie Room,R.D. Ronald,,,eng,,4.02,25982
113,2657,To Kill a Mockingbird,Harper Lee,2006,Harper Perennial Modern Classics,eng,324,4.27,4063329
114,7194,The Club Dumas,Arturo Pérez-Reverte,2006,Mariner Books,eng,362,3.81,27809
115,15677,Strangers on a Train,Patricia Highsmith,2001,W. W. Norton & Company,eng,281,3.77,13263
116,462033,"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,2004,Penguin,en-US,309,3.92,68871
117,86643,"Mistress of the Art of Death (Mistress of the Art of Death, #1)",Ariana Franklin,2007,G.P. Putnam's Sons,en-US,384,3.96,29774
118,194373,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,1993,Oxford University Press,eng,378,4.32,65567
119,321545,"A Morbid Taste for Bones (Chronicles of Brother Cadfael, #1)",Ellis Peters,1994,Grand Central Publishing,eng,197,3.98,27055
120,135836,Trainspotting,Irvine Welsh,1994,Vintage,eng,430,4.09,74853
121,567678,The Wasp Factory,Iain Banks,1998,Simon & Schuster (NYC),eng,192,3.84,62187
122,16363,"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,2001,HarperCollins,eng,303,3.86,26972
123,16174821,The Gordonston Ladies Dog Walking Club (The Gordonston Ladies Dog Walking Club #1),Duncan Whitehead,2012,Dog Ear,eng,196,3.39,1048
124,12948,The Turn of the Screw,Henry James,1994,Penguin,eng,121,3.43,70784
125,46945,Requiem for a Dream,Hubert Selby Jr.,1999,Da Capo Press,eng,279,4.11,51349
126,231604,"Déjà Dead (Temperance Brennan, #1)",Kathy Reichs,1998,Pocket Books,eng,532,3.87,116611
127,36236125,Invisible Monsters,Chuck Palahniuk,2018,W. W. Norton  Company,eng,304,4.01,16037
128,14995,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2006,Bantam,eng,446,3.97,229111
129,4031,Lunar Park,Bret Easton Ellis,2006,Vintage,eng,404,3.7,24809
130,12926063,Skagboys,Irvine Welsh,2012,Jonathan Cape,eng,548,4.08,13301
131,16331,"Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,2006,Black Dog & Leventhal Publishers,eng,288,4.05,122780
132,21718,"Blindsighted (Grant County, #1)",Karin Slaughter,2002,HarperTorch,eng,418,4.09,54556
133,188572,The Complete Sherlock Holmes,Arthur Conan Doyle,,,eng,1796,4.51,127156
134,7510,The Beach House,James Patterson,2003,Grand Central Publishing,eng,356,3.84,74668
135,16703,The Yiddish Policemen's Union,Michael Chabon,2007,HarperCollins,eng,414,3.71,53758
136,497199,Factotum,Charles Bukowski,2002,Ecco,eng,208,3.97,52101
137,37435,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,eng,302,4.05,1052456
138,153492,"The 39 Steps (Richard Hannay, #1)",John Buchan,2004,William Blackwood & Sons,eng,,3.61,16343
139,634407,"Knots and Crosses (Inspector Rebus, #1)",Ian Rankin,1995,St. Martin's Press,eng,228,3.83,31943
140,22842297,The Bridge To Caracas (The King Trilogy #1),Stephen Douglass,,,eng,,4.13,178
141,149572,The Odessa File,Frederick Forsyth,1983,Bantam,eng,334,4.11,49159
142,13222282,The Manson File: Myth and Reality of an Outlaw Shaman,Nikolas Schreck,2011,World Operations,eng,991,4.22,240
143,131359,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,1978,Bantam Books,eng,214,4.11,89733
144,41325,The Sculptress,Minette Walters,1995,Pan Books (UK),eng,,3.96,7988
145,58027,Alias Grace,Margaret Atwood,,,ger,636,4.03,52533
146,10625,Dolores Claiborne,Stephen King,1996,Pocket,fre,,3.86,70892
147,608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,2001,Penguin Books,eng,129,3.94,79392
148,83422,A Dark-Adapted Eye,Barbara Vine,1993,Plume,eng,278,3.97,5882
149,9736930,Before I Go to Sleep,S.J. Watson,2011,Harper,eng,359,3.89,229566
150,583883,"The Face of a Stranger (William Monk, #1)",Anne Perry,2011,Fawcett,eng,352,4.03,13046
151,527744,"After the Funeral (Hercule Poirot, #31)",Agatha Christie,2000,Berkley,eng,256,3.87,18218
152,16341,"The Moving Finger (Miss Marple, #4)",Agatha Christie,2012,Harper Collins,eng,299,3.85,20254
153,539894,Gangster,Lorenzo Carcaterra,,,en-US,,4.17,2224
154,19494,The Spy Who Came In from the Cold,John le Carré,2001,Scribner,eng,224,4.07,53594
155,30005,Red Harvest,Dashiell Hammett,2003,Orion,eng,224,3.97,18069
156,243705,The Collector,John Fowles,1998,Vintage,eng,283,3.99,42574
157,170622,"Weep No More, My Lady",Mary Higgins Clark,2004,Pocket Books,eng,360,3.82,11954
158,21717,"Triptych (Will Trent, #1)",Karin Slaughter,2006,Delacorte Press,eng,393,4.13,43013
159,138685,"Dissolution (Matthew Shardlake, #1)",C.J. Sansom,2004,Pan,eng,456,4.09,28823
160,11125,Digital Fortress,Dan Brown,2004,Corgi books,eng,510,3.65,504018
161,6681454,Caught,Harlan Coben,,,eng,388,3.98,41832
162,351648,What the Dead Know,Laura Lippman,2007,William Morrow,eng,384,3.55,16319
163,338691,"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,2007,St. Martin's Paperbacks,eng,293,3.88,106883
164,15159,Absolute Power,David Baldacci,2003,Pan Publishing,eng,550,4.16,83759
165,32527,"Alone (Detective D.D. Warren, #1)",Lisa Gardner,2005,Bantam,eng,451,3.96,44753
166,867387,"The Blessing Way (Leaphorn & Chee, #1)",Tony Hillerman,1990,HarperTorch,eng,306,4.05,16516
167,269362,"The Deep Blue Good-By (Travis McGee, #1)",John D. MacDonald,1995,Ballantine Books,eng,310,3.91,9198
168,476575,"Mallory's Oracle (Kathleen Mallory, #1)",Carol O'Connell,1995,G.P. Putnam's Sons,eng,329,3.94,4571
169,445593,"Booked To Die (Cliff Janeway, #1)",John Dunning,2001,Pocket Star,eng,394,3.93,5679
170,25176,"The Man With a Load of Mischief (Richard Jury, #1)",Martha Grimes,2003,Berkley Books,eng,272,3.99,14919
171,33813,Gold Coast,Nelson DeMille,,Time Warner Books UK,eng,637,4.08,21104
172,11031,The Flanders Panel,Arturo Pérez-Reverte,2004,Mariner Books,eng,295,3.79,13057
173,45116,The Scold's Bridle,Minette Walters,1995,St. Martin's Press,eng,384,3.95,7051
174,16305,"Evil Under the Sun (Hercule Poirot, #24)",Agatha Christie,2006,Black Dog & Leventhal Publishers,eng,220,3.97,36885
175,459386,"The Mermaids Singing (Tony Hill & Carol Jordan, #1)",Val McDermid,2002,St. Martin's Paperbacks,eng,364,3.97,14112
176,484531,"Fletch (Fletch, #1)",Gregory McDonald,2002,Vintage Crime/Black Lizard,eng,197,3.91,4703
177,26799006,"Desecrating Solomon (Desecration, #1)",Lucian Bane,2015,Lucian Bane,eng,,4.08,310
178,11672029,Cross Roads,C. Michaels,,,eng,472,3.88,66
179,227614,The Blind Assassin,Margaret Atwood,2001,Anchor,eng,521,3.96,7657
179,16322,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,2006,Black Dog & Leventhal Publishers,eng,232,4.01,71524
181,41913,The Children of Men,P.D. James,,,eng,,3.68,31997
182,55022,"The Neon Rain (Dave Robicheaux, #1)",James Lee Burke,2005,Phoenix,eng,285,3.95,17414
183,16366,Endless Night,Agatha Christie,2007,Harper,eng,303,3.78,14419
184,33810,"Plum Island (John Corey, #1)",Nelson DeMille,2002,Grand Central Publishing,eng,592,4.03,36532
185,13597695,On the Road to Death's Door,M.J. Williams,2012,CreateSpace,eng,279,3.94,63
186,15158,"The Camel Club (Camel Club, #1)",David Baldacci,2006,Warner Vision,eng,606,4.04,69416
187,77604,"Fer-de-Lance (Nero Wolfe, #1)",Rex Stout,1992,Bantam Books,eng,285,3.99,10820
188,11566,The Green Mile,Stephen King,1996,Penguin Signet,eng,592,4.44,209814
189,194366,The Return of Sherlock Holmes,Arthur Conan Doyle,1993,Oxford University Press,eng,455,4.31,41533
190,27003,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,2003,Penguin Books,eng,374,3.89,99836
191,21956849,Dancing with a Dead Horse,Danielle DeVor,2014,Eirelander Publishing,en-GB,193,4.13,115
192,16083889,NO FEAR!,C. Michaels,2011,Amazon,en-US,259,4.09,56
193,16083873,Bill of Human Wrongs,C. Michaels,2012,Amazon,en-US,,4.42,54
194,185911,"When the Bough Breaks (Alex Delaware, #1)",Jonathan Kellerman,2003,Ballantine Books,eng,432,4.03,55979
195,104739,"A Grave Talent  (Kate Martinelli, #1)",Laurie R. King,1995,Crimeline,eng,342,3.93,5716
196,14404,"The Monkey's Raincoat (Elvis Cole, #1)",Robert Crais,1999,Orion,eng,237,3.98,16072
197,853180,"The Cater Street Hangman (Charlotte & Thomas Pitt, #1)",Anne Perry,1998,Fawcett Books,eng,288,3.9,12490
197,17231,"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,2006,Vintage Books,eng,288,3.9,169135
197,43993,The Quiet Game (Penn Cage #1),Greg Iles,2000,Coronet Books (GB),eng,580,4.2,21470
200,209194,"The Man in the Brown Suit (Colonel Race, #1)",Agatha Christie,2002,HarperCollinspublishers,eng,381,3.97,70857
201,22367070,Deadly Thyme,R.L. Nolen,2014,Skipjack Publishing,eng,402,3.93,130
202,5556466,"The Last Child (Johnny Merrimon, #1)",John Hart,2009,Minotaur Books,eng,373,4.13,27406
203,16315,Crooked House,Agatha Christie,2002,Minotaur Books,eng,276,4.04,25467
204,30007,The Glass Key,Dashiell Hammett,,,eng,214,3.96,9292
205,10614,Misery,Stephen King,1988,New English Library,eng,370,4.16,436757
206,328854,Motherless Brooklyn,Jonathan Lethem,2000,Vintage,eng,311,3.89,29184
207,33001,"Weekend Warriors (Sisterhood, #1)",Fern Michaels,2004,Kensington,eng,304,4.05,6826
208,18402,The Dante Club (The Dante Club #1),Matthew Pearl,,,eng,424,3.39,32923
209,3590,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1998,Oxford University Press,eng,389,4.31,175197
210,18518301,Closure,Angela Ford,2013,Books to Go Now,eng,176,4.06,96
211,8525,Dead Cert,Dick Francis,2004,G.P. Putnam's Sons,eng,277,3.97,4996
212,30281,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,2004,Berkley,eng,355,4.02,115905
213,681552,"God's Spy (Father Anthony Fowler, #1)",Juan Gomez-Jurado,2007,Dutton,eng,368,3.74,1585
214,595538,"Roseanna (Martin Beck, #1)",Maj Sjöwall,1976,Vintage,eng,224,3.77,8250
215,7159515,Still Missing,Chevy Stevens,,,eng,,3.98,52737
216,1225261,"No Time for Goodbye (No Time For Goodbye, #1)",Linwood Barclay,2007,Bantam,eng,338,4.01,22310
217,19161914,The Grifters,Jim Thompson,2014,Mulholland Books,eng,224,3.85,4176
218,10644930,11/22/63,Stephen King,2011,Scribner,eng,849,4.31,333998
219,71811,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,2006,Ace Books,eng,289,4.17,154584
220,78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,1999,"Scholastic, Inc.",eng,176,3.95,347965
221,121648,"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,1985,Berkley,eng,224,3.99,27528
222,38726615,Ana Rocha: Shadows of Justice,Ammar Habib,2018,,eng,218,4.24,3137
223,13529900,A Game of Proof (The Trials of Sarah Newby #1),Tim Vicary,,,eng,458,3.87,1240
224,6447501,Explosion in Paris,Linda Masemore Pirrung,2009,iUniverse.com,en-US,408,4.11,327
225,280513,The Drowning Pool (Lew Archer #2),Ross Macdonald,1996,Vintage Crime/Black Lizard,eng,244,4,4348
226,1430213,The Bone Garden,Tess Gerritsen,2008,Bantam,eng,370,4.04,19543
227,21685,"A Drink Before the War (Kenzie & Gennaro, #1)",Dennis Lehane,2003,Mariner Books,eng,282,3.95,29219
228,12431820,The Wardens of Punyu (The Handover Mysteries),D.L. Kung,2011,Eyes and Ears,eng,,3.88,39
229,12770,A Kiss Before Dying,Ira Levin,2003,Carroll & Graf Publishers,eng,242,3.94,6652
230,11901,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,2004,Arrow,eng,1207,4.11,88215
230,44783,"Monkeewrench (Monkeewrench, #1)",P.J. Tracy,2004,G.P. Putnam's Sons,eng,421,4.12,8092
232,5129,Brave New World,Aldous Huxley,1998,HarperPerennial / Perennial Classics,eng,288,3.99,1263125
233,3407877,The Forgotten Garden,Kate Morton,2008,Pan Books,eng,648,4.14,159691
234,65910,"The Perfect Husband (Quincy & Rainie, #1)",Lisa Gardner,2004,Bantam,eng,432,4,31950
235,868851,Judas Child,Carol O'Connell,1999,Jove,eng,432,4.11,2399
236,380563,"Hit Man (Keller, #1)",Lawrence Block,1999,Orion,eng,320,3.9,4047
237,333907,Fatal Vision,Joe McGinniss,1984,Signet,eng,684,4.11,21118
238,902,The Westing Game,Ellen Raskin,2004,Puffin,eng,182,4.02,143654
239,5355,The Chamber,John Grisham,2006,Delta Trade Paperbacks,eng,632,3.79,113742
240,1082014,The Danger,Dick Francis,1985,Fawcett,eng,384,4.02,2954
241,817768,"Vanishing Act (Jane Whitefield, #1)",Thomas Perry,1996,Fawcett Books,eng,368,4,3834
242,45885644,The Sun Down Motel,Simone St. James,2020,Berkley,eng,327,4.12,15535
243,21457935,The Bone Church,Victoria Dougherty,2014,Pier's Court Press,eng,308,3.73,276
244,706011,Bangkok 8 (Sonchai Jitpleecheep #1),John Burdett,2004,Vintage Crime/Black Lizard,eng,336,3.76,8109
245,57951,"The Watchman (Elvis Cole, #11; Joe Pike, #1)",Robert Crais,2007,Simon & Schuster,eng,292,4.1,20515
246,10822858,"The Keeper of Lost Causes (Department Q, #1)",Jussi Adler-Olsen,2011,Dutton Adult,eng,400,3.98,44327
247,8540,Blood Sport,Dick Francis,2004,G.P. Putnam's Sons,eng,288,3.89,4631
248,271295,"A Cold Day For Murder (Kate Shugak, #1)",Dana Stabenow,1992,Berkley,eng,208,3.73,8816
249,487445,The Onion Field,Joseph Wambaugh,2007,Delta,eng,512,4.13,17634
250,67035,"Relic (Pendergast, #1)",Douglas Preston,2005,Tor Books,eng,480,4.02,81826
251,10911,Second Glance,Jodi Picoult,,,eng,,3.79,36994
252,18144124,I Am Pilgrim,Terry Hayes,2014,Atria/Emily Bestler Books,eng,612,4.25,75451
253,20967943,The Deadly Caress,O.N. Stefan,2014,Payella Pty Ltd,eng,311,4.18,229
254,7624,Lord of the Flies,William Golding,1999,Penguin Books,eng,182,3.68,2059368
255,24192,The Runaway Jury,John Grisham,2006,Delta,eng,358,3.98,252094
256,20388847,The Book of Occult,Simon W. Clark,2013,Itoh Press,eng,336,3.91,208
257,368250,A Small Death in Lisbon,Robert Wilson,2002,Berkley Books,eng,464,3.89,3708
258,170650,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,Simon and Schuster Pocket Books,eng,318,3.91,23925
259,49552,The Stranger,Albert Camus,1989,Vintage International,eng,123,3.98,550641
260,16298,"A Murder Is Announced (Miss Marple, #5)",Agatha Christie,2006,Black Dog & Leventhal Publishers,eng,288,3.99,33702
261,22207400,Tsunami Connection,Michael James Gallagher,2014,Michael James Gallagher,eng,261,4.14,67
262,187650,Primal Fear (Vail/Stampler #1),William Diehl,1998,Ballantine Books,eng,399,4.21,7677
263,14554,"If Tomorrow Comes (Tracy Whitney, #1)",Sidney Sheldon,1985,"William Morrow and Co., Inc.",eng,501,4.04,51774
264,15654,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,2001,Signet,eng,548,4.14,54988
265,45132,The Dark Room,Minette Walters,2007,Vintage Crime/Black Lizard,eng,400,3.74,3550
266,267869,"Silent in the Grave (Lady Julia Grey, #1)",Deanna Raybourn,2007,Mira,eng,509,3.91,16468
267,113002,In the Bleak Midwinter (The Rev. Clare Fergusson & Russ Van Alstyne Mysteries #1),Julia Spencer-Fleming,,,eng,370,3.91,10214
