GeneID,Localization
G234772,cytoplasm
G234779,cytoskeleton
G234786,nucleus
G234787,"plasma membrane"
G234788,nucleus
G234804,mitochondria
G234811,cytoskeleton
G234812,nucleus
G234823,cytoplasm
G234824,cytoplasm
G234829,mitochondria
G234830,cytoplasm
G234831,"plasma membrane"
G234839,cytoskeleton
G234849,nucleus
G234850,nucleus
G234854,ER
G234858,golgi
G234860,"plasma membrane"
G234862,nucleus
G234863,nucleus
G234865,cytoplasm
G234867,nucleus
G234868,"plasma membrane"
G234876,cytoplasm
G234878,golgi
G234880,nucleus
G234882,nucleus
G234890,nucleus
G234894,nucleus
G234895,nucleus
G234906,nucleus
G234907,nucleus
G234908,cytoplasm
G234909,"plasma membrane"
G234910,nucleus
G234914,nucleus
G234915,nucleus
G234918,"plasma membrane"
G234926,nucleus
G234932,cytoplasm
G234933,mitochondria
G234934,nucleus
G234935,nucleus
G234936,nucleus
G234943,"plasma membrane"
G234946,nucleus
G234949,cytoplasm
G234953,nucleus
G234954,"plasma membrane"
G234955,nucleus
G234959,cytoplasm
G234960,cytoplasm
G234964,cytoplasm
G234967,"plasma membrane"
G234973,ER
G234975,cytoplasm
G234980,nucleus
G234983,cytoskeleton
G234993,nucleus
G234994,nucleus
G235004,nucleus
G235005,cytoplasm
G235006,cytoplasm
G235011,mitochondria
G235012,nucleus
G235014,nucleus
G235019,nucleus
G235025,nucleus
G235027,cytoskeleton
G235034,cytoskeleton
G235035,"transport vesicles"
G235042,cytoplasm
G235043,nucleus
G235044,cytoplasm
G235052,mitochondria
G235054,mitochondria
G235059,cytoplasm
G235065,cytoplasm
G235075,nucleus
G235077,cytoskeleton
G235080,golgi
G235086,nucleus
G235095,mitochondria
G235099,"transport vesicles"
G235101,cytoplasm
G235105,nucleus
G235107,cytoplasm
G235123,nucleus
G235127,cytoplasm
G235128,nucleus
G235129,nucleus
G235130,cytoplasm
G235131,nucleus
G235132,cytoplasm
G235133,nucleus
G235134,nucleus
G235135,mitochondria
G235136,cytoskeleton
G235137,nucleus
G235138,nucleus
G235142,nucleus
G235143,cytoplasm
G235145,cytoplasm
G235157,nucleus
G235158,cytoskeleton
G235159,nucleus
G235161,mitochondria
G235163,nucleus
G235165,golgi
G235170,nucleus
G235171,mitochondria
G235172,nucleus
G235173,cytoplasm
G235177,ER
G235181,nucleus
G235182,nucleus
G235184,nucleus
G235185,nucleus
G235187,nucleus
G235188,nucleus
G235189,nucleus
G235191,nucleus
G235200,vacuole
G235201,cytoplasm
G235204,cytoplasm
G235205,cytoplasm
G235207,nucleus
G235213,nucleus
G235214,nucleus
G235216,cytoskeleton
G235222,mitochondria
G235225,nucleus
G235228,cytoplasm
G235229,nucleus
G235231,nucleus
G235234,vacuole
G235235,ER
G235239,golgi
G235240,nucleus
G235241,nucleus
G235242,cytoskeleton
G235243,nucleus
G235244,nucleus
G235245,mitochondria
G235246,cytoplasm
G235247,nucleus
G235248,"transport vesicles"
G235250,nucleus
G235252,nucleus
G235257,nucleus
G235259,"transport vesicles"
G235261,golgi
G235264,nucleus
G235265,nucleus
G235266,nucleus
G235271,cytoskeleton
G235272,nucleus
G235273,nucleus
G235274,nucleus
G235277,cytoskeleton
G235278,nucleus
G235279,nucleus
G235281,golgi
G235285,nucleus
G235287,nucleus
G235288,cytoplasm
G235293,golgi
G235294,nucleus
G235297,ER
G235300,ER
G235301,cytoplasm
G235302,mitochondria
G235303,mitochondria
G235307,cytoplasm
G235309,cytoplasm
G235310,nucleus
G235312,cytoskeleton
G235313,cytoskeleton
G235317,cytoplasm
G235324,nucleus
G235326,cytoplasm
G235327,nucleus
G235329,nucleus
G235331,cytoplasm
G235332,nucleus
G235334,nucleus
G235335,nucleus
G235336,cytoplasm
G235340,cytoskeleton
G235344,nucleus
G235345,nucleus
G235348,mitochondria
G235349,nucleus
G235350,nucleus
G235357,mitochondria
G235358,nucleus
G235359,cytoplasm
G235363,cytoplasm
G235366,nucleus
G235371,nucleus
G235372,nucleus
G235375,nucleus
G235379,cytoplasm
G235380,cytoplasm
G235381,nucleus
G235383,cytoplasm
G235386,nucleus
G235388,nucleus
G235390,ER
G235391,cytoplasm
G235395,nucleus
G235398,"plasma membrane"
G235400,nucleus
G235403,cytoplasm
G235404,nucleus
G235407,cytoplasm
G235408,mitochondria
G235417,nucleus
G235419,nucleus
G235425,cytoplasm
G235426,nucleus
G235434,nucleus
G235435,cytoplasm
G235436,cytoplasm
G235438,nucleus
G235439,nucleus
G235442,nucleus
G235447,nucleus
G235448,golgi
G235450,nucleus
G235453,nucleus
G235457,golgi
G235459,cytoplasm
G235462,nucleus
G235463,ER
G235464,nucleus
G235467,cytoplasm
G235468,nucleus
G235469,cytoskeleton
G235471,nucleus
G235474,cytoplasm
G235475,nucleus
G235477,cytoplasm
G235478,cytoskeleton
G235479,cytoplasm
G235480,nucleus
G235482,"transport vesicles"
G235485,cytoplasm
G235486,cytoskeleton
G235489,cytoplasm
G235490,nucleus
G235495,nucleus
G235496,nucleus
G235499,"transport vesicles"
G235500,nucleus
G235502,cytoplasm
G235506,cytoskeleton
G235508,nucleus
G235510,nucleus
G235513,nucleus
G235514,cytoplasm
G235515,cytoplasm
G235516,nucleus
G235518,vacuole
G235519,mitochondria
G235528,cytoplasm
G235529,mitochondria
G235530,vacuole
G235532,nucleus
G235535,cytoplasm
G235539,nucleus
G235542,nucleus
G235544,nucleus
G235546,nucleus
G235550,nucleus
G235558,cytoskeleton
G235559,nucleus
G235561,cytoplasm
G235563,nucleus
G235564,endosome
G235566,nucleus
G235568,nucleus
G235572,nucleus
G235573,nucleus
G235574,nucleus
G235575,ER
G235578,mitochondria
G235579,mitochondria
G235580,mitochondria
G235581,cytoplasm
G235586,golgi
G235592,cytoskeleton
G235597,golgi
G235603,mitochondria
G235606,endosome
G235607,golgi
G235610,cytoskeleton
G235615,mitochondria
G235616,ER
G235617,vacuole
G235619,nucleus
G235620,nucleus
G235621,nucleus
G235624,nucleus
G235625,vacuole
G235626,cytoplasm
G235627,"transport vesicles"
G235628,nucleus
G235629,nucleus
G235630,cytoplasm
G235631,nucleus
G235632,cytoplasm
G235634,"transport vesicles"
G235636,nucleus
G235637,cytoplasm
G235639,nucleus
G235640,peroxisome
G235648,cytoskeleton
G235649,nucleus
G235652,nucleus
G235653,cytoskeleton
G235654,cytoplasm
G235655,"plasma membrane"
G235664,cytoplasm
G235667,cytoskeleton
G235672,"transport vesicles"
G235677,nucleus
G235680,nucleus
G235681,ER
G235683,nucleus
G235687,cytoplasm
G235688,nucleus
G235689,nucleus
G235690,cytoplasm
G235692,nucleus
G235693,cytoskeleton
G235697,nucleus
G235699,nucleus
G235701,nucleus
G235703,ER
G235706,nucleus
G235711,nucleus
G235712,nucleus
G235715,cytoplasm
G235716,ER
G235717,nucleus
G235718,nucleus
G235723,"transport vesicles"
G235724,cytoskeleton
G235725,nucleus
G235726,mitochondria
G235728,golgi
G235729,nucleus
G235733,vacuole
G235735,nucleus
G235737,cytoplasm
G235741,cytoplasm
G235744,nucleus
G235749,cytoplasm
G235750,nucleus
G235754,nucleus
G235756,cytoplasm
G235758,cytoplasm
G235759,mitochondria
G235762,nucleus
G235763,nucleus
G235765,mitochondria
G235766,cytoskeleton
G235769,cytoskeleton
G235772,nucleus
G235776,nucleus
G235780,nucleus
G235781,cytoskeleton
G235782,cytoplasm
G235785,nucleus
G235788,"transport vesicles"
G235793,nucleus
G235796,mitochondria
G235801,nucleus
G235802,nucleus
G235803,nucleus
G235809,cytoskeleton
G235810,nucleus
G235815,nucleus
G235816,cytoplasm
G235817,cytoplasm
G235819,nucleus
G235820,vacuole
G235821,mitochondria
G235826,cytoplasm
G235827,ER
G235828,ER
G235830,nucleus
G235832,vacuole
G235833,nucleus
G235834,golgi
G235835,cytoskeleton
G235838,mitochondria
G235842,nucleus
G235843,cytoplasm
G235844,cytoskeleton
G235846,nucleus
G235853,nucleus
G235854,cytoskeleton
G235856,cytoskeleton
G235859,cytoplasm
G235862,"transport vesicles"
G235863,mitochondria
G235865,nucleus
G235866,cytoplasm
G235867,nucleus
G235871,cytoplasm
G235872,"transport vesicles"
G235874,nucleus
G235876,mitochondria
G235881,nucleus
G235885,cytoplasm
G235889,cytoplasm
G235892,cytoskeleton
G235897,cytoplasm
G235899,cytoplasm
G235905,cytoskeleton
G235906,"transport vesicles"
G235912,cytoplasm
G235914,nucleus
G235922,mitochondria
G235924,golgi
G235926,cytoplasm
G235930,nucleus
G235972,cytoplasm
G235995,ER
G235998,mitochondria
G236022,nucleus
G236045,mitochondria
G236047,cytoplasm
G236063,cytoplasm
G236068,peroxisome
G236081,extracellular
G236084,nucleus
G236085,extracellular
G236096,nucleus
G236111,cytoskeleton
G236116,"cell wall"
G236121,ER
G236147,golgi
G236152,cytoplasm
G236154,golgi
G236161,cytoplasm
G236167,nucleus
G236176,nucleus
G236194,nucleus
G236206,cytoplasm
G236210,golgi
G236244,nucleus
G236268,mitochondria
G236280,mitochondria
G236325,nucleus
G236336,mitochondria
G236351,nucleus
G236356,nucleus
G236363,nucleus
G236399,cytoskeleton
G236406,golgi
G236456,mitochondria
G236462,nucleus
G236479,nucleus
G236496,nucleus
G236506,cytoplasm
G236509,nucleus
G236546,nucleus
G236576,mitochondria
G236578,cytoskeleton
G236589,mitochondria
G236607,cytoplasm
G236626,cytoplasm
G236683,cytoplasm
G236701,nucleus
G236702,ER
G236730,nucleus
G236733,mitochondria
G236745,nucleus
G236817,nucleus
G236825,nucleus
G236869,golgi
G236895,nucleus
G236913,vacuole
G236933,nucleus
G236954,"plasma membrane"
G236965,endosome
G236991,"plasma membrane"
G237021,nucleus
G237038,golgi
G237105,golgi
G237120,"plasma membrane"
G237123,nucleus
G237134,ER
G237140,nucleus
G237142,cytoskeleton
G237160,nucleus
G237203,cytoskeleton
G237213,cytoskeleton
G237228,cytoskeleton
G237243,"plasma membrane"
G237261,nucleus
G237333,"plasma membrane"
G237335,"plasma membrane"
G237345,nucleus
G237391,cytoplasm
G237463,cytoskeleton
G237467,mitochondria
G237469,golgi
G237495,mitochondria
G237509,cytoplasm
G237524,cytoskeleton
G237561,mitochondria
G237575,"transport vesicles"
G237577,ER
G237594,mitochondria
G237598,ER
G237617,cytoplasm
G237624,nucleus
G237630,ER
G237661,cytoplasm
G237663,mitochondria
G237674,nucleus
G237702,cytoplasm
G237732,nucleus
G237743,nucleus
G237760,ER
G237778,cytoplasm
G237803,golgi
G237824,endosome
G237833,cytoplasm
G237843,cytoplasm
G237845,mitochondria
G237857,vacuole
G237865,vacuole
G237879,nucleus
G237884,mitochondria
G237892,peroxisome
G237896,cytoplasm
G237916,cytoplasm
G237936,"plasma membrane"
G237945,cytoplasm
G237969,ER
G237982,cytoplasm
G238014,peroxisome
G238024,golgi
G238033,ER
G238035,ER
G238049,mitochondria
G238061,"plasma membrane"
G238069,mitochondria
G238102,mitochondria
G238117,nucleus
G238136,nucleus
G238149,nucleus
G238172,"lipid particles"
G238190,cytoplasm
G238191,nucleus
G238195,cytoplasm
G238234,nucleus
G238235,mitochondria
G238238,cytoplasm
G238282,ER
G238295,nucleus
G238307,nucleus
G238387,cytoplasm
G238391,nucleus
G238392,cytoskeleton
G238415,nucleus
G238448,cytoplasm
G238472,nucleus
G238498,ER
G238510,nucleus
G238527,ER
G238540,nucleus
G238564,nucleus
G238567,cytoskeleton
G238610,cytoskeleton
G238621,peroxisome
G238637,nucleus
G238640,cytoskeleton
G238643,nucleus
G238677,nucleus
G238695,mitochondria
G238704,nucleus
G238715,nucleus
G238740,nucleus
G238760,nucleus
G238786,golgi
G238789,nucleus
G238793,nucleus
G238857,ER
G238885,cytoplasm
G238891,ER
G238895,cytoplasm
G238916,ER
G238928,mitochondria
G238933,nucleus
G238935,ER
G238942,mitochondria
G238946,cytoplasm
G238954,"integral membrane"
G238968,cytoplasm
G238990,ER
G239008,nucleus
G239010,nucleus
G239017,nucleus
G239037,mitochondria
G239048,nucleus
G239063,nucleus
G239098,peroxisome
G239101,cytoplasm
G239123,nucleus
G239178,nucleus
G239186,nucleus
G239188,mitochondria
G239196,nucleus
G239223,cytoplasm
G239247,cytoplasm
G239266,cytoplasm
G239294,cytoplasm
G239316,cytoplasm
G239321,golgi
G239341,golgi
G239392,cytoplasm
G239393,peroxisome
G239420,mitochondria
G239428,cytoplasm
G239438,nucleus
G239467,nucleus
G239476,nucleus
G239488,ER
G239523,peroxisome
G239536,cytoplasm
G239544,cytoplasm
G239626,mitochondria
G239628,nucleus
G239640,golgi
G239653,nucleus
G239672,mitochondria
G239673,cytoplasm
G239711,"plasma membrane"
G239733,nucleus
G239770,cytoplasm
G239777,mitochondria
G239782,nucleus
G239789,cytoplasm
G239804,nucleus
G239832,cytoplasm
G239837,cytoplasm
G239853,"integral membrane"
G239877,nucleus
G239882,mitochondria
G239950,nucleus
G239952,ER
G239965,cytoplasm
G239966,cytoplasm
G239975,nucleus
G239976,nucleus
G239986,nucleus
G240012,cytoplasm
G240017,nucleus
G240030,"plasma membrane"
G240032,peroxisome
G240043,cytoplasm
G240048,cytoplasm
G240065,cytoplasm
G240099,cytoplasm
G240271,nucleus
G240292,cytoplasm
G240301,vacuole
G240303,nucleus
G240323,mitochondria
G240337,nucleus
G240346,ER
G240400,cytoplasm
G240410,cytoplasm
G240468,cytoplasm
G240490,nucleus
G240494,cytoplasm
G240504,cytoplasm
