id,rank2,book2,author2,ratings2,reviews2,type2,price2
84,85,"Where Do Diggers Sleep at Night?",Brianna Caplan Sayres,4.8,1569,Board book,6.14
85,86,"The 7 Habits of Highly Effective People",Stephen R. Covey,4.5,5426,Paperback,9.68
86,87,"Whiskey in a Teacup",Reese Witherspoon,4.7,616,Hardcover,19.49
87,88,"Man's Search for Meaning",Viktor E. Frankl,4.7,4959,Paperback,0
88,89,"The Great Alone",Kristin Hannah,4.6,6902,Hardcover,15.83
89,90,"The Total Money Makeover",Dave Ramsey,4.7,5772,Hardcover,14.6
90,91,"Cravings",Chrissy Teigen,4.7,332,Hardcover,18.25
91,92,"The Handmaid's Tale",Margaret Atwood,4.1,14663,Paperback,9.49
92,93,"The Gifts of Imperfection",Bren� Brown,4.6,4057,Paperback,8.97
93,94,"The Great Gatsby",F. Scott Fitzgerald,4.2,7527,Paperback,11.25
94,95,"The Body Keeps the Score",,4.8,2005,Paperback,10.8
95,96,"Gmorning, Gnight!",Lin-Manuel Miranda,4.7,285,Hardcover,15.49
96,97,"Rich Dad Poor Dad",Robert T. Kiyosaki,4.5,8611,Mass Market Paperback,6.45
97,98,"Make Your Bed",William H. McRaven,4.7,2582,Hardcover,11
98,99,"Harry Potter Paperback Box Set (Books 1-7)",J. K. Rowling,4.7,7742,Paperback,54.99
99,100,"Xanathar's Guide to Everything (Dungeons & Dragons)",Wizards RPG Team,4.5,743,Hardcover,31.56
