id,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
37,"Casenote Legal Briefs for Business Organizations, Keyed to Smiddy and Cunningham",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,15/03/2011,252
38,No Oath Sworn,['Phil Geusz'],en,['Fiction'],,NOT_MATURE,Lulu.com,01/12/2012,226
39,Southern Writers,"['Joseph M. Flora', 'Amber Vogel']",en,['Reference'],,NOT_MATURE,LSU Press,21/06/2006,504
40,Therapist's Guide to Positive Psychological Interventions,['Jeana L. Magyar-Moe'],en,['Psychology'],,NOT_MATURE,Academic Press,30/07/2009,200
41,A Handbook for the Study of Mental Health,"['Teresa L. Scheid', 'Eric R. Wright']",en,['Medical'],,NOT_MATURE,Cambridge University Press,08/06/2017,736
42,Foundations of Professional Psychology,['Timothy P Melchert'],en,['Psychology'],,NOT_MATURE,Elsevier,12/07/2011,262
43,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,19/04/2016,528
44,Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],,NOT_MATURE,Routledge,07/06/2006,184
45,The Courage to Write,['Ralph Keyes'],en,['Language Arts & Disciplines'],4,NOT_MATURE,Holt Paperbacks,01/10/2003,240
46,Epidemiology Matters,"['Katherine M. Keyes', 'Sandro Galea']",en,['Medical'],,NOT_MATURE,Oxford University Press,17/06/2014,304
47,"Thermodynamic Functions of Gases: Ammonia, carbon dioxide and carbon monoxide",['F. Din'],en,['Gases'],,NOT_MATURE,,1956,175
48,Journal of Heat Transfer,,en,['Heat'],,NOT_MATURE,,1964,
49,Data Modeling Essentials,"['Graeme Simsion', 'Graham Witt']",en,['Computers'],4,NOT_MATURE,Elsevier,03/12/2004,560
50,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],,NOT_MATURE,Houghton Mifflin Harcourt,07/03/2001,66
51,The Infernal City: An Elder Scrolls Novel,['Greg Keyes'],en,['Fiction'],3.5,NOT_MATURE,Del Rey,24/11/2009,304
52,Sushi for Beginners,['Marian Keyes'],en,['Fiction'],3.5,NOT_MATURE,Harper Collins,17/03/2009,448
53,Angels,['Marian Keyes'],en,['Fiction'],4,NOT_MATURE,Harper Collins,17/03/2009,448
54,Science Fiction and Fantasy Literature,"['R. Reginald', 'Douglas Menville', 'Mary A. Burgess']",en,['Reference'],,NOT_MATURE,Wildside Press LLC,2010-09,800
55,Independence Day: Crucible,['Greg Keyes'],en,['Fiction'],,NOT_MATURE,Titan Books,27/05/2016,384
56,The Mammoth Encyclopedia of Science Fiction,['George Mann'],en,['Fiction'],3,NOT_MATURE,Hachette UK,01/03/2012,160
57,The Mystery of Mercy Close,['Marian Keyes'],en,['Fiction'],3.5,NOT_MATURE,Penguin,09/04/2013,400
58,The New Orleans of Fiction,['James A. Kaser'],en,['Literary Criticism'],,NOT_MATURE,Scarecrow Press,29/07/2014,426
59,Lord of Souls,['J. Gregory Keyes'],en,['Fiction'],3,NOT_MATURE,Ballantine Books,2011,316
60,"The Dardanelles Campaign, 1915",,en,['History'],,NOT_MATURE,Greenwood Publishing Group,1997,163
61,The Routledge Handbook of Stylistics,['Michael Burke'],en,['Language Arts & Disciplines'],,NOT_MATURE,Routledge,27/11/2017,530
62,The Liberation Trilogy Box Set,['Rick Atkinson'],en,['History'],1,NOT_MATURE,Henry Holt and Company,22/10/2013,2416
63,Legacy Discovered,['Kerry Reis'],en,['Fiction'],,NOT_MATURE,Author House,2013-09,188
64,"Masterplots II, Short Story Series, Supplement",['Frank N. Magill'],en,['Juvenile Fiction'],,NOT_MATURE,,1996,1746
65,Elisha Jones House and Shed,"['James J. Lee (III.)', 'Historic Architecture Program (United States. National Park Service. Northeast Region)']",en,['Historic buildings'],,NOT_MATURE,,2007,207
66,An Unpredictable Gospel,['Jay Riley Case'],en,['Religion'],,NOT_MATURE,Oxford University Press,02/01/2012,328
67,Masterplots II.,['Charles Edward May'],en,['Study Aids'],,NOT_MATURE,Salem Pr Inc,2004-01,645
68,Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],,NOT_MATURE,BookCaps Study Guides,2011,
69,Stories and Poems for Opening Exercises,,en,"[""Children's stories""]",,NOT_MATURE,,1927,46
70,"The Encyclopedia of Superheroes on Film and Television, 2d ed.",['John Kenneth Muir'],en,['Performing Arts'],4,NOT_MATURE,McFarland,13/02/2004,704
71,Flowers for Algernon,['Patrice Cassedy'],en,['Juvenile Nonfiction'],,NOT_MATURE,,2000-01,96
72,Fishery Bulletin,,en,['Fisheries'],,NOT_MATURE,,1986,
73,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],,NOT_MATURE,Houghton Mifflin Harcourt,07/03/2001,66
74,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5,NOT_MATURE,Knopf Books for Young Readers,09/09/2014,240
75,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,09/09/2003,176
76,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,24/12/2008,320
77,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
78,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,24/12/2008,320
79,Caii Spectrum Or Dr. Keyes's Charge Against Dr. M -- [i.e. Dr. Richard Mead],['John Caius (Spirit)'],en,['Communicable diseases'],,NOT_MATURE,,1721,22
80,Resources in Education,,en,['Education'],,NOT_MATURE,,1977,
81,Chicano School Failure and Success,['Richard R. Valencia'],en,['Education'],,NOT_MATURE,Psychology Press,2002,383
82,The Politics of Hispanic Education,"['Kenneth J. Meier', 'Joseph Stewart']",en,['Education'],,NOT_MATURE,SUNY Press,01/01/1991,275
83,Desegregation and Education Concerns of the Hispanic Community,,en,"['Education, Bilingual']",,NOT_MATURE,,1977,103
84,Linguistic Diversity and National Unity,['William A. Smalley'],en,['Foreign Language Study'],,NOT_MATURE,University of Chicago Press,15/06/1994,436
85,Synergic Integration of Formal and Informal E-Learning Environments for Adult Lifelong Learners,"['Leone, Sabrina']",en,['Education'],,NOT_MATURE,IGI Global,31/10/2013,337
86,"Race and Education, 1954-2007",['Raymond Wolters'],en,['Education'],,NOT_MATURE,University of Missouri Press,2008,313
87,Wade Keyes' introductory lecture to the Montgomery Law School,"['David I. Durham', 'Wade Keyes', 'Paul M. Pruitt']",en,['Law'],,NOT_MATURE,,2001,45
88,Education and the Cult of Efficiency,['Raymond E. Callahan'],en,['Education'],,NOT_MATURE,University of Chicago Press,15/03/1964,286
89,Readings on Equal Education,"['Abbas Tashakkori', 'Salvador Hector Ochoa']",en,['Socially handicapped children'],,NOT_MATURE,,1999,271
90,The Worcester Directory,,en,['Worcester (Mass.)'],,NOT_MATURE,,1866,
91,American Predator,['Maureen Callahan'],en,['True Crime'],4,NOT_MATURE,Penguin,02/07/2019,304
92,Kill Rommel!,['Gavin Mortimer'],en,['History'],,NOT_MATURE,Bloomsbury Publishing,20/02/2014,80
93,Murder in Hollywood,['Charles Higham'],en,['Biography & Autobiography'],,NOT_MATURE,Terrace Books,22/02/2006,227
94,"The Somerville, Arlington and Belmont Directory",,en,,,NOT_MATURE,,1869,
95,"Greenough, Jones & Co's New Directory of the Inhabitants, Institutions, Manufacturing Establishments, Business, Societies, Business Firms, Etc. Etc. in the City and Town of New Haven for ...",,en,['Business enterprises'],,NOT_MATURE,,1874,
96,Benham's Embracing a Limited Sketch of Yale College,,en,,,NOT_MATURE,,,
97,The Wisconsin Magazine of History,,en,,,NOT_MATURE,,1947,
98,Wisconsin magazine of history,['State Historical Society of Wisconsin'],en,['Wisconsin'],,NOT_MATURE,,1948,
99,Rutland Directory,,en,['Rutland (Vt.)'],,NOT_MATURE,,1877,
100,New Evidence on School Desegregation,['Finis Welch'],en,['African Americans'],,NOT_MATURE,,1987,176
101,Brunswick,['Sharon Martin Zankel'],en,['History'],,NOT_MATURE,Arcadia Publishing,27/10/1998,128
102,Downstage Dead,['Bruce Barber'],en,['Actors'],,NOT_MATURE,Pasdeloup Press,01/02/2007,203
103,School as Community,['Gail Furman'],en,['Education'],,NOT_MATURE,SUNY Press,01/02/2012,315
104,Euphemania,['Ralph Keyes'],en,['Language Arts & Disciplines'],,MATURE,Hachette UK,14/12/2010,288
105,Complex Justice,['Joshua M. Dunn'],en,['Political Science'],,NOT_MATURE,UNC Press Books,01/09/2012,240
106,"Five Miles Away, A World Apart",['James E. Ryan'],en,['Education'],,NOT_MATURE,Oxford University Press,06/08/2010,400
107,Learning Disabilities,"['William M. Cruickshank', 'William C. Morse', 'Jeannie Johns']",en,['Education'],,NOT_MATURE,Syracuse University Press,01/02/1980,296
108,California's Charter Schools,['California. Bureau of State Audits'],en,['Charter schools'],,NOT_MATURE,,2002,219
109,America in Black and White,"['Stephan Thernstrom', 'Abigail Thernstrom']",en,['Social Science'],,NOT_MATURE,Simon and Schuster,14/07/2009,704
110,PC Mag,,en,,,NOT_MATURE,,24/02/1987,362
111,PC Mag,,en,,,NOT_MATURE,,10/02/1987,400
112,PC Mag,,en,,,NOT_MATURE,,13/01/1987,374
113,PC Mag,,en,,,NOT_MATURE,,27/09/1988,406
114,PC Mag,,en,,,NOT_MATURE,,26/04/1988,356
115,Computer Decisions,,en,['Electronic data processing'],,NOT_MATURE,,1987,
116,Fifth International Symposium on Domain Decomposition Methods for Partial Differential Equations,['David E. Keyes'],en,['Mathematics'],,NOT_MATURE,SIAM,01/01/1992,623
117,Personal Computing,,en,['Microcomputers'],,NOT_MATURE,,1989-09,
118,Data sources,,en,['Computer industry'],,NOT_MATURE,,2000,
119,History of the ... Economic Censuses,,en,['Economic surveys'],,NOT_MATURE,,1992,
120,A University of Tradition,['Purdue Reamer Club'],en,['Education'],,NOT_MATURE,Purdue University Press,2012-11,256
121,Biology Pamphlets,,en,['Biology'],,NOT_MATURE,,1898,
122,Biology of the Uterus,"['W. Jollie', 'R.M. Wynn']",en,['Medical'],,NOT_MATURE,Springer Science & Business Media,29/06/2013,644
123,Prophets of Agroforestry,['Richard K. Reed'],en,['History'],,NOT_MATURE,University of Texas Press,19/02/2014,271
124,"Periodontal Disease, Assessing the Effectiveness and Costs of the Keyes Technique",['Richard M. Scheffler'],en,['Medical instruments and apparatus'],,NOT_MATURE,,1981,32
125,Columbia University Quarterly,,en,,,NOT_MATURE,,1913,
126,Advances in Experimental Medicine and Biology,['Constance Kies'],en,['Biology'],,NOT_MATURE,,1989,307
127,Biology and Pathology of the Oocyte,"['Alan O. Trounson', 'Roger G. Gosden']",en,['Medical'],,NOT_MATURE,Cambridge University Press,10/07/2003,350
128,A. B. Bookman's Weekly,,en,['Antiquarian booksellers'],,NOT_MATURE,,1987-07,
129,Human Biology,"['Sara Stinson', 'Barry Bogin', ""Dennis H. O'Rourke""]",en,['Social Science'],,NOT_MATURE,John Wiley & Sons,19/03/2012,780
130,Quarterly Report,['Northwest and Alaska Fisheries Center (U.S.)'],en,['Fisheries'],,NOT_MATURE,,1983,
131,The Anatomy of Hope,['Jerome Groopman'],en,['Health & Fitness'],4,NOT_MATURE,Random House,23/12/2003,272
132,The Journal of the American Medical Association,['American Medical Association'],en,['American Medical Association'],,NOT_MATURE,,1894,
133,Bioethical and Evolutionary Approaches to Medicine and the Law,['W. Noel Keyes'],en,['Medical'],,NOT_MATURE,American Bar Association,2007,1174
134,Official Gazette of the United States Patent Office,['United States. Patent Office'],en,['Patents'],,NOT_MATURE,,1906,
135,Directory ... American College of Physicians,['American College of Physicians'],en,['Medicine'],,NOT_MATURE,,1935,
136,The Azusa Street Mission and Revival,['Cecil M. Robeck'],en,['History'],4,NOT_MATURE,Thomas Nelson,04/03/2006,354
137,Directory,['American College of Physicians'],en,['Medicine'],,NOT_MATURE,,1937,
138,"Periodontal disease, assessing the effectiveness and costs of the Keyes technique",,en,,,NOT_MATURE,DIANE Publishing,,
139,Standard Directory of Advertising Agencies,,en,['Advertising'],,NOT_MATURE,National Register,1994-01,
140,Mental Health Challenges in Elite Sport: Balancing Risk with Reward,"['Tadhg Eoghan MacIntyre', 'Judy Van Raalte', ' Britton W. Brewer', ' Marc Jones', 'Deirdre O’Shea', 'Paul Joseph McCarthy']",en,,,NOT_MATURE,Frontiers Media SA,29/01/2018,
141,"Sport, the Third Millennium","['Fernand Landry', 'Marc Landry', 'Magdeleine Yerlès', 'International Olympic Committee']",en,['Mass media and sports'],,NOT_MATURE,Presses Université Laval,1991,809
142,"Casenote Legal Briefs for Sports Law, Keyed to Weiler, Roberts, Abrams, and Ross",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,28/02/2011,180
143,"Women, Sport, and Physical Activity",['Helen Lenskyj'],en,['Feminist criticism'],,NOT_MATURE,Sport Info Resource Centre,1994,46
144,A Concise history of sport in Canada,['Don Morrow'],en,['History'],,NOT_MATURE,"Oxford University Press, USA",01/10/1989,393
145,Biography and Genealogy Master Index 2003,['Kathy Nemeh'],en,['Reference'],,NOT_MATURE,Gale / Cengage Learning,2002-03,932
146,Biography and Genealogy Master Index,,en,['Biography'],,NOT_MATURE,,1998,
147,Sams Teach Yourself Perl in 21 Days,"['Laura Lemay', 'Rafe Colburn', 'Richard Colburn']",en,['Computers'],3.5,NOT_MATURE,Sams Publishing,2002,676
148,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,24/12/2008,320
149,"Casenote Legal Briefs for Taxation, Keyed to Freeland, Lathrope, and Stephens",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,15/11/2013,156
150,The Mystery of Sex,['Elizabeth Keyes'],en,['Love'],,NOT_MATURE,Gentle Living Publications,1975,115
151,Delirium,['Nancy L. Cohen'],en,['Political Science'],,NOT_MATURE,Catapult,01/09/2012,415
152,American Movie Critics,['Phillip Lopate'],en,['Performing Arts'],5,NOT_MATURE,,2006,720
153,The International Encyclopedia of Sexuality: Spain to the United States,['Robert T. Francoeur'],en,['Psychology'],,MATURE,Burns & Oates,1997,1737
154,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],,NOT_MATURE,Houghton Mifflin Harcourt,07/03/2001,66
155,"The American Bar, the Canadian Bar, the International Bar",,en,['Lawyers'],,NOT_MATURE,,1988,
156,"Family Law, Keyed to Ellman, Kurtz, & Barlett",['Casenotes'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,29/04/2005,128
157,"Casenote Legal Briefs for Property Keyed to Dukeminier, Krier, Alexander, Schill, Strahilevitz",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,15/09/2017,138
158,"Family Law, Keyed to Krause, Elrod, Garrison & Oldham",['Casenotes'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,11/11/2004,208
159,"Family Law, Keyed to Weisberg and Appleton's","['Casenotes', 'Casenote Legal Briefs']",en,['Law'],,NOT_MATURE,Aspen Publishers Online,03/03/2010,204
160,Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],,NOT_MATURE,Routledge,07/06/2006,184
161,"The Tryals and Condemnation of Robert Charnock, Edward King, and Thomas Keyes, for the Horrid and Execrable Conspiracy to Assassinate His Sacred Majesty K. William, in Order to a French Invasion of this Kingdom",['Robert Charnock'],en,"['Lancashire Plot, 1689-1694']",,NOT_MATURE,,1696,76
162,Adult Development and Aging,"['John C. Cavanaugh', 'Fredda Blanchard-Fields']",en,['Psychology'],,NOT_MATURE,Cengage Learning,01/01/2010,625
163,Saved by Cake,['Marian Keyes'],en,['Cooking'],4.5,NOT_MATURE,Penguin,02/04/2013,240
164,Science and the Riddle of Consciousness,['Jeffrey Foss'],en,['Computers'],,NOT_MATURE,Springer Science & Business Media,31/08/2000,225
165,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
166,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,24/12/2008,320
167,"Environmental Law, Keyed to Plater, Abrams, Goldfarb, Graham, Heinzerling & Wirth",['Casenotes'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,2004,115
168,Beyond Identity,['Dick Keyes'],en,,,NOT_MATURE,Destinee S.A.,01/06/2012,214
169,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,09/09/2003,176
170,"Bel Marin Keys Development, Unit 5, 404 Permit",,en,,,NOT_MATURE,,1982,
171,Handbook of Midlife Development,['Margie E. Lachman'],en,['Psychology'],,NOT_MATURE,John Wiley & Sons,14/03/2002,672
172,Textbook of Operative Dentistry,"['Nisha Garg', 'Amit Garg']",en,['Medical'],,NOT_MATURE,Boydell & Brewer Ltd,2010-08,520
173,Legacy Discovered,['Kerry Reis'],en,['Fiction'],,NOT_MATURE,Author House,2013-09,188
174,Parasitic Orobanchaceae,"['Daniel M. Joel', 'Jonathan Gressel', 'Lytton J. Musselman']",en,['Science'],,NOT_MATURE,Springer Science & Business Media,01/07/2013,513
175,Strategies and Saints,['Langley Carleton Keyes'],en,['Social Science'],,NOT_MATURE,The Urban Insitute,01/01/1992,243
176,The Economist Development Report,,en,['International economic relations'],,NOT_MATURE,,1986,
177,"The Handbook of Life-Span Development, Volume 1","['Richard M. Lerner', 'Willis F. Overton']",en,['Psychology'],,NOT_MATURE,John Wiley & Sons,14/12/2010,1040
178,Journal of the Iowa Archeological Society,['Iowa Archeological Society'],en,['Indians of North America'],,NOT_MATURE,,2000,
179,Localizing development,['Henry D. Delcore'],en,,,NOT_MATURE,,2000,354
180,"Oxford English-Arabic Dictionary, Al-Muhit, 1996",['Dr. Mohamad Badawi'],ar,['Reference'],,NOT_MATURE,Bukupedia ,06/06/1996,1249
181,"Al-Muhit-English-Arabic Oxford Study Dictionary, Dr. Mohamad Badawi, 1996",['Academia Internatinal Publication'],ar,['Reference'],,NOT_MATURE,Bukupedia ,16/07/1996,1249
182,"English-Arabic Oxford-Duden Pictorial Dictionary, 2003",['Oxford University Press'],ar,['Reference'],,NOT_MATURE,Bukupedia ,03/07/2003,490
183,Get Rommel,['Michael Asher'],en,['History'],3.5,NOT_MATURE,Hachette UK,01/12/2011,320
184,Omega,,en,['Bereavement'],,NOT_MATURE,,2002,
185,Mastering Arabic 1,"['Jane Wightwick', 'Mahmoud Gaafar']",en,['Foreign Language Study'],3,NOT_MATURE,Macmillan International Higher Education,19/10/2007,384
186,Arabic Musical Scales,['Cameron Powers'],en,['Music'],,NOT_MATURE,cameron powers,2005,56
187,Advanced standard Arabic through authentic texts and audiovisual materials: Audiovisual materials,['Raji M. Rammuny'],ar,['Foreign Language Study'],,NOT_MATURE,University of Michigan Press,1994,128
188,اللغة العربية للمراحل المتقدمة من خلال نصوص ومواد سمعية بصرية أصيلة,['Raji M. Rammuny'],ar,['Foreign Language Study'],,NOT_MATURE,University of Michigan Press,1994,344
189,Geoffrey Keyes,['Elizabeth Keyes'],en,['History'],,NOT_MATURE,,1956,278
190,صغر عقلك,['معتز مشعل'],ar,"['Body, Mind & Spirit']",,NOT_MATURE,Dar Dawen ,01/01/2019,246
191,الآراء والمعتقدات,['غوستاف لوبون'],ar,,,NOT_MATURE,دار المحرر الأدبي,,232
192,دع القلق وابدأ الحياة,['ديل كارنيجي'],ar,['Psychology'],1,NOT_MATURE,ktab INC.,03/03/2019,315
193,كيف أصبحوا عظماء,['سعد سعود الكريباني'],ar,['Self-Help'],,NOT_MATURE,العبيكان للنشر,03/05/2015,212
194,١٠١ طريقة بسيطة لتكون ناجحًا مع نفسك,['Donna Watson'],ar,['Self-Help'],,NOT_MATURE,العبيكان للنشر,15/09/2014,136
195,الثقة بالنفس وتطوير الذات,['أسامة شاهين'],ar,['Psychology'],,NOT_MATURE,Al Manhal,01/01/2018,64
196,فن وأسرار اتخاذ القرار,['د. إبراهيم الفقي'],ar,['Self-Help'],,NOT_MATURE,Sama For Publishing & Distributiom,01/01/2017,88
197,دراسات سيكلوجية,['سلامة موسى/-/-'],ar,['Literary Collections'],,NOT_MATURE,ktab INC.,01/01/2012,101
198,أيقظ قواك الخفية (كيف تتحكم فوراً بمستقبلك الذهني والعاطفي والجسماني والمالي),['أنتوني روبنز'],ar,,,NOT_MATURE,,2002,559
199,قوة التحكم في الذات,"['د. إبراهيم الفقي', 'ابراهيم الفقى']",ar,['Self-Help'],1,NOT_MATURE,Sama For Publishing & Distributiom,01/01/2017,128
200,Advances in Electronics and Electron Physics,,en,['Computers'],,NOT_MATURE,Academic Press,15/04/1988,368
201,Advances in Chemical Physics,"['Ilya Prigogine', 'Stuart A. Rice']",en,['Science'],,NOT_MATURE,John Wiley & Sons,08/09/2009,586
202,Advances in Imaging and Electron Physics,['Peter W. Hawkes'],en,['Technology & Engineering'],,NOT_MATURE,Elsevier,29/07/2011,352
203,The physics of VLSI systems,['Robert W. Keyes'],en,['Computers'],,NOT_MATURE,Addison Wesley Publishing Company,1987,243
204,American Men of Science,,en,['Scientists'],,NOT_MATURE,,1960,
205,Directory of Physics & Astronomy Staff Members,,en,['Physics'],,NOT_MATURE,,1977,
206,American men & women of science,"['Jaques Cattell Press', 'R.R. Bowker Company']",en,['Biography & Autobiography'],,NOT_MATURE,,01/01/1977,1100
207,The Complete Guide to Blender Graphics,['John M. Blain'],en,['Computers'],,NOT_MATURE,CRC Press,15/04/2019,522
208,"The world of learning, 2001",['51st Ed'],en,['Education'],,NOT_MATURE,Routledge,22/11/2000,2192
209,The Europa world of learning,['Driss Fatih'],en,['Education'],,NOT_MATURE,,2005,2708
210,A Survey of American Chemistry,['National Research Council (U.S.). Division of Chemistry and Chemical Technology'],en,['Chemistry'],,NOT_MATURE,National Academies,1932,
211,Annual Report for Fiscal Year ...,['National Science Foundation (U.S.)'],en,['Research'],,NOT_MATURE,,1962,
212,Biographical Memoirs,"['National Academy of Sciences', 'Office of the Home Secretary']",en,['Biography & Autobiography'],,NOT_MATURE,National Academies Press,01/07/1998,388
213,Commencement,"['University of California, Berkeley']",en,,,NOT_MATURE,,1960,
214,"Organic Chemistry, Volume One",['Frank C. Whitmore'],en,['Science'],,NOT_MATURE,Courier Corporation,13/11/2012,608
215,American Men of Science,,en,['Canada'],,NOT_MATURE,,1944,
216,Timetable,,en,,,NOT_MATURE,,1937,
217,The Journal of Engineering Education,,en,['Engineering'],,NOT_MATURE,,1946,
218,Imperfect Chemistry,['Mary Frame'],en,['Fiction'],4.5,NOT_MATURE,Mary Frame,23/04/2014,198
