id,compound_id,species_text,species_accession,component_text,component_accession,strain_text,source_type,source_accession,comments
23,65373,Agelas nakamurai,NCBI:txid279581,,,,PubMed Id,14677933,
24,65374,Aglaia elliptifolia,IPNI:577069-1,stem,BTO:0001300,,DOI,10.1016/0014-2999(92)90156-X,
25,65374,Aglaia odorata,NCBI:txid210347,leaf,BTO:0000713,,DOI,10.1016/S0031-9422(00)94986-0,
26,65375,Agrobacterium sp.,NCBI:txid361,,,,PubMed Id,10656570,Marine Agrobacterium
27,65376,Ainsliaea macrocephala,NCBI:txid418270,whole plant,BTO:0001461,,PubMed Id,18484734,
28,65377,Aiphanes aculeata,NCBI:txid131249,seed,BTO:0001226,,PubMed Id,11440571,
29,65378,Albizia julibrissin,NCBI:txid3813,stem,BTO:0001300,,PubMed Id,15577257,Previous component: stem bark;
30,65379,Albizia chinensis,IPNI:473204-1,stem,BTO:0001300,,PubMed Id,19256478,Previous component: stem bark;
31,65380,Albizia chinensis,IPNI:473204-1,stem,BTO:0001300,,PubMed Id,19256478,Previous component: stem bark;
32,65381,Albizia chinensis,IPNI:473204-1,stem,BTO:0001300,,PubMed Id,19256478,Previous component: stem bark;
33,65382,Deep water sponge,,,,,PubMed Id,18512987,
34,65383,Deep water sponge,,,,,PubMed Id,18512987,
35,65384,Deep water sponge,,,,,PubMed Id,18512987,
36,65385,Deep water sponge,,,,,PubMed Id,18512987,
37,65386,Alisma orientale,NCBI:txid262913,rhizome,BTO:0001181,,PubMed Id,17541191,
38,65387,Allanblackia monticola,IPNI:427045-1,stem,BTO:0001300,,PubMed Id,16394561,Previous component: stem bark;
39,65388,Aloe barbadensis,IPNI:529240-1,leaf,BTO:0000713,,PubMed Id,8778246,
40,65389,Stemphylium globuliferum,NCBI:txid245170,,,,PubMed Id,19271717,Endophytic fungi isolated from stem tissue of Mentha pulegium
41,65390,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
42,65391,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
43,65392,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
44,65393,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
45,65394,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
46,65395,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
47,65396,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
48,65397,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
49,65398,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
50,65399,Alvaradoa haitiensis,IPNI:10503-2,leaf,BTO:0000713,,PubMed Id,17552563,
51,2622,Swertia chirata,IPNI:60447539-2,,,,DOI,10.1016/S0040-4039(00)72792-4,
52,2622,Swertia mileensis,NCBI:txid266086,,,,PubMed Id,8720386,
53,2622,Swertia japonica,NCBI:txid137129,,,,DOI,10.1055/s-2008-1074888,
54,65400,Fischerella,NCBI:txid1190,,,,PubMed Id,17315959,MeOH-Water extract (7:3) of Cyanobacterium culture
55,65401,Fischerella,NCBI:txid1190,,,,PubMed Id,17315959,MeOH-Water extract (7:3) of Cyanobacterium culture
56,65402,Amburana cearensis,NCBI:txid149628,trunk bark,BTO:0001494,,DOI,10.1016/S0031-9422(98)00497-X,
57,2631,Taxus baccata,NCBI:txid25629,,,,Article,"INDIAN J CHEM,35B,283",
58,2631,Lanaria lanata,NCBI:txid59087,,,,DOI,10.1021/np50075a007,
59,2631,Juniperus occidentalis,NCBI:txid114265,,,,PubMed Id,12372862,
60,2631,Cupressus sempervirens,NCBI:txid13469,,,,DOI,10.1021/np50051a032,
61,2631,Selaginella pulvinata,NCBI:txid672198,,,,PubMed Id,11256492,
62,2631,Selanginella moellendorfii,NCBI:txid88036,,,,PubMed Id,11256492,
63,2631,Thuja orientalis,NCBI:txid58046,,,,PubMed Id,19280159,
64,2631,Biophytum sensitivum,IPNI:371965-1,,,,PubMed Id,18298378,
65,2631,Selaginella braunii,ITIS:17074,,,,PubMed Id,11256492,
66,2631,Ginkgo biloba,NCBI:txid3311,,,,PubMed Id,3212094,
67,2631,Selaginella stauntoniana,NCBI:txid137175,,,,PubMed Id,11256492,
68,2631,Selaginella tamariscina,NCBI:txid137178,,,,PubMed Id,11256492,
69,2631,Selaginella davidii,NCBI:txid417315,,,,PubMed Id,11256492,
70,2631,Cupressus cashmeriana,NCBI:txid187464,,,,DOI,10.1021/np50051a032,
71,2631,Hypericum perforatum,NCBI:txid65561,,,,PubMed Id,16084098,
72,2631,Cycas rumphii,NCBI:txid58031,,,,PubMed Id,15130600,
73,2631,Selaginella uncinata,NCBI:txid307165,,,,PubMed Id,11256492,
74,2631,Taxodium mucronatum,NCBI:txid99812,,,,PubMed Id,16084098,
75,2631,Selaginella sinensis,NCBI:txid137174,,,,PubMed Id,11256492,
76,2631,Selaginella doederleinii,NCBI:txid186426,,,,PubMed Id,11256492,
77,65404,Amomum aculeatum,NCBI:txid1076729,leaf,BTO:0000713,,PubMed Id,18260638,
78,65405,Amomum aculeatum,NCBI:txid1076729,leaf,BTO:0000713,,PubMed Id,18260638,
79,28429,Ampelopsis cantoniensis,NCBI:txid345095,root,BTO:0001188,,PubMed Id,17059013,
80,65406,Ancistrocladus tanzaniensis,NCBI:txid714107,leaf,BTO:0000713,,PubMed Id,14510589,
81,65407,Ancistrocladus tanzaniensis,NCBI:txid714107,leaf,BTO:0000713,,PubMed Id,14510589,
82,65408,Andrographis paniculata,NCBI:txid175694,root,BTO:0001188,,PubMed Id,15894448,
83,65408,Andrographis paniculata,NCBI:txid175694,leaf,BTO:0000713,,PubMed Id,15894448,
84,65409,Annona montana,NCBI:txid49857,trunk bark,BTO:0001494,,DOI,10.1039/P19820001205,
85,65409,Annona montana,NCBI:txid49857,root,BTO:0001188,,DOI,10.1039/P19820001205,Previous component: root bark;
86,65409,Annona foteida,IPNI:72204-1,bark,BTO:0001301,,PubMed Id,16499336,
87,65410,Anogeissus acuminata,NCBI:txid155018,stem,BTO:0001300,,PubMed Id,7525878,Ground stem
88,65411,Anogeissus acuminata,NCBI:txid155018,stem,BTO:0001300,,PubMed Id,7525878,Ground stem
89,65412,Streptomyces sp.,NCBI:txid1931,,,USF 4727,PubMed Id,18776684,
90,65413,Streptomyces sp.,NCBI:txid1931,,,K01-0031,PubMed Id,15813185,
91,65414,Taiwanofungus camphoratus,NCBI:txid196114,,,,PubMed Id,17559265,Parasitic fungi on fruiting body of Cinnamomum kanehirai
92,65415,Taiwanofungus camphoratus,NCBI:txid196114,mycelium,BTO:0001436,,PubMed Id,17932820,Fermented Mycelium
93,65416,Aplysia kurodai,NCBI:txid6501,,,,PubMed Id,11302194,
94,65417,Aplysinella,NCBI:txid283412,,,,PubMed Id,18401846,
95,65418,Aplysinopsis digitata,WORMS:190040,,,,PubMed Id,18461996,
96,65419,Aplysinopsis digitata,WORMS:190040,,,,PubMed Id,18461996,
97,65420,Aplysinopsis digitata,WORMS:190040,,,,PubMed Id,18461996,
98,65421,Lyngbya majuscula,NCBI:txid158786,,,,PubMed Id,18444683,
99,65421,Lyngbya sordida,NCBI:txid748015,,,,PubMed Id,18444683,
100,35212,Lyngbya majuscula,NCBI:txid158786,,,,PubMed Id,11389621,
101,35212,Lyngbya bouillonii,NCBI:txid207920,,,PS372,PubMed Id,18461997,
102,65422,Lyngbya bouillonii,NCBI:txid207920,,,PS372,PubMed Id,18461997,
103,65423,Ardisia japonica,NCBI:txid276775,whole plant,BTO:0001461,,PubMed Id,17397219,
104,65424,Ardisia pusilla,NCBI:txid587403,whole plant,BTO:0001461,,PubMed Id,19039733,
105,65425,Ardisia japonica,NCBI:txid276775,whole plant,BTO:0001461,,PubMed Id,17243725,
106,65426,Ardisia japonica,NCBI:txid276775,whole plant,BTO:0001461,,PubMed Id,17243725,
107,65427,Ardisia japonica,NCBI:txid276775,whole plant,BTO:0001461,,PubMed Id,17243725,
108,65428,Ardisia japonica,NCBI:txid276775,whole plant,BTO:0001461,,PubMed Id,17243725,
109,65429,Ardisia japonica,NCBI:txid276775,whole plant,BTO:0001461,,PubMed Id,17243725,
110,65430,Ardisia colorata,NCBI:txid1009002,fruit,BTO:0000486,,PubMed Id,11767097,Dried fruit
111,65431,Ardisia colorata,NCBI:txid1009002,fruit,BTO:0000486,,PubMed Id,11767097,Dried fruit
112,65432,Ardisia colorata,NCBI:txid1009002,fruit,BTO:0000486,,PubMed Id,11767097,Dried fruit
113,65433,Salinispora arenicola,NCBI:txid168697,,,,PubMed Id,19117399,
114,65434,Salinispora arenicola,NCBI:txid168697,,,,PubMed Id,19117399,
115,65435,Penicillium,NCBI:txid5073,,,FO 4259,PubMed Id,7649881,
116,65436,Penicillium,NCBI:txid5073,,,FO 4259,PubMed Id,7649881,
117,65437,Penicillium,NCBI:txid5073,,,FO 4259-11,PubMed Id,10724008,UV irradiation induced mutant of Penicillium FO4259
118,65438,Penicillium,NCBI:txid5073,,,FO 4259-11,PubMed Id,10724008,UV irradiation induced mutant of Penicillium FO4259
119,65439,Artocarpus,NCBI:txid3488,xylem,BTO:0001468,,Article,"J SCI IND RES,1956,15B,183",Previous component: wood;
120,65439,Artocarpus heterophyllus,NCBI:txid3489,root,BTO:0001188,,DOI,10.1016/0031-9422(95)00135-T,
121,65439,Artocarpus chama,NCBI:txid709040,root,BTO:0001188,,PubMed Id,15165133,
122,65440,Artocarpus chama,NCBI:txid709040,root,BTO:0001188,,PubMed Id,15165133,
123,65441,Artocarpus elasticus,NCBI:txid709042,xylem,BTO:0001468,,PubMed Id,19280147,Previous component: wood;
124,65442,Artocarpus lanceifolius,NCBI:txid709049,bark,BTO:0001301,,PubMed Id,12490227,
125,65443,Penicillium asperosporum,NCBI:txid70097,,,KY 1635,DOI,10.1016/S0040-4039(01)92051-9,
126,65444,Penicillium purpurogenum,NCBI:txid28575,,,FO 6081,PubMed Id,2010354,
127,65445,Penicillium asperosporum,NCBI:txid70097,,,KY 1635,PubMed Id,8119857,
128,65446,Penicillium asperosporum,NCBI:txid70097,,,KY 1635,PubMed Id,8119857,
129,65447,Penicillium asperosporum,NCBI:txid70097,,,KY 1635,PubMed Id,8119857,
130,65448,Aplidium,NCBI:txid201956,,,,PubMed Id,17497807,
131,65449,Aplidium,NCBI:txid201956,,,,PubMed Id,17497807,
132,65450,Aspergillus ostianus,NCBI:txid138279,,,01F313,PubMed Id,18078344,
133,65451,Aspergillus ostianus,NCBI:txid138279,,,01F313,PubMed Id,1807834,
134,65452,Aspergillus ostianus,NCBI:txid138279,,,01F313,PubMed Id,18078344,
135,65453,Asphodelus microcarpus,IPNI:531525-1,root,BTO:0001188,,PubMed Id,17253862,
136,65453,Asphodelus microcarpus,IPNI:531525-1,bulb,BTO:0000159,,PubMed Id,17253862,
137,65454,Asphodelus microcarpus,IPNI:531525-1,root,BTO:0001188,,PubMed Id,17253862,
138,65454,Asphodelus microcarpus,IPNI:531525-1,bulb,BTO:0000159,,PubMed Id,17253862,
139,65455,Ilex asprella,NCBI:txid185493,leaf,BTO:0000713,,PubMed Id,8133297,
140,65456,Ilex asprella,NCBI:txid185493,leaf,BTO:0000713,,PubMed Id,8133297,
141,65457,Astragalus membranaceus,NCBI:txid649199,root,BTO:0001188,,DOI,10.1021/np50075a009,
142,65458,Aureobasidium,NCBI:txid5579,,,,PubMed Id,11213290,
143,65459,Sporormiella australis,NCBI:txid55178,,,MF5672,PubMed Id,7797434,
144,65460,Foeniculum vulgare,NCBI:txid48038,leaf,BTO:0000713,,DOI,10.1016/S0031-9422(00)94055-X,
145,65460,Berchemia floribunda,IPNI:716685-1,,,,DOI,10.1002/cbdv.200690067,
146,65460,Viscum album,NCBI:txid3972,twig,BTO:0001411,,PubMed Id,9179367,
147,65460,Rhododendron dauricum,NCBI:txid880079,whole plant,BTO:0001461,,DOI,10.1007/BF02329610,
148,65460,Hypericum hyssopifolium,IPNI:433504-1,aerial part,BTO:0001658,,PubMed Id,12787957,
149,65460,Polygonum aviculare,NCBI:txid137693,whole plant,BTO:0001461,,DOI,10.1016/S1572-557X(05)02007-6,
150,65460,Prunus serotina,NCBI:txid23207,,,,Article,"ACTA POLONIAE PHARMACEUTICA - DRUG RESEARCH,2005,62,2,127",
151,65460,Pyrola elliptica,NCBI:txid93825,,,,DOI,10.1016/S0031-9422(97)00878-9,
152,65460,Filipendula ulmaria,NCBI:txid57917,leaf,BTO:0000713,,DOI,10.1007/s10600-006-0064-z,
153,65460,Rumex crispus,NCBI:txid174649,leaf,BTO:0000713,,DOI,10.1002/ardp.19542870405,
154,65460,Rhododendron brachycarpum,NCBI:txid118365,leaf,BTO:0000713,,DOI,10.1007/BF02856638,
155,65460,Psidium guajava,NCBI:txid120290,leaf,BTO:0000713,,DOI,10.1016/j.foodchem.2010.03.088,
156,65460,Juglans regia,NCBI:txid51240,leaf,BTO:0000713,,Article,"CHINESE PHARMACEUTICAL JOURNAL,2009,44,7,496",
157,65460,Chaenomeles sinensis,NCBI:txid36622,,,,PubMed Id,14600382,
158,65460,Reynoutria sachalinensis,NCBI:txid76036,flower,BTO:0000469,,DOI,10.1007/BF02975130,
159,65460,Vaccinium vitisidaea var. minus,NCBI:txid180772,leaf,BTO:0000713,,PubMed Id,17177509,
160,65461,Bacillus cereus,NCBI:txid1396,,,NR2991,PubMed Id,8071129,
161,65462,Ballota limbata,IPNI:444966-1,whole plant,BTO:0001461,,PubMed Id,15056960,
162,65463,Ballota limbata,IPNI:444966-1,whole plant,BTO:0001461,,PubMed Id,15056960,
163,65464,Impatiens balsamina,NCBI:txid63779,aerial part,BTO:0001658,,PubMed Id,12033510,
164,65465,Beauveria bassiana,NCBI:txid176275,,,K 717,PubMed Id,8557595,
165,65466,Batzella,ITIS:659394,,,,DOI,10.1021/jo00110a021,
166,65467,Batzella,ITIS:659394,,,,DOI,10.1021/jo00110a021,
167,65468,Bauhinia saccocalyx,IPNI:481650-1,root,BTO:0001188,,DOI,10.1002/hlca.200490006,
168,65469,Bauhinia saccocalyx,IPNI:481650-1,root,BTO:0001188,,DOI,10.1002/hlca.200490006,
169,65470,Bauhinia purpurea,NCBI:txid3806,root,BTO:0001188,,PubMed Id,17480099,
170,65471,Bauhinia purpurea,NCBI:txid3806,root,BTO:0001188,,PubMed Id,17480099,
171,65472,Bauhinia purpurea,NCBI:txid3806,root,BTO:0001188,,PubMed Id,17480099,
172,65473,Rhizoctonia solani,NCBI:txid456999,,,F23372,PubMed Id,8175480,
173,65474,Streptomyces violaceusniger,NCBI:txid68280,,,,PubMed Id,8557611,
174,65475,Streptomyces sp.,NCBI:txid1931,,,A54238,PubMed Id,10724004,
175,65476,Streptomyces sp.,NCBI:txid1931,,,A54238,PubMed Id,10724004,
176,3008,Swertia punctata,IPNI:371052-1,,,,DOI,10.1016/S0031-9422(02)00231-5,
177,3008,Swertia petiolata,NCBI:txid39380,,,,Article,"ACTA CIENC INDICA SER GEM,1981,7,31",
178,3008,Gentianella campestris,NCBI:txid49940,,,,DOI,10.1002/hlca.19740570831,
179,3008,Swertia speciosa,IPNI:371090-1,,,,DOI,10.1016/0031-9422(88)80481-3,
180,3008,Gentiana algida,NCBI:txid50748,,,,DOI,10.1007/BF00630190,
181,3008,Swertia franchetiana,NCBI:txid50785,,,,DOI,10.1016/j.bse.2004.02.008,
182,3008,Swertia chirata,IPNI:60447539-2,,,,DOI,10.1107/S1600536804009171,
183,3008,Swertia japonica,NCBI:txid137129,,,,DOI,10.1016/0031-9422(90)80122-W,
184,3008,Swertia ciliata,NCBI:txid166614,,,,Article,"J CHEM SOC PAK,2000,22,122",
185,3008,Gentiana bellidifolia,IPNI:367849-1,,,,DOI,10.1016/S0040-4020(01)98434-0,
186,3008,Swertia paniculata,NCBI:txid559637,,,,PubMed Id,20614821,
187,65478,Swertia punctata,IPNI:371052-1,,,,DOI,10.1016/S0031-9422(02)00231-5,
188,65478,Gentiana germanica,IPNI:368223-1,,,,DOI,10.1016/S0031-9422(00)89285-7,
189,65478,Gentiana ramosa,IPNI:368797-1,,,,DOI,10.1016/S0031-9422(00)89285-7,
190,65478,Swertia japonica,NCBI:txid137129,,,,DOI,10.1248/cpb.30.4088,
191,65478,Swertia purpurascens,IPNI:371054-1,,,,PubMed Id,4527698,
192,65478,Swertia perennis,NCBI:txid39379,,,,DOI,1002/hlca.19760590517,
193,65478,Swertia macrosperma,NCBI:txid137130,,,,PubMed Id,2239318,
194,65478,Swertia cincta,NCBI:txid149059,,,,DOI,10.1002/cbdv.200490123,
195,65478,Swertia calycina,NCBI:txid166613,,,,DOI,10.1002/cbdv.200490123,
196,65478,Swertia nervosa,NCBI:txid363513,,,,DOI,10.1002/cbdv.200490123,
197,65478,Gentianella campestris,NCBI:txid49940,,,,PubMed Id,15490334,
198,65478,Swertia pubescens,NCBI:txid166623,,,,DOI,10.1002/cbdv.200490123,
199,65478,Swertia fasciculata,IPNI:968989-1,,,,DOI,10.1002/cbdv.200490123,
200,65478,Swertia punicea,NCBI:txid137131,,,,DOI,10.1002/cbdv.200490123,
201,65478,Swertia bimaculata,NCBI:txid148627,,,,DOI,10.1002/cbdv.200490123,
202,65478,Swertia chirata,IPNI:60447539-2,,,,DOI,10.1248/cpb.30.4088,
203,65478,Swertia angustifolia,NCBI:txid166611,,,,Article,"INDIAN J CHEM,1980,19B, 10, 929",
204,65479,Swertia japonica,NCBI:txid137129,,,,PubMed Id,10353265,
205,65480,Swertia japonica,NCBI:txid137129,,,,DOI,10.1007/BF02675902,
206,65480,Gentianella campestris,NCBI:txid49940,,,,PubMed Id,15490334,
207,65480,Gentiana bellidifolia,IPNI:367849-1,,,,DOI,10.1016/S0040-4020(01)98434-0,
208,65480,Swertia erythrosticum,NCBI:txid39241,,,,Article,"ZHIWU XUEBAO,1992,34,886",
209,65480,Iris nigricans,NCBI:txid995810,,,,DOI,10.1016/0031-9422(94)00641-6,
210,65480,Swertia nervosa,NCBI:txid363513,,,,Article,"YAKUGAKU ZASSHI,1974,94,647",
211,65480,Swertia lawii,IPNI:370960-1,,,,DOI,10.1016/S0031-9422(00)98635-7,
212,65480,Swertia purpurascens,IPNI:371054-1,,,,PubMed Id,1133711,
213,65480,Swertia hookeri,IPNI:370932-1,,,,DOI,10.1016/0031-9422(80)85027-8,
214,65480,Swertia gracilescens,IPNI:370915-1,,,,Article,"YAKUGAKU ZASSHI,1974,94,647",
215,65480,Gentiana lacteal,NCBI:txid21496,,,,PubMed Id,3174858,
216,65480,Gentiana ramosa,IPNI:368797-1,,,,DOI,10.1016/S0031-9422(00)89285-7,
217,65480,Swertia racemosa,NCBI:txid137132,,,,Article,"YAKUGAKU ZASSHI,1974,94,647",
218,65480,Swertia dilatata,NCBI:txid559635,,,,Article,"YAKUGAKU ZASSHI,1974,94,647",
219,65480,Gentiana strictiflora,IPNI:368974-1,,,,DOI,10.1016/S0031-9422(00)84162-X,
220,65480,Swertia davidi,IPNI:370864-1,,,,PubMed Id,15234768,
221,65480,Swertia macrosperma,NCBI:txid137130,,,,DOI,10.1016/0031-9422(89)80400-5,
222,65480,Swertia chirata,IPNI:60447539-2,,,,PubMed Id,4712626,
223,7638,Gentiana ramosa,IPNI:368797-1,,,,DOI,10.1016/S0031-9422(00)89285-7,
224,7638,Gentiana germanica,IPNI:368223-1,,,,DOI,10.1016/S0031-9422(00)89285-7,
225,7638,Gentianella campestris,NCBI:txid49940,,,,PubMed Id,15490334,
226,7638,Swertia randaiensis,IPNI:371063-1,,,,Article,"INDIAN J CHEM,1980,19B,10,929",
227,7638,Swertia japonica,NCBI:txid137129,,,,DOI,10.1248/cpb.30.4088,
228,65482,Streptomyces prunicolor,NCBI:txid67348,mycelium,BTO:0001436,1884 SVT2,DOI,10.1021/np50098a008,
229,65483,Streptomyces nitrosporeus,NCBI:txid28894,,,30643,PubMed Id,8609080,
230,65484,Syzygium claviflorum,NCBI:txid219860,leaf,BTO:0000713,,PubMed Id,8176401,
231,65485,Syzygium claviflorum,NCBI:txid219860,leaf,BTO:0000713,,PubMed Id,8176401,
232,65486,Syzygium claviflorum,NCBI:txid219860,leaf,BTO:0000713,,PubMed Id,8176401,
233,65487,Syzygium claviflorum,NCBI:txid219860,leaf,BTO:0000713,,PubMed Id,8176401,
234,65488,Baeckea frutescens,NCBI:txid199392,leaf,BTO:0000713,,DOI,10.1016/S0031-9422(98)00534-2,
235,65489,Baeckea frutescens,NCBI:txid199392,leaf,BTO:0000713,,DOI,10.1016/S0031-9422(98)00534-2,
236,65490,Baeckea frutescens,NCBI:txid199392,leaf,BTO:0000713,,DOI,10.1016/S0031-9422(98)00534-2,
237,3087,Syzygium claviflorum,NCBI:txid219860,leaf,BTO:0000713,,PubMed Id,8176401,
238,65492,Polyalthia debilis,NCBI:txid235800,root,BTO:0001188,,PubMed Id,12762793,
239,65493,Polyalthia debilis,NCBI:txid235800,root,BTO:0001188,,PubMed Id,12762793,
240,65494,Bidens parviflora,IPNI:185131-1,whole plant,BTO:0001461,,PubMed Id,16880667,
241,65495,Bidens parviflora,IPNI:185131-1,whole plant,BTO:0001461,,PubMed Id,16880667,
242,65496,Ecklonia cava,NCBI:txid105407,,,,PubMed Id,19201199,
243,65497,Pseudopterogorgia kallos,ITIS:52263,,,,PubMed Id,15128261,
244,65498,Boronia bipinnata,IPNI:771577-1,aerial part,BTO:0001658,,PubMed Id,18662038,
245,65499,Boronia bipinnata,IPNI:771577-1,aerial part,BTO:0001658,,PubMed Id,18662038,
246,65500,Gastrodia elata,NCBI:txid91201,,,,PubMed Id,17381154,
247,65500,Pleuropterus ciliinervis,IPNI:695248-1,root,BTO:0001188,,PubMed Id,17851433,
248,65501,Gastrodia elata,NCBI:txid91201,tuber,BTO:0001400,,PubMed Id,15180301,
249,65502,Curcuma domestica,NCBI:txid136217,rhizome,BTO:0001181,,DOI,10.1016/0031-9422(93)85548-6,Fresh rhizome
250,65502,Etlingera elatior,NCBI:txid188493,rhizome,BTO:0001181,,PubMed Id,15730265,
251,65503,Etlingera elatior,NCBI:txid188493,rhizome,BTO:0001181,,PubMed Id,15730265,
252,65504,Lissoclinum bistratum,NCBI:txid322849,,,,PubMed Id,12608858,
253,65505,Lissoclinum bistratum,NCBI:txid322849,,,,PubMed Id,12608858,
254,65506,Lissoclinum bistratum,NCBI:txid322849,,,,PubMed Id,12608858,
255,65507,Lissoclinum bistratum,NCBI:txid322849,,,,PubMed Id,12608858,
256,65508,Lissoclinum bistratum,NCBI:txid322849,,,,PubMed Id,12608858,
257,65509,Lissoclinum bistratum,NCBI:txid322849,,,,PubMed Id,12608858,
258,65510,Hypericum chinense var. salicifolium,IPNI:433826-1,leaf,BTO:0000713,,PubMed Id,15987189,
259,65511,Calophyllum blancoi,NCBI:txid667324,root,BTO:0001188,,PubMed Id,15684529,
260,49164,Brucea javanica,NCBI:txid210348,seed,BTO:0001226,,DOI,10.1016/0031-9422(96)00258-0,
261,49164,Perrottetia multiflora,IPNI:282530-2,aerial part,BTO:0001658,,DOI,10.1021/np50105a013,
262,49164,Typha latifolia,NCBI:txid4733,,,,DOI,10.1021/np50070a031,
263,49164,Solanum lyratum,NCBI:txid230192,whole plant,BTO:0001461,,PubMed Id,19336938,
264,65512,Nonomuraea,NCBI:txid83681,,,,PubMed Id,19358565,
265,65513,Nocardia brasiliensis,NCBI:txid37326,,,IFM0406,PubMed Id,10092191,
266,65514,Nocardia brasiliensis,NCBI:txid37326,,,IFM 0466,PubMed Id,9510911,
267,65515,Nocardia brasiliensis,NCBI:txid37326,,,IFM 0466,PubMed Id,10724012,
268,65516,Nocardia brasiliensis,NCBI:txid37326,,,,PubMed Id,9066761,
269,65517,Nocardia brasiliensis,NCBI:txid37326,,,,PubMed Id,9066761,
270,65518,Nocardia brasiliensis,NCBI:txid37326,,,,PubMed Id,9066761,
271,65519,Calophyllum brasiliense,IPNI:427115-1,stem,BTO:0001300,,PubMed Id,11908963,Previous component: stem bark;
272,65520,Calophyllum brasiliense,IPNI:427115-1,stem,BTO:0001300,,PubMed Id,11908963,Previous component: stem bark;
273,65521,Calophyllum brasiliense,IPNI:427115-1,stem,BTO:0001300,,PubMed Id,11908963,Previous component: stem bark;
274,65522,Hyptis brevipes,NCBI:txid204123,whole plant,BTO:0001461,,PubMed Id,19422206,
275,65523,Hyptis brevipes,NCBI:txid204123,whole plant,BTO:0001461,,PubMed Id,19422206,
276,65524,Pterocella vesiculosa,WORMS:467054,,,,PubMed Id,19220033,
277,65525,Callophycus serratus,NCBI:txid632897,,,,PubMed Id,16268553,
278,65526,Brucea antidysenterica,NCBI:txid459111,xylem,BTO:0001468,,PubMed Id,8133299,Previous component: ground wood;
279,65527,Brucea antidysenterica,NCBI:txid459111,xylem,BTO:0001468,,PubMed Id,8133299,Previous component: ground wood;
280,65528,Brucea antidysenterica,NCBI:txid459111,xylem,BTO:0001468,,PubMed Id,8133299,Previous component: ground wood;
281,65529,Brucea javanica,NCBI:txid210348,fruit,BTO:0000486,,DOI,10.1016/S1383-5769(99)00023-9,
282,65529,Brucea sumatrana,IPNI:813620-1,,,,Article,"DUOC HOC, 1979,4,15",
283,65530,Brucea javanica,NCBI:txid210348,fruit,BTO:0000486,,DOI,10.1016/S1383-5769(99)00023-9,
