id,compound_id,text,created_on,datatype,datatype_id
71,17646,"Exists in equilibrium with 4,6-dihydroxy-4-methyltetrahydro-2H-pyran-2-one (beta,delta-dihydroxy-beta-methyl-delta-valerolactone)",2004-06-21 00:00:00,General,0
72,16365,Quinolin-2-ol exists largely as the quinolin-2(1H)-one tautomer.,2004-06-29 00:00:00,General,0
73,17015,Uses obsolete isoalloxazine skeletal numbering system.,2004-06-30 00:00:00,CompoundName,39813
75,16119,The naturally occurring (-)-form. The (+-)-racemate has also been synthesized.,2004-07-01 00:00:00,CompoundName,40024
76,28185,Kanamycin C is a minor component of the naturally occurring antibiotic complex known as kanamycin. ,2004-07-06 00:00:00,General,0
79,32374,The naturally occurring compound has (E) stereochemistry.  Both (E) and (Z) isomers are available synthetically.,2004-07-26 00:00:00,CompoundName,22100
81,17059,"Beta notation taken from E. A. Khairallah and G. Wolf, J. Biol. Chem., 1967, 242, 32-39",2004-07-30 00:00:00,CompoundName,40787
83,29110,"The compound was named bunolol by F.-J. Leinweber et al., Xenobiotica, 1972, 2(2), 191-202.",2004-07-30 00:00:00,CompoundName,40785
84,29109,"The compound was named dihydrobunolol by F.-J. Leinweber et al., Xenobiotica, 1972, 2(2), 191-202.",2004-07-30 00:00:00,CompoundName,40784
92,16087,"The isomer generally involved in enzymic reactions has stereochemistry (1R,2S). See CHEBI:15562.",2004-09-01 00:00:00,General,0
93,15562,The isomer of isocitric acid generally involved in enzymic reactions.,2004-09-01 00:00:00,General,0
94,15562,Obsolete,2004-09-01 00:00:00,CompoundName,41635
96,46570,"When used on its own, the term 'zeatin' generally refers to the trans (E) stereomer (CHEBI:16522)",2004-09-02 00:00:00,General,0
101,15750,n is generally in the range 9-18 (Source: IUBMB Enzyme Nomenclature Glossary),2004-12-09 00:00:00,ChemicalData,4448
105,23316,Citral obtained from natural sources is a 2:1 mixture of geranial [CHEBI:16980] and neral [CHEBI:29020].,2004-12-10 00:00:00,General,0
106,28804,IUPAC recommends progressive abandonment of 'nor' in the naming of amino acids (see 3AA-15.2.3).,2004-12-13 00:00:00,CompoundName,6525
107,18314,IUPAC recommends progressive abandonment of 'nor' in the naming of amino acids (see 3AA-15.2.3).,2004-12-13 00:00:00,CompoundName,9676
108,18347,IUPAC recommends progressive abandonment of 'nor' in the naming of amino acids (see 3AA-15.2.3).,2004-12-13 00:00:00,CompoundName,9670
110,24017,"The trans,trans stereoisomers [i.e. (2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-yl] prevail in nature.",2005-01-10 00:00:00,General,0
112,27727,"The form of the steroid with unspecified stereochemistry at C-3, C-5 and C-17.",2005-01-26 00:00:00,General,0
113,15443,The chain terminates with an alpha-D-glucopyranosyl group.,2005-02-04 00:00:00,General,0
114,32364,"The numbering system used for 3-dehydroquinate is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroquinate' for this compound is based on an earlier system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). ",2005-03-09 00:00:00,General,32364
115,17947,"The numbering system used for 3-dehydroquinic acid is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroquinic acid' for this compound is based on an earlier system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). ",2005-03-09 00:00:00,General,17947
117,15565,"Erroneous name. Alternative might be Toluene-cis-2,3-dihydrodiol.",2005-03-10 00:00:00,CompoundName,49032
118,17681,Tautomeric with 6-hydroxypyridin-2(1H)-one.,2005-03-15 00:00:00,General,17681
119,18265,Tautomeric with 2-aminopteridin-4(1H)-one.,2005-03-15 00:00:00,General,18265
120,29044,The substituent name '3-oxoprop-2-enyl' is incorrect but is used in various databases.,2005-03-18 00:00:00,General,29044
121,29044,"The naturally occurring compound is the cis,cis isomer: (2Z)-2-amino-3-[(1Z)-3-oxoprop-1-en-1-yl]but-2-enedioate. ",2005-03-18 00:00:00,General,29044
122,17740,The naturally occurring compound is the S stereoisomer [i.e. (2S)-2-amino-3-oxopropanoate]. ,2005-03-18 00:00:00,General,17740
123,16630,"The numbering system used for the 3-dehydroshikimate is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroshikimate' for this compound is based on an earlier, now obsolete, system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). ",2005-03-22 00:00:00,General,16630
124,30918,"The numbering system used for the 3-dehydroshikimic acid is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroshikimic acid' for this compound is based on an earlier, now obsolete, system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). ",2005-03-22 00:00:00,General,30918
125,17521,"IUBMB Enzyme Nomenclature Glossary assigns the stereochemistry as (1R,3R,4R,5R).",2005-03-30 00:00:00,CompoundName,36193
126,29751,"IUBMB Enzyme Nomenclature Glossary assigns the stereochemistry of the free acid as (1R,3R,4R,5R). ",2005-03-30 00:00:00,CompoundName,38610
127,9859,Named by IUPAC/IUBMB JCBN as a galactopyranoside whereas structure drawings in Beilstein and KEGG COMPOUND show a glucopyranoside structure. ,2005-04-06 00:00:00,General,9859
128,32537,"The different configurational prefix to that in the IUPAC name (source: 'Nomenclature of Carbohydrates', IUPAC/IUBMB JCBN, 1996) indicates different configurations at C-3 and C-4.",2005-04-06 00:00:00,CompoundName,49895
129,32543,"Incorrect name (""4-amino-"" prefix omitted) as given in the Appendix (c) to the IUPAC/IUBMB JCBN Recommendations (1996) ""Nomenclature of Carbohydrates"".",2005-04-19 00:00:00,CompoundName,49928
132,17728,"The chloride salt is known as Vitamin U [Methylmethionine sulfonium chloride, CAS RN 1115-84-0 (Source: ChemIDplus)].",2005-05-13 00:00:00,General,17728
133,32957,"A locant may be added to the name to designate the site of (hydro)lysis, 2-lyso designating hydrolysis at position 2, leaving a free hydroxy group at this carbon atom.",2005-06-20 00:00:00,General,32957
135,32958,The name 'phosphate' is used for the -O-P(O)(OH)2 group irrespective of its state of ionization.,2005-06-20 00:00:00,General,32958
136,32959,The name 'triphosphate' is used for the -O-PO(OH)-O-PO(OH)-O-PO(OH)2 group irrespective of its state of ionization.,2005-06-20 00:00:00,General,32959
138,31967,The major anthocyanin present in ripe strawberries.,2005-06-27 00:00:00,General,31967
139,1391,The active ingredient in the recreational drug ecstasy.,2005-08-19 00:00:00,General,1391
141,29119,Compound cited in Reactome,2005-10-13 00:00:00,General,29119
142,29143,Cited in Reactome,2005-10-13 00:00:00,General,29143
143,48522,Cited in Reactome,2005-10-13 00:00:00,General,29142
144,29141,Cited in Reactome,2005-10-13 00:00:00,General,29141
145,29140,Compound cited in Reactome,2005-10-13 00:00:00,General,29140
146,29147,Named 'ethenocytosine' in Reactome,2006-06-06 00:00:00,General,29147
148,29144,Cited in Reactome,2005-10-13 00:00:00,General,29144
151,18040,"The only naturally occurring isomer of the four possible ones, and exclusive to collagen protein; forms by post-translational hydroxylation of lysine (Allevi and Anastasia, Tetrahedron Asymmetry, 11 (2000) 3151-3160).",2005-10-13 00:00:00,General,18040
153,27017,"See: Qureshi, A.A., Mo, H., Packer, L. and Peterson, D.M. (2000) Isolation and identification of novel tocotrienols from rice bran with hypocholesterolemic, antioxidant, and antitumor properties. J. Agric. Food Chem. 48, 3130-3140. [PMID:10956081]",2005-11-22 00:00:00,General,27017
154,33278,"See: Qureshi, A.A., Mo, H., Packer, L. and Peterson, D.M. (2000) Isolation and identification of novel tocotrienols from rice bran with hypocholesterolemic, antioxidant, and antitumor properties. J. Agric. Food Chem. 48, 3130-3140. [PMID:10956081]",2005-11-22 00:00:00,General,33278
158,29228,"The term ""hydrofluoric acid"" refers to the aqueous solution of hydrogen fluoride.",2005-12-04 00:00:00,General,29228
159,47266,"The term ""hydrobromic acid"" refers to the aqueous solution of hydrogen bromide.",2005-12-04 00:00:00,General,29134
160,17883,"The term ""hydrochloric acid"" refers to the aqueous solution of hydrogen chloride.",2005-12-04 00:00:00,General,17883
161,43451,"The term ""hydroiodic acid"" refers to the aqueous solution of hydrogen iodide.",2005-12-04 00:00:00,General,5591
162,33349,"Nielsbohrium (Ns) was a former suggested name for both element 105, now called dubnium (Db), and element 107, now called bohrium (Bh).",2006-04-27 00:00:00,General,33349
163,33355,"Nielsbohrium (Ns) was a former suggested name for both element 105, now called dubnium (Db), and element 107, now called bohrium (Bh).",2006-04-27 00:00:00,General,33355
164,33349,"Hahnium (Ha) was a former suggested name for both element 105, now called dubnium (Db), and element 108, now called hassium (Hs).",2005-12-09 00:00:00,General,33349
165,33357,"Hahnium (Ha) was a former suggested name for both element 105, now called dubnium (Db), and element 108, now called hassium (Hs).",2005-12-09 00:00:00,General,33357
166,16136,"The term ""hydrosulfuric acid"" refers to the aqueous solution of hydrogen sulfide.",2005-12-13 00:00:00,General,16136
168,26660,Erroneous term,2006-01-09 00:00:00,CompoundName,56221
169,18306,Name used in J. Biol. Chem. 245 (1970) 2599-2604 [Medline UI: 70230292].,2006-01-31 00:00:00,CompoundName,56737
170,18155,"See EC 4.6.1.14: specific example of a 1,2-diacyl-sn-glycerol product.",2006-02-07 00:00:00,CompoundName,59580
171,35370,"As reported in New J. Chem., 2006, <bold>30</bold>, 197-207. The possibility of the reported compound being the enantiomer, (25S)-5alpha-spirostan-1alpha,3beta-diol, cannot be discounted.",2006-03-20 00:00:00,General,35370
172,5186,The name 'fucoxanthin' is also applied in the 1974 CBN carotenoid recommendations to the all-trans but otherwise non-stereochemically defined compound.,2006-04-04 00:00:00,General,5186
173,5186,"The existence of the 6'S stereoisomer has also been reported [Liaaen-Jensen,S. (1997), Pure Appl. Chem., <bold>69</bold>, 2027-2038].",2006-04-04 00:00:00,General,5186
176,29146,Name 'ethenoadenine' used in Reactome,2006-06-06 00:00:00,General,62546
177,35877,Named 'formamidopyrimidine' in Reactome.,2006-06-06 00:00:00,General,35877
178,34642,The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.,2006-06-29 00:00:00,General,63180
179,34643,The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.,2006-07-10 00:00:00,General,63181
180,34644,The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.,2006-07-23 00:00:00,General,34644
181,34645,The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.,2006-07-23 00:00:00,General,34645
182,36220,"Oerning, L. and Hammarstroem, S. (1983) Isolation and characterization of 15-hydroxylated metabolites of leukotriene C4. FEBS Lett. 153, 253-256. [PMID:6413247]",2007-06-05 00:00:00,General,63471
183,43620,The name in chemPDB appears to be a misnomer.,2006-07-10 00:00:00,CompoundName,63505
184,34643,The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.,2006-07-10 00:00:00,General,63181
185,34643,The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.,2006-07-10 00:00:00,General,63181
186,28834,This is a misnomer.,2006-07-10 00:00:00,CompoundName,63539
187,44951,A misnomer.,2006-08-02 00:00:00,CompoundName,63953
188,5407,E stereomer,2006-09-01 00:00:00,DatabaseAccession,99024
189,5407,Z stereomer,2006-09-01 00:00:00,DatabaseAccession,99025
190,5404,Z stereomer,2006-09-01 00:00:00,DatabaseAccession,99027
191,5406,E stereoisomer,2006-09-01 00:00:00,DatabaseAccession,99028
192,5415,E stereomer,2006-09-01 00:00:00,DatabaseAccession,99029
197,6320,"An equivalent name based on the skeletal numbering used for the stercobilin parent structure would be (2R,3R,4S,16S,17R,18R)-3,18-diethyl-2,7,13,17-tetramethyl-1,19-dioxo-1,2,3,4,5,10,15,16,17,18,19,22,23,24-tetradecahydro-21H-biline-8,12-dipropanoic acid. However, because of the symmetrical nature of the stercobilinogen molecule the direction of the skeletal numbering is reversed so that the earlier-cited substituents (the ethyl groups) may take the preferred lower locants 2,17.",2006-09-11 00:00:00,CompoundName,64441
198,36479,"An equivalent name based on the skeletal numbering used for the stercobilin parent structure would be 3,18-diethyl-2,7,13,17-tetramethyl-1,19-dioxo-1,2,3,4,5,10,15,16,17,18,19,22,23,24-tetradecahydro-21H-biline-8,12-dipropanoic acid. However, because of the symmetrical nature of the stercobilinogen molecule the direction of the skeletal numbering is reversed so that the earlier-cited substituents (the ethyl groups) may take the preferred lower locants 2,17.",2006-09-11 00:00:00,CompoundName,64452
200,36549,A hypothetical polyhedrane.,2006-09-20 00:00:00,General,36549
201,19543,Misnomer,2006-09-27 00:00:00,CompoundName,65337
203,36973,"Previously, descriptions such as graphite layers, carbon layers or carbon sheets have been used for the term graphene. Because graphite designates that modification of the chemical element carbon, in which planar sheets of carbon atoms, each atom bound to three neighbours in a honeycomb-like structure, are stacked in a three-dimensional regular order, it is not correct to use for a single layer a term which includes the term graphite, which would imply a three-dimensional structure. The term graphene should be used only when the reactions, structural relations or other properties of individual layers are discussed.",2006-11-08 00:00:00,General,36973
204,33418,"The term graphite is also used often but incorrectly to describe graphite materials, i.e. materials consisting of graphitic carbon made from carbon materials by processing to temperatures greater than 2500 K, even though no perfect graphite structure is present.",2006-11-08 00:00:00,General,33418
205,36977,"The use of the term graphite instead of the more exact term hexagonal graphite may be tolerated in view of the minor importance of rhombohedral graphite, the other allotropic form.",2006-11-09 00:00:00,General,36977
206,36978,The structure of rhombohedral graphite can be best considered as an extended stacking fault in hexagonal graphite. Rhombohedral graphite can not be isolated in pure form (natural graphite and laboratory preparations contain less than 40\% of rhombohedral graphite in combination with hexagonal graphite). It is produced by shear deformation of hexagonal graphite and transforms progressively to the hexagonal (ABAB) modification on heating above 1600 K.,2006-11-09 00:00:00,General,36978
208,30429,The parent hydride name derives from the etymological source 'indigo' (from the flame colour of indium).,2006-11-21 00:00:00,CompoundName,42444
209,37180,This name is explicitly not recommended by IUPAC.,2006-11-27 00:00:00,CompoundName,66914
210,37181,This name is explicitly not recommended by IUPAC.,2006-11-27 00:00:00,CompoundName,66917
211,9754,Acronym for Tris(Hydroxymethyl)AminoMethane.,2006-11-28 00:00:00,CompoundName,67032
212,49858,This name is explicitly not recommended by IUPAC.,2006-11-29 00:00:00,CompoundName,67106
213,37243,This name is explicitly not recommended by IUPAC.,2006-11-29 00:00:00,CompoundName,67107
214,33697,Acronym for Ribonukleinsaeure.,2006-11-29 00:00:00,CompoundName,67110
215,16991,Acronym for Desoxyribonukleinsaeure.,2006-11-29 00:00:00,CompoundName,67112
216,37526,"At present, not listed as a fundamental parent structure by IUPAC.",2007-01-18 00:00:00,CompoundName,68070
217,37586,Not recommended since this is a common name of trisodium phosphate  Na3PO4 (CHEBI:37583).,2007-01-29 00:00:00,CompoundName,68315
218,37586,Not recommended since this is a common name of trisodium phosphate  Na3PO4 (CHEBI:37583).,2007-01-29 00:00:00,CompoundName,68316
220,43515,Not recommended by IUPAC.,2007-01-29 00:00:00,CompoundName,68323
221,29124,Not recommended by IUPAC.,2007-01-29 00:00:00,CompoundName,68325
223,33026,"The name as used in: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]",2007-01-30 00:00:00,General,33026
224,33024,"The name as used in: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]",2007-01-30 00:00:00,CompoundName,68336
225,33024,"Adapted from: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]",2007-01-30 00:00:00,CompoundName,68331
226,33025,"The name as used in: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]",2007-01-30 00:00:00,CompoundName,68337
227,20857,C-Glycosyl compounds are also known by the misnomer 'C-glycosides'.,2007-02-13 00:00:00,General,20857
228,6553,Misnomer: IUPAC strongly discourages the use of names based on 'C-glycoside' terminology.,2007-02-13 00:00:00,CompoundName,10092
229,7781,Misnomer: IUPAC strongly discourages the use of names based on 'C-glycoside' terminology.,2007-02-13 00:00:00,CompoundName,11844
231,37660,The name 'methanopterin' is derived from the compound's role as a coenzyme in methanogenesis and the structure is not to be confused with that of a simple methano derivative of pterin.,2007-02-16 00:00:00,General,37660
232,37669,The name 'methanopterin' is derived from the compound's role as a coenzyme in methanogenesis and the structure is not to be confused with that of a simple methano derivative of pterin.,2007-02-21 00:00:00,General,37669
233,33709,Oxoacids other than carboxylic acids are excluded form this class. Other amino oxoacids can be found within the classes CHEBI:37793 (aminosulfonic acids) and CHEBI:37794 (aminosulfinic abids).,2007-03-08 00:00:00,General,33709
234,22221,In organic chemistry an unspecified acyl group is commonly a carboxylic acyl group.,2007-03-17 00:00:00,General,22221
235,16531,"CHEBI:16531 is similar to, and as active as, luciferin from the coelenterate Renilla. The native luciferin has the benzyl group at C-8 replaced by an unidentified group of approximately 200 Da.",2007-03-19 00:00:00,General,16531
236,37858,This name is no longer recommended by IUPAC.,2007-03-22 00:00:00,CompoundName,69177
237,33536,This name is explicitly not recommended by IUPAC.,2007-03-21 00:00:00,CompoundName,69182
238,37859,This name is no longer recommended by IUPAC.,2007-03-22 00:00:00,CompoundName,69185
239,51334,This name is no longer recommended by IUPAC.,2007-03-22 00:00:00,CompoundName,69187
240,37866,This name is no longer recommended by IUPAC.,2007-03-22 00:00:00,CompoundName,69200
241,3079,"The name betanidine is also used as a synonym. However this should be reserved as a common name for 1-benzyl-2,3-dimethylguanidine (see CHEBI:37937).",2007-03-29 00:00:00,General,3079
242,37937,"The name 'betanidin' is also used as a synonym, but should be reserved as a common name for the indole derivative CHEBI:3079.",2007-03-29 00:00:00,General,37937
243,6104,"Kanamycin is a mixture of kanamycins A, B, C, D and X in unspecified proportions.",2013-03-19 00:00:00,General,6104
245,17721,The non-stereospecific name 'nicotianamine' is used in the literature as a synonym for the naturally occurring stereoisomer.,2007-04-23 00:00:00,General,17721
246,25520,"The non-stereospecific name 'nicotianamine' is used in the literature as a synonym for the naturally occurring (S,S,S) stereoisomer.",2007-05-01 00:00:00,General,25520
247,16802,The name 'sedoheptulose' is the accepted trivial name for D-altro-hept-2-ulose (see IUPAC rule 2-Carb-10.2). The D configuration is implicit within the name.,2007-04-25 00:00:00,General,16802
249,38223,"The structure was chosen as the Congress Emblem of the XIX International Congress of Pure and Applied Chemistry, held in London on 10-17 July 1963. The synthesis of the congressane was suggested as a challenge for the participants of the Congress.",2007-05-03 00:00:00,CompoundName,70339
251,15333,The term 'zeatin' usually refers to the trans (E) stereomer (CHEBI:16522).,2007-05-14 00:00:00,CompoundName,20912
252,47147,"Experimental herbicide from the Dow AgroSciences collection [see Yeng C. et al. (2004) Biochemistry, 43, 10414-10423].",2007-05-17 00:00:00,General,38301
253,40290,"Experimental herbicide from the Dow AgroSciences collection [see Yeng C. et al. (2004) Biochemistry, 43, 10414-10423].",2007-05-17 00:00:00,General,38302
254,38346,"An example of delta-aromatic molecular entity. See: Zhai, H.-J., Averkiev, B.B., Zubarev, D.Y., Wang, L.-S. and Boldyrev, A.I. (2007) delta Aromaticity in [Ta3O3](-). Angew. Chem. Int. Ed. 46, 4277-4280. [PMID:17465436]",2007-06-05 00:00:00,General,38346
255,38401,The naturally occurring enantiomer.,2007-06-04 00:00:00,General,38401
256,28417,"Gentamycin C is a generic name for the C series gentamycins and also for a mixture of gentamycin C1a, C1 and C2.",2007-06-04 00:00:00,General,28417
257,38403,"The naturally occurring enantiomer isolated from Lamium purpureum seed oil. See: Mikolajczak, K.L., Rogers, M.F., Smith, C.R. and Wolff, I.A. (1967) An octadecatrienoic acid from Lamium purpureum L. seed oil containing 5,6-allenic and trans-16-olefinic unsaturation. Biochem. J. 105, 1245-1249. [PMID:16742552]",2007-06-05 00:00:00,General,38403
258,38396,"The trivial name ""lamenallenic acid"" was originally proposed for the naturally occurring (5R) enantiomer (CHEBI:38403). See: Mikolajczak, K.L., Rogers, M.F., Smith, C.R. and Wolff, I.A. (1967) An octadecatrienoic acid from Lamium purpureum L. seed oil containing 5,6-allenic and trans-16-olefinic unsaturation. Biochem. J. 105, 1245-1249. [PMID:16742552]",2007-06-05 00:00:00,General,38396
259,38403,"See: Cowie, J.S., Landor, P.D., Landor, S.R. and Punja, N. (1972) Allenes. Part XXII. The synthesis and absolute configuration of laballenic and lamenallenic acids. J. Chem. Soc., Perkin Trans. 1, 2197-2201. [DOI:10.1039/P19720002197]",2007-06-05 00:00:00,General,38403
260,38401,"See: Cowie, J.S., Landor, P.D., Landor, S.R. and Punja, N. (1972) Allenes. Part XXII. The synthesis and absolute configuration of laballenic and lamenallenic acids. J. Chem. Soc., Perkin Trans. 1, 2197-2201. [DOI:10.1039/P19720002197]",2007-06-05 00:00:00,General,38401
261,28193,Confusion exists in the literature between lupinine and lupanine. Thus lupinine is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems. Unfortunately the two terms are sometimes used synonomously.,2007-06-14 00:00:00,General,28193
262,37776,"An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]",2007-06-17 00:00:00,General,37776
263,37774,"An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]",2007-06-17 00:00:00,General,37774
264,37795,"An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]",2007-06-17 00:00:00,General,37795
265,37792,"An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]",2007-06-17 00:00:00,General,37792
266,35905,"See: Li, X.-L., Kuznetsov, A.E., Zhang, H.-F., Boldyrev, A.I. and Wang, L.S. (2001) Observation of all-metal aromatic molecules. Science 291, 859-861. [PMID:11157162]",2007-06-17 00:00:00,General,35905
267,38559,'P450' refers to a feature in the carbon monoxide absorption difference spectrum at 450 nm caused by the presence of a thiolate in the axial position of the heme opposite to the carbon monoxide ligand.,2007-06-24 00:00:00,General,38559
268,38704,Name taken from IRAC (Insecticide Resistance Action Committee) list.,2007-06-28 00:00:00,CompoundName,71949
270,39011,"For the original list of buffer criteria, see: Good, N.E., Winget, G.D., Winter, W., Connolly, T.N., Izawa, S. and Singh, R.M.M. (1966) Hydrogen ion buffers for biological research. Biochemistry 5, 467-477. [PMID:5942950]",2007-07-26 00:00:00,General,39011
271,39079,Analogue of PD173955 used in protein-binding studies.,2007-08-01 00:00:00,General,39079
272,39080,Analogue of vandetanib used in protein-binding studies.,2007-08-01 00:00:00,General,39080
273,39081,Analogue of sunitinib used in protein-binding studies.,2007-08-01 00:00:00,General,39081
274,39082,Analogue of staurosporine used in protein-binding studies.,2007-08-01 00:00:00,General,39082
275,39083,Analogue of imatinib used in protein-binding studies.,2007-08-01 00:00:00,General,39083
276,39084,Analogue of gefitinib used in protein-binding studies.,2007-08-01 00:00:00,General,39084
277,39085,Analogue of pelitinib used in protein-binding studies.,2007-08-01 00:00:00,General,39085
278,39086,Racemate; analogue of Ro 320-1195 used in protein-binding studies.,2007-08-01 00:00:00,General,39086
279,45116,R configuration wrongly assigned; the associated diagram correctly shows the S configuration.,2007-08-02 00:00:00,CompoundName,73169
280,18723,The term 'nicotine' usually refers to the (S) stereomer (CHEBI:17688).,2007-08-13 00:00:00,General,18723
