DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom
300;1950-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04235750056003, 49.208080793588415], [-123.04235749787055, 49.208077645237566]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16629287146917, 49.26397059901289], [-123.16587346848506, 49.26396348399144]]}"
150;2001-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16631927659617, 49.263971046747386], [-123.16629287146917, 49.26397059901289]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04774185921497, 49.226691881663925], [-123.04777550842448, 49.226691867752336]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04777550842448, 49.226691867752336], [-123.04878019582947, 49.2266959454998]]}"
150;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04804670411693, 49.2259235598522], [-123.04783321894575, 49.22592218222091]]}"
150;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04584049299872, 49.22468048334302], [-123.04582743204165, 49.22468038058207]]}"
200;1900-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10874124394786, 49.284495120327094], [-123.10876380166656, 49.28444204556402]]}"
200;1900-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10871548487926, 49.28455561012001], [-123.10874124394786, 49.284495120327094]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04702498005787, 49.263832385794565], [-123.046875684932, 49.26383196971517]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04685396830949, 49.263831942542886], [-123.04679184198172, 49.26383155394016]]}"
150;1945-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03524861651195, 49.2247989085366], [-123.03524506301746, 49.224765312307106]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0352474735254, 49.22365535876094], [-123.03524563908746, 49.22457115833367]]}"
150;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05573181831727, 49.27825182881529], [-123.05562812549219, 49.27825163591179]]}"
200;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0272656711939, 49.28765882427394], [-123.02589352874007, 49.287666147122266]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03100966470791, 49.28558962126579], [-123.0310097145608, 49.28564719033694]]}"
150;1946-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02371334477239, 49.286668772222455], [-123.02365278524745, 49.28666877563899]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04411354363563, 49.28867109095192], [-123.04385648570066, 49.288671593580084]]}"
100;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03102507166817, 49.22119977328454], [-123.0309238036314, 49.221724845345555]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09105249902095, 49.210220699229254], [-123.09105142901257, 49.210251104149194]]}"
150;1900-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.14103888271713, 49.27058020042292], [-123.1410318634592, 49.27057239216468]]}"
40;1967-01-01;Copper;"{""type"": ""LineString"", ""coordinates"": [[-123.04944619925963, 49.254612569969744], [-123.04944677405277, 49.2545001294942]]}"
150;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03919333634049, 49.253132759581995], [-123.03913795604586, 49.25313124017299]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03909006560941, 49.25313050978294], [-123.03891711216923, 49.25313015439067]]}"
150;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05014240068877, 49.225937646302384], [-123.05012264812547, 49.22593484835252]]}"
150;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05022371470791, 49.22472570602885], [-123.0501873197416, 49.22472539801716]]}"
300;1967-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03360879729895, 49.26949999486061], [-123.03360219909753, 49.269499996779636]]}"
150;1950-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0412036835169, 49.22113214893936], [-123.04119544382536, 49.221132160873395]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04799062155803, 49.220088604864166], [-123.04798989552411, 49.22011882028533]]}"
200;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0355542503036, 49.22016726814793], [-123.03523868748596, 49.22016427047086]]}"
20;1970-01-01;Polyvinyl Chloride;"{""type"": ""LineString"", ""coordinates"": [[-123.02439673684138, 49.207540077345776], [-123.02439669634533, 49.20745777043571]]}"
50;;Galvanized;"{""type"": ""LineString"", ""coordinates"": [[-123.02637946251212, 49.20782534099596], [-123.02637922442955, 49.20737781630236]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13272585045361, 49.284217233182034], [-123.13267465181924, 49.28425084398067]]}"
200;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03390486216489, 49.22017190186491], [-123.03394198535398, 49.220157768385896]]}"
750;1987-01-01;Concrete;"{""type"": ""LineString"", ""coordinates"": [[-123.07704827392256, 49.28029524086639], [-123.07703065328569, 49.280307863854944]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13241728596323, 49.28442016752305], [-123.13210475249363, 49.28462588507862]]}"
100;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03226125571976, 49.22119010655915], [-123.03103062917812, 49.22117097793153]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04368283790981, 49.2415321336581], [-123.04366911205769, 49.24154646826238]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0492455327092, 49.21924908758205], [-123.04924552153756, 49.219237843494774]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05184237525307, 49.247897088947944], [-123.05176696868791, 49.247897059793964]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04939897464237, 49.27743426817425], [-123.04919724143078, 49.277432213388465]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03350452195892, 49.265607946998436], [-123.03217134915151, 49.26560664379372]]}"
100;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02530448486274, 49.248760550000654], [-123.02514831043952, 49.248760674053685]]}"
300;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.023713565278, 49.260715450867906], [-123.02371473541288, 49.26074812122436]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05055440382216, 49.24750594447881], [-123.05108490861703, 49.247503651213144]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0505123705466, 49.24751729685329], [-123.05055440382216, 49.24750594447881]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05047897089521, 49.24750642722385], [-123.0505123705466, 49.24751729685329]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05040603847138, 49.247506710933656], [-123.05047897089521, 49.24750642722385]]}"
150;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05214499291847, 49.269332192303], [-123.05214474841625, 49.26934801496185]]}"
200;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04911902764401, 49.29213486274721], [-123.04907858864891, 49.29212831346257]]}"
150;1987-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02604266591034, 49.248761195531706], [-123.02542413702581, 49.24876038880332]]}"
150;1956-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03371627624261, 49.28006476505414], [-123.03371632629917, 49.280138192678564]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04653292005653, 49.21797655325172], [-123.04699998716633, 49.21748616659196]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1504076399778, 49.26908606594021], [-123.1504079206172, 49.269074380810494]]}"
450;1931-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.04125784245994, 49.22020428536877], [-123.04125716481656, 49.22021507993717]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04543838882508, 49.2590255499664], [-123.04448944786894, 49.25902098988995]]}"
150;1944-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03654204627085, 49.27131101521395], [-123.03626433430448, 49.27131109371323]]}"
150;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03102743135334, 49.280155694999614], [-123.031041180568, 49.28015569130691]]}"
150;1944-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0338911884697, 49.27130875579637], [-123.03378121398961, 49.2713081493425]]}"
200;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04942929551028, 49.274935815722785], [-123.04924878750158, 49.27493598275175]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04696530708297, 49.27659708481937], [-123.04668895914149, 49.276588021724166]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04673169015526, 49.27743365961056], [-123.04656856377379, 49.27743270901306]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04430551683991, 49.27657835488024], [-123.04420129151717, 49.27657830484506]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04676249028334, 49.272260146557635], [-123.04695921086568, 49.27226086734771]]}"
150;1952-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0746878297908, 49.219603327898625], [-123.07460816732609, 49.219602839662166]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04675789271654, 49.27756243303705], [-123.04675765710319, 49.27754589099208]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04969803395683, 49.24790162037589], [-123.04969756485193, 49.247844932645634]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04970069964675, 49.24750472273584], [-123.04984405116406, 49.247505263658304]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04970167101558, 49.247076207563566], [-123.04970176867734, 49.24702292877356]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04970099298595, 49.246359629792266], [-123.04970271520295, 49.24624115286003]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04557645732149, 49.27533963739914], [-123.04557727896443, 49.27529136890804]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0310124181739, 49.28377509665866], [-123.03101218102093, 49.28383545432839]]}"
800;;Concrete;"{""type"": ""LineString"", ""coordinates"": [[-123.02341476550605, 49.22919761860338], [-123.02341520863291, 49.22926337384677]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0261656334695, 49.229212751985166], [-123.02616576939513, 49.229210053377074]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03382064672238, 49.24044376153445], [-123.03380456856205, 49.240437199714925]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03354160650551, 49.26560804418124], [-123.03353201235122, 49.265608010985204]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03101591104299, 49.28173669036084], [-123.0310034538549, 49.281605094284366]]}"
150;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03070206094417, 49.28202390916745], [-123.03067518294228, 49.282028314946366]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03101534393025, 49.282147868966945], [-123.03101540414204, 49.28202463505354]]}"
300;1988-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0310142871074, 49.28265518809657], [-123.03101438946166, 49.28259914813424]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03101391035074, 49.28293142998742], [-123.0310138724984, 49.28287107238201]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02581782676454, 49.28292354168682], [-123.02582607670846, 49.2829234498915]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02578009028214, 49.241777607743195], [-123.02576950929927, 49.24177320243726]]}"
900;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.02361417073894, 49.23628562080556], [-123.02361342337738, 49.236072235714936]]}"
800;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.02361981331761, 49.23210116434733], [-123.02356279164161, 49.23206375573892]]}"
100;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05134902999973, 49.240515504927], [-123.05186090230036, 49.23999102464801]]}"
200;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03060477427589, 49.240294842501754], [-123.03020860384714, 49.24013151224949]]}"
150;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03493307911492, 49.248735470828336], [-123.03401621937105, 49.248738281073386]]}"
300;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0236649778895, 49.27309640728567], [-123.0236649648049, 49.27309779254744]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04676386893108, 49.28862328293682], [-123.0467642916569, 49.28857588724118]]}"
25;1925-01-01;Galvanized;"{""type"": ""LineString"", ""coordinates"": [[-123.04676610837718, 49.28972604417803], [-123.0467644414776, 49.29011550842374]]}"
150;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05191307319257, 49.27659586736719], [-123.04956378713518, 49.2765932649032]]}"
300;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02616607749198, 49.22927328996846], [-123.02606441023185, 49.22927307907541]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0276155447169, 49.22927865555312], [-123.0265542318608, 49.229274550685126]]}"
450;1960-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.1703080363077, 49.22736518847072], [-123.17123667735481, 49.22737471790897]]}"
800;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.02361916638206, 49.23250169610184], [-123.02361342337738, 49.236072235714936]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03644616451264, 49.272246590356716], [-123.03624917082523, 49.272248082560836]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0237272066015, 49.2414919720466], [-123.02363451293556, 49.24149167621368]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05227326103268, 49.24878688266564], [-123.0521050925143, 49.248788325907064]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04972006205615, 49.24880717849884], [-123.04983214334982, 49.248807130209315]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04172242012811, 49.26381698954665], [-123.04160763803087, 49.26381663514905]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04432763341643, 49.26382361137193], [-123.04407172209244, 49.26382457280921]]}"
100;1970-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03531603043066, 49.24041821735927], [-123.03531115195322, 49.24041622190717]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04974969452387, 49.24969027212146], [-123.04967968500846, 49.2496899064573]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05162770922959, 49.232883867687214], [-123.05162527530341, 49.23276270272479]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05162128457059, 49.23253161646631], [-123.05162422331787, 49.23270225509766]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05164300188356, 49.233731393463685], [-123.05162770922959, 49.232883867687214]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05164458212407, 49.233810991732824], [-123.05164375704813, 49.23377060342508]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04721846025588, 49.2478947266137], [-123.04721356869199, 49.247894692631895]]}"
300;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02366492638588, 49.27310369339927], [-123.02366458517982, 49.27316634495992]]}"
300;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0236649648049, 49.27309779254744], [-123.02366492638588, 49.27310369339927]]}"
800;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.02840427137976, 49.24174078651661], [-123.03384753912195, 49.24397150587397], [-123.03377626880962, 49.2444674070129]]}"
800;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.03377626880962, 49.2444674070129], [-123.03376013314849, 49.24457994210412]]}"
300;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0364096092738, 49.27547536162152], [-123.03640597105056, 49.2757623181702]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05217597267163, 49.26749022288659], [-123.05217523848985, 49.26753699824846]]}"
300;1980-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02368383264951, 49.27316903057779], [-123.02366458647072, 49.27316904351628]]}"
300;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02366663584193, 49.273429813615564], [-123.02366603911616, 49.273418128987984]]}"
300;1975-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03640597105056, 49.2757623181702], [-123.03640477530256, 49.275856165310756]]}"
300;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02372009119348, 49.25987882312959], [-123.0237193779645, 49.260025211316076]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0236666141793, 49.2829241462282], [-123.02367346314206, 49.28301338594172]]}"
150;1944-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10590852546923, 49.230423588530805], [-123.10805410806343, 49.23048075436051]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02365766744144, 49.28290481743216], [-123.02370360611977, 49.282904799022624], [-123.0237036105865, 49.28291411802157]]}"
150;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05200948803689, 49.28691017838646], [-123.05200957360432, 49.28686079487657]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05200865141053, 49.248804740675915], [-123.04983214334982, 49.248807130209315]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04968494397201, 49.24891937308626], [-123.049687148627, 49.24881598099587]]}"
300;1991-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0334806974904, 49.27336179377507], [-123.03348250078501, 49.27320283927141], [-123.03348274907643, 49.27318376939892]]}"
150;1940-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03386787924028, 49.272240178694425], [-123.03372436059475, 49.272240490527935]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03386787924028, 49.272240178694425], [-123.03566255658646, 49.27224609726359]]}"
150;1972-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03065729337679, 49.27903202609793], [-123.03064052478688, 49.279040216159245]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03069510285833, 49.27903201606031], [-123.03065729337679, 49.27903202609793]]}"
300;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03103030086582, 49.2790315577289], [-123.03103013262046, 49.27898253404416]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03103093180643, 49.279160638387616], [-123.03103030086582, 49.2790315577289]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04450700097186, 49.26382304768159], [-123.04448597162035, 49.2638230557803]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04688657238596, 49.29068053502554], [-123.04424992189631, 49.29068817719404]]}"
200;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03428088511738, 49.24180651255309], [-123.03302072844802, 49.241290912733874]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05204050556942, 49.27591639476757], [-123.05204211095966, 49.276540650853754]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07123772366734, 49.24784830300676], [-123.07123658743159, 49.24787987696246]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03666921738494, 49.254709199858794], [-123.03659832018324, 49.25470722540039]]}"
300;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03093633108878, 49.277411289962096], [-123.03093509074645, 49.27740652284754], [-123.03092006894802, 49.277348957701186]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.052007884529, 49.27798527464446], [-123.0520357608341, 49.27743079906424]]}"
900;;Concrete;"{""type"": ""LineString"", ""coordinates"": [[-123.0336534167495, 49.26573959346473], [-123.0336522476893, 49.2661023432483]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05199514805483, 49.278163375977066], [-123.05200763625487, 49.27814142211411]]}"
150;1990-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05200781041272, 49.278045542395226], [-123.052007884529, 49.27798527464446]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04358913181315, 49.21818070698462], [-123.04267579734615, 49.2181598641502]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02380989562297, 49.28105291349314], [-123.02374620810129, 49.28105292659866]]}"
50;1936-01-01;Galvanized;"{""type"": ""LineString"", ""coordinates"": [[-123.02897467151583, 49.22915799308976], [-123.02898084695305, 49.22891404014407]]}"
150;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04675926532742, 49.278359945289765], [-123.04675902069329, 49.27824660610627]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02897282024843, 49.229280508963946], [-123.02793432303663, 49.229279613362415]]}"
