ACO;ShotsDate;Sex;ReceiptNumber;PitNumber;Name;KennelNumber;EnteredBy;DispositionDate;DateImpounded;Color;Code;Breed;ApproxWeight;AnimalID;Age category;Source;Status
rb;2013-12-10;F/S;DA 13-450623;;Pussy Willow;200;Rachel Blyth;2013-12-12 00:00:00;2013-11-23;Black;;Husky X;;24825;Puppy;TRANSFERRED;Sold
31;;M/N;;;Schubert;400;Brian  MacDonald;2013-11-24 00:00:00;2013-11-23;Black;;Lab X;;24826;;HOLDING STRAY;Ride Home Free
12;;M;13-445941 DIAK;;Choo Choo;200;Jeanette Nelson;2013-11-24 00:00:00;2013-11-23;White;;Shih Tzu;;24827;Adult;BROUGHT-IN;Redeemed
12;2013-12-06;M/N;DA 14-182202 AK;;Tilt;200;Jeanette Nelson;2014-01-22 00:00:00;2013-11-24;Tan;Blue;Pit Bull;;24828;Senior;HOLDING STRAY;Sold
29;;F/S;;;Molly;;Lorne Elgar;2013-11-24 00:00:00;2013-11-24;White;;Chihuahua;;24829;Adult;HOLDING STRAY;Ride Home Free
;;M;;;;100;Toni Peterson;2013-11-26 00:00:00;2013-11-26;Yellow;;Labrador;;24832;Young Adult;BROUGHT-IN;Transferred
rb;;F/S;13-450147DAAK;;Bessie;200;Rachel Blyth;2013-12-08 00:00:00;2013-11-26;Brown;;Husky X;;24833;Puppy;TRANSFERRED;Sold
rb;2013-12-07;F/S;13-450043DA;;"Bonita now ""Essie""";200;Rachel Blyth;2013-12-10 00:00:00;2013-11-26;Brown;;Husky X;;24834;Puppy;TRANSFERRED;Sold
rb;2013-12-06;F/S;DA 13-450403;;Baya;200;Rachel Blyth;2013-12-11 00:00:00;2013-11-26;Brown;;Husky X;;24835;Puppy;TRANSFERRED;Sold
rb;2013-12-11;F/S;13-450148DA;;Benni (now Winter);200;Rachel Blyth;2013-12-11 00:00:00;2013-11-26;Brown;;Husky X;;24838;Puppy;TRANSFERRED;Sold
22;;M/N;;;Ned;400;Lori Fitzgerald;2013-11-28 00:00:00;2013-11-28;Brown;;Staffordshire Bull Terrier;;24844;Senior;HOLDING STRAY;Ride Home Free
rb;2013-12-10;F/S;DA 13-452478;;Dottie;200;Rachel Blyth;2013-12-18 00:00:00;2013-11-29;Black;;Lab X;;24845;Puppy;TRANSFERRED;Sold
rb;2013-12-10;F/S;13-450299DA;;Peggi;200;Rachel Blyth;2013-12-17 00:00:00;2013-11-29;Brown;;Lab X;;24846;Puppy;TRANSFERRED;Sold
;;M;13-449032DI;;Baxter;200;Elaine Lee;2013-12-03 00:00:00;2013-12-02;Seal;;Weimaraner;;24851;Adult;BROUGHT-IN;Redeemed
MA11;;M;13-449318DI;;Enzo;200;Mariana Ardeleanu;2013-12-04 00:00:00;2013-12-03;Tan;;Chihuahua;;24852;Adult;HOLDING STRAY;Redeemed
21;;M/N;13-449527 DI;;Dooley;200;Guy Palanuik;2013-12-05 00:00:00;2013-12-04;Brown;;Beagle;;24857;Senior;HOLDING STRAY;Redeemed
21;;M;13-449979 DI;;Juvy;200;Guy Palanuik;2013-12-06 00:00:00;2013-12-05;Tan;;Pit Bull;;24859;Adult;POLICE-NIGHT;Redeemed
21;;F;;;Tika;400;Guy Palanuik;2013-12-05 00:00:00;2013-12-05;Golden;;Shepherd X;;24860;Senior;HOLDING STRAY;Ride Home Free
15;;F/S;;;Kayla;400;Ching Koo;2013-12-06 00:00:00;2013-12-06;Yellow;;Golden Retriever;;24861;Senior;HOLDING STRAY;Ride Home Free
28;;M/N;;;Roek;400;Brad Martin;2013-12-06 00:00:00;2013-12-06;Yellow;;Labrador;;24862;Adult;HOLDING STRAY;Ride Home Free
rb;;M/N;DA 14-170523;;Duke (new name Norman);200;Rachel Blyth;2014-01-03 00:00:00;2013-12-07;Black;Yellow;Germ. Shepherd;;24863;Adult;TRANSFERRED;Sold
27;;M;;;Thunder;400;Carol Nguyen;2013-12-07 00:00:00;2013-12-07;Tan;;Malinois;;24864;Adult;HOLDING STRAY;Ride Home Free
22;;F/S;;;Rosy;200;Lori Fitzgerald;2013-12-10 00:00:00;2013-12-10;Black;;Lab X;;24868;Senior;HOLDING STRAY;Redeemed
3;;F;13-451343 DI;;Lu Lu;200;Bob Cristofoli;2013-12-12 00:00:00;2013-12-12;White;;Amer. Eskimo Dog;20;24872;Young Adult;HOLDING STRAY;Redeemed
15;;F/S;;;Jackie;400;Ching Koo;2013-12-12 00:00:00;2013-12-12;Black;;Chihuahua;;24874;Adult;HOLDING STRAY;Ride Home Free
28;;M;13-451554DI;0;Thunder;200;Jill  Mallon;2013-12-14 00:00:00;2013-12-13;Tan;;Malinois;;24875;Adult;HOLDING STRAY;Redeemed
12;2013-12-21;F/S;14-208901;;Bessie - aka Fornax;200;Jeanette Nelson;2014-03-23 00:00:00;2013-12-14;Black;Blue;Cane Corso;;24876;Senior;BROUGHT-IN;Sold
12;2013-12-21;M/N;14-208902;;Benny;200;Jeanette Nelson;2014-03-23 00:00:00;2013-12-14;Black;Blue;Cane Corso;;24877;Senior;BROUGHT-IN;Sold
12;;F;13-451715DI;;Garbo;200;Jeanette Nelson;2013-12-16 00:00:00;2013-12-16;White;;Husky;;24878;Young Adult;HOLDING STRAY;Redeemed
;;M;;;;100;Toni Peterson;2014-01-24 00:00:00;2013-12-16;Brown;;Pit Bull;;24880;Adult;COMPLAINT;Behavior
BC03;;M/N;13-453020 DI;;Buddy;200;Rachel Blyth;2013-12-20 00:00:00;2013-12-19;Cream;;Shih Tzu;;24892;Senior;HOLDING STRAY;Redeemed
3;;F;13-453299 DL;;Muppet Jane;200;Bob Cristofoli;2013-12-21 00:00:00;2013-12-19;White;;Shih Tzu;;24893;Senior;POLICE-DAY;Redeemed
27;;M/N;13-453244 DI;;Sky;200;Carol Nguyen;2013-12-20 00:00:00;2013-12-20;Blonde;;Husky X;100 lbs;24894;Senior;HOLDING STRAY;Redeemed
15;;M/N;;;Domingo;200;Ching Koo;2013-12-22 00:00:00;2013-12-20;Black;;Aust. Cattle Dog;;24895;Adult;POLICE-DAY;Redeemed
12;;M/N;RHF;;Henry;400;Jeanette Nelson;2013-12-23 00:00:00;2013-12-23;Tan;;Chihuahua;;24898;Adult;HOLDING STRAY;Ride Home Free
MA11;;M;13-453570DI;;Oreo;200;Mariana Ardeleanu;2013-12-23 00:00:00;2013-12-23;Black;;Pomeranian;;24899;;HOLDING STRAY;Redeemed
21;;F;13-453956DI;;Lulu;200;Guy Palanuik;2013-12-28 00:00:00;2013-12-24;White;;Amer. Eskimo Dog;;24902;Young Adult;COMPLAINT;Redeemed
;;X;;;;100;Toni Peterson;2014-01-28 00:00:00;2013-12-28;Brown;;Pigeon;;24908;Young Adult;BROUGHT-IN;Transferred
15;;F;;;;100;Ching Koo;2014-01-04 00:00:00;2013-12-28;Black;;Chicken;;24910;Adult;HOLDING STRAY;Transferred
12;;F;13-454107 DIAK;;Kira;200;Jeanette Nelson;2013-12-30 00:00:00;2013-12-29;Black;;Rottie X;;24911;Adult;COMPLAINT;Redeemed
21;;;;;;100;Guy Palanuik;2013-12-31 00:00:00;2013-12-30;Cream;;Rat;;24912;Senior;HOLDING STRAY;Behavior
3 & 21;;F;;;Cali;400;Bob Cristofoli;2014-01-04 00:00:00;2014-01-02;Brown;;Amer. Pit Bull;;24918;Adult;POLICE-DAY;Ride Home Free
27;;F/S;14-171121DI;;Shadow;200;Carol Nguyen;2014-01-04 00:00:00;2014-01-03;Black;;Rottweiler;;24925;Adult;HOLDING STRAY;Redeemed
MA11;;F/S;;;Lucy;400;Mariana Ardeleanu;2014-01-08 00:00:00;2014-01-07;Black;;Germ. Shepherd;;24929;Senior;COMPLAINT;Ride Home Free
ACO 22;;F/S;;;Marlie;400;Toni Peterson;2014-01-08 00:00:00;2014-01-08;Black;;Lab X;;24931;Adult;HOLDING STRAY;Ride Home Free
;;F;;;Zoe.;400;;2014-01-09 00:00:00;2014-01-09;Black;;Lab X;;24932;Adult;BROUGHT-IN;Ride Home Free
15;;M;;;Occi;400;Ching Koo;2014-01-13 00:00:00;2014-01-11;White;;Maltese;;24940;Adult;HOLDING STRAY;Ride Home Free
ACO 21;;M/N;14-177495DI;;Oliver;200;Toni Peterson;2014-01-17 00:00:00;2014-01-17;Tan;;Shepherd X;;24950;Adult;HOLDING STRAY;Redeemed
27;;F/S;14-180627DI;;Molly;200;Carol Nguyen;2014-01-18 00:00:00;2014-01-17;Black;;Lab X;;24952;Senior;HOLDING STRAY;Redeemed
12;;M;14-182347DI;;Prince;200;Jeanette Nelson;2014-01-22 00:00:00;2014-01-20;Tan;;Mastiff;;24956;Adult;HOLDING STRAY;Redeemed
;2013-12-19;M/N;DA 14-192221;;Houdini;200;John Gray;2014-02-22 00:00:00;2014-01-25;Black;Yellow;Husky X;;24961;Adult;TRANSFERRED;Sold
MA11;;M/N;RHF;;Gosha;400;Mariana Ardeleanu;2014-01-26 00:00:00;2014-01-26;Red;;Golden Retriever;;24962;;HOLDING STRAY;Ride Home Free
27;;M;14-184499DI SB;;Buddy;200;Carol Nguyen;2014-01-28 00:00:00;2014-01-27;Cream;;Standard Poodle;;24967;Adult;HOLDING STRAY;Redeemed
22;;F;;;Reena;400;Lori Fitzgerald;2014-01-29 00:00:00;2014-01-28;Black;;Pit Bull;;24968;;HOLDING STRAY;Ride Home Free
rb;2014-02-12;M/N;DA 14-189712;;Gunnar;200;Rachel Blyth;2014-02-13 00:00:00;2014-01-29;Black;green;Husky X;;24973;Puppy;TRANSFERRED;Sold
;;F/S;;;Lindy;200;Toni Peterson;2014-01-30 00:00:00;2014-01-30;Brown;;Labrador;;24975;Adult;BROUGHT-IN;Redeemed
3;;F;;;Bella;400;Bob Cristofoli;2014-01-31 00:00:00;2014-01-31;Brown;;Retriever;;24976;Young Adult;HOLDING STRAY;Ride Home Free
ACO 26;;F/S;14-187287DI;;;200;Toni Peterson;2013-09-04 00:00:00;2014-02-04;Golden;;Cocker Spaniel;;24980;Adult;COMPLAINT;Redeemed
11;;M/N;14-187643DI;;Double;200;Mariana Ardeleanu;2014-02-05 00:00:00;2014-02-05;Yellow;;Lab X;;24984;Young Adult;COMPLAINT;Redeemed
;;M/N;;;Murphy;400;Toni Peterson;2014-02-06 00:00:00;2014-02-06;Black;;Kerry Blue Terrier;;24987;Adult;BROUGHT-IN;Ride Home Free
23;;F;;;Cheetah;400;Brad Martin;2014-02-07 00:00:00;2014-02-06;White;;Amer. Eskimo Dog;;24989;Senior;BROUGHT-IN;Ride Home Free
15;;M/N;14-188815 DI;;Tee Tee;200;Ching Koo;2014-02-09 00:00:00;2014-02-08;Black;;Husky;;24993;Adult;HOLDING STRAY;Redeemed
;;F;14-188825 DI;;Cali;200;Brian  MacDonald;2014-02-09 00:00:00;2014-02-08;Blue;;Pit Bull;;24994;Adult;HOLDING STRAY;Redeemed
3;;F;14-190318DI;;Miami;200;Bob Cristofoli;2014-02-13 00:00:00;2014-02-11;Brown;;Germ. Shepherd;;24997;Adult;HOLDING STRAY;Redeemed
27;;F/S;;;Valentina;100;Carol Nguyen;2014-07-28 00:00:00;2014-02-14;Black & White;;Rabbit;;25003;Adult;HOLDING STRAY;Transferred
;;F;;;Keyo;400;Elaine Lee;2014-02-15 00:00:00;2014-02-15;Golden;;Shiba Inu;;25005;Senior;BROUGHT-IN;Ride Home Free
;;F;14-190949 DI;;Bella;200;Brian  MacDonald;2014-02-15 00:00:00;2014-02-15;Black;;Retriever;;25007;Young Adult;HOLDING STRAY;Redeemed
TU;2014-02-26;M/N;DA14-207564;;Dax;200;Tammy Unrau;2014-03-21 00:00:00;2014-02-17;Black;BLUE;Germ. Shepherd;;25011;Young Adult;BROUGHT-IN;Sold
TU;;M;14-191822DI;;Jules;200;Tammy Unrau;2014-02-18 00:00:00;2014-02-17;Golden;;Lab X;80lbs;25012;Adult;BROUGHT-IN;Redeemed
MA11;;M;DI 14-195281;;Chuuwee;200;Mariana Ardeleanu;2014-02-27 00:00:00;2014-02-18;Black;;Border Collie;;25013;Young Adult;BROUGHT-IN;Redeemed
26/12;;F;14-194414DI;;Reena;200;Samantha  Law;2014-02-26 00:00:00;2014-02-24;Black;;Amer. Staffordshire;;25026;Adult;HOLDING STRAY;Redeemed
3;;M;14-199629DI;;Cookie;200;Bob Cristofoli;2014-03-01 00:00:00;2014-02-26;Brown;;Chihuahua;;25031;Young Adult;HOLDING STRAY;Redeemed
11;;M/N;14-195292DI;;Zola;200;Jeanette Nelson;2014-02-28 00:00:00;2014-02-27;Brown;;Labrador;;25033;Senior;HOLDING STRAY;Redeemed
JN12;;;;;;100;Mariana Ardeleanu;2014-03-01 00:00:00;2014-02-27;Red;;Corn Snake;;25035;Adult;HOLDING STRAY;Transferred
12;;M;;;Kinew;100;Jeanette Nelson;2014-04-11 00:00:00;2014-03-02;Tan;;Pit Bull;;25038;Young Adult;HOLDING STRAY;Behavior
3;;M/N;14-201527DI;;Fado;200;Bob Cristofoli;2014-03-06 00:00:00;2014-03-05;Black;;Portugese Water Dog;;25044;Adult;OTHER;Redeemed
15;;F;1681711;;Reena;200;Ching Koo;2014-03-09 00:00:00;2014-03-08;Black;;Pit Bull;;25048;Young Adult;HOLDING STRAY;Redeemed
12/26;;M;14-203011DI;;Charlot;200;Samantha  Law;2014-03-10 00:00:00;2014-03-10;Golden;;Golden Retriever;;25050;Senior;HOLDING STRAY;Redeemed
12;;F/S;;;Jessie;400;Jeanette Nelson;2014-03-11 00:00:00;2014-03-11;Tan;;Germ. Shepherd;;25052;Senior;HOLDING STRAY;Ride Home Free
Duty driver;;F;1684865;;Coco;200;Joy Tullos;2014-03-15 00:00:00;2014-03-15;Black;;Bernese Mtn. Dog;;25055;Adult;HOLDING STRAY;Redeemed
29;2014-03-25;M;DA 14-210953;;Baxter;200;Lorne Elgar;2014-03-29 00:00:00;2014-03-17;Grey;Green;Schnauzer;;25059;Adult;HOLDING STRAY;Sold
29;;F/S;14-206185DI;;Petra;200;Lorne Elgar;2014-03-18 00:00:00;2014-03-17;Black;;Border Collie;;25060;Adult;HOLDING STRAY;Redeemed
22;;M;1687324;;Moka;200;Lori Fitzgerald;2014-03-21 00:00:00;2014-03-18;Tan;Green;Pomeranian;;25063;Adult;HOLDING STRAY;Redeemed
;;X;;;;100;Toni Peterson;2014-03-21 00:00:00;2014-03-19;Brown;;Fancy Pigeon;;25065;;BROUGHT-IN;Escaped
Duty driver;2014-03-25;M;DA 14-210967;;Kip;200;Joy Tullos;2014-03-30 00:00:00;2014-03-22;White;yellow;Labradoodle;;25072;Puppy;TRANSFERRED;Sold
15;;M/N;;;Sparky;0;Carol Nguyen;2014-03-22 00:00:00;2014-03-22;Red;;Shiba Inu;;25074;Adult;BROUGHT-IN;Ride Home Free
26;;M/N;;;Boots;400;Jeanette Nelson;2014-03-28 00:00:00;2014-03-26;Black;;Shih Tzu;;25082;Adult;BROUGHT-IN;Ride Home Free
ACO 15;;F/S;14-215661 DI;;Mary;200;Toni Peterson;2014-04-02 00:00:00;2014-03-27;Apricot;;Toy Poodle;;25083;Adult;HOLDING STRAY;Redeemed
;;M/N;14-211186 DI;;Apple;200;Tiffany Wu;2014-03-30 00:00:00;2014-03-29;Black;;Doberman Pinscher;;25087;Puppy;BROUGHT-IN;Redeemed
29;;M;DG14-21196;;Porter;200;Lorne Elgar;2014-03-30 00:00:00;2014-03-30;Black;;Portugese Water Dog;;25089;Adult;HOLDING STRAY;Redeemed
3;;M;14-215050 DI;;Shmoe;200;Bob Cristofoli;2014-04-01 00:00:00;2014-04-01;White;;Jack Russell Terrier;;25099;Adult;HOLDING STRAY;Redeemed
22;;M/N;14-216041 DIAK;;Wess;200;Lori Fitzgerald;2014-04-03 00:00:00;2014-04-02;Brown;;Pointer;;25105;Young Adult;HOLDING STRAY;Redeemed
15 & 22;;F;14-216289 DI;;Sugar;200;Lori Fitzgerald;2014-04-04 00:00:00;2014-04-03;White;;Argentine Dogo;;25110;Senior;COMPLAINT;Redeemed
21;;M;DI:14-216904;;Ny;200;Guy Palanuik;2014-04-06 00:00:00;2014-04-06;Yellow;;Labrador;;25113;Young Adult;HOLDING STRAY;Redeemed
15;;M;;;Taz;400;Ching Koo;2014-04-08 00:00:00;2014-04-08;Tan;;Yorkshire Terrier;;25117;Young Adult;HOLDING STRAY;Ride Home Free
12;;M/N;14-218335 - DIAK;;Bobo;200;Jeanette Nelson;2014-04-09 00:00:00;2014-04-08;White;;Bichon Frise;;25119;Adult;HOLDING STRAY;Redeemed
ACO 12;;F/S;;;Lucy;400;Toni Peterson;2014-04-09 00:00:00;2014-04-09;Black;;Germ. Shepherd;;25121;Adult;HOLDING STRAY;Ride Home Free
22;;M/N;DI 14-218702 - AK;;Wan Wan;200;Lori Fitzgerald;2014-04-10 00:00:00;2014-04-10;Tan;;Chihuahua;;25126;Adult;COMPLAINT;Redeemed
27;2014-05-14;F/S;DA 14-235117;;Gigi (new name);200;Carol Nguyen;2014-05-16 00:00:00;2014-04-11;Grey;Yellow;Schnauzer;;25128;Senior;HOLDING STRAY;Sold
27;;F/S;;;Furball;400;Carol Nguyen;2014-04-12 00:00:00;2014-04-12;Brown;;Pomeranian;;25130;Adult;HOLDING STRAY;Ride Home Free
3;;M;14-220025DI;;Prince;200;Bob Cristofoli;2014-04-14 00:00:00;2014-04-13;Cream;;Pug;;25135;Young Adult;HOLDING STRAY;Redeemed
11/26;;F;14-220474DI;;Piggy Smalls;200;Samantha  Law;2014-04-15 00:00:00;2014-04-14;White;;Potbelly Pig;;25136;Young Adult;HOLDING STRAY;Redeemed
26;;F;14-220816 - DIAK;;Lizzy;200;Samantha  Law;2014-04-16 00:00:00;2014-04-15;Black;;Yorkshire Terrier;;25140;Adult;HOLDING STRAY;Redeemed
11;;F;;;Blue;400;Samantha  Law;2014-04-15 00:00:00;2014-04-15;Brown;;Beagle;;25141;Senior;COMPLAINT;Ride Home Free
rb;2014-04-11;M/N;DA 14-223302/1698964;;Caleb;200;Rachel Blyth;2014-04-25 00:00:00;2014-04-17;Black;Blue;Lab X;;25144;Puppy;TRANSFERRED;Sold
rb;2014-03-14;F/S;DA 14-228982;;Bella;200;Rachel Blyth;2014-05-02 00:00:00;2014-04-17;Yellow;Blue;Lab X;;25145;Puppy;TRANSFERRED;Sold
rb;2014-02-20;F/S;;;Daphne;100;Rachel Blyth;2014-09-24 00:00:00;2014-04-17;Black;Blue;Shepherd;;25147;Adult;TRANSFERRED;Transferred
;;M;13-446712DL;;Rusty;200;Brad Martin;2014-04-20 00:00:00;2014-04-19;Tan;;Rhodesian Ridgeback;;25150;Adult;BROUGHT-IN;Redeemed
27;;M/N;DI 14-222170 AK;;Max;200;Carol Nguyen;2014-04-22 00:00:00;2014-04-19;Black;;Beagle;;25151;Adult;HOLDING STRAY;Redeemed
26;;F;14-222122DIAK;;Maizy;200;Toni Peterson;2014-04-22 00:00:00;2014-04-21;Black;;Cav. King Charles Span.;;25159;Puppy;HOLDING STRAY;Redeemed
26;;M;DI 14-222233 AK;;Jojo;200;Samantha  Law;2014-04-22 00:00:00;2014-04-22;White;;Poodle X;;25160;Adult;HOLDING STRAY;Redeemed
26;;F;14-222498 DIAK;;Bella;200;Samantha  Law;2014-04-23 00:00:00;2014-04-22;Brown;;Pit X;;25161;Adult;HOLDING STRAY;Redeemed
11/26;;F;14-223417DI/1699041;;Bealey (aka Toffee);200;Samantha  Law;2014-04-25 00:00:00;2014-04-22;Tan;green;Shih Tzu;;25163;Adult;HOLDING STRAY;Redeemed
12;;M/N;1422301 DIAK;;Buddy;200;Jeanette Nelson;2014-04-24 00:00:00;2014-04-23;White;;Poodle X;;25165;Adult;HOLDING STRAY;Redeemed
27;;M/N;14-223002 DIAK;;Dic;200;Carol Nguyen;2014-04-24 00:00:00;2014-04-24;White;;Pit Bull;;25168;Adult;HOLDING STRAY;Redeemed
12;;F;14-224982DI;;Zoe;200;Jeanette Nelson;2014-04-30 00:00:00;2014-04-28;Black;;Yorkie X;;25184;Adult;BROUGHT-IN;Redeemed
12;;M;DI 14-225504 AK;;Lemon;200;Jeanette Nelson;2014-04-29 00:00:00;2014-04-28;White;;Maltese;;25185;Adult;BROUGHT-IN;Redeemed
27;2014-05-13;F/S;;;Sprint aka Vala/);100;Carol Nguyen;2014-05-23 00:00:00;2014-05-03;Black;;Malinois;;25194;Young Adult;HOLDING STRAY;Transferred
3;;F/S;14-232600DI;;Chill;200;Bob Cristofoli;2014-05-09 00:00:00;2014-05-03;Black;;Lab X;;25196;Senior;HOLDING STRAY;Redeemed
;2014-05-13;F/S;DA 14-234331 AK;;Sparrow;200;Joy Tullos;2014-05-17 00:00:00;2014-05-03;Tan;Yellow;Husky X;;25197;Young Adult;TRANSFERRED;Sold
11/26;;X;;;Bok Bok;100;Samantha  Law;2014-05-17 00:00:00;2014-05-06;Black;;Plymouth Rock Chicken;;25200;Young Adult;HOLDING STRAY;Transferred
3;;M;DI 14-233269 AK;;Tiko;200;Bob Cristofoli;2014-05-11 00:00:00;2014-05-08;Brown;;Pit Bull;;25204;Young Adult;COMPLAINT;Redeemed
ACO 27;;M;;;Jackson;400;Toni Peterson;2014-05-09 00:00:00;2014-05-09;Golden;;Golden Retriever;;25205;Adult;HOLDING STRAY;Ride Home Free
rb;2014-05-14;F/S;DA 14-235113AK;;Mona Lisa;200;Rachel Blyth;2014-05-15 00:00:00;2014-05-09;Tan;Yellow;Great Dane;;25206;Puppy;TRANSFERRED;Sold
11/26;;F/S;14-233610DI;;Quali;200;Samantha  Law;2014-05-12 00:00:00;2014-05-11;Golden;;Golden Retriever;;25210;Adult;HOLDING STRAY;Redeemed
11;;F/S;14-234129DI;;Macey;200;Samantha  Law;2014-05-13 00:00:00;2014-05-12;White;;Chihuahua;;25215;Adult;HOLDING STRAY;Redeemed
;;M/N;;;Migo (aka Thor);100;Toni Peterson;2014-05-15 00:00:00;2014-05-13;Tan;;Chihuahua;;25216;Adult;OTHER;Behavior
;;M;DI 14-234353 AK;;Buddy;200;Arlene Kumar;2014-05-13 00:00:00;2014-05-13;Brown;;Yorkshire Terrier;;25217;Adult;BROUGHT-IN;Redeemed
15;;M/N;;;Trout;400;Ching Koo;2014-05-16 00:00:00;2014-05-16;Brown;;Springer Spaniel;;25222;Adult;HOLDING STRAY;Ride Home Free
15;2014-05-28;F/S;DA 15-168212;;Katanna;200;Ching Koo;2015-01-03 00:00:00;2014-05-16;Black;Blue;Akita;;25223;Adult;HOLDING STRAY;Sold
15;;M/N;;;Tucker;400;Ching Koo;2014-05-16 00:00:00;2014-05-16;Brown;;Silky Terrier;;25225;Adult;HOLDING STRAY;Ride Home Free
21;;M;DI 14-236266 AK;;Brooklyn;200;Guy Palanuik;2014-05-20 00:00:00;2014-05-17;Black;;Lab X;;25229;Adult;HOLDING STRAY;Redeemed
3;;M/N;DI 14-237227 AK;;Wayne;200;Bob Cristofoli;2014-05-20 00:00:00;2014-05-20;Yellow;;Labrador;;25239;Young Adult;HOLDING STRAY;Redeemed
;;M;14-245843DA;;;200;Toni Peterson;2014-06-05 00:00:00;2014-05-20;Tan;;Hamster;;25240;Adult;BROUGHT-IN;Sold
;;F;14-249687;;Ava;200;Toni Peterson;2014-06-13 00:00:00;2014-05-20;Tan;;Hamster;;25241;Adult;BROUGHT-IN;Sold
ACO11;;M/N;N/C - AK;;Mookie;400;Mariana Ardeleanu;2014-05-20 00:00:00;2014-05-20;White;;Pit Bull;;25243;;POLICE-DAY;Ride Home Free
Joy Tullos;2014-05-28;M/N;DA 14-257318AK;22;Danny (aka Titanium);200;Joy Tullos;2014-06-30 00:00:00;2014-05-20;Brown;Blue;Pit X;;25244;Young Adult;HOLDING STRAY;Sold
MA11;;M/N;;;Tiko;400;Mariana Ardeleanu;2014-05-20 00:00:00;2014-05-20;Cream;;Pomeranian;;25245;;HOLDING STRAY;Ride Home Free
15;;F/S;14-237815 DI;;Bandid;200;Ching Koo;2014-05-21 00:00:00;2014-05-20;Grey;;Border Collie;;25246;Adult;HOLDING STRAY;Redeemed
;2014-05-28;M/N;;;Henry (Liam (new name);400;Toni Peterson;2014-06-05 00:00:00;2014-05-21;White;Yellow;Jack Russell Terrier;;25249;Adult;HOLDING STRAY;Ride Home Free
Joy Tullos;;M;DI 14-237693;;Lemmy;200;Joy Tullos;2014-05-21 00:00:00;2014-05-21;Black;;Basset Hound;;25250;Young Adult;HOLDING STRAY;Redeemed
;;M/N;;;Tobi;400;Elaine Lee;2014-05-21 00:00:00;2014-05-21;Golden;;Germ. Shepherd;;25251;;BROUGHT-IN;Ride Home Free
26;;F;;;Sassy;100;Samantha  Law;2014-05-31 00:00:00;2014-05-21;Brown;;Rabbit;;25254;Adult;HOLDING STRAY;Transferred
3;2014-05-28;M/N;DI 14-254793 AK;;Raven (Floyd);200;Bob Cristofoli;2014-06-25 00:00:00;2014-05-22;Black;Yellow;Shepherd;;25255;Senior;HOLDING STRAY;Redeemed
12;;M/N;14-239191DI;;Spike;200;Jeanette Nelson;2014-05-24 00:00:00;2014-05-24;Black;;Cav. King Charles Span.;;25258;Senior;HOLDING STRAY;Redeemed
3;;F;;;Juno;400;Bob Cristofoli;2014-05-24 00:00:00;2014-05-24;Tan;;Pit Bull;;25261;Young Adult;COMPLAINT;Ride Home Free
ACO 11;;M/N;14-240173DI;;Darby;200;Mariana Ardeleanu;2014-05-26 00:00:00;2014-05-26;Tan;;Yorkshire Terrier;;25264;;OTHER;Redeemed
;;;;;;100;Elaine Lee;2014-05-31 00:00:00;2014-05-30;Seal;;Red Ear Slider Turtle;;25279;;BROUGHT-IN;Transferred
;2014-06-17;M/N;DA 14-265031;;Twix (new name);200;Elaine Lee;2014-07-19 00:00:00;2014-05-30;Tan;Blue;Terrier;;25280;Adult;BROUGHT-IN;Sold
SB;;M;14-198263;;Figo;400;;2014-06-01 00:00:00;2014-05-31;Cream;;Shih Tzu;;25285;Adult;BROUGHT-IN;Ride Home Free
21;;M/N;;;Ommy;400;Guy Palanuik;2014-06-05 00:00:00;2014-06-03;Brown;;Mastiff X;;25295;Young Adult;POLICE-NIGHT;Ride Home Free
26;;M;14-245835 DIAK;;Rouleau;200;Samantha  Law;2014-06-04 00:00:00;2014-06-04;White;;West Highland Terrier;;25299;Adult;HOLDING STRAY;Redeemed
3;;M/N;;;Zues;400;Bob Cristofoli;2014-06-05 00:00:00;2014-06-05;Yellow;;Labrador;;25300;Adult;HOLDING STRAY;Ride Home Free
Joy Tullos;;M;14-246240;;Quasi;200;Joy Tullos;2014-06-05 00:00:00;2014-06-05;Grey;;Ferret;;25301;;HOLDING STRAY;Redeemed
Joy Tullos;2014-02-18;M/N;DA 14-269013;;Zac (new name);200;Joy Tullos;2014-07-29 00:00:00;2014-06-05;Black;Yellow;Shepherd X;65lbs;25304;Young Adult;TRANSFERRED;Sold
;;M;DI14-247773AK;;Nino;200;Elaine Lee;2014-06-10 00:00:00;2014-06-06;Tan;;Yorkshire Terrier;;25305;Adult;BROUGHT-IN;Redeemed
3;;M/N;14-246998 DI;;Woody;200;Bob Cristofoli;2014-06-07 00:00:00;2014-06-06;Brown;;Miniature Poodle X;;25306;Adult;HOLDING STRAY;Redeemed
28;;;n/c;;Duke;400;Arlene Kumar;2014-06-09 00:00:00;2014-06-08;Black;;Pit Bull;;25313;;HOLDING STRAY;Ride Home Free
27;;M;14-247287 DLAk;;Forte;200;Carol Nguyen;2014-06-09 00:00:00;2014-06-08;Brown;;Pit X;;25316;Young Adult;HOLDING STRAY;Redeemed
29;;;14-247762 DIAK;;Cisco;200;Lorne Elgar;2014-06-09 00:00:00;2014-06-08;White;;Amer. Eskimo Dog;;25318;Young Adult;POLICE-DAY;Redeemed
