CODI;TIPUS_VIA;PARTICULES;NOM;DATA_APROV;NOTES_DATA;DESCRIPCIO1;DESCRIPCIO2;FONTS_DOC;ALTRES_NOMS
003009;carrer;d';Agramunt;05/09/1907;;Municipi de l'Urgell.;;{n80}.;La Glòria, 31/03/1875
003100;carrer;de l';Agregació;20/04/1897;;En commemoració de l'agregació a Barcelona dels pobles del pla l'any 1897: Sant Andreu, Sants, les Corts de Sarrià, Sant Martí de Provençals, Sant Gervasi i Gràcia.;;{AHCB:RiC,m}.;Agregación
012859;passeig;de l';Agrícola;12/06/1980;;En record de la Societat Agrícola que sanejà les terres pantanoses de l'indret.;;{AHCB:RiC,m}.;"Álvarez de la Campa, 1960; Agrícola, 26/05/1925; Cº de la Agrícola, abans de 1925"
003406;carrer;de l';Agricultura;25/04/1945;;Dedicat a l'art de conrear la terra. Simultàniament (vers l'any 1880) altres carrers de Sant Martí reberen el nom d'activitats econòmiques (treball, comerç, etc.).;;{PC:MPV,fn}.;Núm. 60 (Pla Cerdà)
003600;carrer;dels;Agudells;05/09/1907;;Serralada a orient de Collserola. Antic topònim, Acutellos o montanea d'Agudellos, citat com un dels límits de certa propietat que donaren en hipoteca a Adabert, fill d'El·lesindo, els esposos Bernat i Guilla com a garantia del deute de sis unces que aquell els havia prestat (any 1046).;;{AHCB:RiC,m}.;"Santa Amàlia; Ra. del Carmelo"
003701;carrer;de les;Agudes;28/04/1965;;Un dels cims culminants del Montseny (1706 m).;;{n80}.;
700021;passeig;d';Andreu Nin;14/12/1984;;Andreu Nin i Pérez (el Vendrell, 1892 - Madrid, 1937). Polític i escriptor. Militant del moviment obrer.;;{PC:en}.;Ciutat de Mallorca (prolongació)
015700;passatge;d';Andreví;29/03/1922;;"Francesc Andreví (Sanaüja, 1786 - Barcelona, 1853). Compositor. Mestre de capella de Santa Maria del Mar entre el 1814 i el 1819; de les catedrals de Sogorb, València i Sevilla; de la capella reial de Madrid; de la catedral de Bordeus (1836), i de la de París (1845). En tornar a Barcelona, fou mestre de capella de la Mercè. El nom anterior del passatge corresponia a Andreu Martí i Milà, propietari dels terrenys.";;"{n80;RP22:316.192.}.";Martí
015755;carrer;d';Andròmeda;24/10/1973;;La constel·lació, el nom de la qual es deu a la figura mitològica grega.;;{PC:MPV,fn}.;
100854;passatge;de l';Anemone;10/04/1981;;La planta. Forma part d'un conjunt de carrers amb noms de plantes i d'arbres.;;{n80}.;
015802;carrer;d';Aneto;17/11/1954;;Pic d'Aneto. Cim culminant dels Pirineus (3.404 metres). L'aprovació del nom fou feta conjuntament amb altres cims importants: Beret, Cadí, Teide, Canfranc, Montmajor, etc. (barriada del Turó de la Peira).;;{PC:MPV,fn}.;
015904;carrer;de l';Àngel;;Abans de 1850;Antic carrer de l'exvila de Gràcia, prop del carrer de Pere Serafí.;;{n80}.;
015959;pas;de l';Àngel;;Abans de 1900;Pren el nom del carrer de l'Àngel, al qual condueix.;;{n80}.;
016000;plaça;de l';Àngel;;Abans de 1865;Per un àngel de bronze sobre una piràmide de marbre, col·locat l'any 1618 en el portal de la muralla. L'àngel assenyalava una imatge de santa Eulàlia posada l'any 1456 sobre l'arc que donava entrada a la baixada de la Presó (avui baixada de la Llibreteria), i que recordava un miracle que succeí en el trasllat del cos de santa Eulàlia de Santa Maria del Mar a la catedral, l'any 879.;;;"Corretjer; Blat; Cabrits"
016204;carrer;d';Àngel Guimerà;;Abans de 1920;Àngel Guimerà i Jorge (Santa Cruz de Tenerife, 1845 - Barcelona, 1924). Dramaturg i poeta. L'Ajuntament el nomenà fill adoptiu de la ciutat al març de 1909.;;"{n80;AHCB:act.3.1909).";Romaní, abans de 1904
016102;carrer;d';Àngel J. Baixeras;07/03/1919;;Àngel Josep Baixeras (Barcelona, 1834 - 1892). L'any 1878 presentà al Senat un projecte de llei per a la reforma interior de les grans ciutats. El 1879, col·laborà en la redacció de la Llei d'expropiació forçosa. Presentà un pla de reforma interior que afectava bona part del nucli antic de Barcelona i que fou aprovat el 1881.;;{n80*}.;Gignàs (un tram)
016306;carrer;d';Àngel Marquès;29/04/1959;;Àngel Marquès i Batllevell (Falset, 1887 - Barcelona, 1958). Escriptor proselitista catòlic.;;{AMAB:en}.;
016350;plaça;d';Àngel Pestaña;09/05/1980;;"Àngel Pestaña i Núñez (Santo Tomás de las Ollas, 1886 - Barcelona, 1937). Dirigent anarcosindicalista. Dirigí Solidaritat Obrera (1918 - 1919); constituí la Federació Sindicalista Llibertària (1933), i dirigí el diari Mañana, òrgan de la Federació del Partit Sindicalista a Catalunya.";;{n80}.;
701222;plaça;de;Joan Coromines;06/05/1997;;Joan Coromines i Vigneaux (Barcelona, 1905 - Pineda de Mar, 1997). Lingüista. Estudià a Barcelona i completà estudis a Montpeller, Madrid, Zuric i París. Exercí com a professor de filologia romànica a la Universitat de Barcelona fins al 1939, any en què s'exilià. A Argentina fou professor a la Universitat de Cuyo fins al 1948, data del seu nomenament a la Universitat de Chicago, on professà fins a la jubilació. Membre de l'Institut d'Estudis Catalans. Fou un profund coneixedor del català, del castellà i de l'occità, així com de la lingüística indoeuropea i aràbiga. El 1989 rebé el Premi Nacional de les Lletres Espanyoles. Quant a la producció, cal destacar el Diccionario crítico etimológico de la lengua castellana (1957), els Estudis de toponímia catalana (1970), el Diccionari Etimológic i Complementari de la Llengua Catalana (1988) i  l'Onomasticon Cataloniae, recull onomàstic exhaustiu de les terres catalanes començat l'any 1931 i en el qual treballà fins a la seva mort.;;;
167425;plaça;de;Joan Corrades;14/10/1983;;Joan Corrades i Bosch (Hostafrancs de Sió, 1814 - Barcelona, 1875). L'any 1840, edificà l'Hostal d'Hostafrancs, d'aquesta manera introduí el nom del seu poble en la toponímia barcelonina i donà origen al barri.;;{PC:en}.;Joan Corrades i Bosch
171900;carrer;de;Joan Cortada;21/12/1921;;Joan Cortada i Sala (Barcelona, 1805 - 1868). Escriptor i filòsof.;;{n80ç.}.;Juan Cortada
171309;carrer;de;Joan d'Alòs;25/09/1931;;Joan d'Alòs i de Rius Ferrer Falguera (Barcelona, 1686 - 1746). Regidor perpetu. Propietari de la Torre Ponsic i d'altres finques de Sarrià.;;{RP8:8}.;"Juan de Alós; Finestrelles"
171400;carrer;de;Joan d'Àustria;07/07/1942;;Joan d'Àustria (Ratisbona, 1545 - Bruges, 1578). Capità general de la Mediterrània. Li fou atorgat el comandament a la batalla de Lepant.;;{n80}.;"Juan de Austria; Lepanto (1r tram), 01/08/1929; Polonia, 17/03/1908; Lepanto; Núm. 41 (Pla Cerdà)"
224904;passeig;de;Joan de Borbó Comte de Barcelona;03/04/1993;;"Joan de Borbó i de Battenberg (La Granja de San Ildefonso, 1913 - Pamplona, 1993). Infant d'Espanya (1913 - 1933); príncep de Girona, Astúries i Viana (1941 - 1993); comte de Barcelona, i cap de la Casa Reial espanyola. En proclamar-se la Segona República, hagué d'exiliar-se. Abdicà a favor del seu fill Joan Carles. Era fill del rei Alfons XIII.";;{PC:en}.;"Prolongació pg. Nacional; Nacional"
172902;carrer;de;Joan de Palomar;27/07/1960;;Joan de Palomar (segle XV). Ardiaca de la catedral de Barcelona.;;{n80}.;Juan de Palomar
173009;carrer;de;Joan de Peguera;;Abans de 1900;Joan Antoni de Peguera i de Bayllet (1755 - 1837). Terratinent. Darrer descendent de la branca de Barcelona d'un llinatge de cavallers i nobles. El 13 de març de 1862, l'Ajuntament de Sant Martí de Provençals va acordar canviar el nom de carrer de Montserrat pel de Don Juan de Peguera a petició de la seva vídua.;;"{PC:en;d10*}.";"Don Juan de Peguera; Montserrat"
701645;carrer;de;Joan Ferrándiz;26/11/2008;;"Joan Ferràndiz i Castells (Barcelona, 1917 - 1997). Dibuixant i escriptor. Estudià a l'Escola de Belles Arts de Barcelona. Va realitzar dibuixos animats i col·laborà en la pel·lícula Érase una vez (1948 - 1950). Escriví i il·lustrà llibres per a infants a les editorials Baguñà, Chamartín i Bruguera. Triomfà internacionalment com a autor d'un tipus de nadala amb un estil propi. Amb motiu de la primera audició mundial d'El Pessebre, de Pau Casals, s'edità un catàleg amb els seus dibuixos. El 1976, guanyà l'Englantina als Jocs Florals de la Llengua Catalana a Lausana; el 1979, l'accèssit a l'Englantina als Jocs Florals de Barcelona. L'any 1991 li fou atorgada la Creu de Sant Jordi. Fou membre de l'Associació d'Escriptors en Llengua Catalana.";;;
701642;plaça;de;Joan Fiveller;13/05/2008;;Joan Fiveller (segles XIV - XV). Polític. Conseller de Barcelona (1406 - 1427) i conseller en cap (1418 - 1427). El 1416 s'oposà a la voluntat del rei Ferran, que no volia pagar el dret vectigal -tribut imposat sobre el transport de mercaderies- per la carn que comprava a Barcelona. Aquest episodi, conegut com l'enfrontament del vectigal, convertí Joan Fiveller en un símbol de les llibertats municipals davant del poder reial. Durant el seu mandat com a conseller en cap, va descobrir una deu a la serra de Collserola i en féu portar l'aigua a Barcelona, fins a la font de Sant Just, que es considera la font pública més antiga de la ciutat.;;;
701284;jardins;de;Joan Fuster i Ortells;20/01/1999;;"Joan Fuster i Ortells (Sueca, 1922 - 1992). Escriptor. Entre d'altres, publicà: Sobre Narcís (1949); Escrit per al silenci (1954); Joan Serrallonga (1961); Raimon (1964), i Babels i babilònies (1972).";;;
172108;carrer;de;Joan Gamper;04/03/1947;;Joan Hans Gamper i Hässig (Winterthur, 1877 - Barcelona, 1930). Esportista. Fundà el FC Barcelona l'any 1899.;;{AMAB:rc}.;"Juan Gamper; Crisantemos, 07/03/1939; Juan Gamper, 06/06/1934; Crisantemos, 23/11/1911; Exportación, 25/11/1909; San José, 08/09/1848"
700886;plaça;del;Llagut;24/12/1992;;Petita embarcació d'arqueig variable aparellada amb vela llatina, per a la pesca i el cabotatge, d'ús comú molt estès entre els pescadors de la Barceloneta al segle XIX.;;{PC:en}.;
176200;plaça;de la;Llana;;Abans de 1865;Hi existí el mercat públic de llanes. Es té constància que la plaça tenia ja aquest nom l'any 1513.;;{VB}.;Lana
184402;carrer;de;Llança;19/12/1863;;Corrado Lancia - Conrad Llança (? - cap d'Orlando, 1299). Almirall i canceller al servei de Pere II el Gran.;;{VB}.;"Llanza; Núm. 13 (Pla Cerdà)"
184504;carrer;d'en;Llàstics;;Abans de 1865;Cognom d'una família catalana. A mitjan segle XV, un membre d'aquesta família era gran mestre de l'orde de Sant Joan de Jerusalem. Consta que el carrer ja estava obert, amb el mateix nom, l'any 1492.;;{AHCB:RiC,m}.;"Llastichs; Del Campo"
177203;carrer;del;Llatzeret;;Abans de 1900;Pel llatzeret de l'Ajuntament que hi havia prop del carrer. En virtut de la llei de desamortització de 1835, l'Estat se n'apoderà i dividí la finca en partides, que passaren a mans particulars. El bisbe Climent promogué la construcció del cementiri vell (beneït el 1775), tenint en compte la proximitat del llatzeret.;;{PC:MPV,fn}.;Lazareto
184606;carrer;de;Llauder;;Any 1865;Manuel de Llauder i de Camín (Argentona, 1789 - Madrid, 1851). Militar i polític. Capità general de Catalunya de 1832 a 1835. Es distingí en la guerra del Francès. Posseïa el títol de marquès de la Vall de Ribes.;;{VB}.;
185008;pati;d'en;Llimona;;;Per Tomàs Llimona, que va rebre l'esmentat indret de la comunitat dels Sants Just i Pastor l'any 1779. Era l'antic propietari de la casa termenera amb el pati, el qual donava entrada a un conjunt d'edificis del segle XV i portava el nom de la família Gualbes, il·lustre família barcelonina anterior al segle XIV.;;{JEG.EP,dm}.;
185052;carrer;de;Llinars del Vallès;16/02/1962;;Municipi del Vallès Oriental.;;{n80}.;Llinás
162501;carrer;del;Lliri;20/12/1979;;La flor. Nom posat al carrer quan s'urbanitzà l'indret, conjuntament amb els noms dels carrers de les Camèlies i del Llessamí (nom, aquest darrer, ja substituït de fa anys).;;{PC:MPV,fn}.;Inmaculado Corazón de María
185303;passatge;de;Llívia;29/03/1922;;Municipi de la Baixa Cerdanya.;;{n80}.;"Pamplona; Oriente"
078201;carrer;dels;Cecs de Sant Cugat;;Abans de 1865;Pel mateix motiu que el carrer dels Cecs de la Boqueria, i pel fet de conduir a la plaça de Sant Cugat.;;{n80}.;"Ciegos de San Cucufate; Pergaminers"
701635;camí;del;Cel del Tibidabo;29/02/2008;;Situat en un dels punts més elevats de la serra de Collserola, el Tibidabo.;;;
701531;plaça;d';Àngel Rodríguez;30/05/2005;;Àngel Josep i Daniel Rodríguez Ruiz (Barcelona, 1879 - 1959). Fundador i primer president del Reial Club Deportiu Espanyol. Als vint-i-un anys, mentre cursava estudis d'enginyeria, es va afeccionar al futbol en veure un partit entre mariners anglesos i el Català. Amb dos amics de la Universitat de Barcelona, Octavi Aballí, de disset anys, i Lluís Roca Navarra, de setze anys, va crear el primer equip de futbol. Se'ls uniren Joaquim Carril de Monasterio i Joan Alcalà del Olmo Puig. La seu social es va constituir el 28 d'octubre de 1900 com a Societat Espanyola de Foot-ball. El debut de l'equip fou el 20 de gener de 1901 amb el nom de Club Espanyol de Foot-ball. El 1910 era conegut amb el nom de Reial Club Deportiu Espanyol.;;;
279509;plaça;d';Angeleta Ferrer;11/05/1998;;Angeleta Ferrer i Sensat (Barcelona, 1904 - 1992). Llicenciada en ciències naturals. Professora de la càtedra de zoografia d'articulats de la Universitat de Barcelona, de l'Institut Balmes, del centre de batxillerat Monturiol, de l'Institut Isabel la Catòlica de Madrid, de l'Institut de Reus i directora de l'institut de batxillerat Infanta Isabel d'Aragó (1966 - 1974). Era filla de la il·lustre pedagoga Rosa Sensat.;;;Repòs, 12/06/1980
016500;camí;dels;Àngels;28/01/1959;;Per ser travessia del carrer de la Mare de Déu dels Àngels.;;{n80}.;Ángeles
016408;carrer;dels;Àngels;;Any 1939;Pel convent (segle XV) de Nostra Senyora dels Àngels que el 1562 es traslladà a la plaça a la qual desemboca el carrer.;;{VB}.;"Ángeles; Felip Cortiella, 1937; Company, abans de 1562 (segons Víctor Balaguer)"
016601;plaça;dels;Àngels;19/03/1962;;Pel convent de religioses de l'orde de sant Domènec, anomenat de la Mare de Déu dels Àngels (segle XVI). L'església fou consagrada el 13 de gener de 1566.;;{VB}.;"Ángeles; Felipe Cortiella; Ángeles; Anselmo Lorenzo; Company"
701047;carrer;d';Àngels Garriga;24/10/1994;;Àngels Garriga i Martín (Sant Vicenç de Calders, 1898 - Barcelona, 1967). Mestra i escriptora.;;{PC:en}.;
016703;carrer;d';Anglesola;05/09/1907;;Per un antic llinatge. En destacà Ramon d'Anglesola, baró de Bellpuig i vescomte de Vilamur (vescomte Ramon II de Vilamur). Camí obert l'any 1856 per comunicar les Corts amb la nova via de Sarrià.;;{n80*}.;"Ctra. Nueva, 1859; Mayor, 18/07/1857"
016907;carrer;d';Anglí;25/09/1931;;Carrer projectat en part als terrenys de l'heretat Mas Anglí, prop del lloc conegut com la Font de n'Anglí. Al segle XVIII fou de Francesc Anglí Brichfeus, casat amb Maria Monnar. El seu fill i hereu Francesc Anglí i Monnar fou un dels darrers propietaris de l'heretat, abans que passés a ser propietat de Joan Margenat i Salvany al segle XIX.;;"{RP8:22.25.;ACA:pa10115}.";"Sant Lluís (sobre pg. Bonanova); Galvany (sota pg. Bonanova)"
010004;carreró;de les;Ànimes;;Abans de 1800;Per un fossar d'animals o canyet que hi havia en aquest indret en temps passat. Les nits d'estiu es produïen focs follets que el poble interpretava com a ànimes que s'apareixien als mortals.;;{n80}.;"Almas; Ctra. Antigua de Madrid"
017309;carrer;de l';Anisadeta;;;Per una taula amb anís i aigua fresca, establerta en el lloc en temps antics, on els obrers del port feien l'anisadeta.;;{LlA}.;
701225;plaça;d';Anna Frank;04/04/1997;;Anna Frank (Frankfurt, 1929 - camp de concentració de Bergen-Belsen, 1945). Membre d'una família jueva alemanya que emigrà a Holanda l'any 1933. Entre els anys 1942 i 1944, va escriure un diari en què relatava les seves experiències i les dels seus familiars per amagar-se dels nazis. Aquest diari, testimoni ingenu i trasbalsador d'una època de terror, va ser adaptat a l'escena per Frances Goodrich i Albert Hackett, i va tenir un gran èxit mundial.;;;
701679;plaça;d';Anna Gironella;22/04/2009;;Anna Alberta Felícia Gironella i Llobet (Barcelona, 1881 - Ciutat de Mèxic, 1967). Cofundadora de les Llars Mundet. S'establí a Mèxic amb el seu marit, Artur Mundet i Carbó, on van dedicar tota la seva fortuna a obres de caritat i filantropia. Crearen nombroses obres benèfiques i de caràcter cultural. El 1954 van fer un donatiu de quaranta milions de pessetes a la Diputació de Barcelona, per col·laborar en la construcció d'uns edificis destinats a centre d'acolliment. El seu marit va demanar que aquest centre assistencial dugués, a perpetuïtat i de forma ostensible, el nom de la seva dona, Anna Gironella de Mundet.;;;
003202;carrer;d';Anna M. Martínez Sagi;22/04/2009;;Anna Maria Martínez Sagi (Barcelona, 1907 - Santpedor, 2000). Poeta, periodista i esportista. L'any 1927 va començar a col·laborar a la revista Mujeres, on va publicar el seu primer llibre de poemes, Caminos, el 1929. Va publicar els seus articles a les revistes i periòdics Imatges, Lectura, La Rambla i El Tiempo de Bogotà. Fou membre de la Junta del Club Femení i d'Esports i de la directiva del Futbol Club Barcelona. Va ser la primera dona directiva d'un club de futbol, a Espanya. L'any 1932 publicà el seu segon llibre de poemes, Inquietud. Exiliada a França s'instal·là a París, on va fer de  dibuixant i pintora de carrer i va treballar com a assessora editorial, feina amb què va contribuir a la descoberta de Françoise Sagan. Va fer de professora de castellà a l'escriptor André Maurois. Emigrà als Estats Units on va continuar escrivint la seva obra poètica. En tornar a Espanya, el 1969, va publicar Laberinto de presencias, una recopilació de l'obra escrita durant aquells anys d'exili.;;;Ptge. de l'Agregació, abans de 1900
701630;placeta;d';Anna Murià;29/02/2008;;"Anna Murià i Romaní (Barcelona, 1904 - Terrassa, 2002). Escriptora, traductora i periodista. Conreà la novel·la, l'assaig, les narracions, els contes infantils i el teatre. Durant la Guerra Civil fou secretària de la Institució de les Lletres Catalanes. Fou militant d'Acció Catalana, Esquerra Republicana (1932) i Estat Català (1936); membre de la Unió de Dones de Catalunya, i cofundadora del Grup Sindical d'Escriptors Catalans. El 1939 s'exilià a França amb la seva família, on conegué el poeta Agustí Bartra, amb qui compartí la vida. Es traslladaren a la República Dominicana, a Cuba i, finalment, a Mèxic, on visqueren durant trenta anys. El 1970, tornà a Catalunya i continuà la seva obra literària. Col·laborà en Cavall Fort i Tretzevents, i el 1974 guanyà el premi Josep Maria Folch i Torres amb la novel·la El meravellós viatge de Nico Huehuetl a través de Mèxic.";;;
014800;carrer;d';Anna Piferrer;;Abans de 1940;Anna Maria Piferrer i Gualba. Propietària dels terrenys de l'indret, procedents de l'heretat Manso Besora, per herència de la seva mare, Rosa Gualba i Spigol, muller de Joan Piferrer i Soler, la qual heretà els terrenys del seu pare, Josep Gualba i Modollel. Cedí gratuïtament terrenys per a l'eixamplament de l'antiga carretera d'Horta, entre l'inici de la carretera de la Rabassada fins passat l'Orfenat Ribes.;;{RP11:71.14.}.;"Tres Reyes; Anna Piferrer, 13/01/1933; Tres Reyes"
014821;passeig;d';Anna Rúbies;20/12/1979;;Anna Rúbies i Monjonell (el Port de la Selva, 1881 - Barcelona, 1963). Pedagoga. Fou directora del Grup Ramon Llull i del Patronat Escolar de l'Ajuntament de Barcelona. Introduí el mètode Decroly a Catalunya. Fou membre del Consell de Cultura de la Generalitat, col·laborà en les escoles d'estiu i en tota manifestació que representés una renovació en la pedagogia.;;{PC:en}.;
017105;carrer;d';Anníbal;;Abans de 1870;"Anníbal (?, 247 aC - Bitínia, 183 aC). Militar, general i estadista. Juntament amb persones del territori català ajuntades a les seves hosts cartagineses, vencé els romans en la batalla de Trasimè (217 aC) i de Cannes (216 aC). Va arribar a Roma però no la conquerí; fou derrotat a Zama (202 aC).
.";;{PC:MPV,fn}.;"Aníbal; La Salud"
701467;jardins;de;Celestina Vigneaux;17/12/2003;;Celestina Vigneaux i Cibils (Girona, 1878 - Barcelona, 1964). Mestra i pedagoga. Formada en els ambients de la Institució Lliure d'Ensenyament a Madrid i, posteriorment, en el Mètode Montessori. Pertanyia a l'Associació de Caritat Escolar (1902). Organitzà la primera cantina escolar per a pàrvuls a Barcelona, gratuïta per a nens i nenes pobres, que s'inaugurà a Hostafrancs el 7 d'agost de 1907.;;;
075305;carrer;de;Celrà;29/05/1945;;Municipi del Gironès. Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona.;;{n80*}.;
700784;carretera;del;Cementiri de Collserola;18/03/2002;;Condueix al cementiri del Nord o de Collserola. Comença a la carretera d'Horta a Cerdanyola i acaba al terme municipal de Montcada i Reixac.;;;
075509;camí;del;Cementiri de Sant Gervasi;;;Condueix al cementiri de Sant Gervasi.;;{n80}.;Cementerio de San Gervasio
075600;camí;del;Cementiri de Sarrià;;;Condueix al cementiri de Sarrià.;;{n80}.;Cementerio de Sarrià
075553;plaça;del;Cementiri d'Horta;;;Dóna al davant del cementiri d'Horta.;;{n80}.;Cementerio de Horta
261605;carrer;de;Pomar;04/01/1871;;Andreu Pomar i Santandreu (1827 - ?). Paleta. Adquirí la propietat per establiment al seu favor de Pere Ventura i Canadell, el 1866.;;{RP14:55.59.}.;
261707;carrer;de;Pomaret;04/12/1888;;Per l'antiga masia anomenada Can Pomaret, avui reformada en estil modernista, transformada en institut mental.;;{JV.JJ}.;
261853;avinguda;de;Pompeu Fabra;27/09/1908;;Pompeu Fabra i Poch (Barcelona, 1868 - Prada, 1948). Gramàtic i lexicògraf. Autor del Diccionari general de la llengua catalana.;;{n80}.;
261875;plaça;de;Pompeu Gener;09/05/1980;;Pompeu Gener i Babot (Barcelona, 1848 - 1920). Polígraf conegut amb el nom de Peius. Rebé una formació científica, cosmopolita i progressista. Participà en el Primer Congrés Catalanista (1880).;;{n80*}.;
261900;carrer;de;Ponce de León;28/01/1959;;Juan Ponce de León (Santevós de Campos, 1460 - Cuba, 1521). Conqueridor. Participà en la conquesta de Granada (1492) i de la Hispaniola. Fou governador de Boringuen, Puerto Rico.;;{n80*}.;
261376;carrer;de les;Poncelles;10/04/1981;;La flor abans d'obrir-se. Forma part d'un conjunt de carrers amb noms d'arbres i de plantes.;;{PC:fn}.;Poeta Villaespesa
544712;moll;de;Ponent;;;A ponent de la dàrsena de Sant Bertran.;;;
262109;plaça;de;Pons i Clerch;;Abans de 1940;Llorenç Pons i Clerch (Barcelona, 1830 - 1909). Fabricant. Cedí els terrenys per a la urbanització de la plaça amb la condició que se li donés el seu nom.;;{AHCB:RiC,m}.;Pons y Clerch
262200;carrer;de;Pons i Gallarza;05/09/1907;;Josep Lluís Pons i Gallarza (Barcelona, 1823 - Sóller, 1894). Poeta. Estudià filosofia i lletres, i dret. Fou catedràtic de retòrica i poètica de l'Institut de Barcelona (1849 - 1861) i, l'any 1861, catedràtic de geografia i història d'Espanya de l'Institut de Balears. Mestre en gai saber el 1867.;;{AHCB:RiC,m}.;"Pons y Gallarza; San Lorenzo, abans de 1900"
262302;carrer;de;Pons i Serra;;Any 1922;Alexandre-Maria Pons i Serra (Barcelona, 1859 - 1907). Propietari d'una finca que donava al carrer, en el paratge anomenat el Clos de Vilana. Fou regidor de l'Ajuntament de Barcelona (1904 - 1906).;;{RP8:3.}.;"Pons y Serra; Pons; Cº Vecinal de Sarriá a Esplugues; Cº Antiguo de Pedralbes"
262404;carrer;de;Pons i Subirà;;Abans de 1900;Pons i Subirà (segle XIX). Periodista de Sant Martí de Provençals que tingué una notable participació en la vida política i cultural de Sant Martí durant el 1860 i el 1870.;;{PC:MPV,fn}.;Pons y Subirá
268400;carrer;del;Pont;;Abans de 1900;Conduïa al pont bastit sobre la sèquia Comtal.;;{JV}.;Puente
268502;carrer;del;Pont de Sant Martí;;Abans de 1900;Recorda un pont construït sobre una riera per facilitar-ne el trànsit. Condueix al pont sobre la línia del tren, el pont del Treball, i el rec Comtal actual.;;{AHCB:RiC,m*}.;"Puente de San Martín; E. Boal"
268604;carrer;del;Pont del Treball Digne;14/10/2008;;Hi passaven els treballadors de Sant Martí per anar a la fàbrica del vidre de la Verneda.;;{n80}.;"Pont del Treball, 12/06/1980; Puente del Trabajo"
262608;carrer;de;Pontevedra;;;Ciutat de Galícia.;;{n80}.;San Francisco de Paula, abans de 1865
