COVER_ELEVATION_M;TYPE;Geom;Geo Local Area
15.4;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.06604370194206, 49.28305716015098]}";Grandview-Woodland
60.78;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08518816899148, 49.247497921534276]}";Kensington-Cedar Cottage
10.54;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10153503089768, 49.268226714273496]}";Mount Pleasant
67.3;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09541185020737, 49.24349430168484]}";Riley Park
0.0;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08940438853035, 49.24889810844475]}";Kensington-Cedar Cottage
52.18;Storm;"{""type"": ""Point"", ""coordinates"": [-123.19626177549762, 49.26471025547925]}";West Point Grey
26.89;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05641244400489, 49.289651755295445]}";Hastings-Sunrise
26.73;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05639625112846, 49.28974211961691]}";Hastings-Sunrise
91.38;Combined;"{""type"": ""Point"", ""coordinates"": [-123.18954176001549, 49.251035076898276]}";Dunbar-Southlands
88.66;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1906982085785, 49.25103716773469]}";Dunbar-Southlands
87.44;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.07635413491283, 49.23229616589024]}";Victoria-Fraserview
2.26;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11730530414087, 49.20608723372466]}";Marpole
92.7;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05877702090214, 49.235897935016446]}";Renfrew-Collingwood
60.01;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14851625900138, 49.25396967604581]}";Shaughnessy
65.5;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14842798710134, 49.25295431864405]}";Shaughnessy
42.68;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04486135055724, 49.27537314546705]}";Hastings-Sunrise
1.72;Storm;"{""type"": ""Point"", ""coordinates"": [-123.20267783811803, 49.27372567633848]}";West Point Grey
46.63;Combined;"{""type"": ""Point"", ""coordinates"": [-123.15297860201564, 49.2507329843592]}";Arbutus-Ridge
50.34;Combined;"{""type"": ""Point"", ""coordinates"": [-123.15264180373256, 49.25148454035723]}";Shaughnessy
0.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06767174067546, 49.26978819500091]}";Grandview-Woodland
90.26;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04702512809607, 49.24591999261078]}";Renfrew-Collingwood
89.68;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04712924156428, 49.245740405355434]}";Renfrew-Collingwood
88.81;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0464667640606, 49.24624637663855]}";Renfrew-Collingwood
2.05;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11022169064364, 49.209371636734296]}";Marpole
14.03;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11763174613421, 49.210069495915235]}";Marpole
15.99;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11514598898773, 49.21229444854828]}";Marpole
6.84;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11291223544032, 49.21150581501692]}";Marpole
10.71;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11542801358762, 49.21097445941074]}";Marpole
17.1;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11224510699456, 49.213400989453035]}";Marpole
6.15;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11166872257984, 49.211762463064204]}";Marpole
6.11;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11157995001457, 49.2117778588304]}";Marpole
6.65;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11280493653496, 49.211476694163956]}";Marpole
6.62;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11205967402249, 49.211694089070946]}";Marpole
51.28;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.06571629644364, 49.27572817319847]}";Grandview-Woodland
51.25;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06573732379549, 49.27572285407807]}";Grandview-Woodland
28.9;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09040969572291, 49.21348795032731]}";Sunset
59.8;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06278330171702, 49.27298836770643]}";Grandview-Woodland
100.17;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0434612958711, 49.223186839501174]}";Killarney
11.89;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08492526719344, 49.20989218118124]}";Sunset
46.4;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13975564078777, 49.25974653127158]}";Fairview
26.61;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11452395596858, 49.26270638420234]}";Mount Pleasant
41.97;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11551761119354, 49.2604006693932]}";Fairview
97.42;Combined;"{""type"": ""Point"", ""coordinates"": [-123.12725199421162, 49.23718603561227]}";South Cambie
96.57;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13187081410163, 49.23690198487072]}";Shaughnessy
86.15;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13055946655045, 49.23993775988951]}";Shaughnessy
107.25;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03563775756291, 49.23160565482963]}";Killarney
34.02;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13372258777565, 49.26487715370382]}";Fairview
24.44;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14574233215242, 49.21060966532005]}";Marpole
20.42;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14659678560925, 49.21062322838633]}";Marpole
3.06;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11154541490575, 49.21025061813139]}";Marpole
3.22;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.112190153306, 49.20972859970917]}";Marpole
120.74;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02411697182329, 49.225220426469114]}";Killarney
121.81;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02358569896079, 49.226370931353294]}";Killarney
18.94;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08683199373577, 49.21153700920078]}";Sunset
23.69;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08547196720659, 49.21154652411957]}";Sunset
37.33;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08570155023705, 49.21291307071557]}";Sunset
28.84;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08693661572768, 49.21246765475594]}";Sunset
52.1;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05917999207463, 49.27207168955963]}";Grandview-Woodland
60.45;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.06184307493874, 49.272076402636415]}";Grandview-Woodland
47.55;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0579307126757, 49.2729439116369]}";Grandview-Woodland
46.34;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05730991629414, 49.273193351983274]}";Grandview-Woodland
4.07;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0883438101931, 49.28602103219379]}";Strathcona
34.35;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.08098911740804, 49.25873234796051]}";Mount Pleasant
11.93;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13553544261461, 49.29147002432466]}";West End
58.42;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05666829327872, 49.26544358797313]}";Grandview-Woodland
4.67;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10630001448061, 49.27619524567935]}";Downtown
53.99;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05810736143086, 49.26499395866684]}";Grandview-Woodland
21.29;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17287223306589, 49.26045912428232]}";Kitsilano
21.53;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16843674911922, 49.26048225382668]}";Kitsilano
21.38;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16775019492432, 49.26046243774701]}";Kitsilano
22.96;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17024136675992, 49.26050028888787]}";Kitsilano
21.53;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1729644840473, 49.260542542765165]}";Kitsilano
20.76;Storm;"{""type"": ""Point"", ""coordinates"": [-123.168253449031, 49.261824570739115]}";Kitsilano
17.53;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1463721875367, 49.209538303228356]}";Marpole
30.24;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14755356416151, 49.21322333974875]}";Marpole
17.86;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14855602947347, 49.2106541247156]}";Marpole
18.15;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14865914987408, 49.210428021336]}";Kerrisdale
18.48;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14866164859585, 49.210982047082645]}";Kerrisdale
82.21;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08815139140414, 49.235700753456015]}";Kensington-Cedar Cottage
34.92;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02719970135118, 49.20795872183402]}";Killarney
34.94;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02718816296648, 49.20794802015427]}";Killarney
34.53;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02820172907823, 49.20786751215022]}";Killarney
5.85;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02828056419426, 49.20652347029129]}";Killarney
35.59;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02573127178121, 49.20807041099371]}";Killarney
28.17;Combined;"{""type"": ""Point"", ""coordinates"": [-123.15921481484202, 49.24758850607628]}";Arbutus-Ridge
17.37;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17402879391977, 49.26504278684814]}";Kitsilano
54.08;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0599167452405, 49.27121873658404]}";Grandview-Woodland
63.16;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10154335882618, 49.224714751947985]}";Sunset
86.7;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0246336330645, 49.25204798178769]}";Renfrew-Collingwood
58.99;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14821036764069, 49.22261422742977]}";Kerrisdale
3.82;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13528107246269, 49.27000916176826]}";Fairview
3.79;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13405798390936, 49.27105336445127]}";Fairview
3.84;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13393570228834, 49.27107698372089]}";Fairview
3.88;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13390206501332, 49.27104176154006]}";Fairview
4.67;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13186981699853, 49.2040830682299]}";Marpole
4.75;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13183026387628, 49.20407699657629]}";Marpole
3.42;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13496908464606, 49.20242126732808]}";Marpole
3.92;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13493055079192, 49.20268352542903]}";Marpole
5.74;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13232322337386, 49.20428664405702]}";Marpole
4.88;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13314773384398, 49.20374838025866]}";Marpole
4.52;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13278236332326, 49.20351286311122]}";Marpole
4.58;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1331335263303, 49.20337545144708]}";Marpole
22.18;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13036838770725, 49.20812535214805]}";Marpole
12.54;Storm;"{""type"": ""Point"", ""coordinates"": [-123.12508593772075, 49.20703052924283]}";Marpole
21.09;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.131719253935, 49.20768806052756]}";Marpole
19.99;Storm;"{""type"": ""Point"", ""coordinates"": [-123.12620183140957, 49.208527049892595]}";Marpole
18.37;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.1262877782972, 49.20810165848244]}";Marpole
25.27;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13029164466427, 49.208847670843966]}";Marpole
21.17;Storm;"{""type"": ""Point"", ""coordinates"": [-123.12695689928708, 49.20846070972341]}";Marpole
0.0;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09823696373986, 49.26681507928123]}";Mount Pleasant
23.58;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.16407610068863, 49.26747537699624]}";Kitsilano
23.58;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1640593477267, 49.267426547836834]}";Kitsilano
0.0;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09578770330116, 49.267381791432015]}";Strathcona
88.51;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06207173347288, 49.234927207564816]}";Kensington-Cedar Cottage
92.39;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05741213808207, 49.235890174851086]}";Renfrew-Collingwood
93.957;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05879644503746, 49.234891149927826]}";Renfrew-Collingwood
87.261;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06103902098697, 49.23490158165993]}";Kensington-Cedar Cottage
1.88;Storm;"{""type"": ""Point"", ""coordinates"": [-123.20873717079773, 49.27513873842303]}";West Point Grey
4.4;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11476683901245, 49.26828587686798]}";Fairview
10.26;Storm;"{""type"": ""Point"", ""coordinates"": [-123.12912261016271, 49.27325687979069]}";Downtown
2.32;Combined;"{""type"": ""Point"", ""coordinates"": [-123.20288552132388, 49.27515041161917]}";West Point Grey
117.75;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02803220141634, 49.22522895176825]}";Killarney
4.27;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10285597150325, 49.28039274453986]}";Downtown
2.17;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09321314757543, 49.20949836318004]}";Sunset
9.71;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10037998161096, 49.28094589468158]}";Downtown
4.41;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10297500868485, 49.27998793638068]}";Downtown
8.53;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10048095052768, 49.280367228012636]}";Downtown
7.24;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.1008413219841, 49.28036863215813]}";Downtown
7.35;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10081355839101, 49.28037351378099]}";Downtown
4.63;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10335914246602, 49.28090033428092]}";Downtown
2.94;Storm;"{""type"": ""Point"", ""coordinates"": [-123.09398334628983, 49.21003883273493]}";Sunset
6.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10127817158389, 49.28086243624231]}";Downtown
4.59;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10220735231276, 49.28088005821734]}";Downtown
4.88;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13315977918172, 49.20373522423804]}";Marpole
4.22;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0985622473817, 49.27237484103297]}";Strathcona
9.34;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13628413442109, 49.20440763084967]}";Marpole
6.66;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1330153960486, 49.204301284955555]}";Marpole
5.06;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1323312717269, 49.20406678969921]}";Marpole
5.73;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13222450979464, 49.204232155630976]}";Marpole
2.59;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13294759822111, 49.20131279073223]}";Marpole
2.51;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13296897689038, 49.201299363118544]}";Marpole
77.55;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07472460870873, 49.22040721166671]}";Victoria-Fraserview
77.92;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07403342482633, 49.22039361509621]}";Victoria-Fraserview
77.71;Combined;"{""type"": ""Point"", ""coordinates"": [-123.0744190678032, 49.220404890236665]}";Victoria-Fraserview
75.08;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07613114796276, 49.219567780855755]}";Victoria-Fraserview
74.39;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07670860134567, 49.21957153665853]}";Victoria-Fraserview
46.16;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09109318774689, 49.259893463409]}";Mount Pleasant
46.16;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0910807458062, 49.259898762402024]}";Mount Pleasant
