MAPID;YEAR_CREATED;NAME;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;MERGED_ADDRESS;NUMBER_OF_PLOTS;NUMBER_OF_FOOD_TREES;NOTES;FOOD_TREE_VARIETIES;OTHER_FOOD_ASSETS;JURISDICTION;STEWARD_OR_MANAGING_ORGANIZATION;PUBLIC_E_MAIL;WEBSITE;Geo Local Area;Geom
FA069;;Grass Roots Community Garden;478;E;Hastings;St;478 E  Hastings  St, Vancouver, BC;10;;;;;Other;Servants Canada;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.0936723, 49.2809398]}"
FA075;2006;Jacob's Well #1;449;E;Hastings;St;449 E Hastings St, Vancouver, BC;120;;;;;Private;Jacob's Well;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.0942905, 49.2813078]}"
FA079;2009;Kaslo Gardens Community Vegetable Garden;2765;;Cooperative;Way;2765 Cooperative Way, Vancouver, BC;16;;;;;Other;Kaslo Gardens Housing Cooperative;;;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0490748, 49.257436]}"
FA081;2014;Kingscrest Park Community Garden;4150;;Knight;St;4150 Knight St, Vancouver, BC;20;;;;;Park Board;Cedar Cottage Food Network Society;kingcrestgarden@gmail.com;https://cedarcottagefoodnetwork.com/;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.07433222, 49.24700923]}"
FA082;2011;Kits Village Collaborative Garden;1407;;Laburnum;St;1407 Laburnum St, Vancouver, BC;;5;;"Cortland apple; Golden Reinette Apple; dwaf Anjou pear; dwarf Red Sensation pear; Persimmon Fuju";;Private;Village Vancouver;ross@villagevancouver.ca;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.1514277, 49.273327]}"
FA086;2008;Kitsilano Neighbourhood House;3683;W;4th;Av;3683 W 4th Av, Vancouver, BC;5;;;;;Private;Kitsilano Neighbourhood House;;http://www.kitshouse.org;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.1852422, 49.2686566]}"
FA090;2011;Langara College;6648;;Ontario;St;6648 Ontario St, Vancouver, BC;26;;;;;Private;;;;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.105789, 49.2245248]}"
FA091;2015;Let’s Grow Together! Community Garden;2475;;Franklin;St;2475 Franklin St, Vancouver, BC;6;;;;;Private;St. David of Wales Angclican Church;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.05491, 49.282211]}"
FA094;2012;Marpole Family Place;1305;W;70th;Av;1305 W 70th Av, Vancouver, BC;8;;;;;Private;Marpole Family Place;;;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.1347288, 49.2087963]}"
FA099;2006;Means of Production Garden;1001;E;7th;Av;1001 E 7th Av, Vancouver, BC;20;25;;Mix of cherry, plum, apple;;City and Park Board;Environmental Youth Alliance;earthandgleaners@gmail.com;https://moparrc.com/;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.08501953, 49.2655009]}"
FA100;2011;Memorial West Park;4701;;Dunbar;St;4701 Dunbar St, Vancouver, BC;0;15;;Apple, pear, cherry;;Park Board;;;;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.1852852, 49.2442721]}"
FA101;2013;Menno Simmons centre;4000;W;11th;Av;4000 W 11th Av, Vancouver, BC;10;;;;;Private;;;;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.1939437, 49.2626337]}"
FA105;2012;Mount Pleasant Community Garden;3161;;Ontario;St;3161 Ontario St, Vancouver, BC;30;16;;"1 early macintosh apple; 1 fuji red sport apple; 2 italian plum; 1 lapins cherry; 1 stella cherry; 1 anjou pear dwarf; 1 red sensation pear dwarf; 1 persimmon fuju (espalier), lemon, Jonamac, Shamrock, Stella Cherry, Golden Russet";;Park Board;Urban Diggers Society;mtpleasantcommunitygarden@gmail.com;https://www.facebook.com/MountPleasantCommunityGarden/;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10564148, 49.25739572]}"
FA106;2008;Nelson Park Community Garden;1020;;Bute;St;1020 Bute St, Vancouver, BC;38;yes;Expansion in 2014 - 35 beds including accessible ones;;;Park Board;Nelson Park Community Garden Society;nelsonparkgarden@gmail.com;;West End;"{""type"": ""Point"", ""coordinates"": [-123.13022752, 49.28308969]}"
FA109;2012;Oppenheimer Park Medicine Wheel Garden;488;;Powell;St;488 Powell St, Vancouver, BC;8;;;;;Park Board;;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.09361921, 49.28278848]}"
FA110;2009;Pandora Park Community Garden;2325;;Franklin;St;2325 Franklin St, Vancouver, BC;66;4;;2 apple, 2 plum;;Park Board;Pandora Park Community Garden Society;pandoraparkcommunitygarden@gmail.com;http://pandoraparkgarden.wordpress.com/;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.05937732, 49.28239193]}"
FA111;2009;Farmers at 57th;700;W;57th;St;700 W 57th St, Vancouver, BC;32;;;;;Private;;hello@farmerson57th.ca;http://www.farmerson57th.ca;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.1169049, 49.219033]}"
FA114;2015;Pine Street Community Garden (6th and Fir Park);1605;W;6th;Av;1605 W 6th Av, Vancouver, BC;20;16;;Apple, pear, plum, cherry;;City and Park Board;Pine Street Community Garden Society;pinestreetcommunitygardens@gmail.com;;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.14208457, 49.26633958]}"
FA120;2011;Ross Park;7402;;Ross;St;7402 Ross St, Vancouver, BC;0;15;;Apple, pear, cherry;;Park Board;;;;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.0817007, 49.2161584]}"
FA123;2008;South Vancouver Family Place 1;7710;;Nanaimo;St;7710 Nanaimo St, Vancouver, BC;8;;;;;Private;South Vancouver Family Place;;;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.0593383, 49.2143436]}"
FA124;2011;South Vancouver Family Place 2;7715;;Muirfield;Drive;7715 Muirfield Drive, Vancouver, BC;3;;;;;Private;South Vancouver Family Place;;;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.056519, 49.2141567]}"
FA134;2009;Sunset Park;404;E;51st;Av;404 E 51st Av, Vancouver, BC;0;29;;Fruit;;Park Board;;ki.plants@gmail.com;https://mysunset.net/;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.09795356, 49.22235386]}"
FA136;2012;Tenth Church;11;W;10th;Av;11 W 10th Av, Vancouver, BC;10;;;;;Private;Tenth Church;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.1058605, 49.2623383]}"
FA139;2008;The Rise on Cambie;485;W;8th;Av;485 W 8th Av, Vancouver, BC;18;;;;;Private;Strata Council;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.1144868, 49.2640067]}"
FA140;2014;Trillium Park North Artists Garden;580;;Malkin;Av;580 Malkin Av, Vancouver, BC;4;;;;;Park Board;Earthand Gleaners Society;earthandgleaners@gmail.com;https://earthand.com/category/trillium-north-park/;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.09269404, 49.27528736]}"
FA141;2011;Tupper Neighbourhood Greenway;400;E;23rd;Av;400 E 23rd Av, Vancouver, BC;0;6;;apple trees, berry bushes and fruit vines;;City;Tupper Greenway Urban Orchard Project;;;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.093947, 49.250166]}"
FA142;2010;UP! Elgin community garden;5332;;Windsor;St;5332 Windsor St, Vancouver, BC;35;4;;;;City;Fraser Kensington Community Garden Society;upelgingarden@gmail.com;http://elgincommunitygarden.wordpress.com/;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.084388, 49.2365575]}"
FA145;;Van Dusen Botanical Gardens;5251;;Oak;St;5251 Oak St, Vancouver, BC;0;yes;;Heritage apple;;Park Board;Van Dusen Botanical Garden Association;;;Shaughnessy;"{""type"": ""Point"", ""coordinates"": [-123.1280384, 49.2375047]}"
FA146;2011;Village on False Creek;151;W;1st;Av;151 W 1st  Av, Vancouver, BC;45;0;;;;City;Village on False Creek Community Gardens Society;villagecommunitygardens@gmail.com;http://villagecommunitygardens.com/;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.1086189, 49.2706432]}"
FA157;2016;City Heights;155;E;37;Av;155 E 37 Av, Vancouver, BC;;;;;;Private;City Heights;;;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.102833, 49.232228]}"
FA159;2017;4th and MacDonald;;;;;;100;;;;;Private;Shifting Growth;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.167928, 49.268683]}"
FA161;2017;Broadway and Alma;;;;;;100;;;;;Private;Shifting Growth;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.185381, 49.264105]}"
FA164;2017;Chilean Housing Coop;3390;;School;Av;3390 School Av, Vancouver, BC;10;;;;;Private;Chilean Housing Coop;;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.032907, 49.23112]}"
FA171;2018;Chinatown Peace Church;375;E;Pender;St;375 E Pender St, Vancouver, BC;10;;;;;Private;Chinatown Peace Church;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095684, 49.280471]}"
FA175;2016;HFBC Housing Foundation;2950;;Euclid;St;2950 Euclid St, Vancouver, BC;12;;;;;Private;HFBC Housing Foundation;;;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.043697, 49.240111]}"
FA178;1985;Nicholson Towers;1115;;Nelson;St;1115 Nelson St, Vancouver, BC;28;;;;;Private;Bloomgroup;None;;West End;"{""type"": ""Point"", ""coordinates"": [-123.1279113, 49.2828118]}"
FA180;2019;Dany Guincher House;475;E;Broadway;;475 E Broadway , Vancouver, BC;3;;;;;Private;Jewish Family Services;None;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.0935368, 49.2625681]}"
FA182;2019;Macleod Manor Community Garden;8725;;French;Street;8725 French Street, Vancouver, BC;5;;;;;private;Brightside Community Homes Foundation;;;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.1396302, 49.2069012]}"
FA004;2007;1755 West 14th - Private apartment building garden;1755;W;14th;Av;1755 W 14th Av, Vancouver, BC;;;;;;Private;Apartment residents;;;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1448703, 49.2590496]}"
FA010;;Barclay Heritage Square;1433;;Barclay;St;1433 Barclay St, Vancouver, BC;0;2;;Apple;;Park Board;;;;West End;"{""type"": ""Point"", ""coordinates"": [-123.13284501, 49.28738755]}"
FA012;2011;Bosman Hotel;1060;;Howe;St;1060 Howe St, Vancouver, BC;12;;;;;Private;Bosman Hotel Society;;;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1250943, 49.2791632]}"
FA016;2013;Cambie Park Community Garden;500;W;54th;Av;500 W 54th Av, Vancouver, BC;30;;;;;Park Board;Marpole Oakridge Community Association;southvangreenthumbs@gmail.com;http://cambieparkcommunitygarden.blogspot.com/;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.1186284, 49.22130853]}"
FA018;2011;Cartier Park;390;E;36th;Av;390 E 36th Av, Vancouver, BC;0;6;;Apple;;Park Board;;;;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.0975115, 49.2376052]}"
FA019;2008;Cedar Cottage Community Garden;2021;;Stainsbury;Av;2021 Stainsbury  Av, Vancouver, BC;61;13;;"EARLY MCINTOSH; GOLDEN DELICIOUS SMOOTHEE APPLE; SHAMROCK APPLE; CRIMSON PASSION CHERRY; RAINIER CHERRY; SKEENA CHERRY; DAMSON PLUM; ITALIAN PLUM; REDGLOW PLUM - HARDY; PERSIMMON, plums, fig, pear";;Translink;Cedar Cottage Garden Society;themembershipteam@cedarcottagegarden.org;http://www.cedarcottagegarden.org;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0642552, 49.251444]}"
FA020;2009;Cedar Cottage Community Garden - Part 2;2019;;Stainsbury;Av;2019 Stainsbury  Av, Vancouver, BC;49;;;;;City;Cedar Cottage Garden Society;themembershipteam@cedarcottagegarden.org;http://www.cedarcottagegarden.org;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0644448, 49.2512645]}"
FA021;2013;Cedar Cottage Neighourhood House Edible Garden;4065;;Victoria;Drive;4065 Victoria Drive, Vancouver, BC;12;;;;;Private;Cedar Cottage Neighbourhood House;;;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0651476, 49.2488871]}"
FA022;;Champlain Heights Park;3351;;Maquinna;Drive;3351 Maquinna  Drive, Vancouver, BC;0;1;;Apple;;Park Board;;;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.0326603, 49.2164913]}"
FA023;2010;Champlain Place Community Garden;3347;E;58th;Av;3347 E 58th Av, Vancouver, BC;8;;;;;Private;BC Housing;;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.0352463, 49.2167296]}"
FA026;2009;Chester's Field Garden;5333;;Chester;St;5333 Chester  St, Vancouver, BC;10;3;;"anjou dwarf pear; conference dwarf pear";;City;Fraser Kensington Community Garden Society;chestersfield@gmail.com;https://www.facebook.com/chestersfieldgarden?fref=ts;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0896066, 49.236648]}"
FA030;1993;China Creek Housing Co-op;1230;E;8th;Av;1230 E  8th  Av, Vancouver, BC;30;;;;;City;China Creek Housing Co-op;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.0832689, 49.2643106]}"
FA031;2006;China Creek North Park;1001;E;7th;Av;1001 E 7th Av, Vancouver, BC;0;38;;Apple, cherry, pear, plum;;Park Board;;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.07798, 49.2611153]}"
FA032;2013;Church of the Good Sheppard;189;W;11th;Av;189 W 11th Av, Vancouver, BC;8;;;;;Private;;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.1089655, 49.2614867]}"
FA041;1992;Cottonwood Community Garden;857;;Malkin;Av;857 Malkin Av, Vancouver, BC;139;26;Expansion in 2010 - 50 beds with improved accessibility;Apple, cherry, plum, fig, Asian pear, hazelnut, Saskatoon, Satsuma Plum, Pacific Crabapple, Heritage Apples;;City and Park Board;Strathcona Community Gardeners Society;cottonwoodgarden@gmail.com;http://www.cottonwoodgarden.com/;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.08375432, 49.27379855]}"
FA044;1995;Cypress Community Garden;1800;W;6th;Av;1800 W 6th Av, Vancouver, BC;66;;;Clapp's Favourite Pear, dwarf;;City;;cypress@vcn.bc.ca;http://www.cypresscommunitygarden.ca/;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.1456636, 49.2662772]}"
FA049;2014;DTES Market location;62;E;Hastings;St;62 E  Hastings St, Vancouver, BC;6;;;;;Private;DTES Market;;;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1027168, 49.2810918]}"
FA062;2009;Garden of Eatin';2670;;Victoria;Drive;2670 Victoria Drive, Vancouver, BC;20;;;;;Private;First Christian Reformed Church;garden.van1crc@gmail.com;http://van1crc.org/the-garden/;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0658918, 49.2606376]}"
FA064;2012;Grace Memorial Church;803;E;16th;Av;803 E 16th Av, Vancouver, BC;15;;;;;Private;Grace Memorial Church;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.0874186, 49.2564075]}"
FA066;pre 2000;Grandview Elementary Community Garden;2055;;Woodland;Drive;2055 Woodland Drive, Vancouver, BC;24;5;3mx3m community plots in addition to school garden;yes;Earth Tub composter;Other;Grandview Garden Coordinator (VCH SMART funding);;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.07831, 49.265917]}"
FA068;2011;Grandview Terrace;2075;;Woodland;Drive;2075 Woodland Drive, Vancouver, BC;12;;;;;Other;BC Housing;gwfcnetwork@gmail.com;http://gwfoodconnection.wordpress.com/;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.0736131, 49.2662333]}"
FA073;2010;Hemlock Court;1411;E;17th;Av;1411 E 17th Av, Vancouver, BC;4;;;;;Other;Hemlock Court Housing/Metro Housing;;;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0754088, 49.2557102]}"
FA074;2015;Il Centro Community Garden (Beaconsfield Park);3215;;Slocan;St;3215 Slocan St, Vancouver, BC;40;40;;;;Park Board;Italian Cultural Centre;gardens@iccvancouver.ca;https://italianculturalcentre.ca/;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.05060617, 49.25563874]}"
FA078;2010;John McBride Community Garden;1850;;Spyglass;Place;1850 Spyglass Place, Vancouver, BC;49;1;;cherry;;City;Creek Community Gardeners (under  False Creek South Neig'd  Assoc.);mcbridegarden@gmail.com;;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1152216, 49.2696835]}"
FA080;2010;Kerrisdale Community Garden;7500;;Angus;Drive;7500 Angus Drive, Vancouver, BC;22;4;;anjou dwarf pear, compact stella, shamrock, persimmon;;City;Kerrisdale Community Garden Committee (under Kerrisdale Community Centre Society);kerrisdalecommunitygarden@gmail.com;http://kerrisdalecommunitygarden.com;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.1482727, 49.2177463]}"
FA083;2008;Kitsilano Christian Community Church;1708;W;16th;Av;1708 W 16th Av, Vancouver, BC;7;;;;;Private;Kitsilano Christian Community Church;;;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1437758, 49.2570894]}"
FA085;1986;Kitsilano Community Garden;2027;W;6th;Av;2027 W 6th Av, Vancouver, BC;55;15;;Apple (2), Pear (2), Cheery (2), Plum (4), Apricot (1), Hazelnut (1), Fig (1), Apple/Pear (2);;Park Board;Kitsilano Community Garden Association;"kitsilanogarden@telus.net
Kitsgarden.membership@gmail.com";http://kitsilanocommunitygarden.blogspot.ca/;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.15102375, 49.26661593]}"
FA092;2013;Maclean Housing;705;;Jackson;Av;705 Jackson Av, Vancouver, BC;65;;;;;Private;;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.0935914, 49.2784286]}"
FA095;2013;Marpole Place expansion;1305;W;70th;Av;1305 W 70th Av, Vancouver, BC;6;;;;;Private;;;;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.1347288, 49.2087963]}"
FA097;2009;McCleery Golf Course;7188;;Macdonald;St;7188 Macdonald  St, Vancouver, BC;0;5;;Cherry, apple;;Park Board;;;;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.1683146, 49.221493]}"
FA104;2003;Mole Hill;1169;;Pendrell;St;1169 Pendrell St, Vancouver, BC;70;1;;Italian Prune Plum;;Private;Mole Hill Community Housing Society;admin@molehillhousing.ca;http://www.molehillhousing.ca;West End;"{""type"": ""Point"", ""coordinates"": [-123.1316422, 49.2824171]}"
FA107;2008;New Brighton Park;3201;;New Brighton;Road;3201 New Brighton Road, Vancouver, BC;0;50;;Apple, pear, cherry;;Park Board;;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.0361825, 49.288757]}"
FA115;2014;Princess and Cordova;248;;Princess;Av;248 Princess Av, Vancouver, BC;20;;;;;Private;Servants Canada;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.091439, 49.282147]}"
FA117;1996;Robson Park Community Garden;565;;Kingsway;;565 Kingsway , Vancouver, BC;44;;;;;Park Board;Urban Diggers Society;robsongarden@gmail.com;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.09231872, 49.25867473]}"
FA119;2015;Rooted for Life Garden;1415;;Barclay;St;1415 Barclay St, Vancouver, BC;;;;;;Private;;;;West End;"{""type"": ""Point"", ""coordinates"": [-123.132872, 49.287355]}"
FA121;1988;Sahalli  Community Garden;2398;;Fraser;St;2398 Fraser St, Vancouver, BC;54;;;;;Park Board;Urban Diggers Society;"dig@vcn.bc.ca
604-879-3676";http://dig.vcn.bc.ca/;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.0885931, 49.2636848]}"
FA127;2006;SPEC Cambie Communal Garden;2615;;Cambie;St;2615 Cambie St, Vancouver, BC;17;;;;;City;SPEC;cambiesqvol@gmail.com;;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1155183, 49.2615932]}"
FA128;2012;SPEC Rooftop Garden;535;;Hornby;St;535 Hornby St, Vancouver, BC;9;;;;;Private;SPEC;;;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1178337, 49.2857348]}"
FA129;1990;SPEC Vancouver Compost Demonstration Garden;2150;;Maple;St;2150 Maple St, Vancouver, BC;0;;;;;City;SPEC;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.1503918, 49.2666383]}"
FA131;2003;Stanley Park Community Garden;975;;Lagoon;Drive;975 Lagoon Drive, Vancouver, BC;32;;;;;Park Board;;innersanctum2003@yahoo.ca;;;"{""type"": ""Point"", ""coordinates"": [-123.13855459, 49.29367168]}"
