DIAMETER_MM;EFFLUENT_TYPE;GRADE_PERCENT;INSTALL_YR;MATERIAL;NON_CALCULATED_LENGTH_M;Geom
750.0;Combined;1.92;1966;CONC;130.46;"{""type"": ""LineString"", ""coordinates"": [[-123.05130573144801, 49.24632817359433], [-123.05130513939595, 49.247480678754116], [-123.051305362202, 49.24748353913816], [-123.0513056384494, 49.24748493327604], [-123.0513059694803, 49.24748615648026], [-123.05130635537854, 49.247487289707784], [-123.05130682375491, 49.24748845887961], [-123.05130731948107, 49.24748950210606], [-123.05130799404347, 49.24749075214339], [-123.0513089987141, 49.2474923348576], [-123.05131030579837, 49.247494043370686], [-123.05131190150023, 49.24749582371741], [-123.0513139232864, 49.24749773880331], [-123.05131549097688, 49.24749900643437], [-123.05131738853335, 49.24750037286637], [-123.05131971212757, 49.24750182906141], [-123.05132184304294, 49.24750297950416], [-123.05132470238176, 49.24750431852314], [-123.05132635197276, 49.24750506439435], [-123.05132790513103, 49.247505567437166], [-123.05132932085996, 49.24750604355533], [-123.05133094271905, 49.2475065465676], [-123.05133245455443, 49.247506950681206], [-123.05133446111891, 49.247507435532015], [-123.05133529946349, 49.247507624059324], [-123.05133622029557, 49.247507857526124]]}"
300.0;Storm;0.0;2008;PVC;18.66;"{""type"": ""LineString"", ""coordinates"": [[-123.04978878436448, 49.24546529503095], [-123.04962521276485, 49.24543601396412]]}"
2400.0;Combined;0.0;;CONC;1.5;"{""type"": ""LineString"", ""coordinates"": [[-123.09318620345171, 49.210386067067866], [-123.09318753517073, 49.21034219597014]]}"
1350.0;Combined;0.0;;CONC;27.6;"{""type"": ""LineString"", ""coordinates"": [[-123.14064684036606, 49.2662700974291], [-123.14064969977544, 49.26627022887641], [-123.14066702347719, 49.26627182692359], [-123.1406842122843, 49.266274324652784], [-123.14070085358237, 49.26627763261446], [-123.1407172225343, 49.266281840425755], [-123.14073290652547, 49.266286858637365], [-123.14074804275381, 49.26629259713037], [-123.14076235631325, 49.266299056239916], [-123.14077598491332, 49.266306325750534], [-123.14078879033327, 49.26631413597482], [-123.14080049817842, 49.26632266715144], [-123.14081124513415, 49.26633164925808], [-123.14082075680548, 49.26634126253351], [-123.14082930733083, 49.26635123678776], [-123.14083648460557, 49.26636166247546], [-123.14084256327985, 49.26637244930994], [-123.14084726793409, 49.26638341772313], [-123.14085073627699, 49.26639465749934], [-123.14085283034207, 49.26640598890276], [-123.14085368758202, 49.26641741176595], [-123.14085303308877, 49.26642892642404], [-123.14085114100038, 49.26644026268672]]}"
900.0;Sanitary;1.68;1970;FR;13.1;"{""type"": ""LineString"", ""coordinates"": [[-123.14273629191396, 49.27686379427913], [-123.14281412587142, 49.276970210114655]]}"
1650.0;Combined;0.1;;CONC;324.0;"{""type"": ""LineString"", ""coordinates"": [[-123.15294572150952, 49.27082689414678], [-123.1529463539354, 49.270826920295214], [-123.15739889585855, 49.270898569252495]]}"
1650.0;Combined;0.09;;CONC;64.9;"{""type"": ""LineString"", ""coordinates"": [[-123.15266139666844, 49.27003284127657], [-123.1526613968905, 49.27003291323785], [-123.15263970408135, 49.27061628947579], [-123.15263970433111, 49.270616370432265]]}"
2850.0;Combined;0.06;;CONC;262.9;"{""type"": ""LineString"", ""coordinates"": [[-123.18778988084799, 49.26769545229951], [-123.18784913212053, 49.26619471281997], [-123.18786202121714, 49.26532834544419]]}"
1200.0;Combined;5.4;1963;n/a;144.6;"{""type"": ""LineString"", ""coordinates"": [[-123.11270713797447, 49.213965632316885], [-123.1127577263228, 49.21266941635467]]}"
1050.0;Combined;1.82;1970;FR;5.5;"{""type"": ""LineString"", ""coordinates"": [[-123.14329960229419, 49.28848983239391], [-123.14325490424464, 49.28844994926459]]}"
900.0;Sanitary;0.27;;n/a;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.04157176403156, 49.256780316548344], [-123.04171026388248, 49.256748513522936], [-123.04350644950192, 49.256763133983576], [-123.04359039415617, 49.256752218132974], [-123.04425429445398, 49.256756085553334]]}"
1500.0;Combined;2.71;;CONC;89.9;"{""type"": ""LineString"", ""coordinates"": [[-123.1737447373544, 49.27166174932107], [-123.17371500918117, 49.272470030420635]]}"
600.0;Sanitary;-0.11;;HDPE;45.3;"{""type"": ""LineString"", ""coordinates"": [[-123.13686256885703, 49.29440908641598], [-123.13680171257833, 49.29444941181251], [-123.13643458225378, 49.29469268815299], [-123.13642491763703, 49.29469909512094]]}"
1200.0;Sanitary;4.07;;n/a;5.65;"{""type"": ""LineString"", ""coordinates"": [[-123.08125785994235, 49.26581814267136], [-123.08125688500245, 49.26586895725048]]}"
1200.0;Sanitary;1.92;;STEEL;8.32;"{""type"": ""LineString"", ""coordinates"": [[-123.07996584306179, 49.26605254152693], [-123.08024033111545, 49.26608300687557]]}"
1800.0;Combined;0.27;;BR/CON;281.1;"{""type"": ""LineString"", ""coordinates"": [[-123.17035905512012, 49.264057937504155], [-123.17355810027527, 49.26411927318249], [-123.17358971655035, 49.264120215159174], [-123.17362106361334, 49.26412277666937], [-123.17365200402028, 49.26412695791988], [-123.17368226224869, 49.264132579420966], [-123.17371197606374, 49.26413973091819], [-123.17374059536394, 49.26414832328702], [-123.1737682575983, 49.26415835632156], [-123.17379468724263, 49.26416965053279], [-123.17381960971974, 49.26418229628666], [-123.17384302471456, 49.26419620363255], [-123.1738647941483, 49.26421119287498], [-123.17388464281026, 49.264227174476936], [-123.1739025710159, 49.264244238391015], [-123.17391857749988, 49.264262024811686], [-123.17393240142685, 49.26428062408447], [-123.17394401467324, 49.26429985634828], [-123.17395329290169, 49.264319541886834], [-123.17396037355729, 49.26433968049373], [-123.17396498110982, 49.26436009268004], [-123.173967253004, 49.26438077823914], [-123.17396717242322, 49.26438913490923]]}"
600.0;Sanitary;-0.29;;HDPE;34.8;"{""type"": ""LineString"", ""coordinates"": [[-123.13719877979365, 49.29418629141381], [-123.13686256885703, 49.29440908641598]]}"
0.0;Combined;0.06;1971;CONC;243.8;"{""type"": ""LineString"", ""coordinates"": [[-123.14307385338805, 49.204519687228355], [-123.14574675234039, 49.20578910831989]]}"
1500.0;Storm;1.57;1974;CONC;30.5;"{""type"": ""LineString"", ""coordinates"": [[-123.07830650461817, 49.27152066182192], [-123.07851600747942, 49.271521509120895], [-123.07860743573201, 49.271529002918825], [-123.07867379618366, 49.27159237386097]]}"
0.0;Combined;0.09;;CONC;42.6;"{""type"": ""LineString"", ""coordinates"": [[-123.19164590774675, 49.22740534069981], [-123.1910637177144, 49.22744589326546]]}"
0.0;Combined;0.83;1971;CONC;212.1;"{""type"": ""LineString"", ""coordinates"": [[-123.13720016437168, 49.203455446243034], [-123.13728166310545, 49.20338950379852], [-123.13750062683444, 49.20324215216642], [-123.1375552172346, 49.203225355905], [-123.13979362892341, 49.20392600208538]]}"
0.0;Combined;0.0;1967;CONC;282.5;"{""type"": ""LineString"", ""coordinates"": [[-123.1626856905073, 49.217524767037105], [-123.15989419449342, 49.21576100188186]]}"
0.0;Combined;0.0;1962;CONC;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.18817236563241, 49.244890340398875], [-123.18817179317173, 49.24492047538556]]}"
3100.0;Combined;0.56;1900;BR/CON;146.0;"{""type"": ""LineString"", ""coordinates"": [[-123.17408413830366, 49.26154389049448], [-123.17403627905922, 49.26286421684596]]}"
2896.0;Combined;0.0;;CONC;295.9;"{""type"": ""LineString"", ""coordinates"": [[-123.19580613261822, 49.22557150565473], [-123.19283897262542, 49.227390303097025]]}"
2896.0;Combined;0.0;;CONC;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.19580613261822, 49.22557150565473], [-123.1964051310282, 49.22520429128254]]}"
2100.0;Combined;0.13;;n/a;75.0;"{""type"": ""LineString"", ""coordinates"": [[-123.11017275007677, 49.209343168352355], [-123.11020442235613, 49.20866903098677]]}"
1350.0;Combined;0.95;;BR/CON;285.2;"{""type"": ""LineString"", ""coordinates"": [[-123.16033154570464, 49.2639015583717], [-123.16425060986997, 49.2639578056741]]}"
1800.0;Combined;0.0;;n/a;57.6;"{""type"": ""LineString"", ""coordinates"": [[-123.0804105491038, 49.258289827786655], [-123.07984162076772, 49.25864554225259]]}"
1350.0;Combined;0.1;;CONC;299.5;"{""type"": ""LineString"", ""coordinates"": [[-123.14422124027018, 49.29143963119131], [-123.14356733538047, 49.29191530914339], [-123.1413619560386, 49.29342959308014]]}"
600.0;Sanitary;0.18;2004;PVC;32.5;"{""type"": ""LineString"", ""coordinates"": [[-123.0754123895164, 49.259698187400495], [-123.0750182755227, 49.25969528664916], [-123.07500986353404, 49.2596946624459], [-123.07500125725525, 49.2596927970291], [-123.07499418722544, 49.25968893367763], [-123.074989971637, 49.25968228895291]]}"
600.0;Sanitary;-0.5;2007;PVC;26.18;"{""type"": ""LineString"", ""coordinates"": [[-123.14316679118784, 49.29201880969492], [-123.14314795030019, 49.29201883303565], [-123.1429071056433, 49.29217696026598]]}"
1050.0;Combined;0.0;;BR/CON;173.7;"{""type"": ""LineString"", ""coordinates"": [[-123.15526966915542, 49.2629193225184], [-123.15290034743839, 49.262883380083686]]}"
1200.0;Combined;1.49;;CONC;81.2;"{""type"": ""LineString"", ""coordinates"": [[-123.10368977079781, 49.22752700474764], [-123.10373599875997, 49.226797483403836]]}"
1350.0;Combined;1.28;;CONC;81.5;"{""type"": ""LineString"", ""coordinates"": [[-123.10383032800516, 49.22556584800735], [-123.1038550925989, 49.22483288247843]]}"
1219.0;Sanitary;-4.5;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14620556093314, 49.272507835254224], [-123.14634709360816, 49.27275161473411]]}"
1219.0;Sanitary;-5.11;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14616127122751, 49.27672913643067], [-123.14611126273037, 49.27677363590319]]}"
900.0;Storm;12.5;2009;CONC;;"{""type"": ""LineString"", ""coordinates"": [[-123.1150777056174, 49.258634916343524], [-123.11507445139833, 49.25872484473994]]}"
0.0;Combined;6.71;1912;n/a;219.1;"{""type"": ""LineString"", ""coordinates"": [[-123.11551761119354, 49.2604006693932], [-123.11551383129816, 49.26040051125854], [-123.11550834714204, 49.26040033683716], [-123.1155028768766, 49.260400225368116], [-123.11549739303543, 49.26040018587406], [-123.11549190932018, 49.260400200350894], [-123.1154864394956, 49.26040027778008], [-123.1154809560532, 49.26040040919386], [-123.11547548652237, 49.26040061255517], [-123.1154700171384, 49.26040087888258], [-123.11546456164497, 49.26040120816229], [-123.11545910629837, 49.26040160040811], [-123.11545367856496, 49.260402046597335], [-123.11544825099934, 49.26040256474783], [-123.11544283730319, 49.260403136855466], [-123.11543743749745, 49.26040377191548], [-123.11543206534684, 49.26040447890928], [-123.11542670704466, 49.26040523086505], [-123.11542137639756, 49.26040605475465], [-123.11541605964081, 49.26040694159661], [-123.11541077049709, 49.26040788238199], [-123.11540550898745, 49.26040888610602], [-123.1154002750908, 49.2604099437735], [-123.11539506884914, 49.26041107337482], [-123.11538989019951, 49.26041224792438], [-123.1153847529485, 49.260413494394086], [-123.11537964331046, 49.26041479480723], [-123.1153745750291, 49.26041614915013], [-123.11536953438161, 49.26041756643169], [-123.11536453509078, 49.26041903764301], [-123.11535957715655, 49.2604205627841], [-123.1153546605999, 49.26042215085011], [-123.11534978539984, 49.26042379284593], [-123.11534495155635, 49.26042548877149], [-123.11534017281315, 49.260427238613126], [-123.11533543544745, 49.26042905137973], [-123.11533075316106, 49.260430909067225], [-123.1153261122312, 49.26043282068452], [-123.11532152640159, 49.260434786217886], [-123.11531699567219, 49.260436805667354], [-123.11531252004302, 49.26043887903291], [-123.11530809949309, 49.26044099731939], [-123.11530373404337, 49.26044316952198], [-123.11529943741664, 49.260445386631766], [-123.11529518214634, 49.26044765767141], [-123.11529099569903, 49.26044997361827], [-123.11528687807464, 49.26045233447236], [-123.11528281555044, 49.26045474924258], [-123.11527882184917, 49.26045720892005], [-123.11527489697086, 49.26045971350477], [-123.11527104089453, 49.26046225400158], [-123.1152672536621, 49.26046484840082], [-123.11526353523165, 49.26046747871215], [-123.11525987188043, 49.260470153944475], [-123.11525630483958, 49.26047287405667], [-123.11525279285702, 49.26047563009465], [-123.11524936344114, 49.26047843102625], [-123.11524600282723, 49.26048126786994], [-123.11524272475909, 49.260484140612036], [-123.11523951549296, 49.26048704926628], [-123.11523638877257, 49.26048999381895], [-123.11523334459797, 49.26049297427005], [-123.1152303829691, 49.26049599061958], [-123.11522749014229, 49.26049904288126], [-123.11522469360497, 49.2605021310277], [-123.11522196582786, 49.2605052370959], [-123.11521933436119, 49.26050838804403], [-123.11521678539847, 49.26051155690027], [-123.11521430523784, 49.2605147616687], [-123.11521192134582, 49.26051799332669], [-123.11520963372247, 49.26052125187427], [-123.11520742862402, 49.26052453732516], [-123.11520530602958, 49.260527840684176], [-123.11520326596008, 49.26053117094648], [-123.11520132215931, 49.26053452809839], [-123.11519947460629, 49.260537903144716], [-123.11519770957825, 49.26054130509438], [-123.1151960407771, 49.260544715943276], [-123.11519445450098, 49.26054815369552], [-123.11519296447273, 49.260551609342166], [-123.11519157067137, 49.260555073888085], [-123.11519025937415, 49.26055855634215], [-123.1151890580686, 49.26056205667697], [-123.11518793924627, 49.26056556592475], [-123.11518691667189, 49.26056909306697], [-123.11518597658079, 49.260572629122166], [-123.11518514646049, 49.26057617406294], [-123.11518441256725, 49.260579727902964], [-123.11518376115733, 49.26058329065598], [-123.11518320597452, 49.260586862308266], [-123.11518276074163, 49.260590433850936], [-123.11518239799217, 49.26059401430659], [-123.11518213144892, 49.26059759466633], [-123.11518196113286, 49.26060118392532], [-123.11517350346593, 49.26082926592904]]}"
1650.0;Combined;4.99;2009;CONC;;"{""type"": ""LineString"", ""coordinates"": [[-123.11513147534241, 49.2607290741826], [-123.1151303001755, 49.26076153906959]]}"
1650.0;Combined;5.0;2009;CONC;;"{""type"": ""LineString"", ""coordinates"": [[-123.11513767534197, 49.26078290434117], [-123.11517350346593, 49.26082926592904]]}"
1200.0;Combined;0.27;1971;CONC;132.8;"{""type"": ""LineString"", ""coordinates"": [[-123.07819204346141, 49.214617814075154], [-123.07909046428414, 49.214626026789205]]}"
1219.0;Sanitary;-0.53;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14618930659276, 49.27246883466834], [-123.14618886946911, 49.272479080747495]]}"
1219.0;Sanitary;-16.29;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14634212845542, 49.2736105270309], [-123.1463414298446, 49.27362531601192]]}"
1219.0;Sanitary;-16.34;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14634522005697, 49.27354493916731], [-123.14634212845542, 49.2736105270309]]}"
1219.0;Sanitary;-3.33;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14315587086308, 49.26834862269548], [-123.14315536006559, 49.26836211612896]]}"
1219.0;Sanitary;2.83;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14622842768915, 49.27154690362347], [-123.1462127743902, 49.27191583438237]]}"
1219.0;Sanitary;-3.33;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14315536006559, 49.26836211612896], [-123.14315484934588, 49.26837563654793]]}"
1219.0;Sanitary;1.9;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.1431370748141, 49.26885044321531], [-123.14313672966775, 49.26885942984732]]}"
1219.0;Sanitary;-0.75;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14329038407259, 49.270606349769736], [-123.1436997766378, 49.27061314544565]]}"
1219.0;Sanitary;-4.39;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.1430755666551, 49.270492340988554], [-123.1431543590675, 49.270534152018506]]}"
1350.0;Combined;0.22;;n/a;127.4;"{""type"": ""LineString"", ""coordinates"": [[-123.05646759556319, 49.25338080255913], [-123.05647044779792, 49.25337549398503], [-123.05647143449652, 49.25337311876459], [-123.05647240815098, 49.25337135522549], [-123.05680026113369, 49.25254639570709], [-123.056978940251, 49.25231760420892]]}"
825.0;Combined;3.28;;n/a;91.1;"{""type"": ""LineString"", ""coordinates"": [[-123.05458981912658, 49.248068738699224], [-123.05458557723604, 49.24869542925241], [-123.05458599976369, 49.24870478408953], [-123.05458765883529, 49.24871404839009], [-123.05459027964193, 49.24872322228392], [-123.05459386208499, 49.2487322158187], [-123.05459854356974, 49.24874102892942], [-123.05460432399755, 49.24874957166371], [-123.05461092855909, 49.248757844151335], [-123.05461849446111, 49.2487656664227], [-123.05462702190239, 49.248773218382105], [-123.05463637318044, 49.24878023023759], [-123.05464641098968, 49.24878679200624], [-123.05465727273503, 49.248792903622835], [-123.05466882081288, 49.24879838524771], [-123.05468091781799, 49.248803236945676], [-123.05468849168616, 49.24880581499104]]}"
200.0;Sanitary;0.0;;n/a;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.08726893544397, 49.28291313529634], [-123.08712907291851, 49.28289884856007]]}"
1219.0;Sanitary;1.37;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14630528007051, 49.27453838273677], [-123.14629378067862, 49.27484304641473]]}"
914.0;Sanitary;1.35;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14552283856938, 49.27064303060059], [-123.14565326778182, 49.270732314496236]]}"
1219.0;Sanitary;-4.41;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14307626850075, 49.27047359412876], [-123.1430755666551, 49.270492340988554]]}"
1219.0;Combined;-13.7;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07913120125367, 49.28233877882653], [-123.07915197196, 49.28236125253983]]}"
1219.0;Combined;0.9;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07930740716345, 49.277692647916645], [-123.07929773358633, 49.278021887236854]]}"
1219.0;Combined;27.74;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.0792897674934, 49.278292818596306], [-123.07923379655024, 49.27836149022794]]}"
1219.0;Combined;0.8;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07923379655024, 49.27836149022794], [-123.07922904063467, 49.27850811495189]]}"
1219.0;Combined;9.19;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07920739627326, 49.27917539232718], [-123.07917084761182, 49.27931034508232]]}"
900.0;Sanitary;68.75;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10292449448403, 49.27012983111258], [-123.10290365404059, 49.27014264084306]]}"
900.0;Sanitary;-0.41;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10297303973987, 49.27009997778104], [-123.10292449448403, 49.27012983111258]]}"
900.0;Sanitary;0.0;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10290365404059, 49.27014264084306], [-123.1028709374694, 49.27016245041077]]}"
900.0;Sanitary;19.89;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10644577395875, 49.27015214216515], [-123.10643216365555, 49.27015152503917], [-123.10636588912546, 49.270150155831736], [-123.10630015430374, 49.27015045919615]]}"
900.0;Sanitary;-0.99;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10680305012127, 49.2701741115619], [-123.10672698445313, 49.27017106051474], [-123.10665065418029, 49.270166417512094], [-123.10657511757103, 49.27016008263018], [-123.10649741063546, 49.27015448730531], [-123.10644577395875, 49.27015214216515]]}"
100.0;Sanitary;0.0;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10682908176935, 49.27015947030371], [-123.10686439786285, 49.27016015726181], [-123.10686366301628, 49.2701763402986]]}"
900.0;Sanitary;0.22;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10923747077632, 49.270221093368015], [-123.10916049137965, 49.27022144497071], [-123.10748906157436, 49.27019081815269], [-123.10693072322091, 49.270178670979355], [-123.1068567899426, 49.27017640962144], [-123.10685009497016, 49.27017619992811]]}"
1219.0;Combined;-2.58;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07907021799377, 49.28355819745987], [-123.07776975454023, 49.28389894465576]]}"
100.0;Sanitary;0.0;2009;DI;;"{""type"": ""LineString"", ""coordinates"": [[-123.10641695976462, 49.27011941719886], [-123.10641580435077, 49.27014464978715], [-123.10628617003547, 49.27014213351425], [-123.10628618762026, 49.27015031912621]]}"
1830.0;Combined;5.77;1971;BR/CON;150.6;"{""type"": ""LineString"", ""coordinates"": [[-123.11487529724037, 49.263662963530905], [-123.11485629192651, 49.26394281429047], [-123.11485939511535, 49.26406582963938]]}"
1219.0;Combined;0.37;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07907981418438, 49.276832864348826], [-123.07926687328073, 49.27683273617726]]}"
1219.0;Combined;-0.19;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07893545724451, 49.276832963054176], [-123.07907981418438, 49.276832864348826]]}"
1219.0;Combined;0.79;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07917084761182, 49.27931034508232], [-123.07916235076449, 49.279653966784686]]}"
1219.0;Combined;-0.35;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07916235076449, 49.279653966784686], [-123.07915684990728, 49.279782061912925]]}"
1219.0;Combined;-1.48;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07915684990728, 49.279782061912925], [-123.0791497985298, 49.279946498625016]]}"
1219.0;Combined;-2.02;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07912861662135, 49.28043980874944], [-123.0791215513095, 49.28060424545051]]}"
1500.0;Combined;0.0;1967;RC;;"{""type"": ""LineString"", ""coordinates"": [[-123.16870164513766, 49.22470794163612], [-123.16879530468863, 49.224682222268015]]}"
1200.0;Combined;0.66;1967;RC;;"{""type"": ""LineString"", ""coordinates"": [[-123.1687186707648, 49.22499710570731], [-123.16868776814603, 49.224855511317806], [-123.16869211528964, 49.22480922430508]]}"
650.0;Combined;26.21;1967;RC;;"{""type"": ""LineString"", ""coordinates"": [[-123.1885006932307, 49.231742652997134], [-123.1884811728956, 49.23170969023145]]}"
;Sanitary;;2009;CONC;;"{""type"": ""LineString"", ""coordinates"": [[-123.14318573472492, 49.26788102414923], [-123.14315299125141, 49.26788069591835], [-123.14315374982563, 49.26784832124947], [-123.14318649327772, 49.26784864948018], [-123.14318573472492, 49.26788102414923]]}"
1200.0;Sanitary;16.0;2009;CONC;;"{""type"": ""LineString"", ""coordinates"": [[-123.14316800740436, 49.26795393423074], [-123.1431696654079, 49.26788086415783]]}"
1800.0;Combined;5.33;2009;CONC;149.17;"{""type"": ""LineString"", ""coordinates"": [[-123.11497183414905, 49.262826457187785], [-123.1149567038447, 49.26322979035128]]}"
900.0;Sanitary;;2013;PVC;;"{""type"": ""LineString"", ""coordinates"": [[-123.14313144891909, 49.267927299757694], [-123.14313142250805, 49.26791816966133]]}"
