Author_ID,NAME,MEIBI,MEIBIX,AVG_NUM_WORDS,AVG_NUM_WORDS_NO_STOPWORDS
"74","Ivan Beres","1","1","4.190476","5.587302"
"75","Jeff Widman","5","5","4.833132","6.245397"
"76","Henry Work","5","5","4.503756","6.015590"
"77","Mark Brooks","2","2","4.231411","5.570879"
"78","Justin Blenkle","1","1","4.227968","5.903353"
"79","Dan Kimerling","3","3","4.722493","6.263290"
"80","Ouriel Ohayon","7","7","4.053776","5.747675"
"81","Glenn Kelman","2","2","3.990032","5.571249"
"82","Thomas Scott McKenzie","0","0","4.239676","5.977169"
"83","Don Reisinger","9","9","4.174491","5.800571"
"84","tccameronc","2","2","4.582969","6.268495"
"85","Gregor Hochmuth","2","2","4.329725","6.002546"
"86","Rob Olson","0","0","4.407120","6.098111"
"87","Calley Nye","4","4","4.353477","5.843999"
"88","tcmattb","0","0","4.202532","5.579832"
"89","Duncan Riley","15","15","4.332748","5.951795"
"90","Mark McGranaghan","0","0","5.105769","6.637500"
"91","Kiruba Shankar","1","1","4.810573","6.240000"
"92","Muhammad Saleem","1","1","3.846009","5.634113"
"93","Ben Meyer","0","0","4.626424","5.868141"
"94","Blake Robinson","3","3","4.198492","5.817686"
"95","Andrew Meyer","1","1","4.250383","5.769425"
"96","Susan Wu","1","1","4.153425","5.747867"
"97","David Sacks","1","1","3.965483","5.752504"
"98","Frank Gruber","5","5","4.427279","5.879423"
"99","Ryan Carson","1","1","3.932735","5.251497"
"100","Marshall Kirkpatrick","15","15","4.180957","5.798222"
"101","Ryan Stewart","1","1","3.955458","5.643840"
"102","alain","2","2","4.234233","5.842388"
"103","Vivian Wu","1","1","4.393893","5.849593"
"104","Wil Schroter","1","1","4.063939","5.715827"
"105","Neil Kjeldsen","3","3","4.103039","5.764594"
"106","Natali Del Conte","4","4","4.067162","5.650984"
"107","Fred Oliveira","1","1","4.278449","5.757716"
