EIN;NAME;ICO;STREET;CITY;STATE;ZIP;GROUP;SUBSECTION;AFFILIATION;CLASSIFICATION;RULING;DEDUCTIBILITY;FOUNDATION;ACTIVITY;ORGANIZATION;STATUS;TAX_PERIOD;ASSET_CD;INCOME_CD;FILING_REQ_CD;PF_FILING_REQ_CD;ACCT_PD;ASSET_AMT;INCOME_AMT;REVENUE_AMT;NTEE_CD;SORT_NAME
116605083;KINGJAY FOUNDATION TRUST;% STERN;EFRAT ISRAEL 90435;ISRAEL;;00000-0000;0000;03;3;1000;200605;1;04;000000000;2;01;201512;7;5;00;1;12;5896681;862946;;T22;
122680572;CANADIAN UNICEF COMMITTEE-COMITE UNICEF CANADA;% 2200 YONGE ST;TORONTO ONTARIO M4S2C6;CANADA;;00000-0000;0000;03;3;1000;200501;4;15;000000000;1;01;201612;1;3;01;0;12;1;68048;68048;Q42;
132556216;UPPER CANADA EDUCATIONAL FOUNDATION;% K C CLARK;TORONTO ONTARIO M4V 1W6;CANADA;;00000-0000;0000;03;3;1200;196808;4;16;059602040;1;01;201606;3;4;01;0;06;37641;208813;208813;;
132870748;MARINE CORPS LEAGUE;% DOUGLAS C DUVAL;STATEN ISLAND;ANGOLA;;00000-0000;0955;04;9;1300;194607;0;00;000000000;5;01;201606;4;4;01;0;06;247348;126636;82660;;246 STATEN ISLAND 1 DET MCL
132971607;PHILHARMONIA FOUNDATION;% DAVID WHELTON-MICHAEL ELLISTON;LONDON UK SE1 0UX;UNITED KINGDOM;;00000-0000;0000;03;3;1000;197903;1;15;090602000;1;01;201505;3;1;02;0;05;27298;8005;8005;A110;SYDNEY GRUSON
133003707;NOVA SPES INTERNATIONAL FOUNDATION;;ROME 00193;ITALY;;00000-0000;0000;03;3;2000;198001;2;15;994123000;1;02;201612;6;3;02;0;12;2319996;31072;31072;;
133031108;FRIENDS OF THE HAGUE ACADEMY OF INTERNATIONAL LAW INC;% LUCY REED;THE HAGUE ZUID-HOLLAND 2517 KJ;NETHERLANDS;;00000-0000;0000;03;3;1000;198007;1;15;602000000;1;01;201609;0;0;02;0;09;0;0;0;;
133085180;ROYAL SHAKESPEARE;;WARWICKSHIRE UNITED KI CV37 6BB;UNITED KINGDOM;;00000-0000;0000;03;3;1200;198110;2;15;123090094;1;01;201603;9;9;01;0;03;200827349;142337787;142337787;A650;
133211128;WORLD FEDERATION OF SOCIETIES OF ANAESTHESIOLOGISTS;% MICHAEL ROSEN TREASURER;21 PORTLAND PLACE LONDON UNITED KIN;UNITED KINGDOM;;00000-0000;0000;03;3;1000;198503;1;15;162000000;5;01;201512;6;6;01;0;12;2001996;2390483;657249;G91Z;
133347776;BURLINGTON MAGAZINE FOUNDATION INC;;LONDON WC1H9-AD;UNITED KINGDOM;;00000-0000;0000;03;3;1000;198609;2;03;120000000;1;01;201512;6;4;00;1;12;3137732;144873;;;
133465253;HIROSHIMA FUND;% C RAJAKARUNA;LONDON N17 7RP;UNITED KINGDOM;;00000-0000;0000;03;3;1000;198905;1;15;520000000;1;01;201612;1;1;02;0;12;8769;1;1;Q410;
133748085;EVANS FAMILY FOUNDATION;;LONDON WC1X 9JF;UNITED KINGDOM;;00000-0000;0000;03;3;1000;199412;2;04;602000000;2;01;201511;8;6;00;1;11;10873771;1202493;;;
133785442;GREAT PACIFIC FOUNDATION;;VANCOUVER BC V6C1C7;CANADA;;00000-0000;0000;03;3;1000;199501;4;04;602000000;1;01;201612;8;7;00;1;12;20315827;8534432;;Z99Z;
133793639;PLURAL ARTS INTERNATIONAL INC;% TODD FLETCHER;BERLIN 10042;GERMANY;;00000-0000;0000;03;3;1000;199501;1;15;994431090;1;01;201612;0;0;02;0;12;0;0;0;R30;
133823577;AMERICAN FRIENDS OF ENGLISH NATIONAL OPERA INC;% PETER KOHL;LONDON NW3 1SV;UNITED KINGDOM;;00000-0000;0000;03;1;1000;200811;1;15;994602000;1;01;201512;4;4;01;0;12;120335;242878;242878;A116;
133867834;MICHAEL J ZAMKOW & SUE E BERMAN FOUNDATION;% MICHAEL J ZAMKOW;LONDON;UNITED KINGDOM;;00000-0000;0000;03;3;1000;199610;2;04;602000000;2;01;201702;6;3;00;1;02;1052881;35681;;T20J;ZAMKOW MICHAEL J TTEE
133989532;GARY WILLIAMS FOUNDATION;% GARY WILLIAMS;LONDON 8K;UNITED KINGDOM;;00000-0000;0000;03;3;1000;199807;2;04;602000000;2;01;201701;6;1;00;1;01;1551379;5899;;T20Z;
133993558;GRATCH FOUNDATION;% ARIEL GRATCH;HERTZELIA;ISRAEL;;00000-0000;0000;03;3;1000;199812;1;04;000000000;1;01;201512;4;1;00;1;12;142759;1851;;T20;
134028661;REDRESS TRUST LIMITED;% WHITE & CASE LLP;LONDON SE11 5HJ;UNITED KINGDOM;;00000-0000;0000;03;3;1000;199910;1;16;000000000;1;01;201603;4;5;01;0;03;410079;600000;600000;Q70;
134045482;INTERNATIONAL PEDIATRIC TRANSPLANT ASSOCIATION INC;% NAPRTCS AMIR TEJANI MD;MONTREAL QUEBEC H2Z 1Y7;CANADA;;00000-0000;0000;03;3;1000;199905;1;15;000000000;1;01;201512;6;6;01;0;12;1128990;1069253;558795;Q300;
134088704;DB FOUNDATION;% RICHARD BRONKS;LOCAL;UNITED KINGDOM;;00000-0000;0000;03;3;1000;200102;2;04;000000000;1;01;201610;5;4;00;1;10;958127;127190;;T22;
134164140;INTERNATIONAL FINANCIAL REPORTING STANDARDS FOUNDATION;% JAMES DEISSLER HD OF FINANC;LONDON EC4M6XH;UNITED KINGDOM;;00000-0000;0000;03;3;2000;200106;1;15;000000000;1;01;201512;8;8;01;0;12;37755224;42213562;42213562;S034;
134190458;NER LE ELEF;% LEA RABI;JERUSALEM ISRAEL 9548311;ISRAEL;;00000-0000;0000;03;3;1000;200201;1;15;000000000;1;01;201505;0;0;02;0;05;0;0;0;X30;
134206255;BEAR SPRINGS BLOSSOM NATURE CONSERVATION GROUP INC;% PETER BONENBERGER;ROGGENBURG BAVARIA 89297;GERMANY;;00000-0000;0000;03;3;2000;200212;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;C30;
136161753;HENRY W SAFRAN FOUNDATION INC;% THE FOREST HOUSE;BERK5 SL2 EG ENGLAND;UNITED KINGDOM;;00000-0000;0000;03;3;1000;196307;2;04;602000000;1;01;201512;2;0;00;1;12;18953;0;;;
136163055;FRIENDS OF MCMASTER INCORPORATED;% SAAD KHAN;HAMILTON ONTARIO L8R 2K3;CANADA;;00000-0000;0000;03;3;1000;198809;4;17;602000000;1;01;201512;1;6;01;0;12;1216;1052350;1052350;;
136620923;UNIVERSITY OF WESTERN ONTARIO FOUNDATION INC;% FINANCIAL SERVICES DEPARTMENT;LONDON ON N6A 3K7;CANADA;;00000-0000;0000;03;3;2000;196104;1;15;000000000;1;01;201604;2;4;01;0;04;19246;262700;262700;;
137119948;THE EDUCATION RENAISSANCE TRUST;% GORMAN DARBY & CO;LONDON EC1N 8EH;UNITED KINGDOM;;00000-0000;0000;03;3;1000;199804;2;04;119000000;2;01;201603;6;4;00;1;03;1278608;409499;;T20Z;BODDY DAVID ET AL TTEE
137265426;LOMDIM TR;% YIGAL GROSS;JERUSALEM ISRAEL 91344;ISRAEL;;00000-0000;0000;03;3;1000;200201;4;15;000000000;1;01;201704;0;0;02;0;04;0;0;0;T20;GROSS YIGAL TTEE
137302537;INSTITUTE FOR CULUTURAL DIPLOMACY INC;% MARK C DONFRIED;BERLIN 10785;GERMANY;;00000-0000;0000;03;3;2000;200407;2;15;000000000;1;01;201506;0;0;02;0;06;0;0;0;Q40;KUDAMM KARREE 3RD FL HOCHHAUS
141782056;AMERICAN FRIENDS OF THE JEWISH BIBLE ASSOCIATION INC;% JOSHUA BACKON;JERUSALEM 0 0;ISRAEL;;00000-0000;0000;03;3;1000;199509;4;15;994602000;1;01;201612;0;0;02;0;12;0;0;0;X99Z;
141807509;CIAR ASSOCIATION INC;% CANADIAN INSTITUTE FOR ADVANCED R;TORONTO ONTARIO M5G 1M1;CANADA;;00000-0000;0000;03;3;1000;199809;4;15;994602000;1;01;201606;0;0;02;0;06;0;0;0;Z99;
141870904;HEM OF HIS GARMENT MINISTRY INC;% PATRICIA LAMOREAU;BISHOPS STORTFORD HEARTFORDSHIRE;UNITED KINGDOM;;00000-0000;8617;03;9;7000;199112;1;10;001029000;1;01;;0;0;02;0;12;;;;;MISSIONARY CHURCH INTERNATIONAL INC
141965395;GIVE CHILDREN A CHANCE;% JARROD WILLIAM GOSY;CMR 414 BOX 2247;APO;AE;09173-0000;3317;03;9;7000;199112;2;10;001000000;1;01;;0;0;06;0;06;;;;;
161199495;DISABLED AMERICAN VETERANS;% JOHN SKYLER;ALDEN 14004;AFGHANISTAN;;00000-0000;0557;04;9;3000;194206;0;00;000000000;5;01;201606;0;0;02;0;06;0;0;0;;1 GREATER BUFFALO
161356493;FAMILY MOTOR COACH ASSOCIATION;% NANCY BERRY;LANSDOWNE ONTARIO K0E 1L0;CANADA;;00000-0000;2609;07;9;1000;197401;2;00;299318000;5;01;201512;0;0;02;0;12;0;0;0;;GMC HERITAGE CRUISERS
161574588;1 WORLD FOUNDATION INC;% JOSEPH L RICH PRES;KINGSTON ONTARIO K7M 8A6;CANADA;;00000-0000;0000;03;3;1000;199912;4;15;000000000;1;01;201603;1;0;02;0;03;1;0;0;T12;
161591978;PARTNERS IN HARVEST INC;% JOHN ARNOTT;ETOBICOKE;CANADA;;00000-0000;0000;03;3;1700;200303;4;15;000000000;1;01;201512;0;0;02;0;12;0;0;0;X20;
161655556;ZERO TOLERANCE BASKETBALL ORGANIZATION INC;;9900 OHC APT 285;ST THOMAS;VI;00802-0000;0000;03;3;1200;201408;1;15;000000000;1;01;201312;1;3;01;0;09;2700;41739;41739;N63;
161756538;THE MORTON APFELDORF PARKINSONS SUPPORT FOUNDATION INC;% MORTON APFELDORF;JERUSALEM JERUSALEM 92147;ISRAEL;;00000-0000;0000;03;3;1000;200606;4;15;000000000;1;01;201412;0;0;02;0;12;0;0;0;T30;
200105601;JERUSALEM INSTITUTE FOR MARKET STUDIES INC;% ROBERT MARK SAUER;JERUSALEM JERUSALEM 92567;ISRAEL;;00000-0000;0000;03;3;2000;200312;4;15;000000000;1;01;201512;4;4;01;0;12;113920;392500;392500;Q30;
200443521;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% IRIS SPITZ;TORONTO ONTARIO;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;TORONTO CHAPTER
200443551;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% REINHARD POGLITSCH;VIENNA 1210;AUSTRIA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;201406;0;0;02;0;06;0;0;0;;AUSTRIA CHAPTER
200443557;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% GREG M PHERSON;CALGARY ALBERTA;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;CALGARY CHAPTER
200443576;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% BARBARA BEST;OTTAWA ONTARIO;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;OTTAWA CHAPTER
200443583;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% VICKI HACKL;EDMONTON ALBERTA;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;NORTHERN ALBERTA CHAPTER
200443612;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% MICHELE POISSANT;LAVA QUEBEC H7L4C1;CANADA;;00000-0000;7100;06;9;1000;198904;2;00;149000000;5;01;;0;0;01;0;06;;;;;MONTREAL CHAPTER
200443614;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% VICTORIA SCHEDEL;NORTH VANCOUVER BC V7M 1A2;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;BRITISH COLUMBIA CHAPTER
200443616;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% ONDREJ STRUP;PRAHA CZ-181 00;CZECH REPUBLIC;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;201406;0;0;02;0;06;0;0;0;;CZECH REPUBLIC CHAPTER
200443628;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% CINDY A DANDEWICH;MB R3PON5;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;MANITOBA CHAPTER
200443637;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% KEIJO KAIVANTO MANAGING DIRECTOR;FIN-00100 HELSINKI;FINLAND;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;201406;0;0;02;0;06;0;0;0;;FINLAND CHAPTER
200443640;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% JOHN ZIEGLER;REGINA,SK,54P3B8;CANADA;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;;0;0;01;0;06;;;;;REGINA CHAPTER
200443751;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% TOMASZ KWIATKOWSKI;02342 WARSZAWA;POLAND;;00000-0000;7100;06;9;1000;198904;0;00;000000000;5;01;201406;0;0;02;0;06;0;0;0;;POLSKA CHAPTER
200443825;INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC;% BERNICE CHENG;KWAN 0;HONG KONG;;00000-0000;7100;06;9;1000;198904;2;00;149000000;5;01;;0;0;01;0;06;;;;;HONG KONG CHAPTER
200602982;NIPISSING DISTRICT DEVELOPMENTAL SCREEN USA;% LINDA MCLAY;NORTH BAY ONTARIO P1B 8K6;CANADA;;00000-0000;0000;03;3;1000;201410;1;16;000000000;1;01;201603;0;0;02;0;03;0;0;0;P20;
200612879;MOBILE ENTERTAINMENT FORUM USA INC;% JOANNE LACEY;LONDON VICTORIA;UNITED KINGDOM;;00000-0000;0000;06;3;1000;200609;2;00;000000000;1;01;201503;0;0;02;0;03;0;0;0;S41;
200644142;STRATEGIC SOLUTIONS NETWORK INC;% SANA JOSEPH;1013 ESTATE WHIM;FREDERIKSTED;VI;00840-3752;0000;03;3;1000;201511;1;16;000000000;1;01;;1;3;02;0;12;;;;P20;
201096061;KAMIEN FAMILY FOUNDATION;% ANITA KAMIEN;JERUSALEM;ISRAEL;;00000-0000;0000;03;3;1000;200603;1;04;000000000;1;01;201612;3;1;00;1;12;47112;188;;B99;
201567425;IMAGINE GLOBAL INCORPORATED;% ABE CARMELI OREN FUERST;HERZLIYA;ISRAEL;;00000-0000;0000;03;3;1200;200509;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;H05;
201653634;SANABEL MICROFINANCE OF THE ARAB COUNTRIES INC;;NEW CAIRO 11853;EGYPT;;00000-0000;0000;03;3;1000;200601;2;15;000000000;1;01;201612;5;5;01;0;12;868621;670091;670091;Q32;
201834667;HUDSONVILLE PARK PLACE INC;% BILL DEYOUNG;TINLEY PARK IL 60477;AFGHANISTAN;;00000-0000;0000;03;3;1000;200702;1;16;000000000;1;01;201612;0;0;02;0;12;0;0;0;P75;
201865237;AMERICAN FRIENDS OF ALMA INC;% ROART INC;TEL AVIV;ISRAEL;;00000-0000;0000;03;3;2100;200509;1;15;000000000;1;01;201512;0;0;02;0;12;0;0;0;;
202032957;OLD ROAD FUND INC;% R BRAXTON HILL III;ST JOHNS ANTIGUA W ST JOHNS ANTIG;ANTIGUA & BARBUDA;;00000-0000;0000;03;3;1200;200503;1;15;000000000;1;01;201612;4;4;01;0;12;142197;122599;122599;P20;
202318102;MESHI EARLY CHILDHOOD DEVELOPMENT CENTER;;JERUSALEM 97253;ISRAEL;;00000-0000;0000;03;3;1000;200306;2;11;000000000;1;01;201512;6;7;01;0;12;2567909;6042339;6042339;B28;
202431459;YOKWE YUK WOMENS CLUB;% KATHERINE REILLY;PSC 701 BOX 448;APO;AP;96555-0005;0000;04;3;3000;201706;2;00;000000000;5;01;;0;0;02;0;08;;;;S81;
202685206;TOMPKINS SQUARE MIDDLE SCHOOL PTA;;BARCELONA 08261;SPAIN;;00000-0000;0000;03;3;1000;201702;1;16;000000000;5;01;;0;0;02;0;06;;;;B94;
203034030;SHEKINAH HANDS OF DELIVERANCE MINISTRY;% MARIE ERNA SIMON;ROCK HILL SC 29730;AFGHANISTAN;;00000-0000;0000;03;3;1000;201205;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;P20;
203193115;AMERICAN FRIENDS OF UHN INC;;TORONTO ON M5G 2M9;CANADA;;00000-0000;0000;03;3;1000;200511;4;15;000000000;1;01;201603;2;6;01;0;03;11790;1716709;1716709;E112;
203273423;DORESH;% MORDECHAI SALFER;MIAMI;AKROTIRI;;00000-0000;0000;03;3;1000;200703;1;11;000000000;1;01;201612;5;5;01;0;12;524663;711518;711518;B99;
203317540;INTERNATIONAL SCHOOL PSYCHOLOGY ASSOCIATION INC;% DR ROBERT D CLARK;AMSTERDAM;NETHERLANDS;;00000-0000;0000;03;3;2100;200605;1;16;000000000;1;01;201612;4;3;01;0;12;191148;96138;96138;V23;
203553514;THE TOSKAN CASALE FOUNDATION INC;% ERNST & YOUNG US LLP;TORONTO ON M4N 3N1;CANADA;;00000-0000;0000;03;3;1000;200606;1;04;000000000;1;01;201606;3;0;00;1;06;52210;0;;T50;
204106771;ACUPUNCTURE AND ORIENTAL MEDICINEASSOCIATION OF ALASKA;% RANDE LUCAS;ANCHORAGE AK 99508;AFGHANISTAN;;00000-0000;0000;03;3;2000;201605;1;16;000000000;1;01;201612;0;0;02;0;12;0;0;0;E03;
204374462;AMERICAN INTERNATIONAL SCHOOL OF MOZAMBIQUE FOUNDATION;% AISM;DULLES VIRGINIA 20189-2330;MOZAMBIQUE;;00000-0000;0000;03;3;2000;201007;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;Q11;
204416398;HADDEN FAMILY FOUNDATION;% KEVIN J WEBER;PORT ROWAN ON;CANADA;;00000-0000;0000;03;3;1000;200610;4;04;000000000;1;01;201512;5;3;00;1;12;785915;60813;;T22;
204733601;AMERICAN FRIENDS OF THE ART GALLERY OF ONTARIO INC;% CASSANDRA LEMAY;TORONTO ONTARIO M5T 1G4;CANADA;;00000-0000;0000;03;3;1000;200612;4;15;000000000;1;01;201612;1;4;01;0;12;6631;102082;102082;A11;
204792577;INTERNATIONAL FEDERATION FOR PROFESSIONAL SPEAKERS INC;;TORONTO ONTARIO M3B 3N7;CANADA;;00000-0000;0000;06;3;2000;200706;2;00;000000000;1;01;201512;4;3;01;0;12;141283;71600;71600;S41;
204870511;CARIBBEAN ANTI-POVERTY RELIEFFOUNDATION;% PO BOX 12724;NASSAU;THE BAHAMAS;;00000-0000;0000;03;3;1000;200702;1;04;000000000;1;01;201612;1;1;00;1;12;1;475;;Q12;
204958016;GENERATION CONNECTION INC;% JOEL DAUNIC;NASHVILLE TENNESSEE 37206;CANADA;;00000-0000;0000;03;3;1200;201304;1;15;000000000;1;01;201512;0;0;02;0;12;0;0;0;O50;
205236431;JOY OF THE HEART FOUNDATION INC;% BRANDON A MARESMA CPA;JACKSONVILLE BEACH FLORIDA 32250;ETHIOPIA;;00000-0000;0000;03;3;1200;201112;1;16;000000000;1;01;201512;0;0;02;0;12;0;0;0;Q30;
205478637;BOBS AND CROW LAKES FOUNDATION;% ALEXANDER CAMERON;GODFREY ONTARIO K0H 1T0;CANADA;;00000-0000;0000;03;3;1000;200709;4;15;000000000;1;01;201606;0;0;02;0;06;0;0;0;C32;
205521081;INTERNATIONAL ASSOCIATION OF WOODANATOMISTS;% REGIS B MILLER;2300 RA LEIDEN;NETHERLANDS;;00000-0000;0000;03;3;2000;200807;2;16;000000000;5;01;201512;4;3;01;0;12;184786;50778;47186;B99;
