AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
190;640;MAIN ST AND E 2ND AV;"{""type"": ""Point"", ""coordinates"": [-123.10069690680474, 49.26916798655186]}";Mount Pleasant
190;641;E 3RD AV AND MAIN ST;"{""type"": ""Point"", ""coordinates"": [-123.10073709126944, 49.268218193564955]}";Mount Pleasant
170;734;CAMBIE ST AND MCGUIGAN AV;"{""type"": ""Point"", ""coordinates"": [-123.11826024868202, 49.24043019142428]}";Riley Park
119;571;CANADA PLACE AND THURLOW ST;"{""type"": ""Point"", ""coordinates"": [-123.11823794977823, 49.28884867672941]}";Downtown
275;770;KINGSWAY AND SLOCAN ST;"{""type"": ""Point"", ""coordinates"": [-123.05408302632674, 49.24003412832964]}";Renfrew-Collingwood
090;690;W 16TH AV AND ARBUTUS ST;"{""type"": ""Point"", ""coordinates"": [-123.15289257946213, 49.25727689033213]}";Kitsilano
282;598;ADANAC ST AND NOOTKA ST;"{""type"": ""Point"", ""coordinates"": [-123.04135462670664, 49.27745101088185]}";Hastings-Sunrise
071;715;QUESNEL DRIVE AND MACKENZIE ST;"{""type"": ""Point"", ""coordinates"": [-123.17019163608548, 49.24795964426858]}";Arbutus-Ridge
213;640;FOLEY ST AND GREAT NORTHERN WAY;"{""type"": ""Point"", ""coordinates"": [-123.08666266628883, 49.26621919808326]}";Strathcona
213;638;FOLEY ST AND EARL FINNING WAY;"{""type"": ""Point"", ""coordinates"": [-123.08650490954638, 49.2672090761864]}";Strathcona
162;597;EXPO BOULEVARD AND DUNSMUIR ST;"{""type"": ""Point"", ""coordinates"": [-123.1086862978593, 49.27867060631781]}";Downtown
179;713;PEVERIL AV AND WALKWAY;"{""type"": ""Point"", ""coordinates"": [-123.10980725858276, 49.2476150970077]}";Riley Park
225;730;E 33RD AV AND INVERNESS ST;"{""type"": ""Point"", ""coordinates"": [-123.08014097074933, 49.24023779989541]}";Kensington-Cedar Cottage
087;629;WALKWAY AND YEW ST;"{""type"": ""Point"", ""coordinates"": [-123.15494667385299, 49.27327812739372]}";Kitsilano
073;688;TRAFALGAR ST AND W 15TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16487294023655, 49.25840785430513]}";Kitsilano
061;701;CARNARVON ST AND PUGET DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.17289717888653, 49.2523937748771]}";Arbutus-Ridge
186;603;MILROSS AV AND QUEBEC ST;"{""type"": ""Point"", ""coordinates"": [-123.10207916694687, 49.276070502321026]}";Downtown
303;664;NATAL ST AND CORNETT ROAD;"{""type"": ""Point"", ""coordinates"": [-123.03024751223609, 49.26051243332474]}";Renfrew-Collingwood
281;566;WALL ST AND YALE ST;"{""type"": ""Point"", ""coordinates"": [-123.04335363694956, 49.290716609746234]}";Hastings-Sunrise
312;567;YALE ST AND N KOOTENAY ST;"{""type"": ""Point"", ""coordinates"": [-123.0256781013333, 49.29068573769116]}";Hastings-Sunrise
078;690;BALSAM ST AND W 16TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16027967303688, 49.257395618218844]}";Kitsilano
312;566;HIGH ROAD AND FELLOWES ST;"{""type"": ""Point"", ""coordinates"": [-123.025113534496, 49.29163324108644]}";Hastings-Sunrise
320;564;BRIDGEWAY AND N BOUNDARY ROAD;"{""type"": ""Point"", ""coordinates"": [-123.02337497964959, 49.292674309769616]}";Hastings-Sunrise
265;630;TEMPLETON DRIVE AND E 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.05995391163314, 49.26952455442932]}";Grandview-Woodland
255;630;E 1ST AV AND SEMLIN DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.06382128252582, 49.26955432599038]}";Grandview-Woodland
253;630;VICTORIA DRIVE AND E 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.06575354571105, 49.26956824652896]}";Grandview-Woodland
253;604;VICTORIA DRIVE AND NAPIER ST;"{""type"": ""Point"", ""coordinates"": [-123.06565930326171, 49.274821221890114]}";Grandview-Woodland
257;604;NAPIER ST AND ROSE ST;"{""type"": ""Point"", ""coordinates"": [-123.0628643894544, 49.27480018936615]}";Grandview-Woodland
265;604;NAPIER ST AND TEMPLETON DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.05984903024545, 49.27477663100652]}";Grandview-Woodland
282;602;PARKER ST AND NOOTKA ST;"{""type"": ""Point"", ""coordinates"": [-123.04138898175306, 49.275377914503295]}";Hastings-Sunrise
282;630;E 1ST AV AND NOOTKA ST;"{""type"": ""Point"", ""coordinates"": [-123.04148251422481, 49.26948250523669]}";Hastings-Sunrise
254;606;LILY ST AND WILLIAM ST;"{""type"": ""Point"", ""coordinates"": [-123.06459252352155, 49.273781394758416]}";Grandview-Woodland
253;606;WILLIAM ST AND VICTORIA DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.06567809299766, 49.27391779752166]}";Grandview-Woodland
270;611;NANAIMO ST AND KITCHENER ST;"{""type"": ""Point"", ""coordinates"": [-123.0565837335403, 49.27229515428815]}";Grandview-Woodland
259;611;LAKEWOOD DRIVE AND KITCHENER ST;"{""type"": ""Point"", ""coordinates"": [-123.06183655941788, 49.27207683882082]}";Grandview-Woodland
259;612;GRANT ST AND LAKEWOOD DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.06185420050754, 49.27123318832211]}";Grandview-Woodland
267;612;GARDEN DRIVE AND GRANT ST;"{""type"": ""Point"", ""coordinates"": [-123.05798598362226, 49.27120245181787]}";Grandview-Woodland
270;616;GRAVELEY ST AND NANAIMO ST;"{""type"": ""Point"", ""coordinates"": [-123.05658860139894, 49.270433542904605]}";Grandview-Woodland
265;616;GRAVELEY ST AND TEMPLETON DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.05993508841357, 49.27042857224319]}";Grandview-Woodland
259;616;LAKEWOOD DRIVE AND GRAVELEY ST;"{""type"": ""Point"", ""coordinates"": [-123.06187036914172, 49.270443707542455]}";Grandview-Woodland
255;616;SEMLIN DRIVE AND GRAVELEY ST;"{""type"": ""Point"", ""coordinates"": [-123.06380383647118, 49.27045880243372]}";Grandview-Woodland
267;633;E 3RD AV AND GARDEN DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.05805818259212, 49.26770080194028]}";Grandview-Woodland
255;633;E 3RD AV AND SEMLIN DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.0638561184014, 49.26774584944516]}";Grandview-Woodland
253;633;VICTORIA DRIVE AND E 3RD AV;"{""type"": ""Point"", ""coordinates"": [-123.06578923279781, 49.267760416565004]}";Grandview-Woodland
280;688;RENFREW ST AND E 16TH AV;"{""type"": ""Point"", ""coordinates"": [-123.04432188878388, 49.25541399235282]}";Renfrew-Collingwood
280;694;E 20TH AV AND RENFREW ST;"{""type"": ""Point"", ""coordinates"": [-123.04433469827357, 49.252346959466486]}";Renfrew-Collingwood
320;607;BOUNDARY ROAD AND KITCHENER ST;"{""type"": ""Point"", ""coordinates"": [-123.02363018891025, 49.27210023404983]}";Hastings-Sunrise
297;715;MANOR ST AND WELLINGTON AV;"{""type"": ""Point"", ""coordinates"": [-123.0381218861826, 49.24334122858817]}";Renfrew-Collingwood
286;742;COLLEGE ST AND SCHOOL AV;"{""type"": ""Point"", ""coordinates"": [-123.04448550787815, 49.23600881207317]}";Renfrew-Collingwood
281;722;EUCLID AV AND MOSS ST;"{""type"": ""Point"", ""coordinates"": [-123.04433913374717, 49.24077389173516]}";Renfrew-Collingwood
294;770;BURSILL ST AND KINGSWAY;"{""type"": ""Point"", ""coordinates"": [-123.04429143441772, 49.23611893449763]}";Renfrew-Collingwood
284;726;KILLARNEY ST AND HORLEY ST;"{""type"": ""Point"", ""coordinates"": [-123.04351692245581, 49.238409859071126]}";Renfrew-Collingwood
280;718;EARLES ST AND VANNESS AV;"{""type"": ""Point"", ""coordinates"": [-123.0435963542901, 49.24307742311205]}";Renfrew-Collingwood
283;717;PICTON ST AND KINGS AV;"{""type"": ""Point"", ""coordinates"": [-123.04080527257558, 49.24273625486548]}";Renfrew-Collingwood
297;716;MANOR ST AND QUEENS AV;"{""type"": ""Point"", ""coordinates"": [-123.03892847091551, 49.24249708050997]}";Renfrew-Collingwood
300;715;WELLINGTON AV AND RUPERT ST;"{""type"": ""Point"", ""coordinates"": [-123.03601501391276, 49.24247542946174]}";Renfrew-Collingwood
179;642;W 4TH AV AND COLUMBIA ST;"{""type"": ""Point"", ""coordinates"": [-123.10942790885264, 49.26747150486597]}";Mount Pleasant
182;642;MANITOBA ST AND W 4TH AV;"{""type"": ""Point"", ""coordinates"": [-123.10664836400223, 49.26742034855352]}";Mount Pleasant
184;642;E 4TH AV AND W 4TH AV;"{""type"": ""Point"", ""coordinates"": [-123.10471358623758, 49.26738577758166]}";Mount Pleasant
301;721;SPENCER ST AND AUSTREY AV;"{""type"": ""Point"", ""coordinates"": [-123.03781659082765, 49.23905747225416]}";Renfrew-Collingwood
301;722;SPENCER ST AND EUCLID AV;"{""type"": ""Point"", ""coordinates"": [-123.03845955003578, 49.23838832875435]}";Renfrew-Collingwood
302;722;TAUNTON ST AND EUCLID AV;"{""type"": ""Point"", ""coordinates"": [-123.03716213602114, 49.2378679647527]}";Renfrew-Collingwood
294;726;HORLEY ST AND BURSILL ST;"{""type"": ""Point"", ""coordinates"": [-123.0424561350476, 49.237982448984305]}";Renfrew-Collingwood
070;640;MACDONALD ST AND W 4TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16831249701178, 49.26836802207322]}";Kitsilano
114;583;BAYSHORE DRIVE AND CARDERO ST;"{""type"": ""Point"", ""coordinates"": [-123.12928876024112, 49.29142832128809]}";Downtown
170;639;COMMODORE ROAD AND W 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.11474587311427, 49.268213298367286]}";Fairview
084;664;VINE ST AND W 11TH AV;"{""type"": ""Point"", ""coordinates"": [-123.15774681946112, 49.262019559243434]}";Kitsilano
144;790;HUDSON ST AND W 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1350834308814, 49.22679311007996]}";Oakridge
145;792;SELKIRK ST AND W 50TH AV;"{""type"": ""Point"", ""coordinates"": [-123.13333456962211, 49.22575548709211]}";Oakridge
147;795;W 52ND AV AND MONTGOMERY ST;"{""type"": ""Point"", ""coordinates"": [-123.13200837328284, 49.22396571957588]}";Oakridge
144;798;W 53RD AV AND HUDSON ST;"{""type"": ""Point"", ""coordinates"": [-123.13523249541737, 49.22254231158604]}";Oakridge
159;761;W 46TH AV AND WILLOW ST;"{""type"": ""Point"", ""coordinates"": [-123.12339739110453, 49.22913387040077]}";Oakridge
150;761;OAK ST AND W 46TH AV;"{""type"": ""Point"", ""coordinates"": [-123.12823203195349, 49.229302411319075]}";Oakridge
279;765;VIVIAN ST AND WAVERLEY AV;"{""type"": ""Point"", ""coordinates"": [-123.05021895078825, 49.22673311901635]}";Victoria-Fraserview
278;765;WALES ST AND WAVERLEY AV;"{""type"": ""Point"", ""coordinates"": [-123.05175652527967, 49.22674243409315]}";Victoria-Fraserview
270;790;E 49TH AV AND ELLIOTT ST;"{""type"": ""Point"", ""coordinates"": [-123.05475048604428, 49.224816526252496]}";Victoria-Fraserview
270;771;ELLIOTT ST AND E 48TH AV;"{""type"": ""Point"", ""coordinates"": [-123.05471676271767, 49.22594232652401]}";Victoria-Fraserview
278;771;WALES ST AND E 48TH AV;"{""type"": ""Point"", ""coordinates"": [-123.05179870226407, 49.225926562862796]}";Victoria-Fraserview
