PROJECT;STREET;LOCATION;COMP_DATE;URL_LINK;Geom
The lane South of 1500 blk Venables St from Woodland Dr to 40m East, and the Wes;;The lane South of 1500 blk Venables St from Woodland Dr to 40m East, and the Wes;2020-08-12;http://vanmapp1.vancouver.ca/roadahead/events/details/b8658e78-10f3-4c76-ab98-9be248bc5d6a;"{""type"": ""LineString"", ""coordinates"": [[-123.07339310643324, 49.27667846670232], [-123.0734109877994, 49.27624915798111], [-123.07244539255406, 49.27623749200424]]}"
East side of Burrard St from lane north of W 14th Ave to W 13th Ave;;East side of Burrard St from lane north of W 14th Ave to W 13th Ave;2020-07-31;http://vanmapp1.vancouver.ca/roadahead/events/details/dc5d1d29-c517-46a0-8187-fe91138a4641;"{""type"": ""LineString"", ""coordinates"": [[-123.14591485543245, 49.25995371708865], [-123.14593177763912, 49.25949354551955]]}"
W 6th Ave from Yukon St to Alberta St;;W 6th Ave from Yukon St to Alberta St;2020-07-31;http://vanmapp1.vancouver.ca/roadahead/events/details/df828efb-222f-4785-bc8b-ce662420da49;"{""type"": ""LineString"", ""coordinates"": [[-123.11085140859, 49.26569015047198], [-123.11278689599, 49.265725535478026]]}"
Hamilton St from W Georgia St to Dunsmuir St;;Hamilton St from W Georgia St to Dunsmuir St;2020-07-30;http://vanmapp1.vancouver.ca/roadahead/events/details/e69499d9-7df1-4b17-acfb-9a270d4eb7bf;"{""type"": ""LineString"", ""coordinates"": [[-123.11250751201999, 49.281097851537], [-123.11421616157, 49.27996723521801]]}"
South side of Alberni St from Cardero St to 60m east of Cardero St - no metered;;South side of Alberni St from Cardero St to 60m east of Cardero St - no metered;2020-07-24;http://vanmapp1.vancouver.ca/roadahead/events/details/eab8916e-8b6e-4443-a624-094ae4679b9a;"{""type"": ""LineString"", ""coordinates"": [[-123.1312170624733, 49.290114638336945], [-123.13067525625229, 49.28976825294396]]}"
Olympic St from W 41st Ave to SW Marine Dr/Highbury St from SW Marine Dr to lane;;Olympic St from W 41st Ave to SW Marine Dr/Highbury St from SW Marine Dr to lane;2020-03-21;http://vanmapp1.vancouver.ca/roadahead/events/details/f3e4d660-080d-41d7-a77e-0fa429aae215;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.18965098631001, 49.234768323325], [-123.18971297704, 49.23269796298803]], [[-123.18971297704, 49.23269796298803], [-123.1897270025, 49.23223910975]], [[-123.18844542388001, 49.23222384659999], [-123.18846009647, 49.23176595492001]]]}"
South side of W Broadway from Yew St to 30m east of Cypress St (Jul 25-26);;South side of W Broadway from Yew St to 30m east of Cypress St (Jul 25-26);2020-08-03;http://vanmapp1.vancouver.ca/roadahead/events/details/030f3784-04c6-48fd-8683-928726d1ad8f;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.1553128979588, 49.26387222068925], [-123.15294300168011, 49.26383417496888], [-123.1505444634432, 49.26379556025893], [-123.14814539417259, 49.2637573551944]], [[-123.14818737091629, 49.2637576881765], [-123.14748552633317, 49.26374893642503]], [[-123.13938975334165, 49.263617878868104], [-123.13857553766407, 49.263604254746156], [-123.138552904129, 49.264135981256686]], [[-123.13771605491637, 49.2635898731786], [-123.13857553766407, 49.263604254746156], [-123.13859581947324, 49.26312777700727]]]}"
Both sides of W 15th Ave from Alma St to 50m west of Alma St.;;Both sides of W 15th Ave from Alma St to 50m west of Alma St.;2020-07-23;http://vanmapp1.vancouver.ca/roadahead/events/details/08461067-5f4e-407a-8680-b89b860114eb;"{""type"": ""LineString"", ""coordinates"": [[-123.1860440969467, 49.25894537650046], [-123.18679511547087, 49.25895938066515]]}"
Boundary Rd from E 2nd Ave to Lougheed;;Boundary Rd from E 2nd Ave to Lougheed;2020-07-27;http://vanmapp1.vancouver.ca/roadahead/events/details/093e6f1f-2944-40f8-8c2d-7c177659dda1;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.02366892461811, 49.268468561495126], [-123.023676311553, 49.26664107755451]], [[-123.023676311553, 49.26664107755451], [-123.02368066363633, 49.26556734658547]]]}"
North Side of 800 Block of W Georgia Street From 600 Block of Hornby Street to 6;;North Side of 800 Block of W Georgia Street From 600 Block of Hornby Street to 6;2020-07-28;http://vanmapp1.vancouver.ca/roadahead/events/details/0a54ecf7-fcbd-4d05-a50c-b834306857fb;"{""type"": ""LineString"", ""coordinates"": [[-123.12010020020355, 49.28375218845943], [-123.11914890985463, 49.28311764805284]]}"
Both sides of Lane north of Pacific St from Thurlow to Burrard St.;;Both sides of Lane north of Pacific St from Thurlow to Burrard St.;2020-07-28;http://vanmapp1.vancouver.ca/roadahead/events/details/2a1fe746-89b4-404c-ab67-7798574c572f;"{""type"": ""LineString"", ""coordinates"": [[-123.1318562395499, 49.27732574780012], [-123.13387118057669, 49.27863042238633]]}"
Both sides of Ontario St from E 50th Ave to E 52nd Ave, both sides of lane north;;Both sides of Ontario St from E 50th Ave to E 52nd Ave, both sides of lane north;2020-07-30;http://vanmapp1.vancouver.ca/roadahead/events/details/3f561f61-5649-4d8d-a084-e66bb5ada2e0;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.10599045554, 49.224804524781035], [-123.10600633518, 49.224330972366005]], [[-123.10600633518, 49.224330972366005], [-123.10602186984002, 49.22385679055802]], [[-123.10602186984002, 49.22385679055802], [-123.10603724683001, 49.22340533090198]], [[-123.10603724683001, 49.22340533090198], [-123.10605139828, 49.22295889169399]], [[-123.10596138238904, 49.224359312174784], [-123.10515671968457, 49.224334787707306]]]}"
Macdonald St from W 31st Ave to W 33rd Ave;;Macdonald St from W 31st Ave to W 33rd Ave;2020-06-10;http://vanmapp1.vancouver.ca/roadahead/events/details/4aaad357-1861-43d1-9058-e204ecfcffbe;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.16786944301, 49.244201764509], [-123.16787034622, 49.24411154094099], [-123.16787415824001, 49.243728356161]], [[-123.16787415824001, 49.243728356161], [-123.16787891088002, 49.243253850301016]], [[-123.16787891088002, 49.243253850301016], [-123.16788364975999, 49.242779362411]], [[-123.16788364975999, 49.242779362411], [-123.16788748422, 49.24239474726599], [-123.16788838783, 49.242304658598016]]]}"
South side of Smithe St from Expo Blvd to 20m west of Beatty St, west side of Be;;South side of Smithe St from Expo Blvd to 20m west of Beatty St, west side of Be;2020-07-26;http://vanmapp1.vancouver.ca/roadahead/events/details/4bb44701-ef85-4307-b79e-029b98f8a3c1;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11557645249, 49.276526574221975], [-123.11598966406, 49.276794270686]], [[-123.11475104794998, 49.275790358261986], [-123.11485261459, 49.27604339990697], [-123.11508238997, 49.27621638260396], [-123.11542491786001, 49.276484547265994], [-123.11557645249, 49.276526574221975]], [[-123.115575285683, 49.27653650652795], [-123.11531600525994, 49.276708579378436]]]}"
EB left-turn lane closure on S/S 3700 Blk W 4th Ave, from Alma St to 50m West.;;EB left-turn lane closure on S/S 3700 Blk W 4th Ave, from Alma St to 50m West.;2020-07-22;http://vanmapp1.vancouver.ca/roadahead/events/details/5c8a37bf-f490-4d5a-913d-36aedb68dc47;"{""type"": ""LineString"", ""coordinates"": [[-123.18577976262642, 49.26863455952642], [-123.18667100746757, 49.268652282131626]]}"
Both Sides of 100 Block of Lane East of Main Street From South End of PL 138 to;;Both Sides of 100 Block of Lane East of Main Street From South End of PL 138 to;2020-07-24;http://vanmapp1.vancouver.ca/roadahead/events/details/696d828d-bdc1-42a2-b058-def16bd0fbd2;"{""type"": ""LineString"", ""coordinates"": [[-123.09956699601568, 49.283890993171696], [-123.09957772485176, 49.283433752806474]]}"
The North side of 800 blk Dunsmuir St from Hornby St to 35m East, and the lane E;;The North side of 800 blk Dunsmuir St from Hornby St to 35m East, and the lane E;2020-07-25;http://vanmapp1.vancouver.ca/roadahead/events/details/6ffd59bb-30ff-4b86-99ef-df617775a763;"{""type"": ""LineString"", ""coordinates"": [[-123.11836749317987, 49.28491860189615], [-123.11782389860124, 49.2845756792197], [-123.11880022284637, 49.28388982660536]]}"
Both Sides of 2700 Block of E 5th Avenue From West PL of 2723 of E 5th Avenue to;;Both Sides of 2700 Block of E 5th Avenue From West PL of 2723 of E 5th Avenue to;2020-07-27;http://vanmapp1.vancouver.ca/roadahead/events/details/7791cf76-5a45-435d-a4ca-68e146cbc62e;"{""type"": ""LineString"", ""coordinates"": [[-123.04914012547214, 49.265718260227345], [-123.04857686157901, 49.26571242599397]]}"
Homer St from W Georgia St to Dunsmuir St;;Homer St from W Georgia St to Dunsmuir St;2020-07-25;http://vanmapp1.vancouver.ca/roadahead/events/details/82cb21c3-e5a5-48dd-b5d5-668cd2d5fbd4;"{""type"": ""LineString"", ""coordinates"": [[-123.11349362756967, 49.28173166192519], [-123.11520245780189, 49.28060211036939]]}"
both sides of E 58th Ave from 458 to 496 E 58th Ave;;both sides of E 58th Ave from 458 to 496 E 58th Ave;2020-07-28;http://vanmapp1.vancouver.ca/roadahead/events/details/87b76159-6694-40a0-8e19-551d43ff2d02;"{""type"": ""LineString"", ""coordinates"": [[-123.09496164321898, 49.21719064253122], [-123.0959773059294, 49.21721867454508]]}"
W Georgia St from Hornby St to Howe St;;W Georgia St from Hornby St to Howe St;2020-01-11;https://vancouver.ca/streets-transportation/georgia-water-main.aspx;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11959726426, 49.283450229050004], [-123.12008274725001, 49.28376451171701]], [[-123.11909663676, 49.283136724529015], [-123.11959726426, 49.283450229050004]]]}"
Both sides of W 7th Ave from Granville St to 15m east of lane east of Granville;;Both sides of W 7th Ave from Granville St to 15m east of lane east of Granville;2020-07-29;http://vanmapp1.vancouver.ca/roadahead/events/details/96007b51-91c5-4865-82e8-5f245ca427f6;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.13852071762085, 49.26535069998749], [-123.13757300374162, 49.26533903132628]], [[-123.137825131389, 49.264518720103695], [-123.13775718206668, 49.265342531914285]], [[-123.13617870206141, 49.262592743602966], [-123.13574954861902, 49.2625892428199]]]}"
Robson St from Homer St to Richards St & lane west of Homer St.;;Robson St from Homer St to Richards St & lane west of Homer St.;2020-05-16;http://vanmapp1.vancouver.ca/roadahead/events/details/ab4468de-a8f1-4e9c-b29f-368727d4230d;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11738003448, 49.279780481925], [-123.11786601657, 49.280094467748995]], [[-123.11567257612002, 49.280910559206006], [-123.11738003448, 49.279780481925]], [[-123.11688783589, 49.27946306417101], [-123.11738003448, 49.279780481925]]]}"
SE Marine Dr from Inverness St to Borden St;;SE Marine Dr from Inverness St to Borden St;2020-07-22;http://vanmapp1.vancouver.ca/roadahead/events/details/b9ea0c14-6d90-4a38-b59f-112e1487f182;"{""type"": ""LineString"", ""coordinates"": [[-123.0791591031618, 49.2111029677005], [-123.07853007953213, 49.211097658059], [-123.07785457917689, 49.211091953548106], [-123.07714806155106, 49.21108545623096], [-123.07713468765206, 49.211084925445135], [-123.07634801365421, 49.21107808993497], [-123.07572687156913, 49.21107269685149], [-123.07448447793934, 49.21106189173938], [-123.074102173513, 49.211058566495836]]}"
"W 10th Ave and Cambie St  
W 10th Ave and Ash St 
W 8th Ave and Ash St  
W 8t";;"W 10th Ave and Cambie St  
W 10th Ave and Ash St 
W 8th Ave and Ash St  
W 8t";2020-04-01;https://engage.gov.bc.ca/broadwaysubway/whats-happening-now/;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11546313872, 49.264138863561016], [-123.11746896089, 49.26417060068698]], [[-123.11479297417, 49.26412828732401], [-123.11546313872, 49.264138863561016]], [[-123.11746896089, 49.26417060068698], [-123.11750296248998, 49.263260530085006]], [[-123.11750296248998, 49.263260530085006], [-123.11752078334001, 49.262754549532985]], [[-123.11752078334001, 49.262754549532985], [-123.11753719971, 49.262293933198976]], [[-123.11632008655998, 49.26227462887999], [-123.11753719971, 49.262293933198976]], [[-123.11491981136, 49.26225223780003], [-123.11632008655998, 49.26227462887999]]]}"
"W 31st Ave, Macdonald St - E/MacDonald
W 31st Ave, Macdonald St - MacKenzie
L/";;"W 31st Ave, Macdonald St - E/MacDonald
W 31st Ave, Macdonald St - MacKenzie
L/";2021-01-16;http://vanmapp1.vancouver.ca/roadahead/events/details/c922e025-1e2c-4626-b95a-4a81bd7fde03;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.17007679928788, 49.24420213246543], [-123.16670000553127, 49.244179999242476]], [[-123.16793382167815, 49.244668398124986], [-123.1688243150711, 49.244675402233156]], [[-123.16898524761196, 49.245179695410286], [-123.16673219203948, 49.24514467521715]], [[-123.16917836666106, 49.245606939766304], [-123.16797673702239, 49.245592931813235]]]}"
Cambie St from McGuigan to W 35th, Cambie St from W 33rd to W 37th;;Cambie St from McGuigan to W 35th, Cambie St from W 33rd to W 37th;2020-10-31;http://vanmapp1.vancouver.ca/roadahead/events/details/d2add81b-3fbe-413f-8635-5cb451d1d9ce;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11843674038, 49.24108393774901], [-123.11842409364999, 49.24089122765599], [-123.11842409281999, 49.24087364195799], [-123.11842361116001, 49.240856065749], [-123.11842267615002, 49.240838490003995], [-123.11842126033999, 49.24082093274296], [-123.11841937747, 49.24080339395101], [-123.11841704128001, 49.240785873614016], [-123.11841422435002, 49.24076838975], [-123.11841094038, 49.24075093335097], [-123.11840720316, 49.24073352239196], [-123.11840299894, 49.240716156888], [-123.11839832776002, 49.24069884583403], [-123.11839320333, 49.240681580219984], [-123.11838761197998, 49.24066438704699], [-123.11838156741999, 49.240647257304005], [-123.11837505591, 49.240630191006034], [-123.11836810498, 49.240613206115], [-123.11836070091002, 49.24059631163999], [-123.11835284368, 49.24057949858701], [-123.11834453329999, 49.24056277594903], [-123.11833578355, 49.24054615270802], [-123.11832659442, 49.24052962886401], [-123.11831696592999, 49.24051321341301], [-123.11830691184, 49.240496915334006], [-123.11829640465, 49.240480725662024], [-123.11828548562998, 49.240464662343015], [-123.11827412734, 49.240448743396996], [-123.11826234345, 49.240432941824025], [-123.11826024867999, 49.24043019142397]], [[-123.11826024867999, 49.24043019142397], [-123.11673782884, 49.23906844767802]], [[-123.11673782884, 49.23906844767802], [-123.11630604907998, 49.238682177594], [-123.11629049212, 49.238667971772], [-123.11627530568002, 49.238653594666005], [-123.11626050351, 49.238639046260005], [-123.11624609936, 49.23862433553796], [-123.11623207946998, 49.238609453517995], [-123.11621847136, 49.23859441816299], [-123.11620526129002, 49.238579229487016], [-123.11619244925998, 49.23856388748902], [-123.11618006279, 49.238548410134], [-123.11616808812, 49.23853278843899], [-123.11615652527, 49.238517031399994], [-123.11614538799, 49.238501147997994], [-123.11613466256, 49.238485138247995], [-123.11612437644, 49.238469002122], [-123.11611452967999, 49.23845275760999], [-123.11610510854, 49.238436404727], [-123.11609612676, 49.238419943457984], [-123.11608758437002, 49.238403391795], [-123.11607948134, 49.238386731745976], [-123.11607183145999, 49.23836999028501], [-123.11606462099, 49.23835315842899], [-123.11605786365999, 49.238336245159985], [-123.11605155952, 49.238319259473], [-123.11604570857, 49.238302210364], [-123.11604031079001, 49.23828508883798], [-123.11603537997001, 49.23826791287101], [-123.11603088861, 49.238250673495], [-123.11602687798002, 49.23823339765602], [-123.11602332058, 49.23821607638399], [-123.11602021642, 49.238198709681], [-123.11601757928, 49.238181315524], [-123.11601540915001, 49.23816389391101], [-123.11601370604, 49.23814644484398], [-123.11601246998, 49.238128986312006], [-123.11601170098, 49.238111518315975], [-123.11601138527, 49.238094031874], [-123.11601153666, 49.23807655395896], [-123.11601177844, 49.23806834105599], [-123.11604550504, 49.237247841705994]]]}"
Cambie St from W 8th Ave to W 10th Ave;;Cambie St from W 8th Ave to W 10th Ave;2020-07-29;http://vanmapp1.vancouver.ca/roadahead/events/details/e813687e-efdb-4c2e-8cd2-ff85c3c1bf8f;"{""type"": ""LineString"", ""coordinates"": [[-123.11481596877503, 49.26395948062728], [-123.11483557678204, 49.263506858326735], [-123.11484467401556, 49.263340294030826], [-123.11489886007084, 49.26322406705725], [-123.11491784815064, 49.26271800476957], [-123.11493525191679, 49.26225784656131]]}"
The east side of 6500-7400 Cambie St from W 49th Ave to W 59th Ave, 400 blk W 59;;The east side of 6500-7400 Cambie St from W 49th Ave to W 59th Ave, 400 blk W 59;2020-07-29;http://vanmapp1.vancouver.ca/roadahead/events/details/03b37167-6b84-4b37-bcee-b90121bf4fa8;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11640858650208, 49.22607949802523], [-123.11674654483792, 49.21693134564944], [-123.1126481294632, 49.216899809449444]], [[-123.11263740062714, 49.21689280140225], [-123.11276078224182, 49.21406847749884]]]}"
Howe St from Dunsmuir St to W Georgia St;;Howe St from Dunsmuir St to W Georgia St;2020-05-30;http://vanmapp1.vancouver.ca/roadahead/events/details/0e540e40-572d-49f3-bf00-9745902fb0ef;"{""type"": ""LineString"", ""coordinates"": [[-123.11740366162, 49.284266011210974], [-123.11909663676, 49.283136724529015]]}"
Both sides of Alexandra St from Balfour st to lane south of Balfour St.;;Both sides of Alexandra St from Balfour st to lane south of Balfour St.;2020-07-22;http://vanmapp1.vancouver.ca/roadahead/events/details/1316b723-78c0-4407-abc6-f8247c434c31;"{""type"": ""LineString"", ""coordinates"": [[-123.1413745880127, 49.25182257679137], [-123.14143180841711, 49.251311348295275]]}"
South side of W 13th Ave from 4468 to 4446 W 13th Ave.;;South side of W 13th Ave from 4468 to 4446 W 13th Ave.;2020-07-23;http://vanmapp1.vancouver.ca/roadahead/events/details/187bef23-c778-497a-9116-04993935791b;"{""type"": ""LineString"", ""coordinates"": [[-123.20802211761473, 49.261099637153876], [-123.20710659016183, 49.26106229425423]]}"
Richards St from Helmcken St to Davie St;;Richards St from Helmcken St to Davie St;2020-06-30;http://vanmapp1.vancouver.ca/roadahead/events/details/1da87e1c-9915-422b-8d2e-e6325196cf01;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.12423609224, 49.27587995517399], [-123.12264238035999, 49.276934040596984]], [[-123.12429428100583, 49.275837344849265], [-123.12422186136244, 49.27588809254999]]]}"
- North side of W Broadway from 20m west of Arbutus St to 100m east of Arbutus S;;- North side of W Broadway from 20m west of Arbutus St to 100m east of Arbutus S;2020-06-27;https://engage.gov.bc.ca/broadwaysubway/whats-happening-now/;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.15240114927292, 49.26331331614145], [-123.15295368432999, 49.26332381833569], [-123.1529054045677, 49.264234000015534], [-123.15290004014969, 49.26475909719409], [-123.15284639596939, 49.2656062421957], [-123.1522187590599, 49.265581738205725], [-123.15204173326491, 49.265574737063474], [-123.15169841051102, 49.26593529459677], [-123.15143018960953, 49.26613132477132]], [[-123.15364301204683, 49.26384892519991], [-123.15241456031801, 49.26382792103263]], [[-123.15307170152664, 49.264766098452014], [-123.15271228551863, 49.264766098452014]], [[-123.15089911222458, 49.26378941336938], [-123.15239310264586, 49.26381391824947]]]}"
W 45th Ave from Cambie St to Fairchild St and Ash St from W 45th Ave to W 49th A;;W 45th Ave from Cambie St to Fairchild St and Ash St from W 45th Ave to W 49th A;2020-07-18;http://vanmapp1.vancouver.ca/roadahead/events/details/274084ca-04c6-49a6-a82e-c8cb511e9e52;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11634290921, 49.229815951994], [-123.11796539484001, 49.22987193918101]], [[-123.11796539484001, 49.22987193918101], [-123.11934009271002, 49.22991929949799]], [[-123.11727762222287, 49.22941109296798], [-123.1174063682556, 49.22624415625941]]]}"
Both Sides of 1200 Block of Garden Drive From North End of PL 1218 to South End;;Both Sides of 1200 Block of Garden Drive From North End of PL 1218 to South End;2020-07-22;http://vanmapp1.vancouver.ca/roadahead/events/details/400d9343-a467-43be-93fc-a5fc801968d1;"{""type"": ""LineString"", ""coordinates"": [[-123.05794447652258, 49.27378989406705], [-123.0579480529104, 49.27327189294161]]}"
400-500 blk W Cordova St from Seymour St to 55m East of Richards St, West side o;;400-500 blk W Cordova St from Seymour St to 55m East of Richards St, West side o;2020-07-31;http://vanmapp1.vancouver.ca/roadahead/events/details/448eb7df-9da8-403c-83e3-58f347d1bdb0;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.11188369989395, 49.28532800645797], [-123.11027616259706, 49.28427591156077]], [[-123.11099857083718, 49.28470748308001], [-123.11165302991867, 49.284273578659935]]]}"
Both sides of lane south of Pacific St from west PL of 1106 Pacific St to Thurlo;;Both sides of lane south of Pacific St from west PL of 1106 Pacific St to Thurlo;2020-07-25;http://vanmapp1.vancouver.ca/roadahead/events/details/45b3f22a-564e-48ed-89fb-fca3d0a435eb;"{""type"": ""LineString"", ""coordinates"": [[-123.13480844032, 49.27799375677], [-123.13572552055, 49.27858713895898]]}"
MacDonald St from W 1st Ave to W Broadway;;MacDonald St from W 1st Ave to W Broadway;2020-05-30;https://vancouver.ca/streets-transportation/macdonald-street-upgrades.aspx;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.1683432484, 49.267475644173004], [-123.16835879843998, 49.267040415569994]], [[-123.1683276726, 49.26792762184601], [-123.1683432484, 49.267475644173004]], [[-123.16831249701002, 49.26836802207299], [-123.1683276726, 49.26792762184601]], [[-123.16829708248, 49.26881503408498], [-123.16831249701002, 49.26836802207299]], [[-123.16828170579, 49.269261128495], [-123.16829708248, 49.26881503408498]], [[-123.16841805986002, 49.26538183821799], [-123.16843300633998, 49.264963494330004]], [[-123.16840305077001, 49.26580205316799], [-123.16841805986002, 49.26538183821799]], [[-123.16838815376002, 49.26621892170499], [-123.16840305077001, 49.26580205316799]], [[-123.16837310646, 49.266640171093], [-123.16838815376002, 49.26621892170499]], [[-123.16835879843998, 49.267040415569994], [-123.16837310646, 49.266640171093]], [[-123.16818920182, 49.26364640228002], [-123.16820482141, 49.26320325752201]], [[-123.16817424542002, 49.26407041322702], [-123.16818920182, 49.26364640228002]], [[-123.16833056983, 49.26452857240599], [-123.16832854761002, 49.264519984928995], [-123.16832836615, 49.264519166628986], [-123.16832785067, 49.264517134463006], [-123.16832729396002, 49.264515102356995], [-123.16832668231, 49.264513079327], [-123.16817424542002, 49.26407041322702]], [[-123.16843300633998, 49.264963494330004], [-123.16833056983, 49.26452857240599]]]}"
1200 blk Thurlow St from Davie St to Burnaby St, and 1000-1100 Pantages Ln 80m E;;1200 blk Thurlow St from Davie St to Burnaby St, and 1000-1100 Pantages Ln 80m E;2020-08-11;http://vanmapp1.vancouver.ca/roadahead/events/details/5aac33ea-30d3-4a21-a7dd-18c028363a2f;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.13239008190976, 49.28042192639745], [-123.13111692647905, 49.279638028047685]], [[-123.1312492488996, 49.28033560491559], [-123.13217908141266, 49.279715018605486]]]}"
