EIN;NAME;ICO;STREET;CITY;STATE;ZIP;GROUP;SUBSECTION;AFFILIATION;CLASSIFICATION;RULING;DEDUCTIBILITY;FOUNDATION;ACTIVITY;ORGANIZATION;STATUS;TAX_PERIOD;ASSET_CD;INCOME_CD;FILING_REQ_CD;PF_FILING_REQ_CD;ACCT_PD;ASSET_AMT;INCOME_AMT;REVENUE_AMT;NTEE_CD;SORT_NAME
237071078;ALPHA PHI OMEGA;% UNIVERSITY OF PUERTO RICO MAYAGUE;PO BOX 643;LAS MARIAS;PR;00670-0643;1113;03;9;1000;196606;1;16;036000000;5;01;201612;0;0;02;0;12;0;0;0;P20;UPSILON MU CHAPTER
237094624;UNITED STEELWORKERS;% VICTOR TIRADO;PO BOX 363845;SAN JUAN;PR;00936-3845;0260;05;9;3000;197107;2;00;263264279;5;01;201612;0;0;02;0;12;0;0;0;;07797 LOCAL
237116709;INTERNATIONAL ASSOCIATION OF LIONS CLUBS;% CARMEN CARDONA /CLUB DE LEONES;DD16 CALLE E;LUQUILLO;PR;00773-2629;0239;04;9;3000;197104;2;00;279319000;5;01;201606;0;0;02;0;06;0;0;0;;14470 LUQUILLO LIONS CLUB
237116743;INTERNATIONAL ASSOCIATION OF LIONS CLUBS;% CECILIA DELGADO-MOR;CALLE 37 SE STE 784;SAN JUAN;PR;00915-2401;0239;04;9;3000;197104;2;00;279319000;5;01;201506;1;1;02;0;06;517;1225;1225;;14431 SANTURCE LIONS CLUB
237128019;INTERNATIONAL ASSOCIATION OF LIONS CLUBS;% JOSE MARRERO NIEVES;PO BOX 2302;ARECIBO;PR;00613-2302;0239;04;9;3000;197109;2;00;279319000;5;01;201606;0;0;02;0;06;0;0;0;;14377 ARECIBO CAPITAN CORREA
237157589;FUTURE BUSINESS LEADERS OF AMERICA PHI BETA LAMBDA INC;% JOSE R JIMENEZ-HERNANDEZ;PO BOX 190759;SAN JUAN;PR;00919-0759;2205;03;9;2000;197110;1;16;059200205;5;01;201706;0;0;02;0;06;0;0;0;;PUERTO RICO CHAPTER
237176806;UNITED STEELWORKERS;% ANARDY A MARTINEZ;PO BOX 6828;BAYAMON;PR;00960-5828;0260;05;9;3000;194012;2;00;263059269;5;01;201612;4;4;01;0;12;152716;131801;131801;;06135 LOCAL
237247277;SOUTHEASTERN MENNONITE CONFERENCE INC;;HC 1 BOX 3321;FLORIDA;PR;00650-9506;0000;03;3;7000;197308;1;10;001000000;1;01;;0;0;06;0;06;;;;;
237259899;INTEGRAL DE LOIZA CONCILIODE SALUD;;PO BOX 509;LOIZA;PR;00772-0509;0000;03;3;1000;197312;1;15;998000000;1;01;201606;8;8;01;0;06;30423323;22770882;22770882;;
237282006;DISABLED AMERICAN VETERANS;% LUZ A BERRIOS;HORIZONTES F4 ESPERANZA ST;GURABO;PR;00778-0000;0557;04;9;3000;194206;1;00;908279265;5;01;201606;0;0;02;0;06;0;0;0;;5 CAQUAS
237282007;DISABLED AMERICAN VETERANS;% ANDY MORALES;HC 02 BOX 28522;CABO ROJO;PR;00623-0000;0557;04;9;3000;194206;1;00;908279265;5;01;201606;0;0;02;0;06;0;0;0;;6 MAYAGUEZ
237282008;DISABLED AMERICAN VETERANS;% JUAN LOZANO-NIEVES;HC 1 BOX 4105;NAGUABO;PR;00718-9751;0557;04;9;3000;194206;1;00;908279265;5;01;201606;0;0;02;0;06;0;0;0;;7 FAJARDO
237282009;DISABLED AMERICAN VETERANS;% JIMMY DE LUCCA;PO BOX 226;ARROYO;PR;00714-0226;0557;04;9;3000;194206;2;00;264927160;5;01;201606;0;0;02;0;06;0;0;0;;8 ARROYO
237282012;DISABLED AMERICAN VETERANS;% JOSE L BABILONIA-HESS;7 CALLE LOS ANGELES;ARECIBO;PR;00612-5479;0557;04;9;3000;194206;1;00;264927160;2;01;201506;0;0;02;0;06;0;0;0;W24;11 SERGEANT AMADEO BERMUDEZ
237283277;CARIBBEAN CHRISTIAN CRUSADE INC;% DIANA MUNOZ;18 CALLE SOLIMAR;MAYAGUEZ;PR;00680-8300;0000;03;3;1230;197305;1;16;029059000;1;01;201612;0;0;02;0;12;0;0;0;;
237320915;UNITED STEELWORKERS;% DORALIS VAZQUEZ;PO BOX 6686;PONCE;PR;00733-0000;0260;05;9;3000;194012;2;00;263264279;5;01;201612;0;0;02;0;12;0;0;0;;08198 LOCAL
237322865;ALPHA PI MU ASSOCIATION;% MAYRA MENDEZ;PO BOX 9000;MAYAGUEZ;PR;00681-9000;1085;03;9;2000;199401;2;16;036000000;5;01;201612;0;0;02;0;12;0;0;0;;PUERTO RICO CHAPTER
237352551;DISABLED AMERICAN VETERANS;% JIMMIE VELEZ;PO BOX 363304;SAN JUAN;PR;00936-3304;0557;04;9;3000;194206;1;00;264927160;5;01;201506;4;3;01;0;06;215449;70742;70742;;DEPT OF PUERTO RICO
237360501;HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA;% MRS MARCELLE LEVY SHUB;1977-D FIDALGO DIAZ ST CALDAS F;RIO PIEDRAS;PR;00926-0000;0636;03;9;1000;194308;1;15;059000000;5;01;;0;0;01;0;12;;;;;18-608-000 90000314 PUERTO RICO
237409172;CARIBBEAN UNIVERSITY;;PO BOX 493;BAYAMON;PR;00960-0493;0000;03;3;2000;197411;1;11;030059149;1;01;201606;8;8;01;0;06;48995269;23036374;23036374;;
237429707;DISABLED AMERICAN VETERANS;% PEDRO A SANCHEZ JR;50 CALLE ALBERTO RICCI;PATILLAS;PR;00723-2821;0557;04;9;3000;194206;1;00;908279265;5;01;201606;0;0;02;0;06;0;0;0;W30;13 PFC I S PLAUD
237442980;ISRAEL RODRIGUEZ EVANGELISTIC ASSOCIATION INC;;PO BOX 41142;SANTURCE;PR;00940-1142;0000;03;3;7000;197503;1;10;001000000;1;02;;0;0;06;0;12;;;;;
237457205;AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES;% RICARDO RODRIGUEZ;PO BOX 583;FLORIDA;PR;00650-0583;0194;05;9;3000;194010;2;00;263264265;5;01;201612;0;0;02;0;12;0;0;0;;3408 AFGE-USDA LOCAL
237576728;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION;;PO BOX 2638;GUAYAMA;PR;00785-2638;0095;10;9;1000;197210;1;00;030059902;5;01;;0;0;02;0;12;;;;;VALLEY OF CAYEY
237576729;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA;% CARLOS R RIOS-HERNANDEZ;PO BOX 1034;FAJARDO;PR;00738-1034;0095;10;9;1000;197210;1;00;030059902;5;01;;0;0;02;0;12;;;;;VALLEY OF HUMACAO
237576731;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA;% ANTONIO SOTO S;2202 REINA ST LOS VERDAILLES;MAYAQUEZ;PR;00682-0000;0095;10;9;1000;197210;1;00;030059902;5;01;;0;0;02;0;12;;;;;VALLEY OF MAYAGUEZ
237576732;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS OF USA;% BENILDA VELEZ VELEZ;PO BOX 545;YAUCO;PR;00698-0545;0095;10;9;1000;197210;1;00;030059902;5;01;201412;1;1;02;0;12;7792;4596;4596;;VALLEY OF PONCE
237576733;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA;% JOSE J GARCIA-VAZQUEZ;PO BOX 362095;SAN JUAN;PR;00936-2095;0095;10;9;1000;197210;1;00;030059902;5;01;;0;0;02;0;12;;;;;VALLEY OF SAN JUAN
237576739;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA;% JUAN A PARDO-MORAN;PO BOX 141329;ARECIBO;PR;00614-1329;0095;10;9;1000;194009;1;00;030059902;5;01;;0;0;02;0;12;;;;;VALLEY OF ARECIBO
237576740;ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION;;200 CALLE DEL SOL A3;SAN JUAN;PR;00901-0000;0095;10;9;1000;197210;1;00;030059902;5;01;;0;0;02;0;12;;;;;VALLEY OF CAGUAS
251687912;UNITED STEELWORKERS;% MIGUEL ROSARIO-MORALES;EL MONTE SUR APT B914;HATO RETY;PR;00918-0000;0260;05;9;3000;000000;0;00;000000000;0;01;201612;0;0;02;0;12;0;0;0;;09314 LOCAL
260032593;IGLESIA CRISTIANA CASA DE ORACION Y ADORACION;% LUGO BARRIOS LEIDA;CALLE FRANCISCO MARIANO QUINONEZ;SAN GERMAN;PR;00683-0000;0000;03;3;7000;200305;1;10;000000000;1;01;;0;0;06;0;12;;;;X20;
260825403;HISPANIC ALLIANCE FOR NONPROFITS DEVELOPMENT AND SERVICES HANDS INC;% RAFAEL SANTIAGO;148 CALLE NOGAL;GUAYNABO;PR;00969-3934;0000;03;3;1200;201103;1;15;000000000;1;01;201412;0;0;02;0;12;0;0;0;S50;
264670580;ALLIANCE OF DIVINE LOVE INC;% REV ROSA I LOPEZ DEL VALLE;HC 3 BOX 36652;CAGUAS;PR;00725-9729;3054;03;9;7000;197702;1;10;001000000;5;01;;0;0;06;0;12;;;;;1283 CHAPEL
264751198;CASTANER DIGITAL INC;% RICHARD GROFF;PO BOX 4;CASTANER;PR;00631-0004;0000;03;3;1200;201206;1;15;000000000;1;01;201704;0;0;02;0;04;0;0;0;A80;
273792922;GUARDIAN ANGEL ANIMAL SHELTER HOME FOR THE UNWANTED;;PO BOX 1725;LARES;PR;00669-1725;0000;03;3;1000;201410;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;D20;
274533508;YWJ ENTERPRISES;% JUAN M BORGE;URB PASEO SOL Y MAR 623 CALLE PERLA;JUANA DIAZ;PR;00795-0000;0000;03;3;7000;201501;1;10;000000000;1;01;;0;0;06;0;12;;;;X20;
300154886;SUENOS DORADOS DEL ENVEJECIENTE INC;% ANNIE MARTIN;PO BOX 376;BAJADERO;PR;00616-0376;0000;03;3;1000;200307;1;04;000000000;1;01;201512;1;0;00;3;12;1;0;0;L21;
300951043;HONOR SOCIETY OF PHI KAPPA PHI;% MARIA MUNIZ-GARCIA;2250 BLVD LUIS A FERRE AGUAYO STE B;PONCE;PR;00717-0000;3488;03;9;1000;199901;1;16;000000000;1;01;;0;0;01;0;06;;;;B83;336 PONTIFICAL CATHOLIC UNIV OF PR
310922542;DISABLED AMERICAN VETERANS;% ANASTACIO G VEGA;PO BOX 2435;ISABELA;PR;00662-9435;0557;04;9;3000;194206;1;00;908279265;5;01;201606;0;0;02;0;06;0;0;0;W30;21 SSGT C VELAZQUEZ
311129090;DISABLED AMERICAN VETERANS;% FRANKLIN MARTINEZ;522 H ALVERIO URB LA MERCED;SAN JUAN;PR;00918-0000;0557;04;9;3000;194602;1;00;908279265;5;01;201606;0;0;02;0;06;0;0;0;;1 SFC A PENA GARCIA
311178910;AMERICAN SOCIETY OF AGRICULTURAL ENGINEERS;% MEGH GOYAL;PO BOX 86;RINCON;PR;00677-0086;5081;03;9;1000;198606;1;15;059000000;1;01;201612;0;0;02;0;12;0;0;0;;PUERTO RICO SECTION
311390717;IGLESIA MISIONERA DISTRITO DE PUERTO RICO INC;;PO BOX 833;CEIBA;PR;00735-0833;2046;03;9;7000;196911;1;10;001000000;5;01;;0;0;01;0;12;;;;;
311390720;PRIMERA IEM DE ARECIBO;;9A CALLE 2;ARECIBO;PR;00612-4279;2046;03;9;7000;196911;1;10;001000000;5;01;;0;0;06;0;12;;;;;
311392381;IEM AL AMPARO DE LA ROCA;;HC 3 BOX 7935;LAS PIEDRAS;PR;00771-9348;2046;03;9;7000;196911;1;10;001000000;5;01;;0;0;06;0;12;;;;;
311425199;CASA DE RESTAURACION LA NUEVA JERUSALEN;;HC 2 BOX 22651;AGUADILLA;PR;00603-9630;2046;03;9;7000;196911;0;10;001000000;5;01;;0;0;06;0;12;;;;;
311483363;CENTRO DE DISCIPULADO MUNDIAL;;PO BOX 8758;HUMACAO;PR;00792-8758;2046;03;9;7000;196911;1;10;001000000;5;01;;0;0;06;0;12;;;;;
311624711;IGLESIA EVAN MIS FE Y OBRA;;PO BOX 9458;ARECIBO;PR;00613-9458;2046;03;9;7000;196911;1;10;001000000;5;01;;0;0;06;0;12;;;;;
311775402;EL CENTRO ISLAMICO EN PUERTO RICO;% TAWFIG ABUOSBA;PO BOX 25309;SAN JUAN;PR;00928-5309;0000;03;3;7000;200111;1;10;000000000;1;01;;0;0;06;0;12;;;;X40;
320406651;TIERRA STUDIO CORP;% ARIEL FIGUEROA;50 CALLE DE SAN JUSTO;SAN JUAN;PR;00901-1405;0000;03;3;1000;201611;1;15;000000000;1;01;;0;0;02;0;12;;;;A20;
363760877;MESSIANIC CHURCH FOR DIVINE LAW AND CHRISTIAN SCIENCE INC;;PO BOX 19887;SAN JUAN;PR;00910-1887;0000;03;3;7000;199105;1;10;001000000;1;01;;0;0;06;0;12;;;;;
363986500;ROTARY INTERNATIONAL;% EL ISLA VERDE-CAROLINA;3885;CAROLINA;PR;00984-0000;0573;04;9;3000;194209;2;00;319000000;5;01;201606;0;0;02;0;06;0;0;0;;ROTARY OF EL ISLA VERDE CAROLINE PR
412028975;AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES;% ESPERANZA AVILES-ESTRADA;PO BOX 8139;MAYAGUEZ;PR;00681-8139;0194;05;9;3000;194010;2;00;263269265;5;01;201512;3;2;02;0;12;94161;21606;21606;;0055 AFGE USDA LOCAL
421628144;CARAS OF THE AMERICAS;% PATTI SEMENIETTA;PO BOX 192386;SAN JUAN;PR;00919-2386;0000;03;3;2100;200703;1;15;000000000;1;01;201606;3;4;01;0;06;76999;135587;135587;Q20;CARA
453810645;FEED YOUR FRIENDS;% JULIA BEREZOVSKAYA;PO BOX 1098;RINCON;PR;00677-1098;0000;03;3;1000;201407;1;15;000000000;1;01;201412;0;0;02;0;12;0;0;0;P99;
465052397;ADVANCED LEADERSHIP FOUNDATION INC;% JORGE BROWN;200 CALLE DEL SANTO CRISTO;SAN JUAN;PR;00901-1537;0000;03;3;1000;201501;1;15;000000000;1;01;201512;3;5;01;0;12;27432;789210;789210;W70;
474720682;NATIONAL RURAL LETTER CARRIERS ASSOCIATION;% PRISCILLA CLAUDIO;118 COND VISTAS DEL VALLE;CAGUAS;PR;00727-0000;2377;05;9;3000;197211;2;00;000000000;5;01;201606;1;1;02;0;06;5641;7665;7665;;PUERTO RICO RURAL LETTER CARRIERS
475225164;HARIMAU CONSERVATION INC;% JOAQUIN ALONSO;76 CALLE KINGS CT APT 701;SAN JUAN;PR;00911-1652;0000;03;3;4000;201609;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;D20;
521589708;ASIS INTERNATIONAL INC;% ASIS PR CHAPTER;PO BOX 1023;LAS PIEDRAS;PR;00771-1023;3110;06;9;1000;197808;2;00;200000000;5;01;201412;0;0;02;0;12;0;0;0;;073 PUERTO RICO
521784480;CARIBBEAN ENVIRONMENT AND DEVELOPMENT INSTITUTE;% MARVIN B DURNING;PO BOX 363507;SAN JUAN;PR;00936-3507;0000;03;3;1000;199211;1;15;351000000;1;01;201612;3;0;02;0;12;41200;0;0;C320;
521808636;MIRANDA FOUNDATION;;PO BOX 6601;SAN JUAN;PR;00914-6601;0000;03;3;1000;199304;1;04;602000000;1;01;201609;5;4;00;1;09;714186;264258;;;
521860470;HISPANIC EDUCATIONAL TECHNOLOGY SERVICES INC;% YUBELKYS MONTALVO;PO BOX 21345;SAN JUAN;PR;00927-0000;0000;03;3;1200;199404;1;15;994059000;1;01;201606;3;4;01;0;06;96863;281586;281586;B99;
562331353;PUERTO RICO AFFILIATE OF THE SUSAN G KOMEN BREAST CANCER FOUNDATION I;% MARIA A BENITEZ;PO BOX 193557;SAN JUAN;PR;00919-3557;0000;03;3;2000;200705;1;15;000000000;1;01;201512;6;6;01;0;12;1707757;1701915;1701915;G32;
611417308;SOCIEDAD AMBIENTE MARINO INC;% SAMUEL SULEIMAN;PO BOX 22158;SANJUAN;PR;00931-2158;0000;03;3;1000;201305;1;15;000000000;1;01;201612;3;4;01;0;12;26386;145557;145557;B80;
611733844;ALPHA PHI OMEGA;% INTRMRCN UNV OF PRTO RICO SAN GER;PO BOX 5100;SAN GERMAN;PR;00683-9801;1113;03;9;1000;196606;1;16;036000000;5;01;201612;0;0;02;0;12;0;0;0;;PSI ETA CHAPTER
650225746;RELIGIOUS OF THE APOSTOLATE OF FLORIDA INC;;PO BOX 8300;PONCE;PR;00732-8300;0928;03;9;1700;194603;1;10;031150120;5;01;;0;0;06;0;12;;;;;
660176861;BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA;;PO BOX 191982;SAN JUAN;PR;00919-1982;1156;08;9;1000;197210;1;00;279265000;5;01;;0;0;00;0;03;;;;;0972 SAN JUAN
660177776;INTER AMERICAN UNIVERSITY OF PUERTO RICO;;PO BOX 363255;SAN JUAN;PR;00936-3255;0000;03;3;2700;194307;1;11;030000000;1;01;201606;9;9;01;0;06;548755633;280597609;280597609;B430;
660177824;PRESBYTERIAN COMMUNITY HOSPITAL INC;;PO BOX 9020032;SAN JUAN;PR;00902-0032;0000;03;3;1000;194905;1;12;059179150;1;01;201506;9;9;01;0;06;54166888;77699007;77699007;;
660178704;SOCIEDAD ESPANOLA DE AUXILIO MUTUO Y BENEFICENCIA DE PUERTO RICO;;PO BOX 191227;SAN JUAN;PR;00919-1227;0000;03;1;1000;198106;1;12;150000000;1;01;201509;9;8;01;0;09;215240012;34006612;34006612;E220;
660182607;ASOCIACION DE IND DE PUERTO RICO OR PUERTO RICO MANUFTRS ASSOCIATION;;PO BOX 195477;SAN JUAN;PR;00919-5477;0000;06;3;2000;198711;2;00;200000000;1;01;201606;6;6;01;0;06;4061847;3032284;3032284;;
660183310;HOSPITAL DAMAS INC;;2213 PONCE BY PASS;PONCE;PR;00717-0000;0928;03;9;1000;199701;0;10;000000000;1;01;;0;0;06;0;12;;;;;
660188854;ASOCIACION CRISTIANA DE MUJERES JOVENES DE PUERTO RICO YWCA;;905 AVE PONCE DE LEON;SAN JUAN;PR;00907-3329;0000;03;3;1000;201502;1;15;000000000;1;01;201512;0;0;02;0;12;0;0;0;P27;
660190492;CAMARA DE COMERCIO DE PONCE Y SUR DE PUERTO RICO;;PO BOX 7455;PONCE;PR;00732-7455;0000;06;3;3000;200709;2;00;000000000;1;01;201606;4;4;01;0;06;296191;305731;305731;S41;
660191287;LIGA BEISBOL PROFESIONAL DE P R;;PO BOX 191852;SAN JUAN;PR;00919-1852;0000;06;3;2000;201604;2;00;000000000;1;01;;0;0;01;0;09;;;;N63;
660191840;ASOCIACION PUERTORRIQUENA DEL;;PO BOX 195247;SAN JUAN;PR;00919-5247;0000;03;3;1000;200906;1;15;000000000;1;01;201606;3;4;01;0;06;94368;174896;174896;G45;PULMON
660191841;PUERTO RICO CANCER AND HEALTH FOUNDATION INC;% HOSPITAL ONCOLOGICO ANDRES GRILLA;PO BOX 336780;PONCE;PR;00733-6780;0000;03;3;1000;200005;1;12;000000000;1;01;201606;4;4;01;0;06;380438;188406;188406;E24;
660191857;COLEGIO PONCENO INC;;1900 CARR 14;COTO LAUREL;PR;00780-2147;0928;03;9;7100;194603;1;11;000000000;5;01;;7;6;13;0;12;;;;;
660191935;CASA DE NINOS MANUEL FERNANDEZ JUNCOS INC;;PO BOX 9020163;SAN JUAN;PR;00902-0163;0000;03;3;1000;199106;1;15;326000000;1;01;201606;6;6;01;0;12;2267423;1112886;1112886;;
660191965;PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO;% THE ORGANIZATION;2250 BLVD LUIS A FERRE AGUAYO STE 5;PONCE;PR;00717-0000;0928;03;9;1200;194603;1;11;000000000;5;01;201606;9;9;01;0;06;123460906;104028273;69266140;B430;
660192508;SEMINARIO EVANGEICO DE PR;;776 AVE PONCE DE LEON;SAN JUAN;PR;00925-2207;0000;03;3;7000;199110;1;11;000000000;1;01;;0;0;13;0;05;;;;;
660194640;ASOCIACION MEDICA DE PUERTO RICO;;PO BOX 9387;SAN JUAN;PR;00908-0387;0000;03;3;1000;201409;1;15;000000000;1;01;201511;4;4;01;0;11;187528;283465;283465;E19;
660196040;INSTITUTO PSICOPEDAGOGICO DE PUERTO RICO;% AIXA RIVERA ACCOUNTANT;PO BOX 363744;SAN JUAN;PR;00936-3744;0000;03;3;1000;200103;1;16;000000000;1;01;201606;6;6;01;0;06;2356640;4625756;4625756;F33;
660197812;COLEGIO DE INGENIEROS Y AGRIMENSORES DE PR;;PO BOX 363845;SAN JUAN;PR;00936-3845;0000;06;3;2000;194505;0;00;000000000;1;01;201608;8;6;01;0;08;12423895;3806020;3806020;;
660197834;IGLESIA EPISCOPAL PUERTORRIQUENA INC;;PO BOX 902;SAINT JUST;PR;00978-0902;0000;03;3;7000;199902;1;10;000000000;1;01;;0;0;06;0;12;;;;;
660197896;COLEGIO SAN JOSE MARIANIST CORP;% FRANCISCO T GONZALEZ SM MD;PO BOX 21300;SAN JUAN;PR;00928-1300;0000;03;3;2000;201008;1;11;000000000;1;01;201606;8;7;01;0;06;13053515;5131944;5131944;B25;
660199364;SAINT JOHNS SCHOOL;;1454 AVE ASHFORD;SAN JUAN;PR;00907-1542;0000;03;3;2000;196309;1;11;046030000;5;01;201606;8;8;01;0;06;24954234;11144062;10904141;B20Z;
660200470;CARIBE GIRL SCOUTS COUNCIL INC;;500 CALLE ELISA COLBERG;SAN JUAN;PR;00907-2607;0000;03;3;1200;199405;1;15;320000000;1;01;201606;6;6;01;0;06;1976679;1625544;1072981;O420;
660201206;SISTEMA UNIVERSITARIO ANA G MENDEZ;;PO BOX 21345;SAN JUAN;PR;00928-1345;0000;03;3;1200;198102;1;11;046030000;1;01;201607;9;9;01;0;07;383047795;354708389;323996638;B430;
660201809;BOY SCOUTS OF AMERICA;;AVE ESMERALDO 405SUITE 120 PMB 661;GUAYNABO;PR;00969-0000;1761;03;9;1200;196511;1;15;059328908;5;01;;0;0;01;0;12;;;;;661 PUERTO RICO COUNCIL
660202913;HOGAR DE NINAS DE CUPEY INC;% BPPR;PO BOX 362708;SAN JUAN;PR;00936-2708;0000;03;3;1000;200001;1;15;000000000;1;01;201706;4;1;02;0;06;201500;3580;3580;P430;
660204707;SOCIEDAD PRO HOSPITAL DEL NINO;;PO BOX 2124;SAN JUAN;PR;00922-2124;0000;03;3;1000;192404;1;15;150000000;1;01;201606;6;7;01;0;06;4565143;6956599;6956599;;
660204776;BELLA VISTA HOSPITAL INC;;PO BOX 1750;MAYAGUEZ;PR;00681-1750;0000;03;3;7000;199601;1;12;150000000;1;01;;0;0;13;0;12;;;;E20Z;
660205634;LIGA PUERTORRIQUENA CONTRA EL CANCE;%;PO BOX 191811;SAN JUAN;PR;00919-1811;0000;03;3;1000;200410;1;12;000000000;1;01;201606;0;0;02;0;06;0;0;0;E22;
660206444;COOPERATIVE DE AHORRO Y CREDITO DE LARE;;CARR 111 KM 38;LARES;PR;00660-0000;0000;14;3;1000;199102;2;00;251000000;1;01;201612;9;7;01;0;12;135106360;8576151;8576151;;DE LARE
660207156;UNIVERSIDAD DEL SAGRADO CORAZON INC;;PO BOX 12383;SAN JUAN;PR;00914-8505;0000;03;3;2000;196906;1;11;046030000;1;01;;0;0;14;0;06;;;;;
