YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom
2017;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1385998, 49.2648423]}"
2017;Dunbar Community Centre;http://dunbarcentre.org/dunbar/;Community Space;Community Centre/Hall;4747 Dunbar St, Vancouver, BC, V6S 2H2;Dunbar-Southlands;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.188251960704, 49.2428154263277]}"
2017;Elissa Cristall Galleries;http://cristallgallery.com;Museum/Gallery;Museum/Gallery;2239 Granville St, Vancouver, BC, V6H 3G1;Fairview;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1385822, 49.2655257]}"
2017;FanClub;http://vancouverfanclub.ca/;Theatre/Performance;Performance Space;1050 Granville St, Vancouver, BC, V6Z 1L2;Downtown;Privately Owned;6500;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1235587, 49.2784977]}"
2017;Forge and Form;www.forgeandform.com;Studio/Rehearsal;Artist Studio;1334 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Government;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1343033, 49.2698934]}"
2017;Gallery 295;http://gallery295.com/295/;Museum/Gallery;Museum/Gallery;295 E 2nd Av, Vancouver, BC, V5T 1B8;Strathcona;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0981191, 49.2680645]}"
2017;Gallery of BC Ceramics;http://www.bcpotters.com/Gallery/index.php;Museum/Gallery;Museum/Gallery;1359 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Non-Profit;1505;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.134283, 49.270046]}"
2017;Gordon Neighbourhood house;http://gordonhouse.org/;Community Space;Community Centre/Hall;1019 Broughton St, Vancouver, BC, V6G 2A7;West End;Non-Profit;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1337018, 49.2856642]}"
2017;Granville Fine Arts;www.granvillefineart.com;Museum/Gallery;Museum/Gallery;2447 Granville St, Vancouver, BC, V6H 3G5;Fairview;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1386339, 49.2638926]}"
2017;Granville Island;;Community Space;Plaza/Park/Band Shell;Granville Island, Vancouver, BC;Fairview;Government;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.134845, 49.269463]}"
2017;Harrison Galleries;www.harrisongalleries.com;Museum/Gallery;Museum/Gallery;901 Homer St, Vancouver, BC, V6B 2W6;Downtown;Privately Owned;4500;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1184779, 49.2784569]}"
2017;Hatch Art Gallery;http://www.ams.ubc.ca/nest/arts-and-attractions/art-gallery/;Museum/Gallery;Museum/Gallery;6133 University Blvd, Vancouver, BC, V6T 1Z1;UBC;Non-Profit;12500;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.249913, 49.266025]}"
2017;Holy Rosary Cathedral;www.hrc.rcav.org;Community Space;Place of Worship;646 Richards St, Vancouver, BC, V6B 3A3;Downtown;Other;16744;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1152408, 49.2818067]}"
2017;Ian Tan Gallery;www.iantangallery.com;Museum/Gallery;Museum/Gallery;2342 Granville St, Vancouver, BC, V6H 3G3;Fairview;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.13825, 49.264989]}"
2017;Inuit Gallery of Vancouver;www.inuit.com;Museum/Gallery;Museum/Gallery;206 Cambie St, Vancouver, BC, V6B 2M9;Downtown;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1088083, 49.2842455]}"
2017;Kafka's Coffee and Tea;www.kafkascoffee.ca;Cafe/Restaurant/Bar;Cafe/Restaurant;2525 Main St, Vancouver, BC, V5T 3E5;Mount Pleasant;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1014219, 49.2623554]}"
2017;Karen Flamenco Dance Society;http://karenflamenco.com;Studio/Rehearsal;Rehearsal Studio;60 W 7th Av, Vancouver, BC, V5Y 1L6;Mount Pleasant;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.106533, 49.2644359]}"
2017;Larwill Park;https://en.wikipedia.org/wiki/Larwill_Park;Community Space;Plaza/Park/Band Shell;688 Cambie St, Vancouver, BC, V6B 1T9;Downtown;City of Vancouver;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.111836, 49.28042]}"
2017;Make Gallery;http://makeisawesome.com/;Museum/Gallery;Museum/Gallery;257 E 7th Av, Vancouver, BC, V5T 0B4;Mount Pleasant;Privately Owned;1000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0992862, 49.2646046]}"
2017;MakerLabs;www.makerlabs.ca;Studio/Rehearsal;Workshop;780 E Cordova St, Vancouver, BC, V6A1M3;Strathcona;Privately Owned;26000;300;Yes;"{""type"": ""Point"", ""coordinates"": [-123.087695, 49.2818014]}"
2017;Marpole-Oakridge Community Centre;http://www.marpoleoakridge.org/;Community Space;Community Centre/Hall;990 W 59th Av, Vancouver, BC, V6P 1X9;Marpole;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.127481913823, 49.2144740996897]}"
2017;Norman Rothstein Theatre;www.normanrothsteintheatre.com;Theatre/Performance;Theatre;950 W 41st Av, Vancouver, BC, V5Z 2N7;Oakridge;Privately Owned;5300;318;Yes;"{""type"": ""Point"", ""coordinates"": [-123.126011, 49.233433]}"
2017;Oppenheimer Park;;Community Space;Plaza/Park/Band Shell;400 Powell St, Vancouver, BC, V6A 1G6;Strathcona;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.094341, 49.282643]}"
2017;Orpheum Annex;http://vancouver.caparks-recreation-culture/rent-the-orpheum-annex.aspx;Theatre/Performance;Performance Space;823 Seymour St, Vancouver, BC, V6B 5G1;Downtown;City of Vancouver;3500;193;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1194108, 49.2803528]}"
2017;Peretz Centre for Secular Jewish Culture;http://www.peretz-centre.org/index.html;Community Space;Community Centre/Hall;6184 Ash St, Vancouver, BC, V5Z 3G9;Oakridge;Non-Profit;8000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.117654, 49.229111]}"
2017;Progress Lab 1422;www.pl1422.blogspot.com;Studio/Rehearsal;Rehearsal Studio;1422 William, Vancouver, BC, V5L 2P7;Grandview-Woodland;Privately Owned;7000;100;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0752583, 49.2737909]}"
2017;Queen Elizabeth Park - Artist Residence;http://vancouver.ca/parks-recreation-culture/queen-elizabeth-park.aspx;Studio/Rehearsal;Artist Studio;4600 Cambie St, Vancouver, BC, V5Y 2M5;Riley Park;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.111815, 49.24203]}"
2017;Roedde House;www.roeddehouse.org;Museum/Gallery;Museum/Gallery;1415 Barclay St, Vancouver, BC, V6G 1J6;West End;City of Vancouver;1641;35;Yes;"{""type"": ""Point"", ""coordinates"": [-123.132187, 49.286863]}"
2017;Roundhouse Community Centre;www.roundhouse.ca;Community Space;Community Centre/Hall;181 Roundhouse Mews, Vancouver, BC, V6Z 2W3;Downtown;City of Vancouver;20000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.121747, 49.273308]}"
2017;Russian Hall;;Community Space;Community Centre/Hall;600 Campbell Av, Vancouver, BC, V6A 3K1;Strathcona;Non-Profit;6300;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.084646, 49.27895]}"
2017;Ryerson United Church;www.ryersonunited.ca;Community Space;Place of Worship;2195 W 45th Av, Vancouver, BC, V6M  2J2;Kerrisdale;Other;;450;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1585257, 49.2309378]}"
2017;Studio 1398;www.giculturalsociety.org/studio1398/;Studio/Rehearsal;Rehearsal Studio;1398 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Government;1748;96;Yes;"{""type"": ""Point"", ""coordinates"": [-123.135137, 49.269883]}"
2017;The Permanent;http://thepermanent.ca;Community Space;Community Centre/Hall;330 W Pender St, Vancouver, BC, V6B 1T3;Downtown;Privately Owned;7000;279;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1117385, 49.2822111]}"
2017;UBC School of Music;www.music.ubc.ca;Educational;Educational Institution;6361 Memorial Rd, Vancouver, BC, V6T 1Z2;UBC;Other;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.256757, 49.267358]}"
2017;Uzume Taiko Drum Group Society;www.uzume.com;Studio/Rehearsal;Rehearsal Studio;1254 Frances St, Vancouver, BC, V6A 1Z5;Strathcona;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0779834, 49.279451]}"
2017;Vancouver Aboriginal Friendship Centre;http://www.vafcs.org/;Community Space;Community Centre/Hall;1607 E Hastings St, Vancouver, BC, V5L 1S9;Grandview-Woodland;Other;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0724904, 49.2813439]}"
2017;Vancouver Art Gallery Offsite;http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html;Museum/Gallery;Museum/Gallery;1100 W Georgia St, Vancouver, BC, V6E 0A8;West End;City of Vancouver;34033;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.124298, 49.286205]}"
2017;Vancouver Maritime Museum;www.vancouvermaritimemuseum.com;Museum/Gallery;Museum/Gallery;1905 Ogden Av, Vancouver, BC, V6J 1A3;Kitsilano;City of Vancouver;26215;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.147587, 49.277465]}"
2017;Vancouver Tap Dance Society;www.vantapdance.com;Educational;Educational Institution;2775 E Hastings St, Vancouver, BC, V5K 1Z8;Hastings-Sunrise;Non-Profit;1164;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.047414, 49.281396]}"
2017;Venue;www.venuelive.ca;Cafe/Restaurant/Bar;Bar/Lounge/Cabaret;881 Granville St, Vancouver, BC, V6Z 1K7;Downtown;Privately Owned;10000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1211246, 49.2805411]}"
2017;Waterfront Theatre;www.waterfronttheatre.ca;Theatre/Performance;Theatre;1412 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Government;;224;Yes;"{""type"": ""Point"", ""coordinates"": [-123.135508, 49.270119]}"
2017;West 6th Artists Studios;http://vancouver.ca/people-programs/about-the-artist-studios.aspx;Studio/Rehearsal;Artist Studio;1571 W 6th Av, Vancouver, BC, V6J 1R1;Fairview;City of Vancouver;400;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1401944, 49.266238]}"
2016;221A Artist Run Centre;www.221a.ca/;Museum/Gallery;Museum/Gallery;221 E Georgia St, Vancouver, BC, V6A 1Z6;Strathcona;Privately Owned;9000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.098796, 49.278786]}"
2016;Artstarts in Schools;www.artstarts.com;Museum/Gallery;Museum/Gallery;808 Richards St, Vancouver, BC, V6B 3A7;Downtown;Privately Owned;6000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1179808, 49.2799985]}"
2016;Ayden Gallery;www.aydengallery.com;Museum/Gallery;Museum/Gallery;88 W Pender St, Vancouver, BC, V6B 6N9;Downtown;Privately Owned;4100;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1071802, 49.2809655]}"
2016;Basic Inquiry;http://www.lifedrawing.org/index.html;Museum/Gallery;Museum/Gallery;1011 Main St, Vancouver, BC, V6A 4L4;Downtown;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1000334, 49.2758184]}"
2016;Bill Reid Gallery;www.billreidgallery.ca;Museum/Gallery;Museum/Gallery;639 Hornby St, Vancouver, BC, V6C 2G3;Downtown;Privately Owned;9000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.119819, 49.284308]}"
2016;Bloedel Conservatory;http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx;Museum/Gallery;Garden/Aquarium/Science Centre;4600 Cambie St, Vancouver, BC, V5Y 2M5;Riley Park;Vancouver Park Board/COV;19600;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.113759, 49.242077]}"
2016;Cafe Deux Soleils;www.cafedeuxsoleils.com/;Cafe/Restaurant/Bar;Cafe/Restaurant;2096 Commercial Dr, Vancouver, BC, V5N 4B2;Grandview-Woodland;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0693229, 49.2659754]}"
2016;Carousel Theatre for Young People;www.carouseltheatre.ca;Studio/Rehearsal;Rehearsal Studio;1411 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Government;1330;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.13523, 49.270336]}"
2016;Christianne's Lyceum;http://www.christiannehayward.com/;Educational;Educational Institution;3696 W 8th Av, Vancouver, BC, V6R 1Z1;Kitsilano;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1857634, 49.2652165]}"
2016;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;485 W 8th Av, Vancouver, BC, V5Y 3Z5;Mount Pleasant;Privately Owned;1100;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1138, 49.2641907]}"
2016;Clayzone Ceramics Gallery;www.clayzoneceramics.com;Educational;Educational Institution;661 E 15th Av, Vancouver, BC,;Mount Pleasant;Privately Owned;750;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.08964, 49.2571788]}"
2016;Coal Harbour Community Centre;http://vancouver.ca/parks-recreation-culture/coal-harbour-community-centre.aspx;Community Space;Community Centre/Hall;480 Broughton St, Vancouver, BC, V6G 3H4;Downtown;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.125885091572, 49.2901651976341]}"
2016;Colbourne House/ Marpole Museum;http://www.marpolehistorical.ca;Museum/Gallery;Museum/Gallery;8743 Sw Marine Dr, Vancouver, BC, V6P 6A5;Marpole;City of Vancouver;2000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1423354, 49.2064788]}"
2016;Commodore Ballroom;http://www.commodoreballroom.ca;Cafe/Restaurant/Bar;Bar/Lounge/Cabaret;868 Granville St, Vancouver, BC, V6Z 1K3;Downtown;Privately Owned;4205;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1208909, 49.2806189]}"
2016;Core Live/Work Studios;www.chf.bc.ca;Studio/Rehearsal;Artist Studio with Residence;275 Alexander St, Vancouver, BC, V6A 1C2;Strathcona;City of Vancouver;4500;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0985607, 49.2841198]}"
2016;Creekside Park;;Community Space;Plaza/Park/Band Shell;1455 Quebec St, Vancouver, BC, V6A 3Z7;Downtown;City of Vancouver;177518;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.10319, 49.274159]}"
2016;Crystal Ballroom;www.crystalballrom.ca;Educational;Educational Institution;768 SW Marine Dr, Vancouver, BC, V6P 5Y7;Marpole;Privately Owned;5000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1230434, 49.207191]}"
2016;David Lam Park;;Community Space;Plaza/Park/Band Shell;1300 Pacific Blvd, Vancouver, BC, V6Z 2V1;Downtown;City of Vancouver;467154;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1241736, 49.2724252]}"
2016;DeSerres;http://www.deserres.ca/;Other;Retail;1431 W Broadway St, Vancouver, BC, V6H 1H6;Hastings-Sunrise;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.136982, 49.236965]}"
2016;DeSerres;http://www.deserres.ca/;Other;Retail;2811 Grandview Hwy, Vancouver, BC, V5M 2E1;Fairview;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.046215, 49.258426]}"
2016;Dynamo Arts Association;www.dynamoarts.tumblr.com;Museum/Gallery;Museum/Gallery;30 E 6th Ave, Vancouver, BC, V5T 1J4;Mount Pleasant;Privately Owned;6000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1040486, 49.2653017]}"
2016;eatArt;http://eatart.org/;Studio/Rehearsal;Artist Studio;882 Cordova St, Vancouver, BC, V6A 1M4;Strathcona;Privately Owned;3000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.085078, 49.281749]}"
2016;EDAM Performing Arts Society;www.edamdance.org;Studio/Rehearsal;Rehearsal Studio;303 E 8th Av, Vancouver, BC, V5T 1S1;Mount Pleasant;Privately Owned;2240;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.098697, 49.263935]}"
2016;Emily Carr Institute of Art + Design;www.ecuad.ca;Educational;Educational Institution;1399 Johnston St, Vancouver, BC, V6H 2R9;Fairview;Government;198692;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.132857, 49.270461]}"
2016;Equinox Gallery;www.equinoxgallery.com;Museum/Gallery;Museum/Gallery;525 Great Northern Way, Vancouver, BC, V5T 1E1;Strathcona;Privately Owned;14000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.09226, 49.267609]}"
2016;False Creek Community Centre;http://www.falsecreekcc.ca/;Community Space;Community Centre/Hall;1318 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.134020271425, 49.269397070325]}"
2016;Famee Furlane of Vancouver;http://www.fameefurlanevancouver.com/;Community Space;Community Centre/Hall;2605 E Pender St, Vancouver, BC, V5K 2B6;Hastings-Sunrise;Privately Owned;3800;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.051665, 49.280412]}"
2016;Federation Gallery;http://artists.ca/federation_gallery;Museum/Gallery;Museum/Gallery;1241 Cartwright St, Vancouver, BC, V6H 4B7;Fairview;Privately Owned;1200;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.13225, 49.269582]}"
2016;Firehall Arts Centre;www.firehallartscentre.ca;Theatre/Performance;Theatre;280 E Cordova St, Vancouver, BC, V6A 1L3;Strathcona;City of Vancouver;12386;136;Yes;"{""type"": ""Point"", ""coordinates"": [-123.097921, 49.282083]}"
2016;Forge and Form;www.forgeandform.com;Studio/Rehearsal;Artist Studio;1334 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Government;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1343033, 49.2698934]}"
2016;Fox Cabaret;http://www.foxcabaret.com/;Cafe/Restaurant/Bar;Bar/Lounge/Cabaret;2321 Main St, Vancouver, BC, V5T 3C9;Mount Pleasant;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1014108, 49.2642396]}"
2016;Frederic Wood Theatre;http://www.theatre.ubc.ca/facilities_images.shtml;Theatre/Performance;Theatre;6354 Crescent Rd, Vancouver, BC, V6T 1Z2;UBC;Government;;400;Yes;"{""type"": ""Point"", ""coordinates"": [-123.2572691, 49.268215]}"
2016;Gallery 295;http://gallery295.com/295/;Museum/Gallery;Museum/Gallery;295 E 2nd Ave, Vancouver, BC, V5T 1B8;Strathcona;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0981191, 49.2680645]}"
2016;Gallery of BC Ceramics;http://www.bcpotters.com/Gallery/index.php;Museum/Gallery;Museum/Gallery;1359 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Non-Profit;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.134283, 49.270046]}"
2016;GMS Observatory;http://www.spacecentre.ca/gms;Museum/Gallery;Garden/Aquarium/Science Centre;1100 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;2811;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.144436, 49.276261]}"
2016;Gordon Neighbourhood house;http://gordonhouse.org/;Community Space;Community Centre/Hall;1019 Broughton St, Vancouver, BC, V6G 2A7;West End;Non-Profit;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1337018, 49.2856642]}"
2016;Granville Island;;Community Space;Plaza/Park/Band Shell;Granville Island, Vancouver, BC;Fairview;Government;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.134845, 49.269463]}"
2016;Granville Street/ Entertainment District;;Community Space;Plaza/Park/Band Shell;Vancouver, BC;Downtown;City of Vancouver;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.11966, 49.281457]}"
2016;Green Thumb Theatre for Young People - Studio 1;www.greenthumb.bc.ca;Studio/Rehearsal;Rehearsal Studio;5560 Mckinnon St, Vancouver, BC, V5R 0B6;Renfrew-Collingwood;Privately Owned;2030;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.038613, 49.234069]}"
2016;Grunt Gallery;www.grunt.ca;Museum/Gallery;Museum/Gallery;350 E 2nd Av, Vancouver, BC, V5T 4R8;Mount Pleasant;Non-Profit;1350;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.09715, 49.26676]}"
2016;Harbour Dance Center;http://www.harbourdance.com/;Studio/Rehearsal;Rehearsal Studio;927 Granville St, Vancouver, BC, V6Z 1L3;Downtown;Privately Owned;9781;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1221484, 49.2799092]}"
