ref-id,pubmed-id,citation,parent_key
A10222,17014079,"Muniz A, Villazana-Espinoza ET, Thackeray B, Tsin AT: 11-cis-Acyl-CoA:retinol O-acyltransferase activity in the primary culture of chicken Muller cells. Biochemistry. 2006 Oct 10;45(40):12265-73.",BE0000786
A10223,17251447,"Wenzel A, von Lintig J, Oberhauser V, Tanimoto N, Grimm C, Seeliger MW: RPE65 is essential for the function of cone photoreceptors in NRL-deficient mice. Invest Ophthalmol Vis Sci. 2007 Feb;48(2):534-42.",BE0000786
A10224,17652763,"Vogel JS, Bullen EC, Teygong CL, Howard EW: Identification of the RLBP1 gene promoter. Invest Ophthalmol Vis Sci. 2007 Aug;48(8):3872-7.",BE0000786
A10204,15928609,"Salvador-Silva M, Ghosh S, Bertazolli-Filho R, Boatright JH, Nickerson JM, Garwin GG, Saari JC, Coca-Prados M: Retinoid processing proteins in the ocular ciliary epithelium. Mol Vis. 2005 May 18;11:356-65.",BE0000786
A10200,15935345,"Qtaishat NM, Wiggert B, Pepperberg DR: Interphotoreceptor retinoid-binding protein (IRBP) promotes the release of all-trans retinol from the isolated retina following rhodopsin bleaching illumination. Exp Eye Res. 2005 Oct;81(4):455-63. Epub 2005 Jun 2.",BE0000255
A10201,17602665,"Wu Q, Blakeley LR, Cornwall MC, Crouch RK, Wiggert BN, Koutalos Y: Interphotoreceptor retinoid-binding protein is the physiologically relevant carrier that removes retinol from rod photoreceptor outer segments. Biochemistry. 2007 Jul 24;46(29):8669-79. Epub 2007 Jun 30.",BE0000255
A10202,17049961,"Kolesnikov AV, Ala-Laurila P, Shukolyukov SA, Crouch RK, Wiggert B, Estevez ME, Govardovskii VI, Cornwall MC: Visual cycle and its metabolic support in gecko photoreceptors. Vision Res. 2007 Feb;47(3):363-74. Epub 2006 Oct 16.",BE0000255
A10203,17200663,"Duncan T, Fariss RN, Wiggert B: Confocal immunolocalization of bovine serum albumin, serum retinol-binding protein, and interphotoreceptor retinoid-binding protein in bovine retina. Mol Vis. 2006 Dec 22;12:1632-9.",BE0000255
A10204,15928609,"Salvador-Silva M, Ghosh S, Bertazolli-Filho R, Boatright JH, Nickerson JM, Garwin GG, Saari JC, Coca-Prados M: Retinoid processing proteins in the ocular ciliary epithelium. Mol Vis. 2005 May 18;11:356-65.",BE0000255
A10191,15951260,"Yapi HF, Ahiboh H, Ago K, Ake M, Monnet D: [Protein profile and vitamin A in children of school age in Ivory Coast]. Ann Biol Clin (Paris). 2005 May-Jun;63(3):291-5.",BE0000301
A10192,15994349,"Quadro L, Hamberger L, Gottesman ME, Wang F, Colantuoni V, Blaner WS, Mendelsohn CL: Pathways of vitamin A delivery to the embryo: insights from a new tunable model of embryonic vitamin A deficiency. Endocrinology. 2005 Oct;146(10):4479-90. Epub 2005 Jun 30.",BE0000301
A10193,16011460,Harrison EH: Mechanisms of digestion and absorption of dietary vitamin A. Annu Rev Nutr. 2005;25:87-103.,BE0000301
A10194,16156801,"Paci E, Greene LH, Jones RM, Smith LJ: Characterization of the molten globule state of retinol-binding protein using a molecular dynamics simulation approach. FEBS J. 2005 Sep;272(18):4826-38.",BE0000301
A10195,16157297,"Folli C, Viglione S, Busconi M, Berni R: Biochemical basis for retinol deficiency induced by the I41N and G75D mutations in human plasma retinol-binding protein. Biochem Biophys Res Commun. 2005 Nov 4;336(4):1017-22.",BE0000301
A176137,20166147,"Lemaire-Ewing S, Desrumaux C, Neel D, Lagrost L: Vitamin E transport, membrane incorporation and cell metabolism: Is alpha-tocopherol in lipid rafts an oar in the lifeboat? Mol Nutr Food Res. 2010 May;54(5):631-40. doi: 10.1002/mnfr.200900445.",BE0000256
A176137,20166147,"Lemaire-Ewing S, Desrumaux C, Neel D, Lagrost L: Vitamin E transport, membrane incorporation and cell metabolism: Is alpha-tocopherol in lipid rafts an oar in the lifeboat? Mol Nutr Food Res. 2010 May;54(5):631-40. doi: 10.1002/mnfr.200900445.",BE0000339
A176137,20166147,"Lemaire-Ewing S, Desrumaux C, Neel D, Lagrost L: Vitamin E transport, membrane incorporation and cell metabolism: Is alpha-tocopherol in lipid rafts an oar in the lifeboat? Mol Nutr Food Res. 2010 May;54(5):631-40. doi: 10.1002/mnfr.200900445.",BE0009656
A192465,30037155,"Parra M, Stahl S, Hellmann H: Vitamin B(6) and Its Role in Cell Metabolism and Physiology. Cells. 2018 Jul 22;7(7). pii: cells7070084. doi: 10.3390/cells7070084.",BE0000530
A192468,1898027,"Fonda ML, Trauss C, Guempel UM: The binding of pyridoxal 5'-phosphate to human serum albumin. Arch Biochem Biophys. 1991 Jul;288(1):79-86. doi: 10.1016/0003-9861(91)90167-h.",BE0000530
A13916,10052453,"Nykjaer A, Dragun D, Walther D, Vorum H, Jacobsen C, Herz J, Melsen F, Christensen EI, Willnow TE: An endocytic pathway essential for renal uptake and activation of the steroid 25-(OH) vitamin D3. Cell. 1999 Feb 19;96(4):507-15.",BE0001141
A13917,11799400,"Verboven C, Rabijns A, De Maeyer M, Van Baelen H, Bouillon R, De Ranter C: A structural basis for the unique binding features of the human vitamin D-binding protein. Nat Struct Biol. 2002 Feb;9(2):131-6.",BE0001141
A13918,17023693,"Houghton LA, Vieth R: The case against ergocalciferol (vitamin D2) as a vitamin supplement. Am J Clin Nutr. 2006 Oct;84(4):694-7.",BE0001141
A13919,8660814,"Yamamoto N, Naraparaju VR: Vitamin D3-binding protein as a precursor for macrophage activating factor in the inflammation-primed macrophage activation cascade in rats. Cell Immunol. 1996 Jun 15;170(2):161-7.",BE0001141
A13920,8759764,"Yamamoto N, Naraparaju VR: Role of vitamin D3-binding protein in activation of mouse macrophages. J Immunol. 1996 Aug 15;157(4):1744-9.",BE0001141
A187439,23300763,"Gardill BR, Vogl MR, Lin HY, Hammond GL, Muller YA: Corticosteroid-binding globulin: structure-function implications from species differences. PLoS One. 2012;7(12):e52759. doi: 10.1371/journal.pone.0052759. Epub 2012 Dec 26.",BE0000209
A16900,8415778,"Begley JA, Colligan PD, Chu RC: Transcobalamin II mediated delivery of albumin-bound hydroxocobalamin to human liver cells. Proc Soc Exp Biol Med. 1993 Nov;204(2):206-10.",BE0000362
A16901,5126165,"Skouby AP, Hippe E, Olesen H: Antibody to transcobalamin II and B12 binding capacity in patients treated with hydroxocobalamin. Blood. 1971 Dec;38(6):769-74.",BE0000362
A16902,5488577,"Hippe E, Olesen H, Skouby A: [Occurrence of antibodies against transcobalamin II in relation to the number of and the intervals between depot therapy with hydroxocobalamin]. Nord Med. 1970 Dec 3;84(49):1570.",BE0000362
A16903,3338997,"Brown KL, Marques HM, Jacobsen DW: Heteronuclear NMR studies of cobalamins. 31P NMR observations of cobalamins bound to a haptocorrin from chicken serum. J Biol Chem. 1988 Feb 5;263(4):1872-7.",BE0000362
A16904,8487649,"Chu RC, Begley JA, Colligan PD, Hall CA: The methylcobalamin metabolism of cultured human fibroblasts. Metabolism. 1993 Mar;42(3):315-9.",BE0000362
A293,14585166,"Seetharam B, Yammani RR: Cobalamin transport proteins and their cell-surface receptors. Expert Rev Mol Med. 2003 Jun 13;5(18):1-18.",BE0000362
A174475,9474471,"Knauf H, Mutschler E: Clinical pharmacokinetics and pharmacodynamics of torasemide. Clin Pharmacokinet. 1998 Jan;34(1):1-24. doi: 10.2165/00003088-199834010-00001.",BE0000530
A19948,15814459,"Bocedi A, Notaril S, Narciso P, Bolli A, Fasano M, Ascenzi P: Binding of anti-HIV drugs to human serum albumin. IUBMB Life. 2004 Oct;56(10):609-14.",BE0000530
A19949,16336266,"Bocedi A, Notari S, Menegatti E, Fanali G, Fasano M, Ascenzi P: Allosteric modulation of anti-HIV drug and ferric heme binding to human serum albumin. FEBS J. 2005 Dec;272(24):6287-96.",BE0000530
A174583,9160173,"Lennernas H, Fager G: Pharmacodynamics and pharmacokinetics of the HMG-CoA reductase inhibitors. Similarities and differences. Clin Pharmacokinet. 1997 May;32(5):403-25. doi: 10.2165/00003088-199732050-00005.",BE0000530
A15479,15791110,"Liu R, Eckenhoff RG: Weak polar interactions confer albumin binding site selectivity for haloether anesthetics. Anesthesiology. 2005 Apr;102(4):799-805.",BE0000530
A15480,15449957,"Sawas AH, Pentyala SN, Rebecchi MJ: Binding of volatile anesthetics to serum albumin: measurements of enthalpy and solvent contributions. Biochemistry. 2004 Oct 5;43(39):12675-85.",BE0000530
A202121,6721962,"Dale O, Nilsen OG: Displacement of some basic drugs from human serum proteins by enflurane, halothane and their major metabolites. An in vitro study. Br J Anaesth. 1984 May;56(5):535-42. doi: 10.1093/bja/56.5.535.",BE0000530
A202028,13175102,"GOLDBAUM LR, SMITH PK: The interaction of barbiturates with serum albumin and its possible relation to their disposition and pharmacological actions. J Pharmacol Exp Ther. 1954 Jun;111(2):197-209.",BE0000530
A19948,15814459,"Bocedi A, Notaril S, Narciso P, Bolli A, Fasano M, Ascenzi P: Binding of anti-HIV drugs to human serum albumin. IUBMB Life. 2004 Oct;56(10):609-14.",BE0000530
A19949,16336266,"Bocedi A, Notari S, Menegatti E, Fanali G, Fasano M, Ascenzi P: Allosteric modulation of anti-HIV drug and ferric heme binding to human serum albumin. FEBS J. 2005 Dec;272(24):6287-96.",BE0000530
A1713,17139284,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.",BE0000209
A1715,17016423,"Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34.",BE0000209
A9,11752352,"Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5.",BE0000209
A175030,16717165,Chaitman BR: Ranolazine for the treatment of chronic angina and potential use in other cardiovascular conditions. Circulation. 2006 May 23;113(20):2462-72. doi: 10.1161/CIRCULATIONAHA.105.597500.,BE0000925
A190594,31400341,"Uzelac TN, Nikolic-Kokic AL, Spasic SD, Macvanin MT, Nikolic MR, Mandic LM, Jovanovic VB: Opposite clozapine and ziprasidone effects on the reactivity of plasma albumin SH-group are the consequence of their different binding properties dependent on protein fatty acids content. Chem Biol Interact. 2019 Sep 25;311:108787. doi: 10.1016/j.cbi.2019.108787. Epub 2019 Aug 7.",BE0000530
A190597,28539955,"Lv D, Zhao M, Chen L, Yu D, Yun X, Yang Q, Huang X: An Inter-Ethnic Comparison Study of Ziprasidone Plasma Levels, Dosage and Clinical Response in Patients with Schizophrenia. Psychiatry Investig. 2017 May;14(3):360-367. doi: 10.4306/pi.2017.14.3.360. Epub 2017 May 16.",BE0000925
A15482,15282104,"Chen J, Ohnmacht C, Hage DS: Studies of phenytoin binding to human serum albumin by high-performance affinity chromatography. J Chromatogr B Analyt Technol Biomed Life Sci. 2004 Sep 25;809(1):137-45.",BE0000530
A15483,16621742,"Ohnmacht CM, Chen S, Tong Z, Hage DS: Studies by biointeraction chromatography of binding by phenytoin metabolites to human serum albumin. J Chromatogr B Analyt Technol Biomed Life Sci. 2006 May 19;836(1-2):83-91. Epub 2006 Apr 18.",BE0000530
A188790,22479078,"Co M, Lo A: Effect of albumin on phenytoin concentration: are we flogging a dead horse? Can J Hosp Pharm. 2011 Jul;64(4):293. doi: 10.4212/cjhp.v64i4.1051.",BE0000530
A188793,22216527,"Finucane JF, Griffiths RS: Effect of phenytoin therapy on thyroid function. Br J Clin Pharmacol. 1976 Dec;3(6):1041-4. doi: 10.1111/j.1365-2125.1976.tb00355.x.",BE0000537
A187439,23300763,"Gardill BR, Vogl MR, Lin HY, Hammond GL, Muller YA: Corticosteroid-binding globulin: structure-function implications from species differences. PLoS One. 2012;7(12):e52759. doi: 10.1371/journal.pone.0052759. Epub 2012 Dec 26.",BE0000209
A175141,30422518,"Morris J, Dunham A: Metoprolol .",BE0000530
A20268,1376777,"Rahman MH, Miyoshi T, Sukimoto K, Takadate A, Otagiri M: Interaction mode of dicumarol and its derivatives with human serum albumin, alpha 1-acid glycoprotein and asialo alpha 1-acid glycoprotein. J Pharmacobiodyn. 1992 Jan;15(1):7-16.",BE0000530
A33728,15355124,"Bialer M, Doose DR, Murthy B, Curtin C, Wang SS, Twyman RE, Schwabe S: Pharmacokinetic interactions of topiramate. Clin Pharmacokinet. 2004;43(12):763-80. doi: 10.2165/00003088-200443120-00001.",BE0000530
A12629,3339510,"Robertson A, Fink S, Karp W: Effect of cephalosporins on bilirubin-albumin binding. J Pediatr. 1988 Feb;112(2):291-4.",BE0000530
A15457,15082720,"Eneqvist T, Lundberg E, Karlsson A, Huang S, Santos CR, Power DM, Sauer-Eriksson AE: High resolution crystal structures of piscine transthyretin reveal different binding modes for triiodothyronine and thyroxine. J Biol Chem. 2004 Jun 18;279(25):26411-6. Epub 2004 Apr 13.",BE0000337
A15458,12553433,Palha JA: Transthyretin as a thyroid hormone carrier: function revisited. Clin Chem Lab Med. 2002 Dec;40(12):1292-300.,BE0000337
A15458,12553433,Palha JA: Transthyretin as a thyroid hormone carrier: function revisited. Clin Chem Lab Med. 2002 Dec;40(12):1292-300.,BE0000537
A15458,12553433,Palha JA: Transthyretin as a thyroid hormone carrier: function revisited. Clin Chem Lab Med. 2002 Dec;40(12):1292-300.,BE0000530
A11790,10322928,"Chu JS, Kishion S, Nomura A, Miyazaki K: Serum alpha 1-acid glycoprotein, sialic acid, and protein binding of disopyramide in normal subjects and cardiac patients. Zhongguo Yao Li Xue Bao. 1997 Sep;18(5):408-10.",BE0000925
A11791,10824133,"Hanada K, Ohta T, Hirai M, Arai M, Ogata H: Enantioselective binding of propranolol, disopyramide, and verapamil to human alpha(1)-acid glycoprotein. J Pharm Sci. 2000 Jun;89(6):751-7.",BE0000925
A11792,14616427,"Nakagawa T, Kishino S, Itoh S, Sugawara M, Miyazaki K: Differential binding of disopyramide and warfarin enantiomers to human alpha(1)-acid glycoprotein variants. Br J Clin Pharmacol. 2003 Dec;56(6):664-9.",BE0000925
A11793,2860235,"Haughey DB, Steinberg I, Lee MH: Protein binding of disopyramide--displacement by mono-N-dealkyldisopyramide and variation with source of alpha-1-acid glycoprotein. J Pharm Pharmacol. 1985 Apr;37(4):285-8.",BE0000925
A11794,2862237,"Brunner F, Muller WE: Prazosin binding to human alpha 1-acid glycoprotein (orosomucoid), human serum albumin, and human serum. Further characterization of the 'single drug binding site' of orosomucoid. J Pharm Pharmacol. 1985 May;37(5):305-9.",BE0000925
A38238,24715748,"Cada DJ, Baker DE: Conjugated estrogens and bazedoxifene. Hosp Pharm. 2014 Mar;49(3):273-83. doi: 10.1310/hpj4903-273.",BE0000685
A38238,24715748,"Cada DJ, Baker DE: Conjugated estrogens and bazedoxifene. Hosp Pharm. 2014 Mar;49(3):273-83. doi: 10.1310/hpj4903-273.",BE0000530
A175750,24732041,"Aman MG, Smith T, Arnold LE, Corbett-Dick P, Tumuluru R, Hollway JA, Hyman SL, Mendoza-Burcham M, Pan X, Mruzek DW, Lecavalier L, Levato L, Silverman LB, Handen B: A review of atomoxetine effects in young people with developmental disabilities. Res Dev Disabil. 2014 Jun;35(6):1412-24. doi: 10.1016/j.ridd.2014.03.006. Epub 2014 Apr 16.",BE0000530
A175723,27721971,"Hutchison SL, Ghuman JK, Ghuman HS, Karpov I, Schuster JM: Efficacy of atomoxetine in the treatment of attention-deficit hyperactivity disorder in patients with common comorbidities in children, adolescents and adults: a review. Ther Adv Psychopharmacol. 2016 Oct;6(5):317-334. doi: 10.1177/2045125316647686. Epub 2016 May 20.",BE0000530
A175723,27721971,"Hutchison SL, Ghuman JK, Ghuman HS, Karpov I, Schuster JM: Efficacy of atomoxetine in the treatment of attention-deficit hyperactivity disorder in patients with common comorbidities in children, adolescents and adults: a review. Ther Adv Psychopharmacol. 2016 Oct;6(5):317-334. doi: 10.1177/2045125316647686. Epub 2016 May 20.",BE0004879
A175750,24732041,"Aman MG, Smith T, Arnold LE, Corbett-Dick P, Tumuluru R, Hollway JA, Hyman SL, Mendoza-Burcham M, Pan X, Mruzek DW, Lecavalier L, Levato L, Silverman LB, Handen B: A review of atomoxetine effects in young people with developmental disabilities. Res Dev Disabil. 2014 Jun;35(6):1412-24. doi: 10.1016/j.ridd.2014.03.006. Epub 2014 Apr 16.",BE0004879
A175723,27721971,"Hutchison SL, Ghuman JK, Ghuman HS, Karpov I, Schuster JM: Efficacy of atomoxetine in the treatment of attention-deficit hyperactivity disorder in patients with common comorbidities in children, adolescents and adults: a review. Ther Adv Psychopharmacol. 2016 Oct;6(5):317-334. doi: 10.1177/2045125316647686. Epub 2016 May 20.",BE0000710
A175750,24732041,"Aman MG, Smith T, Arnold LE, Corbett-Dick P, Tumuluru R, Hollway JA, Hyman SL, Mendoza-Burcham M, Pan X, Mruzek DW, Lecavalier L, Levato L, Silverman LB, Handen B: A review of atomoxetine effects in young people with developmental disabilities. Res Dev Disabil. 2014 Jun;35(6):1412-24. doi: 10.1016/j.ridd.2014.03.006. Epub 2014 Apr 16.",BE0000710
A16851,10927023,"Stephenson KN, Croxen RL, El-Barbary A, Fenstermacher JD, Haspel HC: Inhibition of glucose transport and direct interactions with type 1 facilitative glucose transporter (GLUT-1) by etomidate, ketamine, and propofol: a comparison with barbiturates. Biochem Pharmacol. 2000 Sep 1;60(5):651-9.",BE0001057
A191823,22025496,"Zhou R, Perez-Aguilar JM, Meng Q, Saven JG, Liu R: Opioid binding sites in human serum albumin. Anesth Analg. 2012 Jan;114(1):122-8. doi: 10.1213/ANE.0b013e318232e922. Epub 2011 Oct 24.",BE0000530
A20284,8946661,"Dasgupta A, Emerson L: Interaction of valproic acid with nonsteroidal antiinflammatory drugs mefenamic acid and fenoprofen in normal and uremic sera: lack of interaction in uremic sera due to the presence of endogenous factors. Ther Drug Monit. 1996 Dec;18(6):654-9.",BE0000530
A187241,6491906,"Morris ME, Levy G: Renal clearance and serum protein binding of acetaminophen and its major conjugates in humans. J Pharm Sci. 1984 Aug;73(8):1038-41. doi: 10.1002/jps.2600730806.",BE0000530
A15487,6108517,"Brinkschulte M, Breyer-Pfaff U: The contribution of alpha 1-acid glycoprotein, lipoproteins, and albumin to the plasma binding of perazine, amitriptyline, and nortriptyline in healthy man. Naunyn Schmiedebergs Arch Pharmacol. 1980 Oct;314(1):61-6. doi: 10.1007/bf00498432.",BE0000530
A15488,17125386,"Banerjee T, Singh SK, Kishore N: Binding of naproxen and amitriptyline to bovine serum albumin: biophysical aspects. J Phys Chem B. 2006 Nov 30;110(47):24147-56.",BE0000530
A15487,6108517,"Brinkschulte M, Breyer-Pfaff U: The contribution of alpha 1-acid glycoprotein, lipoproteins, and albumin to the plasma binding of perazine, amitriptyline, and nortriptyline in healthy man. Naunyn Schmiedebergs Arch Pharmacol. 1980 Oct;314(1):61-6. doi: 10.1007/bf00498432.",BE0000925
A15489,2870173,"Ferry DG, Caplan NB, Cubeddu LX: Interaction between antidepressants and alpha 1-adrenergic receptor antagonists on the binding to alpha 1-acid glycoprotein. J Pharm Sci. 1986 Feb;75(2):146-9. doi: 10.1002/jps.2600750208.",BE0000925
A201890,28066325,"Moisan MP, Castanon N: Emerging Role of Corticosteroid-Binding Globulin in Glucocorticoid-Driven Metabolic Disorders. Front Endocrinol (Lausanne). 2016 Dec 19;7:160. doi: 10.3389/fendo.2016.00160. eCollection 2016.",BE0000209
A187439,23300763,"Gardill BR, Vogl MR, Lin HY, Hammond GL, Muller YA: Corticosteroid-binding globulin: structure-function implications from species differences. PLoS One. 2012;7(12):e52759. doi: 10.1371/journal.pone.0052759. Epub 2012 Dec 26.",BE0000209
A176468,29261877,"Abi-Aad KR, Derian A: Hydromorphone .",BE0000530
A12195,9275312,"Bertucci C, Wainer IW: Improved chromatographic performance of a modified human albumin based stationary phase. Chirality. 1997;9(4):335-40.",BE0000530
A497,12405865,"Eap CB, Buclin T, Baumann P: Interindividual variability of the clinical pharmacokinetics of methadone: implications for the treatment of opioid dependence. Clin Pharmacokinet. 2002;41(14):1153-93. doi: 10.2165/00003088-200241140-00003.",BE0000925
A185234,30205091,"Volpe DA, Xu Y, Sahajwalla CG, Younis IR, Patel V: Methadone Metabolism and Drug-Drug Interactions: In Vitro and In Vivo Literature Review. J Pharm Sci. 2018 Dec;107(12):2983-2991. doi: 10.1016/j.xphs.2018.08.025. Epub 2018 Sep 8.",BE0000925
A497,12405865,"Eap CB, Buclin T, Baumann P: Interindividual variability of the clinical pharmacokinetics of methadone: implications for the treatment of opioid dependence. Clin Pharmacokinet. 2002;41(14):1153-93. doi: 10.2165/00003088-200241140-00003.",BE0000530
A185234,30205091,"Volpe DA, Xu Y, Sahajwalla CG, Younis IR, Patel V: Methadone Metabolism and Drug-Drug Interactions: In Vitro and In Vivo Literature Review. J Pharm Sci. 2018 Dec;107(12):2983-2991. doi: 10.1016/j.xphs.2018.08.025. Epub 2018 Sep 8.",BE0000530
A14767,10511917,"Callaghan JT, Bergstrom RF, Ptak LR, Beasley CM: Olanzapine. Pharmacokinetic and pharmacodynamic profile. Clin Pharmacokinet. 1999 Sep;37(3):177-93.",BE0000530
A177014,30422498,"Thomas K, Saadabadi A: Olanzapine .",BE0000530
A14767,10511917,"Callaghan JT, Bergstrom RF, Ptak LR, Beasley CM: Olanzapine. Pharmacokinetic and pharmacodynamic profile. Clin Pharmacokinet. 1999 Sep;37(3):177-93.",BE0000925
A177014,30422498,"Thomas K, Saadabadi A: Olanzapine .",BE0000925
A178210,29630759,"Niaei N, Hasanzadeh M, Shadjou N: Molecular interaction of some cardiovascular drugs with human serum albumin at physiological-like conditions: A new approach. J Mol Recognit. 2018 Aug;31(8):e2715. doi: 10.1002/jmr.2715. Epub 2018 Apr 6.",BE0000530
