ref-id,isbn,citation,parent_key
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T3,0683307371,"Foye, William O.;Williams, David A.;Lemke, Thomas L. (2002). Foye's Principles of Medicinal Chemistry (5th ed.). Lippincott Williams & Wilkins.",BE0002638
T263,978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0002793
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0002638
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0003536
T254,9783319724164,"Manjunath P. Pai, Jennifer J. Kiser, Paul O. Gubbins, Keith A. Rodvold (2018). Drug Interactions in Infectious Diseases: Antimicrobial Drug Interactions (4th ed.). Springer.",BE0002638
T94,978-1-61779-212-0,"Piscitelli S., Rodvold K. and Pai M. (2011). Drug interactions in infectious diseases (3rd ed.). Springer Science.",BE0002638
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002638
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002887
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002363
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002793
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L58). Canadian Pharmacists Association.,BE0002793
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L58). Canadian Pharmacists Association.,BE0002887
T229,1-894402-22-7,Canadian Pharmacists Association (2006). Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals. Canadian Pharmacists Association.,BE0003536
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T307,,Pelletier G. (2010). Progress in Brain Research. Elsevier.,BE0002638
T356,,"Laura Dean, MD (2012). Medical Genetics Summaries : Carvedilol Therapy and CYP2D6 Genotype. National Center for Biotechnology Information (US).",BE0002793
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",BE0002638
T343,0444537163,Jeffrey K. Aronson (2015). Meyler's Side Effects of Drugs: The International Encyclopedia of Adverse Drug Reactions and Interactions (16th ed.). Elsevier.,BE0002180
T339,978-0-323-44826-0,Skidmore L. (2017). Mosby's Nursing Drug Reference (30th ed.). Elsevier.,BE0002433
T319,,Ioannides C. (2008). Cytochromes P450. RSC Publishing.,BE0003536
T680,,"Lacy CF, Armstrong LL, Goldman MP, Lance LL eds (2007). Lexicomp drug information handbook (15th ed.). Lexicomp.",BE0003533
T343,0444537163,Jeffrey K. Aronson (2015). Meyler's Side Effects of Drugs: The International Encyclopedia of Adverse Drug Reactions and Interactions (16th ed.). Elsevier.,BE0002180
T158,,Pattani K. (2010). Early diagnosis and treatment of cancer series: Head and Neck Cancer. Elsevier.,BE0009340
T307,,Pelletier G. (2010). Progress in Brain Research. Elsevier.,BE0002638
T353,,Brody T. (2018). FDA's Drugreview Process and the Package Label. Academic Press.,BE0002793
T308,978-1-4441-4752-0,"Grayson L., Crowe S., Hope W., McCarthy J., Mills J., Mouton J., Paterson D., Paterson D. and Pfaller M. (2010). Kucers' the use of antibiotics (6th ed.). Taylor and Francis Group.",BE0002638
T75,,Vasiliou V. and Petersen D. (2010). Comprehensive toxicology (2nd ed.). Elsevier.,BE0001207
T269,0-444-82406-5,Griffin J. and D'Arcy P. (1997). A manual of adverse drug interactions (5th ed.). Elsevier.,BE0002433
T241,,Larrey D. and Ripault M. (2013). Drug-induced liver disease (3rd ed.). Academic Press.,BE0002638
T650,,Walter J. Loesche (1996). Medical microbiology (4th ed.). : University of Texas Medical Branch at Galveston.,BE0009701
T650,,Walter J. Loesche (1996). Medical microbiology (4th ed.). : University of Texas Medical Branch at Galveston.,BE0009702
T129,,Benedich A. and Deckelbaum R. (2015). Preventive nutrition (5th ed.). Springer .,BE0001056
T129,,Benedich A. and Deckelbaum R. (2015). Preventive nutrition (5th ed.). Springer .,BE0001818
T44,978 92 4 153077 4,Peter Watts and Paul Howe (2010). Strontium and Strontium compounds. World Health Organization.,BE0008669
T269,0-444-82406-5,Griffin J. and D'Arcy P. (1997). A manual of adverse drug interactions (5th ed.). Elsevier.,BE0002638
T174,978-0323-07371-4,Daskalos D. (2012). Local anesthesia for the dental hygienist. Elsevier.,BE0002180
T218,,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,BE0009375
T218,,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,BE0000888
T218,,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,BE0002246
T100,,"Karalliedde L., Clarke S., Collignon U. and Karalliedde J. (2010). Adverse drug interactions: a handbook for prescribers. Taylor and Francis group.",BE0002638
T466,,Ricardo Jorge Dinis-Oliveira (2017). Metabolism and metabolomics of ketamine: a toxicological approach. Taylor & Francis Group.,BE0003549
T466,,Ricardo Jorge Dinis-Oliveira (2017). Metabolism and metabolomics of ketamine: a toxicological approach. Taylor & Francis Group.,BE0002638
T466,,Ricardo Jorge Dinis-Oliveira (2017). Metabolism and metabolomics of ketamine: a toxicological approach. Taylor & Francis Group.,BE0003536
T466,,Ricardo Jorge Dinis-Oliveira (2017). Metabolism and metabolomics of ketamine: a toxicological approach. Taylor & Francis Group.,BE0002793
T213,,Parakh R. and Patil N. (2017). International Journal of Research in Medical Sciences. MSJ Online.,BE0002638
T49,,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,BE0002363
T49,,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,BE0002638
T53,,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,BE0003679
T348,,"Bertil F. Fredholm (2011). Handbook of Experimental Pharmacology, Volume 200. Springer.",BE0002433
T269,0-444-82406-5,Griffin J. and D'Arcy P. (1997). A manual of adverse drug interactions (5th ed.). Elsevier.,BE0002180
T244,,"Coleman J., Cox A. and Cowley N. (2011). Side Effects of Drugs Annual. Elsevier.",BE0002433
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
