action,parent_id
cleavage,BE0004836
cleavage,BE0000928
antibody,BE0000083
other/unknown,BE0000568
other/unknown,BE0004822
binder,BE0000379
inhibitor,BE0002143
inhibitor,BE0001014
binder,BE0001014
binder,BE0001399
inhibitor,BE0000719
agonist,BE0000165
antibody,BE0000516
antibody,BE0009967
inhibitor,BE0000598
antagonist,BE0003573
binder,BE0000846
stimulator,BE0000793
other/unknown,BE0000394
ligand,BE0001021
ligand,BE0000333
cofactor,BE0000016
ligand,BE0004830
agonist,BE0010008
agonist,BE0000844
binder,BE0000751
antibody,BE0000590
other/unknown,BE0000107
cofactor,BE0000102
cofactor,BE0000378
cofactor,BE0000323
cofactor,BE0000392
cofactor,BE0000331
cofactor,BE0000151
activator,BE0000529
cofactor,BE0000424
cofactor,BE0000404
cofactor,BE0000727
inhibitor,BE0000253
cofactor,BE0000181
cofactor,BE0000778
cofactor,BE0000692
cofactor,BE0000273
cofactor,BE0000007
cofactor,BE0000660
cofactor,BE0000079
cofactor,BE0000002
cofactor,BE0000448
cofactor,BE0000164
cofactor,BE0000518
cofactor,BE0000618
cofactor,BE0000667
cofactor,BE0000603
cofactor,BE0000409
cofactor,BE0000316
cofactor,BE0000278
cofactor,BE0000441
cofactor,BE0000791
cofactor,BE0000517
cofactor,BE0000721
binder,BE0002149
cofactor,BE0000383
cofactor,BE0002150
cofactor,BE0000916
cofactor,BE0002151
cofactor,BE0002152
cofactor,BE0002154
cofactor,BE0002155
cofactor,BE0002156
cofactor,BE0002158
cofactor,BE0002159
cofactor,BE0002160
cofactor,BE0002162
cofactor,BE0002163
cofactor,BE0004605
cofactor,BE0004612
cofactor,BE0002164
cofactor,BE0002165
cofactor,BE0000292
cofactor,BE0000898
cofactor,BE0002166
cofactor,BE0002167
cofactor,BE0002168
cofactor,BE0002170
cofactor,BE0000388
cofactor,BE0002171
cofactor,BE0002172
cofactor,BE0002173
cofactor,BE0002174
cofactor,BE0000734
cofactor,BE0000777
cofactor,BE0000763
binder,BE0000320
cofactor,BE0002175
cofactor,BE0002176
cofactor,BE0000617
cofactor,BE0000268
cofactor,BE0000010
cofactor,BE0000933
cofactor,BE0000822
cofactor,BE0001240
cofactor,BE0002177
cofactor,BE0000372
cofactor,BE0000101
cofactor,BE0000304
activator,BE0000323
cofactor,BE0000407
cofactor,BE0002089
binder,BE0000614
cofactor,BE0000544
substrate,BE0000159
cofactor,BE0000072
cofactor,BE0000702
cofactor,BE0000445
cofactor,BE0000698
cofactor,BE0000492
cofactor,BE0000626
product of,BE0000494
product of,BE0000426
product of,BE0000615
product of,BE0002179
product of,BE0002180
product of,BE0002181
product of,BE0002186
inhibitor,BE0001361
cleavage,BE0004796
substrate,BE0001225
cofactor,BE0002192
cofactor,BE0002117
cofactor,BE0002195
cofactor,BE0002197
cofactor,BE0000138
cofactor,BE0002200
cofactor,BE0002202
cofactor,BE0002206
cofactor,BE0002208
cofactor,BE0000060
cofactor,BE0002210
cofactor,BE0002203
activator,BE0002205
activator,BE0002213
cofactor,BE0002215
cofactor,BE0000087
cofactor,BE0002221
cofactor,BE0002223
chaperone,BE0002217
chaperone,BE0002211
chaperone,BE0002219
ligand,BE0000964
ligand,BE0000566
binder,BE0004796
product of,BE0000404
substrate,BE0000219
substrate,BE0002225
substrate,BE0009692
antagonist,BE0000874
substrate,BE0000874
substrate,BE0000374
product of,BE0002240
activator,BE0000958
component of,BE0004796
product of,BE0000487
activator,BE0000007
activator,BE0000254
product of,BE0001473
product of,BE0001287
product of,BE0000350
activator,BE0000677
product of,BE0000269
product of,BE0000639
antagonist,BE0002431
inhibitory allosteric modulator,BE0002431
product of,BE0003540
activator,BE0004907
ligand,BE0000888
ligand,BE0002246
inhibitor,BE0001023
agonist,BE0001777
substrate,BE0009936
substrate,BE0009375
product of,BE0000763
product of,BE0000734
product of,BE0001534
product of,BE0000845
product of,BE0002249
antagonist,BE0000779
inhibitor,BE0000152
ligand,BE0000370
other,BE0003327
product of,BE0000595
activator,BE0000391
substrate,BE0000166
substrate,BE0000755
substrate,BE0002152
product of,BE0002152
product of,BE0002244
substrate,BE0002166
product of,BE0002166
cofactor,BE0001135
cofactor,BE0002286
cofactor,BE0002289
cofactor,BE0000816
cofactor,BE0000817
cofactor,BE0000820
cofactor,BE0000821
substrate,BE0000518
substrate,BE0000409
substrate,BE0000898
substrate,BE0000998
antagonist,BE0000760
substrate,BE0002303
substrate,BE0002304
substrate,BE0000185
agonist,BE0000454
product of,BE0002154
substrate,BE0002305
product of,BE0000292
substrate,BE0002306
substrate,BE0002307
product of,BE0000102
product of,BE0002309
substrate,BE0000534
ligand,BE0000433
substrate,BE0000316
ligand,BE0000055
product of,BE0000331
ligand,BE0000414
ligand,BE0000745
substrate,BE0000372
substrate,BE0000347
agonist,BE0000779
ligand,BE0000714
ligand,BE0000171
ligand,BE0000082
ligand,BE0000410
product of,BE0000567
inhibitor,BE0002311
inhibitor,BE0001343
inhibitor,BE0000228
substrate,BE0000529
substrate,BE0000383
substrate,BE0000701
substrate,BE0002312
substrate,BE0000157
inducer,BE0004902
inhibitor,BE0000017
product of,BE0002313
binder,BE0000655
binder,BE0000196
binder,BE0000503
binder,BE0000652
binder,BE0000271
inhibitor,BE0000262
agonist,BE0000215
agonist,BE0001007
agonist,BE0000888
inducer,BE0000996
agonist,BE0000688
inhibitor,BE0000986
inducer,BE0001023
substrate,BE0000726
substrate,BE0002319
substrate,BE0000583
substrate,BE0002320
substrate,BE0002321
substrate,BE0000032
substrate,BE0002322
substrate,BE0002323
substrate,BE0000900
substrate,BE0000570
substrate,BE0000593
substrate,BE0000513
substrate,BE0000554
ligand,BE0005056
ligand,BE0009878
ligand,BE0000042
agonist,BE0000395
cofactor,BE0000403
cofactor,BE0000713
cofactor,BE0002329
activator,BE0000048
activator,BE0000364
activator,BE0000380
activator,BE0000943
agonist,BE0000724
inhibitor,BE0000435
inhibitor,BE0000014
cofactor,BE0001195
binder,BE0002332
substrate,BE0002230
inhibitor,BE0009976
inhibitor,BE0000574
inhibitor,BE0002366
inhibitor,BE0000749
antagonist,BE0000062
inhibitor,BE0000221
inhibitor,BE0000248
agonist,BE0000794
agonist,BE0000217
agonist,BE0002340
inhibitor,BE0000118
negative modulator,BE0000647
agonist,BE0000867
agonist,BE0001044
stimulator,BE0000486
agonist,BE0004888
agonist,BE0004872
binder,BE0000756
inhibitor,BE0002196
binder,BE0000749
inhibitor,BE0004909
agonist,BE0001158
agonist,BE0000849
agonist,BE0002341
agonist,BE0000850
agonist,BE0000738
agonist,BE0003585
agonist,BE0003586
agonist,BE0003587
agonist,BE0002343
agonist,BE0000411
agonist,BE0003588
agonist,BE0003584
inhibitor,BE0002090
inhibitor,BE0000519
agonist,BE0000045
agonist,BE0000092
positive allosteric modulator,BE0004797
ligand,BE0008668
antagonist,BE0000172
inhibitor,BE0002348
inhibitor,BE0002347
inhibitor,BE0002151
inhibitor,BE0000486
inhibitor,BE0000647
antagonist,BE0002198
antagonist,BE0002196
inhibitor,BE0003476
inhibitor,BE0000197
agonist,BE0000770
antagonist,BE0000533
agonist,BE0000632
agonist,BE0000420
antagonist,BE0003438
antagonist,BE0000045
antagonist,BE0000092
inhibitor,BE0000384
inhibitor,BE0002081
agonist,BE0001023
inhibitor,BE0004956
stimulator,BE0000013
stimulator,BE0004864
inhibitor,BE0000308
inducer,BE0004499
inducer,BE0000458
antagonist,BE0000694
inhibitor,BE0000233
inhibitor,BE0000996
antagonist,BE0000240
inhibitor,BE0001204
inverse agonist,BE0002088
inverse agonist,BE0003722
inhibitor,BE0000584
inhibitor,BE0000914
inhibitor,BE0003200
inhibitor,BE0004800
agonist,BE0003521
inhibitor,BE0000090
other/unknown,BE0000320
other,BE0000238
other,BE0000340
other,BE0000936
other/unknown,BE0002175
antagonist,BE0000013
multitarget,BE0000013
inhibitor,BE0000487
antagonist,BE0000924
multitarget,BE0000924
inhibitor,BE0004922
inhibitor,BE0002385
inhibitor,BE0002406
inhibitor,BE0002379
inhibitor,BE0002407
inhibitor,BE0004914
inhibitor,BE0004874
antagonist,BE0000241
antagonist,BE0000354
inhibitor,BE0009789
agonist,BE0003438
agonist,BE0000560
inhibitor,BE0000182
inhibitor,BE0003556
inhibitor,BE0003557
inhibitor,BE0000210
inhibitor,BE0001131
inhibitor,BE0000330
inhibitor,BE0000563
inhibitor,BE0004674
inhibitor,BE0001092
antagonist,BE0000110
agonist,BE0000206
agonist,BE0000144
agonist,BE0000078
agonist,BE0000707
agonist,BE0000412
antagonist,BE0001040
antagonist,BE0001164
inhibitor,BE0000529
agonist,BE0000501
agonist,BE0000575
agonist,BE0000715
inhibitor,BE0000270
inhibitor,BE0000349
inhibitor,BE0000766
inhibitor,BE0000502
inhibitor,BE0000281
binder,BE0000442
agonist,BE0000659
agonist,BE0000797
agonist,BE0000460
agonist,BE0000291
agonist,BE0004864
inhibitor,BE0000644
antagonist,BE0004872
inhibitor,BE0000429
inhibitor,BE0000366
inhibitor,BE0000742
inhibitor,BE0000664
agonist,BE0000172
agonist,BE0000694
inhibitor,BE0000708
inducer,BE0000207
inhibitor,BE0004854
partial agonist,BE0000486
inhibitory allosteric modulator,BE0000516
other,BE0002366
potentiator,BE0004797
inhibitor,BE0009847
activator,BE0009847
inhibitor,BE0000218
antagonist,BE0004852
inhibitor,BE0003888
stimulator,BE0003888
inhibitor,BE0004902
activator,BE0004902
potentiator,BE0000433
inducer,BE0000576
inhibitor,BE0000267
inhibitor,BE0000322
inhibitor,BE0000535
inhibitor,BE0004655
unknown,BE0003768
inhibitor,BE0000436
cross-linking/alkylation,BE0004796
inhibitor,BE0009927
antagonist,BE0000640
antagonist,BE0000829
antagonist,BE0000831
antagonist,BE0000830
antagonist,BE0000346
antagonist,BE0000826
antagonist,BE0000832
antagonist,BE0000827
antagonist,BE0000828
inhibitor,BE0004136
inhibitor,BE0004668
partial agonist,BE0000956
potentiator,BE0000795
potentiator,BE0000381
potentiator,BE0000523
potentiator,BE0000478
potentiator,BE0000471
potentiator,BE0000764
antagonist,BE0000849
antagonist,BE0002341
inhibitor,BE0000325
inhibitor,BE0002450
inhibitor,BE0003613
other/unknown,BE0004796
inhibitor,BE0000546
inhibitor,BE0003614
inhibitor,BE0003615
inhibitor,BE0003617
inhibitor,BE0003616
inducer,BE0000250
inhibitor,BE0004901
inhibitor,BE0009631
inhibitor,BE0009739
antagonist,BE0004863
other/unknown,BE0009632
inhibitor,BE0001154
antagonist,BE0000442
antagonist,BE0000756
antagonist,BE0000020
antagonist,BE0000145
antagonist,BE0000451
antagonist,BE0000581
antagonist,BE0000389
antagonist,BE0000797
antagonist,BE0000659
antagonist,BE0000476
antagonist,BE0000945
antagonist,BE0000650
antagonist,BE0000501
antagonist,BE0000575
antagonist,BE0000289
antagonist,BE0000572
antagonist,BE0000342
antagonist,BE0000560
antagonist,BE0000405
antagonist,BE0000247
antagonist,BE0009860
antagonist,BE0004688
antagonist,BE0000393
binder,BE0000797
binder,BE0000460
binder,BE0000476
agonist,BE0000756
agonist,BE0000393
agonist,BE0000581
agonist,BE0000451
agonist,BE0000389
agonist,BE0000145
agonist,BE0000020
agonist,BE0000533
binder,BE0000501
binder,BE0000575
binder,BE0000715
binder,BE0000172
binder,BE0000694
agonist,BE0004889
other,BE0004796
unknown,BE0000458
inhibitor,BE0002087
inhibitor,BE0002086
antagonist,BE0000233
inhibitor,BE0000141
inhibitor,BE0008715
inhibitor,BE0002084
binder,BE0004799
agonist,BE0000123
agonist,BE0002088
agonist,BE0000792
antagonist,BE0000132
inhibitor,BE0000019
inhibitor,BE0000415
activator,BE0000956
partial agonist,BE0000635
inhibitor,BE0004803
binder,BE0004815
inhibitor,BE0000803
inhibitor,BE0000733
inhibitor,BE0000806
inhibitor,BE0000648
other/unknown,BE0004810
inhibitor,BE0000713
inhibitor,BE0001184
inhibitor,BE0001185
inhibitor,BE0000576
inhibitor,BE0002393
antagonist,BE0004888
inhibitor,BE0000430
inhibitor,BE0000691
inhibitor,BE0002354
inhibitor,BE0000864
inhibitor,BE0002396
inhibitor,BE0002359
inhibitor,BE0002355
agonist,BE0000112
agonist,BE0000795
inhibitor,BE0009738
antagonist,BE0009793
inhibitor,BE0003625
antagonist,BE0009739
antagonist,BE0008718
inhibitor,BE0003577
inhibitor,BE0000588
inhibitor,BE0000488
inhibitor,BE0002063
inhibitor,BE0003685
intercalation,BE0004796
inhibitor,BE0001133
activator,BE0002366
agonist,BE0000687
agonist,BE0000315
antagonist,BE0009045
inhibitor,BE0003603
inhibitor,BE0003604
inhibitor,BE0000177
inhibitor,BE0001143
inhibitor,BE0000776
antagonist,BE0004801
inhibitor,BE0003570
cleavage,BE0001162
cleavage,BE0009991
inhibitor,BE0000837
inhibitor,BE0002639
inhibitor,BE0000876
inhibitor,BE0001176
agonist,BE0000610
agonist,BE0000422
blocker,BE0004956
inhibitor,BE0001028
partial agonist,BE0000632
inhibitor,BE0000199
inhibitor,BE0000167
agonist,BE0000572
inhibitor,BE0000324
antagonist,BE0000700
agonist,BE0000557
activator,BE0004024
other/unknown,BE0000064
antagonist,BE0000715
inducer,BE0000514
inhibitor,BE0000312
inhibitor,BE0000211
inhibitor,BE0000103
inhibitor,BE0003579
inhibitor,BE0000001
inhibitor,BE0000744
activator,BE0000430
activator,BE0000303
activator,BE0000691
activator,BE0000679
inhibitor,BE0000154
inhibitor,BE0000680
inhibitor,BE0000462
inhibitor,BE0000699
inhibitor,BE0000026
inhibitor,BE0003629
antagonist,BE0004956
inhibitor,BE0000573
inhibitor,BE0000881
inhibitor,BE0000162
inhibitor,BE0009727
agonist,BE0000476
agonist,BE0000650
inhibitor,BE0002480
activator,BE0001023
inhibitor,BE0004643
inhibitor,BE0003624
inhibitor,BE0004644
inhibitor,BE0004335
agonist,BE0000289
inhibitor,BE0000291
inducer,BE0000291
agonist,BE0001039
activator,BE0001039
agonist,BE0003605
inhibitor,BE0000501
inhibitor,BE0000897
inhibitor,BE0000781
blocker,BE0000112
binder,BE0000146
agonist,BE0000156
binder,BE0000659
binder,BE0000770
inhibitor,BE0002398
antagonist,BE0004882
ligand,BE0004890
blocker,BE0009629
inhibitor,BE0002089
agonist,BE0000556
partial agonist,BE0000420
inhibitor,BE0001640
inhibitor,BE0003560
activator,BE0000215
inhibitor,BE0000962
other/unknown,BE0003561
agonist,BE0000071
inhibitor,BE0000592
inhibitor,BE0000591
inhibitor,BE0000122
inhibitor,BE0000034
inducer,BE0000254
inhibitor,BE0003887
inhibitor,BE0000208
antagonist,BE0000311
antagonist,BE0003585
antagonist,BE0000850
antagonist,BE0004889
inhibitor,BE0004872
inhibitor,BE0004958
inhibitor,BE0008668
inhibitor,BE0000298
potentiator,BE0002386
potentiator,BE0000695
agonist,BE0003721
inhibitor,BE0009744
antagonist,BE0004890
binder,BE0000092
binder,BE0000247
binder,BE0000405
binder,BE0000560
blocker,BE0000679
blocker,BE0000430
inhibitor,BE0000483
inhibitor,BE0000455
inducer,BE0000644
inducer,BE0000017
weak inhibitor,BE0000092
inhibitor,BE0000790
potentiator,BE0001444
inhibitor,BE0003537
antagonist,BE0004805
inhibitor,BE0009993
inhibitor,BE0002360
cofactor,BE0000753
cofactor,BE0000263
cofactor,BE0000614
cofactor,BE0000121
antagonist,BE0000143
inhibitor,BE0000143
inhibitor,BE0004669
antagonist,BE0000291
antagonist,BE0000146
unknown,BE0000666
inhibitor,BE0009737
agonist,BE0001015
inducer,BE0001015
inducer,BE0000953
binder,BE0009672
protector,BE0009672
modulator,BE0000557
inhibitor,BE0000539
other/unknown,BE0000123
binder,BE0000132
inhibitor,BE0000685
binder,BE0000685
binder,BE0000794
agonist,BE0000342
agonist,BE0001012
inhibitor,BE0000753
binder,BE0000118
binder,BE0004674
inhibitor,BE0000343
antagonist,BE0005582
agonist,BE0000381
agonist,BE0000523
agonist,BE0000478
agonist,BE0000471
agonist,BE0000764
agonist,BE0000475
agonist,BE0000110
binder,BE0004809
inhibitor,BE0002226
inhibitor,BE0000303
inhibitor,BE0003563
inhibitor,BE0000973
inhibitor,BE0000012
inhibitor,BE0009351
inhibitor,BE0000426
inhibitor,BE0002180
inhibitor,BE0000497
inhibitor,BE0000190
inhibitor,BE0000024
inhibitor,BE0000495
inhibitor,BE0000507
inhibitor,BE0000732
antagonist,BE0000641
inhibitor,BE0002357
inhibitor,BE0002358
inhibitor,BE0002356
antagonist,BE0000668
activator,BE0000795
modulator,BE0000795
modulator,BE0002346
modulator,BE0000471
modulator,BE0000523
inhibitor,BE0000123
downregulator,BE0000123
agonist,BE0000668
substrate,BE0000344
inhibitor,BE0000344
activator,BE0000632
potentiator,BE0000632
binder,BE0000925
partial agonist,BE0000794
agonist,BE0000132
potentiator,BE0000132
potentiator,BE0000685
downregulator,BE0000792
partial agonist,BE0000020
inhibitor,BE0000634
inhibitor,BE0000036
antagonist,BE0000023
antagonist,BE0000369
antagonist,BE0000147
antagonist,BE0000205
antagonist,BE0000453
inhibitor,BE0002131
inhibitor,BE0002411
inhibitor,BE0000029
binder,BE0004801
inhibitor,BE0000283
other/unknown,BE0004660
inducer,BE0000402
potentiator,BE0000280
agonist,BE0000775
binder,BE0000291
binder,BE0000311
binder,BE0004688
binder,BE0000945
binder,BE0000650
binder,BE0000289
binder,BE0000572
binder,BE0000342
binder,BE0000045
binder,BE0004889
binder,BE0000581
binder,BE0000389
binder,BE0000145
binder,BE0000112
binder,BE0000486
binder,BE0000647
other/unknown,BE0000451
antagonist,BE0000156
inhibitor,BE0000804
inhibitor,BE0004290
antagonist,BE0000738
inhibitor,BE0003618
inhibitor,BE0000477
antagonist,BE0000794
antagonist,BE0003542
antagonist,BE0000344
antagonist,BE0004887
agonist,BE0003592
ligand,BE0001045
antagonist,BE0004258
agonist,BE0000064
inhibitor,BE0003686
inhibitor,BE0003687
antagonist,BE0002344
antagonist,BE0000433
antagonist,BE0000745
antagonist,BE0000414
antagonist,BE0000055
antagonist,BE0004864
inducer,BE0003578
inhibitor,BE0000419
inducer,BE0000553
inhibitor,BE0002204
inhibitor,BE0004648
inhibitor,BE0004649
inhibitor,BE0002010
inhibitor,BE0000637
inhibitor,BE0004650
antagonist,BE0001544
other,BE0000929
substrate,BE0002180
inhibitor,BE0004799
inhibitor,BE0000279
antagonist,BE0000919
inhibitor,BE0000127
antagonist,BE0000365
antagonist,BE0000417
antagonist,BE0000454
antagonist,BE0000396
binder,BE0004890
binding,BE0000749
antagonist,BE0000090
inhibitor,BE0001349
potentiator,BE0001358
binder,BE0000533
activator,BE0000291
agonist,BE0000663
agonist,BE0000301
inhibitor,BE0000380
inhibitor,BE0000943
antagonist,BE0000129
antagonist,BE0000795
other,BE0000866
agonist,BE0000061
agonist,BE0000095
antagonist,BE0000705
other/unknown,BE0000248
antagonist,BE0003584
inhibitor,BE0004889
inhibitor,BE0000581
inhibitor,BE0000145
binder,BE0004881
inhibitor,BE0004863
inhibitor,BE0004864
inhibitor,BE0000418
binder,BE0004879
other/unknown,BE0000630
inhibitor,BE0004755
inhibitor,BE0003517
antagonist,BE0003403
negative modulator,BE0000262
inhibitor,BE0001193
inhibitor,BE0009698
inhibitor,BE0009126
partial agonist,BE0000095
partial agonist,BE0000061
inhibitor,BE0004950
partial agonist,BE0000291
partial agonist,BE0004863
antagonist,BE0000837
antagonist,BE0000876
antagonist,BE0004698
antagonist,BE0004699
inhibitor,BE0002449
antagonist,BE0000112
inverse agonist,BE0000581
partial agonist,BE0000770
antagonist,BE0002674
inhibitor,BE0002674
ligand,BE0004826
antagonist,BE0001088
other,BE0001283
agonist,BE0000290
binder,BE0004896
inhibitor,BE0004904
inhibitor,BE0001340
inhibitor,BE0004789
inhibitor,BE0001367
inhibitor,BE0001487
partial agonist,BE0000172
ligand,BE0002128
inhibitor,BE0004670
inhibitor,BE0000679
agonist,BE0000956
other/unknown,BE0001046
inducer,BE0000502
inhibitor,BE0003621
inhibitor,BE0003622
inhibitor,BE0001075
inhibitor,BE0009685
inhibitor,BE0000133
modulator,BE0000123
downregulator,BE0000533
binder,BE0004897
inhibitor,BE0001391
binder,BE0004797
other/unknown,BE0000324
incorporation into and destabilization,BE0004796
incorporation into and destabilization,BE0004810
antagonist,BE0000426
antagonist,BE0002180
inhibitor,BE0000474
inhibitor,BE0003610
inhibitor,BE0000585
inhibitor,BE0000252
inhibitor,BE0000498
inhibitor,BE0000334
inhibitor,BE0001198
inhibitor,BE0002214
inhibitor,BE0009609
inhibitor,BE0000013
inhibitor,BE0000924
inhibitor,BE0000289
inhibitor,BE0000172
inhibitor,BE0000756
antagonist,BE0004797
inducer,BE0004797
inhibitor,BE0000632
inhibitor,BE0004661
inhibitor,BE0000451
inhibitor,BE0000311
inhibitor,BE0000640
inverse agonist,BE0000442
inhibitor,BE0000057
inhibitor,BE0003527
antagonist,BE0000521
antagonist,BE0000043
adduct,BE0004799
adduct,BE0000127
adduct,BE0000279
adduct,BE0003709
adduct,BE0003708
adduct,BE0003710
inhibitor,BE0003582
inhibitor,BE0003583
inhibitor,BE0002437
inhibitor,BE0001653
inhibitor,BE0009965
inhibitor,BE0001240
chelator,BE0004808
chelator,BE0004814
chelator,BE0004802
chelator,BE0004813
other/unknown,BE0000756
inhibitor,BE0000216
adduct,BE0001340
adduct,BE0000143
adduct,BE0003711
adduct,BE0003713
adduct,BE0003712
other/unknown,BE0001040
antagonist,BE0001012
other/unknown,BE0000291
other/unknown,BE0000797
activator,BE0000071
substrate,BE0000458
inhibitor,BE0004840
other,BE0000116
activator,BE0000406
inhibitor,BE0000657
other/unknown,BE0000289
other/unknown,BE0000572
other/unknown,BE0000342
inhibitor,BE0009629
inducer,BE0000422
inducer,BE0001170
inducer,BE0003201
inducer,BE0008969
inducer,BE0004149
agonist,BE0002345
inhibitor,BE0000351
inhibitor,BE0000678
inhibitor,BE0000353
inhibitor,BE0000752
inhibitor,BE0000895
inhibitor,BE0002194
agonist,BE0000414
inhibitor,BE0001032
inhibitor,BE0004797
agonist,BE0000084
agonist,BE0000311
inhibitor,BE0000747
inhibitor,BE0001062
negative modulator,BE0001007
antagonist,BE0003561
inhibitor,BE0004353
inhibitor,BE0000229
inhibitor,BE0009094
inhibitor,BE0002189
inhibitor,BE0001171
inhibitor,BE0002659
inhibitor,BE0003428
inhibitor,BE0000807
modulator,BE0000982
adduct,BE0000332
other/unknown,BE0000466
partial antagonist,BE0000770
adduct,BE0004805
inhibitor,BE0002436
inhibitor,BE0000461
inhibitor,BE0000257
inhibitor,BE0003707
other/unknown,BE0001120
other/unknown,BE0001165
inhibitor,BE0000266
suppressor,BE0000012
inhibitor,BE0009998
inhibitor,BE0000293
inhibitor,BE0004743
multitarget,BE0000453
inhibitor,BE0001104
antagonist,BE0001039
antagonist,BE0000853
antagonist,BE0000852
antagonist,BE0001124
inhibitor,BE0003565
inhibitor,BE0003323
other/unknown,BE0000418
ligand,BE0000668
antagonist,BE0004829
inhibitor,BE0001183
inhibitor,BE0000910
agonist,BE0000836
agonist,BE0000635
binder,BE0000526
binder,BE0000783
inhibitor,BE0000980
inhibitor,BE0003567
inhibitor,BE0003568
inhibitor,BE0003569
intercalation,BE0000594
intercalation,BE0000712
inhibitor,BE0004657
inhibitor,BE0004658
binder,BE0002352
other,BE0004803
agonist,BE0000924
agonist,BE0000241
agonist,BE0000354
agonist,BE0000013
inhibitor,BE0000882
agonist,BE0000472
binder,BE0004803
antagonist,BE0000632
inducer,BE0000731
unknown,BE0000242
inhibitor,BE0002353
inhibitor,BE0001287
antagonist,BE0000770
blocker,BE0008715
inactivator,BE0008715
partial agonist,BE0004882
positive modulator,BE0004797
antagonist,BE0001192
inhibitor,BE0000356
unknown,BE0000749
antagonist,BE0000704
agonist,BE0000704
inhibitor,BE0000207
antagonist,BE0000384
allosteric modulator,BE0002341
allosteric modulator,BE0010000
antagonist,BE0000123
antagonist,BE0000792
inhibitor,BE0004877
inhibitor,BE0004895
inducer,BE0000685
modulator,BE0003790
antagonist,BE0001015
antagonist,BE0000689
inhibitor,BE0000326
inhibitor,BE0000761
inducer,BE0000761
inhibitor,BE0000722
inhibitor,BE0004520
antagonist,BE0000488
other,BE0003837
inhibitor,BE0002425
agonist,BE0005562
partial agonist,BE0000501
partial agonist,BE0000575
partial agonist,BE0000715
partial agonist,BE0000289
agonist,BE0003580
agonist,BE0004863
potentiator,BE0002361
potentiator,BE0000621
inhibitor,BE0000158
antagonist,BE0000420
antagonist,BE0000290
other/unknown,BE0000499
adduct,BE0004796
inhibitor,BE0000555
binder,BE0004863
binder,BE0004864
inhibitor,BE0000442
inhibitor,BE0004890
other/unknown,BE0004889
suppressor,BE0000705
antagonist,BE0000099
antagonist,BE0000995
unknown,BE0000296
other,BE0000312
inhibitor,BE0000599
inhibitor,BE0000709
inhibitor,BE0000624
blocker,BE0004906
inhibitor,BE0009743
inhibitor,BE0000892
inhibitor,BE0009880
agonist,BE0000155
agonist,BE0003518
desensitize the target,BE0000289
binder,BE0004872
binder,BE0004882
inhibitor,BE0000548
activator,BE0000426
activator,BE0002180
antagonist,BE0004915
inhibitor,BE0000577
inverse agonist,BE0003848
other,BE0002517
inducer,BE0000030
chelator,BE0004807
chelator,BE0004818
other,BE0000412
unknown,BE0000501
unknown,BE0000289
inhibitor,BE0002198
agonist,BE0000433
inducer,BE0000781
unknown,BE0000484
agonist,BE0000653
inhibitor,BE0000114
inhibitor,BE0002252
inhibitor,BE0000180
inhibitor,BE0004653
