group,drugbank-id
approved,DB00514
approved,DB00515
approved,DB00516
approved,DB00517
approved,DB00518
vet_approved,DB00518
approved,DB00519
approved,DB00520
approved,DB00521
investigational,DB00522
withdrawn,DB00522
approved,DB00523
investigational,DB00523
approved,DB00524
approved,DB00525
investigational,DB00525
vet_approved,DB00525
approved,DB00526
investigational,DB00526
approved,DB00527
vet_approved,DB00527
approved,DB00528
investigational,DB00528
approved,DB00529
approved,DB00530
investigational,DB00530
approved,DB00531
investigational,DB00531
approved,DB00532
investigational,DB00532
withdrawn,DB00532
approved,DB00533
investigational,DB00533
withdrawn,DB00533
approved,DB00534
withdrawn,DB00534
approved,DB00535
approved,DB00536
approved,DB00537
investigational,DB00537
approved,DB00538
investigational,DB00538
approved,DB00539
investigational,DB00539
approved,DB00540
approved,DB00541
investigational,DB00541
approved,DB00542
investigational,DB00542
approved,DB00543
approved,DB00544
approved,DB00545
investigational,DB00545
experimental,DB00546
approved,DB00547
approved,DB00548
approved,DB00549
investigational,DB00549
approved,DB00550
investigational,DB00550
approved,DB00551
approved,DB00552
investigational,DB00552
approved,DB00553
approved,DB00554
investigational,DB00554
approved,DB00555
investigational,DB00555
approved,DB00556
approved,DB00557
approved,DB00558
investigational,DB00558
approved,DB00559
investigational,DB00559
approved,DB00560
approved,DB00561
vet_approved,DB00561
approved,DB00562
approved,DB00563
approved,DB00564
investigational,DB00564
approved,DB00565
approved,DB00566
approved,DB00567
investigational,DB00567
vet_approved,DB00567
approved,DB00568
investigational,DB00568
approved,DB00569
investigational,DB00569
approved,DB00570
approved,DB00571
investigational,DB00571
approved,DB00572
vet_approved,DB00572
approved,DB00573
approved,DB00574
illicit,DB00574
investigational,DB00574
withdrawn,DB00574
approved,DB00575
approved,DB00576
investigational,DB00576
vet_approved,DB00576
approved,DB00577
investigational,DB00577
approved,DB00578
investigational,DB00578
approved,DB00579
investigational,DB00579
approved,DB00580
investigational,DB00580
withdrawn,DB00580
approved,DB00581
approved,DB00582
approved,DB00583
investigational,DB00583
approved,DB00584
vet_approved,DB00584
approved,DB00585
approved,DB00586
vet_approved,DB00586
experimental,DB00587
approved,DB00588
approved,DB00589
investigational,DB00589
approved,DB00590
approved,DB00591
investigational,DB00591
vet_approved,DB00591
approved,DB00592
vet_approved,DB00592
approved,DB00593
approved,DB00594
approved,DB00595
investigational,DB00595
vet_approved,DB00595
approved,DB00596
approved,DB00597
investigational,DB00597
approved,DB00598
approved,DB00599
vet_approved,DB00599
approved,DB00600
approved,DB00601
investigational,DB00601
approved,DB00602
investigational,DB00602
vet_approved,DB00602
approved,DB00603
investigational,DB00603
approved,DB00604
investigational,DB00604
withdrawn,DB00604
approved,DB00605
investigational,DB00605
approved,DB00606
approved,DB00607
investigational,DB00607
approved,DB00608
investigational,DB00608
vet_approved,DB00608
approved,DB00609
approved,DB00610
investigational,DB00610
approved,DB00611
illicit,DB00611
vet_approved,DB00611
approved,DB00612
approved,DB00613
investigational,DB00613
experimental,DB00614
vet_approved,DB00614
approved,DB00615
investigational,DB00615
experimental,DB00616
approved,DB00617
approved,DB00618
approved,DB00619
approved,DB00620
vet_approved,DB00620
approved,DB00621
investigational,DB00621
approved,DB00622
investigational,DB00622
approved,DB00623
approved,DB00624
investigational,DB00624
approved,DB00625
investigational,DB00625
approved,DB00626
vet_approved,DB00626
approved,DB00627
investigational,DB00627
nutraceutical,DB00627
approved,DB00628
illicit,DB00628
approved,DB00629
investigational,DB00629
approved,DB00630
approved,DB00631
investigational,DB00631
approved,DB00632
investigational,DB00632
approved,DB00633
vet_approved,DB00633
approved,DB00634
approved,DB00635
vet_approved,DB00635
approved,DB00636
investigational,DB00636
approved,DB00637
withdrawn,DB00637
approved,DB00638
investigational,DB00638
nutraceutical,DB00638
approved,DB00639
approved,DB00640
investigational,DB00640
approved,DB00641
approved,DB00642
investigational,DB00642
approved,DB00643
vet_approved,DB00643
approved,DB00644
investigational,DB00644
vet_approved,DB00644
approved,DB00645
approved,DB00646
vet_approved,DB00646
approved,DB00647
illicit,DB00647
investigational,DB00647
withdrawn,DB00647
approved,DB00648
approved,DB00649
investigational,DB00649
approved,DB00650
approved,DB00651
approved,DB00652
vet_approved,DB00652
approved,DB00653
investigational,DB00653
vet_approved,DB00653
approved,DB00654
investigational,DB00654
approved,DB00655
approved,DB00656
investigational,DB00656
approved,DB00657
investigational,DB00657
approved,DB00658
approved,DB00659
investigational,DB00659
approved,DB00660
approved,DB00661
approved,DB00662
investigational,DB00662
approved,DB00663
vet_approved,DB00663
approved,DB00664
withdrawn,DB00664
approved,DB00665
investigational,DB00665
approved,DB00666
approved,DB00668
vet_approved,DB00668
approved,DB00669
investigational,DB00669
approved,DB00670
approved,DB00671
investigational,DB00671
approved,DB00672
investigational,DB00672
approved,DB00673
investigational,DB00673
approved,DB00674
approved,DB00675
approved,DB00676
approved,DB00677
investigational,DB00677
withdrawn,DB00677
approved,DB00678
approved,DB00679
withdrawn,DB00679
approved,DB00680
investigational,DB00680
withdrawn,DB00680
approved,DB00681
investigational,DB00681
approved,DB00682
approved,DB00683
illicit,DB00683
approved,DB00684
investigational,DB00684
approved,DB00685
investigational,DB00685
withdrawn,DB00685
approved,DB00686
approved,DB00687
investigational,DB00687
approved,DB00688
investigational,DB00688
approved,DB00689
approved,DB00690
illicit,DB00690
investigational,DB00690
approved,DB00691
approved,DB00692
approved,DB00693
approved,DB00694
approved,DB00695
vet_approved,DB00695
approved,DB00696
approved,DB00697
investigational,DB00697
approved,DB00698
vet_approved,DB00698
approved,DB00699
investigational,DB00699
approved,DB00700
approved,DB00701
investigational,DB00701
approved,DB00702
investigational,DB00702
approved,DB00703
approved,DB00704
investigational,DB00704
vet_approved,DB00704
approved,DB00705
approved,DB00706
investigational,DB00706
approved,DB00707
investigational,DB00707
approved,DB00708
investigational,DB00708
approved,DB00709
investigational,DB00709
approved,DB00710
investigational,DB00710
approved,DB00711
investigational,DB00711
vet_approved,DB00711
approved,DB00712
investigational,DB00712
approved,DB00713
investigational,DB00713
approved,DB00714
investigational,DB00714
approved,DB00715
investigational,DB00715
approved,DB00716
investigational,DB00716
approved,DB00717
approved,DB00718
investigational,DB00718
approved,DB00719
approved,DB00720
investigational,DB00720
vet_approved,DB00720
approved,DB00721
investigational,DB00721
vet_approved,DB00721
approved,DB00722
investigational,DB00722
approved,DB00723
investigational,DB00723
approved,DB00724
investigational,DB00724
approved,DB00725
approved,DB00726
approved,DB00727
investigational,DB00727
approved,DB00728
approved,DB00730
vet_approved,DB00730
approved,DB00731
investigational,DB00731
approved,DB00732
approved,DB00733
vet_approved,DB00733
approved,DB00734
investigational,DB00734
approved,DB00735
approved,DB00736
investigational,DB00736
approved,DB00737
approved,DB00738
investigational,DB00738
approved,DB00739
vet_approved,DB00739
withdrawn,DB00739
approved,DB00740
investigational,DB00740
approved,DB00741
vet_approved,DB00741
approved,DB00742
investigational,DB00742
approved,DB00743
investigational,DB00743
approved,DB00744
investigational,DB00744
withdrawn,DB00744
approved,DB00745
investigational,DB00745
approved,DB00746
investigational,DB00746
approved,DB00747
investigational,DB00747
approved,DB00748
approved,DB00749
investigational,DB00749
vet_approved,DB00749
approved,DB00750
approved,DB00751
investigational,DB00751
approved,DB00752
investigational,DB00752
approved,DB00753
vet_approved,DB00753
approved,DB00754
approved,DB00755
investigational,DB00755
nutraceutical,DB00755
approved,DB00756
withdrawn,DB00756
approved,DB00757
investigational,DB00757
approved,DB00758
approved,DB00759
vet_approved,DB00759
approved,DB00760
investigational,DB00760
approved,DB00761
withdrawn,DB00761
approved,DB00762
investigational,DB00762
approved,DB00763
experimental,DB00764
approved,DB00765
approved,DB00766
vet_approved,DB00766
withdrawn,DB00767
approved,DB00768
approved,DB00769
approved,DB00770
investigational,DB00770
approved,DB00771
approved,DB00772
investigational,DB00772
approved,DB00773
approved,DB00774
investigational,DB00774
withdrawn,DB00774
approved,DB00775
approved,DB00776
approved,DB00777
approved,DB00778
investigational,DB00778
withdrawn,DB00778
approved,DB00779
investigational,DB00779
approved,DB00780
approved,DB00782
approved,DB00783
investigational,DB00783
vet_approved,DB00783
approved,DB00784
approved,DB00785
investigational,DB00786
approved,DB00787
approved,DB00788
vet_approved,DB00788
approved,DB00789
approved,DB00790
approved,DB00791
approved,DB00792
vet_approved,DB00792
approved,DB00793
withdrawn,DB00793
approved,DB00794
vet_approved,DB00794
approved,DB00795
approved,DB00796
approved,DB00797
vet_approved,DB00797
approved,DB00798
vet_approved,DB00798
approved,DB00799
investigational,DB00799
approved,DB00800
approved,DB00801
illicit,DB00801
withdrawn,DB00801
approved,DB00802
illicit,DB00802
approved,DB00803
approved,DB00804
approved,DB00805
approved,DB00806
investigational,DB00806
approved,DB00807
vet_approved,DB00807
approved,DB00808
approved,DB00809
investigational,DB00809
approved,DB00810
investigational,DB00810
approved,DB00811
approved,DB00812
vet_approved,DB00812
approved,DB00813
illicit,DB00813
investigational,DB00813
vet_approved,DB00813
approved,DB00814
vet_approved,DB00814
experimental,DB00815
approved,DB00816
approved,DB00817
investigational,DB00817
approved,DB00818
investigational,DB00818
vet_approved,DB00818
approved,DB00819
vet_approved,DB00819
approved,DB00820
investigational,DB00820
approved,DB00821
vet_approved,DB00821
withdrawn,DB00821
approved,DB00822
approved,DB00823
approved,DB00824
experimental,DB00824
approved,DB00825
approved,DB00826
approved,DB00827
investigational,DB00827
withdrawn,DB00827
approved,DB00828
approved,DB00829
illicit,DB00829
investigational,DB00829
vet_approved,DB00829
approved,DB00830
illicit,DB00830
approved,DB00831
investigational,DB00831
approved,DB00832
approved,DB00833
approved,DB00834
investigational,DB00834
approved,DB00835
approved,DB00836
experimental,DB00837
approved,DB00838
approved,DB00839
investigational,DB00839
approved,DB00840
approved,DB00841
approved,DB00842
approved,DB00843
approved,DB00844
approved,DB00845
investigational,DB00845
approved,DB00846
approved,DB00847
investigational,DB00847
approved,DB00848
investigational,DB00848
vet_approved,DB00848
withdrawn,DB00848
approved,DB00849
approved,DB00850
approved,DB00851
investigational,DB00851
approved,DB00852
approved,DB00853
investigational,DB00853
approved,DB00854
approved,DB00855
approved,DB00856
experimental,DB00856
approved,DB00857
investigational,DB00857
vet_approved,DB00857
illicit,DB00858
approved,DB00859
approved,DB00860
vet_approved,DB00860
approved,DB00861
investigational,DB00861
approved,DB00862
approved,DB00863
withdrawn,DB00863
approved,DB00864
investigational,DB00864
approved,DB00865
illicit,DB00865
experimental,DB00866
withdrawn,DB00866
approved,DB00867
investigational,DB00867
approved,DB00868
approved,DB00869
approved,DB00870
withdrawn,DB00870
approved,DB00871
approved,DB00872
investigational,DB00872
approved,DB14596
approved,DB00874
investigational,DB00874
vet_approved,DB00874
approved,DB00875
investigational,DB00875
withdrawn,DB00875
approved,DB00876
approved,DB00877
investigational,DB00877
approved,DB00878
vet_approved,DB00878
approved,DB00879
investigational,DB00879
approved,DB00880
vet_approved,DB00880
approved,DB00881
investigational,DB00881
approved,DB00882
investigational,DB00882
approved,DB00883
investigational,DB00883
approved,DB00884
investigational,DB00884
approved,DB00885
investigational,DB00885
investigational,DB00886
approved,DB00887
approved,DB00888
investigational,DB00888
approved,DB00889
investigational,DB00889
approved,DB00890
investigational,DB00890
approved,DB00891
approved,DB00892
investigational,DB00892
approved,DB00893
vet_approved,DB00893
approved,DB00894
investigational,DB00894
approved,DB00895
approved,DB00896
approved,DB00897
investigational,DB00897
approved,DB00898
approved,DB00899
approved,DB00900
withdrawn,DB00901
approved,DB00902
approved,DB00903
investigational,DB00903
approved,DB00904
approved,DB00905
investigational,DB00905
approved,DB00906
investigational,DB00906
approved,DB00907
illicit,DB00907
approved,DB00908
investigational,DB00908
approved,DB00909
investigational,DB00909
approved,DB00910
investigational,DB00910
approved,DB00911
investigational,DB00911
approved,DB00912
investigational,DB00912
approved,DB00913
illicit,DB00913
approved,DB00914
investigational,DB00914
withdrawn,DB00914
approved,DB00915
approved,DB00916
approved,DB00917
approved,DB00918
investigational,DB00918
approved,DB00919
investigational,DB00919
vet_approved,DB00919
approved,DB00920
approved,DB00921
illicit,DB00921
investigational,DB00921
vet_approved,DB00921
approved,DB00922
investigational,DB00922
approved,DB00923
approved,DB00924
approved,DB00925
withdrawn,DB00926
approved,DB00927
approved,DB00928
investigational,DB00928
approved,DB00929
approved,DB00930
approved,DB00931
investigational,DB00931
approved,DB00932
investigational,DB00932
approved,DB00933
investigational,DB00933
approved,DB00934
investigational,DB00934
approved,DB00935
investigational,DB00935
approved,DB00936
investigational,DB00936
vet_approved,DB00936
approved,DB00937
illicit,DB00937
approved,DB00938
approved,DB00939
vet_approved,DB00939
approved,DB00940
investigational,DB00940
approved,DB00941
approved,DB00942
approved,DB00943
investigational,DB00943
approved,DB00944
approved,DB00945
vet_approved,DB00945
approved,DB00946
investigational,DB00946
approved,DB00947
investigational,DB00947
approved,DB00948
