drug1,drug2,interaction
Magnesium,Peginterferon alfa-2b,The serum concentration of Magnesium can be decreased 
Cortisone,Thyrotropin alfa,The therapeutic efficacy of Thyrotropin alfa can be decreased 
Insulin lispro,Thyrotropin alfa,Thyrotropin alfa may decrease the hypoglycemic activities of Insulin lispro.
Denosumab,Anakinra,The risk or severity of adverse effects can be increased 
Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated),Anakinra,The therapeutic efficacy of Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated) can be decreased 
Lofepramine,Anakinra,The metabolism of Lofepramine can be increased 
Ketorolac,Anakinra,The metabolism of Ketorolac can be increased 
Imatinib,Anakinra,The metabolism of Imatinib can be increased 
Estradiol benzoate,Human immunoglobulin G,Estradiol benzoate may increase the thrombogenic activities of Human immunoglobulin G.
Mavrilimumab,Human immunoglobulin G,The risk or severity of adverse effects can be increased 
Choline magnesium trisalicylate,Anistreplase,The risk or severity of bleeding and hemorrhage can be increased 
Mibolerone,Anistreplase,Mibolerone may increase the anticoagulant activities of Anistreplase.
Alogliptin,Anistreplase,The risk or severity of angioedema can be increased 
Chlorothiazide,Anistreplase,The therapeutic efficacy of Anistreplase can be decreased 
Sitagliptin,Insulin human,Sitagliptin may increase the hypoglycemic activities of Insulin human.
9-Deazaguanine,Insulin human,The metabolism of 9-Deazaguanine can be increased 
Tetrandrine,Insulin human,The risk or severity of hypoglycemia can be increased 
Formononetin,Tenecteplase,Formononetin may decrease the anticoagulant activities of Tenecteplase.
Ticagrelor,Tenecteplase,The risk or severity of bleeding can be increased 
Antithrombin Alfa,Tenecteplase,The risk or severity of bleeding can be increased 
Ceftaroline fosamil,Tenecteplase,The therapeutic efficacy of Tenecteplase can be decreased 
Golimumab,Interferon gamma-1b,The risk or severity of adverse effects can be increased 
Sarpogrelate,Interferon gamma-1b,The risk or severity of bleeding can be increased 
Edoxaban,Interferon gamma-1b,The risk or severity of bleeding can be increased 
Canakinumab,"Interferon alfa-2a, Recombinant",The risk or severity of adverse effects can be increased 
Beraprost,"Interferon alfa-2a, Recombinant",The risk or severity of bleeding can be increased 
Idraparinux,"Interferon alfa-2a, Recombinant",The risk or severity of bleeding can be increased 
Methadone,Desmopressin,The risk or severity of hyponatremia can be increased 
Racepinephrine,Desmopressin,The risk or severity of hypertension can be increased 
Foscarnet,Desmopressin,Foscarnet may decrease the excretion rate of Desmopressin which could result in a higher serum level.
Fenoldopam,Desmopressin,Desmopressin may decrease the excretion rate of Fenoldopam which could result in a higher serum level.
Dextran,Desmopressin,Desmopressin may decrease the excretion rate of Dextran which could result in a higher serum level.
Tranexamic acid,Coagulation factor VIIa Recombinant Human,Tranexamic acid may increase the thrombogenic activities of Coagulation factor VIIa Recombinant Human.
Trastuzumab emtansine,Palifermin,The therapeutic efficacy of Palifermin can be decreased 
Insulin glulisine,Glucagon,The therapeutic efficacy of Insulin glulisine can be decreased 
Eliglustat,Aldesleukin,The metabolism of Eliglustat can be decreased 
Clostridium tetani toxoid antigen (formaldehyde inactivated),Aldesleukin,The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased 
Firocoxib,Aldesleukin,Firocoxib may decrease the excretion rate of Aldesleukin which could result in a higher serum level.
Clonazepam,Aldesleukin,Aldesleukin may decrease the excretion rate of Clonazepam which could result in a higher serum level.
Bismuth subgallate,Aldesleukin,Aldesleukin may decrease the excretion rate of Bismuth subgallate which could result in a higher serum level.
Tedizolid phosphate,Aldesleukin,The risk or severity of myelosuppression can be increased 
