ref-id,isbn,citation,parent_key
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0004864
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0004872
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0000756
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0000442
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0004862
T665,,Justin Evans; Micah Wittler (2019). Amoxicillin Clavulanate. Stat Pearls.,BE0009711
T379,,"Siegel GJ, Agranoff BW, Albers RW et al. (1999). Basic Neurochemistry: Molecular, Cellular and Medical Aspects (6th ed.). Lippincott Williams.",BE0000486
T379,,"Siegel GJ, Agranoff BW, Albers RW et al. (1999). Basic Neurochemistry: Molecular, Cellular and Medical Aspects (6th ed.). Lippincott Williams.",BE0004901
T379,,"Siegel GJ, Agranoff BW, Albers RW et al. (1999). Basic Neurochemistry: Molecular, Cellular and Medical Aspects (6th ed.). Lippincott Williams.",BE0000749
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000691
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T90,,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,BE0009376
T90,,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,BE0004888
T90,,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,BE0004872
T90,,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,BE0004862
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000691
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T689,,Jennifer Dwyer; Chad A. LaGrange (2019). Oxybutinin. StatPearls Publishing.,BE0000045
T689,,Jennifer Dwyer; Chad A. LaGrange (2019). Oxybutinin. StatPearls Publishing.,BE0000560
T689,,Jennifer Dwyer; Chad A. LaGrange (2019). Oxybutinin. StatPearls Publishing.,BE0000092
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T388,,Pagliaro L. and Pagliaro A. (1999). Psychologists' psychotropic drug reference. Taylor and Francis.,BE0000486
T388,,Pagliaro L. and Pagliaro A. (1999). Psychologists' psychotropic drug reference. Taylor and Francis.,BE0000749
T249,9780521683500,Stephen M. Stahl (2006). Essential Psychopharmacology: The Prescriber's Guide: Revised and Updated Edition. Cambridge University Press.,BE0000291
T685,,Jasdave S. Maan; Abdolreza Saadabadi (2019). Quetiapine. Stat Pearls Publishing.,BE0000289
T683,,"Sasank Isola; Ninos Adams (2019). Metoclopramide, NIH StatPearls. Stat Pearls Publishing.",BE0000756
T683,,"Sasank Isola; Ninos Adams (2019). Metoclopramide, NIH StatPearls. Stat Pearls Publishing.",BE0000311
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000795
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T34,978-1-4377-0310-8,"Bardal S, Waechter J, Martin D. (2011). Applied Pharmacology. Elsevier Health Sciences.",BE0000557
T160,,"Dasgupta A. and Klein K. (2014). Antioxidants in food, vitamins and supplements. Elsevier.",BE0009339
T159,,"Lustgarten M., Muller F. and Van Remmen H. (2011). Handbook of the Biology of Aging (7th ed.). Academic press.",BE0009339
T158,,Pattani K. (2010). Early diagnosis and treatment of cancer series: Head and Neck Cancer. Elsevier.,BE0009339
T19,3718658437,"Comper, Wayne D. (1996). Extracellular Matrix (2nd ed.). CRC Press LLC.",BE0001085
T59,,Barnett A.  (2012). Type 2 diabetes (2nd ed.). Oxford.,BE0000453
T77,,"Clark M., Harvey R., Finkel R., Rey J. and Whalen K. (2011). Pharmacology (5th ed.). Lippincott Williams & Wilkins.",BE0000557
T87,,Ganten D. and Mulrow P.J. (1990). Pharmacology of anti-hypertensive therapeutics (1st ed.). Springer .,BE0000172
T87,,Ganten D. and Mulrow P.J. (1990). Pharmacology of anti-hypertensive therapeutics (1st ed.). Springer .,BE0000694
T87,,Ganten D. and Mulrow P.J. (1990). Pharmacology of anti-hypertensive therapeutics (1st ed.). Springer .,BE0004863
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0004889
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0000756
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0000451
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0000945
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0000650
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0000486
T109,,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,BE0000749
T126,,"Honjo T., Alt F. and Neuberger M. (2004). Molecular biology of B cells. Elsevier .",BE0002446
T126,,"Honjo T., Alt F. and Neuberger M. (2004). Molecular biology of B cells. Elsevier .",BE0000066
T144,,"German A., Maddison J. and Guilford G. (2008). Small animal clinical pharmacology (2nd ed.). Elsevier.",BE0004849
T136,,Lee M. and Abrahams M.  (2012). Clinical pharmacology (11th ed.). Churchill Livingstone.,BE0000420
T137,,"Michael-Titus A., Revest P. and Shortland P. (2010). The nervous system (2nd ed.). Churchill Livingstone.",BE0000420
T136,,Lee M. and Abrahams M.  (2012). Clinical pharmacology (11th ed.). Churchill Livingstone.,BE0000632
T137,,"Michael-Titus A., Revest P. and Shortland P. (2010). The nervous system (2nd ed.). Churchill Livingstone.",BE0000632
T136,,Lee M. and Abrahams M.  (2012). Clinical pharmacology (11th ed.). Churchill Livingstone.,BE0000770
T137,,"Michael-Titus A., Revest P. and Shortland P. (2010). The nervous system (2nd ed.). Churchill Livingstone.",BE0000770
T195,3-7692-3483-9,"Steinhilber, D., Schubert M. and Roth H. (2005). Medizinische Chemie. Deutscher Apotheker Verlag.",BE0009376
T332,9780857113092,Alison Brayfield (2017). Martindale the Complete Drug Reference - Volume A (39th ed.). Pharmaceutical Press.,BE0000017
T332,9780857113092,Alison Brayfield (2017). Martindale the Complete Drug Reference - Volume A (39th ed.). Pharmaceutical Press.,BE0000262
T51,,Sneader W. (2005). Drug discovery a history. Wiley.,BE0000017
T52,,"Chian R., Nargund G. and Huang J. (2017). Development of In vitro maturation for human oocytes. Springer.",BE0000017
T51,,Sneader W. (2005). Drug discovery a history. Wiley.,BE0000262
T52,,"Chian R., Nargund G. and Huang J. (2017). Development of In vitro maturation for human oocytes. Springer.",BE0000262
T59,,Barnett A.  (2012). Type 2 diabetes (2nd ed.). Oxford.,BE0000857
T166,0309069491,"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",BE0009339
T233,,"Miguel P. Rocha, Florentino Fernández Riverola, Hagit Shatkay, Juan Manuel Corchado Rodríguez (2010). Advances in Bioinformatics. Springer.",BE0001032
