description,currency,cost,unit,parent_key
Alphanate 1000-1500 unit vial,USD,1.2,vial,DB00025
Alphanate 250-500 unit vial,USD,1.2,vial,DB00025
Humate-p 1000 unit kit,USD,1.2,kit,DB00025
Humate-p 1200 unit kit,USD,1.2,kit,DB00025
Humate-p 2000 unit kit,USD,1.2,kit,DB00025
Humate-p 2400 unit kit,USD,1.2,kit,DB00025
Humate-p 500 unit kit,USD,1.2,kit,DB00025
Humate-p 600 unit kit,USD,1.2,kit,DB00025
Koate-dvi 1000 unit kit,USD,1.31,kit,DB00025
Koate-dvi 250 unit kit,USD,1.31,kit,DB00025
Koate-dvi 500 unit kit,USD,1.31,kit,DB00025
Refacto 1000 unit vial,USD,1.31,vial,DB00025
Refacto 2000 unit vial,USD,1.31,vial,DB00025
Refacto 250 unit vial,USD,1.31,vial,DB00025
Refacto 500 unit vial,USD,1.31,vial,DB00025
Hemofil m 1701-2000 unit vial,USD,1.34,vial,DB00025
Hemofil m 220-400 unit vial,USD,1.34,vial,DB00025
Hemofil m 401-800 unit vial,USD,1.34,vial,DB00025
Hemofil m 801-1700 unit vial,USD,1.34,vial,DB00025
Wilate 450-450 unit kit,USD,1.38,kit,DB00025
Wilate 900-900 unit kit,USD,1.38,kit,DB00025
Helixate fs 1000 unit vial,USD,1.56,vial,DB00025
Helixate fs 250 unit vial,USD,1.56,vial,DB00025
Helixate fs 3000 unit vial,USD,1.56,vial,DB00025
Helixate fs 500 unit vial,USD,1.56,vial,DB00025
Xyntha 1000 unit kit,USD,1.66,kit,DB00025
Xyntha 2000 unit kit,USD,1.66,kit,DB00025
Xyntha 250 unit kit,USD,1.66,kit,DB00025
Xyntha 500 unit kit,USD,1.66,kit,DB00025
Advate 1201-1800 unit vial,USD,1.68,vial,DB00025
Advate 1801-2400 unit vial,USD,1.68,vial,DB00025
Advate 200-400 unit vial,USD,1.68,vial,DB00025
Advate 2400-3600 unit vial,USD,1.68,vial,DB00025
Advate 401-800 unit vial,USD,1.68,vial,DB00025
Advate 801-1200 unit vial,USD,1.68,vial,DB00025
Kogenate fs 1000 unit vial,USD,1.68,vial,DB00025
Kogenate fs 250 unit vial,USD,1.68,vial,DB00025
Kogenate fs 3000 unit vial,USD,1.68,vial,DB00025
Kogenate fs 500 unit vial,USD,1.68,vial,DB00025
Kineret 100 mg/0.67 ml syr,USD,61.8,syringe,DB00026
"Kineret 1 Box = 7 Syringes, 4.69ml Box",USD,449.9,box,DB00026
Neosporin gu irr 40 mg/ml amp,USD,23.12,ml,DB00027
Gramicidin d powder,USD,240.0,g,DB00027
Neosporin + pain relief cream,USD,0.32,g,DB00027
Flebogamma 5% vial,USD,4.84,ml,DB00028
Flebogamma dif 5% vial,USD,4.84,ml,DB00028
Immune globulin vial,USD,9.34,ml,DB00028
Gamunex 10% vial,USD,11.6,ml,DB00028
Gammagard liquid 10% vial,USD,13.79,ml,DB00028
Gamastan s-d vial,USD,24.44,ml,DB00028
Hizentra 1 gram/5 ml vial,USD,30.24,ml,DB00028
Hizentra 2 gram/10 ml vial,USD,30.24,ml,DB00028
Hizentra 4 gram/20 ml vial,USD,30.24,ml,DB00028
Hyperhep b s-d vial,USD,165.04,ml,DB00028
Nabi-hb vial,USD,176.34,ml,DB00028
Hyperrab s-d vial,USD,224.07,ml,DB00028
Hypertet s-d 250 unit syringe,USD,324.23,syringe,DB00028
Novolin Ge Nph 100 unit/ml,USD,2.14,cartridge,DB00030
Novolin Ge Toronto 100 unit/ml,USD,2.14,cartridge,DB00030
Humulin N 100 unit/ml,USD,2.29,cartridge,DB00030
Humulin R 100 unit/ml,USD,2.29,cartridge,DB00030
Novolin Ge Nph Penfill 100 unit/ml Cartridge,USD,2.78,cartridge,DB00030
Novolin Ge Toronto Penfill 100 unit/ml Cartridge,USD,2.8,cartridge,DB00030
Humulin N Cartridge 100 unit/ml Cartridge,USD,2.99,cartridge,DB00030
Humulin R Cartridge 100 unit/ml Cartridge,USD,2.99,cartridge,DB00030
NovoLIN R InnoLet 100 unit/ml Solution 3ml Cartridge,USD,24.17,cartridge,DB00030
Novolin r 100 unit/ml cartridg,USD,33.33,ml,DB00030
NovoLIN R 100 unit/ml Solution 10ml Vial,USD,73.19,vial,DB00030
NovoLIN R PenFill 100 unit/ml Solution Five 3ml Cartridges Per Box = 15ml,USD,162.26,cartridge,DB00030
Tnkase 50 mg kit,USD,3238.76,kit,DB00031
Menopur 75 unit vial,USD,93.85,vial,DB00032
Repronex 75 unit vial,USD,93.85,vial,DB00032
Repronex 5 75 unit Solution 1 Box Contains Five 1ml Vials,USD,488.04,box,DB00032
Actimmune 2 million unit vial,USD,344.4,vial,DB00033
Apo-Desmopressin 10 mcg/dose Metered Dose Spray,USD,1.48,dose,DB00035
Ddavp 0.1 mg Tablet,USD,1.49,tablet,DB00035
Apo-Desmopressin 0.2 mg Tablet,USD,1.67,tablet,DB00035
Novo-Desmopressin 0.2 mg Tablet,USD,1.67,tablet,DB00035
Pms-Desmopressin 0.2 mg Tablet,USD,1.67,tablet,DB00035
Ddavp 10 mcg/dose Metered Dose Spray,USD,2.13,dose,DB00035
Ddavp 0.2 mg Tablet,USD,2.98,tablet,DB00035
Desmopressin acetate 0.1 mg tablet,USD,3.08,tablet,DB00035
Desmopressin acetate 0.2 mg tablet,USD,4.44,tablet,DB00035
Ddavp 0.1 mg tablet,USD,4.47,tablet,DB00035
Ddavp 0.2 mg tablet,USD,6.43,tablet,DB00035
Desmopressin ac 4 mcg/ml vial,USD,7.08,ml,DB00035
Desmopressin ac 4 mcg/ml amp,USD,7.28,ml,DB00035
Ddavp 4 mcg/ml,USD,11.33,ml,DB00035
Octostim 150 mcg/dose Metered Dose Spray,USD,17.39,dose,DB00035
Ddavp 0.1 mg/ml Solution,USD,21.26,ml,DB00035
Desmopressin 0.1 mg/ml spray,USD,39.6,ml,DB00035
Ddavp 4 mcg/ml ampul,USD,43.27,ml,DB00035
Ddavp 0.01% nasal spray,USD,50.76,ml,DB00035
Stimate 1.5 mg/ml nasal spray,USD,334.2,ml,DB00035
Apo-Desmopressin 0.1 mg Tablet,USD,0.83,tablet,DB00035
Novo-Desmopressin 0.1 mg Tablet,USD,0.83,tablet,DB00035
Pms-Desmopressin 0.1 mg Tablet,USD,0.83,tablet,DB00035
Novoseven 1200 mcg vial,USD,1.64,vial,DB00036
Novoseven 2400 mcg vial,USD,1.64,vial,DB00036
Novoseven 4800 mcg vial,USD,1.64,vial,DB00036
Neumega 5 mg vial,USD,352.9,vial,DB00038
Kepivance 6.25 mg vial,USD,1650.0,vial,DB00039
Glucagen 1 mg vial,USD,84.0,vial,DB00040
Glucagon 1 mg/vial,USD,94.98,vial,DB00040
Glucagon 1 mg emergency kit,USD,119.28,kit,DB00040
Glucagen 1 mg hypokit,USD,120.36,kit,DB00040
GlucaGen HypoKit 1 mg Solution Box,USD,123.72,box,DB00040
Glucagon Emergency 1 mg Kit Box,USD,124.05,box,DB00040
Glucagon 1 mg kit,USD,128.34,kit,DB00040
Proleukin 22000000 unit Solution Vial,USD,976.66,vial,DB00041
Proleukin 22 million unit vial,USD,1092.34,each,DB00041
Myobloc 2500 unit/0.5 ml vial,USD,299.4,vial,DB00042
Myobloc 10000 unit/2ml Solution 2ml Vial,USD,1245.5,vial,DB00042
Xolair 150 mg vial,USD,715.42,vial,DB00043
Luveris 75 unit vial,USD,38.88,vial,DB00044
Humalog 100 unit/ml,USD,2.95,cartridge,DB00046
Humalog 100 unit/ml Cartridge,USD,9.37,cartridge,DB00046
Humalog mix 50/50 kwikpen,USD,11.83,ml,DB00046
Humalog 100 unit/ml kwikpen,USD,15.4,ml,DB00046
Humalog 100 unit/ml pen,USD,15.4,ml,DB00046
Humalog mix 50-50 kwikpen,USD,15.4,ml,DB00046
Humalog mix 50-50 pen,USD,15.4,ml,DB00046
HumaLOG 100 unit/ml Solution 10ml Vial,USD,124.36,vial,DB00046
HumaLOG 100 unit/ml Solution 1 Box = Five 3ml Cartridges = 15ml,USD,231.0,box,DB00046
HumaLOG KwikPen 100 unit/ml Solution (1box = 5 Pens = 15ml),USD,240.18,box,DB00046
HumaLOG Mix 50/50 KwikPen 50-50% Suspension Five 3ml Pens Per Box = 15ml,USD,240.18,box,DB00046
HumaLOG Mix 75/25 KwikPen 75-25% Suspension Five 3ml Pen Per Box = 15ml,USD,240.18,box,DB00046
HumaLOG Mix 75/25 Pen 75-25% Suspension 15ml Box,USD,240.18,box,DB00046
HumaLOG Pen (five 3ml Pens Per Box) 15ml Box,USD,240.18,box,DB00046
Lantus 100 unit/ml cartridge,USD,14.35,ml,DB00047
Lantus solostar 100 unit/ml,USD,14.35,ml,DB00047
Lantus for OptiClik 100 unit/ml Solution 3ml Cartridge,USD,44.78,cartridge,DB00047
Lantus 100 unit/ml Solution 10ml Vial,USD,111.88,vial,DB00047
Lantus SoloStar 100 unit/ml Solution 1 Box = Five 3ml Syringes,USD,223.89,box,DB00047
Santyl ointment,USD,4.13,g,DB00048
Santyl 250 unit/gm Ointment 15 gm Tube,USD,62.98,tube,DB00048
Collagenase powder,USD,2432.7,g,DB00048
Xiaflex 0.9 mg vial,USD,3900.0,vial,DB00048
Elitek 1.5 mg vial,USD,627.23,vial,DB00049
Elitek 7.5 mg vial,USD,3136.18,vial,DB00049
Cetrotide 0.25 mg kit,USD,137.99,kit,DB00050
Cetrotide 3 mg kit,USD,689.92,kit,DB00050
Humira 20 mg/0.4 ml syringe,USD,959.19,syringe,DB00051
Humira 40 mg/0.8 ml pen,USD,959.19,pen,DB00051
Humira crohn's starter pack,USD,959.19,each,DB00051
Humira psoriasis starter pack,USD,959.19,each,DB00051
Humira (1 Box = Two 40 mg/0.8ml Syringes) Box,USD,1995.1,box,DB00051
Humira 2 20 mg/0.4ml Kit 1 Box = Two 20 mg/0.4ml Syringes,USD,1995.1,box,DB00051
Humira Pen 2 40 mg/0.8ml Kit (1 Box = 1 Kit Containing Two 40 mg/0.8ml Pens),USD,1995.1,box,DB00051
Genotropin miniquick 0.2 mg,USD,15.05,each,DB00052
Genotropin miniquick 0.4 mg,USD,30.09,each,DB00052
Genotropin miniquick 0.6 mg,USD,45.14,each,DB00052
Genotropin miniquick 0.8 mg,USD,60.19,each,DB00052
Genotropin miniquick 1 mg,USD,75.23,each,DB00052
Genotropin MiniQuick 1 mg (7 Cartridges Per Box),USD,77.36,cartridge,DB00052
Genotropin miniquick 1.2 mg,USD,90.28,each,DB00052
Genotropin MiniQuick 1.2 mg (7 Cartridges Per Box),USD,92.83,cartridge,DB00052
Genotropin miniquick 1.4 mg,USD,105.32,each,DB00052
Genotropin MiniQuick 1.4 mg (7 Cartridges Per Box),USD,108.78,cartridge,DB00052
Genotropin MiniQuick 0.2 mg (7 Cartridges Per Box),USD,110.52,box,DB00052
Genotropin miniquick 1.6 mg,USD,120.37,each,DB00052
Genotropin MiniQuick 1.6 mg (7 Cartridges Per Box),USD,123.78,cartridge,DB00052
Genotropin miniquick 1.8 mg,USD,135.41,each,DB00052
Genotropin miniquick 2 mg,USD,150.46,each,DB00052
Genotropin MiniQuick 2 mg (7 Cartridges Per Box),USD,154.72,cartridge,DB00052
Serostim 4 mg vial,USD,221.9,vial,DB00052
Genotropin MiniQuick 0.4 mg (7 Cartridges Per Box),USD,228.45,box,DB00052
Tev-tropin 5 mg vial,USD,239.51,vial,DB00052
Tev-Tropin 5 mg Solution Vial,USD,259.45,vial,DB00052
Protropin 5 mg Solution Vial,USD,274.95,vial,DB00052
Serostim 5 mg vial,USD,277.38,vial,DB00052
Omnitrope 5.8 mg Solution Vial,USD,283.38,vial,DB00052
Genotropin MiniQuick 0.6 mg (7 Cartridges Per Box),USD,326.67,box,DB00052
Serostim 6 mg vial,USD,332.86,vial,DB00052
Saizen 5 mg vial,USD,376.26,vial,DB00052
Norditropin 5 mg/1.5ml Solution 1.5ml Cartridge,USD,389.44,cartridge,DB00052
Norditropin NordiFlex Pen 5 mg/1.5ml Solution 1 Syringe = 1.5ml,USD,389.44,pen,DB00052
Genotropin 5.8 mg Cartridge,USD,391.21,cartridge,DB00052
Saizen 5 mg Solution Vial,USD,391.31,vial,DB00052
Nutropin 5 mg vial,USD,392.35,vial,DB00052
Serostim 8.8 mg vial,USD,418.66,vial,DB00052
Genotropin MiniQuick 0.8 mg (7 Cartridges Per Box),USD,433.56,box,DB00052
Humatrope 6 mg cartridge,USD,455.72,cartridge,DB00052
Protropin 10 mg Solution Vial,USD,549.9,vial,DB00052
Saizen 8.8 mg vial,USD,602.02,vial,DB00052
Saizen 8.8 mg Solution Vial,USD,626.1,vial,DB00052
Saizen Click.Easy 8.8 mg Solution Vial,USD,626.1,vial,DB00052
Norditropin nordiflex 30 mg/3,USD,748.92,ml,DB00052
Norditropin NordiFlex Pen 10 mg/1.5ml Solution 1 Syringe = 1.5ml,USD,753.86,pen,DB00052
Nutropin aq 20 mg/2ml pen cart,USD,759.55,ml,DB00052
Nutropin aq nuspin 20 pen cart,USD,759.55,ml,DB00052
Nutropin 10 mg vial,USD,784.7,vial,DB00052
Humatrope 12 mg cartridge,USD,911.45,cartridge,DB00052
Genotropin 12 mg Solution,USD,928.36,each,DB00052
Norditropin 15 mg/1.5 ml cartridge,USD,1123.38,ml,DB00052
Norditropin nordiflx 15 mg/1.5,USD,1123.38,ml,DB00052
Norditropin 15 mg/1.5ml Solution 1.5ml Cartridge,USD,1168.32,cartridge,DB00052
Norditropin NordiFlex Pen 15 mg/1.5ml Solution 1 Syringe = 1.5ml,USD,1168.32,pen,DB00052
Norditropin flexpro 15 mg/1.5,USD,1179.54,ml,DB00052
Humatrope 24 mg cartridge,USD,1822.9,cartridge,DB00052
Ceredase 80 unit/ml vial,USD,380.64,ml,DB00053
Cerezyme 200 unit vial,USD,951.6,vial,DB00053
Cerezyme 400 unit vial,USD,1903.2,vial,DB00053
Reopro 2 mg/ml vial,USD,155.77,ml,DB00054
Xigris 5 mg vial,USD,370.42,vial,DB00055
Xigris 20 mg vial,USD,1481.66,vial,DB00055
Mylotarg 5 mg vial,USD,3104.82,vial,DB00056
Prolastin 1000 mg vial,USD,0.46,vial,DB00058
Prolastin 500 mg vial,USD,0.46,vial,DB00058
Prolastin c 1000 mg vial,USD,0.46,vial,DB00058
Aralast 500 mg vial,USD,0.5,vial,DB00058
Zemaira 1000 mg vial,USD,0.5,vial,DB00058
Aralast 1000 mg vial,USD,0.52,vial,DB00058
Aralast np 1000 mg vial,USD,0.52,vial,DB00058
Aralast np 500 mg vial,USD,0.52,vial,DB00058
Oncaspar 750 unit/ml vial,USD,656.0,ml,DB00059
Rebif 22 mcg/0.5 ml syringe,USD,247.79,syringe,DB00060
Rebif 44 mcg/0.5 ml syringe,USD,247.79,syringe,DB00060
Avonex admin pack 30 mcg vial,USD,781.8,vial,DB00060
Avonex 4 30 mcg/vial Kit 1 Box = 4 Vials ( 0.5ml Per Vial),USD,3252.29,box,DB00060
Avonex Prefilled (1 Box = 1 Kit = Four 30 mcg/0.5ml Syringes) Box,USD,3252.29,box,DB00060
Adagen 250 unit/ml vial,USD,4375.0,ml,DB00061
Albutein 25% vial,USD,1.32,ml,DB00062
Albumin 25% iv solution,USD,1.97,ml,DB00062
Buminate 25% iv solution,USD,2.22,ml,DB00062
Albumin (human) 5% iv solution,USD,0.3,ml,DB00062
Albutein 5% iv solution,USD,0.43,ml,DB00062
Buminate 5% iv solution,USD,0.44,ml,DB00062
Integrilin 75 mg/100 ml vial,USD,3.88,ml,DB00063
Integrilin 200 mg/100 ml vial,USD,10.74,ml,DB00063
Integrilin 20 mg/10 ml vial,USD,12.41,ml,DB00063
Remicade 100 mg vial,USD,789.44,vial,DB00065
Remicade 100 mg Solution Vial,USD,821.02,vial,DB00065
Follistim aq 75 unit vial,USD,109.51,vial,DB00066
Gonal-f rff 75 unit vial,USD,117.47,vial,DB00066
Follistim aq 150 unit vial,USD,219.02,vial,DB00066
Follistim aq 300 unit cartridge,USD,438.05,cartridge,DB00066
Follistim AQ 300unt/0.36ml Solution 0.42ml Cartridge,USD,455.57,cartridge,DB00066
Gonal-f rff 300 unit pen,USD,469.87,pen,DB00066
Gonal-f rff 450 unit pen,USD,704.81,pen,DB00066
Gonal-f 450 unit Solution Vial,USD,733.0,vial,DB00066
Follistim AQ 600unt/0.72ml Solution 0.78ml Cartridge,USD,911.14,cartridge,DB00066
Follistim AQ 900unt/1.08ml Solution 1 Cartridge = 1.17ml,USD,1366.71,cartridge,DB00066
Gonal-f rff 900 unit pen,USD,1409.62,ml,DB00066
Vasopressin 20 unit/ml vial,USD,1.86,ml,DB00067
Vasopressin 10 unit/0.5 ml vial,USD,2.88,vial,DB00067
Pitressin 20 unit/ml vial,USD,7.68,ml,DB00067
Extavia 0.3 mg kit,USD,196.76,kit,DB00068
Betaseron 0.3 mg kit,USD,227.69,kit,DB00068
Betaseron 14 0.3 mg Solution 1 Box Contains Fourteen .3 mg Vials.,USD,3315.06,box,DB00068
Infergen 9 mcg/0.3 ml vial,USD,129.08,vial,DB00069
Infergen 15 mcg/0.5ml Injectable 0.5ml Vial,USD,134.24,vial,DB00069
Hylenex 150 unit/ml vial,USD,108.0,ml,DB00070
Hyaluronidase powder,USD,900.0,g,DB00070
Vitrase 6200 unit vial,USD,967.2,vial,DB00070
Vitrasert 4.5 mg implant,USD,19200.0,implant,DB00070
Herceptin 440 mg vial,USD,3443.46,vial,DB00072
Herceptin 440 mg Solution Vial,USD,3581.2,vial,DB00072
Rituxan 10 mg/ml vial,USD,68.09,ml,DB00073
Rituxan 10 mg/ml Concentrate 10ml Vial,USD,708.17,vial,DB00073
Simulect 10 mg vial,USD,1883.11,vial,DB00074
Simulect 20 mg vial,USD,2471.6,vial,DB00074
Orthoclone okt-3 5 mg/5 ml,USD,261.75,ml,DB00075
Digifab 40 mg vial,USD,615.6,vial,DB00076
Digibind 38 mg vial,USD,727.91,vial,DB00076
Zevalin in-111 kit,USD,4200.0,kit,DB00078
Zevalin y-90 kit,USD,37800.0,kit,DB00078
Cubicin 500 mg vial,USD,272.7,vial,DB00080
Bexxar 14 mg/ml dosimetric,USD,100.43,ml,DB00081
Bexxar 131 iodine dosimetric,USD,180.77,ml,DB00081
Somavert 10 mg vial,USD,104.18,vial,DB00082
Somavert 15 mg vial,USD,156.29,vial,DB00082
Somavert 20 mg vial,USD,208.38,vial,DB00082
Botox (100 - 200 unit/Vial),USD,3.74,vial,DB00083
Botox cosmetic 50 unit vial,USD,346.8,vial,DB00083
Botox 100 unit vial,USD,630.0,vial,DB00083
Botox cosmetic 100 unit vial,USD,630.0,vial,DB00083
Botox 100 unit,USD,655.2,vial,DB00083
Dysport 500 unit vial,USD,852.0,vial,DB00083
Botox 200 unit vial,USD,1260.0,vial,DB00083
Pancrelipase MST-16 48-16-48mu Enteric Coated Capsule,USD,1.03,capsule,DB00085
Pancrelipase 10000 30-10-30mu Enteric Coated Capsule,USD,1.38,capsule,DB00085
Pancrease MT 10 30-10-30mu Enteric Coated Capsule,USD,1.49,capsule,DB00085
Creon 10 33.2-10-37.5mu Enteric Coated Capsule,USD,1.54,capsule,DB00085
Ultrase MT 12 39-12-39mu Enteric Coated Capsule,USD,1.65,capsule,DB00085
Pancrelipase 16000 48-16-48mu Enteric Coated Capsule,USD,2.02,capsule,DB00085
Pancrease MT 16 48-16-48mu Enteric Coated Capsule,USD,2.4,capsule,DB00085
Ultrase MT 18 58.5-18-58.5mu Enteric Coated Capsule,USD,2.65,capsule,DB00085
Creon 20 66.4-20-75mu Enteric Coated Capsule,USD,2.83,capsule,DB00085
Pancrease MT 20 56-20-44mu Enteric Coated Capsule,USD,2.99,capsule,DB00085
Ultrase MT 20 65-20-65mu Enteric Coated Capsule,USD,3.06,capsule,DB00085
Creon 24000 unit Enteric Coated Capsule,USD,3.32,capsule,DB00085
Pancrelipase ec 4500 capsule,USD,0.64,capsule,DB00085
Pancrease ec capsule,USD,0.76,capsule,DB00085
Ultrase 4500 unit Enteric Coated Capsule,USD,0.8,capsule,DB00085
Creon 5 16.6-5-18.75mu Enteric Coated Capsule,USD,0.86,capsule,DB00085
Pancrease 4500 unit Enteric Coated Capsule,USD,0.87,capsule,DB00085
Campath 30 mg/ml vial,USD,2042.18,ml,DB00087
Campath 30 mg/ml Solution (1 Box Contains Three 1ml Vials),USD,6179.24,box,DB00087
Ceredase 80 unit/ml vial,USD,380.64,ml,DB00088
Prostascint kit,USD,1584.0,kit,DB00089
Aldurazyme 2.9 mg/5 ml vial,USD,168.0,ml,DB00090
Gengraf 25 mg capsule,USD,1.32,capsule,DB00091
Cyclosporine 25 mg softgel,USD,1.38,softgel capsule,DB00091
Neoral 25 mg gelatin capsule,USD,1.53,capsule,DB00091
Cyclosporine 25 mg capsule,USD,1.56,capsule,DB00091
Sandimmune 25 mg capsule,USD,2.48,capsule,DB00091
