sequence,left_drugbank_id,left_drugbank_name,right_drugbank_id,right_drugbank_name,parent_key
1,DB00153,Ergocalciferol,DBMET02436,"24(R),25dihydroxyvitamin D",DB00153
1,DB00153,Ergocalciferol,DBMET02437,beta-ergocalciferol,DB00153
1,DB00153,Ergocalciferol,DBMET02438,20-hydroxyvitamin D,DB00153
2,DBMET02434,25-hydroxyvitamin D,DBMET02435,Calcitrol,DB00153
1,DB00158,Folic acid,DB00116,Tetrahydrofolic acid,DB00158
1,DB00158,Folic acid,DBMET02314,Dihydrofolate (DHF),DB00158
2,DB00116,Tetrahydrofolic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",DB00158
3,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",DBMET00528,5-Methyltetrahydrofolate,DB00158
4,DBMET00528,5-Methyltetrahydrofolate,DBMET00506,Methionine,DB00158
1,DB00162,Vitamin A,DBMET01736,All-trans-retinal,DB00162
1,DB00163,Vitamin E,DBMET02310,13'-hydroxy-alpha-tocopherol,DB00163
2,DBMET02310,13'-hydroxy-alpha-tocopherol,DBMET02311,13'-carboxy-alpha-tocopherol,DB00163
3,DBMET02311,13'-carboxy-alpha-tocopherol,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,DB00163
4,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,DB00163
5,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,DB00163
6,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,DB00163
7,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,DBMET02324,alpha-carboxyethylhydroxychromanol,DB00163
1,DB00169,Cholecalciferol,DBMET00609,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",DB00169
1,DB00169,Cholecalciferol,DB00146,Calcifediol,DB00169
2,DB00146,Calcifediol,DB00136,Calcitriol,DB00169
1,DB00175,Pravastatin,DBMET02469,3-alpha-isopravastatin,DB00175
1,DB00175,Pravastatin,DBMET02472,6-epi-pravastatin,DB00175
1,DB00175,Pravastatin,DBMET02473,Triol pravastatin,DB00175
1,DB00175,Pravastatin,DBMET02475,pravastatin glucuronide,DB00175
1,DB00175,Pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,DB00175
1,DB00175,Pravastatin,DBMET02478,3'(S)-hydroxy-pravastatin,DB00175
1,DB00175,Pravastatin,DBMET02479,Desacylpravastatin,DB00175
2,DBMET02469,3-alpha-isopravastatin,DBMET02470,"5,6-epoxy-3-alpha-isopravastatin",DB00175
2,DBMET02469,3-alpha-isopravastatin,DBMET02471,7-hydroxy-3-alpha-isopravastatin,DB00175
2,DBMET02473,Triol pravastatin,DBMET02474,"3-keto-5,6-diol pravastatin",DB00175
2,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,DBMET02477,3'(S)-hydroxy-pravastatin-tetranor glucuronide,DB00175
2,DBMET02478,3'(S)-hydroxy-pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,DB00175
1,DB00176,Fluvoxamine,DBMET01673,Fluvoxamino alcohol,DB00176
1,DB00176,Fluvoxamine,DBMET00250,fluvoxamino acid,DB00176
1,DB00177,Valsartan,DBMET00011,Valeryl-4-hydroxyvalsartan,DB00177
1,DB00178,Ramipril,DBMET00841,Diketopiperazine acid,DB00178
1,DB00178,Ramipril,DBMET00842,Diketopiperazine ester,DB00178
1,DB00178,Ramipril,DBMET00995,Ramiprilat,DB00178
1,DB00181,Baclofen,DBMET02215,3-(p-chlorophenyl)-4-hydroxybutyric acid,DB00181
1,DB00182,Amphetamine,DBMET00733,4-hydroxyamphetamine,DB00182
1,DB00182,Amphetamine,DBMET00540,Norephedrine,DB00182
1,DB00182,Amphetamine,DBMET02222,Phenylacetone,DB00182
2,DBMET00733,4-hydroxyamphetamine,DBMET01018,4-Hydroxynorephedrine,DB00182
2,DBMET02222,Phenylacetone,DBMET01437,Benzoic acid,DB00182
3,DBMET01437,Benzoic acid,DBMET00507,Hippuric acid,DB00182
1,DB00184,Nicotine,DBMET00515,N-Methylnicotinium,DB00184
1,DB00184,Nicotine,DBMET00516,Nicotine imine,DB00184
1,DB00184,Nicotine,DBMET00519,Cotinine,DB00184
1,DB00184,Nicotine,DBMET00520,Nornicotine,DB00184
1,DB00184,Nicotine,DBMET00524,Nicotine glucuronide,DB00184
1,DB00184,Nicotine,DBMET00526,Norcotinine,DB00184
1,DB00184,Nicotine,DBMET00533,Nicotine-1'-N-oxide,DB00184
1,DB00184,Nicotine,DBMET00613,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,DB00184
1,DB00184,Nicotine,DBMET00643,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,DB00184
1,DB00184,Nicotine,DBMET01717,"(S)-Nicotine delta-1',5'-iminium ion",DB00184
1,DB00184,Nicotine,DBMET01718,2'-Hydroxynicotine,DB00184
2,DBMET00516,Nicotine imine,DBMET00519,Cotinine,DB00184
2,DBMET00519,Cotinine,DBMET00529,Cotinine N-oxide,DB00184
2,DBMET00519,Cotinine,DBMET00527,3'-Hydroxycotinine,DB00184
2,DBMET00519,Cotinine,DBMET00520,Nornicotine,DB00184
2,DBMET00519,Cotinine,DBMET00533,Nicotine-1'-N-oxide,DB00184
2,DBMET00519,Cotinine,DBMET00517,Cotinine glucuronide,DB00184
1,DB00185,Cevimeline,DBMET00430,cevimeline trans-sulfoxide,DB00185
1,DB00185,Cevimeline,DBMET00431,cevimeline cis-sulfoxide,DB00185
1,DB00185,Cevimeline,DBMET00432,cevimeline cis-sulfoxidation,DB00185
1,DB00185,Cevimeline,DBMET00433,cevimeline N-oxide,DB00185
1,DB00185,Cevimeline,DBMET00488,Glucuronic acid,DB00185
1,DB00186,Lorazepam,DBMET00648,Lorazepam glucuronide,DB00186
1,DB00187,Esmolol,DBMET00536,Methanol,DB00187
1,DB00188,Bortezomib,DBMET01061,Bortezomib metabolite M1,DB00188
1,DB00188,Bortezomib,DBMET01062,Bortezomib metabolite M2,DB00188
1,DB00188,Bortezomib,DBMET01081,Bortezomib metabolite M34,DB00188
1,DB00188,Bortezomib,DBMET01122,Bortezomib metabolite M23 or M24 (1),DB00188
1,DB00188,Bortezomib,DBMET01124,Bortezomib metabolite M23 or M24 (2),DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01063,Bortezomib metabolite M3,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01063,Bortezomib metabolite M3,DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01065,Bortezomib metabolite M5,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01066,Bortezomib metabolite M6,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01067,Bortezomib metabolite M8,DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01082,Bortezomib metabolite M25,DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01084,Bortezomib metabolite M26,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01085,Bortezomib metabolite M27,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01086,Bortezomib metabolite M28,DB00188
3,DBMET01063,Bortezomib metabolite M3,DBMET01064,Bortezomib metabolite M4,DB00188
3,DBMET01067,Bortezomib metabolite M8,DBMET01068,Bortezomib metabolite M33,DB00188
1,DB00190,Carbidopa,DBMET00637,"3,4-Dihydroxyphenylacetone",DB00190
1,DB00190,Carbidopa,DBMET00698,3-(3-hydroxyphenyl)-2-methyllactic acid,DB00190
1,DB00190,Carbidopa,DBMET00699,3-(3-hydroxyphenyl)-2-methylpropionic acid,DB00190
1,DB00190,Carbidopa,DBMET00700,"3-(3,4-dihydroxyphenyl)-2-methylpropionic acid",DB00190
1,DB00190,Carbidopa,DBMET00701,3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid,DB00190
1,DB00190,Carbidopa,DBMET00702,3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid,DB00190
1,DB00191,Phentermine,DBMET02227,p-hydroxyphentermine,DB00191
1,DB00191,Phentermine,DBMET02228,N-hydroxyphentermine,DB00191
2,DBMET02228,N-hydroxyphentermine,DBMET02229,Nitrophentermine,DB00191
1,DB00193,Tramadol,DBMET00324,O-Desmethyltramadol,DB00193
1,DB00193,Tramadol,DBMET00343,N-Desmethyltramadol,DB00193
2,DBMET00324,O-Desmethyltramadol,DBMET00966,O-Desmethyl-tramado glucuronide,DB00193
2,DBMET00324,O-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",DB00193
2,DBMET00343,N-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",DB00193
2,DBMET00343,N-Desmethyltramadol,DBMET00954,"N,N-didesmethyltramadol",DB00193
3,DBMET00957,"N,O-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",DB00193
3,DBMET00954,"N,N-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",DB00193
1,DB00196,Fluconazole,DBMET02519,"Glucuronidated metabolite, Fluconazole",DB00196
1,DB00196,Fluconazole,DBMET02520,Fluconazole N-oxide,DB00196
1,DB00198,Oseltamivir,DBMET02218,Oseltamivir carboxylase,DB00198
1,DB00199,Erythromycin,DBMET01656,N-Desmethylerythromycin,DB00199
1,DB00201,Caffeine,DB01412,Theobromine,DB00201
1,DB00201,Caffeine,DB00277,Theophylline,DB00201
1,DB00201,Caffeine,DBMET00222,"1,3,7-Trimethyluric acid",DB00201
1,DB00201,Caffeine,DBMET00223,"1,7-dimethylxanthine",DB00201
2,DBMET00223,"1,7-dimethylxanthine",DBMET00611,"1,7-Dimethyluric acid",DB00201
2,DB00277,Theophylline,DBMET00271,1-Methylxanthine,DB00201
2,DBMET00223,"1,7-dimethylxanthine",DBMET00612,5-Acetylamino-6-formylamino-3-methyluracil,DB00201
2,DBMET00223,"1,7-dimethylxanthine",DBMET00271,1-Methylxanthine,DB00201
3,DBMET00271,1-Methylxanthine,DBMET00560,1-Methyluric acid,DB00201
1,DB00203,Sildenafil,DBMET01744,N-Desmethyl sildenafil,DB00203
1,DB00203,Sildenafil,DBMET00182,"N-Desmethyl sildenafil (UK-103,320)",DB00203
1,DB00208,Ticlopidine,DBMET00091,2-Chloroticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00092,2-Oxoticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00093,Thienodihydropyridinium,DB00208
1,DB00208,Ticlopidine,DBMET00094,Ticlopidine S-oxide,DB00208
1,DB00208,Ticlopidine,DBMET00095,Dehydrogenated ticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00096,Ticlopidine N-oxide,DB00208
1,DB00208,Ticlopidine,DBMET00097,di-Hydroxyticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00618,7-Hydroxyticlopidine,DB00208
2,DBMET00092,2-Oxoticlopidine,DBMET01202,Active metabolite of Ticlopidine,DB00208
2,DBMET00094,Ticlopidine S-oxide,DBMET01207,Ticlopidine S-oxide dimer,DB00208
2,DBMET00093,Thienodihydropyridinium,DBMET01208,Thienopyridinium,DB00208
2,DBMET00093,Thienodihydropyridinium,DBMET01209,Ticlopidine lactam analog (M8),DB00208
1,DB00211,Midodrine,DBMET00829,desglymidodrine,DB00211
1,DB00213,Pantoprazole,DBMET02219,desmethylpantoprazole,DB00213
1,DB00213,Pantoprazole,DBMET02221,Pantoprazole sulfate,DB00213
1,DB00213,Pantoprazole,DBMET02220,Pantoprazole sulfone,DB00213
1,DB00214,Torasemide,DBMET00297,Torasemide M1 (hydroxytorsemide),DB00214
1,DB00214,Torasemide,DBMET02231,Torasemide M4,DB00214
1,DB00214,Torasemide,DBMET02232,Torasemide M2,DB00214
1,DB00214,Torasemide,DBMET02233,Torasemide M3,DB00214
2,DBMET00297,Torasemide M1 (hydroxytorsemide),DBMET02230,Torasemide M5,DB00214
1,DB00215,Citalopram,DBMET02225,Citalopram-N-oxide,DB00215
1,DB00215,Citalopram,DBMET02226,inactive deaminated propionic acid derivative,DB00215
1,DB00215,Citalopram,DBMET02223,didemethylcitalopram,DB00215
1,DB00215,Citalopram,DBMET02224,demethylcitalopram,DB00215
1,DB00215,Citalopram,DBMET00196,N-Desmethylcitalopram,DB00215
1,DB00216,Eletriptan,DBMET00088,N-Desmethyleletriptan,DB00216
1,DB00216,Eletriptan,DBMET00089,Eletriptan N-oxide,DB00216
1,DB00220,Nelfinavir,DBMET01800,Nelfinavir hydroxyl-t- butylamide,DB00220
1,DB00220,Nelfinavir,DBMET01801,"3,4-Dihydroxynelfinavir",DB00220
1,DB00222,Glimepiride,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DB00222
2,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DBMET01327,Cyclohexyl carboxyl glimepiride,DB00222
1,DB00224,Indinavir,DBMET00373,Metabolite M6,DB00224
1,DB00227,Lovastatin,DBMET02237,6'-exomethylene lovastatin,DB00227
1,DB00227,Lovastatin,DBMET01698,6'beta-Hydroxylovastatin,DB00227
1,DB00227,Lovastatin,DBMET01699,3''-Hydroxylovastatin,DB00227
1,DB00228,Enflurane,DBMET01560,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",DB00228
1,DB00230,Pregabalin,DBMET01540,N-methylpregabalin,DB00230
1,DB00231,Temazepam,DBMET00246,Oxazepam,DB00231
1,DB00231,Temazepam,DBMET00650,Oxazepam glucuronide,DB00231
1,DB00238,Nevirapine,DBMET00074,12-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET00075,2-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET00076,8-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET00077,3-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET01713,2-OH-nevirapine,DB00238
1,DB00238,Nevirapine,DBMET01714,8-OH-nevirapine,DB00238
1,DB00238,Nevirapine,DBMET01715,3-OH-nevirapine,DB00238
1,DB00238,Nevirapine,DBMET01716,12-OH-nevirapine,DB00238
2,DBMET00074,12-Hydroxynevirapine,DBMET00669,12-hydroxynevirapine glucuronide,DB00238
2,DBMET00074,12-Hydroxynevirapine,DBMET00727,4-carboxynevirapine,DB00238
2,DBMET00075,2-Hydroxynevirapine,DBMET00685,2-hydroxynevirapine glucuronide,DB00238
2,DBMET00076,8-Hydroxynevirapine,DBMET00779,8-hydroxynevirapine glucuronide,DB00238
2,DBMET00077,3-Hydroxynevirapine,DBMET00712,3-hydroxynevirapine glucuronide,DB00238
1,DB00241,Butalbital,DBMET02453,"5-isobutyl-5-(2,3-dihydroxypropyl) barbituric acid",DB00241
1,DB00241,Butalbital,DBMET02454,5-allyl-5-(3-hydroxy-2-methyl-1-propyl) barbituric acid,DB00241
1,DB00242,Cladribine,DBMET00677,2-chloro-2'-deoxyadenosine-5'-triphosphate,DB00242
1,DB00243,Ranolazine,DBMET02254,CVT-3388,DB00243
1,DB00243,Ranolazine,DBMET02256,CVT-5029,DB00243
1,DB00243,Ranolazine,DBMET02242,RS-88390 (CVT-2514),DB00243
1,DB00243,Ranolazine,DBMET02244,CVT-2738,DB00243
1,DB00243,Ranolazine,DBMET02245,CVT-2534,DB00243
1,DB00243,Ranolazine,DBMET02247,CVT-2513,DB00243
1,DB00243,Ranolazine,DBMET02248,CVT-2535,DB00243
1,DB00243,Ranolazine,DBMET02249,CVT-2512,DB00243
1,DB00243,Ranolazine,DBMET02250,CVT-3369,DB00243
1,DB00243,Ranolazine,DBMET02252,CVT-2551,DB00243
2,DBMET02254,CVT-3388,DBMET02255,CVT-3389,DB00243
2,DBMET02252,CVT-2551,DBMET02947,CVT-3248,DB00243
2,DBMET02242,RS-88390 (CVT-2514),DBMET02243,Ranolazine M1,DB00243
2,DBMET02248,CVT-2535,DBMET02251,CVT-2537,DB00243
1,DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),DB00244
1,DB00245,Benzatropine,DBMET02257,Benztropine-N-oxide,DB00245
1,DB00245,Benzatropine,DBMET02259,4'-hydroxybenztropine,DB00245
1,DB00245,Benzatropine,DBMET02260,N-desmethylbenztropine,DB00245
2,DBMET02257,Benztropine-N-oxide,DBMET02258,4'-hydroxybenztropine-N-oxide,DB00245
2,DBMET02260,N-desmethylbenztropine,DBMET02261,N-desmethyl-4'-hydroxy benztropine,DB00245
1,DB00246,Ziprasidone,DBMET02984,Ziprasidone Sulfoxide,DB00246
1,DB00246,Ziprasidone,DBMET02986,"(6-chloro-2-oxo-2,3-dihydro-1H-indol-5-yl)acetic acid",DB00246
1,DB00246,Ziprasidone,DBMET02989,"3-(piperazine-1-yl)-1,2-benzisothiazole",DB00246
1,DB00246,Ziprasidone,DBMET02993,S-Methyl-dihydro-ziprasidone,DB00246
1,DB00246,Ziprasidone,DBMET02995,"6-chloro-5-(2-piperazin-1-yl-ethyl)-1,3-dihydro-indol-2-one",DB00246
1,DB00246,Ziprasidone,DBMET02996,dihydro-ziprasidone-sulfone,DB00246
2,DBMET02984,Ziprasidone Sulfoxide,DBMET02985,Ziprasidone Sulfone,DB00246
2,DBMET02986,"(6-chloro-2-oxo-2,3-dihydro-1H-indol-5-yl)acetic acid",DBMET02988,"(6-chloro-2-oxo-2,3-dihydro-1H-indol-5-yl)acetic acid glucuronide",DB00246
2,DBMET02989,"3-(piperazine-1-yl)-1,2-benzisothiazole",DBMET02990,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfoxide",DB00246
2,DBMET02993,S-Methyl-dihydro-ziprasidone,DBMET02994,S-Methyl-dihydro-ziprasidone-sulfoxide,DB00246
3,DBMET02990,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfoxide",DBMET02991,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfone",DB00246
4,DBMET02991,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfone",DBMET02992,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfone lactam",DB00246
1,DB00248,Cabergoline,DBMET00757,6-allyl-8b-carboxy-ergoline,DB00248
1,DB00250,Dapsone,DBMET00301,dapsone hydroxylamine,DB00250
1,DB00250,Dapsone,DBMET00014,Monoacetyldapsone,DB00250
2,DBMET00301,dapsone hydroxylamine,DBMET01043,Nitroso-dapsone,DB00250
3,DBMET01043,Nitroso-dapsone,DBMET01045,Dapsone mercaptal intermediate,DB00250
4,DBMET01045,Dapsone mercaptal intermediate,DBMET01046,Dapsone GSH conjugate,DB00250
1,DB00252,Phenytoin,DBMET00988,Phenytoin arene-oxide,DB00252
2,DBMET00988,Phenytoin arene-oxide,DBMET00990,Phenytoin dihydrodiol,DB00252
2,DBMET00988,Phenytoin arene-oxide,DBMET00888,Hydroxyphenytoin,DB00252
3,DBMET00888,Hydroxyphenytoin,DBMET00989,Phenytoin catechol,DB00252
3,DBMET00888,Hydroxyphenytoin,DBMET00889,Hydroxyphenytoin-O-glucuronide,DB00252
3,DBMET00990,Phenytoin dihydrodiol,DBMET00989,Phenytoin catechol,DB00252
4,DBMET00989,Phenytoin catechol,DBMET00992,Phenytoin quinone,DB00252
4,DBMET00989,Phenytoin catechol,DBMET00991,Phenytoin methylcatechol,DB00252
4,DBMET00989,Phenytoin catechol,DBMET00992,Phenytoin quinone,DB00252
4,DBMET00989,Phenytoin catechol,DBMET00991,Phenytoin methylcatechol,DB00252
1,DB00261,Anagrelide,DBMET00772,"6,7-dichloro-3-hydroxy-1,5 dihydro-imidazo[2,1-b]quinazolin-2-one",DB00261
2,DBMET00772,"6,7-dichloro-3-hydroxy-1,5 dihydro-imidazo[2,1-b]quinazolin-2-one",DBMET00676,"2-amino-5,6-dichloro-3,4,-dihydroquinazoline",DB00261
1,DB00264,Metoprolol,DBMET00319,alpha-Hydroxymetoprolol,DB00264
1,DB00264,Metoprolol,DBMET01561,O-Demethylmetoprolol,DB00264
1,DB00264,Metoprolol,DBMET01562,Deisopropylmetoprolol,DB00264
1,DB00268,Ropinirole,DBMET00940,N-despropyl ropinirole,DB00268
1,DB00268,Ropinirole,DBMET02235,N-despropyl hydroxy metabolites,DB00268
1,DB00268,Ropinirole,DBMET02236,carboxylic acid,DB00268
1,DB00273,Topiramate,DBMET02908,"2,3-Desisopropylidene Topiramate",DB00273
1,DB00273,Topiramate,DBMET02909,10-hydroxy topiramate,DB00273
1,DB00273,Topiramate,DBMET02910,9-hydroxy topiramate,DB00273
1,DB00273,Topiramate,DBMET02911,"4,5-Desisopropylidene topiramate",DB00273
1,DB00277,Theophylline,DBMET00271,1-Methylxanthine,DB00277
1,DB00277,Theophylline,DBMET00272,3-methylxanthine,DB00277
1,DB00277,Theophylline,DBMET00535,Caffeine,DB00277
1,DB00277,Theophylline,DBMET00326,"1,3-dimethyluric acid",DB00277
1,DB00279,Liothyronine,DBMET02273,Diiodothyronine,DB00279
1,DB00279,Liothyronine,DBMET02274,Monoiodothyronine,DB00279
1,DB00279,Liothyronine,DBMET02275,Tiratricol,DB00279
1,DB00279,Liothyronine,DBMET00559,Triiodothyronine sulfate,DB00279
1,DB00280,Disopyramide,DBMET00363,mono-isopropyl-disopyramide,DB00280
1,DB00281,Lidocaine,DBMET00256,3-hydroxylidocaine,DB00281
1,DB00281,Lidocaine,DBMET00257,monoethylglycinexylidide,DB00281
1,DB00281,Lidocaine,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DB00281
2,DBMET00256,3-hydroxylidocaine,DBMET01090,3-Hydroxymonoethylglycinexylidide,DB00281
2,DBMET00257,monoethylglycinexylidide,DBMET01090,3-Hydroxymonoethylglycinexylidide,DB00281
2,DBMET00257,monoethylglycinexylidide,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DB00281
2,DBMET00257,monoethylglycinexylidide,DBMET01091,Glycinexylidide (GX),DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",DB00281
3,DBMET01091,Glycinexylidide (GX),DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DB00281
1,DB00285,Venlafaxine,DB06700,Desvenlafaxine,DB00285
1,DB00285,Venlafaxine,DBMET00055,N-Desmethylvenlafaxine,DB00285
2,DB06700,Desvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",DB00285
2,DB06700,Desvenlafaxine,DBMET00967,O-Desmethylvenlafaxine glucuronide,DB00285
2,DBMET00055,N-Desmethylvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",DB00285
3,DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET00958,"N,O-didesmethylvenlafaxine glucuronide",DB00285
3,DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET01040,"N,N,O-Tridesmethylvenlafaxine",DB00285
1,DB00286,Conjugated estrogens,DBMET00490,Estrone,DB00286
1,DB00286,Conjugated estrogens,DBMET02281,2-hydroxy equilin,DB00286
1,DB00286,Conjugated estrogens,DBMET02282,4-hydroxy equilin,DB00286
1,DB00286,Conjugated estrogens,DBMET01658,4-Hydroxyestradiol,DB00286
1,DB00286,Conjugated estrogens,DBMET00247,2-hydroxyestradiol,DB00286
1,DB00286,Conjugated estrogens,DBMET02283,17-ketosteroid-16-alpha-hydroxyestrone,DB00286
1,DB00286,Conjugated estrogens,DBMET02284,16-alpha-hydroxy-17-beta-dihydro equilin,DB00286
1,DB00286,Conjugated estrogens,DBMET02285,16-alpha-hydroxy-17-beta-dihydroequilenin,DB00286
2,DBMET00490,Estrone,DBMET00492,Estriol,DB00286
1,DB00287,Travoprost,DBMET02216,Travoprost Free Acid,DB00287
1,DB00289,Atomoxetine,DBMET02304,N-desmethylatomoxetine,DB00289
1,DB00289,Atomoxetine,DBMET00734,4-hydroxyatomoxetine,DB00289
2,DBMET00734,4-hydroxyatomoxetine,DBMET02294,4-hydroxyatomoxetine-O-glucuronide,DB00289
2,DBMET02304,N-desmethylatomoxetine,DBMET02305,N-desmethyl-4-hydroxyatomoxetine,DB00289
1,DB00294,Etonogestrel,DBMET02306,Etonogestrel sulfate,DB00294
1,DB00294,Etonogestrel,DBMET02307,Etonogestrel glucuronide,DB00294
1,DB00295,Morphine,DB00318,Codeine,DB00295
1,DB00295,Morphine,DBMET02313,Morphine ethereal sulfate,DB00295
1,DB00295,Morphine,DBMET00649,Normorphine,DB00295
1,DB00295,Morphine,DB06409,Morphine glucuronide,DB00295
1,DB00295,Morphine,DBMET00462,morphine-3-glucuronide,DB00295
