form,route,strength,parent_key
Kit,Subcutaneous,30 mg/0.5mL,DB00007
Kit,Subcutaneous,45 mg/0.375mL,DB00007
Kit,Subcutaneous,7.5 mg/0.25mL,DB00007
,Subcutaneous,45 mg/0.375mL,DB00007
"Injection, solution",Subcutaneous,1 mg/.2mL,DB00007
Kit,Subcutaneous; Topical,1 mg/0.2mL,DB00007
Liquid,Subcutaneous,,DB00007
,Intramuscular; Oral; Topical,,DB00007
Kit,Subcutaneous; Topical,5 mg/1mL,DB00007
Solution,Subcutaneous,5 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,11.25 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,15 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,22.5 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,3.75 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,30 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,7.5 mg,DB00007
"Injection, powder, lyophilized, for suspension",Intramuscular,3.75 mg/1mL,DB00007
"Injection, powder, lyophilized, for suspension",Intramuscular,30 mg/1.5mL,DB00007
Kit,Intramuscular; Topical,,DB00007
Kit,Intramuscular; Topical,11.25 mg/1.5mL,DB00007
Kit,Intramuscular; Topical,22.5 mg/1.5mL,DB00007
Kit,Intramuscular; Topical,3.75 mg/1mL,DB00007
Kit,Intramuscular; Topical,30 mg/1.5mL,DB00007
Kit,Intramuscular; Topical,45 mg/1.5mL,DB00007
Kit,Intramuscular; Topical,7.5 mg/1mL,DB00007
"Injection, powder, lyophilized, for suspension",Intramuscular,11.25 mg/1mL,DB00007
"Injection, powder, lyophilized, for suspension",Intramuscular,15 mg/1mL,DB00007
"Injection, powder, lyophilized, for suspension",Intramuscular,7.5 mg/1mL,DB00007
,Intramuscular; Topical,11.25 mg/1mL,DB00007
,Intramuscular; Topical,11.25 mg/1.5mL,DB00007
,Intramuscular; Topical,15 mg/1mL,DB00007
,Intramuscular; Topical,30 mg/1.5mL,DB00007
,Intramuscular; Topical,7.5 mg/1mL,DB00007
Kit,Intramuscular; Topical,11.25 mg/1mL,DB00007
Kit,Subcutaneous; Topical,,DB00007
"Injection, powder, for suspension, extended release; kit",Intramuscular,,DB00007
"Injection, solution",Subcutaneous,135 ug/0.5mL,DB00008
"Injection, solution",Subcutaneous,135 μg,DB00008
"Injection, solution",Subcutaneous,180 ug/0.5mL,DB00008
"Injection, solution",Subcutaneous,180 μg,DB00008
"Injection, solution",Subcutaneous,180 ug/1mL,DB00008
"Injection, solution",Subcutaneous,90 μg,DB00008
Solution,Subcutaneous,180 mcg,DB00008
Solution; tablet,Oral; Subcutaneous,,DB00008
Kit,Intravenous,100 mg/100mL,DB00009
Kit,Intravenous,50 mg/50mL,DB00009
"Liquid; powder, for solution",Intravenous,,DB00009
"Powder, for solution",Intravenous,,DB00009
"Powder, for solution",,,DB00009
"Injection, powder, lyophilized, for solution",Intravenous,2.2 mg/2mL,DB00009
Liquid,Intramuscular; Subcutaneous,,DB00011
"Injection, solution",Intravenous; Subcutaneous,10 ug/0.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,10 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,100 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,100 ug/0.5mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,130 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,15 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,150 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,150 ug/0.3mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,20 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,200 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,200 ug/0.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,25 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,25 ug/0.42mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,30 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,300 ug/0.6mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,300 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,40 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,40 ug/.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,40 ug/0.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,50 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,500 ug/1mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,500 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,60 ug/0.3mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,60 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,80 μg,DB00012
"Injection, solution",Subcutaneous,10 μg,DB00012
"Injection, solution",Subcutaneous,100 μg,DB00012
"Injection, solution",Subcutaneous,130 μg,DB00012
"Injection, solution",Subcutaneous,15 μg,DB00012
"Injection, solution",Subcutaneous,150 μg,DB00012
"Injection, solution",Subcutaneous,20 μg,DB00012
"Injection, solution",Subcutaneous,30 μg,DB00012
"Injection, solution",Subcutaneous,300 μg,DB00012
"Injection, solution",Subcutaneous,40 μg,DB00012
"Injection, solution",Subcutaneous,50 μg,DB00012
"Injection, solution",Subcutaneous,500 μg,DB00012
"Injection, solution",Subcutaneous,60 μg,DB00012
"Injection, solution",Subcutaneous,80 μg,DB00012
Solution,Intravenous; Subcutaneous,100 ug/1mL,DB00012
Solution,Intravenous; Subcutaneous,100 mcg,DB00012
Solution,Intravenous; Subcutaneous,15 mcg,DB00012
Solution,Intravenous; Subcutaneous,150 ug/0.75mL,DB00012
Solution,Intravenous; Subcutaneous,200 ug/1mL,DB00012
Solution,Intravenous; Subcutaneous,200 mcg,DB00012
Solution,Intravenous; Subcutaneous,25 mcg,DB00012
Solution,Intravenous; Subcutaneous,25 ug/1mL,DB00012
Solution,Intravenous; Subcutaneous,300 ug/1mL,DB00012
Solution,Intravenous; Subcutaneous,325 mcg,DB00012
Solution,Intravenous; Subcutaneous,40 mcg,DB00012
Solution,Intravenous; Subcutaneous,40 ug/1mL,DB00012
Solution,Intravenous; Subcutaneous,500 mcg,DB00012
Solution,Intravenous; Subcutaneous,60 ug/1mL,DB00012
Solution,Intravenous; Subcutaneous,60 mcg,DB00012
Solution,Intravenous; Subcutaneous,,DB00012
"Injection, powder, lyophilized, for solution",Intravenous,250000 [iU]/5mL,DB00013
"Powder, for solution",Intravenous,,DB00013
Implant,Subcutaneous,10.8 mg/1,DB00014
Implant,Subcutaneous,3.6 mg,DB00014
Implant,Subcutaneous,3.6 mg/1,DB00014
Implant,Subcutaneous,,DB00014
,Intravenous,1.81 mg/1mL,DB00015
Kit,Intravenous,1.81 mg/1mL,DB00015
"Powder, for solution",Intravenous,10.4 unit,DB00015
"Injection, solution",Intravenous; Subcutaneous,1000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,10000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,20000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.3ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,30000 IU/0.75ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,4000 IU/0.4ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,40000 IU/1ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,40000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,5000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,6000 IU/0.6ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,7000 IU/0.7ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,8000 IU/0.8ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,9000 IU/0.9ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,10000 IU/1ml,DB00016
Solution,Intravenous; Subcutaneous,10000 [iU]/1mL,DB00016
Solution,Intravenous; Subcutaneous,2000 [iU]/1mL,DB00016
Solution,Intravenous; Subcutaneous,20000 [iU]/1mL,DB00016
Solution,Intravenous; Subcutaneous,3000 [iU]/1mL,DB00016
Solution,Intravenous; Subcutaneous,4000 [iU]/1mL,DB00016
Solution,Intravenous; Subcutaneous,40000 1/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,20000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,30000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,4000 IU/0.5ml,DB00016
Solution,Intravenous; Subcutaneous,,DB00016
"Injection, solution",Intravenous; Subcutaneous,10000 [iU]/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 [iU]/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,20000 [iU]/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 [iU]/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,4000 [iU]/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,40000 [iU]/1mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,1000 IU/0.3ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 IU/0.6ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.9ml,DB00016
Solution,Nasal,,DB00017
Solution,Intramuscular; Subcutaneous,,DB00017
Powder,Not applicable,1 g/1g,DB00017
"Spray, metered",Nasal,200 [iU]/0.09mL,DB00017
Liquid,Intramuscular; Subcutaneous,,DB00017
"Injection, solution",Intramuscular; Intravenous; Subcutaneous,100 IU,DB00017
"Spray, metered",Nasal,2200 [iU]/1mL,DB00017
"Injection, solution",Intramuscular,200 [iU]/1mL,DB00017
"Injection, solution",Intramuscular; Subcutaneous,200 [USP'U]/1mL,DB00017
"Injection, solution",Intramuscular; Subcutaneous,200.0 [iU]/1.0mL,DB00017
"Spray, metered",Nasal,200 [iU]/1,DB00017
Liquid,Intramuscular; Intravenous; Subcutaneous,,DB00017
Spray,Nasal,,DB00017
Liquid,Nasal,,DB00017
Injection,Subcutaneous,5000000 [arb'U]/1mL,DB00018
Solution,Subcutaneous,,DB00019
Injection,Subcutaneous,6 mg/0.6mL,DB00019
Kit,Subcutaneous,6 mg/0.6mL,DB00019
Solution,Subcutaneous,10 mg,DB00019
"Injection, solution",Subcutaneous,6 mg,DB00019
"Injection, solution",Subcutaneous,6 mg/0.6mL,DB00019
Solution,Subcutaneous,6 mg,DB00019
"Injection, powder, for solution",Intravenous; Subcutaneous,250 ug/1mL,DB00020
"Injection, powder, for solution",Subcutaneous,250 ug/1mL,DB00020
"Injection, powder, lyophilized, for solution",Intravenous; Subcutaneous,250 ug/1mL,DB00020
"Injection, solution",Intravenous; Subcutaneous,500 ug/1mL,DB00020
Liquid,Intravenous; Subcutaneous,500 ug/1mL,DB00020
Liquid,Subcutaneous,500 ug/1mL,DB00020
"Capsule; powder, for solution",Oral; Subcutaneous,,DB00022
,Subcutaneous,120 ug/0.5mL,DB00022
,Subcutaneous,150 ug/0.5mL,DB00022
,Subcutaneous,50 ug/0.5mL,DB00022
,Subcutaneous,80 ug/0.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,120 ug/0.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,150 ug/0.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,50 ug/0.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,80 ug/0.5mL,DB00022
Kit,Subcutaneous,120 ug/0.5mL,DB00022
Kit,Subcutaneous,150 ug/0.5mL,DB00022
Kit,Subcutaneous,50 ug/0.5mL,DB00022
Kit,Subcutaneous,80 ug/0.5mL,DB00022
,Subcutaneous,120 ug/0.1mL,DB00022
,Subcutaneous,40 ug/0.1mL,DB00022
,Subcutaneous,60 ug/0.1mL,DB00022
Kit,Subcutaneous,120 ug/0.1mL,DB00022
Kit,Subcutaneous,40 ug/0.1mL,DB00022
Kit,Subcutaneous,60 ug/0.1mL,DB00022
"Powder, for solution",Subcutaneous,,DB00022
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,10000 [iU]/1,DB00023
"Powder, for solution",Intramuscular; Intravenous,,DB00023
"Injection, powder, for solution",Intravenous,10000 U,DB00023
,Intramuscular,0.9 mg/1mL,DB00024
"Injection, powder, for solution",Intramuscular,0.9 mg/1mL,DB00024
"Powder, for solution",Intramuscular,0.9 mg,DB00024
,Intravenous,125 [iU]/1mL,DB00025
,Intravenous,250 [iU]/1mL,DB00025
,Intravenous,400 [iU]/1mL,DB00025
,Intravenous,600 [iU]/1mL,DB00025
,Intravenous,750 [iU]/1mL,DB00025
,Intravenous,800 [iU]/1mL,DB00025
"Injection, powder, for solution",Intravenous,1000 IU,DB00025
"Injection, powder, for solution",Intravenous,1500 IU,DB00025
"Injection, powder, for solution",Intravenous,2000 IU,DB00025
"Injection, powder, for solution",Intravenous,250 IU,DB00025
"Injection, powder, for solution",Intravenous,3000 IU,DB00025
"Injection, powder, for solution",Intravenous,500 IU,DB00025
Kit,Intravenous,100 [iU]/1mL,DB00025
Kit,Intravenous,125 [iU]/1mL,DB00025
Kit,Intravenous,200 [iU]/1mL,DB00025
Kit,Intravenous,250 [iU]/1mL,DB00025
Kit,Intravenous,300 [iU]/1mL,DB00025
Kit,Intravenous,400 [iU]/1mL,DB00025
Kit,Intravenous,50 [iU]/1mL,DB00025
Kit,Intravenous,500 [iU]/1mL,DB00025
Kit,Intravenous,600 [iU]/1mL,DB00025
Kit,Intravenous,750 [iU]/1mL,DB00025
Kit,Intravenous,800 [iU]/1mL,DB00025
"Powder, for solution",Intravenous,1500 unit,DB00025
"Powder, for solution",Intravenous,3000 unit,DB00025
,Intravenous,1000 [iU]/5mL,DB00025
,Intravenous,1000 [iU]/2mL,DB00025
,Intravenous,1500 [iU]/5mL,DB00025
,Intravenous,1500 [iU]/2mL,DB00025
,Intravenous,250 [iU]/5mL,DB00025
,Intravenous,250 [iU]/2mL,DB00025
,Intravenous,500 [iU]/5mL,DB00025
,Intravenous,500 [iU]/2mL,DB00025
,Intravenous,750 [iU]/5mL,DB00025
,Intravenous,750 [iU]/2mL,DB00025
,Intravenous,1000 [iU]/1mL,DB00025
,Intravenous,1500 [iU]/1mL,DB00025
,Intravenous,2000 [iU]/1mL,DB00025
,Intravenous,3000 [iU]/1mL,DB00025
,Intravenous,500 [iU]/1mL,DB00025
Kit,Intravenous,1000 [iU]/2.5mL,DB00025
Kit,Intravenous,2000 [iU]/5mL,DB00025
Kit,Intravenous,250 [iU]/2.5mL,DB00025
Kit,Intravenous,3000 [iU]/5mL,DB00025
Kit,Intravenous,500 [iU]/2.5mL,DB00025
"Powder, for solution",Intravenous,1000 unit,DB00025
"Powder, for solution",Intravenous,2000 unit,DB00025
"Powder, for solution",Intravenous,250 unit,DB00025
"Powder, for solution",Intravenous,500 unit,DB00025
,Intravenous,1000 [iU]/2.5mL,DB00025
,Intravenous,2000 [iU]/5mL,DB00025
,Intravenous,250 [iU]/2.5mL,DB00025
,Intravenous,3000 [iU]/5mL,DB00025
,Intravenous,500 [iU]/2.5mL,DB00025
"Kit; powder, for solution",Intravenous,1000 unit,DB00025
"Kit; powder, for solution",Intravenous,2000 unit,DB00025
"Kit; powder, for solution",Intravenous,250 unit,DB00025
"Kit; powder, for solution",Intravenous,3000 unit,DB00025
"Kit; powder, for solution",Intravenous,500 unit,DB00025
Kit,Intravenous,375 [iU]/1mL,DB00025
Kit,Intravenous,62.5 [iU]/1mL,DB00025
,Intravenous,100 [iU]/1mL,DB00025
,Intravenous,25 [iU]/1mL,DB00025
,Intravenous,50 [iU]/1mL,DB00025
Kit,Intravenous,1000 [iU]/5mL,DB00025
Kit,Intravenous,1500 [iU]/5mL,DB00025
Kit,Intravenous,250 [iU]/5mL,DB00025
Kit,Intravenous,500 [iU]/5mL,DB00025
"Powder, for solution",Intravenous,,DB00025
"Injection, solution",Subcutaneous,100 mg/0.67ml,DB00026
"Injection, solution",Subcutaneous,100 mg,DB00026
Solution,Subcutaneous,150 mg,DB00026
Solution / drops,Auricular (otic),,DB00027
Solution / drops,Ophthalmic,,DB00027
Solution,Ophthalmic,,DB00027
Solution,Auricular (otic); Ophthalmic,,DB00027
Liquid,Ophthalmic,,DB00027
Liquid,Auricular (otic); Ophthalmic,,DB00027
Solution / drops,Auricular (otic); Ophthalmic,,DB00027
Ointment,Topical,,DB00027
Solution / drops,Topical,,DB00027
Ointment,Auricular (otic); Ophthalmic,,DB00027
Spray,Nasal,,DB00027
Cream,Topical,,DB00027
Liquid,Intravenous,5 g/50mL,DB00028
"Injection, solution",Intravenous,1 g/10mL,DB00028
"Injection, solution",Intravenous,10 g/100mL,DB00028
Liquid,Intravenous,10 g/100mL,DB00028
"Injection, powder, lyophilized, for solution",Intravenous,12 g/1,DB00028
"Injection, powder, lyophilized, for solution",Intravenous,3 g/1,DB00028
"Injection, powder, lyophilized, for solution",Intravenous,6 g/1,DB00028
Solution,Subcutaneous,1 g,DB00028
Solution,Subcutaneous,1.65 g,DB00028
Solution,Subcutaneous,165 mg/1mL,DB00028
Solution,Subcutaneous,2 g,DB00028
Solution,Subcutaneous,3.3 g,DB00028
Solution,Subcutaneous,4 g,DB00028
Solution,Subcutaneous,8 g,DB00028
"Injection, solution",Subcutaneous,200 mg/1mL,DB00028
"Injection, solution",Intravenous,0.5 g/10mL,DB00028
"Injection, solution",Intravenous,0.05 g/1mL,DB00028
"Injection, solution",Intravenous,100 mg/ml,DB00028
"Injection, solution",Intravenous,5 g/50mL,DB00028
"Injection, solution",Intravenous,50 mg/ml,DB00028
"Injection, solution",Intramuscular,0.165 g/1mL,DB00028
Liquid,Intramuscular,16.5 %,DB00028
Solution,Intramuscular,18 %,DB00028
Solution,Intramuscular,,DB00028
"Injection, solution",Intravenous; Subcutaneous,100 mg/1mL,DB00028
,Intravenous,50 mg/1mL,DB00028
Kit,Intravenous,50 mg/1mL,DB00028
"Powder, for solution",Intravenous,,DB00028
"Powder, for solution",Intravenous,2.5 g,DB00028
Injection,Intravenous; Subcutaneous,10 g/100mL,DB00028
Solution,Intravenous,5 g/50mL,DB00028
Solution,Intravenous,5 g/100mL,DB00028
Liquid,Intramuscular,,DB00028
Injection,Intravenous,1 g/1g,DB00028
Solution,Intravenous; Subcutaneous,10 g,DB00028
"Injection, solution",Subcutaneous,200 mg/ml,DB00028
Liquid,Subcutaneous,0.2 g/1mL,DB00028
Solution,Subcutaneous,200 mg,DB00028
Solution,Intramuscular,1500 unit,DB00028
,Subcutaneous,,DB00028
"Injection, solution",Subcutaneous,100 mg/ml,DB00028
Solution,Intravenous; Subcutaneous,,DB00028
Liquid,Intravenous,,DB00028
"Kit; liquid; powder, for solution",Intravenous,,DB00028
Solution,Intravenous,,DB00028
Solution,Intravenous,50 mg/1mL,DB00028
Solution,Intravenous,100 mg,DB00028
Solution,Intravenous,100 mg/1mL,DB00028
Liquid,Intravenous,20 g/200mL,DB00028
Liquid,Intravenous,40 g/400mL,DB00028
Solution,Intravenous,10 %,DB00028
Solution,Subcutaneous,160 mg/1mL,DB00028
Solution,Subcutaneous,160 mg,DB00028
Liquid,Intramuscular; Intravenous,1500 [iU]/1mL,DB00028
Liquid,Intramuscular; Intravenous,15000 [iU]/1mL,DB00028
Liquid,Intramuscular; Intravenous,2500 [iU]/1mL,DB00028
Liquid,Intramuscular; Intravenous,5000 [iU]/1mL,DB00028
Liquid,Intramuscular; Intravenous,600 [iU]/1mL,DB00028
Injection,Intramuscular; Intravenous,1500 [iU]/1,DB00028
Injection,Intramuscular; Intravenous,15000 [iU]/1,DB00028
Injection,Intramuscular; Intravenous,2500 [iU]/1,DB00028
Injection,Intramuscular; Intravenous,5000 [iU]/1,DB00028
Solution,Subcutaneous,20 %,DB00028
Solution,Subcutaneous,200 mg/1mL,DB00028
"Powder, for solution",Intravenous,,DB00029
,Respiratory (inhalation),,DB00030
Kit,Respiratory (inhalation),,DB00030
"Powder, metered",Respiratory (inhalation),12 1/1,DB00030
"Powder, metered",Respiratory (inhalation),4 1/1,DB00030
"Powder, metered",Respiratory (inhalation),8 1/1,DB00030
Solution,Subcutaneous,,DB00030
"Aerosol, powder",Respiratory (inhalation),1 mg/1,DB00030
"Aerosol, powder",Respiratory (inhalation),3 mg/1,DB00030
"Injection, suspension",Subcutaneous,100 [iU]/1mL,DB00030
"Injection, suspension",Subcutaneous,100,DB00030
Suspension,Subcutaneous,100 unit/mL,DB00030
Suspension,Subcutaneous,,DB00030
"Injection, solution",Parenteral,100 [iU]/1mL,DB00030
"Injection, solution",Subcutaneous,100 [iU]/1mL,DB00030
Solution,Intramuscular; Intravenous; Subcutaneous,100 unit/mL,DB00030
Solution,Intramuscular; Subcutaneous,,DB00030
"Injection, solution",Subcutaneous,500 [iU]/1mL,DB00030
"Injection, suspension",Subcutaneous,100 IU/ml,DB00030
"Injection, suspension",Subcutaneous,40 IU/ml,DB00030
"Injection, solution",Subcutaneous,100 IU/ml,DB00030
"Injection, solution",Intravenous; Subcutaneous,100 IU/ml,DB00030
"Injection, solution",Intravenous; Subcutaneous,40 IU/ml,DB00030
"Injection, solution",Intraperitoneal,400 IU/ml,DB00030
"Injection, solution",Intravenous,1.00 [iU]/1mL,DB00030
"Injection, suspension",Subcutaneous,100 [USP'U]/1mL,DB00030
Solution,Intramuscular; Intravenous; Subcutaneous,,DB00030
Liquid,Intramuscular; Intravenous; Subcutaneous,,DB00030
"Injection, powder, for solution",Intravenous,10000 units,DB00031
"Injection, powder, for solution",Intravenous,8000 units,DB00031
,Intravenous,52.5 mg/50mg,DB00031
Kit,Intravenous; Topical,,DB00031
"Powder, for solution",Intravenous,50 mg,DB00031
"Powder, for solution",Subcutaneous,75 unit,DB00032
"Powder, for solution",Intramuscular; Subcutaneous,75 unit,DB00032
"Injection, solution",Subcutaneous,100 ug/0.5mL,DB00033
"Powder, for solution",Intramuscular; Subcutaneous,,DB00034
"Injection, solution",Subcutaneous,11.1 ug/0.5mL,DB00034
"Injection, solution",Subcutaneous,22.2 ug/0.5mL,DB00034
"Injection, solution",Subcutaneous,33.3 ug/0.5mL,DB00034
Liquid,Intramuscular; Subcutaneous,,DB00034
Solution,Intramuscular; Subcutaneous,,DB00034
Solution,Intravenous,4 ug/1mL,DB00035
Spray,Nasal,0.1 ug/1mL,DB00035
Liquid,Intramuscular; Intravenous; Subcutaneous,,DB00035
"Tablet, orally disintegrating",Sublingual,,DB00035
Solution,Nasal,,DB00035
"Aerosol, metered",Nasal,,DB00035
Tablet,Oral,,DB00035
Injection,Intravenous,4 ug/1mL,DB00035
Injection,Intravenous; Subcutaneous,4 ug/1mL,DB00035
"Injection, solution",Intravenous; Subcutaneous,4 ug/1mL,DB00035
"Injection, solution",Intravenous; Subcutaneous,40 ug/10mL,DB00035
Powder,Not applicable,1 g/1g,DB00035
Solution,Nasal,0.1 mg/1mL,DB00035
Spray,Nasal,0.1 mg/1mL,DB00035
Spray,Nasal,10 ug/1,DB00035
Spray,Nasal,10 ug/0.1mL,DB00035
Tablet,Oral,0.1 mg/1,DB00035
Tablet,Oral,0.2 mg/1,DB00035
"Spray, metered",Nasal,,DB00035
Tablet,Sublingual,27.7 ug/1,DB00035
Tablet,Sublingual,55.3 ug/1,DB00035
"Tablet, orally disintegrating",Sublingual,25 mcg,DB00035
"Tablet, orally disintegrating",Sublingual,50 mcg,DB00035
"Spray, metered",Nasal,0.83 ug/1,DB00035
"Spray, metered",Nasal,1.66 ug/1,DB00035
,Nasal,,DB00035
Liquid,Intravenous; Subcutaneous,,DB00035
Spray,Nasal,,DB00035
"Spray, metered",Nasal,1.5 mg/1mL,DB00035
"Powder, for solution",Intravenous,,DB00036
"Kit; powder, for solution",Intravenous,,DB00036
"Injection, powder, for solution",Intravenous,100 KIU,DB00036
"Injection, powder, for solution",Intravenous,250 KIU,DB00036
"Injection, powder, for solution",Intravenous,400 KIU,DB00036
"Injection, powder, for solution",Intravenous,50 KIU,DB00036
Kit,Intravenous,1 mg/1mL,DB00036
Kit,Subcutaneous,5 mg/1mL,DB00038
Injection,Intravenous,6.25 mg/1mL,DB00039
"Injection, powder, lyophilized, for solution",Intravenous,6.25 mg/1.2mL,DB00039
"Powder, for solution",Intravenous,6.25 mg,DB00039
Powder,Nasal,3 mg/1,DB00040
Powder,Nasal,3 mg,DB00040
"Injection, powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 mg/1mL,DB00040
"Kit; powder, for solution",Intramuscular,1 mg,DB00040
,Intramuscular; Intravenous,,DB00040
,Intramuscular; Intravenous; Subcutaneous,1 mg/1mL,DB00040
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,1 mg/1mL,DB00040
Kit,Intramuscular; Intravenous,,DB00040
Kit,Intramuscular; Intravenous; Subcutaneous,1 mg/1mL,DB00040
"Kit; powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 mg,DB00040
"Powder, for solution",Intramuscular; Intravenous; Subcutaneous,,DB00040
"Injection, solution",Subcutaneous,0.5 mg/0.1mL,DB00040
"Injection, solution",Subcutaneous,1 mg/0.2mL,DB00040
Injection,Intravenous,1.1 mg/1mL,DB00041
"Injection, powder, lyophilized, for solution",Intravenous,1.1 mg/1mL,DB00041
"Powder, for solution",Intravenous,22000000 unit,DB00041
"Injection, solution",Intramuscular,10000 [USP'U]/2mL,DB00042
"Injection, solution",Intramuscular,2500 [USP'U]/0.5mL,DB00042
