drugbank-id,name,unii,cas-number,inchikey,average-mass,monoisotopic-mass,parent_key
DBSALT001754,Cysteine hydrochloride,ZT934N0X4W,7048-04-6,QIJRTFXNRTXDIP-JIZZDEOASA-N,175.63,175.0069921,DB00151
DBSALT002650,Thiamine chloride,X66NSO3N35,59-43-8,MYVIATVLJGTBFV-UHFFFAOYSA-M,300.808,300.081159583,DB00152
DBSALT000205,Thiamine hydrochloride,M572600E5P,67-03-8,DPJRMOMPQZCRJU-UHFFFAOYSA-M,337.269,336.057837322,DB00152
DBSALT001495,Thiamine mononitrate,8K0I04919X,532-43-4,UIERGBJEBXXIGO-UHFFFAOYSA-N,327.359,327.100124747,DB00152
DBSALT002649,Sodium dihomo-gamma-linolenate,DIY57A1X5I,65881-87-0,SQGOEODKLMPIRQ-HPFCUAHCSA-M,328.472,328.23782458,DB00154
DBSALT001918,Folate sodium,9P9W8GGU78,6484-89-5,SWIRFWUEJODNRG-CURYUGHLSA-L,485.368,485.10356986,DB00158
DBSALT002305,Icosapent sodium,5PXN91KPRO,73167-03-0,RBZYGQJEMWGTOH-RSDXMDNYSA-M,324.44,324.20652445,DB00159
DBSALT001720,Vitamin A acetate,3LE3D9D6OY,127-47-9,QGNJRVVDBSJHIZ-QHLGVNSISA-N,328.496,328.24023027,DB00162
DBSALT000855,Vitamin A palmitate,1D1K0N0VVC,79-81-2,VYGQUTWHTHXGQB-FFHKNEKCSA-N,524.8604,524.459331164,DB00162
DBSALT000151,Pyridoxine hydrochloride,68Y4CF58BV,58-56-0,ZUFQODAHGAHPFQ-UHFFFAOYSA-N,205.639,205.050570962,DB00165
DBSALT002406,Adenosine triphosphate disodium,5L51B4DR1G,987-65-5,TTWYZDPBDWHJOR-IDIVVRGQSA-L,551.145,550.95963508,DB00171
DBSALT002407,Adenosine triphosphate disodium trihydrate,7ZRM409FOZ,51963-61-2,MWEQTWJABOLLOS-AZGWGOJFSA-L,605.19,604.99132914,DB00171
DBSALT002225,Adenine hydrochloride,364H11M7OD,2922-28-3,UQVDQSWZQXDUJB-UHFFFAOYSA-N,171.59,171.0311729,DB00173
DBSALT002226,Adenine sulfate,741GJF3K9M,321-30-2,LQXHSCOPYJCOMD-UHFFFAOYSA-N,368.33,368.07637008,DB00173
DBSALT000146,Pravastatin sodium,3M8608UQ61,81131-70-6,VWBQYTRBTXKKOG-IYNICTALSA-M,446.5096,446.228048149,DB00175
DBSALT000879,Fluvoxamine maleate,5LGN83G74V,61718-82-9,LFMYNZPAVPMEGP-PIDGMYBPSA-N,434.412,434.166471022,DB00176
DBSALT001845,Flunisolide hemihydrate,QK4DYS664X,77326-96-6,MIXMJCQRHVAJIO-TZHJZOAOSA-N,887.024,886.431498447,DB00180
DBSALT002256,Baclofen hydrochloride,64OSE3996V,28311-31-1,WMNUVYYLMCMHLU-UHFFFAOYSA-N,250.12,249.0323341,DB00181
DBSALT001323,Amphetamine adipate,Z58RH02W4M,64770-51-0,OFCJKOOVFDGTLY-UHFFFAOYSA-N,281.352,281.162708225,DB00182
DBSALT001345,Amphetamine aspartate,H527KAP6L5,25333-81-7,OJNSNSZTGUACNI-VAGRMJETSA-N,403.523,403.247106555,DB00182
DBSALT001501,Amphetamine aspartate monohydrate,O1ZPV620O4,851591-76-9,DAWXRFCLWKUCNS-MNTSKLTCSA-N,421.538,421.257671239,DB00182
DBSALT001205,Amphetamine sulfate,6DPV8NK46S,60-13-9,PYHRZPFZZDCOPH-UHFFFAOYSA-N,368.49,368.176978564,DB00182
DBSALT002418,Nicotine bitartrate,7892ZN5G41,65-31-6,RFEJUZJILGIRHQ-OMDKHLBYSA-N,462.408,462.148574285,DB00184
DBSALT002417,Nicotine bitartrate dihydrate,R7M676M8YV,6019-06-3,LDMPZNTVIGIREC-ZGPNLCEMSA-N,498.438,498.169703654,DB00184
DBSALT000805,Cevimeline hydrochloride,P81Q6V85NP,153504-70-2,ZSTLCHCDLIUXJE-ZGBAEQJLSA-N,489.56,488.1700908,DB00185
DBSALT000586,Esmolol hydrochloride,V05260LC8D,81161-17-3,GEKNCWBANDDJJL-UHFFFAOYSA-N,331.835,331.155036032,DB00187
DBSALT001834,Carbidopa hydrate,MNX7R8C5VO,38821-49-7,QTAOMKOIBXZKND-PPHPATTJSA-N,244.2444,244.105921632,DB00190
DBSALT000138,Phentermine hydrochloride,0K2I505OTV,1197-21-3,NCAIGTHBQTXTLR-UHFFFAOYSA-N,185.694,185.097127224,DB00191
DBSALT000880,Indecainide hydrochloride,M76V0B96L5,73681-12-6,NXNSCUZKMVYAJQ-UHFFFAOYSA-N,344.88,344.1655411,DB00192
DBSALT000181,Tramadol hydrochloride,9N7R477WCK,36282-47-0,PPKXEPBICJTCRU-XMZRARIVSA-N,299.836,299.165206788,DB00193
DBSALT000328,Betaxolol hydrochloride,6X97D2XT0O,63659-19-8,CHDPSNLJFOQTRK-UHFFFAOYSA-N,343.889,343.191421538,DB00195
DBSALT000881,Oseltamivir phosphate,4A3O49NGEZ,204255-11-8,PGZUMBJQJWIWGJ-ONAKXNSWSA-N,410.404,410.181802964,DB00198
DBSALT001358,Erythromycin estolate,XRJ2P631HP,3521-62-8,AWMFUEJKWXESNL-JZBHMOKNSA-N,1056.4,1055.642636461,DB00199
DBSALT001220,Erythromycin ethylsuccinate,1014KSJ86F,1264-62-6,NSYZCCDSJNWWJL-YXOIYICCSA-N,862.064,861.508585339,DB00199
DBSALT001340,Erythromycin gluceptate,2AY21R0U64,23067-13-2,ZXBDZLHAHGPXIG-VTXLJDRKSA-N,960.118,959.530108632,DB00199
DBSALT001219,Erythromycin lactobionate,33H58I7GLQ,3847-29-8,NNRXCKZMQLFUPL-WBMZRJHASA-N,1092.233,1091.57236737,DB00199
DBSALT001624,Erythromycin phosphate,I8T8KU14X7,4501-00-2,VUEMAFLGEMYXIH-YZPBMOCRSA-N,831.931,831.438136796,DB00199
DBSALT001221,Erythromycin stearate,LXW024X05M,643-22-1,YAVZHCFFUATPRK-YZPBMOCRSA-N,1018.421,1017.732771621,DB00199
DBSALT002260,Erythromycin sulfate,KVW9N83AME,7184-72-7,XTSSJGRRFMNXGO-YZPBMOCRSA-N,832.01,831.42862094,DB00199
DBSALT001625,Erythromycin thiocyanate,Y7A95YRI88,7704-67-8,WVRRTEYLDPNZHR-YZPBMOCRSA-N,793.02,792.444211432,DB00199
DBSALT001895,Hydroxocobalamin acetate,S535M27N3Q,22465-48-1,XVRCTDQUXAWPBW-FBTIOKFQSA-K,1406.429,1405.588195,DB00200
DBSALT000866,Caffeine citrate,U26EO4675Q,69-22-7,RCQXSQPPHJPGOF-UHFFFAOYSA-N,386.317,386.107378176,DB00201
DBSALT000206,Succinylcholine chloride,I9L0DDD30I,71-27-2,YOEWQQVKRJEPAE-UHFFFAOYSA-L,361.305,360.158262872,DB00202
DBSALT000347,Sildenafil citrate,BW9B0ZE037,171599-83-0,DEIYFTQMQPDXOT-UHFFFAOYSA-N,666.7,666.231926778,DB00203
DBSALT000385,Pyrimethamine hydrochloride,,19085-09-7,JZCLIFPQURTYFA-UHFFFAOYSA-N,285.172,284.059551882,DB00205
DBSALT000882,Azithromycin dihydrate,5FD1131I7S,117772-70-0,SRMPHJKQVUDLQE-KUJJYQHYSA-N,785.026,784.529655135,DB00207
DBSALT001208,Azithromycin monohydrate,JTE4MNN1MD,121470-24-4,HQUPLSLYZHKKQT-WVVFQGGUSA-N,767.011,766.519090451,DB00207
DBSALT000179,Ticlopidine hydrochloride,A1L4914FMF,53885-35-1,MTKNGOHFNXIVOS-UHFFFAOYSA-N,300.247,299.030225589,DB00208
DBSALT000883,Trospium chloride,1E6682427E,10405-02-4,RVCSYOQWLPPAOA-QKYUOBHYSA-M,427.97,427.1914215,DB00209
DBSALT000250,Midodrine hydrochloride,59JV96YTXV,43218-56-0,MGCQZNBCJBRZDT-UHFFFAOYSA-N,290.743,290.103334813,DB00211
DBSALT000853,Pantoprazole magnesium,1AL13B11R4,199387-73-0,RDRUTBCDIVCMMX-UHFFFAOYSA-N,789.03,788.11965859,DB00213
DBSALT001960,Pantoprazole magnesium hemipentahydrate,,,GYTCJCWFCBALFS-UHFFFAOYSA-N,879.1,878.17248201,DB00213
DBSALT000386,Pantoprazole sodium,S9363155XL,138786-67-1,YNWDKZIIWCEDEE-UHFFFAOYSA-N,405.352,405.057077726,DB00213
DBSALT000027,Citalopram hydrobromide,I1E9D14F36,59729-32-7,WIHMBLDNRMIGDW-UHFFFAOYSA-N,405.304,404.089954188,DB00215
DBSALT000884,Eletriptan hydrobromide,M41W832TA3,177834-92-3,UTINOWOSWSPFLJ-FSRHSHDFSA-N,463.43,462.097662,DB00216
DBSALT002562,Eletriptan hydrobromide monohydrate,4139X692FA,273211-28-2,BORDVONYOHPTGR-JQDLGSOUSA-N,481.45,480.108227,DB00216
DBSALT000194,Bethanidine sulfate,J4THI5N7O2,114-85-2,YTIJUXVIZLYQTB-UHFFFAOYSA-N,452.571,452.220574232,DB00217
DBSALT000387,Moxifloxacin hydrochloride,C53598599T,186826-86-8,IDIIJJHBXUESQI-DFIJPDEKSA-N,437.892,437.151762215,DB00218
DBSALT002560,Moxifloxacin hydrochloride monohydrate,B8956S8609,192927-63-2,SKZIMSDWAIZNDD-WJMOHVQJSA-N,455.91,455.1623268,DB00218
DBSALT000207,Oxyphenonium bromide,S9421HWB3Z,50-10-2,UKLQXHUGTKWPSR-UHFFFAOYSA-M,428.404,427.172206606,DB00219
DBSALT000885,Nelfinavir mesylate,98D603VP8V,159989-65-8,NQHXCOAXSHGTIA-SKXNDZRYSA-N,663.89,663.301193278,DB00220
DBSALT000349,Isoetharine hydrochloride,51V8U784H3,2576-92-3,MUFDLGGSOCHQOC-UHFFFAOYSA-N,275.772,275.128821282,DB00221
DBSALT000886,Isoetharine mesylate,DV74WJ5PJB,7279-75-6,SOYAGMVKMXZVNZ-UHFFFAOYSA-N,335.42,335.140258703,DB00221
DBSALT000887,Diflorasone diacetate,7W2J09SCWX,33564-31-7,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,494.532,494.211609696,DB00223
DBSALT001802,Indinavir monohydrate,5W6YA9PKKH,180683-37-8,XTYSXGHMTNTKFH-BDEHJDMKSA-N,631.818,631.373369698,DB00224
DBSALT000338,Indinavir sulfate,771H53976Q,157810-81-6,NUBQKPWHXMGDLP-BDEHJDMKSA-N,711.868,711.330184259,DB00224
DBSALT000888,Gadodiamide hydrate,0RPE15QPL0,122795-43-1,XPCLDSMKWNNKOM-UHFFFAOYSA-K,591.68,592.11281,DB00225
DBSALT000889,Guanadrel sulfate,MT147RMO91,22195-34-2,RTEVGQJRTFFMLL-UHFFFAOYSA-N,524.63,524.262833446,DB00226
DBSALT000796,Cefotiam hydrochloride,H7V12WDZ93,66309-69-1,SVSFIELZISOJDT-XRZFDKQNSA-N,562.089,561.080190078,DB00229
DBSALT002272,Temazepam hydrochloride,IA4EP07006,97598-16-8,GPVUAFAZVYNKRQ-UHFFFAOYSA-N,337.2,336.0432331,DB00231
DBSALT002271,Temazepam sulfate,I1HX8463I0,31677-86-8,XNBFXTXDZMWXMN-UHFFFAOYSA-N,398.81,398.0339351,DB00231
DBSALT001939,Aminosalicylate calcium,73I4QDW01W,133-15-3,XDWVNCOPMIEDJK-UHFFFAOYSA-L,344.336,344.032127,DB00233
DBSALT000354,Aminosalicylate sodium anhydrous,T9ZKL3TNQF,133-10-8,FVVDKUPCWXUVNP-UHFFFAOYSA-M,175.1172,175.024537738,DB00233
DBSALT001940,Calcium aminosalicylate trihydrate,9VF16M7FWU,6059-16-1,IPLQYSPEGHNJCQ-UHFFFAOYSA-L,398.381,398.0638211,DB00233
DBSALT002415,Potassium aminosalicylate,7N21461LKD,133-09-5,PRZJIMSXCLZGLT-UHFFFAOYSA-M,191.227,190.99847455,DB00233
DBSALT001938,Sodium aminosalicylate dihydrate,S38B9W6AXW,6018-19-5,GMUQJDAYXZXBOT-UHFFFAOYSA-M,211.149,211.04566671,DB00233
DBSALT000890,Reboxetine mesilate,L94J81YNNY,98769-84-7,CGTZMJIMMUNLQD-STYNFMPRSA-N,409.5,409.155908767,DB00234
DBSALT000891,Milrinone lactate,9K8XR81MO8,100286-97-3,VWUPWEAFIOQCGF-UHFFFAOYSA-N,301.302,301.106255975,DB00235
DBSALT000312,Butabarbital sodium,9WTD50I918,143-81-7,QORQZMBCPRBCAB-UHFFFAOYSA-M,234.2275,234.098037031,DB00237
DBSALT002723,Nevirapine hemihydrate,B7XF2TD73C,220988-26-1,KMTLSXAXTLQBKJ-UHFFFAOYSA-N,550.623,550.244086858,DB00238
DBSALT000892,Oxiconazole nitrate,RQ8UL4C17S,64211-46-7,WVNOAGNOIPTWPT-NDUABGMUSA-N,492.13,489.9769157,DB00239
DBSALT000893,Alclometasone dipropionate,S56PQL4N1V,66734-13-2,DJHCCTTVDRAMEH-DUUJBDRPSA-N,521.05,520.2227812,DB00240
DBSALT002235,Butalbital sodium,BBH31P2ABJ,23554-70-3,LIZXGILRVOONMO-UHFFFAOYSA-M,246.242,246.09803663,DB00241
DBSALT000388,Ranolazine hydrochloride,F71253DJUN,95635-56-6,RJNSNFZXAZXOFX-UHFFFAOYSA-N,500.458,499.200462037,DB00243
DBSALT000894,Benzatropine mesylate,WMJ8TL7510,132-17-2,CPFJLLXFNPCTDW-BWSPSPBFSA-N,403.54,403.181729592,DB00245
DBSALT000810,Ziprasidone hydrochloride,JAL53626GG,122883-93-6,NZDBKBRIBJLNNT-UHFFFAOYSA-N,449.39,448.0891379,DB00246
DBSALT000811,Ziprasidone mesylate trihydrate,3X6SAX83JZ,199191-69-0,WLQZEFFFIUHSJB-UHFFFAOYSA-N,563.087,562.132268453,DB00246
DBSALT000895,Methysergide maleate,2U7H1466GH,129-49-7,LWYXFDXUMVEZKS-ZVFOLQIPSA-N,469.538,469.22128573,DB00247
DBSALT000139,Phenytoin sodium,4182431BJH,630-93-3,FJPYVLNWWICYDW-UHFFFAOYSA-M,274.2498,274.071822281,DB00252
DBSALT001217,Doxycycline calcium,8ZL07I20SB,94088-85-4,IYECPECUTCOMMD-QFWOMMJSSA-N,524.594,524.0762532,DB00254
DBSALT000896,Doxycycline hyclate,19XTS3T51U,24390-14-5,HALQELOKLVRWRI-VDBOFHIQSA-N,1025.88,1024.3123164,DB00254
DBSALT000897,Doxycycline hydrochloride,4182Z6T2ET,10592-13-9,RUYHIJHUVHIMIR-CVHRZJFOSA-N,480.9,480.1299435,DB00254
DBSALT001956,Doxycycline monohydrate,N12000U13O,17086-28-1,XQTWDDCIUJNLTR-CVHRZJFOSA-N,462.455,462.163830425,DB00254
DBSALT001389,Diethylstilbestrol diphosphate,A0E0NMA80F,522-40-7,NLORYLAYLIXTID-ISLYRVAYSA-N,428.314,428.078991664,DB00255
DBSALT001169,Diethylstilbestrol diphosphate sodium,,,,,,DB00255
DBSALT001536,Calcium acetate monohydrate,7ZA48GIM5H,5743-26-0,XQKKWWCELHKGKB-UHFFFAOYSA-L,176.181,175.9997643,DB00258
DBSALT000379,Anagrelide hydrochloride,VNS4435G39,58579-51-4,TVWRQCIPWUCNMI-UHFFFAOYSA-N,292.549,290.973295014,DB00261
DBSALT001376,Sulfisoxazole diolamine,30S4B46J8B,4299-60-9,FEPTXVIRMZIGFY-UHFFFAOYSA-N,372.44,372.146741063,DB00263
DBSALT001329,Metoprolol fumarate,IO1C09Z674,119637-66-0,BRIPGNJWPCKDQZ-WXXKFALUSA-N,650.81,650.377845947,DB00264
DBSALT000863,Metoprolol succinate,TH25PD4CCB,98418-47-4,RGHAZVBIOOEVQX-UHFFFAOYSA-N,652.826,652.393496011,DB00264
DBSALT000862,Metoprolol tartrate,W5S57Y3A5L,56392-17-7,YGULWPYYGQCFMP-CEAXSRTFSA-N,684.824,684.383325251,DB00264
DBSALT000801,Cefmenoxime hydrochloride,NON736D32W,75738-58-8,HZYJYGJIOCXOTH-FAIYLGIWSA-N,548.019,547.028154508,DB00267
DBSALT000390,Ropinirole Hydrochloride,D7ZD41RZI9,91374-20-8,XDXHAEQXIBQUEZ-UHFFFAOYSA-N,296.836,296.165541139,DB00268
DBSALT000844,Diatrizoate meglumine,3X9MR4N98U,131-49-7,MIKKOBKEXMRYFQ-WZTVWXICSA-N,809.1272,808.880309705,DB00271
DBSALT000267,Diatrizoate sodium,V5403H8VG7,737-31-5,ZEYOIOAKZLALAP-UHFFFAOYSA-M,635.8954,635.751581689,DB00271
DBSALT000898,Betazole hydrochloride,66ABP6C83F,138-92-1,BUXCUOWXTOKEMQ-UHFFFAOYSA-N,184.06,183.0330028,DB00272
DBSALT002319,Topiramate calcium,P956SY6RA6,1246279-00-4,VNRLRDKZOMPUAG-RZTSBURASA-N,716.78,716.1445165,DB00273
DBSALT002320,Topiramate potassium,SMU8E1YBZ3,488127-51-1,VEKVPJSPZRTTGR-WGAVTJJLSA-N,377.45,377.05466927,DB00273
DBSALT002318,Topiramate sodium,N808MSN0PT,488127-49-7,ZUWVVMMRNQEJMW-WGAVTJJLSA-N,361.34,361.08073206,DB00273
DBSALT000391,Cefmetazole sodium,37Y9VR4W7A,56796-39-5,BITQGIOJQWZUPL-UHFFFAOYSA-M,493.516,493.027273402,DB00274
DBSALT001815,Olmesartan medoxomil,6M97XTV3HD,144689-63-4,UQGKUQLKSCSZGY-UHFFFAOYSA-N,558.595,558.22268271,DB00275
DBSALT002301,Amsacrine gluconate,M4P91439UZ,80277-07-2,XXNAQBNJPZNRSZ-IFWQJVLJSA-N,589.62,589.173015384,DB00276
DBSALT002302,Amsacrine hydrochloride,U66HX4K4CO,54301-15-4,WDISRLXRMMTXEV-UHFFFAOYSA-N,429.92,429.0913904,DB00276
DBSALT002300,Amsacrine mesylate,7LWQ0T63UA,54301-16-5,KIDGPIWSXHBPDH-UHFFFAOYSA-N,489.56,489.102827821,DB00276
DBSALT001603,Theophylline sodium glycinate,2S36N8T753,8000-10-0,AIJQWRAOMFRHTQ-UHFFFAOYSA-M,277.216,277.07869817,DB00277
DBSALT001826,Argatroban monohydrate,IY90U61Z3S,141396-28-3,AIEZTKLTLCMZIA-CZSXTPSTSA-N,526.65,526.257354142,DB00278
DBSALT000321,Liothyronine sodium,GCA9VV7D2N,55-06-1,SBXXSUDPJJJJLC-UHFFFAOYSA-M,672.9553,672.77198278,DB00279
DBSALT000899,Disopyramide phosphate,N6BOM1935W,22059-60-5,CGDDQFMPGMYYQP-UHFFFAOYSA-N,437.477,437.20795814,DB00280
DBSALT000900,Lidocaine hydrochloride,V13007Z41A,6108-05-0,YECIFGHRMFEPJK-UHFFFAOYSA-N,288.82,288.1604558,DB00281
DBSALT001508,Lidocaine hydrochloride anhydrous,EC2CNF7XFP,73-78-9,IYBQHJMYDGVZRY-UHFFFAOYSA-N,270.8,270.1498911,DB00281
DBSALT000836,Pamidronate Disodium,C7S8VWP5DH,109552-15-0,CEYUIFJWVHOCPP-UHFFFAOYSA-L,279.0331,278.964964021,DB00282
DBSALT000901,Clemastine fumarate,19259EGQ3D,14976-57-9,PMGQWSIVQFOFOQ-YKVZVUFRSA-N,459.97,459.1812508,DB00283
DBSALT000186,Venlafaxine hydrochloride,7D7RX5A8MO,99300-78-4,QYRYFNHXARDNFZ-UHFFFAOYSA-N,313.863,313.180856852,DB00285
DBSALT001207,Atomoxetine hydrochloride,57WVB6I2W0,82248-59-7,LUCXVPAZUDVVBT-UNTBIKODSA-N,291.82,291.138992,DB00289
DBSALT000196,Bleomycin sulfate,7DP3NTV15T,9041-93-4,WUIABRMSWOKTOF-OCBSMOPSSA-N,1512.622,1511.478534115,DB00290
DBSALT002224,Morphine acetate,VEO43W5229,596-15-6,CLDOGJORCNORLA-VYKNHSEDSA-N,345.395,345.157622845,DB00295
DBSALT001753,Morphine hydrochloride,J28GE0ROVX,52-26-6,XCKKIKBIPZJUET-VYKNHSEDSA-N,321.8,321.1131712,DB00295
DBSALT002222,Morphine mesylate,QXB8THK8QY,335328-17-1,MHEMFNFIWLUDDJ-VYKNHSEDSA-N,381.44,381.124608639,DB00295
DBSALT002221,Morphine nitrate,DV2P23JCWV,596-16-7,VHBDDUMTLJSZDR-VYKNHSEDSA-N,348.355,348.132136372,DB00295
DBSALT002220,Morphine phosphate,1LQ9207LZE,596-17-8,KZSZGTYWWBPNKB-VYKNHSEDSA-N,383.337,383.11338905,DB00295
DBSALT000122,Morphine sulfate,DY70C97N30,64-31-3,USAHOPJHPJHUNS-IFCNUISUSA-N,668.754,668.2403662,DB00295
DBSALT001986,Morphine sulfate pentahydrate,X3P646A2J0,6211-15-0,GRVOTVYEFDAHCL-RTSZDRIGSA-N,758.83,758.293190092,DB00295
DBSALT002223,Morphine tartrate,U3NSU23LHD,302-31-8,SVTKSKRNLMAUKF-HAIKCVHQSA-N,720.772,720.289424865,DB00295
DBSALT000902,Ropivacaine hydrochloride,V910P86109,132112-35-7,VSHFRHVKMYGBJL-CKUXDGONSA-N,328.88,328.1917559,DB00296
DBSALT002892,Ropivacaine hydrochloride anhydrous,35504LBE2T,98717-15-8,NDNSIBYYUOEUSV-RSAXXLAASA-N,310.87,310.1811912,DB00296
DBSALT001512,Bupivacaine hydrochloride,7TQO7W3VT8,73360-54-0,HUCIWBPMHXGLFM-UHFFFAOYSA-N,342.91,342.2074059,DB00297
DBSALT000202,Bupivacaine hydrochloride anhydrous,AKA908P8J1,18010-40-7,SIEYLFHKZGLBNX-UHFFFAOYSA-N,324.889,324.196841267,DB00297
DBSALT001438,Dapiprazole hydrochloride,DS9UJN1I0X,72822-13-0,ZIODNPFQZIHCOE-UHFFFAOYSA-N,361.92,361.2033236,DB00298
