synonym,language,coder,drugbank-id
Calcitonin salmon,english,,DB00017
Calcitonin salmon recombinant,english,,DB00017
Calcitonin-salmon,english,,DB00017
"Calcitonin, salmon",english,,DB00017
Calcitonina salmón sintética,spanish,,DB00017
Recombinant salmon calcitonin,english,,DB00017
Salmon calcitonin,english,,DB00017
Granulocyte colony-stimulating factor pegfilgrastim,english,,DB00019
peg-filgrastim,english,,DB00019
pegfilgrastim-apgf,english,,DB00019
pegfilgrastim-bmez,english,,DB00019
pegfilgrastim-cbqv,english,,DB00019
pegfilgrastim-jmdb,english,,DB00019
Recombinant human granulocyte-macrophage colony stimulating factor,english,,DB00020
rGM-CSF,english,,DB00020
rHu GM-CSF,english,,DB00020
Sargramostim,english,inn/jan/usan/usp,DB00020
Asparaginase,english,,DB00023
Asparaginase (E. coli),english,,DB00023
Colaspase,english,ban,DB00023
Escherichia coli L-asparaginase,english,,DB00023
L-asparaginase,english,,DB00023
L-asparagine amidohydrolase,english,,DB00023
Recombinant Human Thyroid Stimulating Hormone,english,,DB00024
Recombinant thyrotropin alfa,english,,DB00024
rhTSH,english,,DB00024
rTSH,english,,DB00024
Thyrotropin alpha,english,,DB00024
Antihemophilic factor (recombinant),english,,DB00025
Antihemophilic factor recombinant,english,,DB00025
"Antihemophilic factor, human recombinant",english,,DB00025
"Antihemophilic factor, recombinant",english,,DB00025
Factor VIII (rDNA),english,,DB00025
Factor VIII (Recombinant),english,,DB00025
Factor VIII recombin,english,,DB00025
"Factor VIII, recombinant",english,,DB00025
Human Factor VIII (Recombinant),english,,DB00025
Human factor VIII recombinant,english,,DB00025
Octocog alfa,english,inn,DB00025
rAHF,english,,DB00025
Recombinant antihemophilic factor VIII,english,,DB00025
Anakinra,english,inn/usan,DB00026
IL-1RA,english,,DB00026
Interleukin-1 receptor antagonist anakinra,english,,DB00026
Bacillus brevis gramicidin D,english,,DB00027
Gramicidin,english,,DB00027
Gramicidin A,english,,DB00027
Gramicidin B,english,,DB00027
Gramicidin C,english,,DB00027
Gramicidina,spanish,,DB00027
Gramicidine,english,,DB00027
Human IGG,english,,DB00028
Human immunoglobulin G,english,,DB00028
Human normal immunoglobulin,english,,DB00028
Immune globulin (human),english,,DB00028
Immune globulin human,english,,DB00028
Immunoglobulin (human),english,,DB00028
Immunoglobulin G (human),english,,DB00028
"Immunoglobulin G, human",english,,DB00028
IVIg,english,,DB00028
Anisoylated plasminogen streptokinase activator complex,english,,DB00029
APSAC,english,,DB00029
High molecular weight insulin human,english,,DB00030
Human insulin,english,,DB00030
human insulin (rDNA),english,,DB00030
Insulin (human),english,,DB00030
Insulin human,english,inn/ban/usan/usp,DB00030
Insulin human [rDNA origin],english,,DB00030
Insulin Human Regular,english,,DB00030
Insulin human regular (rDNA),english,,DB00030
"Insulin human, rDNA origin",english,,DB00030
Insulin recombinant human,english,,DB00030
Insulin recombinant purified human,english,,DB00030
Insulin regular,english,,DB00030
"Insulin, human",english,,DB00030
Insulina regular,spanish,,DB00030
"Regular Insulin, human",english,,DB00030
Tenecteplasa,spanish,,DB00031
TNK-tPA,english,,DB00031
Human menopausal gonadotrophin,english,,DB00032
Menotrophin,english,,DB00032
Menotropin,english,,DB00032
Menotropina,spanish,,DB00032
Menotropins (FSH;LH),english,,DB00032
IFN-gamma 1b,english,,DB00033
IFN-gamma-1b,english,,DB00033
Interferon gamma 1-b,english,,DB00033
Interferon gamma-1b,english,inn/ban/usan,DB00033
"Interferon gamma-1b, recombinant",english,,DB00033
Interferon gamma-2a,english,,DB00033
Interferon alfa-2a,english,,DB00034
Interferon alfa-2a (recombinant),english,,DB00034
"Interferon alfa-2a, recombinant",english,,DB00034
"Interferon alfa-2a,recombinant",english,,DB00034
Interferon alpha-2a,english,,DB00034
Interferon-alfa-2a,english,,DB00034
Recombinant human interferon alfa-2a,english,,DB00034
Recombinant human interferon-alfa-2a,english,,DB00034
rIFN-alpha-2a,english,,DB00034
SH-polypeptide-46,english,,DB00034
1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin,english,,DB00035
1-deamino-8-D-arginine vasopressin,english,,DB00035
1-desamino-8-D-arginine vasopressin,english,,DB00035
dDAVP,english,,DB00035
Desmopresina,spanish,inn,DB00035
Desmopressin,english,inn,DB00035
Desmopressine,french,inn,DB00035
Desmopressinum,latin,inn,DB00035
Coagulation factor VIIa,english,,DB00036
Coagulation factor VIIa (recombinant),english,,DB00036
Coagulation factor VIIa (recombinant)-jncw,english,,DB00036
Eptacog alfa,english,,DB00036
Eptacog alfa (activated),english,,DB00036
rFVIIa,english,,DB00036
IL-11,english,,DB00038
Interleukin 11,english,,DB00038
Interleukin-11,english,,DB00038
Oprelvekin,english,inn/usan,DB00038
Recombinant interleukin-11,english,,DB00038
24-163 fibroblast growth factor 7 (human),english,,DB00039
Palifermina,spanish,,DB00039
Glucagon,english,inn,DB00040
Glucagon (recombinant dna origin),english,,DB00040
Glucagon recombinant,english,,DB00040
"Glucagon, human",english,,DB00040
"Glucagon, porcine",english,,DB00040
Glucagone,english,,DB00040
Glucagonum,latin,inn,DB00040
125-L-serine-2-133-interleukin 2 (human reduced),english,,DB00041
Aldesleukina,spanish,,DB00041
Interleukin-2 aldesleukin,english,,DB00041
"Interleukin-2(2-133),125-ser",english,,DB00041
Recombinant interleukin-2 human,english,,DB00041
Botulin B,english,,DB00042
Botulinum B toxin,english,,DB00042
Botulinum neurotoxin type B precursor,english,,DB00042
BTX-B,english,,DB00042
RimabotulinumtoxinB,english,,DB00042
Toxina botulínica B,spanish,,DB00042
Lutropin alfa,english,inn/usan,DB00044
Lutropin alpha,english,,DB00044
Lutropina alfa,spanish,,DB00044
Lipoprotein OspA antigen recombinant,english,,DB00045
Lipoprotein outer surface a borrelia burgdorferi antigen,english,,DB00045
OspA lipoprotein,english,,DB00045
Insulin lispro (genetical recombination),english,,DB00046
Insulin lispro (rDNA origin),english,,DB00046
Insulin lispro protamine,english,,DB00046
Insulin lispro protamine recombinant,english,,DB00046
Insulin lispro recombinant,english,,DB00046
insulin lispro-aabc,english,,DB00046
"Insulin,lispro,human/rDNA",english,,DB00046
"Insulin,lispro,protamine/rDNA",english,,DB00046
Insulina lispro,spanish,,DB00046
Insulin glargine,english,inn/usan,DB00047
Insulin Glargine (rDNA origin),english,,DB00047
Insulin glargine recombinant,english,,DB00047
Insulina glargina,spanish,,DB00047
Clostridium histolyticum enzymes,english,,DB00048
Collagenase,english,,DB00048
Collagenase clostridium histolyticum,english,usan,DB00048
Rasburicasa,spanish,,DB00049
Rasburicase,english,inn/usan,DB00049
Urate oxidase,english,,DB00049
Cetrorelix,english,inn/ban,DB00050
Cetrorelixum,latin,inn,DB00050
Adalimumab (genetical recombination),english,,DB00051
adalimumab-adaz,english,,DB00051
adalimumab-adbm,english,,DB00051
adalimumab-afzb,english,,DB00051
adalimumab-atto,english,,DB00051
adalimumab-bwwd,english,,DB00051
Growth hormone,english,,DB00052
Growth hormone (human),english,,DB00052
hGH,english,,DB00052
Human growth hormone,english,,DB00052
Recombinant human growth hormone,english,,DB00052
rhGH,english,,DB00052
Somatotropin (human),english,,DB00052
Somatotropin human,english,,DB00052
Somatotropin human growth hormone,english,,DB00052
Somatropin,english,,DB00052
Somatropin (rDNA origin),english,,DB00052
Somatropin (recombinant DNA origin),english,,DB00052
Somatropin [rDNA origin],english,,DB00052
Somatropin recombinant,english,,DB00052
Somatropin(recombinant DNA origin),english,,DB00052
Somatropina,spanish,,DB00052
Imiglucerasa,spanish,,DB00053
Abciximab,english,inn/usan,DB00054
Abciximab (genetical recombination),english,,DB00054
c7E3,english,,DB00054
Activated protein C,english,,DB00055
Blood coagulation factor XIV (human),english,,DB00055
Drotrecogin alfa (activated),english,,DB00055
"Drotrecogin alfa (activated), lyophilized",english,,DB00055
Drotrecogin alfa activated,english,,DB00055
"Drotrecogin alfa, activated",english,,DB00055
Drotrecogin-alfa,english,,DB00055
Recombinant human activated protein C (rH-APC),english,,DB00055
Indium (111In) satumomab pendetide,english,,DB00057
Indium In 111 satumomab pendetide,english,,DB00057
Indium-111 satumomab pendetide,english,,DB00057
Alfa 1-proteinase inhibitor (human),english,,DB00058
Alfa-1-antitripsina,spanish,,DB00058
Alfa1 antitrypsin,english,,DB00058
Alpha 1-antitrypsin,english,,DB00058
Alpha 1-Proteinase Inhibitor,english,,DB00058
Alpha 1-proteinase inhibitor (human),english,,DB00058
"Alpha 1-proteinase inhibitor, human",english,,DB00058
Alpha-1 protease inhibitor,english,,DB00058
Alpha-1 proteinase inhibitor (human),english,,DB00058
Alpha-1-antiproteinase,english,,DB00058
Alpha-1-antitrypsin,english,,DB00058
Alpha-1-proteinase Inhibitor (human),english,,DB00058
Alpha-1-proteinase inhibitor human,english,,DB00058
"Alpha-1-proteinase Inhibitor, Human",english,,DB00058
"Alpha-1-proteinase inhibitor,human",english,,DB00058
Alpha1-proteinase Inhibitor,english,,DB00058
Alpha1-proteinase inhibitor (human),english,,DB00058
alpha1-proteinase inhibitor human,english,,DB00058
API,english,,DB00058
Peg-asparaginase,english,,DB00059
Peg/L-asparaginase,english,,DB00059
Pegaspargasa,spanish,,DB00059
Interferon beta 1-a,english,,DB00060
Interferon beta 1a,english,,DB00060
Interferon beta-1a (recombinant human),english,,DB00060
"Interferon beta-1a,recombinant",english,,DB00060
Interferon-beta-1a,english,,DB00060
(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase,english,,DB00061
PEG-adenosine deaminase,english,,DB00061
pegADA,english,,DB00061
Pegademase,english,inn,DB00061
Pegademase bovine,english,,DB00061
Albumin (human),english,,DB00062
Albumin human,english,,DB00062
"Albumin, blood",english,,DB00062
"Albumin, human",english,,DB00062
"Albumin, human-kjda",english,,DB00062
Human albumin,english,,DB00062
Human serum albumin,english,,DB00062
Serum albumin,english,,DB00062
Eptifibatida,spanish,,DB00063
Eptifibatide,english,inn/ban,DB00063
Integrelin,english,,DB00063
Intrifiban,english,,DB00063
Infliximab (genetical recombination),english,,DB00065
Infliximab-abda,english,,DB00065
Infliximab-axxq,english,,DB00065
Infliximab-dyyb,english,,DB00065
Infliximab-qbtx,english,,DB00065
Folitropina alfa,spanish,,DB00066
Folitropina beta,spanish,,DB00066
Folitropina delta,spanish,,DB00066
Follicle stimulating hormone,english,,DB00066
Follitrophin alfa,english,,DB00066
Follitrophin alpha,english,,DB00066
Follitrophin beta,english,,DB00066
Follitropin alfa,english,,DB00066
Follitropin alfa/beta,english,,DB00066
Follitropin alpha,english,,DB00066
Follitropin beta,english,,DB00066
Follitropin delta,english,,DB00066
Follitropin gamma,english,,DB00066
Follotropin recombinant,english,,DB00066
FSH,english,,DB00066
FSH alpha,english,,DB00066
FSH-a,english,,DB00066
FSH-b,english,,DB00066
FSH-beta,english,,DB00066
Recombinant human follicle stimulating hormone beta,english,,DB00066
Recombinant human follicle-stimulating hormone (r-HFSH),english,,DB00066
rFSH-alpha,english,,DB00066
"Vasopressin, unspecified",english,,DB00067
Vasopressina,spanish,,DB00067
Interferon beta 1b (recombinant),english,,DB00068
"Interferon beta-1b,recombinant",english,,DB00068
Interferon-beta-1b,english,,DB00068
Recombinant interferon beta-1b,english,,DB00068
IFN Alfacon-1,english,,DB00069
IFN-Con1,english,,DB00069
Interferon alfacon-1,english,inn/usan,DB00069
"Hyaluronidase (glycoprotein, sheep testis isoenzyme)",english,,DB00070
Hyaluronidase (ovine),english,inn/ban/jan/usan/usp,DB00070
Hyaluronidase (sheep testis isoenzyme),english,,DB00070
"Hyaluronidase, ovine",english,,DB00070
Ovine hyaluronidase,english,,DB00070
Insulin (pork),english,,DB00071
Insulin porcine,english,,DB00071
Insulin purified porcine,english,,DB00071
Insulin purified pork,english,,DB00071
"Insulin, porcine",english,,DB00071
"Insulin, regular, pork",english,,DB00071
Porcine insulin,english,,DB00071
RHUMAB HER2,english,,DB00072
trastuzumab-anns,english,,DB00072
trastuzumab-dkst,english,,DB00072
trastuzumab-dttb,english,,DB00072
trastuzumab-pkrb,english,,DB00072
trastuzumab-qyyp,english,,DB00072
rituximab-abbs,english,,DB00073
rituximab-pvvr,english,,DB00073
Basiliximab,english,inn/usan,DB00074
Anti-CD3,english,,DB00075
Muromonab-CD3,english,,DB00075
Digitalis antitoxin,english,,DB00076
"Digoxin Immune Fab, Ovine",english,,DB00076
Digoxin-specific Antibody Fragments,english,,DB00076
Ovine digoxin immune fab,english,,DB00076
Ibritumomab,english,,DB00078
mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),english,,DB00078
Daptomicina,spanish,inn,DB00080
Daptomycin,english,inn/usan,DB00080
Daptomycine,french,inn,DB00080
Daptomycinum,latin,inn,DB00080
AbobotulinumtoxinA,english,,DB00083
Botulinum A neurotoxin,english,,DB00083
Botulinum toxin A,english,,DB00083
Botulinum toxin type A,english,jan,DB00083
BTX-A,english,,DB00083
Evabotulinumtoxina,english,,DB00083
IncobotulinumtoxinA,english,,DB00083
OnabotulinumtoxinA,english,,DB00083
Prabotulinumtoxin A,english,,DB00083
Toxina botulínica A,spanish,,DB00083
Toxine botulinique A,french,,DB00083
Pancrealipase,english,,DB00085
Pancreatic extract pancrelipase,english,,DB00085
Pancreatic protease,english,,DB00085
Pancreatin,english,,DB00085
Pancreatinum,latin,,DB00085
Pancrelipase (amylase;lipase;protease),english,,DB00085
Estreptoquinasa,latin,inn,DB00086
Streptochinasi,italian,,DB00086
Streptococcal fibrinolysin,english,,DB00086
Streptokinase,english,inn/ban,DB00086
Streptokinasum,latin,inn,DB00086
(111In)-Capromab pendetide,english,,DB00089
Indium (111In) capromab pendetide,english,,DB00089
Indium 111 Capromab Pendetide,english,,DB00089
Indium In 111 capromab pendetide,english,,DB00089
alpha-L-Idosiduronase,english,,DB00090
Human Recombinant alpha-L-iduronidase,english,,DB00090
Laronidasa,spanish,,DB00090
Laronidase,english,inn/usan,DB00090
Laronidase (genetical recombination),english,,DB00090
Ciclosporin,english,inn,DB00091
Ciclosporina,spanish,inn,DB00091
Ciclosporine,french,inn,DB00091
Ciclosporinum,latin,inn,DB00091
CsA,english,,DB00091
CyA,english,,DB00091
Cyclosporin,english,,DB00091
Cyclosporin A,english,,DB00091
Cyclosporine,english,usan,DB00091
2-(L-phenylalanine)-8-L-lysinevasopressin,english,,DB00093
Felipresina,spanish,inn,DB00093
Felypressin,english,inn/ban/usan,DB00093
Felypressine,french,inn,DB00093
Felypressinum,latin,inn,DB00093
PLV-2,english,,DB00093
Follitropin human,english,,DB00094
Urofollitrophin,english,,DB00094
anti-CD11a,english,,DB00095
antiCD11 alpha,english,,DB00095
Efalizumab,english,inn/usan,DB00095
Choriogonadotropin alpha,english,,DB00097
Chorionic gonadotropin (recombinant),english,,DB00097
"Anti-human thymocyte immunoglobulin, rabbit",english,,DB00098
"Anti-T-lymphocyte immune globulin, rabbit",english,,DB00098
Anti-thymocyte globulin (rabbit),english,,DB00098
Anti-thymocyte globulin rabbit,english,,DB00098
Antithymocyte immunoglobulin,english,,DB00098
Lapine T-lymphocyte immune globulin,english,,DB00098
Rabbit anti-human thymocyte globulin,english,,DB00098
Rabbit anti-human thymocyte globulin (rATG),english,,DB00098
Rabbit anti-human thymocyte immunoglobulin,english,,DB00098
Rabbit anti-thymocyte immunoglobulin,english,,DB00098
Rabbit antithymocyte globulin,english,,DB00098
Rabbit ATG,english,,DB00098
rATG,english,,DB00098
Thymoglobulin,english,,DB00098
Thymoglobuline,english,,DB00098
Filgrastim-aafi,english,,DB00099
Filgrastim-sndz,english,,DB00099
G-CSF ,english,,DB00099
Granulocyte Colony Stimulating Factor ,english,,DB00099
Tbo-filgrastim,english,,DB00099
Coagulation factor IX (recombinant),english,,DB00100
Coagulation factor IX recombinant human,english,,DB00100
Factor IX (Recombinant),english,,DB00100
nonacog alfa,english,,DB00100
nonacog gamma,english,,DB00100
Recombinant factor IX,english,,DB00100
Becaplermin,english,inn/usan,DB00102
PDGF-2,english,,DB00102
PDGF-BB,english,,DB00102
PDGFB,english,,DB00102
"Platelet-derived growth factor BB, recombinant",english,,DB00102
Platelet-derived growth factor beta polypeptide,english,,DB00102
Recombinant platelet-derived growth factor BB,english,,DB00102
rhPDGF-BB,english,,DB00102
rPDGF-BB,english,,DB00102
SH-POLYPEPTIDE-59,english,,DB00102
Agalsidasa alfa,spanish,,DB00103
Agalsidasa beta,spanish,,DB00103
Agalsidase alfa,english,inn/usan,DB00103
Alpha-galactosidase A,english,,DB00103
Octreotida,spanish,,DB00104
Octreotide,english,inn/usan,DB00104
Octreotidum,latin,,DB00104
Octrotide,english,,DB00104
Interferon alfa-2b,english,inn/usan,DB00105
"Interferon alfa-2b, recombinant",english,,DB00105
Interferon alpha-2B,english,,DB00105
Interferon α-2b,english,,DB00105
Intron (Interferon α2b),english,,DB00105
Intron A,english,,DB00105
Intron A (Interferon α2b),english,,DB00105
r-INF-alpha,english,,DB00105
rIFN-alpha-2b,english,,DB00105
Abarelix,english,inn,DB00106
Oxitocina,spanish,,DB00107
Oxytocin,english,inn,DB00107
Anti-alpha4 integrin,english,,DB00108
Anti-VLA4,english,,DB00108
Enfuvirtida,spanish,,DB00109
Palivizumab,english,inn/ban/usan,DB00110
Dacliximab,english,,DB00111
Daclizumab beta,english,,DB00111
Anti-VEGF Humanized Monoclonal Antibody,english,,DB00112
Anti-VEGF monoclonal antibody,english,,DB00112
Bevacizumab,english,inn/usan,DB00112
bevacizumab-awwb,english,,DB00112
rhuMAb-VEGF,english,,DB00112
Arcitumomab technetium-99m,english,,DB00113
Technetium (99mTc) arcitumomab,english,,DB00113
Technetium Tc 99m arcitumomab,english,,DB00113
Technetium-99m arcitumomab,english,,DB00113
3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde,english,,DB00114
3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate,english,,DB00114
Codecarboxylase,english,,DB00114
PLP,english,,DB00114
Pyridoxal 5-monophosphoric acid ester,english,,DB00114
Pyridoxal 5-phosphate,english,,DB00114
Pyridoxal 5'-phosphate,english,,DB00114
Pyridoxal P,english,,DB00114
Pyridoxal phosphate anhydrous,english,,DB00114
Pyridoxal-5P,english,,DB00114
Pyridoxal-P,english,,DB00114
Cianocobalamina,spanish,inn,DB00115
Cyanocob(III)alamin,english,,DB00115
Cyanocobalamin,english,inn,DB00115
Cyanocobalamine,french,inn,DB00115
Cyanocobalaminum,latin,inn,DB00115
Vitamin B12,english,,DB00115
Vitamin B12 complex,english,,DB00115
Vitamin B12 NOS,english,,DB00115
"5,6,7,8-tetrahydrofolate",english,,DB00116
"5,6,7,8-tetrahydrofolic acid",english,,DB00116
Tetrahydrofolate,english,,DB00116
(S)-4-(2-Amino-2-carboxyethyl)imidazole,english,,DB00117
(S)-a-Amino-1H-imidazole-4-propanoic acid,english,,DB00117
(S)-alpha-amino-1H-Imidazole-4-propanoic acid,english,,DB00117
(S)-alpha-Amino-1H-imidazole-4-propionic acid,english,,DB00117
(S)-α-amino-1H-Imidazole-4-propanoic acid,english,,DB00117
HIS,english,,DB00117
Histidina,spanish,,DB00117
Histidine,english,inn/usan,DB00117
L-(−)-histidine,english,,DB00117
L-Histidin,english,,DB00117
L-Histidine,english,,DB00117
Ademetionine,english,inn,DB00118
AdoMet,english,,DB00118
L-S-Adenosylmethionine,english,,DB00118
S-Adenosylmethionine,english,,DB00118
SAM,english,,DB00118
SAM-e,english,,DB00118
SAMe,english,,DB00118
2-ketopropionic acid,english,,DB00119
2-oxopropanoic acid,english,,DB00119
2-Oxopropansäure,german,,DB00119
2-Oxopropionsäure,german,,DB00119
a-Ketopropionic acid,english,,DB00119
Acetylformic acid,english,,DB00119
acide pyruvique,french,,DB00119
alpha-ketopropionic acid,english,,DB00119
Brenztraubensäure,german,,DB00119
BTS,english,,DB00119
Pyroracemic acid,english,,DB00119
α-ketopropionic acid,english,,DB00119
α-Oxopropionsäure,german,,DB00119
(S)-2-Amino-3-phenylpropionic acid,english,,DB00120
(S)-alpha-Amino-beta-phenylpropionic acid,english,,DB00120
3-phenyl-L-alanine,english,,DB00120
beta-Phenyl-L-alanine,english,,DB00120
F,english,,DB00120
Fenilalanina,spanish,,DB00120
L-Phenylalanine,english,,DB00120
Phe,english,,DB00120
Phenylalanine,english,,DB00120
Phenylalaninum,latin,,DB00120
β-phenyl-L-alanine,english,,DB00120
"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid",english,,DB00121
"(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid",english,,DB00121
"5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid",english,,DB00121
Biotin,english,inn/usp,DB00121
Biotina,spanish,inn,DB00121
Biotine,french,inn,DB00121
Biotinum,latin,inn,DB00121
"cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid",english,,DB00121
"cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid",english,,DB00121
"cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid",english,,DB00121
Coenzyme R,english,,DB00121
D-(+)-biotin,english,,DB00121
D-Biotin,english,,DB00121
Vitamin B7,english,,DB00121
Vitamin H,english,,DB00121
Bilineurine,english,,DB00122
Choline ion,english,,DB00122
N-trimethylethanolamine,english,,DB00122
"N,N,N-trimethylethanol-ammonium",english,,DB00122
trimethylethanolamine,english,,DB00122
Vitamin J,english,,DB00122
"(S)-2,6-diaminohexanoic acid",english,,DB00123
(S)-lysine,english,,DB00123
"(S)-α,ε-diaminocaproic acid",english,,DB00123
6-ammonio-L-norleucine,english,,DB00123
"L-2,6-Diaminocaproic acid",english,,DB00123
L-lys,english,,DB00123
L-Lysin,german,,DB00123
LYS,english,,DB00123
Lysina,spanish,inn,DB00123
Lysine,english,inn,DB00123
Lysine acid,english,,DB00123
Lysinum,latin,inn,DB00123
(2S)-2-amino-5-(carbamimidamido)pentanoic acid,english,,DB00125
(2S)-2-amino-5-guanidinopentanoic acid,english,,DB00125
(S)-2-amino-5-guanidinopentanoic acid,english,,DB00125
(S)-2-Amino-5-guanidinovaleric acid,english,,DB00125
Arg,english,,DB00125
Arginina,spanish,,DB00125
Arginine,english,inn,DB00125
L-(+)-Arginine,english,,DB00125
L-Arg,english,,DB00125
L-Arginin,german,,DB00125
L-arginine,english,,DB00125
R,english,,DB00125
acide ascorbique,french,inn,DB00126
ácido ascórbico,spanish,inn,DB00126
Acidum ascorbicum,latin,inn,DB00126
acidum ascorbinicum,latin,,DB00126
Ascorbate,english,,DB00126
Ascorbic acid,english,inn/ban/jan/usp,DB00126
Ascorbinsäure,german,,DB00126
L-(+)-ascorbic acid,english,,DB00126
L-Ascorbate,english,,DB00126
L-Ascorbic Acid,english,,DB00126
Vitamin C,english,,DB00126
Vitamina C,spanish,,DB00126
"4,9-diaza-1,12-dodecanediamine",english,,DB00127
"4,9-diazadodecane-1,12-diamine",english,,DB00127
Musculamine,english,,DB00127
"N,N'-Bis(3-aminopropyl)-1,4-butanediamine",english,,DB00127
Spermina,spanish,,DB00127
Spermine,english,,DB00127
(S)-2-aminobutanedioic acid,english,,DB00128
(S)-2-aminosuccinic acid,english,,DB00128
2-Aminosuccinic acid,english,,DB00128
ácido aspártico,spanish,,DB00128
Acidum asparticum,latin,inn,DB00128
Asp,english,,DB00128
Aspartic acid,english,inn/usan/usp,DB00128
D,english,,DB00128
L-Asp,english,,DB00128
L-Asparaginsäure,german,,DB00128
L-Aspartate,english,,DB00128
L-Aspartic acid,english,,DB00128
"(S)-2,5-Diaminopentanoate",english,,DB00129
"(S)-2,5-Diaminopentanoic acid",english,,DB00129
"(S)-2,5-diaminovaleric acid",english,,DB00129
(S)-ornithine,english,,DB00129
"(S)-α,δ-diaminovaleric acid",english,,DB00129
L-Ornithine,english,,DB00129
levo-ornithine,english,,DB00129
Ornithine,english,inn,DB00129
Ornithinum,latin,,DB00129
Ornitina,spanish,,DB00129
(2S)-2-amino-4-carbamoylbutanoic acid,english,,DB00130
"(2S)-2,5-diamino-5-oxopentanoic acid",english,,DB00130
